,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,15850,13857.4,13200.1,13942.7,,13260.8,13369.0,,13568.0,14375.8,14004.2,15044.3,13710.0,12928.3,12358.0,,14296.1,,11982.1,-1992.6,-2649.9,-1907.3,,-2589.2,-2481.0,,-2282.0,-1474.2,-1845.8,-805.7,-2140.0,-2921.7,-3492.0,,-1553.9,,-3867.9,False,True,,False,False,,False,True,True,True,False,False,False,,True,,False
Hawaii,424,400.3,344.1,397.0,,352.7,350.0,,,361.7,663.8,379.7,348.0,341.4,345.0,,345.9,,333.8,-23.7,-79.9,-27.0,,-71.3,-74.0,,,-62.3,239.8,-44.3,-76.0,-82.6,-79.0,,-78.1,,-90.2,False,False,,False,False,,,False,False,False,False,False,False,,False,,False
Idaho,1803,1951.7,1850.5,1927.8,,1814.9,1774.0,,2010.0,1792.5,2034.1,1871.6,1858.0,1865.6,1844.0,,1880.7,,1756.1,148.7,47.5,124.8,,11.9,-29.0,,207.0,-10.5,231.1,68.6,55.0,62.6,41.0,,77.7,,-46.9,True,True,,True,True,,False,True,False,True,True,True,True,,True,,True
Illinois,22087,24009.3,25221.9,24189.4,,21958.7,22703.0,,23279.0,22220.2,22200.6,22939.1,25151.0,22269.6,22542.0,,22433.4,,21512.7,1922.3,3134.9,2102.4,,-128.3,616.0,,1192.0,133.2,113.6,852.1,3064.0,182.6,455.0,,346.4,,-574.3,False,False,,True,True,,True,True,True,True,False,True,True,,True,,True
Indiana,12149,11462.1,12065.6,11745.8,,10775.8,10885.0,,11739.0,11143.3,10735.9,11105.9,12495.0,10967.3,11270.5,,11124.4,,9867.4,475.1,1078.6,758.8,,-211.2,-102.0,,752.0,156.3,-251.1,118.9,1508.0,-19.7,283.5,,137.4,,-1119.6,False,False,,True,True,,False,True,True,True,False,True,True,,True,,False
Iowa,5236,5070.6,4829.4,5031.9,,5418.3,7267.0,,5337.0,5331.5,5008.4,4940.9,4896.0,4828.2,4694.0,,5221.8,,4776.6,-165.4,-406.6,-204.1,,182.3,2031.0,,101.0,95.5,-227.6,-295.1,-340.0,-407.8,-542.0,,-14.2,,-459.4,False,False,,False,False,,True,True,False,False,False,False,False,,True,,False
Kansas,4329,4447.6,5262.5,4486.2,,4206.7,5694.0,,4521.0,4871.0,3996.9,4162.6,3590.0,3955.5,4282.0,,4257.6,,3578.9,118.6,933.5,157.2,,-122.3,1365.0,,192.0,542.0,-332.1,-166.4,-739.0,-373.5,-47.0,,-71.4,,-750.1,False,False,,False,False,,False,False,False,False,False,False,True,,True,,False
Kentucky,4272,3765.6,3829.7,3765.9,,3489.2,3496.0,,4052.0,4478.8,4388.0,3714.9,3923.0,3613.5,3992.0,,3950.5,,3295.7,-506.4,-442.3,-506.1,,-782.8,-776.0,,-220.0,206.8,116.0,-557.1,-349.0,-658.5,-280.0,,-321.5,,-976.3,True,True,,False,False,,True,True,True,False,True,False,True,,True,,False
Louisiana,9276,9505.0,8887.8,9557.8,,9189.6,9016.0,,9120.0,9604.7,9026.7,9521.7,9314.0,8750.6,8612.0,,9715.7,,8410.6,229.0,-388.2,281.8,,-86.4,-260.0,,-156.0,328.7,-249.3,245.7,38.0,-525.4,-664.0,,439.7,,-865.4,False,False,,True,False,,True,False,False,False,True,False,False,,False,,False
Maine,647,786.6,599.8,802.0,,617.2,607.0,,619.0,570.4,1110.0,967.1,622.0,657.4,734.0,,509.5,,511.3,139.6,-47.2,155.0,,-29.8,-40.0,,-28.0,-76.6,463.0,320.1,-25.0,10.4,87.0,,-137.5,,-135.7,True,False,,True,True,,True,True,False,False,True,True,True,,True,,True
Maryland,7536,7622.3,7498.7,7641.1,,7609.2,11605.0,,7382.0,7649.6,7722.7,7856.6,7815.0,7779.2,7260.0,,7377.2,,6643.4,86.3,-37.3,105.1,,73.2,4069.0,,-154.0,113.6,186.7,320.6,279.0,243.2,-276.0,,-158.8,,-892.6,True,False,,True,False,,False,False,False,False,False,False,False,,False,,False
Massachusetts,15424,15778.7,16580.7,15933.3,,15038.4,15788.0,,15732.0,14825.6,15525.6,15743.9,17330.0,16511.2,14418.5,,15280.0,,13762.5,354.7,1156.7,509.3,,-385.6,364.0,,308.0,-598.4,101.6,319.9,1906.0,1087.2,-1005.5,,-144.0,,-1661.5,False,False,,False,False,,True,False,True,True,False,False,False,,True,,False
Michigan,16119,18220.1,17887.9,18340.5,,15574.9,16369.0,,17744.0,16145.8,17010.7,16579.9,17772.0,17108.9,16665.5,,16583.8,,15295.5,2101.1,1768.9,2221.5,,-544.1,250.0,,1625.0,26.8,891.7,460.9,1653.0,989.9,546.5,,464.8,,-823.5,True,False,,True,True,,True,True,True,True,True,True,True,,True,,True
Minnesota,6437,7164.1,7151.8,7205.4,,6672.7,6315.0,,7506.0,6711.5,6898.5,6851.5,7273.0,6666.9,8246.5,,7488.4,,6537.6,727.1,714.8,768.4,,235.7,-122.0,,1069.0,274.5,461.5,414.5,836.0,229.9,1809.5,,1051.4,,100.6,True,False,,True,True,,False,True,True,True,False,True,False,,False,,True
Mississippi,6461,6604.7,7349.7,6677.1,,6253.4,6132.0,,6222.0,6234.3,6066.4,6543.0,7099.5,6083.0,6436.0,,6497.6,,5675.4,143.7,888.7,216.1,,-207.6,-329.0,,-239.0,-226.7,-394.6,82.0,638.5,-378.0,-25.0,,36.6,,-785.6,False,False,,False,False,,False,False,False,True,False,False,True,,True,,False
Missouri,7780,8061.3,7836.2,8188.0,,7716.3,6988.0,,8145.0,7484.9,7486.8,7945.1,7871.0,6946.1,7395.0,,6778.7,,6602.7,328.3,103.2,455.0,,-16.7,-745.0,,412.0,-248.1,-246.2,212.1,138.0,-786.9,-338.0,,-954.3,,-1130.3,True,False,,True,False,,False,True,True,True,True,False,False,,False,,False
Montana,1327,1464.0,1267.9,1469.1,,1139.0,1113.0,,1497.0,1208.4,1350.2,1199.9,1407.0,1250.7,1242.0,,1530.5,,1203.9,137.0,-59.1,142.1,,-188.0,-214.0,,170.0,-118.6,23.2,-127.1,80.0,-76.3,-85.0,,203.5,,-123.1,True,False,,False,False,,False,True,True,True,True,True,True,,False,,True
Nebraska,2002,2187.4,2225.0,2077.3,,2064.3,1924.0,,2558.5,2189.7,2289.1,2035.6,2110.0,2068.4,2321.0,,1932.6,,2030.9,185.4,223.0,75.3,,62.3,-78.0,,556.5,187.7,287.1,33.6,108.0,66.4,319.0,,-69.4,,28.9,False,True,,True,True,,False,False,False,True,True,True,False,,True,,True
Nevada,4694,4861.0,4498.9,4959.8,,4243.9,4221.0,,4523.0,3863.2,4205.4,4483.3,5080.0,4435.1,4288.0,,4962.2,,3921.7,167.0,-195.1,265.8,,-450.1,-473.0,,-171.0,-830.8,-488.6,-210.7,386.0,-258.9,-406.0,,268.2,,-772.3,False,False,,False,False,,False,False,False,False,False,False,False,,False,,False
New Hampshire,1130,1301.3,1995.4,1327.0,,1155.3,1216.0,,1289.0,1118.6,1439.5,1202.2,1214.0,1056.4,1564.0,,1190.2,,950.5,171.3,865.4,197.0,,25.3,86.0,,159.0,-11.4,309.5,72.2,84.0,-73.6,434.0,,60.2,,-179.5,False,False,,True,True,,True,True,False,True,True,True,False,,True,,False
New Jersey,22440,22991.7,23880.8,23186.1,,22083.7,22349.0,,22434.0,21270.2,22644.6,22583.2,24853.0,25503.1,20895.5,,22657.7,,20474.6,551.7,1440.8,746.1,,-356.3,-91.0,,-6.0,-1169.8,204.6,143.2,2413.0,3063.1,-1544.5,,217.7,,-1965.4,False,False,,True,True,,True,False,True,True,False,False,False,,True,,False
New Mexico,3516,3710.7,3462.7,3721.8,,3337.0,3097.0,,3578.0,3419.0,3264.6,3541.2,3986.0,3777.7,3510.0,,3288.3,,3215.6,194.7,-53.3,205.8,,-179.0,-419.0,,62.0,-97.0,-251.4,25.2,470.0,261.7,-6.0,,-227.7,,-300.4,True,False,,True,False,,True,True,False,True,False,False,True,,False,,False
New York,45751,45543.1,46232.5,45471.9,,45935.5,46733.0,,44606.0,43932.5,47873.6,47886.7,47840.0,49273.7,41022.0,,46842.3,,40086.9,-207.9,481.5,-279.1,,184.5,982.0,,-1145.0,-1818.5,2122.6,2135.7,2089.0,3522.7,-4729.0,,1091.3,,-5664.1,False,False,,True,False,,False,False,False,False,False,False,False,,False,,False
North Carolina,10453,10758.1,9363.7,10090.5,,9169.4,9075.0,,9770.0,9565.0,10869.2,10823.5,11250.0,9177.8,10069.0,,10124.7,,8479.3,305.1,-1089.3,-362.5,,-1283.6,-1378.0,,-683.0,-888.0,416.2,370.5,797.0,-1275.2,-384.0,,-328.3,,-1973.7,False,False,,False,False,,False,False,False,False,False,False,False,,False,,False
North Dakota,1461,1556.0,1492.6,1562.1,,1493.2,1456.0,,1640.0,1485.5,1534.5,1438.6,1451.0,1478.5,1455.0,,1462.2,,1504.5,103.0,39.6,109.1,,40.2,3.0,,187.0,32.5,81.5,-14.4,-2.0,25.5,2.0,,9.2,,51.5,True,False,,True,True,,False,True,True,True,True,True,True,,True,,True
Ohio,17746,12303.3,13091.7,12507.3,,11216.6,11385.0,,12504.0,11397.3,13390.1,11806.9,12604.5,11640.5,14225.0,,12765.6,,10831.7,-242.7,545.7,-38.7,,-1329.4,-1161.0,,-42.0,-1148.7,844.1,-739.1,58.5,-905.5,1679.0,,219.6,,-1714.3,False,True,,False,False,,True,False,False,False,True,False,False,,True,,False
Oklahoma,3994,3800.4,3718.4,3793.0,,3546.1,3546.0,,3846.0,3873.9,4064.6,3861.9,3748.0,3242.9,4107.0,,3944.6,,3162.0,-193.6,-275.6,-201.0,,-447.9,-448.0,,-148.0,-120.1,70.6,-132.1,-246.0,-751.1,113.0,,-49.4,,-832.0,False,False,,False,False,,True,True,True,True,False,False,True,,True,,False
Oregon,2137,2109.1,1838.8,2158.0,,2090.2,1879.0,,2126.0,2416.5,2627.9,2105.2,1917.0,2119.8,2051.0,,2171.5,,1859.3,-27.9,-298.2,21.0,,-46.8,-258.0,,-11.0,279.5,490.9,-31.8,-220.0,-17.2,-86.0,,34.5,,-277.7,False,True,,False,False,,True,False,False,False,False,True,False,,False,,False
Pennsylvania,23043,24939.6,25217.6,24861.9,,22531.3,21870.0,,24488.0,19753.4,22623.5,23249.9,25698.5,25103.9,28089.0,,24144.8,,19631.4,1896.6,2174.6,1818.9,,-511.7,-1173.0,,1445.0,-3289.6,-419.5,206.9,2655.5,2060.9,5046.0,,1101.8,,-3411.6,False,True,,True,True,,True,False,True,True,False,False,False,,True,,False
Rhode Island,2459,2591.1,2694.1,2611.3,,2253.6,2252.0,,2596.0,2255.9,2237.7,2356.6,2495.0,2406.8,2100.0,,2067.5,,1983.3,290.1,393.1,310.3,,-47.4,-49.0,,295.0,-45.1,-63.3,55.6,194.0,105.8,-201.0,,-233.5,,-317.7,False,False,,True,True,,False,True,True,True,True,True,True,,True,,False
South Carolina,7911,7472.1,8313.7,7623.4,,7156.7,8344.0,,7413.0,7041.1,7412.8,8618.2,8202.0,6614.8,7445.5,,7566.8,,6357.9,-438.9,402.7,-287.6,,-754.3,433.0,,-498.0,-869.9,-498.2,707.2,291.0,-1296.2,-465.5,,-344.2,,-1553.1,True,True,,False,True,,False,False,False,False,True,False,False,,True,,False
South Dakota,1838,1934.7,1768.1,1915.0,,1758.6,1835.0,,1886.0,1825.8,1780.5,1771.1,1795.0,1866.9,1699.0,,1739.0,,1782.5,96.7,-69.9,77.0,,-79.4,-3.0,,48.0,-12.2,-57.5,-66.9,-43.0,28.9,-139.0,,-99.0,,-55.5,True,True,,True,True,,True,True,True,True,True,True,False,,False,,True
Tennessee,10902,11476.4,10828.7,11373.2,,10044.6,9308.0,,10891.0,8839.6,10173.5,11046.5,10476.0,9815.0,10014.0,,11678.3,,8816.5,574.4,-73.3,471.2,,-857.4,-1594.0,,-11.0,-2062.4,-728.5,144.5,-426.0,-1087.0,-888.0,,776.3,,-2085.5,True,True,,False,False,,True,False,False,True,True,False,False,,False,,False
Texas,41149,40110.7,43003.9,39670.2,,36642.2,36231.0,,38072.0,37568.4,39188.8,39983.2,39290.5,34720.4,35313.5,,38549.2,,33833.6,-1038.3,1854.9,-1478.8,,-4506.8,-4918.0,,-3077.0,-3580.6,-1960.2,-1165.8,-1858.5,-6428.6,-5835.5,,-2599.8,,-7315.4,False,False,,False,False,,False,False,False,False,False,False,False,,False,,False
Utah,1790,1834.0,1806.8,1870.1,,1707.6,1850.0,,1940.0,2332.5,1518.5,1755.9,1795.0,1662.6,1675.0,,1864.8,,1134.0,44.0,16.8,80.1,,-82.4,60.0,,150.0,542.5,-271.5,-34.1,5.0,-127.4,-115.0,,74.8,,-656.0,True,False,,False,False,,False,False,False,True,True,False,False,,False,,False
Vermont,189,233.7,232.2,241.0,,251.6,253.0,,248.0,269.9,318.2,359.6,300.0,173.2,227.0,,223.1,,174.7,44.7,43.2,52.0,,62.6,64.0,,59.0,80.9,129.2,170.6,111.0,-15.8,38.0,,34.1,,-14.3,True,False,,False,False,,False,False,False,False,False,True,True,,True,,True
Virginia,6996,6641.0,7293.8,6700.6,,6729.5,6148.0,,6808.0,6522.1,8078.3,7340.7,6955.0,6325.3,7424.0,,6129.5,,5889.7,-355.0,297.8,-295.4,,-266.5,-848.0,,-188.0,-473.9,1082.3,344.7,-41.0,-670.7,428.0,,-866.5,,-1106.3,True,True,,True,False,,True,False,False,True,True,False,False,,False,,False
Washington,4675,4858.9,5524.7,4882.9,,4258.5,4279.0,,4546.0,4898.8,4967.8,4574.9,4814.0,4163.4,4952.0,,4661.5,,4070.1,183.9,849.7,207.9,,-416.5,-396.0,,-129.0,223.8,292.8,-100.1,139.0,-511.6,277.0,,-13.5,,-604.9,False,False,,False,False,,True,False,False,True,True,False,False,,True,,False
West Virginia,2201,2582.6,2646.6,2554.9,,2284.5,2140.0,,2281.0,2129.0,2547.9,2497.7,2344.0,2377.0,2242.0,,2742.3,,1920.0,381.6,445.6,353.9,,83.5,-61.0,,80.0,-72.0,346.9,296.7,143.0,176.0,41.0,,541.3,,-281.0,False,True,,True,True,,True,True,True,True,True,True,True,,False,,True
Wisconsin,6744,7070.9,6715.3,7121.8,,6625.3,6185.0,,6815.0,7796.8,6919.7,6427.5,6781.0,6496.1,7175.0,,7192.9,,6334.9,326.9,-28.7,377.8,,-118.7,-559.0,,71.0,1052.8,175.7,-316.5,37.0,-247.9,431.0,,448.9,,-409.1,True,False,,True,False,,True,False,True,True,True,True,False,,False,,False
Wyoming,647,736.7,676.3,744.0,,555.2,606.0,,742.0,574.6,614.6,589.1,689.0,631.6,667.0,,564.5,,583.9,89.7,29.3,97.0,,-91.8,-41.0,,95.0,-72.4,-32.4,-57.9,42.0,-15.4,20.0,,-82.5,,-63.1,True,False,,False,True,,False,True,True,True,True,True,True,,True,,True
US,485911,484503.6,505674.4,483599.9,483644.0,455050.5,472380.0,498880.0,467346.0,445481.6,477681.7,480415.0,506760.5,,477668.0,475432.8,447524.2,488971.0,414420.6,5332.6,26503.4,4428.9,4473.0,-24120.5,-6791.0,19709.0,-11825.0,-33689.4,-1489.3,1244.0,27589.5,,-1503.0,-3738.2,-31646.8,9800.0,-64750.4,False,True,True,False,False,False,False,False,True,True,False,,True,True,False,False,False
