,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Oregon,2137,1270.4,1696.1,1223.0,1122.6,-866.6,-440.9,-914.0,-1014.4,True,False,False
Pennsylvania,23043,11804.1,14763.2,11819.0,11159.0,-11238.9,-8279.8,-11224.0,-11884.0,True,True,False
Rhode Island,2459,1542.7,2728.8,1592.0,1284.2,-893.3,292.8,-844.0,-1151.8,True,True,False
South Carolina,7911,5421.7,6438.7,5440.0,4816.3,-2489.3,-1472.3,-2471.0,-3094.7,True,True,False
South Dakota,1838,1907.9,1999.7,1738.0,1079.9,69.9,161.7,-100.0,-758.1,False,False,False
Tennessee,10902,6948.4,7985.1,6406.0,6781.1,-3953.6,-2916.9,-4496.0,-4120.9,True,False,False
Texas,41149,28634.6,31132.6,27839.0,26143.6,-12163.4,-9665.4,-12959.0,-14654.4,True,False,False
Utah,1790,1282.6,2334.6,1558.0,1601.3,-507.4,544.6,-232.0,-188.7,False,True,True
Vermont,189,72.9,61.0,72.0,62.0,-116.1,-128.0,-117.0,-127.0,False,False,False
Virginia,6996,4427.6,5630.1,4870.0,4009.5,-2568.4,-1365.9,-2126.0,-2986.5,True,True,False
Washington,4675,3450.6,6008.9,3326.0,3484.5,-1241.4,1316.9,-1366.0,-1207.5,False,False,True
West Virginia,2201,1113.7,1202.7,1350.0,926.3,-1087.3,-998.3,-851.0,-1274.7,True,True,False
Wisconsin,6744,5984.1,8719.1,5998.0,5436.9,-501.9,2233.1,-488.0,-1049.1,False,True,False
Wyoming,647,488.1,809.1,465.0,279.3,-158.9,162.1,-182.0,-367.7,False,False,False
US,485911,328723.4,519851.4,319435.0,345082.5,-155537.6,35590.4,-164826.0,-139178.5,True,False,True
