,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,15850,12795.1,13520.5,12834.5,60706.0,13295.3,,15065.9,13304.0,16132.8,14984.8,,12823.7,11237.8,-3054.9,-2329.5,-3015.5,44856.0,-2554.7,,-784.1,-2546.0,282.8,-865.2,,-3026.3,-4612.2,True,True,False,True,,True,True,True,True,,True,False
Hawaii,424,344.9,478.4,361.8,617.0,373.4,,456.5,,420.8,404.0,,333.0,317.5,-79.1,54.4,-62.2,193.0,-50.6,,32.5,,-3.2,-20.0,,-91.0,-106.5,True,True,False,True,,True,,True,True,,False,False
Idaho,1803,2105.0,1629.2,2123.4,2226.0,2141.5,,2417.5,2259.0,2594.4,1761.8,,1779.1,1604.5,302.0,-173.8,320.4,423.0,338.5,,614.5,456.0,791.4,-41.2,,-23.9,-198.5,True,False,False,False,,False,False,False,True,,True,True
Illinois,22087,24798.4,32545.8,25082.1,22347.0,22693.1,,26142.2,23502.0,27964.4,19215.3,,21167.8,18796.5,2711.4,10458.8,2995.1,260.0,606.1,,4055.2,1415.0,5877.4,-2871.7,,-919.2,-3290.5,False,False,True,True,,False,True,False,False,,True,False
Indiana,12149,12110.4,12878.3,11980.1,10885.0,11423.7,,11257.6,12212.0,13817.3,9154.7,,11474.1,8270.3,937.4,1705.3,807.1,-288.0,250.7,,84.6,1039.0,2644.3,-2018.3,,301.1,-2902.7,False,True,True,True,,True,False,False,False,,True,False
Iowa,5236,6565.9,6488.0,6124.4,4755.0,4905.3,,3954.8,6784.0,5425.9,3790.7,,4989.6,4439.1,1329.9,1252.0,888.4,-481.0,-330.7,,-1281.2,1548.0,189.9,-1445.3,,-246.4,-796.9,True,True,True,True,,True,False,True,False,,True,True
Kansas,4329,4454.6,5100.3,4492.9,3796.0,3890.5,,5212.2,4654.0,5229.7,3322.9,,4092.0,2891.8,125.6,771.3,163.9,-533.0,-438.5,,883.2,325.0,900.7,-1006.1,,-237.0,-1437.2,False,False,False,False,,False,False,False,False,,False,False
Kentucky,4272,3889.9,3646.1,3802.2,3282.0,3765.1,,3933.6,3752.0,4282.6,3222.3,,4194.3,2825.0,-382.1,-625.9,-469.8,-990.0,-506.9,,-338.4,-520.0,10.6,-1049.7,,-77.7,-1447.0,False,False,False,False,,True,False,True,False,,True,False
Louisiana,9276,8802.0,16239.6,8809.1,8221.0,8887.9,,9064.3,9086.0,9595.4,8213.5,,8841.8,7689.6,-474.0,6963.6,-466.9,-1055.0,-388.1,,-211.7,-190.0,319.4,-1062.5,,-434.2,-1586.4,False,True,False,True,,True,True,True,False,,True,False
Maine,647,567.0,418.4,572.0,2999.0,823.0,,657.6,592.0,1204.3,1173.4,,469.8,340.4,-80.0,-228.6,-75.0,2352.0,176.0,,10.6,-55.0,557.3,526.4,,-177.2,-306.6,False,True,False,False,,True,True,False,False,,False,False
Maryland,7536,8048.7,7882.1,7908.4,7716.0,8104.9,,8493.1,7573.0,9079.0,6874.1,,7155.9,5844.8,512.7,346.1,372.4,180.0,568.9,,957.1,37.0,1543.0,-661.9,,-380.1,-1691.2,True,True,True,False,,False,True,False,False,,True,False
Massachusetts,15424,14608.4,14736.7,14459.4,20844.0,16102.5,,15623.3,15312.0,17976.2,15609.7,,13198.6,12369.4,-815.6,-687.3,-964.6,5420.0,678.5,,199.3,-112.0,2552.2,185.7,,-2225.4,-3054.6,True,False,False,True,,True,True,False,True,,False,False
Michigan,16119,18980.4,18910.1,19102.3,14997.0,16642.9,,18236.7,18700.0,19271.6,13440.6,,15147.0,13325.3,2861.4,2791.1,2983.3,-1122.0,523.9,,2117.7,2581.0,3152.6,-2678.4,,-972.0,-2793.7,True,False,True,True,,True,True,False,True,,True,True
Minnesota,6437,8099.0,10370.2,8206.1,5895.0,6961.4,,7808.1,9290.0,7674.0,5255.2,,7731.9,5805.4,1662.0,3933.2,1769.1,-542.0,524.4,,1371.1,2853.0,1237.0,-1181.8,,1294.9,-631.6,False,False,True,True,,True,False,True,True,,True,True
Mississippi,6461,6059.0,6791.2,6069.1,9044.0,6774.1,,6347.3,6504.0,7676.7,6645.0,,5969.0,4944.5,-402.0,330.2,-391.9,2583.0,313.1,,-113.7,43.0,1215.7,184.0,,-492.0,-1516.5,True,True,False,True,,True,True,False,True,,False,False
Missouri,7780,8745.3,8700.0,8619.0,7043.0,7092.7,,7967.9,7772.0,8745.3,6015.9,,6113.6,5729.5,994.3,949.0,868.0,-708.0,-658.3,,216.9,21.0,994.3,-1735.1,,-1637.4,-2021.5,True,True,True,True,,True,True,False,False,,False,False
Montana,1327,1234.3,1301.6,1247.8,1041.0,1126.0,,1272.2,1653.0,1177.1,995.9,,1322.5,1031.5,-92.7,-25.4,-79.2,-286.0,-201.0,,-54.8,326.0,-149.9,-331.1,,-4.5,-295.5,True,True,False,False,,True,False,False,False,,True,False
Nebraska,2002,2373.9,2576.5,2355.5,1832.0,2505.7,,2699.4,2464.5,2588.2,1806.3,,1691.7,1886.7,371.9,574.5,353.5,-170.0,503.7,,697.4,462.5,586.2,-195.7,,-310.3,-115.3,False,True,True,False,,False,False,False,True,,True,True
Nevada,4694,4664.7,3244.5,4581.1,4260.0,4840.1,,4782.9,4501.0,5952.4,3710.7,,4349.3,3205.2,-29.3,-1449.5,-112.9,-434.0,146.1,,88.9,-193.0,1258.4,-983.3,,-344.7,-1488.8,False,False,False,False,,False,False,False,False,,False,False
New Hampshire,1130,1072.4,3786.8,1050.0,1683.0,1242.4,,1849.9,1292.0,1582.2,1320.2,,802.0,704.9,-57.6,2656.8,-80.0,553.0,112.4,,719.9,162.0,452.2,190.2,,-328.0,-425.1,False,False,False,False,,False,False,False,False,,False,False
New Jersey,22440,21674.7,19659.5,21716.5,20494.0,21347.3,,22753.3,21384.0,23234.9,20235.2,,20617.5,18774.8,-765.3,-2780.5,-723.5,-1946.0,-1092.7,,313.3,-1056.0,794.9,-2204.8,,-1822.5,-3665.2,False,True,False,False,,True,False,False,False,,False,False
New Mexico,3516,3852.4,2700.9,4090.6,2872.0,3263.8,,3692.9,3826.0,3888.1,2652.8,,3367.6,2665.2,336.4,-815.1,574.6,-644.0,-252.2,,176.9,310.0,372.1,-863.2,,-148.4,-850.8,False,False,False,True,,True,True,False,False,,True,False
New York,45751,42803.1,92220.2,42995.3,43188.0,44704.5,,46431.2,41834.0,47890.1,45616.0,,48803.9,36658.6,-2947.9,46469.2,-2755.7,-2563.0,-1046.5,,680.2,-3917.0,2139.1,-135.0,,3052.9,-9092.4,False,True,True,True,,True,False,True,True,,False,False
North Carolina,10453,9374.7,8907.5,9289.9,15110.0,9481.2,,10599.2,9370.0,12039.0,9686.7,,9638.2,7155.1,-1078.3,-1545.5,-1163.1,4657.0,-971.8,,146.2,-1083.0,1586.0,-766.3,,-814.8,-3297.9,False,False,False,True,,True,False,False,True,,True,False
North Dakota,1461,1851.7,1652.6,1862.8,1489.0,1541.3,,1817.0,2496.0,1613.0,1346.9,,1446.8,1506.6,390.7,191.6,401.8,28.0,80.3,,356.0,1035.0,152.0,-114.1,,-14.2,45.6,True,False,True,True,,True,False,True,True,,True,True
Ohio,17746,12407.7,11282.2,12463.5,12618.0,13968.6,,13344.5,14616.0,15837.5,10354.5,,12851.3,9225.4,-1772.3,-2897.8,-1716.5,-1562.0,-211.4,,-835.5,436.0,1657.5,-3825.5,,-1328.7,-4954.6,False,True,True,True,,True,True,True,False,,True,False
Oklahoma,3994,3374.9,3398.2,3365.4,3009.0,3515.0,,3703.3,4073.0,3957.1,2910.9,,3493.9,2620.6,-619.1,-595.8,-628.6,-985.0,-479.0,,-290.7,79.0,-36.9,-1083.1,,-500.1,-1373.4,True,False,False,True,,True,True,True,False,,True,False
Oregon,2137,2802.4,1655.9,2859.8,1840.0,2704.5,,3542.1,2652.0,3336.5,1845.5,,2681.8,1667.8,665.4,-481.1,722.8,-297.0,567.5,,1405.1,515.0,1199.5,-291.5,,544.8,-469.2,True,False,True,True,,False,True,False,True,,True,True
Pennsylvania,23043,24394.0,30466.5,24818.4,28562.0,27498.2,,26825.4,26076.0,35409.7,25282.2,,21287.8,15394.6,1351.0,7423.5,1775.4,5519.0,4455.2,,3782.4,3033.0,12366.7,2239.2,,-1755.2,-7648.4,False,False,False,False,,False,False,False,False,,False,False
Rhode Island,2459,2536.4,2522.5,2552.2,2642.0,2477.1,,2555.9,2433.0,2886.2,2116.5,,2207.1,1664.4,220.4,206.5,236.2,326.0,161.1,,239.9,117.0,570.2,-199.5,,-108.9,-651.6,True,False,False,True,,False,True,False,True,,True,False
South Carolina,7911,6475.0,8643.8,6574.8,15581.0,6967.4,,7145.6,6323.0,8504.1,7546.4,,6587.4,5474.9,-1436.0,732.8,-1336.2,7670.0,-943.6,,-765.4,-1588.0,593.1,-364.6,,-1323.6,-2436.1,True,True,False,True,,True,False,True,True,,True,False
South Dakota,1838,2162.4,1858.8,2206.0,1889.0,2140.2,,1987.8,2652.0,2401.8,1602.4,,1681.8,1781.8,324.4,20.8,368.0,51.0,302.2,,149.8,814.0,563.8,-235.6,,-156.2,-56.2,True,False,True,True,,True,False,False,True,,True,True
Tennessee,10902,10856.0,10871.3,10439.5,64896.0,10965.2,,10380.6,11324.0,14770.5,22846.8,,11074.0,7144.8,-46.0,-30.7,-462.5,53994.0,63.2,,-521.4,422.0,3868.5,11944.8,,172.0,-3757.2,True,False,False,False,,False,False,False,False,,False,False
Texas,41149,37039.1,48245.9,36954.0,42258.0,37256.4,,36496.3,36344.0,43802.7,34913.3,,34633.7,29377.1,-3902.9,7303.9,-3988.0,1316.0,-3685.6,,-4445.7,-4598.0,2860.7,-6028.7,,-6308.3,-11564.9,False,False,True,True,,False,False,True,False,,False,False
Utah,1790,1940.7,1471.0,2028.2,1630.0,2266.0,,2354.2,2246.0,2145.0,1423.0,,1843.9,1012.6,150.7,-319.0,238.2,-160.0,476.0,,564.2,456.0,355.0,-367.0,,53.9,-777.4,False,False,False,False,,False,False,False,False,,True,False
Vermont,189,236.7,223.2,212.0,178.0,259.5,,228.1,289.0,317.5,230.6,,185.7,118.6,47.7,34.2,23.0,-11.0,70.5,,39.1,100.0,128.5,41.6,,-3.3,-70.4,True,True,True,False,,True,False,False,True,,True,False
Virginia,6996,6527.9,8487.2,6516.5,8438.0,6761.7,,7611.1,6558.5,8343.5,7183.0,,6011.9,5210.2,-468.1,1491.2,-479.5,1442.0,-234.3,,615.1,-437.5,1347.5,187.0,,-984.1,-1785.8,False,False,False,True,,False,True,False,True,,False,False
Washington,4675,4384.7,3468.4,4407.8,3339.0,3830.1,,5121.1,4692.0,4156.8,3464.4,,4351.4,3471.8,-290.3,-1206.6,-267.2,-1336.0,-844.9,,446.1,17.0,-518.2,-1210.6,,-323.6,-1203.2,False,True,False,False,,False,True,False,False,,False,False
West Virginia,2201,2385.1,2420.5,2370.9,2202.0,2253.5,,2536.4,2412.0,3399.8,2134.7,,2545.7,1468.4,184.1,219.5,169.9,1.0,52.5,,335.4,211.0,1198.8,-66.3,,344.7,-732.6,False,True,True,True,,False,False,False,True,,False,False
Wisconsin,6744,7917.3,7978.0,7907.2,6322.0,6746.2,,7734.3,7604.0,8205.6,5467.3,,7189.8,5830.2,1173.3,1234.0,1163.2,-422.0,2.2,,990.3,860.0,1461.6,-1276.7,,445.8,-913.8,False,True,True,True,,True,True,False,False,,True,True
Wyoming,647,586.7,487.1,591.0,443.0,564.4,,604.6,857.0,543.3,399.8,,474.2,456.0,-60.3,-159.9,-56.0,-204.0,-82.6,,-42.4,210.0,-103.7,-247.2,,-172.8,-191.0,False,True,False,False,,True,False,False,False,,False,False
US,485911,462043.0,699938.8,462206.5,680436.0,466192.4,479588.0,491815.0,479595.0,559613.8,459912.8,473746.0,446781.6,356631.6,-18841.0,219054.8,-18677.5,199552.0,-14691.6,-1296.0,10931.0,-1289.0,78729.8,-20971.2,-7138.0,-34102.4,-124252.4,False,True,False,True,True,True,True,False,False,True,False,False
