,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Kansas,4329,4101.3,4081.8,4090.1,4098.6,4096.0,4127.0,4099.0,4060.0,4112.0,4030.3,,4155.0,4158.0,4355.9,,4091.9,4101.2,,3874.6,4185.0,7524.6,4034.0,4115.4,4104.0,3967.0,3951.4,4129.0,4109.0,4116.7,4074.9,4028.7,4017.0,,,3993.9,4122.0,4047.0,4538.2,4015.0,4150.7,,4120.2,4075.5,4048.0,4311.8,4063.0,,4052.2,4163.0,-227.7,-247.2,-238.9,-230.4,-233.0,-202.0,-230.0,-269.0,-217.0,-298.7,,-174.0,-171.0,26.9,,-237.1,-227.8,,-454.4,-144.0,3195.6,-295.0,-213.6,-225.0,-362.0,-377.6,-200.0,-220.0,-212.3,-254.1,-300.3,-312.0,,,-335.1,-207.0,-282.0,209.2,-314.0,-178.3,,-208.8,-253.5,-281.0,-17.2,-266.0,,-276.8,-166.0,False,False,False,False,True,False,False,True,False,,True,True,True,,False,False,,False,True,False,False,True,True,False,False,True,True,True,False,False,False,,,False,True,False,True,False,True,,True,False,False,True,False,,False,True
Kentucky,4272,4346.7,4543.8,4284.6,4371.7,4318.0,4370.0,4279.0,4217.0,3980.0,4210.3,,3932.9,4060.0,4169.2,,,4334.1,,4211.4,4503.0,5188.0,4342.0,4321.3,4134.2,4368.0,4298.2,4279.0,4336.1,4293.0,4246.0,4337.2,4229.0,,,4242.6,4140.0,4236.0,4000.3,4189.0,4364.3,,4316.2,4359.4,4204.0,4326.3,4286.0,,3997.2,4289.0,74.7,271.8,12.6,99.7,46.0,98.0,7.0,-55.0,-292.0,-61.7,,-339.1,-212.0,-102.8,,,62.1,,-60.6,231.0,916.0,70.0,49.3,-137.8,96.0,26.2,7.0,64.1,21.0,-26.0,65.2,-43.0,,,-29.4,-132.0,-36.0,-271.7,-83.0,92.3,,44.2,87.4,-68.0,54.3,14.0,,-274.8,17.0,False,True,False,True,False,True,True,False,True,,False,False,False,,,True,,True,False,False,True,True,False,False,True,True,True,True,True,True,True,,,True,False,True,False,False,False,,True,False,True,True,True,,False,True
Louisiana,9276,9405.0,9462.6,9451.9,9419.7,9399.0,9436.8,9376.0,9324.0,9256.0,9434.9,,9249.8,9412.0,9558.6,,9398.1,9361.5,,9374.5,9582.0,9251.5,9382.0,9272.8,9283.1,9323.0,9349.0,9515.0,9474.5,9344.4,9428.2,9311.0,9468.0,,9382.2,9279.6,9376.0,9362.0,9760.8,9468.0,9337.4,,9354.7,9437.1,9388.0,9302.4,9262.0,,9145.0,9433.0,129.0,186.6,175.9,143.7,123.0,160.8,100.0,48.0,-20.0,158.9,,-26.2,136.0,282.6,,122.1,85.5,,98.5,306.0,-24.5,106.0,-3.2,7.1,47.0,73.0,239.0,198.5,68.4,152.2,35.0,192.0,,106.2,3.6,100.0,86.0,484.8,192.0,61.4,,78.7,161.1,112.0,26.4,-14.0,,-131.0,157.0,False,False,False,True,False,True,True,True,False,,True,False,False,,True,True,,True,False,True,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,False,True,,True,False,True,True,True,,False,False
Maine,647,675.4,678.8,695.2,685.0,654.0,682.0,683.0,674.0,680.0,688.2,,718.1,688.0,651.7,,659.3,679.4,,646.4,730.0,685.0,696.0,787.2,690.3,645.0,647.8,725.0,,696.2,682.6,677.6,669.0,,,654.5,717.0,694.0,716.3,642.0,628.3,,719.9,685.5,656.0,714.0,676.0,,643.9,718.0,28.4,31.8,48.2,38.0,7.0,35.0,36.0,27.0,33.0,41.2,,71.1,41.0,4.7,,12.3,32.4,,-0.6,83.0,38.0,49.0,140.2,43.3,-2.0,0.8,78.0,,49.2,35.6,30.6,22.0,,,7.5,70.0,47.0,69.3,-5.0,-18.7,,72.9,38.5,9.0,67.0,29.0,,-3.1,71.0,False,False,False,True,False,False,True,False,False,,False,False,True,,True,False,,True,False,False,False,False,False,True,True,False,,False,False,False,True,,,True,False,False,False,True,True,,False,False,True,False,False,,True,False
Maryland,7536,7613.6,7646.1,7663.9,7643.2,7657.0,7646.9,7608.0,7559.0,7636.0,7619.9,,7417.6,7968.0,7521.4,,7557.7,7674.1,,7709.0,7690.0,7810.6,7667.0,7578.8,7574.4,7518.0,7585.3,7665.0,7541.5,7649.7,7626.4,7549.4,7618.0,,7656.3,7568.6,7687.0,7557.0,7494.8,7492.0,7584.4,,7671.2,7582.6,7520.0,7542.3,7597.0,,7409.6,7584.0,77.6,110.1,127.9,107.2,121.0,110.9,72.0,23.0,100.0,83.9,,-118.4,432.0,-14.6,,21.7,138.1,,173.0,154.0,274.6,131.0,42.8,38.4,-18.0,49.3,129.0,5.5,113.7,90.4,13.4,82.0,,120.3,32.6,151.0,21.0,-41.2,-44.0,48.4,,135.2,46.6,-16.0,6.3,61.0,,-126.4,48.0,False,False,False,False,False,True,True,False,False,,False,False,True,,True,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,False,,False,True,False,True,True,True,True,,False,True,True,True,True,,False,True
Massachusetts,15424,15401.6,15425.0,15472.4,15451.0,15417.0,15464.6,15377.0,15298.0,15446.0,15355.2,,15338.9,15548.0,15302.0,,15358.5,15330.9,,15477.7,15426.0,16015.9,15496.0,15229.9,15259.4,15097.0,15303.2,15375.0,15756.2,15479.7,15517.0,15352.3,15074.0,,15370.1,15375.6,15767.0,15406.0,16739.8,15196.0,15280.0,,15492.7,15333.5,15378.0,15504.6,15339.0,,14947.7,15648.0,-22.4,1.0,48.4,27.0,-7.0,40.6,-47.0,-126.0,22.0,-68.8,,-85.1,124.0,-122.0,,-65.5,-93.1,,53.7,2.0,591.9,72.0,-194.1,-164.6,-327.0,-120.8,-49.0,332.2,55.7,93.0,-71.7,-350.0,,-53.9,-48.4,343.0,-18.0,1315.8,-228.0,-144.0,,68.7,-90.5,-46.0,80.6,-85.0,,-476.3,224.0,True,False,False,True,False,False,False,True,False,,False,False,False,,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,,False,False,False,False,False,,False,False
Michigan,16119,16163.9,16411.9,16282.6,16077.7,16350.0,16213.0,16170.0,16138.0,16289.0,16281.1,,16002.7,16310.0,16326.4,,16076.1,16168.7,,16511.6,16821.0,16850.2,16344.0,16138.3,16172.9,15969.0,16013.4,16255.0,16038.0,16105.6,16161.5,16103.5,16237.0,,16176.0,16114.0,16338.0,16119.0,16106.9,15927.0,16067.2,,16105.8,16223.9,16111.0,16526.0,16097.0,,16019.9,16508.0,44.9,292.9,163.6,-41.3,231.0,94.0,51.0,19.0,170.0,162.1,,-116.3,191.0,207.4,,-42.9,49.7,,392.6,702.0,731.2,225.0,19.3,53.9,-150.0,-105.6,136.0,-81.0,-13.4,42.5,-15.5,118.0,,57.0,-5.0,219.0,0.0,-12.1,-192.0,-51.8,,-13.2,104.9,-8.0,407.0,-22.0,,-99.1,389.0,False,False,True,False,False,False,True,False,False,,False,False,False,,True,False,,False,False,False,False,True,False,False,False,False,False,True,True,True,False,,False,True,False,True,True,False,False,,True,False,True,False,True,,False,False
Minnesota,6437,6463.0,6489.7,6488.9,6498.2,6520.0,6502.8,6492.0,6469.0,6498.0,6519.1,,6456.7,6499.0,6470.3,,6484.7,6468.1,,6616.0,6570.0,7599.5,6517.0,6546.1,6462.3,6377.0,6438.7,6523.0,6393.0,6483.9,6510.3,6450.6,6670.0,,6620.6,6449.9,6534.0,6471.0,5697.4,6454.0,6571.6,,6504.2,6490.8,6464.0,6525.2,6449.0,,6491.7,6543.0,26.0,52.7,51.9,61.2,83.0,65.8,55.0,32.0,61.0,82.1,,19.7,62.0,33.3,,47.7,31.1,,179.0,133.0,1162.5,80.0,109.1,25.3,-60.0,1.7,86.0,-44.0,46.9,73.3,13.6,233.0,,183.6,12.9,97.0,34.0,-739.6,17.0,134.6,,67.2,53.8,27.0,88.2,12.0,,54.7,106.0,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,True,False,,False,True,False,False,False,True,False,,False,False,False,False,True,,False,False
Mississippi,6461,6552.0,6461.3,6588.9,6538.8,6526.0,6550.0,6516.0,6423.0,6340.0,6521.0,,6455.5,6369.0,6640.3,,6445.8,6423.1,,6315.0,6729.0,6485.9,6564.0,6362.5,6371.4,6346.0,6473.6,6590.0,6596.1,6552.5,6542.1,6503.9,6561.0,,6589.2,6515.7,6522.0,6510.0,6392.5,6431.0,6517.2,,6567.7,6507.3,6494.0,6586.2,6548.0,,6337.7,6551.0,91.0,0.3,127.9,77.8,65.0,89.0,55.0,-38.0,-121.0,60.0,,-5.5,-92.0,179.3,,-15.2,-37.9,,-146.0,268.0,24.9,103.0,-98.5,-89.6,-115.0,12.6,129.0,135.1,91.5,81.1,42.9,100.0,,128.2,54.7,61.0,49.0,-68.5,-30.0,56.2,,106.7,46.3,33.0,125.2,87.0,,-123.3,90.0,True,False,True,True,True,True,True,False,True,,True,False,False,,True,True,,False,False,True,False,False,True,False,True,False,False,False,True,True,False,,False,True,True,True,True,True,True,,False,True,True,False,True,,False,True
Missouri,7780,7455.1,7666.8,7559.7,7484.0,7477.0,7498.3,7473.0,7405.0,7408.0,7448.3,,7360.9,7475.0,7582.0,,7362.2,7492.8,,6992.8,7815.0,6815.2,7594.0,7165.2,7465.8,7306.0,7381.3,7515.0,7595.3,7519.0,7538.4,7420.7,7746.0,,7493.3,7549.1,7464.0,7471.0,7319.1,7306.0,7259.3,,7536.7,7511.7,7443.0,7474.9,7361.0,,6970.0,7565.0,-294.9,-83.2,-190.3,-266.0,-273.0,-251.7,-277.0,-345.0,-342.0,-301.7,,-389.1,-275.0,-168.0,,-387.8,-257.2,,-757.2,65.0,-934.8,-156.0,-584.8,-284.2,-444.0,-368.7,-235.0,-154.7,-231.0,-211.6,-329.3,-4.0,,-256.7,-200.9,-286.0,-279.0,-430.9,-444.0,-490.7,,-213.3,-238.3,-307.0,-275.1,-389.0,,-780.0,-185.0,True,True,True,True,True,True,False,False,False,,False,True,True,,False,True,,False,True,False,True,False,True,False,False,True,True,True,True,False,True,,True,True,True,True,False,False,False,,True,True,False,True,False,,False,True
Montana,1327,1385.3,1320.8,1339.4,1396.9,1444.0,1414.0,1335.0,1322.0,1300.0,1317.1,,1252.9,1275.0,1324.6,,1414.6,1285.9,,1304.1,1369.0,1723.9,1427.0,1327.9,1300.2,1299.0,1324.7,1325.0,1304.7,1339.7,1339.7,1339.4,1335.0,,,1296.9,1303.0,1307.0,1071.2,1337.0,1442.6,,1362.3,1390.4,1309.0,1360.4,1365.0,,1307.3,1350.0,58.3,-6.2,12.4,69.9,117.0,87.0,8.0,-5.0,-27.0,-9.9,,-74.1,-52.0,-2.4,,87.6,-41.1,,-22.9,42.0,396.9,100.0,0.9,-26.8,-28.0,-2.3,-2.0,-22.3,12.7,12.7,12.4,8.0,,,-30.1,-24.0,-20.0,-255.8,10.0,115.6,,35.3,63.4,-18.0,33.4,38.0,,-19.7,23.0,True,True,False,False,False,True,True,True,True,,False,True,True,,False,True,,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,True,False,,True,False,True,True,True,,True,True
Nebraska,2002,1996.1,1990.9,1982.9,1992.2,2021.0,2002.0,2002.0,1994.0,2017.0,2036.6,,1976.8,1980.0,2013.3,,2012.8,2020.8,,1980.3,2040.0,2329.8,2040.0,2076.8,1998.6,1953.0,1982.2,2058.0,1957.5,1999.3,2032.8,1985.9,2009.0,,,1995.0,2038.0,2016.0,1791.4,1966.0,1998.6,,2022.1,2028.4,1998.0,1997.2,1981.0,,2005.9,2035.0,-5.9,-11.1,-19.1,-9.8,19.0,0.0,0.0,-8.0,15.0,34.6,,-25.2,-22.0,11.3,,10.8,18.8,,-21.7,38.0,327.8,38.0,74.8,-3.4,-49.0,-19.8,56.0,-44.5,-2.7,30.8,-16.1,7.0,,,-7.0,36.0,14.0,-210.6,-36.0,-3.4,,20.1,26.4,-4.0,-4.8,-21.0,,3.9,33.0,False,False,False,False,True,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,False,False,False,False,False,True,,False,False,True,True,False,,True,False
Nevada,4694,4723.1,4771.0,4765.0,4761.0,4703.0,4770.0,4677.0,4653.0,4643.0,4686.6,,4537.9,4676.0,4705.1,,,4609.7,,4654.7,4886.0,4259.8,4760.0,4541.2,4611.6,4656.0,4593.8,4750.0,4737.0,4757.1,4683.4,4749.5,4865.0,,4775.4,4636.9,4623.0,4609.0,4454.6,4543.0,4744.9,,4772.7,4706.4,4590.0,4909.9,4672.0,,4550.4,4720.0,29.1,77.0,71.0,67.0,9.0,76.0,-17.0,-41.0,-51.0,-7.4,,-156.1,-18.0,11.1,,,-84.3,,-39.3,192.0,-434.2,66.0,-152.8,-82.4,-38.0,-100.2,56.0,43.0,63.1,-10.6,55.5,171.0,,81.4,-57.1,-71.0,-85.0,-239.4,-151.0,50.9,,78.7,12.4,-104.0,215.9,-22.0,,-143.6,26.0,False,False,False,True,False,True,False,False,True,,False,True,True,,,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,,False,True,False,False,True,,False,True
New Hampshire,1130,1187.0,1139.4,1164.3,1179.2,1167.0,1164.0,1164.0,1146.0,1143.0,1160.4,,1166.9,1164.0,1158.8,,1138.5,1142.0,,1133.1,1167.0,1477.9,1168.0,1229.6,1142.9,1130.0,1142.2,1178.0,,1167.2,1174.5,1157.0,1198.0,,,1159.6,1180.0,1168.0,1200.7,1190.0,1151.0,,1191.4,1162.3,1145.0,1166.3,1154.0,,1102.3,1172.0,57.0,9.4,34.3,49.2,37.0,34.0,34.0,16.0,13.0,30.4,,36.9,34.0,28.8,,8.5,12.0,,3.1,37.0,347.9,38.0,99.6,12.9,0.0,12.2,48.0,,37.2,44.5,27.0,68.0,,,29.6,50.0,38.0,70.7,60.0,21.0,,61.4,32.3,15.0,36.3,24.0,,-27.7,42.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,True,,True,True,True,False,,,True,True,True,False,False,True,,False,True,True,True,True,,True,True
New Jersey,22440,22473.9,22664.0,22518.9,22510.0,22448.0,22497.2,22479.0,22383.0,22881.0,22544.9,,22381.4,22591.0,22190.9,,22281.0,22347.5,,22355.9,22783.0,22962.5,22540.0,22391.9,22466.8,22213.0,22411.4,22499.0,22390.5,22529.4,22614.6,22451.1,21914.0,,22344.2,22318.0,23232.0,22438.0,21448.9,22289.0,22481.7,,22529.7,22454.7,22253.0,22543.0,22483.0,,21890.7,22643.0,33.9,224.0,78.9,70.0,8.0,57.2,39.0,-57.0,441.0,104.9,,-58.6,151.0,-249.1,,-159.0,-92.5,,-84.1,343.0,522.5,100.0,-48.1,26.8,-227.0,-28.6,59.0,-49.5,89.4,174.6,11.1,-526.0,,-95.8,-122.0,792.0,-2.0,-991.1,-151.0,41.7,,89.7,14.7,-187.0,103.0,43.0,,-549.3,203.0,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,True,False,,False,False,False,True,False,False,False,,False,True,False,False,False,,False,False
New Mexico,3516,3539.3,3572.4,3599.8,3563.2,3575.0,3565.0,3535.0,3517.0,3510.0,3546.0,,3444.2,3543.0,3482.3,,3570.9,3567.5,,3631.8,3686.0,3568.8,3611.0,3468.6,3496.9,3497.0,3510.7,3555.0,3515.0,3557.2,3564.5,3499.9,3601.0,,,3534.8,3510.0,3497.0,3481.7,3498.0,3454.9,,3581.0,3559.7,3530.0,3618.2,3493.0,,3493.4,3536.0,23.3,56.4,83.8,47.2,59.0,49.0,19.0,1.0,-6.0,30.0,,-71.8,27.0,-33.7,,54.9,51.5,,115.8,170.0,52.8,95.0,-47.4,-19.1,-19.0,-5.3,39.0,-1.0,41.2,48.5,-16.1,85.0,,,18.8,-6.0,-19.0,-34.3,-18.0,-61.1,,65.0,43.7,14.0,102.2,-23.0,,-22.6,20.0,False,False,False,False,False,True,True,True,False,,False,False,False,,False,False,,False,False,False,False,False,True,True,True,False,True,False,False,True,False,,,True,True,True,False,True,False,,False,False,True,False,True,,True,True
New York,45751,46065.0,45920.4,46191.5,46061.2,46037.0,46091.4,45888.0,45737.0,46021.0,46086.8,,45501.6,46650.0,45441.0,,45445.6,46004.0,,46029.6,46017.0,46000.7,46566.0,46049.2,45867.6,45646.0,45986.1,46176.0,45805.7,45895.1,46183.1,45795.8,45163.5,,45502.9,45833.1,48119.0,46086.0,44297.0,45358.0,46198.2,,45911.0,45870.9,45694.0,45470.0,45832.0,,43829.7,45739.0,314.0,169.4,440.5,310.2,286.0,340.4,137.0,-14.0,270.0,335.8,,-249.4,899.0,-310.0,,-305.4,253.0,,278.6,266.0,249.7,815.0,298.2,116.6,-105.0,235.1,425.0,54.7,144.1,432.1,44.8,-587.5,,-248.1,82.1,2368.0,335.0,-1454.0,-393.0,447.2,,160.0,119.9,-57.0,-281.0,81.0,,-1921.3,-12.0,True,False,True,True,False,True,True,True,False,,True,False,True,,True,True,,True,True,True,False,True,True,True,True,False,True,True,False,True,False,,True,True,False,False,False,False,False,,True,True,True,True,True,,False,True
North Carolina,10453,10523.6,10269.0,10516.1,10718.5,10656.0,10689.0,10452.0,10404.0,10115.0,10345.5,,10097.9,10168.0,10402.1,,10557.4,10142.2,,10311.0,10612.0,10194.2,10539.0,10431.7,10325.5,10256.0,10474.0,10414.0,10603.7,10697.4,10565.6,10543.5,10692.5,,10437.6,10436.6,10466.0,10435.0,10842.1,10325.0,10653.9,,10708.6,10357.3,10432.0,10787.1,10673.0,,9859.9,10727.0,70.6,-184.0,63.1,265.5,203.0,236.0,-1.0,-49.0,-338.0,-107.5,,-355.1,-285.0,-50.9,,104.4,-310.8,,-142.0,159.0,-258.8,86.0,-21.3,-127.5,-197.0,21.0,-39.0,150.7,244.4,112.6,90.5,239.5,,-15.4,-16.4,13.0,-18.0,389.1,-128.0,200.9,,255.6,-95.7,-21.0,334.1,220.0,,-593.1,274.0,False,True,False,False,False,True,True,False,False,,False,False,True,,False,False,,False,False,False,False,True,False,False,True,True,False,False,False,False,False,,True,True,True,True,False,False,False,,False,False,True,False,False,,False,False
North Dakota,1461,1467.4,1493.6,1479.4,1469.0,1479.0,1469.0,1478.0,1473.0,1460.0,1475.0,,1463.4,1480.0,1480.4,,1474.5,1467.9,,1519.3,1534.0,1574.4,1498.0,1470.9,1472.8,1461.0,1473.4,1483.0,1469.2,1473.9,1481.2,1473.6,1481.5,,,1481.4,1486.0,1480.0,1232.9,1474.0,1448.6,,1498.4,1479.0,1478.0,1481.0,1470.0,,1477.3,1494.0,6.4,32.6,18.4,8.0,18.0,8.0,17.0,12.0,-1.0,14.0,,2.4,19.0,19.4,,13.5,6.9,,58.3,73.0,113.4,37.0,9.9,11.8,0.0,12.4,22.0,8.2,12.9,20.2,12.6,20.5,,,20.4,25.0,19.0,-228.1,13.0,-12.4,,37.4,18.0,17.0,20.0,9.0,,16.3,33.0,False,False,False,False,False,False,False,True,False,,True,False,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Ohio,17746,12036.7,12200.0,12075.0,11964.6,12085.0,12003.1,11917.0,11853.0,11751.0,11981.6,,11641.2,11863.0,12165.3,,11797.3,11784.7,,11906.1,12145.0,12547.2,12126.0,12426.3,11855.6,11828.0,11974.6,12168.0,11907.4,12081.4,12089.3,11907.8,12612.0,,12128.8,11821.0,11962.0,11917.0,13613.2,11775.0,12006.0,,12092.6,12105.1,11948.0,12124.6,11911.0,,11785.8,11913.0,137.7,301.0,176.0,65.6,186.0,104.1,18.0,-46.0,-148.0,82.6,,-257.8,-36.0,266.3,,-101.7,-114.3,,7.1,246.0,648.2,227.0,527.3,-43.4,-71.0,75.6,269.0,8.4,182.4,190.3,8.8,713.0,,229.8,-78.0,63.0,18.0,1714.2,-124.0,107.0,,193.6,206.1,49.0,225.6,12.0,,-113.2,14.0,False,False,True,False,True,True,True,False,True,,False,True,False,,True,True,,True,False,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,True,False,True,True,,False,False,True,False,True,,True,True
Oklahoma,3994,4044.7,4141.8,4033.3,4041.9,4036.0,4050.0,3990.0,3918.0,3743.0,3987.7,,3756.9,3893.0,3921.1,,3914.8,3874.2,,3992.1,4113.0,3756.2,4067.0,4033.8,3860.6,4078.0,4002.5,4025.0,4091.4,4001.4,3992.2,3983.1,4031.0,,,4008.4,3916.0,3923.0,3413.1,4032.0,4022.4,,4024.0,4142.7,3935.0,4082.3,3980.0,,3788.7,3941.0,50.7,147.8,39.3,47.9,42.0,56.0,-4.0,-76.0,-251.0,-6.3,,-237.1,-101.0,-72.9,,-79.2,-119.8,,-1.9,119.0,-237.8,73.0,39.8,-133.4,84.0,8.5,31.0,97.4,7.4,-1.8,-10.9,37.0,,,14.4,-78.0,-71.0,-580.9,38.0,28.4,,30.0,148.7,-59.0,88.3,-14.0,,-205.3,-53.0,False,True,True,True,False,True,False,False,True,,False,False,False,,False,False,,True,False,False,False,True,False,False,True,True,False,True,True,True,True,,,True,False,False,False,True,True,,True,False,False,False,True,,False,False
Oregon,2137,2100.0,2053.6,2151.4,2117.2,2096.0,2117.0,2113.0,2095.0,2081.0,2142.9,,2045.4,2113.0,2115.4,,2097.3,2067.5,,2071.7,2268.0,2253.5,2129.0,2236.4,2120.6,2037.0,2071.2,2162.0,,2121.2,2104.6,2088.7,2139.0,,,2074.5,2136.0,2126.0,2251.4,2090.0,2138.1,,2144.4,2150.4,2106.0,2193.6,2132.0,,2083.8,2153.0,-37.0,-83.4,14.4,-19.8,-41.0,-20.0,-24.0,-42.0,-56.0,5.9,,-91.6,-24.0,-21.6,,-39.7,-69.5,,-65.3,131.0,116.5,-8.0,99.4,-16.4,-100.0,-65.8,25.0,,-15.8,-32.4,-48.3,2.0,,,-62.5,-1.0,-11.0,114.4,-47.0,1.1,,7.4,13.4,-31.0,56.6,-5.0,,-53.2,16.0,False,True,True,False,True,True,False,False,True,,False,True,True,,False,False,,False,False,False,True,False,True,False,False,True,,True,True,False,True,,,False,True,True,False,False,True,,True,True,True,False,True,,False,True
Pennsylvania,23043,23632.0,24107.8,24088.4,23783.4,23691.0,23778.0,23590.0,23452.0,23392.0,23497.5,,23060.3,23341.0,23467.4,,23297.0,23156.2,,23579.4,24380.0,22162.0,23674.0,23233.7,23466.9,23254.0,23438.6,23682.0,23556.0,23844.0,23675.6,23810.4,23632.0,,23642.5,23271.5,23617.0,23382.0,23644.2,23258.0,23509.6,,23828.1,23316.6,23362.0,23676.4,23632.0,,22894.4,23774.0,589.0,1064.8,1045.4,740.4,648.0,735.0,547.0,409.0,349.0,454.5,,17.3,298.0,424.4,,254.0,113.2,,536.4,1337.0,-881.0,631.0,190.7,423.9,211.0,395.6,639.0,513.0,801.0,632.6,767.4,589.0,,599.5,228.5,574.0,339.0,601.2,215.0,466.6,,785.1,273.6,319.0,633.4,589.0,,-148.6,731.0,False,False,False,False,False,True,True,True,True,,True,True,True,,True,True,,True,False,False,False,True,True,True,True,False,True,False,False,False,False,,False,True,True,True,False,True,True,,False,True,True,False,False,,True,False
