,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Georgia,15850,12787.3,12706.2,12812.7,25671.0,13742.5,,15065.9,13707.0,14618.8,15078.0,,12854.6,-3062.7,-3143.8,-3037.3,9821.0,-2107.5,,-784.1,-2143.0,-1231.2,-772.0,,-2995.4,False,True,False,True,,True,True,True,True,,True
Hawaii,424,305.6,380.0,317.8,480.0,408.3,,430.1,,406.3,354.5,,328.4,-118.4,-44.0,-106.2,56.0,-15.7,,6.1,,-17.7,-69.5,,-95.6,True,True,True,True,,True,,True,True,,True
Idaho,1803,1861.4,1671.1,1906.7,1725.0,2236.3,,2294.3,1990.0,2137.6,1603.5,,1769.4,58.4,-131.9,103.7,-78.0,433.3,,491.3,187.0,334.6,-199.5,,-33.6,False,False,False,False,,False,False,False,False,,True
Illinois,22087,23706.3,24270.4,23503.6,22957.0,23226.2,,24669.0,23234.0,24794.4,18238.9,,20743.9,1619.3,2183.4,1416.6,870.0,1139.2,,2582.0,1147.0,2707.4,-3848.1,,-1343.1,False,True,True,True,,False,True,False,False,,True
Indiana,12149,10853.3,10706.3,11041.1,10684.0,11817.6,,11165.9,11705.0,11608.9,8697.4,,9753.6,-142.7,-289.7,45.1,-312.0,821.6,,169.9,709.0,612.9,-2298.6,,-1242.4,False,True,False,False,,False,False,False,False,,False
Iowa,5236,4813.7,6267.5,5219.5,6890.0,5660.5,,3954.8,5760.0,4987.6,4242.2,,4906.0,-422.3,1031.5,-16.5,1654.0,424.5,,-1281.2,524.0,-248.4,-993.8,,-330.0,False,True,False,False,,False,False,True,False,,True
Kansas,4329,3613.9,4843.4,3637.0,4129.0,4336.1,,4656.3,4467.0,4772.7,3380.9,,3917.3,-715.1,514.4,-692.0,-200.0,7.1,,327.3,138.0,443.7,-948.1,,-411.7,True,True,True,True,,True,True,True,False,,True
Kentucky,4272,3638.4,3733.8,3674.7,3113.0,3641.7,,3654.6,3852.0,3692.5,3355.4,,3694.8,-633.6,-538.2,-597.3,-1159.0,-630.3,,-617.4,-420.0,-579.5,-916.6,,-577.2,True,True,False,True,,True,True,True,False,,True
Louisiana,9276,8998.4,7873.1,9219.0,8406.0,9294.8,,9254.6,9884.0,9121.7,7718.1,,9147.8,-277.6,-1402.9,-57.0,-870.0,18.8,,-21.4,608.0,-154.3,-1557.9,,-128.2,False,True,False,True,,True,False,True,False,,True
Maine,647,535.6,460.2,508.0,1995.0,972.4,,658.1,679.0,928.3,739.3,,397.8,-111.4,-186.8,-139.0,1348.0,325.4,,11.1,32.0,281.3,92.3,,-249.2,False,False,False,False,,True,True,False,True,,False
Maryland,7536,7522.3,6403.5,7556.7,7187.0,8229.3,,8609.5,7976.0,8255.2,6328.5,,6771.8,-13.7,-1132.5,20.7,-349.0,693.3,,1073.5,440.0,719.2,-1207.5,,-764.2,False,False,False,False,,False,False,False,False,,False
Massachusetts,15424,14804.9,14633.9,14481.5,14802.0,16554.7,,15498.0,15520.0,16124.9,13759.8,,13449.8,-619.1,-790.1,-942.5,-622.0,1130.7,,74.0,96.0,700.9,-1664.2,,-1974.2,False,False,False,False,,True,True,False,False,,False
Michigan,16119,16914.0,17677.1,16999.4,14173.0,16491.3,,17430.8,18387.0,17570.1,13020.3,,15203.1,795.0,1558.1,880.4,-1946.0,372.3,,1311.8,2268.0,1451.1,-3098.7,,-915.9,False,False,False,True,,False,False,False,False,,False
Minnesota,6437,7242.6,7592.1,7455.0,5849.0,6825.9,,7422.3,8207.0,6883.0,5209.4,,6358.9,805.6,1155.1,1018.0,-588.0,388.9,,985.3,1770.0,446.0,-1227.6,,-78.1,False,False,True,True,,False,False,True,False,,True
Mississippi,6461,5956.9,5720.1,5789.6,6240.0,6979.2,,6562.9,6582.0,6685.5,5662.8,,5811.5,-504.1,-740.9,-671.4,-221.0,518.2,,101.9,121.0,224.5,-798.2,,-649.5,False,False,True,False,,True,True,True,False,,False
Missouri,7780,8179.6,6283.9,8425.9,8274.0,7918.7,,8192.5,8840.0,8278.9,5666.6,,6385.9,429.6,-1466.1,675.9,524.0,168.7,,442.5,1090.0,528.9,-2083.4,,-1364.1,False,False,False,True,,False,False,False,False,,False
Montana,1327,1328.6,1286.1,1304.1,1064.0,1134.9,,1252.4,1485.0,1099.6,1036.9,,1479.9,1.6,-40.9,-22.9,-263.0,-192.1,,-74.6,158.0,-227.4,-290.1,,152.9,False,False,False,False,,False,False,False,False,,False
Nebraska,2002,2059.6,2444.4,2147.1,1935.0,2397.3,,2611.6,2546.5,2218.1,1708.8,,1837.2,57.6,442.4,145.1,-67.0,395.3,,609.6,544.5,216.1,-293.2,,-164.8,False,False,False,False,,False,False,False,False,,False
Nevada,4694,4122.6,3383.6,4293.0,3921.0,4705.4,,4897.1,4699.0,5166.4,3253.5,,4024.8,-571.4,-1310.4,-401.0,-773.0,11.4,,203.1,5.0,472.4,-1440.5,,-669.2,False,True,False,True,,True,True,True,False,,False
New Hampshire,1130,1064.6,1937.1,1058.0,1014.0,1371.4,,1406.0,1258.5,1385.6,918.0,,913.7,-65.4,807.1,-72.0,-116.0,241.4,,276.0,128.5,255.6,-212.0,,-216.3,False,False,False,False,,False,False,False,False,,False
New Jersey,22440,21619.7,21486.8,21698.0,20798.0,22302.9,,23096.2,21933.0,23149.7,19569.1,,21664.6,-820.3,-953.2,-742.0,-1642.0,-137.1,,656.2,-507.0,709.7,-2870.9,,-775.4,False,True,False,True,,True,True,True,False,,True
New Mexico,3516,3546.0,2859.1,3442.4,2893.0,3294.1,,3953.3,3707.0,3602.5,2546.3,,2666.8,30.0,-656.9,-73.6,-623.0,-221.9,,437.3,191.0,86.5,-969.7,,-849.2,False,False,False,False,,False,False,False,False,,False
New York,45751,44131.0,40286.9,44134.3,42133.0,45352.9,,46719.4,44142.0,47185.4,41206.2,,45820.2,-1620.0,-5464.1,-1616.7,-3618.0,-398.1,,968.4,-1609.0,1434.4,-4544.8,,69.2,False,True,False,True,,True,True,True,False,,True
North Carolina,10453,8777.6,8990.8,8920.4,8834.0,9876.9,,10081.2,9881.0,9917.6,8536.2,,8694.4,-1675.4,-1462.2,-1532.6,-1619.0,-576.1,,-371.8,-572.0,-535.4,-1916.8,,-1758.6,True,True,True,True,,True,True,True,False,,False
North Dakota,1461,1506.0,1480.3,1495.1,1424.0,1581.1,,1872.3,1940.0,1503.3,1271.4,,1379.1,45.0,19.3,34.1,-37.0,120.1,,411.3,479.0,42.3,-189.6,,-81.9,True,True,True,False,,False,False,True,False,,False
Ohio,17746,11677.0,10160.1,11591.6,10659.0,13303.4,,13272.8,13374.0,13820.0,9688.9,,11520.3,-1780.0,-3296.9,-1865.4,-2798.0,-153.6,,-184.2,-83.0,363.0,-3768.1,,-1936.7,False,False,False,True,,True,True,True,False,,False
Oklahoma,3994,3453.4,3485.1,3533.0,3651.0,3502.8,,3837.3,4015.0,3961.8,3369.3,,3734.3,-540.6,-508.9,-461.0,-343.0,-491.2,,-156.7,21.0,-32.2,-624.7,,-259.7,True,True,True,True,,True,True,True,False,,True
Oregon,2137,2016.7,1476.9,1996.0,1758.0,2604.4,,3212.5,2782.0,2378.0,1715.3,,2079.9,-120.3,-660.1,-141.0,-379.0,467.4,,1075.5,645.0,241.0,-421.7,,-57.1,False,False,False,False,,False,False,False,False,,True
Pennsylvania,23043,22751.9,24109.3,22584.8,19942.0,28218.8,,26305.6,25876.0,30078.0,18247.0,,19033.0,-291.1,1066.3,-458.2,-3101.0,5175.8,,3262.6,2833.0,7035.0,-4796.0,,-4010.0,False,False,False,False,,False,False,False,False,,False
Rhode Island,2459,2245.7,2585.9,2258.1,1910.0,2545.0,,2592.4,2507.5,2425.0,1813.5,,1872.0,-48.3,291.9,-35.9,-384.0,251.0,,298.4,213.5,131.0,-480.5,,-422.0,False,True,False,False,,False,False,False,False,,False
South Carolina,7911,6663.6,8215.4,6727.9,7727.0,7681.4,,7079.6,6943.0,7451.2,6764.6,,6628.9,-1247.4,304.4,-1183.1,-184.0,-229.6,,-831.4,-968.0,-459.8,-1146.4,,-1282.1,True,True,True,True,,True,True,True,True,,False
South Dakota,1838,2028.9,1808.9,2118.0,1809.0,2044.0,,1832.8,2093.0,2108.8,1493.8,,1719.2,190.9,-29.1,280.0,-29.0,206.0,,-5.2,255.0,270.8,-344.2,,-118.8,True,False,True,False,,True,False,False,False,,True
Tennessee,10902,9536.0,10692.5,9823.5,16535.0,13167.8,,12554.8,12092.0,13360.5,12417.5,,10175.0,-1366.0,-209.5,-1078.5,5633.0,2265.8,,1652.8,1190.0,2458.5,1515.5,,-727.0,True,True,False,False,,False,True,False,False,,True
Texas,41149,34776.3,43905.2,35328.7,44259.0,36987.3,,37251.4,38124.0,39626.4,34491.7,,32384.9,-6208.7,2920.2,-5656.3,3274.0,-3997.7,,-3733.6,-2861.0,-1358.6,-6493.3,,-8600.1,True,True,True,True,,True,True,True,False,,False
Utah,1790,1618.6,1324.5,1659.9,1696.0,2137.3,,2388.4,2142.0,1886.8,1494.1,,1586.7,-171.4,-465.5,-130.1,-94.0,347.3,,598.4,352.0,96.8,-295.9,,-203.3,False,True,True,False,,False,False,True,False,,False
Vermont,189,236.7,299.6,212.0,194.0,294.6,,235.3,297.0,282.5,175.9,,146.3,47.7,110.6,23.0,5.0,105.6,,46.3,108.0,93.5,-13.1,,-42.7,False,True,True,False,,True,False,False,True,,True
Virginia,6996,6252.9,7751.4,6218.6,7137.0,6953.3,,8434.4,6826.0,7469.7,6119.2,,5428.1,-743.1,755.4,-777.4,141.0,-42.7,,1438.4,-170.0,473.7,-876.8,,-1567.9,False,False,True,True,,False,True,True,False,,False
Washington,4675,3732.6,3854.1,3744.0,3630.0,3944.7,,6028.8,4590.5,3713.0,3367.1,,4243.6,-942.4,-820.9,-931.0,-1045.0,-730.3,,1353.8,-84.5,-962.0,-1307.9,,-431.4,True,True,False,True,,False,True,False,False,,True
West Virginia,2201,2118.0,2473.5,2169.7,2614.0,2521.5,,2569.8,2470.0,3085.4,1787.4,,2118.0,-83.0,272.5,-31.3,413.0,320.5,,368.8,269.0,884.4,-413.6,,-83.0,False,True,False,False,,False,False,False,False,,False
Wisconsin,6744,7068.7,7453.7,7178.9,6816.0,7004.8,,7004.7,7940.0,7340.9,5747.7,,6782.4,324.7,709.7,434.9,72.0,260.8,,260.7,1196.0,596.9,-996.3,,38.4,False,False,True,True,,True,False,False,False,,True
Wyoming,647,523.9,527.7,527.1,464.0,562.1,,672.3,673.0,414.0,444.4,,477.9,-123.1,-119.3,-119.9,-183.0,-84.9,,25.3,26.0,-233.0,-202.6,,-169.1,True,True,False,True,,True,True,False,False,,False
US,485911,439060.9,363001.2,442141.9,479038.0,470893.9,458697.0,493289.9,472398.0,505883.6,416253.1,475768.7,377126.2,-40907.1,-116966.8,-37826.1,-930.0,-9074.1,-21271.0,13321.9,-7570.0,25915.6,-63714.9,-4199.3,-102841.8,False,True,True,True,True,True,True,True,False,True,False
