,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Nebraska,2002,1026.0,1037.3,2439.1,903.0,-976.0,-964.7,437.1,-1099.0,True,True,False
Nevada,4694,2657.3,2444.5,4449.7,2155.0,-2036.7,-2249.5,-244.3,-2539.0,False,True,False
New Hampshire,1130,458.9,485.7,1497.7,483.0,-671.1,-644.3,367.7,-647.0,True,True,True
New Jersey,22440,16880.4,16574.5,26842.3,16556.0,-5559.6,-5865.5,4402.3,-5884.0,False,True,False
New Mexico,3516,1287.0,1314.1,2987.0,1205.0,-2229.0,-2201.9,-529.0,-2311.0,True,True,False
New York,45751,34004.7,33448.1,46561.3,33585.0,-11584.3,-12140.9,972.3,-12004.0,False,True,False
North Carolina,10453,7372.7,7422.2,15082.2,6537.0,-3080.3,-3030.8,4629.2,-3916.0,True,False,False
North Dakota,1461,1005.4,900.3,714.6,523.0,-455.6,-560.7,-746.4,-938.0,False,False,False
Ohio,17746,7243.0,6596.7,14665.1,6445.0,-10879.0,-11525.3,-3456.9,-11677.0,False,True,False
Oklahoma,3994,2197.4,2053.5,4008.2,1956.0,-1796.6,-1940.5,14.2,-2038.0,False,True,False
Oregon,2137,880.6,958.1,3372.1,832.0,-1256.4,-1178.9,1235.1,-1305.0,True,True,False
Pennsylvania,23043,10588.0,9916.2,18712.1,9931.0,-12455.0,-13126.8,-4330.9,-13112.0,False,True,False
Rhode Island,2459,1484.3,1403.4,2245.7,1215.0,-960.7,-1041.6,-199.3,-1230.0,False,True,False
South Carolina,7911,5847.9,4900.5,7554.8,4674.0,-2063.1,-3010.5,-356.2,-3237.0,False,True,False
South Dakota,1838,535.7,616.8,890.2,457.0,-1302.3,-1221.2,-947.8,-1381.0,True,True,False
Tennessee,10902,5534.3,4721.2,8136.7,4596.0,-5367.7,-6180.8,-2765.3,-6306.0,False,True,False
Texas,41149,28791.1,26149.5,38174.2,26022.0,-12073.9,-14715.5,-2690.8,-14843.0,False,True,False
Utah,1790,711.1,1416.6,1272.1,716.0,-1078.9,-373.4,-517.9,-1074.0,True,True,True
Vermont,189,58.0,64.5,71.9,58.0,-131.0,-124.5,-117.1,-131.0,True,True,False
Virginia,6996,6016.4,5312.3,8496.6,5047.0,-977.6,-1681.7,1502.6,-1947.0,False,False,False
Washington,4675,3351.0,2939.8,5808.0,2496.0,-1343.0,-1754.2,1114.0,-2198.0,False,True,False
West Virginia,2201,835.4,976.3,2519.5,802.0,-1365.6,-1224.7,318.5,-1399.0,True,True,False
Wisconsin,6744,2055.4,3520.8,5285.0,2404.0,-4599.6,-3134.2,-1370.0,-4251.0,True,True,True
Wyoming,647,69.9,685.7,105.7,108.0,-577.1,38.7,-541.3,-539.0,True,True,True
US,485911,308946.4,245416.5,489198.9,254998.0,-176750.6,-240280.5,3501.9,-230699.0,False,True,False
