,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15850,15858.3,16014.6,15991.1,15996.5,16021.0,15984.0,15860.0,15815.0,15632.0,15788.6,15944.0,15619.9,15546.0,15824.1,,15772.3,15104.3,15907.2,15836.1,,15658.9,16095.0,14907.0,16023.0,15115.3,15862.0,15713.0,15874.4,15994.0,,15848.0,15905.0,15869.3,15921.0,,16103.4,15837.7,15790.0,15802.0,16250.4,15614.0,15889.3,,15859.8,15939.6,15700.0,15914.1,15988.0,,14973.0,16105.0,8.3,164.6,141.1,146.5,171.0,134.0,10.0,-35.0,-218.0,-61.4,94.0,-230.1,-304.0,-25.9,,-77.7,-745.7,57.2,-13.9,,-191.1,245.0,-943.0,173.0,-734.7,12.0,-137.0,24.4,144.0,,-2.0,55.0,19.3,71.0,,253.4,-12.3,-60.0,-48.0,400.4,-236.0,39.3,,9.8,89.6,-150.0,64.1,138.0,,-877.0,255.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Hawaii,424,423.9,429.8,453.5,420.3,432.0,424.0,427.0,426.0,427.0,432.1,442.0,442.8,428.0,430.6,,,,440.4,448.0,,419.0,,490.4,426.0,445.7,423.1,423.0,427.7,462.0,,424.8,431.1,423.1,426.0,,,427.7,428.0,427.0,389.6,430.0,421.8,,427.2,430.2,426.0,430.8,425.0,,425.6,439.0,-0.1,5.8,29.5,-3.7,8.0,0.0,3.0,2.0,3.0,8.1,18.0,18.8,4.0,6.6,,,,16.4,24.0,,-5.0,,66.4,2.0,21.7,-0.9,-1.0,3.7,38.0,,0.8,7.1,-0.9,2.0,,,3.7,4.0,3.0,-34.4,6.0,-2.2,,3.2,6.2,2.0,6.8,1.0,,1.6,15.0,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,False,False,,False,,False,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Idaho,1803,1803.0,1816.1,1804.4,1809.2,1820.0,1809.0,1809.0,1801.0,1800.0,1810.9,1811.0,1777.7,1797.0,1816.1,,1791.1,,1834.9,1828.2,,1806.1,1834.0,1783.0,1814.0,1827.2,1803.3,1799.0,1797.7,1840.0,1800.9,1809.2,1813.6,1798.5,1811.0,,,1802.7,1812.0,1805.0,1679.5,1794.0,1808.9,,1820.8,1836.4,1796.0,1817.8,1802.0,,1811.7,1821.0,0.0,13.1,1.4,6.2,17.0,6.0,6.0,-2.0,-3.0,7.9,8.0,-25.3,-6.0,13.1,,-11.9,,31.9,25.2,,3.1,31.0,-20.0,11.0,24.2,0.3,-4.0,-5.3,37.0,-2.1,6.2,10.6,-4.5,8.0,,,-0.3,9.0,2.0,-123.5,-9.0,5.9,,17.8,33.4,-7.0,14.8,-1.0,,8.7,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Illinois,22087,22153.7,22191.6,22086.9,22129.1,22204.0,22139.0,22118.0,22075.0,22091.0,22152.2,22140.0,21796.4,22143.0,22380.5,,22077.0,,22037.9,22096.9,,22128.7,22321.0,23397.3,22113.0,20051.0,22148.0,22098.0,22137.1,22165.0,21996.4,22185.6,22172.1,22093.0,22125.0,,22185.4,22062.4,22274.0,22103.0,21874.1,22082.0,22055.2,,22189.4,22192.5,22118.0,22176.4,22096.0,,20044.0,22110.0,66.7,104.6,-0.1,42.1,117.0,52.0,31.0,-12.0,4.0,65.2,53.0,-290.6,56.0,293.5,,-10.0,,-49.1,9.9,,41.7,234.0,1310.3,26.0,-2036.0,61.0,11.0,50.1,78.0,-90.6,98.6,85.1,6.0,38.0,,98.4,-24.6,187.0,16.0,-212.9,-5.0,-31.8,,102.4,105.5,31.0,89.4,9.0,,-2043.0,23.0,False,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,True,,True,False,False,True,False,True,True,True,False,False,False,False,True,True,,False,True,False,True,False,True,True,,False,False,True,False,True,,False,True
Indiana,12149,13396.7,12054.0,12402.1,13676.9,12009.0,13537.0,12102.0,11918.0,11932.0,12165.7,12489.0,10392.2,12120.0,12255.9,,12201.7,,12384.6,12301.6,,10378.8,12172.0,11183.5,11990.0,11669.3,11963.4,12083.0,12566.8,12166.0,15868.9,12003.5,12651.9,12062.5,12063.0,,11977.2,12038.1,12114.0,12190.0,10361.1,12048.0,11945.8,,12040.2,12805.1,12078.0,12013.1,12002.0,,11787.7,17129.0,1247.7,-95.0,253.1,1527.9,-140.0,1388.0,-47.0,-231.0,-217.0,16.7,340.0,-1756.8,-29.0,106.9,,52.7,,235.6,152.6,,-1770.2,23.0,-965.5,-159.0,-479.7,-185.6,-66.0,417.8,17.0,3719.9,-145.5,502.9,-86.5,-86.0,,-171.8,-110.9,-35.0,41.0,-1787.9,-101.0,-203.2,,-108.8,656.1,-71.0,-135.9,-147.0,,-361.3,4980.0,True,True,False,True,False,True,True,True,True,True,False,True,True,,True,,True,True,,False,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,False,True,True,,True,True,True,True,True,,True,False
Iowa,5236,5285.4,5272.2,5346.4,5584.7,5283.0,5565.0,5297.0,5229.0,5226.0,5291.6,5352.0,4706.9,5265.0,5255.5,,5319.4,,5456.6,5277.0,,5170.1,5375.0,5195.4,,5236.5,5222.4,5324.0,5289.6,5293.0,5359.6,5282.4,5373.0,5274.0,5231.0,,5432.5,5255.1,5235.0,5365.0,4529.5,5355.0,5339.8,,5322.3,5412.8,5225.0,,5369.0,,5255.4,5437.0,49.4,36.2,110.4,348.7,47.0,329.0,61.0,-7.0,-10.0,55.6,116.0,-529.1,29.0,19.5,,83.4,,220.6,41.0,,-65.9,139.0,-40.6,,0.5,-13.6,88.0,53.6,57.0,123.6,46.4,137.0,38.0,-5.0,,196.5,19.1,-1.0,129.0,-706.5,119.0,103.8,,86.3,176.8,-11.0,,133.0,,19.4,201.0,True,False,False,True,False,False,True,True,False,False,False,True,True,,False,,False,True,,False,False,True,,True,True,False,False,False,False,True,False,True,True,,False,True,True,False,False,False,False,,False,False,True,,False,,True,False
Kansas,4329,4339.0,4229.9,4239.8,4370.8,4254.0,4383.0,4253.0,4244.0,4225.0,4205.1,4318.0,4027.5,4216.0,4435.6,,4281.6,,4270.6,4287.4,,4028.4,4120.0,4336.4,4257.0,4214.3,4248.3,4260.5,4213.2,4225.0,4256.4,4275.6,4270.5,4366.1,4245.5,,,4253.4,4235.0,4244.0,4539.2,4253.0,4304.5,,4299.9,4316.9,4192.0,4310.3,4202.0,,4229.7,4284.0,10.0,-99.1,-89.2,41.8,-75.0,54.0,-76.0,-85.0,-104.0,-123.9,-11.0,-301.5,-113.0,106.6,,-47.4,,-58.4,-41.6,,-300.6,-209.0,7.4,-72.0,-114.7,-80.7,-68.5,-115.8,-104.0,-72.6,-53.4,-58.5,37.1,-83.5,,,-75.6,-94.0,-85.0,210.2,-76.0,-24.5,,-29.1,-12.1,-137.0,-18.7,-127.0,,-99.3,-45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Kentucky,4272,4313.3,4312.8,4314.1,4326.1,4333.0,4326.0,4301.0,4279.0,4162.0,4251.4,4354.0,4025.9,4193.0,4241.7,,4321.1,,4347.6,4321.8,,4297.1,4454.0,4664.5,4312.0,4275.8,4269.3,4304.0,4264.7,4349.0,4308.3,4302.6,4301.4,4291.9,4338.0,,,4255.7,4225.0,4287.0,4000.3,4235.0,4311.4,,4314.3,4403.4,4239.0,4308.6,4285.0,,4157.3,4346.0,41.3,40.8,42.1,54.1,61.0,54.0,29.0,7.0,-110.0,-20.6,82.0,-246.1,-79.0,-30.3,,49.1,,75.6,49.8,,25.1,182.0,392.5,40.0,3.8,-2.7,32.0,-7.3,77.0,36.3,30.6,29.4,19.9,66.0,,,-16.3,-47.0,15.0,-271.7,-37.0,39.4,,42.3,131.4,-33.0,36.6,13.0,,-114.7,74.0,True,False,False,False,False,True,True,False,True,False,False,False,True,,False,,False,False,,True,False,False,True,True,True,True,True,False,True,True,True,True,False,,,True,False,True,False,True,True,,False,False,True,True,True,,False,False
Louisiana,9276,9341.9,9401.2,9350.5,9358.4,9396.0,9351.0,9334.0,9316.0,9283.0,9350.0,9368.0,9221.0,9388.0,9441.1,,9305.6,,9286.0,9327.2,,9376.8,9554.0,9708.4,9346.0,9306.9,9315.9,9285.0,9316.1,9422.0,9382.0,9313.3,9357.2,9299.5,9378.0,,9338.3,9269.8,9329.0,9334.0,9760.8,9295.0,9336.5,,9320.3,9399.6,9325.0,9360.2,9311.0,,9262.7,9324.0,65.9,125.2,74.5,82.4,120.0,75.0,58.0,40.0,7.0,74.0,92.0,-55.0,112.0,165.1,,29.6,,10.0,51.2,,100.8,278.0,432.4,70.0,30.9,39.9,9.0,40.1,146.0,106.0,37.3,81.2,23.5,102.0,,62.3,-6.2,53.0,58.0,484.8,19.0,60.5,,44.3,123.6,49.0,84.2,35.0,,-13.3,48.0,False,False,False,False,False,True,True,True,False,False,True,False,False,,True,,True,True,,False,False,False,False,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,True,True,,True,False,True,False,True,,True,True
Maine,647,673.6,684.2,678.7,673.6,681.0,678.0,675.0,675.0,675.0,682.0,670.0,684.6,666.0,672.0,,667.3,,684.4,690.3,,670.5,719.0,624.7,689.0,717.2,678.8,658.0,662.6,690.0,,679.1,679.6,665.0,684.0,,,659.8,686.0,669.0,716.3,661.0,655.4,,690.4,686.6,663.0,675.1,674.0,,663.2,676.0,26.6,37.2,31.7,26.6,34.0,31.0,28.0,28.0,28.0,35.0,23.0,37.6,19.0,25.0,,20.3,,37.4,43.3,,23.5,72.0,-22.3,42.0,70.2,31.8,11.0,15.6,43.0,,32.1,32.6,18.0,37.0,,,12.8,39.0,22.0,69.3,14.0,8.4,,43.4,39.6,16.0,28.1,27.0,,16.2,29.0,False,False,False,False,False,False,False,False,False,True,False,True,True,,True,,False,False,,True,False,True,False,False,False,True,True,False,,False,False,True,False,,,True,False,True,False,True,True,,False,False,True,False,False,,True,False
Maryland,7536,7539.3,7583.0,7551.8,7544.6,7583.0,7551.0,7545.0,7525.0,7592.0,7545.6,7544.0,7386.7,7552.0,7601.1,,7502.2,,7519.7,7555.5,,7563.9,7515.0,7697.5,7547.0,7517.1,7562.0,7516.0,7525.1,7563.0,7526.6,7569.9,7548.4,7513.0,7564.0,,7555.6,7533.9,7578.0,7502.0,7405.7,7493.0,7529.4,,7580.7,7543.4,7510.0,7516.5,7530.0,,7434.3,7551.0,3.3,47.0,15.8,8.6,47.0,15.0,9.0,-11.0,56.0,9.6,8.0,-149.3,16.0,65.1,,-33.8,,-16.3,19.5,,27.9,-21.0,161.5,11.0,-18.9,26.0,-20.0,-10.9,27.0,-9.4,33.9,12.4,-23.0,28.0,,19.6,-2.1,42.0,-34.0,-130.3,-43.0,-6.6,,44.7,7.4,-26.0,-19.5,-6.0,,-101.7,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False,,False,False
Massachusetts,15424,15360.7,15341.0,15317.2,15309.3,15347.0,15311.0,15305.0,15263.0,15356.0,15302.7,15302.0,15129.6,15351.0,15417.3,,15279.3,,15198.5,15236.9,,15280.9,15310.0,15817.7,15284.0,15272.7,15238.3,15305.0,15336.2,15293.0,15467.4,15340.6,15359.5,15304.1,15434.0,,15301.6,15271.9,15459.0,15306.0,16739.8,15317.0,15252.9,,15348.6,15275.5,15339.0,15345.7,15302.0,,15169.6,15304.0,-63.3,-83.0,-106.8,-114.7,-77.0,-113.0,-119.0,-161.0,-68.0,-121.3,-122.0,-294.4,-73.0,-6.7,,-144.7,,-225.5,-187.1,,-143.1,-114.0,393.7,-140.0,-151.3,-185.7,-119.0,-87.8,-131.0,43.4,-83.4,-64.5,-119.9,10.0,,-122.4,-152.1,35.0,-118.0,1315.8,-107.0,-171.1,,-75.4,-148.5,-85.0,-78.3,-122.0,,-254.4,-120.0,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,True,False,False,False,False,,False,False,False,False,False,,False,False
Michigan,16119,16136.0,16198.2,16156.4,16214.6,16171.0,16183.0,16152.0,16126.0,16222.0,16186.2,16255.0,15916.0,16168.0,16390.2,,16143.7,,16160.3,16126.0,,15949.2,16288.0,17308.3,16124.0,16020.8,16142.6,16114.0,16088.8,16187.0,16244.0,16179.9,16178.8,16136.6,16148.0,,16160.7,16078.1,,16098.0,16030.6,16047.0,16149.8,,16184.5,16244.5,16088.0,16279.3,16122.0,,16043.0,16264.0,17.0,79.2,37.4,95.6,52.0,64.0,33.0,7.0,103.0,67.2,136.0,-203.0,49.0,271.2,,24.7,,41.3,7.0,,-169.8,169.0,1189.3,5.0,-98.2,23.6,-5.0,-30.2,68.0,125.0,60.9,59.8,17.6,29.0,,41.7,-40.9,,-21.0,-88.4,-72.0,30.8,,65.5,125.5,-31.0,160.3,3.0,,-76.0,145.0,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,,False,True,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,,False,False
Minnesota,6437,6451.9,6454.6,6432.7,6460.6,6463.0,6459.0,6458.0,6444.0,6488.0,6476.3,6477.0,6387.0,6458.0,6492.5,,6451.1,,6446.9,6445.9,,6423.3,6474.0,7527.9,6466.0,6438.8,6452.5,6419.0,6443.6,6464.0,6414.2,6457.9,6461.3,6445.8,6469.0,,6482.8,6431.3,6488.0,6447.0,5717.5,6451.0,6486.1,,6468.9,6493.1,6448.0,6471.2,6457.0,,6428.3,6459.0,14.9,17.6,-4.3,23.6,26.0,22.0,21.0,7.0,51.0,39.3,40.0,-50.0,21.0,55.5,,14.1,,9.9,8.9,,-13.7,37.0,1090.9,29.0,1.8,15.5,-18.0,6.6,27.0,-22.8,20.9,24.3,8.8,32.0,,45.8,-5.7,51.0,10.0,-719.5,14.0,49.1,,31.9,56.1,11.0,34.2,20.0,,-8.7,22.0,False,True,False,False,False,False,True,False,False,False,False,False,False,,True,,True,True,,True,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,True,False,True,False,True,False,,False,False,True,False,False,,True,False
Mississippi,6461,6461.0,6477.2,6504.6,6515.9,6541.0,6514.0,6487.0,6466.0,6422.0,6487.1,6508.0,6403.3,6457.0,6520.0,,6481.7,,6545.7,6464.3,,6457.3,6463.0,6518.4,6512.0,6402.1,6486.4,6420.0,6439.1,6544.0,6503.3,6514.1,6493.1,6456.4,6531.0,,6517.9,6457.9,6503.0,6485.0,6392.5,6399.0,6502.9,,6523.6,6539.5,6455.0,6488.2,6495.0,,6420.1,6513.0,0.0,16.2,43.6,54.9,80.0,53.0,26.0,5.0,-39.0,26.1,47.0,-57.7,-4.0,59.0,,20.7,,84.7,3.3,,-3.7,2.0,57.4,51.0,-58.9,25.4,-41.0,-21.9,83.0,42.3,53.1,32.1,-4.6,70.0,,56.9,-3.1,42.0,24.0,-68.5,-62.0,41.9,,62.6,78.5,-6.0,27.2,34.0,,-40.9,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Missouri,7780,7798.7,7787.0,7724.1,7853.6,7659.0,7848.0,7703.0,7669.0,7657.0,7652.3,7738.0,7345.6,7639.0,7745.3,,7731.1,,8182.1,7678.2,,7039.5,7901.0,6970.4,7754.0,7227.1,7664.3,7641.0,7668.8,7675.0,7768.3,7719.3,7730.9,7794.6,7718.0,,7619.9,7703.4,7633.0,7663.0,7338.9,7611.0,7565.0,,7758.2,7815.6,7641.0,7729.7,7594.0,,7187.6,7714.0,43.7,32.0,-30.9,98.6,-96.0,93.0,-52.0,-86.0,-98.0,-102.7,-17.0,-409.4,-116.0,-9.7,,-23.9,,427.1,-76.8,,-715.5,146.0,-784.6,-1.0,-527.9,-90.7,-114.0,-86.2,-80.0,13.3,-35.7,-24.1,39.6,-37.0,,-135.1,-51.6,-122.0,-92.0,-416.1,-144.0,-190.0,,3.2,60.6,-114.0,-25.3,-161.0,,-567.4,-41.0,True,True,False,False,False,False,False,False,False,True,False,False,True,,True,,False,False,,False,False,False,True,False,False,False,False,False,True,True,True,True,True,,False,False,False,False,False,False,False,,True,False,False,True,False,,False,True
Montana,1327,1383.4,1372.4,1390.0,1393.4,1378.0,1392.0,1361.0,1358.0,1350.0,1349.7,1399.0,1286.9,1340.0,1356.5,,1394.7,,1384.8,1354.5,,1354.9,1360.0,1350.9,1386.0,1354.1,1347.0,1345.0,1361.2,1363.0,1372.9,1371.9,1379.6,1377.5,1383.0,,,1346.2,,1358.0,1071.2,1358.0,1388.3,,1382.7,1403.4,1348.0,1360.7,1353.0,,1353.7,1378.0,56.4,45.4,63.0,66.4,51.0,65.0,34.0,31.0,23.0,22.7,72.0,-40.1,13.0,29.5,,67.7,,57.8,27.5,,27.9,33.0,23.9,59.0,27.1,20.0,18.0,34.2,36.0,45.9,44.9,52.6,50.5,56.0,,,19.2,,31.0,-255.8,31.0,61.3,,55.7,76.4,21.0,33.7,26.0,,26.7,51.0,True,False,False,True,False,True,True,True,True,False,True,True,True,,False,,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,False,,True,False,True,True,True,,True,True
Nebraska,2002,2009.1,2000.0,1990.8,2017.1,2018.0,2016.0,2012.0,2005.0,2023.0,2019.3,2006.0,1972.2,1998.0,2026.3,,2006.4,,2030.1,2020.9,,2019.9,2024.0,2030.4,2016.0,2030.1,2006.7,2003.0,1996.5,2039.0,1983.8,2012.8,2009.1,2008.7,2012.0,,,2002.2,2030.0,1995.0,1791.4,1997.0,2016.6,,2024.5,2047.3,2001.0,2013.9,2002.0,,2004.4,2022.0,7.1,-2.0,-11.2,15.1,16.0,14.0,10.0,3.0,21.0,17.3,4.0,-29.8,-4.0,24.3,,4.4,,28.1,18.9,,17.9,22.0,28.4,14.0,28.1,4.7,1.0,-5.5,37.0,-18.2,10.8,7.1,6.7,10.0,,,0.2,28.0,-7.0,-210.6,-5.0,14.6,,22.5,45.3,-1.0,11.9,0.0,,2.4,20.0,True,False,False,False,False,False,True,False,False,True,False,True,False,,True,,False,False,,False,False,False,False,False,True,True,True,False,False,False,True,True,False,,,True,False,True,False,True,False,,False,False,True,False,True,,True,False
Nevada,4694,4734.3,4741.8,4723.8,4724.6,4737.0,4728.0,4708.0,4677.0,4699.0,4701.4,4722.0,4547.7,4705.0,4749.7,,4699.6,,4694.3,4662.9,,4609.8,4750.0,4422.9,4716.0,4620.7,4660.2,4719.0,4697.9,4722.0,4720.9,4715.2,4720.9,4715.4,4737.0,,4731.8,4662.4,4648.0,4640.0,4455.7,4665.0,4712.5,,4723.4,4698.1,4663.0,4711.5,4674.0,,4665.5,4710.0,40.3,47.8,29.8,30.6,43.0,34.0,14.0,-17.0,5.0,7.4,28.0,-146.3,11.0,55.7,,5.6,,0.3,-31.1,,-84.2,56.0,-271.1,22.0,-73.3,-33.8,25.0,3.9,28.0,26.9,21.2,26.9,21.4,43.0,,37.8,-31.6,-46.0,-54.0,-238.3,-29.0,18.5,,29.4,4.1,-31.0,17.5,-20.0,,-28.5,16.0,False,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,True,,False,False,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,False,False,True,True,,True,True,True,True,True,,True,True
New Hampshire,1130,1144.3,1149.6,1153.8,1151.9,1166.0,1154.0,1150.0,1142.0,1147.0,1150.4,1149.0,1128.2,1150.0,1159.2,,1147.4,,1155.1,1145.1,,1157.5,1140.0,1195.3,1155.0,1173.9,1139.9,1143.0,1138.9,1161.0,,1156.9,1158.1,1141.1,1154.5,,,1143.8,1169.0,1147.0,1200.7,1137.0,1148.5,,1168.9,1154.7,1140.0,1152.9,1152.0,,1126.6,1150.0,14.3,19.6,23.8,21.9,36.0,24.0,20.0,12.0,17.0,20.4,19.0,-1.8,20.0,29.2,,17.4,,25.1,15.1,,27.5,10.0,65.3,25.0,43.9,9.9,13.0,8.9,31.0,,26.9,28.1,11.1,24.5,,,13.8,39.0,17.0,70.7,7.0,18.5,,38.9,24.7,10.0,22.9,22.0,,-3.4,20.0,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,,False,False,,False,True,False,False,False,True,True,True,False,,False,False,True,False,,,True,False,False,False,True,False,,False,False,True,False,False,,True,False
New Jersey,22440,22421.9,22452.4,22429.2,22465.6,22503.0,22473.0,22440.0,22394.0,22705.0,22421.1,22424.0,22147.8,22475.0,22529.2,,22388.2,,22417.0,22453.3,,22352.5,22397.0,23206.9,22482.0,22388.9,22442.6,22391.0,22434.8,22444.0,22417.8,22455.0,22466.7,22400.3,22255.0,,22385.6,22348.7,22751.0,22442.0,21449.0,22343.0,22468.2,,22459.9,22430.9,22324.0,22463.9,22445.0,,22205.2,22511.0,-18.1,12.4,-10.8,25.6,63.0,33.0,0.0,-46.0,265.0,-18.9,-16.0,-292.2,35.0,89.2,,-51.8,,-23.0,13.3,,-87.5,-43.0,766.9,42.0,-51.1,2.6,-49.0,-5.2,4.0,-22.2,15.0,26.7,-39.7,-185.0,,-54.4,-91.3,311.0,2.0,-991.0,-97.0,28.2,,19.9,-9.1,-116.0,23.9,5.0,,-234.8,71.0,True,True,False,False,False,True,False,False,False,True,False,False,False,,False,,False,True,,False,False,False,False,False,True,False,True,True,False,True,False,False,False,,False,False,False,True,False,False,False,,False,True,False,False,True,,False,False
New Mexico,3516,3498.4,3518.3,3513.8,3498.9,3522.0,3507.0,3502.0,3492.0,3503.0,3509.1,3517.0,3447.4,3514.0,3515.0,,3491.1,,3486.7,3506.3,,3500.7,3544.0,3815.8,3546.0,3478.2,3503.9,3473.0,3479.4,3526.0,3531.7,3504.0,3509.8,3487.1,3523.0,,,3490.2,,3497.0,3294.6,3485.0,3487.6,,3515.3,3529.9,3496.0,3510.6,3482.0,,3497.8,3495.0,-17.6,2.3,-2.2,-17.1,6.0,-9.0,-14.0,-24.0,-13.0,-6.9,1.0,-68.6,-2.0,-1.0,,-24.9,,-29.3,-9.7,,-15.3,28.0,299.8,30.0,-37.8,-12.1,-43.0,-36.6,10.0,15.7,-12.0,-6.2,-28.9,7.0,,,-25.8,,-19.0,-221.4,-31.0,-28.4,,-0.7,13.9,-20.0,-5.4,-34.0,,-18.2,-21.0,True,True,True,True,True,True,False,True,True,True,False,True,True,,False,,False,True,,True,False,False,False,False,True,False,False,True,True,True,True,False,True,,,False,,False,False,False,False,,True,True,False,True,False,,False,False
