,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR
Missouri,7780,7487.6,6670.7,6533.7,9308.0,5561.8,5812.3,-263.4,-1080.3,-1217.3,1557.0,-2189.2,-1938.7,False,False,False,False,False
Montana,1327,1544.3,1261.3,1099.0,1778.0,1044.1,1629.8,217.3,-65.7,-228.0,451.0,-282.9,302.8,True,False,False,False,False
Nebraska,2002,2861.0,2470.1,2329.3,3274.0,1936.4,1866.8,859.0,468.1,327.3,1272.0,-65.6,-135.2,True,True,False,True,True
Nevada,4694,4523.0,4913.8,4251.6,4310.0,4019.2,4373.4,-171.0,219.8,-442.4,-384.0,-674.8,-320.6,False,False,False,False,False
New Hampshire,1130,948.4,1034.1,1444.8,1218.0,1286.7,865.0,-181.6,-95.9,314.8,88.0,156.7,-265.0,True,False,True,True,False
New Jersey,22440,21559.6,21679.4,21787.1,21129.0,20448.7,22357.1,-880.4,-760.6,-652.9,-1311.0,-1991.3,-82.9,True,True,False,False,True
New Mexico,3516,3799.3,3994.8,3929.5,3938.0,2578.5,2372.6,283.3,478.8,413.5,422.0,-937.5,-1143.4,False,False,False,False,False
New York,45751,40862.4,44741.4,43383.3,41189.0,49994.9,41758.7,-4825.6,-946.6,-2304.7,-4499.0,4306.9,-3929.3,True,True,True,True,True
North Carolina,10453,8303.0,9485.4,9041.3,9468.0,10546.4,7999.3,-2150.0,-967.6,-1411.7,-985.0,93.4,-2453.7,True,True,True,True,False
North Dakota,1461,2330.0,1520.1,1355.9,2662.0,1387.2,1921.9,869.0,59.1,-105.1,1201.0,-73.8,460.9,True,True,False,True,True
Ohio,17746,12212.9,14413.5,13315.9,15082.0,13557.9,14092.6,-2752.1,-551.5,-1649.1,117.0,-1407.1,-872.4,True,True,True,True,True
Oklahoma,3994,3552.0,3403.7,2858.6,4231.0,2639.8,3724.7,-442.0,-590.3,-1135.4,237.0,-1354.2,-269.3,False,False,True,False,True
Oregon,2137,2235.6,2645.0,3799.8,2422.0,2294.7,2395.5,98.6,508.0,1662.8,285.0,157.7,258.5,False,False,False,False,False
Pennsylvania,23043,23428.6,25795.7,21735.3,25424.0,24929.5,20133.9,385.6,2752.7,-1307.7,2381.0,1886.5,-2909.1,False,False,False,False,False
Rhode Island,2459,2359.3,2325.2,2123.5,2181.5,2258.2,2070.1,43.3,9.2,-192.5,-134.5,-57.8,-245.9,True,False,False,False,False
South Carolina,7911,6271.3,6325.1,5817.0,6327.0,7177.9,6120.0,-1639.7,-1585.9,-2094.0,-1584.0,-733.1,-1791.0,True,False,True,True,False
South Dakota,1838,2578.7,2166.3,2024.4,2920.0,1702.7,1678.3,740.7,328.3,186.4,1082.0,-135.3,-159.7,True,True,False,True,True
Tennessee,10902,10058.9,9659.3,7895.6,10441.0,9657.7,10517.9,-843.1,-1242.7,-3006.4,-461.0,-1244.3,-384.1,False,False,True,False,True
Texas,41149,35161.4,36130.1,31688.6,39310.0,38018.8,32329.4,-5750.6,-4781.9,-9223.4,-1602.0,-2893.2,-8582.6,True,False,True,True,False
Utah,1790,2082.4,2360.5,1929.4,2195.0,1372.6,1806.2,292.4,570.5,139.4,405.0,-417.4,16.2,False,True,False,False,True
Vermont,189,236.7,208.7,166.0,296.0,200.9,173.2,47.7,19.7,-23.0,107.0,11.9,-15.8,True,True,False,True,True
Virginia,6996,6279.9,6745.0,5368.7,6576.0,7299.4,5950.1,-716.1,-251.0,-1627.3,-420.0,303.4,-1045.9,True,False,True,True,False
Washington,4675,2471.6,5350.6,5499.3,4564.0,4785.6,4714.1,-2141.4,737.6,886.3,-49.0,172.6,101.1,True,True,True,True,True
West Virginia,2201,2119.4,2220.7,1744.0,2229.0,2004.5,2576.5,-81.6,19.7,-457.0,28.0,-196.5,375.5,True,False,True,False,False
Wisconsin,6744,7766.7,6440.1,6721.1,9335.0,5078.6,6362.6,1022.7,-303.9,-22.9,2591.0,-1665.4,-381.4,True,True,False,False,True
Wyoming,647,808.1,589.6,606.8,1000.0,426.2,464.1,161.1,-57.4,-40.2,353.0,-220.8,-182.9,True,True,False,False,False
US,485911,448154.0,469669.6,436928.8,477284.0,454451.6,424408.2,-33468.0,-11952.4,-44693.2,-4338.0,-27170.4,-57213.8,True,False,True,True,False
