,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Illinois,5864,6117.0,5976.2,7154.0,6125.1,5931.0,5559.2,5903.2,6272.0,6456.3,6105.2,6205.0,6182.2,3049.5,5092.5,6541.0,6508.0,6171.7,5900.0,5900.2,6299.0,6153.1,253.0,1290.0,261.1,67.0,-304.8,39.2,408.0,592.3,241.2,341.0,318.2,-2814.5,-771.5,677.0,644.0,307.7,36.0,36.2,435.0,289.1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
Indiana,2292,2393.9,2347.2,2721.0,2382.1,2302.0,2177.2,,2477.0,2460.9,2370.6,2357.0,2493.8,1187.0,2566.0,2331.0,2326.0,2255.3,2294.0,2314.0,2450.0,2438.9,101.9,429.0,90.1,10.0,-114.8,,185.0,168.9,78.6,65.0,201.8,-1105.0,274.0,39.0,34.0,-36.7,2.0,22.0,158.0,146.9,False,True,True,False,,False,False,True,True,False,False,False,True,True,True,True,True,False,False
Iowa,599,651.0,629.2,723.0,659.2,637.0,455.2,667.4,540.0,765.0,632.4,598.0,701.3,,594.0,660.0,708.0,584.7,634.0,517.1,713.5,659.7,52.0,124.0,60.2,38.0,-143.8,68.4,-59.0,166.0,33.4,-1.0,102.3,,-5.0,61.0,109.0,-14.3,35.0,-81.9,114.5,60.7,False,False,True,False,False,False,False,True,True,False,,True,False,False,True,True,False,False,False
Kansas,233,223.6,221.5,340.0,237.7,246.0,237.6,225.2,270.0,289.6,222.4,266.0,229.1,,234.0,266.0,246.0,257.7,218.0,218.2,221.0,227.0,-9.4,107.0,4.7,13.0,4.6,-7.8,37.0,56.6,-10.6,33.0,-3.9,,1.0,33.0,13.0,24.7,-15.0,-14.8,-12.0,-6.0,False,True,False,True,True,False,False,False,False,True,,True,False,False,False,False,False,False,True
Kentucky,470,496.9,485.0,490.0,472.8,476.0,407.5,,452.0,569.1,430.3,481.0,463.4,191.0,446.0,,475.0,493.8,441.0,513.9,450.0,468.5,26.9,20.0,2.8,6.0,-62.5,,-18.0,99.1,-39.7,11.0,-6.6,-279.0,-24.0,,5.0,23.8,-29.0,43.9,-20.0,-1.5,True,True,True,False,,True,False,False,True,True,False,True,,True,True,False,False,True,True
Louisiana,2925,3062.4,3021.0,3256.0,2935.6,2825.0,2777.1,3049.3,2948.0,2946.4,3092.6,2797.0,2867.5,,2992.5,2953.0,2858.0,2936.9,2942.0,2844.4,2926.0,2971.3,137.4,331.0,10.6,-100.0,-147.9,124.3,23.0,21.4,167.6,-128.0,-57.5,,67.5,28.0,-67.0,11.9,17.0,-80.6,1.0,46.3,False,True,True,False,True,True,True,False,True,True,,True,True,True,True,True,True,True,True
Maine,98,92.9,91.2,109.0,95.7,113.0,82.0,102.0,104.0,105.3,103.4,97.0,84.1,,83.0,,132.0,85.8,95.0,94.3,91.0,88.4,-5.1,11.0,-2.3,15.0,-16.0,4.0,6.0,7.3,5.4,-1.0,-13.9,,-15.0,,34.0,-12.2,-3.0,-3.7,-7.0,-9.6,False,True,False,False,True,False,False,False,True,False,,False,,False,False,True,True,False,False
Maryland,2740,2806.3,2747.2,3058.0,2802.3,2863.0,2626.9,,2940.0,2860.8,2694.0,3003.0,2746.0,,2720.0,3069.0,2956.0,2832.7,2716.0,2897.6,2800.0,2756.6,66.3,318.0,62.3,123.0,-113.1,,200.0,120.8,-46.0,263.0,6.0,,-20.0,329.0,216.0,92.7,-24.0,157.6,60.0,16.6,False,True,False,False,,False,False,True,False,True,,True,False,False,False,True,False,True,True
Massachusetts,7289,7439.9,7320.7,8594.0,7298.1,7129.0,6874.9,,7575.0,7323.1,7293.1,7234.0,7577.1,,6752.0,7219.0,6622.0,7390.9,7112.0,6764.8,7286.0,7258.5,150.9,1305.0,9.1,-160.0,-414.1,,286.0,34.1,4.1,-55.0,288.1,,-537.0,-70.0,-667.0,101.9,-177.0,-524.2,-3.0,-30.5,False,True,False,False,,False,True,True,True,False,,False,True,False,True,False,False,True,True
Michigan,5916,6101.1,6030.2,6246.0,5712.7,5644.0,5486.4,5972.9,5689.0,5910.2,5785.5,5574.0,5652.5,10355.5,5344.0,5589.0,5677.0,5729.0,5604.0,5509.7,5558.0,5693.4,185.1,330.0,-203.3,-272.0,-429.6,56.9,-227.0,-5.8,-130.5,-342.0,-263.5,4439.5,-572.0,-327.0,-239.0,-187.0,-312.0,-406.3,-358.0,-222.6,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Minnesota,1181,1151.0,1120.5,1556.0,1288.0,1613.0,1170.0,1224.8,1177.0,1378.9,1178.7,1609.0,1233.3,1240.5,1138.0,1319.0,1611.0,1190.6,1122.0,1146.1,1186.0,1149.8,-30.0,375.0,107.0,432.0,-11.0,43.8,-4.0,197.9,-2.3,428.0,52.3,59.5,-43.0,138.0,430.0,9.6,-59.0,-34.9,5.0,-31.2,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
Mississippi,811,818.1,796.6,945.0,826.7,738.0,783.7,914.2,690.0,868.9,831.1,784.0,856.8,,830.0,872.0,893.0,753.1,811.0,746.5,854.0,846.8,7.1,134.0,15.7,-73.0,-27.3,103.2,-121.0,57.9,20.1,-27.0,45.8,,19.0,61.0,82.0,-57.9,0.0,-64.5,43.0,35.8,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
Missouri,848,898.0,883.5,981.0,843.2,765.0,715.9,840.5,902.0,923.3,829.5,841.0,839.0,,948.0,899.0,886.0,877.7,799.0,750.9,881.0,875.2,50.0,133.0,-4.8,-83.0,-132.1,-7.5,54.0,75.3,-18.5,-7.0,-9.0,,100.0,51.0,38.0,29.7,-49.0,-97.1,33.0,27.2,False,True,False,False,True,False,False,True,True,True,,False,False,True,True,True,False,True,True
Montana,18,16.0,16.0,23.0,18.4,16.0,16.5,16.8,16.0,30.2,16.8,16.0,17.4,,20.0,53.0,18.0,17.8,16.0,17.4,17.0,17.2,-2.0,5.0,0.4,-2.0,-1.5,-1.2,-2.0,12.2,-1.2,-2.0,-0.6,,2.0,35.0,0.0,-0.2,-2.0,-0.6,-1.0,-0.8,False,True,False,True,True,False,False,True,False,True,,False,False,True,True,False,True,True,True
Nebraska,187,191.6,186.6,312.0,223.1,338.0,195.0,216.1,276.0,289.1,179.4,217.0,214.9,,194.0,,284.0,215.2,184.0,161.7,187.0,202.2,4.6,125.0,36.1,151.0,8.0,29.1,89.0,102.1,-7.6,30.0,27.9,,7.0,,97.0,28.2,-3.0,-25.3,0.0,15.2,False,False,False,False,False,False,False,False,False,False,,False,,False,False,True,False,True,False
Nevada,437,435.7,429.5,501.0,455.9,475.0,395.3,,515.0,508.1,491.0,439.0,447.7,,464.0,,569.0,440.6,431.0,443.7,467.0,437.7,-1.3,64.0,18.9,38.0,-41.7,,78.0,71.1,54.0,2.0,10.7,,27.0,,132.0,3.6,-6.0,6.7,30.0,0.7,False,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False,True
New Hampshire,283,277.7,270.0,287.0,291.9,256.0,193.1,,266.0,327.0,282.5,301.0,326.2,,282.0,330.0,303.0,268.3,269.0,258.9,316.0,283.6,-5.3,4.0,8.9,-27.0,-89.9,,-17.0,44.0,-0.5,18.0,43.2,,-1.0,47.0,20.0,-14.7,-14.0,-24.1,33.0,0.6,True,False,False,False,,False,False,True,False,False,,True,False,False,False,False,False,False,True
New Jersey,12106,12577.3,12416.6,14173.0,12219.9,11863.0,11724.7,,12503.0,12209.2,12207.6,12103.0,12334.2,,12468.5,13337.0,11398.0,12325.5,12076.0,11502.4,12340.0,12398.2,471.3,2067.0,113.9,-243.0,-381.3,,397.0,103.2,101.6,-3.0,228.2,,362.5,1231.0,-708.0,219.5,-30.0,-603.6,234.0,292.2,False,True,True,True,,True,True,True,True,True,,True,False,False,True,True,False,True,True
New Mexico,392,413.6,402.8,429.0,410.5,332.0,313.3,,375.0,426.9,431.0,423.0,414.2,,414.0,,416.0,404.5,409.0,392.0,439.0,422.5,21.6,37.0,18.5,-60.0,-78.7,,-17.0,34.9,39.0,31.0,22.2,,22.0,,24.0,12.5,17.0,-0.0,47.0,30.5,False,True,False,False,,True,False,False,False,False,,False,,False,True,True,True,False,False
New York,30974,31477.3,31296.3,34266.0,30403.2,30643.0,30567.4,,31137.0,29812.0,30736.6,29837.0,30162.1,,28392.0,29270.0,30818.0,30604.9,30210.0,29120.0,30308.0,30521.7,503.3,3292.0,-570.8,-331.0,-406.6,,163.0,-1162.0,-237.4,-1137.0,-811.9,,-2582.0,-1704.0,-156.0,-369.1,-764.0,-1854.0,-666.0,-452.3,False,False,True,True,,True,False,True,False,False,,False,False,True,True,False,False,False,True
North Carolina,1028,966.0,945.7,1299.0,1056.4,1340.0,850.7,,919.0,1153.3,998.9,1131.0,970.6,,939.0,897.0,1423.0,1030.4,981.0,1070.2,954.0,961.5,-62.0,271.0,28.4,312.0,-177.3,,-109.0,125.3,-29.1,103.0,-57.4,,-89.0,-131.0,395.0,2.4,-47.0,42.2,-74.0,-66.5,False,True,False,False,,False,False,True,False,True,,False,False,False,True,True,True,False,False
North Dakota,72,71.6,69.5,83.0,79.3,87.0,57.5,74.5,113.0,104.2,78.4,73.0,76.2,,68.0,322.0,77.0,66.7,73.0,73.5,89.0,72.8,-0.4,11.0,7.3,15.0,-14.5,2.5,41.0,32.2,6.4,1.0,4.2,,-4.0,250.0,5.0,-5.3,1.0,1.5,17.0,0.8,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Ohio,2372,2607.9,2536.5,2247.0,2566.9,2400.0,2255.1,,2354.0,3131.3,2484.3,2382.0,2635.7,727.5,2591.0,,2493.0,2368.6,2496.0,2511.5,2662.5,2565.5,235.9,-125.0,194.9,28.0,-116.9,,-18.0,759.3,112.3,10.0,263.7,-1644.5,219.0,,121.0,-3.4,124.0,139.5,290.5,193.5,True,True,True,True,,True,False,True,True,False,False,True,,True,True,True,True,False,True
Oklahoma,347,353.7,348.9,405.0,355.8,338.0,322.4,359.5,323.0,432.4,356.1,360.0,337.5,,336.0,,407.0,345.2,348.0,369.7,344.0,350.4,6.7,58.0,8.8,-9.0,-24.6,12.5,-24.0,85.4,9.1,13.0,-9.5,,-11.0,,60.0,-1.8,1.0,22.7,-3.0,3.4,False,False,False,False,False,False,False,False,False,False,,False,,False,True,True,False,True,True
Oregon,161,168.4,166.1,228.0,170.3,172.0,156.8,184.5,156.0,219.2,160.8,171.0,163.1,,166.0,196.0,159.0,171.6,161.0,174.6,162.0,163.9,7.4,67.0,9.3,11.0,-4.2,23.5,-5.0,58.2,-0.2,10.0,2.1,,5.0,35.0,-2.0,10.6,0.0,13.6,1.0,2.9,False,False,False,True,False,True,False,True,False,True,,True,False,True,False,True,False,True,True
Pennsylvania,5931,6326.4,6193.5,6334.0,6163.9,5818.0,5469.2,,5583.0,6525.5,6083.0,6226.0,6441.4,,6757.5,6795.0,5611.0,6075.1,5986.0,5241.0,6120.0,6175.0,395.4,403.0,232.9,-113.0,-461.8,,-348.0,594.5,152.0,295.0,510.4,,826.5,864.0,-320.0,144.1,55.0,-690.0,189.0,244.0,False,True,True,False,,True,False,True,True,False,,False,False,True,True,True,False,True,True
Rhode Island,772,810.4,787.8,805.0,784.4,694.0,611.9,956.7,726.0,843.3,751.5,694.0,793.2,,672.0,769.0,712.0,733.0,782.0,599.2,789.0,783.2,38.4,33.0,12.4,-78.0,-160.1,184.7,-46.0,71.3,-20.5,-78.0,21.2,,-100.0,-3.0,-60.0,-39.0,10.0,-172.8,17.0,11.2,True,True,False,False,False,False,False,True,False,True,,False,True,False,False,True,False,True,True
South Carolina,539,527.9,517.5,565.0,536.7,515.0,445.8,,485.0,583.5,552.4,547.0,515.6,,526.0,564.0,616.0,525.3,526.0,519.1,538.0,536.1,-11.1,26.0,-2.3,-24.0,-93.2,,-54.0,44.5,13.4,8.0,-23.4,,-13.0,25.0,77.0,-13.7,-13.0,-19.9,-1.0,-2.9,False,True,False,False,,False,False,False,True,False,,False,False,False,False,False,False,True,True
South Dakota,65,61.1,59.9,115.0,68.1,62.0,63.5,64.4,70.0,95.9,68.9,70.0,65.9,,47.0,101.0,124.0,60.4,61.0,58.2,70.0,68.8,-3.9,50.0,3.1,-3.0,-1.5,-0.6,5.0,30.9,3.9,5.0,0.9,,-18.0,36.0,59.0,-4.6,-4.0,-6.8,5.0,3.8,False,True,True,True,True,False,False,False,False,True,,False,False,False,False,False,False,False,True
Tennessee,417,406.6,398.7,606.0,414.3,478.0,389.7,403.3,428.0,472.6,398.0,404.0,401.4,,382.0,,605.0,378.6,409.0,398.8,415.0,404.1,-10.4,189.0,-2.7,61.0,-27.3,-13.7,11.0,55.6,-19.0,-13.0,-15.6,,-35.0,,188.0,-38.4,-8.0,-18.2,-2.0,-12.9,False,True,False,False,False,False,False,False,False,False,,False,,False,False,True,False,True,False
Texas,1833,1871.6,1833.2,2461.0,1933.5,1990.0,1704.9,1859.9,2003.0,2376.3,1818.2,1825.0,1808.6,,2050.5,2056.0,1564.0,1927.0,1874.0,1920.9,1984.0,1968.1,38.6,628.0,100.5,157.0,-128.1,26.9,170.0,543.3,-14.8,-8.0,-24.4,,217.5,223.0,-269.0,94.0,41.0,87.9,151.0,135.1,False,False,False,False,True,False,False,True,True,True,,False,False,False,False,False,False,False,False
Utah,121,128.6,125.0,209.0,136.1,155.0,121.6,171.7,107.0,166.5,124.4,121.0,133.8,,131.0,175.0,237.0,125.9,123.0,121.2,138.0,130.8,7.6,88.0,15.1,34.0,0.6,50.7,-14.0,45.5,3.4,0.0,12.8,,10.0,54.0,116.0,4.9,2.0,0.2,17.0,9.8,False,False,False,True,False,False,False,True,True,False,,False,False,False,True,True,True,False,False
Vermont,55,54.0,54.0,69.0,57.8,54.0,55.3,56.5,54.0,61.8,55.7,55.0,57.6,,58.0,,57.0,60.2,55.0,56.2,57.0,57.6,-1.0,14.0,2.8,-1.0,0.3,1.5,-1.0,6.8,0.7,0.0,2.6,,3.0,,2.0,5.2,0.0,1.2,2.0,2.6,False,False,False,True,False,False,False,True,True,False,,False,,False,False,True,False,False,False
Virginia,1461,1470.0,1436.6,1783.0,1509.0,1706.0,1299.4,1461.0,1474.0,1746.5,1369.1,1567.0,1459.1,,1390.0,1602.0,1573.0,1463.7,1447.0,1594.0,1466.0,1443.4,9.0,322.0,48.0,245.0,-161.6,0.0,13.0,285.5,-91.9,106.0,-1.9,,-71.0,141.0,112.0,2.7,-14.0,133.0,5.0,-17.6,False,False,False,False,True,False,False,False,False,True,,False,False,False,True,False,False,True,False
Washington,1153,1172.4,1160.0,1349.0,1150.8,1146.0,1102.9,,1191.0,1213.2,1181.9,1122.0,1135.5,,1138.0,1172.0,1159.0,1141.5,1148.0,1125.7,1137.0,1150.5,19.4,196.0,-2.2,-7.0,-50.1,,38.0,60.2,28.9,-31.0,-17.5,,-15.0,19.0,6.0,-11.5,-5.0,-27.3,-16.0,-2.5,False,True,True,False,,False,False,False,False,True,,True,True,True,True,True,False,True,True
West Virginia,84,81.3,80.2,99.0,91.8,78.0,74.5,95.7,74.0,133.6,112.7,83.0,85.7,,83.0,111.0,144.0,87.8,86.0,85.7,83.0,83.0,-2.7,15.0,7.8,-6.0,-9.5,11.7,-10.0,49.6,28.7,-1.0,1.7,,-1.0,27.0,60.0,3.8,2.0,1.7,-1.0,-1.0,False,False,False,False,False,False,False,False,True,True,,True,False,False,False,True,True,True,True
Wisconsin,645,615.9,604.0,781.0,646.8,724.0,552.8,667.6,646.0,730.6,632.2,693.0,594.6,425.0,602.0,630.0,865.0,611.5,621.0,678.6,603.0,595.3,-29.1,136.0,1.8,79.0,-92.2,22.6,1.0,85.6,-12.8,48.0,-50.4,-220.0,-43.0,-15.0,220.0,-33.5,-24.0,33.6,-42.0,-49.7,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False
Wyoming,17,19.4,18.6,21.0,16.2,12.0,13.1,19.7,12.0,26.1,14.4,13.0,17.5,,8.0,0.0,20.0,12.9,15.0,16.8,20.0,16.0,2.4,4.0,-0.8,-5.0,-3.9,2.7,-5.0,9.1,-2.6,-4.0,0.5,,-9.0,-17.0,3.0,-4.1,-2.0,-0.2,3.0,-1.0,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,True,True,False,True
US,110818,113815.4,112134.2,,111434.0,111455.0,104906.8,110961.3,112343.0,116867.8,110639.9,110658.0,110285.2,,108448.0,,114550.0,110437.0,109725.0,106326.6,111759.0,111798.7,2997.4,,616.0,637.0,-5911.2,143.3,1525.0,6049.8,-178.1,-160.0,-532.8,,-2370.0,,3732.0,-381.0,-1093.0,-4491.4,941.0,980.7,,True,True,False,True,True,False,True,True,True,,True,,False,True,True,False,True,True
