,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2178,2246.7,2448.0,2186.0,2181.4,2099.0,2049.2,2168.9,2147.0,2204.1,2239.0,,2159.3,,,2251.0,2278.3,2204.7,2153.7,,2192.0,2185.0,2250.0,2196.3,2146.0,1982.5,2190.6,2239.1,68.7,270.0,8.0,3.4,-79.0,-128.8,-9.1,-31.0,26.1,61.0,,-18.7,,,73.0,100.3,26.7,-24.3,,14.0,7.0,72.0,18.3,-32.0,-195.5,12.6,61.1,False,True,True,False,False,True,True,True,True,,True,,,False,False,True,True,,True,True,False,True,True,False,True,True
Hawaii,17,17.0,25.0,17.0,17.6,17.0,17.3,20.4,17.0,,,,17.4,,,,18.3,17.3,17.6,,17.0,21.0,18.0,17.4,17.0,17.3,17.5,17.6,0.0,8.0,0.0,0.6,0.0,0.3,3.4,0.0,,,,0.4,,,,1.3,0.3,0.6,,0.0,4.0,1.0,0.4,0.0,0.3,0.5,0.6,False,True,False,True,False,False,True,,,,False,,,,False,False,False,,True,False,False,False,True,False,False,False
Idaho,83,84.6,116.0,85.0,86.5,84.0,84.3,93.8,84.0,86.3,,,89.0,,,83.0,94.1,88.8,84.5,,82.0,81.0,92.0,84.7,85.0,78.6,85.3,84.3,1.6,33.0,2.0,3.5,1.0,1.3,10.8,1.0,3.3,,,6.0,,,0.0,11.1,5.8,1.5,,-1.0,-2.0,9.0,1.7,2.0,-4.4,2.3,1.3,False,False,False,True,True,False,True,False,,,False,,,True,False,False,True,,True,False,False,False,False,False,False,True
Illinois,5864,5847.7,6950.0,5870.0,5849.9,5898.0,5516.5,5793.7,5882.0,5636.5,,,5694.3,,,6238.0,5967.4,5745.1,5925.5,5340.5,6210.0,5910.0,5753.0,5953.8,5738.0,5730.1,5819.4,5802.4,-16.3,1086.0,6.0,-14.1,34.0,-347.5,-70.3,18.0,-227.5,,,-169.7,,,374.0,103.4,-118.9,61.5,-523.5,346.0,46.0,-111.0,89.8,-126.0,-133.9,-44.6,-61.6,False,True,True,False,False,False,False,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False
Indiana,2233,2269.4,2559.0,2286.0,2284.4,2243.0,2156.0,2341.0,2277.0,2218.2,,,2090.2,,,2447.0,2193.9,2288.6,2324.8,1975.5,2340.0,2134.0,2265.0,2256.5,2270.0,2175.4,2281.4,2271.8,15.4,305.0,32.0,30.4,-11.0,-98.0,87.0,23.0,-35.8,,,-163.8,,,193.0,-60.1,34.6,70.8,-278.5,86.0,-120.0,11.0,2.5,16.0,-78.6,27.4,17.8,False,False,False,True,False,False,False,False,,,False,,,False,False,False,False,False,False,False,True,True,False,False,False,False
Iowa,599,602.7,738.0,616.0,618.8,635.0,535.2,628.8,597.0,605.1,,,652.3,,,571.0,660.3,609.4,639.8,,588.0,663.0,619.0,591.1,603.0,551.9,613.1,608.1,3.7,139.0,17.0,19.8,36.0,-63.8,29.8,-2.0,6.1,,,53.3,,,-28.0,61.3,10.4,40.8,,-11.0,64.0,20.0,-7.9,4.0,-47.1,14.1,9.1,False,False,False,False,False,False,True,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False
Kansas,233,223.6,327.0,225.0,228.7,243.0,231.5,228.8,227.0,222.8,,,221.1,,,248.0,244.1,220.9,224.5,,228.0,225.0,230.0,234.0,222.0,220.6,220.7,224.2,-9.4,94.0,-8.0,-4.3,10.0,-1.5,-4.2,-6.0,-10.2,,,-11.9,,,15.0,11.1,-12.1,-8.5,,-5.0,-8.0,-3.0,1.0,-11.0,-12.4,-12.3,-8.8,False,True,True,False,True,True,True,False,,,False,,,False,False,False,True,,True,True,True,True,False,False,False,True
Kentucky,470,465.3,517.0,471.0,477.4,478.0,422.5,511.0,473.0,,,,478.1,,,465.0,500.6,462.1,465.1,387.0,446.0,448.0,497.0,492.4,471.0,457.7,467.4,462.8,-4.7,47.0,1.0,7.4,8.0,-47.5,41.0,3.0,,,,8.1,,,-5.0,30.6,-7.9,-4.9,-83.0,-24.0,-22.0,27.0,22.4,1.0,-12.3,-2.6,-7.2,False,True,False,False,False,False,True,,,,False,,,False,False,False,False,False,False,False,False,False,True,False,True,False
Louisiana,2925,2876.7,3225.0,2904.0,2898.8,2853.0,2804.8,3025.4,2839.0,2863.1,,,2830.6,,,2851.0,2826.1,2958.7,2867.6,,2978.0,2799.0,3022.0,2907.1,2887.0,1911.3,2859.7,2883.9,-48.3,300.0,-21.0,-26.2,-72.0,-120.2,100.4,-86.0,-61.9,,,-94.4,,,-74.0,-98.9,33.7,-57.4,,53.0,-126.0,97.0,-17.9,-38.0,-1013.7,-65.3,-41.1,False,True,True,False,False,False,False,False,,,False,,,False,False,True,False,,False,False,False,True,True,False,False,True
Maine,98,98.4,109.0,101.0,97.5,112.0,85.1,95.3,99.0,99.7,,,98.8,,,96.0,99.8,95.6,94.8,,82.0,150.0,103.0,92.0,99.0,94.7,96.0,94.1,0.4,11.0,3.0,-0.5,14.0,-12.9,-2.7,1.0,1.7,,,0.8,,,-2.0,1.8,-2.4,-3.2,,-16.0,52.0,5.0,-6.0,1.0,-3.3,-2.0,-3.9,False,False,False,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False
Maryland,2740,2750.6,3102.0,2775.0,2770.3,2810.0,2610.3,2862.6,2808.0,,,,2575.5,,,2955.0,2703.3,2744.6,2740.5,,2735.0,2788.0,2747.0,2842.7,2728.0,2695.9,2741.5,2743.6,10.6,362.0,35.0,30.3,70.0,-129.7,122.6,68.0,,,,-164.5,,,215.0,-36.7,4.6,0.5,,-5.0,48.0,7.0,102.7,-12.0,-44.1,1.5,3.6,False,False,False,False,False,False,False,,,,False,,,False,False,True,True,,True,False,True,False,False,False,True,True
Massachusetts,7289,7252.3,7823.0,7232.0,7200.6,7156.0,6924.1,7309.5,7173.0,,,,7391.3,,,7574.0,7192.1,7179.5,7269.3,,7159.0,7032.0,7028.0,7250.1,7064.0,6990.9,7172.2,7207.1,-36.7,534.0,-57.0,-88.4,-133.0,-364.9,20.5,-116.0,,,,102.3,,,285.0,-96.9,-109.5,-19.7,,-130.0,-257.0,-261.0,-38.9,-225.0,-298.1,-116.8,-81.9,False,False,False,False,False,True,False,,,,False,,,False,False,False,True,,False,False,False,False,False,False,False,False
Michigan,5916,5716.4,6056.0,5705.0,5685.6,5626.0,5528.0,5765.5,5617.0,5683.6,,,5559.3,,,5682.0,5743.4,5774.5,5644.3,3632.5,5506.0,5608.0,5788.0,5702.2,5668.0,5085.2,5646.7,5683.1,40.4,380.0,29.0,9.6,-50.0,-148.0,89.5,-59.0,7.6,,,-116.7,,,6.0,67.4,98.5,-31.7,-2043.5,-170.0,-68.0,112.0,26.2,-8.0,-590.8,-29.3,7.1,False,True,True,False,False,False,False,True,,,False,,,True,False,False,True,False,False,False,False,True,True,False,True,True
Minnesota,1181,1197.4,1435.0,1211.0,1217.5,1283.0,1179.0,1189.7,1275.0,1192.5,,,1183.5,,,1101.0,1255.4,1180.8,1221.2,1236.0,1143.0,1129.0,1268.0,1192.4,1197.0,1153.9,1192.1,1191.9,16.4,254.0,30.0,36.5,102.0,-2.0,8.7,94.0,11.5,,,2.5,,,-80.0,74.4,-0.2,40.2,55.0,-38.0,-52.0,87.0,11.4,16.0,-27.1,11.1,10.9,False,False,False,False,True,True,False,True,,,True,,,False,False,True,False,False,False,False,False,True,True,False,True,True
Mississippi,811,827.4,884.0,830.0,830.4,810.0,714.2,841.9,823.0,820.2,,,796.7,,,736.0,840.3,837.3,838.7,,856.0,812.0,817.0,797.6,824.0,783.8,836.1,827.5,16.4,73.0,19.0,19.4,-1.0,-96.8,30.9,12.0,9.2,,,-14.3,,,-75.0,29.3,26.3,27.7,,45.0,1.0,6.0,-13.4,13.0,-27.2,25.1,16.5,False,False,False,True,False,False,True,True,,,True,,,False,False,False,False,,False,True,True,True,True,False,False,False
Missouri,856,853.1,881.0,866.0,862.5,864.0,726.9,899.8,850.0,861.8,,,800.9,,,873.0,880.2,847.1,853.7,,862.0,861.0,855.0,865.0,861.0,789.8,864.6,854.7,43.1,71.0,56.0,52.5,54.0,-83.1,89.8,40.0,51.8,,,-9.1,,,63.0,70.2,37.1,43.7,,52.0,51.0,45.0,55.0,51.0,-20.2,54.6,44.7,False,False,False,False,False,False,True,False,,,True,,,False,False,True,False,,False,False,False,False,False,True,False,False
Montana,18,17.9,22.0,18.0,18.2,17.0,17.2,18.7,17.0,18.5,,,16.0,,,17.0,24.0,19.1,17.5,,16.0,19.0,19.0,17.7,17.0,15.1,17.9,17.7,-0.1,4.0,0.0,0.2,-1.0,-0.8,0.7,-1.0,0.5,,,-2.0,,,-1.0,6.0,1.1,-0.5,,-2.0,1.0,1.0,-0.3,-1.0,-2.9,-0.1,-0.3,False,True,False,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False
Nebraska,187,189.7,325.0,193.0,204.7,248.0,191.6,222.7,197.0,191.0,,,222.3,,,244.0,223.3,189.6,196.8,,192.0,191.0,243.0,198.5,191.0,177.1,195.8,191.6,2.7,138.0,6.0,17.7,61.0,4.6,35.7,10.0,4.0,,,35.3,,,57.0,36.3,2.6,9.8,,5.0,4.0,56.0,11.5,4.0,-9.9,8.8,4.6,False,False,False,False,False,False,False,False,,,False,,,False,False,True,False,,False,False,False,False,False,False,False,False
Nevada,437,448.7,499.0,447.0,446.7,434.0,418.9,469.8,446.0,,,,479.9,,,503.0,461.0,443.4,443.6,,451.0,455.0,449.0,445.3,444.0,420.1,448.6,441.3,11.7,62.0,10.0,9.7,-3.0,-18.1,32.8,9.0,,,,42.9,,,66.0,24.0,6.4,6.6,,14.0,18.0,12.0,8.3,7.0,-16.9,11.6,4.3,False,True,True,True,False,False,True,,,,False,,,False,False,True,True,,False,False,False,True,True,False,True,True
New Hampshire,283,275.9,315.0,268.0,275.6,266.0,225.3,264.3,285.0,271.9,,,283.9,,,252.0,288.3,282.4,281.1,,272.0,279.0,264.0,272.2,261.0,260.1,281.1,276.0,-7.1,32.0,-15.0,-7.4,-17.0,-57.7,-18.7,2.0,-11.1,,,0.9,,,-31.0,5.3,-0.6,-1.9,,-11.0,-4.0,-19.0,-10.8,-22.0,-22.9,-1.9,-7.0,False,False,False,False,False,False,True,False,,,True,,,False,True,True,True,,False,True,False,False,False,False,True,True
New Jersey,13945,12178.0,13440.0,12186.0,12131.2,12039.0,11768.2,12243.2,12056.0,,,,11995.6,,,12421.0,12082.2,12237.5,12153.5,,12459.0,12281.0,12097.0,12207.1,12063.0,11451.6,12050.5,12147.9,53.0,1315.0,61.0,6.2,-86.0,-356.8,118.2,-69.0,,,,-129.4,,,296.0,-42.8,112.5,28.5,,334.0,156.0,-28.0,82.1,-62.0,-673.4,-74.5,22.9,False,False,True,False,False,False,False,,,,False,,,False,True,False,True,,False,False,True,False,False,False,False,True
New Mexico,392,389.4,472.0,400.0,393.3,383.0,346.3,407.6,395.0,386.5,,,402.9,,,387.0,400.0,387.1,401.3,,394.0,403.0,395.0,395.4,384.0,367.9,394.0,392.4,-2.6,80.0,8.0,1.3,-9.0,-45.7,15.6,3.0,-5.5,,,10.9,,,-5.0,8.0,-4.9,9.3,,2.0,11.0,3.0,3.4,-8.0,-24.1,2.0,0.4,False,False,True,False,False,False,False,False,,,False,,,False,False,False,False,,True,False,False,False,False,False,True,True
New York,31141,30335.1,33758.0,30389.0,30219.5,30199.0,30268.1,30473.1,29979.0,,,,30456.2,,,31056.0,29490.8,30363.2,30136.7,,29248.5,29343.0,30218.0,30228.0,30136.0,28572.7,30129.5,30277.4,109.1,3532.0,163.0,-6.5,-27.0,42.1,247.1,-247.0,,,,230.2,,,830.0,-735.2,137.2,-89.3,,-977.5,-883.0,-8.0,2.0,-90.0,-1653.3,-96.5,51.4,False,False,True,True,True,False,False,,,,False,,,False,False,False,True,,False,False,True,True,True,False,True,True
North Carolina,1028,1068.1,1211.0,1080.0,1084.6,1275.0,912.0,1024.7,1082.0,,,,1031.6,,,955.0,1067.4,1090.1,1048.6,,1050.0,945.0,1236.0,1057.4,1078.0,1051.6,1024.8,1052.3,40.1,183.0,52.0,56.6,247.0,-116.0,-3.3,54.0,,,,3.6,,,-73.0,39.4,62.1,20.6,,22.0,-83.0,208.0,29.4,50.0,23.6,-3.2,24.3,False,False,False,False,False,True,False,,,,True,,,False,True,False,True,,True,False,False,True,False,True,True,True
North Dakota,72,67.9,88.0,68.0,70.7,72.0,61.4,80.2,73.0,65.9,,,67.3,,,74.0,76.9,64.4,69.5,,66.0,109.0,69.0,66.3,66.0,67.4,72.6,68.6,-4.1,16.0,-4.0,-1.3,0.0,-10.6,8.2,1.0,-6.1,,,-4.7,,,2.0,4.9,-7.6,-2.5,,-6.0,37.0,-3.0,-5.7,-6.0,-4.6,0.6,-3.4,False,True,True,True,False,False,True,False,,,False,,,True,False,False,True,,False,False,True,False,False,False,True,True
Ohio,2249,2314.4,2764.0,2342.0,2377.7,2461.0,2196.2,2360.4,2343.0,2451.2,,,2409.0,,,2481.0,2561.2,2341.2,2393.5,1842.0,2024.5,2449.0,2319.0,2342.5,2331.0,2218.7,2330.4,2331.8,20.4,470.0,48.0,83.7,167.0,-97.8,66.4,49.0,157.2,,,115.0,,,187.0,267.2,47.2,99.5,-452.0,-269.5,155.0,25.0,48.5,37.0,-75.3,36.4,37.8,False,False,False,False,False,False,False,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False
Oklahoma,347,353.7,405.0,357.0,354.1,350.0,334.9,365.2,359.0,362.1,,,343.9,,,328.0,381.8,343.4,346.3,,346.0,342.0,359.0,347.5,351.0,344.0,349.6,353.0,6.7,58.0,10.0,7.1,3.0,-12.1,18.2,12.0,15.1,,,-3.1,,,-19.0,34.8,-3.6,-0.7,,-1.0,-5.0,12.0,0.5,4.0,-3.0,2.6,6.0,False,False,False,True,False,False,False,False,,,True,,,False,False,True,True,,True,True,False,True,True,True,True,True
Oregon,161,157.3,202.0,159.0,164.2,170.0,156.8,177.3,162.0,158.9,,,160.0,,,162.0,178.7,161.9,159.3,,166.0,155.0,166.0,163.2,159.0,158.9,157.5,157.8,-3.7,41.0,-2.0,3.2,9.0,-4.2,16.3,1.0,-2.1,,,-1.0,,,1.0,17.7,0.9,-1.7,,5.0,-6.0,5.0,2.2,-2.0,-2.1,-3.5,-3.2,False,True,True,False,False,False,True,True,,,True,,,True,False,True,True,,False,False,False,True,True,True,True,True
Pennsylvania,5931,5914.1,6677.0,5962.0,5934.1,5939.0,5560.9,5816.2,5977.0,,,,5762.1,,,5676.0,6071.1,5922.9,6037.1,,6018.0,5957.0,5695.0,5961.3,5897.0,5416.0,5852.2,5907.2,-16.9,746.0,31.0,3.1,8.0,-370.1,-114.8,46.0,,,,-168.9,,,-255.0,140.1,-8.1,106.1,,87.0,26.0,-236.0,30.3,-34.0,-515.0,-78.8,-23.8,False,False,True,True,False,False,False,,,,False,,,False,False,True,False,,False,False,False,False,False,False,False,False
Rhode Island,882,812.3,844.0,825.0,788.6,755.0,679.5,777.1,767.0,,,,800.3,,,799.0,810.4,778.6,819.4,,824.0,,753.0,768.8,805.0,607.6,798.9,801.2,39.3,71.0,52.0,15.6,-18.0,-93.5,4.1,-6.0,,,,27.3,,,26.0,37.4,5.6,46.4,,51.0,,-20.0,-4.2,32.0,-165.4,25.9,28.2,False,False,True,True,False,True,True,,,,True,,,True,True,True,False,,False,,True,True,True,False,True,True
South Carolina,545,544.6,582.0,549.0,547.4,549.0,476.2,558.2,552.0,537.9,,,514.6,,,514.0,561.4,568.5,533.0,,523.0,539.0,605.0,536.4,539.0,518.1,536.2,546.2,-0.4,37.0,4.0,2.4,4.0,-68.8,13.2,7.0,-7.1,,,-30.4,,,-31.0,16.4,23.5,-12.0,,-22.0,-6.0,60.0,-8.6,-6.0,-26.9,-8.8,1.2,False,False,False,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False
South Dakota,65,72.3,114.0,74.0,71.5,67.0,63.7,78.0,70.0,75.0,,,57.3,,,61.0,82.2,67.2,71.6,,68.0,64.0,76.0,67.0,70.0,66.0,73.1,71.8,7.3,49.0,9.0,6.5,2.0,-1.3,13.0,5.0,10.0,,,-7.7,,,-4.0,17.2,2.2,6.6,,3.0,-1.0,11.0,2.0,5.0,1.0,8.1,6.8,False,False,True,True,True,False,True,False,,,False,,,True,False,True,True,,True,True,False,True,True,True,False,True
Tennessee,417,388.0,618.0,399.0,408.0,508.0,397.0,410.0,395.0,415.3,,,427.7,,,421.0,421.6,388.1,397.5,,384.0,386.0,492.0,383.1,392.0,373.6,389.7,392.6,-29.0,201.0,-18.0,-9.0,91.0,-20.0,-7.0,-22.0,-1.7,,,10.7,,,4.0,4.6,-28.9,-19.5,,-33.0,-31.0,75.0,-33.9,-25.0,-43.4,-27.3,-24.4,False,True,True,False,True,True,True,True,,,True,,,True,True,True,True,,False,False,False,False,True,False,True,True
Texas,2031,1801.0,2312.0,1826.0,1866.6,1944.0,1737.4,1927.2,1850.0,,,,1751.0,,,1779.0,1959.1,1887.4,1810.2,,1858.0,1816.0,2621.0,1862.8,1799.0,1792.7,1822.1,1830.4,-39.0,472.0,-14.0,26.6,104.0,-102.6,87.2,10.0,,,,-89.0,,,-61.0,119.1,47.4,-29.8,,18.0,-24.0,781.0,22.8,-41.0,-47.3,-17.9,-9.6,False,True,True,False,False,False,True,,,,False,,,False,False,False,True,,True,True,False,True,False,False,True,True
Utah,121,126.7,214.0,127.0,130.4,141.0,123.4,139.9,126.0,130.1,,,131.4,,,130.0,132.7,132.9,128.1,,130.0,122.0,192.0,127.1,127.0,118.0,130.8,127.5,5.7,93.0,6.0,9.4,20.0,2.4,18.9,5.0,9.1,,,10.4,,,9.0,11.7,11.9,7.1,,9.0,1.0,71.0,6.1,6.0,-3.0,9.8,6.5,False,False,False,False,True,False,True,False,,,False,,,False,False,False,False,,False,True,False,False,False,True,False,False
