,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Idaho,20484,25648.0,33098.3,26250.2,20470.0,34510.0,,23054.9,12738.0,21279.5,25723.2,,12314.1,24329.0,14099.9,23777.0,18575.4,14550.5,16361.2,17042.0,17156.9,22745.3,21314.0,,11443.0,20453.2,,20603.1,31791.3,32177.8,21858.0,28698.3,13505.5,5164.0,12614.3,5766.2,-14.0,14026.0,,2570.9,-7746.0,795.5,5239.2,,-8169.9,3845.0,-6384.1,3293.0,-1908.6,-5933.5,-4122.8,-3442.0,-3327.1,2261.3,830.0,,-9041.0,-30.8,,119.1,11307.3,11693.8,1374.0,8214.3,-6978.5,False,False,True,False,,True,False,True,False,,False,True,False,True,True,False,True,True,True,True,True,,False,True,,True,False,False,True,False,False
Illinois,148521,164840.0,178785.3,163367.2,134483.0,294468.0,,138756.0,36988.0,96668.3,146531.7,,101957.0,143469.0,125571.5,149762.0,102728.9,96974.5,113736.5,133820.5,144210.5,135941.9,176903.0,,124158.9,53595.6,,131051.6,144347.1,131607.7,132619.0,166896.3,,16319.0,30264.3,14846.2,-14038.0,145947.0,,-9765.0,-111533.0,-51852.7,-1989.3,,-46564.0,-5052.0,-22949.5,1241.0,-45792.1,-51546.5,-34784.5,-14700.5,-4310.5,-12579.1,28382.0,,-24362.1,-94925.4,,-17469.4,-4173.9,-16913.3,-15902.0,18375.3,,False,True,True,False,,True,False,False,True,,False,True,False,True,False,False,False,True,True,True,False,,False,False,,False,True,False,True,False,
Indiana,101869,124276.0,147359.6,122597.1,104718.0,170199.0,,116593.9,62652.0,86388.5,132235.6,,85482.3,110484.0,92926.3,111191.0,75818.1,81338.0,120996.5,84748.0,104132.8,103023.0,102724.0,,93849.7,61363.1,,132965.0,160325.0,73406.3,109042.0,157408.5,77009.8,22407.0,45490.6,20728.1,2849.0,68330.0,,14724.9,-39217.0,-15480.5,30366.6,,-16386.7,8615.0,-8942.7,9322.0,-26050.9,-20531.0,19127.5,-17121.0,2263.8,1154.0,855.0,,-8019.3,-40505.9,,31096.0,58456.0,-28462.7,7173.0,55539.5,-24859.2,False,True,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,False,False,True,False,False
Iowa,35215,36408.0,42424.4,36598.4,29842.0,34738.0,,33176.1,20094.0,22686.3,26421.9,,23801.4,35801.0,24685.3,34012.0,26122.8,17103.5,28587.5,25591.5,31901.0,31693.6,60202.0,,29852.5,9073.5,,18061.8,44967.7,23025.0,26386.0,35998.7,22501.3,1193.0,7209.4,1383.4,-5373.0,-477.0,,-2038.9,-15121.0,-12528.7,-8793.1,,-11413.6,586.0,-10529.7,-1203.0,-9092.2,-18111.5,-6627.5,-9623.5,-3314.0,-3521.4,24987.0,,-5362.5,-26141.5,,-17153.2,9752.7,-12190.0,-8829.0,783.7,-12713.7,False,False,False,True,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False
Kansas,47005,69300.0,61320.3,64299.4,53686.0,169617.0,,53505.9,55804.0,13390.9,50023.9,,47880.0,46377.0,116715.2,,32719.6,30372.0,40342.4,30167.5,54771.5,53058.0,70634.0,,34988.0,21422.8,,74467.7,64838.2,60870.1,46952.0,57942.7,37338.1,22295.0,14315.3,17294.4,6681.0,122612.0,,6500.9,8799.0,-33614.1,3018.9,,875.0,-628.0,69710.2,,-14285.4,-16633.0,-6662.6,-16837.5,7766.5,6053.0,23629.0,,-12017.0,-25582.2,,27462.7,17833.2,13865.1,-53.0,10937.7,-9666.9,True,True,True,False,,True,True,False,True,,True,True,False,,True,True,True,True,True,True,False,,True,False,,False,True,True,True,True,True
Kentucky,87145,73632.0,87221.9,75792.7,68158.0,156013.0,,59645.0,24680.0,48899.5,72503.9,,65584.0,69956.0,94470.4,69622.0,49755.0,47054.5,63224.3,91561.5,62921.9,72854.8,71548.0,,63496.6,45837.2,,57848.0,75678.9,68005.2,69469.0,82576.0,37779.8,-13513.0,76.9,-11352.3,-18987.0,68868.0,,-27500.0,-62465.0,-38245.5,-14641.1,,-21561.0,-17189.0,7325.4,-17523.0,-37390.0,-40090.5,-23920.7,4416.5,-24223.1,-14290.2,-15597.0,,-23648.4,-41307.8,,-29297.0,-11466.1,-19139.8,-17676.0,-4569.0,-49365.2,True,True,False,False,,False,False,False,False,,False,False,True,False,False,False,False,True,False,False,False,,False,False,,False,True,False,False,True,False
Louisiana,82001,75104.0,68512.3,78284.1,71597.0,247667.0,,73262.5,63550.0,1263551.4,49369.3,,79739.7,71029.0,105700.2,86545.0,48514.2,59698.0,70041.1,67817.0,65394.4,86554.7,86455.0,,57415.4,75241.9,,78187.4,74650.6,59951.6,44239.0,70092.6,58536.3,-6897.0,-13488.7,-3716.9,-10404.0,165666.0,,-8738.5,-18451.0,1181550.4,-32631.7,,-2261.3,-10972.0,23699.2,4544.0,-33486.8,-22303.0,-11959.9,-14184.0,-16606.6,4553.7,4454.0,,-24585.6,-6759.1,,-3813.6,-7350.4,-22049.4,-37762.0,-11908.4,-23464.7,False,True,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,True,True,,False,True,,True,False,False,False,False,False
Maine,13923,14792.0,11715.3,14900.4,15292.0,23190.0,,15880.6,12829.0,11273.8,13291.8,,16260.5,13069.0,17790.1,17522.0,19162.7,12867.5,26973.0,13627.5,14581.2,18479.7,13840.0,,14504.3,20106.7,,11562.5,21080.2,18530.6,19438.0,15833.8,16790.5,869.0,-2207.7,977.4,1369.0,9267.0,,1957.6,-1094.0,-2649.2,-631.2,,2337.5,-854.0,3867.1,3599.0,5239.7,-1055.5,13050.0,-295.5,658.2,4556.7,-83.0,,581.3,6183.7,,-2360.5,7157.2,4607.6,5515.0,1910.8,2867.5,False,False,False,False,,False,False,False,True,,False,True,False,False,False,False,False,True,True,False,True,,True,False,,False,False,False,False,False,False
Maryland,69555,70924.0,68672.4,72837.1,69248.0,108816.0,,69634.9,43090.0,57203.4,70504.2,,70258.8,68246.0,82267.4,70085.0,61183.0,66120.0,69343.7,74852.5,78510.5,69084.4,63345.0,,56796.4,98505.5,,71545.8,109941.3,70641.3,69154.0,86266.7,44307.0,1369.0,-882.6,3282.1,-307.0,39261.0,,79.9,-26465.0,-12351.6,949.2,,703.8,-1309.0,12712.4,530.0,-8372.0,-3435.0,-211.3,5297.5,8955.5,-470.6,-6210.0,,-12758.6,28950.5,,1990.8,40386.3,1086.3,-401.0,16711.7,-25248.0,True,False,True,False,,True,False,False,True,,True,True,False,True,False,False,True,False,False,True,False,,False,False,,False,False,True,True,False,False
Massachusetts,137179,138316.0,133400.0,138490.4,132431.0,239945.0,,136792.3,89970.0,64943.4,100090.4,,122362.1,140841.0,160419.3,133897.0,95274.1,92967.0,264111.2,126505.0,114152.6,138967.1,116430.0,,101339.8,158143.1,,160960.2,224281.5,127168.5,149591.0,145983.9,97652.7,1137.0,-3779.0,1311.4,-4748.0,102766.0,,-386.7,-47209.0,-72235.6,-37088.6,,-14816.9,3662.0,23240.3,-3282.0,-41904.9,-44212.0,126932.2,-10674.0,-23026.4,1788.1,-20749.0,,-35839.2,20964.1,,23781.2,87102.5,-10010.5,12412.0,8804.9,-39526.3,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Michigan,72017,87180.0,103780.2,82929.2,70726.0,175156.0,,68813.1,42908.0,220305.4,79442.4,,44490.4,79485.0,90664.5,79035.0,101057.1,57109.0,51511.5,76906.5,70617.5,64079.2,85101.0,,37687.5,35764.2,,147922.1,52502.9,49731.2,66948.0,97143.5,37317.8,15163.0,31763.2,10912.2,-1291.0,103139.0,,-3203.9,-29109.0,148288.4,7425.4,,-27526.6,7468.0,18647.5,7018.0,29040.1,-14908.0,-20505.5,4889.5,-1399.5,-7937.8,13084.0,,-34329.5,-36252.8,,75905.1,-19514.1,-22285.8,-5069.0,25126.5,-34699.2,False,True,True,False,,True,False,False,True,,False,True,False,True,False,True,False,True,True,True,True,,False,False,,False,False,False,True,False,False
Minnesota,42987,45148.0,74157.3,47781.8,39314.0,91423.0,,38146.2,49580.0,28414.1,30649.4,,20470.4,46666.0,32240.4,25433.0,46815.7,17346.0,22572.8,48607.5,38259.5,46734.4,57249.0,,14498.8,20372.9,,42535.7,20517.3,12552.1,39380.0,45245.8,20760.3,2161.0,31170.3,4794.8,-3673.0,48436.0,,-4840.8,6593.0,-14572.9,-12337.6,,-22516.6,3679.0,-10746.6,-17554.0,3828.7,-25641.0,-20414.2,5620.5,-4727.5,3747.4,14262.0,,-28488.2,-22614.1,,-451.3,-22469.7,-30434.9,-3607.0,2258.8,-22226.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False,False
Mississippi,53913,61016.0,55103.2,60551.0,58290.0,86749.0,,54965.0,67902.0,60233.0,43782.5,,58640.6,57969.0,60514.1,60403.0,36885.7,49860.5,76940.1,54655.0,57376.2,58766.2,58908.0,,58128.8,35015.5,,44288.6,87706.7,58023.8,54837.0,70614.8,48800.5,7103.0,1190.2,6638.0,4377.0,32836.0,,1052.0,13989.0,6320.0,-10130.5,,4727.6,4056.0,6601.1,6490.0,-17027.3,-4052.5,23027.1,742.0,3463.2,4853.2,4995.0,,4215.8,-18897.5,,-9624.4,33793.7,4110.8,924.0,16701.8,-5112.5,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,False,True,True,True,True,,True,False,,False,False,True,True,False,True
Missouri,83163,79356.0,97886.8,79685.0,74076.0,124836.0,,68559.2,44765.0,65693.6,60464.0,,74383.3,75301.0,63695.2,78553.0,50972.6,59030.5,55753.6,63013.5,87727.4,74232.0,95286.0,,63165.2,32729.8,,78657.9,124579.3,86201.8,64975.0,75660.7,,-3807.0,14723.8,-3478.0,-9087.0,41673.0,,-14603.8,-38398.0,-17469.4,-22699.0,,-8779.7,-7862.0,-19467.8,-4610.0,-32190.4,-24132.5,-27409.4,-20149.5,4564.4,-8931.0,12123.0,,-19997.8,-50433.2,,-4505.1,41416.3,3038.8,-18188.0,-7502.3,,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,
Montana,11818,10044.0,17419.4,9927.6,7570.0,7375.0,,9321.5,3199.0,8996.3,6979.0,,5362.7,11295.0,9790.2,10932.0,7135.4,4449.5,7111.6,5631.5,6583.8,10433.6,11897.0,,4786.1,9155.1,,7641.5,5011.1,4431.5,6985.0,9627.6,5597.6,-1774.0,5601.4,-1890.4,-4248.0,-4443.0,,-2496.5,-8619.0,-2821.7,-4839.0,,-6455.3,-523.0,-2027.8,-886.0,-4682.6,-7368.5,-4706.4,-6186.5,-5234.2,-1384.4,79.0,,-7031.9,-2662.9,,-4176.5,-6806.9,-7386.5,-4833.0,-2190.4,-6220.4,False,False,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,False,True,True,,False,False,,False,False,False,False,False,False
Nebraska,22308,27700.0,32677.4,27593.5,22702.0,50498.0,,23748.5,7699.0,16065.6,25457.8,,15867.7,22323.0,23016.1,28759.0,20789.6,13486.0,13963.5,18726.0,23473.3,23144.9,35993.0,,19171.5,23031.8,,38594.7,23943.7,22498.6,23513.0,27081.4,14624.9,5392.0,10369.4,5285.5,394.0,28190.0,,1440.5,-14609.0,-6242.4,3149.8,,-6440.3,15.0,708.1,6451.0,-1518.4,-8822.0,-8344.5,-3582.0,1165.3,836.9,13685.0,,-3136.5,723.8,,16286.7,1635.7,190.6,1205.0,4773.4,-7683.1,False,True,True,False,,True,False,False,True,,False,True,True,False,True,False,False,True,True,True,False,,True,True,,False,True,True,True,True,False
Nevada,48478,52872.0,56982.2,52039.4,49045.0,50196.0,,49253.0,31427.0,61044.2,49495.7,,40458.9,53165.0,40025.2,52525.0,31962.0,40052.0,38771.1,41815.5,48835.4,49044.8,46558.0,,43178.1,42720.2,,51983.0,76894.0,44423.9,50659.0,60902.2,,4394.0,8504.2,3561.4,567.0,1718.0,,775.0,-17051.0,12566.2,1017.7,,-8019.1,4687.0,-8452.8,4047.0,-16516.0,-8426.0,-9706.9,-6662.5,357.4,566.8,-1920.0,,-5299.9,-5757.8,,3505.0,28416.0,-4054.1,2181.0,12424.2,,False,True,True,True,,True,False,False,True,,False,False,False,True,False,False,False,False,True,True,True,,False,False,,True,False,True,True,False,
New Hampshire,19041,21092.0,22387.4,21626.2,19757.0,33334.0,,20173.4,18388.0,13660.8,21761.9,,18369.0,21595.0,33505.7,23353.0,15875.7,17844.5,15529.2,22958.5,18300.2,22319.6,16674.0,,19167.4,36949.6,,16355.8,35412.9,17345.4,23335.0,19644.5,14331.6,2051.0,3346.4,2585.2,716.0,14293.0,,1132.4,-653.0,-5380.2,2720.9,,-672.0,2554.0,14464.7,4312.0,-3165.3,-1196.5,-3511.8,3917.5,-740.8,3278.6,-2367.0,,126.4,17908.6,,-2685.2,16371.9,-1695.6,4294.0,603.5,-4709.4,False,False,True,False,,True,True,False,False,,True,False,False,False,False,True,False,False,True,False,False,,True,False,,False,False,True,False,True,False
