,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,277070,232440.0,208144.0,,261327.9,153972.0,,270961.0,331196.3,225485.4,161835.2,501753.0,304921.0,,,177674.2,191426.0,-44630.0,-68926.0,,-15742.1,-123098.0,,-6109.0,54126.3,-51584.6,-115234.8,224683.0,27851.0,,,-99395.8,-85644.0,False,,True,False,,True,False,False,False,False,True,,,False,False
Hawaii,4738,4405.0,3634.0,,4579.4,1554.0,,,5908.6,4177.3,13482.1,4278.3,4385.0,,,3010.5,3598.0,-333.0,-1104.0,,-158.6,-3184.0,,,1170.6,-560.7,8744.1,-459.7,-353.0,,,-1727.5,-1140.0,False,,True,False,,,False,False,False,False,False,,,False,False
Idaho,26896,33590.0,18969.0,,38585.2,18917.0,,40539.0,44564.4,21325.1,26315.6,40919.4,33358.0,,,22993.7,23553.0,6694.0,-7927.0,,11689.2,-7979.0,,13643.0,17668.4,-5570.9,-580.4,14023.4,6462.0,,,-3902.3,-3343.0,False,,False,False,,False,False,True,True,False,True,,,True,True
Illinois,189731,198875.0,127413.0,,177352.1,79566.0,,211794.0,270493.5,89063.4,170374.4,179189.6,170151.0,,,142031.5,159422.0,9144.0,-62318.0,,-12378.9,-110165.0,,22063.0,80762.5,-100667.6,-19356.6,-10541.4,-19580.0,,,-47699.5,-30309.0,False,,False,False,,False,False,False,False,False,False,,,False,False
Indiana,132938,170750.0,103691.0,,166539.4,98497.0,,176492.0,201461.1,74030.9,104574.5,165596.4,111353.0,,,86155.5,125555.0,37812.0,-29247.0,,33601.4,-34441.0,,43554.0,68523.1,-58907.1,-28363.5,32658.4,-21585.0,,,-46782.5,-7383.0,True,,True,True,,False,False,False,True,True,True,,,False,True
Iowa,44317,39170.0,21687.0,,43504.8,31994.0,,58111.0,51501.6,18820.6,38993.1,22525.2,46425.5,,,28518.9,31071.0,-5147.0,-22630.0,,-812.2,-12323.0,,13794.0,7184.6,-25496.4,-5323.9,-21791.8,2108.5,,,-15798.1,-13246.0,False,,True,False,,False,False,False,False,False,True,,,False,False
Kansas,64375,46700.0,20559.0,,55769.4,77487.0,,68297.0,101620.5,40756.6,40756.2,55721.2,93306.0,,,53283.4,33485.0,-17675.0,-43816.0,,-8605.6,13112.0,,3922.0,37245.5,-23618.4,-23618.8,-8653.8,28931.0,,,-11091.6,-30890.0,False,,True,True,,True,False,False,False,True,False,,,True,False
Kentucky,105553,74995.0,50974.0,,80345.9,39861.0,,85546.0,107213.7,57423.7,68352.5,74767.3,72584.5,,,54111.2,65995.0,-30558.0,-54579.0,,-25207.1,-65692.0,,-20007.0,1660.7,-48129.3,-37200.5,-30785.7,-32968.5,,,-51441.8,-39558.0,False,,True,False,,True,True,False,False,False,False,,,False,False
Louisiana,100777,70325.0,48115.0,,82880.4,102260.0,,96786.0,83522.2,54100.8,66234.3,93351.9,71584.0,,,62680.0,52123.0,-30452.0,-52662.0,,-17896.6,1483.0,,-3991.0,-17254.8,-46676.2,-34542.7,-7425.1,-29193.0,,,-38097.0,-48654.0,False,,True,True,,True,True,False,False,True,True,,,False,False
Maine,17621,14045.0,12277.0,,19498.7,16488.0,,17849.0,29588.5,28410.8,22567.7,38961.3,22156.5,,,15348.1,14064.0,-3576.0,-5344.0,,1877.7,-1133.0,,228.0,11967.5,10789.8,4946.7,21340.3,4535.5,,,-2272.9,-3557.0,False,,True,True,,True,False,False,False,False,False,,,True,True
Maryland,87286,83430.0,85258.0,,80803.7,80873.0,,82782.0,96439.5,45220.5,93170.7,82664.6,63357.0,,,89479.5,60158.0,-3856.0,-2028.0,,-6482.3,-6413.0,,-4504.0,9153.5,-42065.5,5884.7,-4621.4,-23929.0,,,2193.5,-27128.0,True,,False,False,,False,False,False,False,False,False,,,True,False
Massachusetts,171758,151660.0,103307.0,,168593.7,135571.0,,175027.0,236894.8,104931.8,138650.8,365345.4,136158.5,,,115560.3,141708.0,-20098.0,-68451.0,,-3164.3,-36187.0,,3269.0,65136.8,-66826.2,-33107.2,193587.4,-35599.5,,,-56197.7,-30050.0,False,,True,False,,True,False,False,False,False,False,,,False,False
Michigan,93812,101350.0,44197.0,,86723.7,69224.0,,130912.0,105232.4,36222.4,97201.9,88549.0,77598.0,,,229269.6,84499.0,7538.0,-49615.0,,-7088.3,-24588.0,,37100.0,11420.4,-57589.6,3389.9,-5263.0,-16214.0,,,135457.6,-9313.0,False,,True,False,,False,False,False,True,True,False,,,False,False
Minnesota,54274,59550.0,29286.0,,58081.5,72918.0,,85964.0,61752.1,16730.4,68434.9,42543.5,42557.5,,,43743.4,54225.0,5276.0,-24988.0,,3807.5,18644.0,,31690.0,7478.1,-37543.6,14160.9,-11730.5,-11716.5,,,-10530.6,-49.0,False,,True,False,,False,False,False,False,False,False,,,False,True
Mississippi,69167,64560.0,40328.0,,71406.1,88131.0,,76665.0,76077.4,49928.5,47201.6,118254.9,75294.5,,,57234.4,53023.0,-4607.0,-28839.0,,2239.1,18964.0,,7498.0,6910.4,-19238.5,-21965.4,49087.9,6127.5,,,-11932.6,-16144.0,False,,True,False,,False,False,False,False,False,False,,,False,False
Missouri,109127,89625.0,55567.0,,91686.6,74010.0,,105011.0,105737.7,45077.1,67417.2,79291.0,88929.0,,,90418.1,65075.0,-19502.0,-53560.0,,-17440.4,-35117.0,,-4116.0,-3389.3,-64049.9,-41709.8,-29836.0,-20198.0,,,-18708.9,-44052.0,False,,True,False,,True,True,False,False,False,False,,,True,False
Montana,14329,14070.0,7176.0,,14077.3,5361.0,,18557.0,14768.9,6534.2,10952.6,10852.5,13670.5,,,9240.7,11304.0,-259.0,-7153.0,,-251.7,-8968.0,,4228.0,439.9,-7794.8,-3376.4,-3476.5,-658.5,,,-5088.3,-3025.0,False,,True,False,,False,False,False,False,False,False,,,False,False
Nebraska,29233,29610.0,25322.0,,29781.3,18715.0,,33375.0,37303.6,10036.0,25749.3,19962.0,23933.5,,,41592.7,22222.0,377.0,-3911.0,,548.3,-10518.0,,4142.0,8070.6,-19197.0,-3483.7,-9271.0,-5299.5,,,12359.7,-7011.0,False,,False,False,,False,False,False,False,False,False,,,False,False
Nevada,61696,68975.0,39577.0,,67695.7,52335.0,,77196.0,96139.5,40908.3,39003.0,47626.1,73733.0,,,64478.9,52744.0,7279.0,-22119.0,,5999.7,-9361.0,,15500.0,34443.5,-20787.7,-22693.0,-14069.9,12037.0,,,2782.9,-8952.0,False,,True,False,,False,False,False,False,False,False,,,True,False
New Hampshire,24524,21620.0,13666.0,,24666.6,24707.0,,26105.0,38202.2,22268.7,24510.4,14392.4,26289.0,,,22090.1,23760.0,-2904.0,-10858.0,,142.6,183.0,,1581.0,13678.2,-2255.3,-13.6,-10131.6,1765.0,,,-2433.9,-764.0,False,,True,True,,True,False,True,True,False,True,,,True,True
New Jersey,185819,157420.0,141709.0,,148817.4,184709.0,,151893.0,202348.3,85203.7,180060.2,159496.2,130934.5,,,127518.6,122589.0,-28399.0,-44110.0,,-37001.6,-1110.0,,-33926.0,16529.3,-100615.3,-5758.8,-26322.8,-54884.5,,,-58300.4,-63230.0,False,,False,True,,False,True,False,True,True,False,,,False,False
New Mexico,36313,41480.0,20526.0,,37011.5,21326.0,,48913.0,53813.0,18012.7,28053.5,32821.9,34171.0,,,20496.6,29794.0,5167.0,-15787.0,,698.5,-14987.0,,12600.0,17500.0,-18300.3,-8259.5,-3491.1,-2142.0,,,-15816.4,-6519.0,False,,True,False,,False,False,False,False,True,True,,,False,False
New York,484684,382185.0,401546.0,,377440.3,652497.0,,345025.0,505774.9,342661.1,486773.5,399003.1,347209.5,,,363020.1,293434.0,-102499.0,-83138.0,,-107243.7,167813.0,,-139659.0,21090.9,-142022.9,2089.5,-85680.9,-137474.5,,,-121663.9,-191250.0,True,,False,False,,False,True,False,True,True,False,,,False,False
North Carolina,238697,208310.0,181708.0,,201813.8,277904.0,,234182.0,275590.4,180659.8,175093.7,376928.1,218561.5,,,195509.9,136564.0,-30387.0,-56989.0,,-36883.2,39207.0,,-4515.0,36893.4,-58037.2,-63603.3,138231.1,-20135.5,,,-43187.1,-102133.0,False,,False,False,,True,False,False,False,False,True,,,False,False
North Dakota,6207,7850.0,1871.0,,7255.2,2166.0,,13133.0,7762.4,2370.3,8703.2,5254.0,3767.5,,,14066.7,5684.0,1643.0,-4336.0,,1048.2,-4041.0,,6926.0,1555.4,-3836.7,2496.2,-953.0,-2439.5,,,7859.7,-523.0,False,,True,False,,False,True,False,False,True,False,,,False,True
Ohio,228113,251195.0,170367.0,,262522.7,416170.0,,305264.0,435320.9,141764.6,170106.2,250637.9,218802.0,,,218621.0,246472.0,23082.0,-57746.0,,34409.7,188057.0,,77151.0,207207.9,-86348.4,-58006.8,22524.9,-9311.0,,,-9492.0,18359.0,False,,False,False,,False,False,False,False,True,True,,,True,True
Oklahoma,110082,103200.0,69334.0,,107116.5,160663.0,,126201.0,152224.4,78716.8,72748.2,104903.0,126488.5,,,81011.1,99412.0,-6882.0,-40748.0,,-2965.5,50581.0,,16119.0,42142.4,-31365.2,-37333.8,-5179.0,16406.5,,,-29070.9,-10670.0,False,,True,False,,False,False,False,False,True,False,,,False,False
Oregon,34090,32560.0,18587.0,,34627.3,55947.0,,38928.0,43669.1,20131.1,42066.4,27996.2,32069.5,,,28608.7,35359.0,-1530.0,-15503.0,,537.3,21857.0,,4838.0,9579.1,-13958.9,7976.4,-6093.8,-2020.5,,,-5481.3,1269.0,False,,True,False,,False,False,False,False,False,False,,,False,True
Pennsylvania,233708,279360.0,197690.0,,281885.2,595331.0,,305435.0,424932.8,211141.7,239065.4,239470.5,260047.5,,,224282.9,234735.0,45652.0,-36018.0,,48177.2,361623.0,,71727.0,191224.8,-22566.3,5357.4,5762.5,26339.5,,,-9425.1,1027.0,True,,False,False,,False,False,True,True,True,True,,,True,True
Rhode Island,32372,21270.0,17367.0,,22681.4,14270.0,,23548.0,26801.0,12804.8,21208.5,12951.4,19374.0,,,15694.0,12136.0,-11102.0,-15005.0,,-9690.6,-18102.0,,-8824.0,-5571.0,-19567.2,-11163.5,-19420.6,-12998.0,,,-16678.0,-20236.0,False,,True,False,,True,True,False,False,False,False,,,False,False
South Carolina,150893,91775.0,61755.0,,115464.1,99566.0,,107918.0,154029.8,103688.1,73038.1,217176.6,130613.5,,,99982.6,77123.0,-59118.0,-89138.0,,-35428.9,-51327.0,,-42975.0,3136.8,-47204.9,-77854.9,66283.6,-20279.5,,,-50910.4,-73770.0,False,,True,True,,True,True,True,False,False,True,,,True,False
South Dakota,11107,13135.0,5153.0,,13477.4,6024.0,,17134.0,14701.7,4767.4,9592.0,10214.4,9655.0,,,19778.2,10984.0,2028.0,-5954.0,,2370.4,-5083.0,,6027.0,3594.7,-6339.6,-1515.0,-892.6,-1452.0,,,8671.2,-123.0,False,,False,False,,False,False,False,True,True,True,,,False,True
Tennessee,163850,286205.0,163810.0,,285418.7,316638.0,,292390.0,476691.2,337866.1,141316.5,566964.9,405608.5,,,243804.1,226489.0,122355.0,-40.0,,121568.7,152788.0,,128540.0,312841.2,174016.1,-22533.5,403114.9,241758.5,,,79954.1,62639.0,True,,True,False,,False,False,False,True,False,False,,,True,True
Texas,692911,419655.0,518289.0,,477813.9,417387.0,,628176.0,696213.8,473856.7,481793.7,673383.9,566339.5,,,332829.3,332249.0,-273256.0,-174622.0,,-215097.1,-275524.0,,-64735.0,3302.8,-219054.3,-211117.3,-19527.1,-126571.5,,,-360081.7,-360662.0,True,,True,False,,True,True,True,True,True,True,,,False,False
Utah,81352,75540.0,54270.0,,79710.5,98510.0,,91701.0,94885.2,31827.9,39495.6,67681.5,64278.0,,,51600.0,61295.0,-5812.0,-27082.0,,-1641.5,17158.0,,10349.0,13533.2,-49524.1,-41856.4,-13670.5,-17074.0,,,-29752.0,-20057.0,False,,True,False,,False,False,False,False,False,False,,,False,False
Vermont,4865,3115.0,2011.0,,2922.0,7964.0,,3636.0,3993.2,2572.3,5817.0,13517.4,3204.0,,,3516.7,2837.0,-1750.0,-2854.0,,-1943.0,3099.0,,-1229.0,-871.8,-2292.7,952.0,8652.4,-1661.0,,,-1348.3,-2028.0,False,,False,False,,True,True,False,True,False,True,,,True,False
Virginia,172644,133025.0,144057.0,,131793.1,118319.0,,146645.0,178293.0,130497.4,139579.8,203152.5,136753.0,,,92755.9,91910.0,-39619.0,-28587.0,,-40850.9,-54325.0,,-25999.0,5649.0,-42146.6,-33064.2,30508.5,-35891.0,,,-79888.1,-80734.0,True,,False,False,,True,True,False,True,True,True,,,False,False
Washington,74878,70595.0,98346.0,,59716.6,62106.0,,76244.0,117759.1,32580.6,69349.5,61198.1,77928.0,,,65900.6,61436.0,-4283.0,23468.0,,-15161.4,-12772.0,,1366.0,42881.1,-42297.4,-5528.5,-13679.9,3050.0,,,-8977.4,-13442.0,False,,False,False,,True,False,False,False,False,True,,,False,False
West Virginia,40163,44810.0,34368.0,,48087.1,66428.0,,43178.0,68029.9,36678.5,32235.1,43435.2,42557.5,,,35401.9,35301.0,4647.0,-5795.0,,7924.1,26265.0,,3015.0,27866.9,-3484.5,-7927.9,3272.2,2394.5,,,-4761.1,-4862.0,False,,False,False,,True,False,True,False,True,True,,,False,False
Wisconsin,84975,76715.0,36233.0,,77388.0,29228.0,,110787.0,124913.5,37512.2,59659.1,67056.1,71423.0,,,72350.5,55875.0,-8260.0,-48742.0,,-7587.0,-55747.0,,25812.0,39938.5,-47462.8,-25315.9,-17918.9,-13552.0,,,-12624.5,-29100.0,False,,True,False,,False,False,False,False,False,False,,,False,False
Wyoming,8558,8290.0,3266.0,,8554.4,4752.0,,11204.0,10833.2,4231.4,5969.8,4363.9,5708.0,,,8151.7,5779.0,-268.0,-5292.0,,-3.6,-3806.0,,2646.0,2275.2,-4326.6,-2588.2,-4194.1,-2850.0,,,-406.3,-2779.0,False,,True,False,,False,False,False,False,False,False,,,False,False
US,7034661,6635215.0,5390519.0,7226324.0,6133100.0,7163457.0,6406812.0,6842026.0,10098606.9,6472291.1,5672418.3,11646739.4,6500210.0,7490580.0,6763880.0,5330901.5,5620727.0,-399446.0,-1644142.0,191663.0,-901561.0,128796.0,-627849.0,-192635.0,3063945.9,-562369.9,-1362242.7,4612078.4,-534451.0,455919.0,-270781.0,-1703759.5,-1413934.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
