,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01041,330,256.0,,276.0,,208.0,288.0,,,,,228.6,69.2,,,183.0,171.2,148.9,,,163.0,239.1,24.7,,267.0,138.2,,,,,,,,,303.1,202.0,-74.0,,-54.0,,-122.0,-42.0,,,,,-101.4,-260.8,,,-147.0,-158.8,-181.1,,,-167.0,-90.9,-305.3,,-63.0,-191.8,,,,,,,,,-26.9,-128.0,,True,,False,True,,,,,False,False,,,False,False,False,,,False,False,False,,True,False,,,,,,,,,True,False
01043,1262,2068.0,,2094.4,,1704.0,2283.0,,,,,1398.1,1639.3,,,1797.0,973.8,1098.4,1148.5,,1115.0,1658.5,336.8,,1774.0,2003.5,,,,,1695.8,,,,2537.4,1024.0,806.0,,832.4,,442.0,1021.0,,,,,136.1,377.3,,,535.0,-288.2,-163.6,-113.5,,-147.0,396.5,-925.2,,512.0,741.5,,,,,433.8,,,,1275.4,-238.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,False,,True,True,,,,,True,,,,False,True
01045,857,968.0,,970.7,,796.0,1716.0,,,,,750.0,534.4,,,793.0,613.8,609.7,586.0,,942.0,803.8,176.3,,977.0,811.1,,,,,591.1,,,,815.0,613.0,111.0,,113.7,,-61.0,859.0,,,,,-107.0,-322.6,,,-64.0,-243.2,-247.3,-271.0,,85.0,-53.2,-680.7,,120.0,-45.9,,,,,-265.9,,,,-42.0,-244.0,,False,,True,False,,,,,True,False,,,True,False,False,False,,True,True,False,,False,True,,,,,False,,,,True,False
01047,370,568.0,,572.2,,490.0,777.0,,,,,519.8,220.7,,,498.0,471.5,386.8,312.5,,405.0,453.0,49.9,,654.0,753.4,,,,,335.2,,,,534.9,465.0,198.0,,202.2,,120.0,407.0,,,,,149.8,-149.3,,,128.0,101.5,16.8,-57.5,,35.0,83.0,-320.1,,284.0,383.4,,,,,-34.8,,,,164.9,95.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,False,,False,False,,,,,True,,,,True,True
01049,1085,1176.0,,1272.4,,849.0,375.0,,,,,1318.2,1225.6,,,1633.0,331.5,784.3,900.5,,498.0,796.7,0.0,,1161.0,776.1,,,,,693.8,,,,1296.9,953.0,91.0,,187.4,,-236.0,-710.0,,,,,233.2,140.6,,,548.0,-753.5,-300.7,-184.5,,-587.0,-288.3,-1085.0,,76.0,-308.9,,,,,-391.2,,,,211.9,-132.0,,False,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,True,False,,,,,False,,,,False,False
01051,1909,2736.0,,2775.2,,1895.0,3515.0,,,,,1619.7,1338.2,,,1228.0,2089.9,1320.1,1398.0,,2472.0,2337.2,221.3,,1945.0,1543.6,,,,,2129.1,,,,3132.6,2028.0,827.0,,866.2,,-14.0,1606.0,,,,,-289.3,-570.8,,,-681.0,180.9,-588.9,-511.0,,563.0,428.2,-1687.7,,36.0,-365.4,,,,,220.1,,,,1223.6,119.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,False,,True,True,,,,,True,,,,False,True
01053,779,776.0,,778.5,,613.0,421.0,,,,,629.1,349.9,,,613.0,662.8,453.8,563.5,,551.0,634.1,55.2,,729.0,635.2,,,,,433.9,,,,692.5,632.0,-3.0,,-0.5,,-166.0,-358.0,,,,,-149.9,-429.1,,,-166.0,-116.2,-325.2,-215.5,,-228.0,-144.9,-723.8,,-50.0,-143.8,,,,,-345.1,,,,-86.5,-147.0,,True,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,False,False,,,,,False,,,,False,False
01055,2159,2584.0,,2565.0,,2041.0,1558.0,,,,,2358.0,2141.9,,,2118.0,928.4,1664.1,935.0,,1929.0,2273.1,0.0,,2337.0,1510.8,,,,,2044.1,,,,3260.8,1894.0,425.0,,406.0,,-118.0,-601.0,,,,,199.0,-17.1,,,-41.0,-1230.6,-494.9,-1224.0,,-230.0,114.1,-2159.0,,178.0,-648.2,,,,,-114.9,,,,1101.8,-265.0,,True,,True,False,,,,,True,True,,,True,False,False,False,,True,True,False,,True,False,,,,,True,,,,False,True
01057,392,300.0,,292.4,,267.0,105.0,,,,,269.1,305.9,,,335.0,116.8,211.3,,,197.0,247.1,0.0,,313.0,399.0,,,,,,,,,348.6,223.0,-92.0,,-99.6,,-125.0,-287.0,,,,,-122.9,-86.1,,,-57.0,-275.2,-180.7,,,-195.0,-144.9,-392.0,,-79.0,7.0,,,,,,,,,-43.4,-169.0,,False,,False,False,,,,,False,True,,,True,False,False,,,False,False,False,,True,True,,,,,,,,,True,False
01059,515,728.0,,741.3,,610.0,600.0,,,,,663.0,613.8,,,832.0,550.3,387.9,512.5,,622.0,619.5,44.8,,675.0,599.9,,,,,436.9,,,,754.9,451.0,213.0,,226.3,,95.0,85.0,,,,,148.0,98.8,,,317.0,35.3,-127.1,-2.5,,107.0,104.5,-470.2,,160.0,84.9,,,,,-78.1,,,,239.9,-64.0,,False,,True,True,,,,,True,True,,,False,True,True,True,,True,True,False,,True,True,,,,,True,,,,False,True
