,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,43700,52495.0,53500.5,52313.5,51655.0,50732.0,,54759.6,67329.0,44531.9,,48984.2,57705.8,,51581.7,59496.0,42738.1,47756.0,38691.5,43624.0,52405.4,42052.5,42720.7,71819.7,57108.2,47262.0,60696.0,49170.0,,49419.0,,44731.3,,51654.7,80900.3,41641.5,53935.2,53981.0,69130.6,,8795.0,9800.5,8613.5,7955.0,7032.0,,11059.6,23629.0,831.9,,5284.2,14005.8,,7881.7,15796.0,-961.9,4056.0,-5008.5,-76.0,8705.4,-1647.5,-979.3,28119.7,13408.2,3562.0,16996.0,5470.0,,5719.0,,1031.3,,7954.7,37200.3,-2058.5,10235.2,10281.0,25430.6,,False,True,True,True,,False,False,True,,True,False,,True,False,True,True,True,True,True,True,True,False,False,True,False,True,,True,,True,,True,False,True,False,False,False,
Hawaii,758,762.0,815.4,745.0,814.0,645.0,,879.6,1433.0,851.5,,539.8,1036.5,,878.9,,660.0,735.0,1315.0,999.5,1192.8,617.0,806.9,1017.9,987.9,799.7,944.0,904.0,,1042.6,,1360.2,,691.9,1432.4,748.2,738.6,750.0,992.5,,4.0,57.4,-13.0,56.0,-113.0,,121.6,675.0,93.5,,-218.2,278.5,,120.9,,-98.0,-23.0,557.0,241.5,434.8,-141.0,48.9,259.9,229.9,41.7,186.0,146.0,,284.6,,602.2,,-66.1,674.4,-9.8,-19.4,-8.0,234.5,,False,False,False,False,,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
Idaho,3358,4049.0,3946.9,3991.6,4063.0,3456.0,,4644.4,3086.0,10114.6,,2432.5,3431.2,,3691.1,4624.0,2954.1,4145.0,3837.8,4625.0,4124.6,2185.5,3087.3,3640.7,5374.9,4042.4,4758.0,4502.0,,3362.0,,3796.3,,3699.7,6429.7,3261.0,5058.1,4655.0,6912.4,,691.0,588.9,633.6,705.0,98.0,,1286.4,-272.0,6756.6,,-925.5,73.2,,333.1,1266.0,-403.9,787.0,479.8,1267.0,766.6,-1172.5,-270.7,282.7,2016.9,684.4,1400.0,1144.0,,4.0,,438.3,,341.7,3071.7,-97.0,1700.1,1297.0,3554.4,,True,True,False,True,,False,True,False,,False,True,,True,False,True,False,True,False,False,False,True,True,False,True,False,False,,True,,True,,True,False,True,False,False,False,
Illinois,25346,33860.0,30728.3,32703.9,31076.0,29876.0,,35046.5,10786.0,23957.9,,28225.5,33144.8,,31904.0,33728.0,21846.9,30175.0,28563.4,34272.5,28582.4,23326.0,28231.0,21731.9,25045.5,31228.1,34559.0,35318.0,,33819.2,,11534.8,,30433.0,48212.5,31033.6,34821.7,31160.0,39581.0,,8514.0,5382.3,7357.9,5730.0,4530.0,,9700.5,-14560.0,-1388.1,,2879.5,7798.8,,6558.0,8382.0,-3499.1,4829.0,3217.4,8926.5,3236.4,-2020.0,2885.0,-3614.1,-300.5,5882.1,9213.0,9972.0,,8473.2,,-13811.2,,5087.0,22866.5,5687.6,9475.7,5814.0,14235.0,,True,True,True,True,,False,False,True,,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,False,,True,,False,,True,False,True,False,True,False,
Indiana,16440,21470.0,22383.2,21331.9,20993.0,17682.0,,22950.1,17534.0,18832.3,,18037.0,22241.5,,18821.0,22516.0,12297.4,20994.0,16955.2,23064.5,23750.2,13597.0,16932.7,14224.7,17155.6,21049.0,22624.0,21847.0,,20765.7,,11330.1,,24522.2,33603.0,18074.6,18638.1,20323.0,33353.7,,5030.0,5943.2,4891.9,4553.0,1242.0,,6510.1,1094.0,2392.3,,1597.0,5801.5,,2381.0,6076.0,-4142.6,4554.0,515.2,6624.5,7310.2,-2843.0,492.7,-2215.3,715.6,4609.0,6184.0,5407.0,,4325.7,,-5109.9,,8082.2,17163.0,1634.6,2198.1,3883.0,16913.7,,False,True,True,True,,False,True,True,,True,False,,True,False,True,True,True,False,False,True,True,True,True,True,False,False,,True,,False,,False,False,True,True,True,False,
Iowa,6488,7874.0,5841.9,7454.2,7093.0,6720.0,,7963.3,43701.0,5582.4,,6871.8,7403.3,,7177.2,6358.0,3808.7,7639.0,6387.2,5865.5,8417.0,5934.0,6227.8,5929.6,4331.3,6916.7,7858.0,9199.0,,7491.3,,2602.9,,7241.3,10561.6,7239.2,8830.8,7093.0,8384.7,,1386.0,-646.1,966.2,605.0,232.0,,1475.3,37213.0,-905.6,,383.8,915.3,,689.2,-130.0,-2679.3,1151.0,-100.8,-622.5,1929.0,-554.0,-260.2,-558.4,-2156.7,428.7,1370.0,2711.0,,1003.3,,-3885.1,,753.3,4073.6,751.2,2342.8,605.0,1896.7,,True,True,True,True,,False,False,True,,True,True,,True,True,False,True,True,True,False,True,True,True,False,True,True,False,,True,,False,,True,False,True,False,True,False,
Kansas,8048,10554.0,10451.5,10114.5,10316.0,9083.0,,11355.1,11084.0,5639.4,,7513.9,8608.8,,12029.7,10655.0,8877.4,10260.0,8125.9,7898.0,10603.0,9403.5,6755.5,9203.1,11694.1,11506.3,11553.0,10380.0,,11414.7,,4338.0,,8961.4,16117.5,8726.9,12867.7,8488.0,11861.6,,2506.0,2403.5,2066.5,2268.0,1035.0,,3307.1,3036.0,-2408.6,,-534.1,560.8,,3981.7,2607.0,829.4,2212.0,77.9,-150.0,2555.0,1355.5,-1292.5,1155.1,3646.1,3458.3,3505.0,2332.0,,3366.7,,-3710.0,,913.4,8069.5,678.9,4819.7,440.0,3813.6,,True,True,True,True,,False,False,True,,True,True,,False,False,True,True,True,True,False,True,True,True,False,False,False,True,,False,,False,,True,False,True,False,True,False,
Kentucky,16548,20243.0,18552.4,20384.9,19350.0,19067.0,,22114.7,14266.0,30991.3,,15459.0,18775.3,,20709.9,21373.0,16355.3,19501.0,14516.9,19940.0,20624.2,13466.5,15234.5,21162.6,27804.6,17792.2,23819.0,19392.0,,19986.1,,10588.9,,17908.1,29146.6,15654.1,23560.9,19480.0,26270.0,,3695.0,2004.4,3836.9,2802.0,2519.0,,5566.7,-2282.0,14443.3,,-1089.0,2227.3,,4161.9,4825.0,-192.7,2953.0,-2031.1,3392.0,4076.2,-3081.5,-1313.5,4614.6,11256.6,1244.2,7271.0,2844.0,,3438.1,,-5959.1,,1360.1,12598.6,-893.9,7012.9,2932.0,9722.0,,True,False,True,True,,False,True,False,,True,True,,False,False,True,True,True,True,False,True,True,False,False,True,False,True,,True,,False,,True,False,True,False,True,False,
Louisiana,17021,15402.0,18000.3,15353.5,15703.0,12796.0,,18127.5,16366.0,218408.6,,9118.8,16789.9,,16986.5,17601.0,14444.3,15179.0,13799.5,15908.5,14491.6,12881.5,13880.9,19645.9,15495.2,15556.6,17838.0,15682.0,,15848.3,,17383.5,,15013.8,31057.8,12517.5,17832.0,11643.0,20571.9,,-1619.0,979.3,-1667.5,-1318.0,-4225.0,,1106.5,-655.0,201387.6,,-7902.2,-231.1,,-34.5,580.0,-2576.7,-1842.0,-3221.5,-1112.5,-2529.4,-4139.5,-3140.1,2624.9,-1525.8,-1464.4,817.0,-1339.0,,-1172.7,,362.5,,-2007.2,14036.8,-4503.5,811.0,-5378.0,3550.9,,True,False,True,False,,True,True,False,,False,True,,True,True,False,False,False,True,False,False,False,False,True,True,True,True,,True,,True,,False,False,False,True,False,False,
Maine,2570,3379.0,3509.0,3381.0,3496.0,2884.0,,3752.8,3307.0,2687.7,,2595.8,2668.4,,4036.8,3946.0,3742.5,3889.0,3589.7,3980.0,4012.0,2987.0,2460.3,3825.6,3895.3,3511.3,4678.0,3436.0,,3142.9,,4797.6,,3289.0,5386.7,2455.9,4009.3,3207.0,4953.9,,809.0,939.0,811.0,926.0,314.0,,1182.8,737.0,117.7,,25.8,98.4,,1466.8,1376.0,1172.5,1319.0,1019.7,1410.0,1442.0,417.0,-109.7,1255.6,1325.3,941.3,2108.0,866.0,,572.9,,2227.6,,719.0,2816.7,-114.1,1439.3,637.0,2383.9,,False,False,False,True,,False,True,True,,True,True,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,,False,,True,False,True,False,True,False,
Maryland,13419,15276.0,15946.2,15277.2,15285.0,12330.0,,17123.6,45874.0,13790.5,,11512.9,16189.1,,15168.8,16421.0,13099.6,15122.0,14565.1,17768.0,18414.7,11565.0,14157.5,17968.0,13927.0,15641.0,17787.0,14887.0,,16757.9,,18613.1,,14646.7,25230.4,12955.8,16901.5,15245.0,19821.1,,1857.0,2527.2,1858.2,1866.0,-1089.0,,3704.6,32455.0,371.5,,-1906.1,2770.1,,1749.8,3002.0,-319.4,1703.0,1146.1,4349.0,4995.7,-1854.0,738.5,4549.0,508.0,2222.0,4368.0,1468.0,,3338.9,,5194.1,,1227.7,11811.4,-463.2,3482.5,1826.0,6402.1,,False,False,False,True,,False,False,True,,False,False,,True,False,True,True,True,False,False,True,True,False,True,False,False,True,,False,,False,,True,False,True,False,True,False,
Massachusetts,25267,30367.0,31901.8,28861.8,30202.0,25485.0,,33129.8,29690.0,32596.9,,23525.3,26975.6,,31081.7,34057.0,24165.7,29551.0,17672.4,31678.5,28953.1,21823.0,27636.6,31583.1,24710.4,30454.0,34735.0,28263.0,,32134.8,,31434.0,,34150.6,51528.9,19665.6,40298.8,29445.0,35576.1,,5100.0,6634.8,3594.8,4935.0,218.0,,7862.8,4423.0,7329.9,,-1741.7,1708.6,,5814.7,8790.0,-1101.3,4284.0,-7594.6,6411.5,3686.1,-3444.0,2369.6,6316.1,-556.6,5187.0,9468.0,2996.0,,6867.8,,6167.0,,8883.6,26261.9,-5601.4,15031.8,4178.0,10309.1,,False,True,True,True,,False,True,False,,True,True,,False,False,True,True,False,False,True,True,True,False,True,False,False,True,,False,,False,,False,False,False,False,True,False,
Michigan,13392,14961.0,15117.9,15561.7,14329.0,13308.0,,15780.0,7975.0,31552.5,,10614.0,12956.2,,14329.2,17140.0,9564.7,14227.0,15964.4,15618.0,12614.8,11001.5,12524.2,9899.8,11418.7,13460.9,15911.0,15824.0,,16643.1,,6505.8,,16421.9,20524.9,15425.3,14335.1,13456.0,19001.7,,1569.0,1725.9,2169.7,937.0,-84.0,,2388.0,-5417.0,18160.5,,-2778.0,-435.8,,937.2,3748.0,-3827.3,835.0,2572.4,2226.0,-777.2,-2390.5,-867.8,-3492.2,-1973.3,68.9,2519.0,2432.0,,3251.1,,-6886.2,,3029.9,7132.9,2033.3,943.1,64.0,5609.7,,False,False,True,True,,False,False,False,,False,True,,True,False,False,True,False,False,True,False,True,False,False,True,False,False,,False,,False,,False,False,False,True,True,False,
Minnesota,7011,8761.0,7704.5,8337.5,7936.0,7648.0,,8960.2,2484.0,7725.4,,6442.8,10070.2,,7936.1,9563.0,4679.1,8355.0,7952.8,8968.5,7844.3,6268.5,7377.8,7729.7,7115.2,7918.6,8599.0,10195.0,,9521.2,,2860.4,,8119.2,10282.6,7755.6,9678.8,8234.0,11735.0,,1750.0,693.5,1326.5,925.0,637.0,,1949.2,-4527.0,714.4,,-568.2,3059.2,,925.1,2552.0,-2331.9,1344.0,941.8,1957.5,833.3,-742.5,366.8,718.7,104.2,907.6,1588.0,3184.0,,2510.2,,-4150.6,,1108.2,3271.6,744.6,2667.8,1223.0,4724.0,,True,True,True,True,,False,False,True,,True,False,,True,False,False,True,True,False,True,True,True,True,True,True,True,False,,False,,False,,True,False,True,False,True,False,
Mississippi,11167,12154.0,12435.6,12248.8,11845.0,11062.0,,12928.0,11787.0,12036.7,,12032.7,12046.6,,11685.4,12351.0,10158.5,12274.0,9200.1,12852.5,11657.7,7386.0,9384.2,11604.1,8114.3,11153.6,13332.0,11565.0,,10755.8,,8376.0,,10720.2,18565.5,10611.2,12589.2,12918.0,14141.4,,987.0,1268.6,1081.8,678.0,-105.0,,1761.0,620.0,869.7,,865.7,879.6,,518.4,1184.0,-1008.5,1107.0,-1966.9,1685.5,490.7,-3781.0,-1782.8,437.1,-3052.7,-13.4,2165.0,398.0,,-411.2,,-2791.0,,-446.8,7398.5,-555.8,1422.2,1751.0,2974.4,,False,False,True,True,,False,True,True,,True,True,,True,False,False,False,False,False,True,False,False,True,False,True,False,True,,True,,False,,True,False,True,False,False,False,
Missouri,11134,11807.0,12914.7,12739.1,12424.0,8116.0,,12632.2,10911.0,12449.8,,9058.4,12999.3,,11614.6,13464.0,6496.9,10575.0,10739.8,13766.0,12986.6,8873.0,11392.9,17745.5,14053.6,12478.1,12574.0,13403.0,,12488.2,,9184.4,,12223.5,19641.3,10925.7,13376.2,11073.0,15820.6,,673.0,1780.7,1605.1,1290.0,-3018.0,,1498.2,-223.0,1315.8,,-2075.6,1865.3,,480.6,2330.0,-4637.1,-559.0,-394.2,2632.0,1852.6,-2261.0,258.9,6611.5,2919.6,1344.1,1440.0,2269.0,,1354.2,,-1949.6,,1089.5,8507.3,-208.3,2242.2,-61.0,4686.6,,False,False,False,False,,False,True,False,,False,False,,True,False,False,True,True,False,False,False,True,False,False,False,False,False,,False,,False,,False,False,True,False,True,False,
