,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,323558,265560.0,240498.0,,295327.2,178471.0,,272901.0,422385.0,327713.8,184579.7,342558.5,,177684.2,184037.0,,-57998.0,-83060.0,,-28230.8,-145087.0,,-50657.0,98827.0,4155.8,-138978.3,19000.5,,-145873.8,-139521.0,,False,,True,False,,True,False,True,False,True,,False,False,
Hawaii,5619,5184.0,5846.0,,5394.2,1484.0,,,6234.3,6732.2,18088.8,5559.5,,3181.3,5154.0,6046.3,-435.0,227.0,,-224.8,-4135.0,,,615.3,1113.2,12469.8,-59.5,,-2437.7,-465.0,427.3,True,,True,False,,,False,False,False,True,,False,False,True
Idaho,33614,50622.0,35428.0,,52214.0,24899.0,,48894.0,75621.6,30287.1,37912.0,40763.0,,32439.7,21751.0,78048.0,17008.0,1814.0,,18600.0,-8715.0,,15280.0,42007.6,-3326.9,4298.0,7149.0,,-1174.3,-11863.0,44434.0,True,,False,True,,True,False,True,True,True,,True,True,False
Illinois,229506,316074.0,225608.0,,262520.0,135707.0,,299679.0,461164.4,147955.7,226341.4,221371.0,,258658.1,167436.0,,86568.0,-3898.0,,33014.0,-93799.0,,70173.0,231658.4,-81550.3,-3164.6,-8135.0,,29152.1,-62070.0,,True,,True,False,,True,False,True,True,True,,True,True,
Indiana,167088,230010.0,152899.0,,236551.3,106349.0,,248090.0,361326.8,111758.1,143450.1,176196.5,,284662.4,135352.0,299642.5,62922.0,-14189.0,,69463.3,-60739.0,,81002.0,194238.8,-55329.9,-23637.9,9108.5,,117574.4,-31736.0,132554.5,True,,False,True,,False,False,True,True,True,,False,True,False
Iowa,52151,71700.0,51596.0,,54890.5,17886.0,,73110.0,99470.0,17489.5,55462.8,50672.0,,81576.8,38261.0,34624.1,19549.0,-555.0,,2739.5,-34265.0,,20959.0,47319.0,-34661.5,3311.8,-1479.0,,29425.8,-13890.0,-17526.9,True,,True,False,,False,False,False,True,True,,False,True,True
Kansas,73699,91134.0,62774.0,,83511.1,44996.0,,80857.0,123241.8,59644.2,59814.8,176605.5,,95741.2,51579.0,88777.8,17435.0,-10925.0,,9812.1,-28703.0,,7158.0,49542.8,-14054.8,-13884.2,102906.5,,22042.2,-22120.0,15078.8,True,,True,False,,True,False,True,True,False,,False,False,True
Kentucky,120552,119424.0,90158.0,,132258.6,90934.0,,124128.0,179480.0,122810.3,82064.2,91088.5,,101064.4,72839.0,149795.5,-1128.0,-30394.0,,11706.6,-29618.0,,3576.0,58928.0,2258.3,-38487.8,-29463.5,,-19487.6,-47713.0,29243.5,False,,False,False,,False,False,False,False,False,,False,False,False
Louisiana,114842,109458.0,108971.0,,110867.5,112103.0,,110123.0,136146.4,72235.0,94819.1,74760.0,,97055.2,58881.0,147233.3,-5384.0,-5871.0,,-3974.5,-2739.0,,-4719.0,21304.4,-42607.0,-20022.9,-40082.0,,-17786.8,-55961.0,32391.3,False,,True,True,,True,False,False,False,False,,False,False,False
Maine,20430,18708.0,19904.0,,21947.1,13146.0,,19724.0,40739.1,57634.9,25247.4,23985.5,,21893.8,17171.0,66132.8,-1722.0,-526.0,,1517.1,-7284.0,,-706.0,20309.1,37204.9,4817.4,3555.5,,1463.8,-3259.0,45702.8,True,,True,False,,True,False,False,False,False,,True,False,False
Maryland,103972,100470.0,66639.0,,111838.4,93295.0,,104480.0,144754.3,85574.0,114498.7,81447.0,,120552.7,61506.0,189760.8,-3502.0,-37333.0,,7866.4,-10677.0,,508.0,40782.3,-18398.0,10526.7,-22525.0,,16580.7,-42466.0,85788.8,False,,False,False,,True,False,False,False,False,,False,False,False
Massachusetts,202090,201270.0,154297.0,,227897.7,123948.0,,220869.0,374215.3,188763.9,176476.3,166396.0,,144923.3,128385.0,670195.6,-820.0,-47793.0,,25807.7,-78142.0,,18779.0,172125.3,-13326.1,-25613.7,-35694.0,,-57166.7,-73705.0,468105.6,False,,False,False,,False,False,False,False,False,,False,False,False
Michigan,114082,185382.0,116706.0,,145797.9,55977.0,,183695.0,216640.7,54793.4,169250.7,125824.5,,310650.2,86258.0,149348.1,71300.0,2624.0,,31715.9,-58105.0,,69613.0,102558.7,-59288.6,55168.7,11742.5,,196568.2,-27824.0,35266.1,True,,True,True,,True,False,True,True,True,,False,True,True
Minnesota,66184,115422.0,55454.0,,111554.3,45020.0,,140008.0,144988.0,26418.3,74000.8,61048.5,,90565.0,51469.0,92199.7,49238.0,-10730.0,,45370.3,-21164.0,,73824.0,78804.0,-39765.7,7816.8,-5135.5,,24381.0,-14715.0,26015.7,True,,True,True,,False,False,True,True,True,,True,True,True
Mississippi,82079,84984.0,57486.0,,97185.0,87616.0,,95048.0,138373.5,94314.8,58972.1,90558.5,,88860.3,59130.0,222864.9,2905.0,-24593.0,,15106.0,5537.0,,12969.0,56294.5,12235.8,-23106.9,8479.5,,6781.3,-22949.0,140785.9,False,,False,False,,False,False,False,False,False,,False,False,False
Missouri,130205,132918.0,107962.0,,124624.6,53466.0,,118380.0,191951.7,90471.5,97159.5,102298.5,,115526.9,86271.0,,2713.0,-22243.0,,-5580.4,-76739.0,,-11825.0,61746.7,-39733.5,-33045.5,-27906.5,,-14678.1,-43934.0,,False,,False,False,,False,False,False,False,False,,False,False,
Montana,17143,23850.0,13569.0,,21619.6,10308.0,,29845.0,26770.6,9662.4,16072.6,20180.5,,13086.2,11997.0,19072.3,6707.0,-3574.0,,4476.6,-6835.0,,12702.0,9627.6,-7480.6,-1070.4,3037.5,,-4056.8,-5146.0,1929.3,True,,True,False,,False,False,False,True,True,,True,True,True
Nebraska,35155,46362.0,30476.0,,40990.6,9856.0,,44410.0,48748.5,16369.4,41911.8,30383.5,,13934.9,19948.0,32689.9,11207.0,-4679.0,,5835.6,-25299.0,,9255.0,13593.5,-18785.6,6756.8,-4771.5,,-21220.1,-15207.0,-2465.1,True,,True,False,,True,False,False,True,True,,False,False,True
Nevada,75491,107454.0,81419.0,,105706.9,55755.0,,103129.0,147022.4,72861.1,70930.9,83624.5,,114946.3,63229.0,,31963.0,5928.0,,30215.9,-19736.0,,27638.0,71531.4,-2629.9,-4560.1,8133.5,,39455.3,-12262.0,,True,,True,True,,True,False,True,True,True,,False,True,
New Hampshire,29293,32190.0,21668.0,,38018.4,27635.0,,40005.0,65602.8,49529.8,33321.5,29793.0,,42896.1,19542.0,158215.0,2897.0,-7625.0,,8725.4,-1658.0,,10712.0,36309.8,20236.8,4028.5,500.0,,13603.1,-9751.0,128922.0,False,,False,True,,False,False,False,False,True,,False,False,False
New Jersey,221459,185526.0,138112.0,,154098.5,109556.0,,173385.0,249791.8,131299.2,235521.3,153753.5,,183328.0,121944.0,293952.9,-35933.0,-83347.0,,-67360.5,-111903.0,,-48074.0,28332.8,-90159.8,14062.3,-67705.5,,-38131.0,-99515.0,72493.9,False,,False,False,,False,True,False,True,False,,False,False,False
New Mexico,44609,63432.0,44502.0,,55801.2,21506.0,,64009.0,62359.8,36092.0,24645.6,41588.0,,31929.4,37218.0,44665.7,18823.0,-107.0,,11192.2,-23103.0,,19400.0,17750.8,-8517.0,-19963.4,-3021.0,,-12679.6,-7391.0,56.7,True,,True,False,,False,True,True,False,True,,True,True,True
New York,560920,439836.0,395226.0,,495469.1,429732.0,,407442.0,753755.9,855435.8,650130.6,423615.0,,846578.2,305860.0,837962.6,-121084.0,-165694.0,,-65450.9,-131188.0,,-153478.0,192835.9,294515.8,89210.6,-137305.0,,285658.2,-255060.0,277042.6,False,,True,False,,False,False,False,True,False,,False,False,False
North Carolina,280359,254952.0,230025.0,,272990.6,288013.0,,278102.0,437820.9,319096.2,198455.3,284176.5,,315311.0,200632.0,648150.3,-25407.0,-50334.0,,-7368.4,7654.0,,-2257.0,157461.9,38737.2,-81903.7,3817.5,,34952.0,-79727.0,367791.3,False,,True,True,,True,False,False,False,True,,False,False,False
North Dakota,7777,13164.0,5669.0,,14137.6,7085.0,,24403.0,13529.5,5736.1,13258.4,5402.0,,4587.2,6066.0,11008.2,5387.0,-2108.0,,6360.6,-692.0,,16626.0,5752.5,-2040.9,5481.4,-2375.0,,-3189.8,-1711.0,3231.2,True,,False,True,,False,False,True,False,True,,True,True,True
Ohio,278352,365808.0,271705.0,,384478.0,313973.0,,402564.0,524401.2,242100.8,274844.4,336612.5,,326103.1,217887.0,675331.9,87456.0,-6647.0,,106126.0,35621.0,,124212.0,246049.2,-36251.2,-3507.6,58260.5,,47751.1,-60465.0,396979.9,True,,False,True,,False,False,True,True,True,,True,True,False
Oklahoma,130722,135192.0,107932.0,,146409.6,74341.0,,149882.0,170360.2,92733.1,79970.9,143865.0,,110573.0,96150.0,127754.0,4470.0,-22790.0,,15687.6,-56381.0,,19160.0,39638.2,-37988.9,-50751.1,13143.0,,-20149.0,-34572.0,-2968.0,False,,False,False,,False,False,False,False,False,,False,False,True
Oregon,40602,53850.0,49387.0,,53653.9,51553.0,,50328.0,77831.9,28879.5,73426.2,47103.0,,41155.0,32973.0,63027.5,13248.0,8785.0,,13051.9,10951.0,,9726.0,37229.9,-11722.5,32824.2,6501.0,,553.0,-7629.0,22425.5,True,,True,True,,True,False,True,False,True,,True,True,False
Pennsylvania,289580,405390.0,278009.0,,425761.6,332536.0,,423226.0,698508.8,523280.5,333563.1,331412.5,,237920.5,238506.0,934934.2,115810.0,-11571.0,,136181.6,42956.0,,133646.0,408928.8,233700.5,43983.1,41832.5,,-51659.5,-51074.0,645354.2,True,,False,True,,False,False,False,True,True,,True,True,False
Rhode Island,36626,41964.0,30933.0,,42133.4,24428.0,,41657.0,66492.3,23701.3,32018.1,31344.5,,36002.5,13985.0,109352.7,5338.0,-5693.0,,5507.4,-12198.0,,5031.0,29866.3,-12924.7,-4607.9,-5281.5,,-623.5,-22641.0,72726.7,False,,False,False,,True,False,False,True,True,,True,False,False
South Carolina,169248,130434.0,123589.0,,142786.3,55047.0,,133065.0,230432.6,177679.8,83716.1,150138.5,,120447.0,78474.0,372691.8,-38814.0,-45659.0,,-26461.7,-114201.0,,-36183.0,61184.6,8431.8,-85531.9,-19109.5,,-48801.0,-90774.0,203443.8,False,,True,False,,True,False,True,False,True,,False,False,False
South Dakota,13734,23574.0,13023.0,,21703.1,3791.0,,27265.0,27067.6,9149.1,13669.5,12701.0,,32183.0,12314.0,17228.7,9840.0,-711.0,,7969.1,-9943.0,,13531.0,13333.6,-4584.9,-64.5,-1033.0,,18449.0,-1420.0,3494.7,True,,True,False,,False,False,True,True,True,,False,True,True
Tennessee,221091,364188.0,264450.0,,393683.8,264363.0,,404880.0,545735.6,867371.7,161181.6,571371.5,,376474.6,350372.0,990215.0,143097.0,43359.0,,172592.8,43272.0,,183789.0,324644.6,646280.7,-59909.4,350280.5,,155383.6,129281.0,769124.0,True,,False,True,,False,False,False,True,False,,False,True,False
Texas,778099,668124.0,913405.0,,722465.3,486508.0,,704518.0,1049848.0,686879.2,643752.4,608350.5,,616756.3,442050.0,481636.5,-109975.0,135306.0,,-55633.7,-291591.0,,-73581.0,271749.0,-91219.8,-134346.6,-169748.5,,-161342.7,-336049.0,-296462.5,False,,True,False,,True,False,True,False,False,,False,False,False
Utah,96460,102894.0,51257.0,,111130.4,33194.0,,115055.0,148535.6,39340.8,61840.7,77899.5,,69798.9,65183.0,114311.1,6434.0,-45203.0,,14670.4,-63266.0,,18595.0,52075.6,-57119.2,-34619.3,-18560.5,,-26661.1,-31277.0,17851.1,False,,False,False,,False,False,False,False,False,,False,False,False
Vermont,5488,4302.0,3591.0,,4386.6,3701.0,,4996.0,6119.5,5000.1,8262.5,4037.5,,11191.1,2525.0,9454.9,-1186.0,-1897.0,,-1101.4,-1787.0,,-492.0,631.5,-487.9,2774.5,-1450.5,,5703.1,-2963.0,3966.9,False,,True,False,,True,True,True,False,False,,False,False,False
Virginia,199249,146142.0,135410.0,,157588.2,152293.0,,142000.0,267387.1,253093.3,165741.1,159097.0,,130758.8,102518.0,329109.0,-53107.0,-63839.0,,-41660.8,-46956.0,,-57249.0,68138.1,53844.3,-33507.9,-40152.0,,-68490.2,-96731.0,129860.0,False,,True,True,,False,False,False,True,True,,False,False,False
Washington,88997,83298.0,50246.0,,45392.1,52908.0,,100389.0,143928.5,41058.0,97618.1,87048.0,,75982.6,34907.0,,-5699.0,-38751.0,,-43604.9,-36089.0,,11392.0,54931.5,-47939.0,8621.1,-1949.0,,-13014.4,-54090.0,,False,,False,False,,False,False,False,False,True,,False,False,
West Virginia,49125,54384.0,50754.0,,57359.9,26496.0,,52455.0,83351.6,54847.3,37801.8,54059.5,,63107.7,37326.0,90036.6,5259.0,1629.0,,8234.9,-22629.0,,3330.0,34226.6,5722.3,-11323.2,4934.5,,13982.7,-11799.0,40911.6,True,,False,False,,True,False,False,False,True,,False,False,False
Wisconsin,100318,148128.0,121180.0,,134601.4,16599.0,,138420.0,213237.2,63145.6,97846.1,115019.0,,119225.2,80837.0,113040.2,47810.0,20862.0,,34283.4,-83719.0,,38102.0,112919.2,-37172.4,-2471.9,14701.0,,18907.2,-19481.0,12722.2,True,,True,False,,True,False,True,True,True,,True,True,True
Wyoming,10216,15486.0,8647.0,,12180.4,6349.0,,16651.0,15711.6,4752.3,8458.3,7259.0,,11706.7,6456.0,8002.5,5270.0,-1569.0,,1964.4,-3867.0,,6435.0,5495.6,-5463.7,-1757.7,-2957.0,,1490.7,-3760.0,-2213.5,True,,True,True,,False,False,False,True,True,,True,True,True
US,8367218,9074232.0,7749004.0,16877908.0,9389650.4,8033110.0,9007771.0,9031114.0,14548155.3,10941466.2,7492897.9,7244538.0,9307084.0,7464833.5,6183977.0,,707014.0,-618214.0,8510690.0,1022432.4,-334108.0,640553.0,663896.0,6180937.3,2574248.2,-874320.1,-1122680.0,939866.0,-902384.5,-2183241.0,,True,False,False,True,True,True,False,False,False,False,False,False,False,
