,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,294,654.0,,664.7,,675.0,881.0,,,,,787.6,789.4,,,802.0,921.9,299.5,421.0,,657.0,730.2,,,799.0,710.0,613.2,,,,,,397.5,,,,692.3,383.7,360.0,,370.7,,381.0,587.0,,,,,493.6,495.4,,,508.0,627.9,5.5,127.0,,363.0,436.2,,,505.0,416.0,319.2,,,,,,103.5,,,,398.3,89.7,,False,,False,False,,,,,False,False,,,False,False,True,True,,False,False,,,False,False,True,,,,,,True,,,,False,True
01023,30,24.0,,22.0,,30.0,8.0,,,,,109.1,61.2,,,199.0,4.3,50.5,,,21.0,32.0,,,9.0,115.0,62.9,,,,,,,,,,32.7,51.6,-6.0,,-8.0,,0.0,-22.0,,,,,79.1,31.2,,,169.0,-25.7,20.5,,,-9.0,2.0,,,-21.0,85.0,32.9,,,,,,,,,,2.7,21.6,,False,,True,False,,,,,False,False,,,False,False,False,,,False,True,,,False,False,False,,,,,,,,,,True,False
01025,563,543.0,,536.8,,510.0,734.0,,,,,667.4,679.5,,,358.0,341.5,249.2,,,552.0,601.9,,,686.0,518.0,577.1,,,,,,402.3,,,,462.0,395.2,-20.0,,-26.2,,-53.0,171.0,,,,,104.4,116.5,,,-205.0,-221.5,-313.8,,,-11.0,38.9,,,123.0,-45.0,14.1,,,,,,-160.7,,,,-101.0,-167.8,,False,,False,False,,,,,False,False,,,False,False,False,,,True,False,,,False,False,True,,,,,,False,,,,False,False
01027,102,195.0,,197.2,,197.0,238.0,,,,,298.1,258.0,,,232.0,113.7,90.2,,,167.0,235.5,,,200.0,218.0,188.3,,,,,,,,,,262.1,121.7,93.0,,95.2,,95.0,136.0,,,,,196.1,156.0,,,130.0,11.7,-11.8,,,65.0,133.5,,,98.0,116.0,86.3,,,,,,,,,,160.1,19.7,,False,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,False,False,True,,,,,,,,,,False,True
01029,150,213.0,,198.8,,185.0,115.0,,,,,261.4,274.6,,,289.0,120.9,91.6,,,166.5,207.0,,,256.0,242.0,179.0,,,,,,,,,,284.6,134.8,63.0,,48.8,,35.0,-35.0,,,,,111.4,124.6,,,139.0,-29.1,-58.4,,,16.5,57.0,,,106.0,92.0,29.0,,,,,,,,,,134.6,-15.2,,True,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,False,False,True,,,,,,,,,,False,True
01031,751,1284.0,,1312.5,,1067.0,2625.0,,,,,1051.0,1415.3,,,810.0,922.8,424.2,920.5,,1075.0,1329.5,,,1520.0,1177.0,864.6,,,,,,1022.7,,,,1809.8,776.6,533.0,,561.5,,316.0,1874.0,,,,,300.0,664.3,,,59.0,171.8,-326.8,169.5,,324.0,578.5,,,769.0,426.0,113.6,,,,,,271.7,,,,1058.8,25.6,,False,,True,False,,,,,True,False,,,True,True,True,True,,True,False,,,False,True,True,,,,,,True,,,,False,True
01033,656,972.0,,975.8,,962.0,1077.0,,,,,1191.7,1399.5,,,1158.0,584.0,523.8,696.0,,898.5,1049.2,,,1046.0,1020.0,859.5,,,,,,611.4,,,,1108.8,567.4,316.0,,319.8,,306.0,421.0,,,,,535.7,743.5,,,502.0,-72.0,-132.2,40.0,,242.5,393.2,,,390.0,364.0,203.5,,,,,,-44.6,,,,452.8,-88.6,,False,,True,False,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,,,,False,True
01035,96,120.0,,124.0,,124.0,156.0,,,,,213.6,191.7,,,148.0,276.1,64.8,,,84.0,120.1,,,206.0,163.0,101.0,,,,,,,,,,126.9,71.7,24.0,,28.0,,28.0,60.0,,,,,117.6,95.7,,,52.0,180.1,-31.2,,,-12.0,24.1,,,110.0,67.0,5.0,,,,,,,,,,30.9,-24.3,,False,,False,False,,,,,False,False,,,False,False,False,,,True,False,,,False,False,True,,,,,,,,,,False,False
01037,96,165.0,,154.7,,158.0,301.0,,,,,141.1,171.4,,,139.0,332.5,57.7,,,213.0,149.1,,,219.0,169.0,113.1,,,,,,,,,,153.9,66.3,69.0,,58.7,,62.0,205.0,,,,,45.1,75.4,,,43.0,236.5,-38.3,,,117.0,53.1,,,123.0,73.0,17.1,,,,,,,,,,57.9,-29.7,,True,,True,False,,,,,True,False,,,True,False,True,,,False,True,,,False,False,True,,,,,,,,,,True,True
01039,387,591.0,,630.8,,585.0,1304.0,,,,,766.5,753.8,,,606.0,548.8,251.2,371.5,,791.0,558.4,,,694.0,661.0,470.6,,,,,,383.3,,,,615.1,359.3,204.0,,243.8,,198.0,917.0,,,,,379.5,366.8,,,219.0,161.8,-135.8,-15.5,,404.0,171.4,,,307.0,274.0,83.6,,,,,,-3.7,,,,228.1,-27.7,,False,,True,False,,,,,False,False,,,False,True,True,True,,False,True,,,False,False,True,,,,,,True,,,,False,True
01041,174,468.0,,512.5,,334.0,580.0,,,,,270.7,369.6,,,207.0,217.8,154.1,,,372.0,389.1,,,501.0,334.0,200.6,,,,,,,,,,576.9,236.8,294.0,,338.5,,160.0,406.0,,,,,96.7,195.6,,,33.0,43.8,-19.9,,,198.0,215.1,,,327.0,160.0,26.6,,,,,,,,,,402.9,62.8,,False,,True,False,,,,,True,True,,,True,True,True,,,True,True,,,False,True,True,,,,,,,,,,False,True
01043,838,1272.0,,1309.0,,1270.0,766.0,,,,,1750.7,1936.6,,,1971.0,916.1,860.9,780.0,,987.5,1399.2,,,1399.0,1371.0,1409.4,,,,,,1096.6,,,,1265.5,956.9,434.0,,471.0,,432.0,-72.0,,,,,912.7,1098.6,,,1133.0,78.1,22.9,-58.0,,149.5,561.2,,,561.0,533.0,571.4,,,,,,258.6,,,,427.5,118.9,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,False,,,,,,True,,,,True,True
01045,574,849.0,,859.9,,849.0,1512.0,,,,,963.1,1065.6,,,799.0,737.0,489.0,640.0,,1270.0,997.8,,,1081.0,890.0,666.2,,,,,,540.4,,,,1201.4,505.9,275.0,,285.9,,275.0,938.0,,,,,389.1,491.6,,,225.0,163.0,-85.0,66.0,,696.0,423.8,,,507.0,316.0,92.2,,,,,,-33.6,,,,627.4,-68.1,,False,,False,False,,,,,False,False,,,True,True,True,True,,False,False,,,False,False,True,,,,,,True,,,,False,True
01047,281,267.0,,270.4,,287.0,195.0,,,,,636.6,441.7,,,517.0,563.9,265.8,227.0,,236.0,300.5,,,367.0,453.0,308.6,,,,,,267.7,,,,402.5,233.3,-14.0,,-10.6,,6.0,-86.0,,,,,355.6,160.7,,,236.0,282.9,-15.2,-54.0,,-45.0,19.5,,,86.0,172.0,27.6,,,,,,-13.3,,,,121.5,-47.7,,True,,True,False,,,,,False,False,,,False,False,False,False,,False,False,,,False,False,False,,,,,,True,,,,False,False
01049,737,1044.0,,1114.8,,1011.0,1416.0,,,,,1681.1,1572.0,,,1744.0,402.3,646.4,659.0,,839.0,1085.9,,,1075.0,1169.0,1079.3,,,,,,769.1,,,,870.7,778.5,307.0,,377.8,,274.0,679.0,,,,,944.1,835.0,,,1007.0,-334.7,-90.6,-78.0,,102.0,348.9,,,338.0,432.0,342.3,,,,,,32.1,,,,133.7,41.5,,False,,True,False,,,,,False,False,,,False,False,True,True,,True,False,,,False,False,False,,,,,,True,,,,True,True
01051,1200,2127.0,,2127.4,,1985.0,2534.0,,,,,2035.1,2375.1,,,1220.0,2137.1,1107.9,1246.0,,1646.0,2021.8,,,2597.0,2052.0,1318.5,,,,,,1609.3,,,,3137.6,1454.4,927.0,,927.4,,785.0,1334.0,,,,,835.1,1175.1,,,20.0,937.1,-92.1,46.0,,446.0,821.8,,,1397.0,852.0,118.5,,,,,,409.3,,,,1937.6,254.4,,False,,True,False,,,,,True,False,,,True,False,True,True,,True,True,,,False,True,True,,,,,,True,,,,False,True
01053,539,720.0,,707.2,,674.0,352.0,,,,,782.8,821.9,,,597.0,644.3,333.7,455.0,,728.0,734.3,,,944.0,720.0,472.2,,,,,,573.6,,,,790.3,444.0,181.0,,168.2,,135.0,-187.0,,,,,243.8,282.9,,,58.0,105.3,-205.3,-84.0,,189.0,195.3,,,405.0,181.0,-66.8,,,,,,34.6,,,,251.3,-95.0,,True,,True,False,,,,,False,False,,,True,True,False,True,,False,False,,,False,False,True,,,,,,True,,,,False,True
01055,1366,2379.0,,2415.8,,2163.0,3965.0,,,,,2727.4,3074.2,,,2163.0,818.0,1239.1,1177.0,,1496.0,2533.8,,,2457.0,2312.0,1396.5,,,,,,1693.2,,,,2424.1,1558.5,1013.0,,1049.8,,797.0,2599.0,,,,,1361.4,1708.2,,,797.0,-548.0,-126.9,-189.0,,130.0,1167.8,,,1091.0,946.0,30.5,,,,,,327.2,,,,1058.1,192.5,,False,,True,False,,,,,False,False,,,True,True,True,True,,True,False,,,False,True,True,,,,,,True,,,,False,True
01057,287,315.0,,308.5,,302.0,227.0,,,,,379.7,417.6,,,323.0,99.4,142.5,,,366.0,331.2,,,316.0,303.0,272.0,,,,,,,,,,304.9,183.4,28.0,,21.5,,15.0,-60.0,,,,,92.7,130.6,,,36.0,-187.6,-144.5,,,79.0,44.2,,,29.0,16.0,-15.0,,,,,,,,,,17.9,-103.6,,True,,True,False,,,,,False,False,,,False,False,False,,,False,False,,,False,True,True,,,,,,,,,,True,False
01059,318,591.0,,605.9,,511.0,506.0,,,,,773.4,794.8,,,815.0,412.8,270.6,421.5,,471.5,641.1,,,666.0,616.0,448.4,,,,,,356.0,,,,530.0,293.6,273.0,,287.9,,193.0,188.0,,,,,455.4,476.8,,,497.0,94.8,-47.4,103.5,,153.5,323.1,,,348.0,298.0,130.4,,,,,,38.0,,,,212.0,-24.4,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,,,,True,True
01061,350,486.0,,473.0,,490.0,686.0,,,,,459.2,563.8,,,486.0,490.1,229.6,,,640.0,552.0,,,603.0,512.0,351.4,,,,,,,,,,518.4,267.9,136.0,,123.0,,140.0,336.0,,,,,109.2,213.8,,,136.0,140.1,-120.4,,,290.0,202.0,,,253.0,162.0,1.4,,,,,,,,,,168.4,-82.1,,True,,False,False,,,,,True,False,,,False,False,True,,,False,False,,,False,False,True,,,,,,,,,,False,True
01063,69,132.0,,139.3,,126.0,104.0,,,,,195.0,150.7,,,92.0,123.2,88.9,,,84.0,147.9,,,173.0,144.0,116.6,,,,,,,,,,164.2,75.1,63.0,,70.3,,57.0,35.0,,,,,126.0,81.7,,,23.0,54.2,19.9,,,15.0,78.9,,,104.0,75.0,47.6,,,,,,,,,,95.2,6.1,,False,,True,True,,,,,False,False,,,True,True,True,,,True,False,,,False,False,True,,,,,,,,,,False,True
01065,274,492.0,,508.4,,367.0,359.0,,,,,438.3,528.3,,,238.0,165.8,184.4,,,371.0,425.8,,,321.0,380.0,296.2,,,,,,,,,,757.5,256.2,218.0,,234.4,,93.0,85.0,,,,,164.3,254.3,,,-36.0,-108.2,-89.6,,,97.0,151.8,,,47.0,106.0,22.2,,,,,,,,,,483.5,-17.8,,False,,True,True,,,,,True,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,False,True
01067,232,420.0,,413.3,,394.0,271.0,,,,,351.8,437.0,,,264.0,432.3,198.4,,,480.0,397.5,,,576.0,394.0,272.3,,,,,,,,,,368.3,240.3,188.0,,181.3,,162.0,39.0,,,,,119.8,205.0,,,32.0,200.3,-33.6,,,248.0,165.5,,,344.0,162.0,40.3,,,,,,,,,,136.3,8.3,,True,,True,True,,,,,True,False,,,True,False,True,,,False,True,,,False,True,True,,,,,,,,,,True,True
01069,1257,1974.0,,2071.7,,1992.0,2906.0,,,,,2072.8,2444.2,,,1549.0,2746.7,892.9,1382.0,,2205.0,2036.6,,,2508.0,2189.0,1553.4,,,,,,1839.0,,,,2292.8,1234.1,717.0,,814.7,,735.0,1649.0,,,,,815.8,1187.2,,,292.0,1489.7,-364.1,125.0,,948.0,779.6,,,1251.0,932.0,296.4,,,,,,582.0,,,,1035.8,-22.9,,False,,False,False,,,,,False,False,,,True,False,True,True,,False,False,,,False,False,True,,,,,,True,,,,False,True
01071,633,1050.0,,990.3,,1019.0,1694.0,,,,,1340.8,1433.0,,,1186.0,1083.4,487.3,368.0,,934.0,1155.5,,,1119.0,1048.0,921.2,,,,,,627.2,,,,957.9,668.7,417.0,,357.3,,386.0,1061.0,,,,,707.8,800.0,,,553.0,450.4,-145.7,-265.0,,301.0,522.5,,,486.0,415.0,288.2,,,,,,-5.8,,,,324.9,35.7,,True,,True,False,,,,,False,False,,,False,False,True,True,,True,False,,,False,True,True,,,,,,True,,,,True,True
01073,7929,14319.0,,14139.4,10502.0,13021.0,24853.0,,,,,15152.1,17509.5,,14422.5,11821.0,10547.9,8212.2,10652.5,,14051.0,15344.8,,,15573.0,13581.0,11357.6,,,,,,8888.3,13011.0,,,15408.9,7697.9,6390.0,,6210.4,2573.0,5092.0,16924.0,,,,,7223.1,9580.5,,6493.5,3892.0,2618.9,283.2,2723.5,,6122.0,7415.8,,,7644.0,5652.0,3428.6,,,,,,959.3,5082.0,,,7479.9,-231.1,,True,True,True,False,,,,,False,False,,False,True,True,True,True,,True,False,,,False,True,True,,,,,,True,True,,,False,True
01075,105,189.0,,181.4,,188.0,137.0,,,,,278.9,254.3,,,226.0,92.5,114.6,,,181.0,197.5,,,201.0,217.0,210.8,,,,,,,,,,187.6,123.2,84.0,,76.4,,83.0,32.0,,,,,173.9,149.3,,,121.0,-12.5,9.6,,,76.0,92.5,,,96.0,112.0,105.8,,,,,,,,,,82.6,18.2,,True,,True,True,,,,,False,False,,,False,True,True,,,True,False,,,False,False,False,,,,,,,,,,True,True
01077,985,1608.0,,1624.8,,1315.0,1121.0,,,,,1766.7,2289.0,,,1947.0,1031.5,909.1,1269.0,,1268.5,1661.9,,,1771.0,1729.0,1163.0,,,,,,939.6,,,,1802.4,1095.4,623.0,,639.8,,330.0,136.0,,,,,781.7,1304.0,,,962.0,46.5,-75.9,284.0,,283.5,676.9,,,786.0,744.0,178.0,,,,,,-45.4,,,,817.4,110.4,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,,,,False,True
01079,313,639.0,,638.5,,604.0,809.0,,,,,610.7,813.8,,,772.0,313.2,308.7,455.5,,496.0,690.3,,,753.0,610.0,490.0,,,,,,453.1,,,,610.2,355.4,326.0,,325.5,,291.0,496.0,,,,,297.7,500.8,,,459.0,0.2,-4.3,142.5,,183.0,377.3,,,440.0,297.0,177.0,,,,,,140.1,,,,297.2,42.4,,True,,True,False,,,,,True,False,,,False,True,True,True,,True,False,,,False,True,True,,,,,,True,,,,True,True
01081,2181,2970.0,,2882.3,,2958.0,6410.0,,,,,3066.8,3319.5,,3873.0,2266.0,2363.5,1376.3,2153.5,,3894.5,3214.3,,,3732.0,3009.0,2234.3,,,,,,2403.8,3876.0,,,3720.2,2257.5,789.0,,701.3,,777.0,4229.0,,,,,885.8,1138.5,,1692.0,85.0,182.5,-804.7,-27.5,,1713.5,1033.3,,,1551.0,828.0,53.3,,,,,,222.8,1695.0,,,1539.2,76.5,,True,,True,False,,,,,False,False,,False,True,True,False,True,,False,False,,,False,False,True,,,,,,True,False,,,False,True
01083,1070,1668.0,,1567.6,,1629.0,2512.0,,,,,1909.4,2301.5,,,1757.0,839.8,933.4,1308.0,,1539.0,1840.9,,,1868.0,1724.0,1533.5,,,,,,1361.2,,,,1973.1,1146.8,598.0,,497.6,,559.0,1442.0,,,,,839.4,1231.5,,,687.0,-230.2,-136.6,238.0,,469.0,770.9,,,798.0,654.0,463.5,,,,,,291.2,,,,903.1,76.8,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,False,,,False,False,True,,,,,,True,,,,False,True
01085,159,270.0,,257.0,,250.0,258.0,,,,,220.1,234.7,,,89.0,277.5,78.4,,,317.0,226.2,,,326.0,229.0,108.4,,,,,,,,,,284.5,162.7,111.0,,98.0,,91.0,99.0,,,,,61.1,75.7,,,-70.0,118.5,-80.6,,,158.0,67.2,,,167.0,70.0,-50.6,,,,,,,,,,125.5,3.7,,True,,True,True,,,,,True,True,,,True,False,True,,,False,True,,,False,True,True,,,,,,,,,,False,True
01087,191,213.0,,211.2,,208.0,225.0,,,,,253.5,252.5,,,179.0,92.6,125.8,,,188.0,234.1,,,216.0,263.0,177.0,,,,,,,,,,316.7,115.0,22.0,,20.2,,17.0,34.0,,,,,62.5,61.5,,,-12.0,-98.4,-65.2,,,-3.0,43.1,,,25.0,72.0,-14.0,,,,,,,,,,125.7,-76.0,,True,,True,False,,,,,False,False,,,True,False,False,,,True,False,,,False,False,True,,,,,,,,,,False,False
