,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,178,232.0,,246.0,,247.0,149.0,,,,,388.9,298.2,,,440.0,299.1,231.7,,220.0,220.3,,,,291.0,233.0,375.6,,,,,,203.0,150.7,,,,259.2,295.6,54.0,,68.0,,69.0,-29.0,,,,,210.9,120.2,,,262.0,121.1,53.7,,42.0,42.3,,,,113.0,55.0,197.6,,,,,,25.0,-27.3,,,,81.2,117.6,,False,,False,True,,,,,False,False,,,False,False,True,,True,True,,,,False,False,False,,,,,,True,True,,,,False,False
01023,18,24.0,,23.4,,24.0,9.0,,,,,57.3,30.8,,,123.0,15.6,24.0,,4.0,18.1,,,,15.0,34.0,23.3,,,,,,,50.8,,,,25.6,55.1,6.0,,5.4,,6.0,-9.0,,,,,39.3,12.8,,,105.0,-2.4,6.0,,-14.0,0.1,,,,-3.0,16.0,5.3,,,,,,,32.8,,,,7.6,37.1,,True,,False,False,,,,,False,False,,,False,True,True,,False,True,,,,True,False,True,,,,,,,False,,,,False,False
01025,386,354.0,,352.5,,320.0,489.0,,,,,376.8,376.6,,,240.0,267.8,196.4,,370.0,299.7,,,,456.0,267.0,483.6,,,,,,254.5,217.3,,,,307.8,319.4,-32.0,,-33.5,,-66.0,103.0,,,,,-9.2,-9.4,,,-146.0,-118.2,-189.6,,-16.0,-86.3,,,,70.0,-119.0,97.6,,,,,,-131.5,-168.7,,,,-78.2,-66.6,,False,,False,False,,,,,True,True,,,False,False,False,,True,False,,,,False,False,False,,,,,,False,False,,,,False,False
01027,62,76.0,,79.7,,81.0,54.0,,,,,149.7,117.5,,,128.0,92.2,58.0,,59.0,76.9,,,,89.0,81.0,112.8,,,,,,,66.1,,,,114.7,83.2,14.0,,17.7,,19.0,-8.0,,,,,87.7,55.5,,,66.0,30.2,-4.0,,-3.0,14.9,,,,27.0,19.0,50.8,,,,,,,4.1,,,,52.7,21.2,,False,,False,True,,,,,False,False,,,False,False,True,,True,False,,,,False,False,False,,,,,,,True,,,,False,False
01029,94,110.0,,100.7,,103.0,56.0,,,,,131.0,155.7,,,159.0,133.9,90.2,,94.0,99.3,,,,135.0,101.0,132.8,,,,,,,113.4,,,,188.8,89.8,16.0,,6.7,,9.0,-38.0,,,,,37.0,61.7,,,65.0,39.9,-3.8,,0.0,5.3,,,,41.0,7.0,38.8,,,,,,,19.4,,,,94.8,-4.2,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,False,,,,False,True
01031,476,550.0,,581.7,,540.0,731.0,,,,,553.9,603.2,,,484.0,909.9,415.2,,513.0,475.1,,,,733.0,461.0,543.1,,,,,,412.6,419.1,,,,830.3,598.3,74.0,,105.7,,64.0,255.0,,,,,77.9,127.2,,,8.0,433.9,-60.8,,37.0,-0.9,,,,257.0,-15.0,67.1,,,,,,-63.4,-56.9,,,,354.3,122.3,,False,,True,False,,,,,False,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,False
01033,412,488.0,,502.9,,433.0,402.0,,,,,608.2,595.7,,,668.0,383.9,425.9,,401.0,386.9,,,,579.0,442.0,373.7,,,,,,301.5,388.6,,,,571.5,481.9,76.0,,90.9,,21.0,-10.0,,,,,196.2,183.7,,,256.0,-28.1,13.9,,-11.0,-25.1,,,,167.0,30.0,-38.3,,,,,,-110.5,-23.4,,,,159.5,69.9,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,False,True,,,,False,True
01035,59,74.0,,76.4,,76.0,83.0,,,,,104.1,107.9,,,89.0,74.2,49.6,,54.0,61.8,,,,107.0,68.0,86.2,,,,,,,70.7,,,,85.9,79.0,15.0,,17.4,,17.0,24.0,,,,,45.1,48.9,,,30.0,15.2,-9.4,,-5.0,2.8,,,,48.0,9.0,27.2,,,,,,,11.7,,,,26.9,20.0,,False,,False,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
01037,69,54.0,,46.3,,54.0,48.0,,,,,68.9,67.6,,,74.0,74.1,43.9,,10.0,52.3,,,,54.0,49.0,87.3,,,,,,,62.1,,,,81.9,47.0,-15.0,,-22.7,,-15.0,-21.0,,,,,-0.1,-1.4,,,5.0,5.1,-25.1,,-59.0,-16.7,,,,-15.0,-20.0,18.3,,,,,,,-6.9,,,,12.9,-22.0,,False,,False,False,,,,,True,True,,,True,True,False,,False,False,,,,False,False,False,,,,,,,True,,,,True,False
01039,263,248.0,,286.7,,250.0,225.0,,,,,384.5,275.5,,,355.0,366.6,191.3,,210.5,227.1,,,,280.0,258.0,341.8,,,,,,200.8,203.1,,,,316.5,234.0,-15.0,,23.7,,-13.0,-38.0,,,,,121.5,12.5,,,92.0,103.6,-71.7,,-52.5,-35.9,,,,17.0,-5.0,78.8,,,,,,-62.2,-59.9,,,,53.5,-29.0,,False,,True,False,,,,,False,True,,,False,False,False,,False,False,,,,False,True,False,,,,,,False,False,,,,False,False
01041,107,134.0,,185.6,,134.0,96.0,,,,,162.0,148.6,,,109.0,410.6,133.6,,32.0,129.6,,,,193.0,133.0,104.5,,,,,,,117.2,,,,211.8,150.0,27.0,,78.6,,27.0,-11.0,,,,,55.0,41.6,,,2.0,303.6,26.6,,-75.0,22.6,,,,86.0,26.0,-2.5,,,,,,,10.2,,,,104.8,43.0,,False,,False,True,,,,,False,False,,,True,False,True,,False,True,,,,False,True,True,,,,,,,True,,,,False,False
01043,505,666.0,,705.1,,645.0,771.0,,,,,867.6,796.7,,,1176.0,422.5,549.6,,460.0,526.4,,,,675.0,552.0,438.5,,,,,,569.4,543.1,,,,730.6,646.9,161.0,,200.1,,140.0,266.0,,,,,362.6,291.7,,,671.0,-82.5,44.6,,-45.0,21.4,,,,170.0,47.0,-66.5,,,,,,64.4,38.1,,,,225.6,141.9,,False,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01045,318,512.0,,519.5,,484.0,630.0,,,,,494.5,533.3,,,472.0,514.9,356.5,,516.0,432.6,,,,588.0,425.0,315.6,,,,,,331.9,287.2,,,,635.9,424.9,194.0,,201.5,,166.0,312.0,,,,,176.5,215.3,,,154.0,196.9,38.5,,198.0,114.6,,,,270.0,107.0,-2.4,,,,,,13.9,-30.8,,,,317.9,106.9,,False,,True,False,,,,,True,False,,,True,False,True,,False,True,,,,False,True,True,,,,,,True,True,,,,False,True
01047,167,224.0,,222.4,,201.0,200.0,,,,,326.1,302.5,,,307.0,63.9,179.8,,166.0,186.8,,,,198.0,221.0,214.5,,,,,,159.2,178.3,,,,244.8,200.2,57.0,,55.4,,34.0,33.0,,,,,159.1,135.5,,,140.0,-103.1,12.8,,-1.0,19.8,,,,31.0,54.0,47.5,,,,,,-7.8,11.3,,,,77.8,33.2,,True,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False,True
01049,418,638.0,,662.2,,595.0,1108.0,,,,,839.2,726.9,,,1040.0,539.8,424.1,,471.0,516.7,,,,664.0,544.0,877.6,,,,,,412.4,384.2,,,,645.5,509.1,220.0,,244.2,,177.0,690.0,,,,,421.2,308.9,,,622.0,121.8,6.1,,53.0,98.7,,,,246.0,126.0,459.6,,,,,,-5.6,-33.8,,,,227.5,91.1,,False,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
01051,751,898.0,,910.1,,796.0,670.0,,,,,1092.2,957.5,,,696.0,825.1,757.5,,749.0,768.1,,,,1116.0,766.0,915.9,,,,,,654.0,770.4,,,,1245.1,987.9,147.0,,159.1,,45.0,-81.0,,,,,341.2,206.5,,,-55.0,74.1,6.5,,-2.0,17.1,,,,365.0,15.0,164.9,,,,,,-97.0,19.4,,,,494.1,236.9,,False,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01053,331,416.0,,405.6,,385.0,218.0,,,,,429.3,461.0,,,372.0,414.2,343.7,,414.0,336.5,,,,566.0,356.0,347.9,,,,,,278.0,331.2,,,,501.0,380.5,85.0,,74.6,,54.0,-113.0,,,,,98.3,130.0,,,41.0,83.2,12.7,,83.0,5.5,,,,235.0,25.0,16.9,,,,,,-53.0,0.2,,,,170.0,49.5,,True,,True,False,,,,,False,False,,,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01055,737,1258.0,,1323.0,,1172.0,1804.0,,,,,1361.7,1427.4,,,1246.0,1151.5,873.7,,835.0,1010.1,,,,1216.0,1070.0,1051.9,,,,,,714.4,1103.0,,,,1282.5,1233.0,521.0,,586.0,,435.0,1067.0,,,,,624.7,690.4,,,509.0,414.5,136.7,,98.0,273.1,,,,479.0,333.0,314.9,,,,,,-22.6,366.0,,,,545.5,496.0,,False,,True,False,,,,,False,False,,,True,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False,True
01057,177,220.0,,219.8,,198.0,235.0,,,,,195.4,219.4,,,193.0,220.1,125.7,,252.0,176.6,,,,240.0,166.0,134.5,,,,,,,180.6,,,,194.1,169.0,43.0,,42.8,,21.0,58.0,,,,,18.4,42.4,,,16.0,43.1,-51.3,,75.0,-0.4,,,,63.0,-11.0,-42.5,,,,,,,3.6,,,,17.1,-8.0,,True,,True,False,,,,,True,True,,,True,False,False,,False,True,,,,False,True,True,,,,,,,True,,,,True,True
01059,180,276.0,,290.6,,270.0,247.0,,,,,411.1,311.1,,,483.0,299.4,217.4,,168.0,227.7,,,,276.0,243.0,337.7,,,,,,194.5,238.0,,,,327.5,269.1,96.0,,110.6,,90.0,67.0,,,,,231.1,131.1,,,303.0,119.4,37.4,,-12.0,47.7,,,,96.0,63.0,157.7,,,,,,14.5,58.0,,,,147.5,89.1,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
01061,237,226.0,,215.6,,222.0,200.0,,,,,251.9,268.7,,,280.0,283.9,181.4,,326.0,216.2,,,,235.0,187.0,267.8,,,,,,,142.0,,,,199.8,216.3,-11.0,,-21.4,,-15.0,-37.0,,,,,14.9,31.7,,,43.0,46.9,-55.6,,89.0,-20.8,,,,-2.0,-50.0,30.8,,,,,,,-95.0,,,,-37.2,-20.7,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
01063,38,62.0,,63.8,,58.0,40.0,,,,,93.0,71.0,,,58.0,32.9,51.4,,53.0,51.3,,,,72.0,55.0,86.8,,,,,,,51.9,,,,109.2,76.7,24.0,,25.8,,20.0,2.0,,,,,55.0,33.0,,,20.0,-5.1,13.4,,15.0,13.3,,,,34.0,17.0,48.8,,,,,,,13.9,,,,71.2,38.7,,False,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
01065,176,196.0,,213.3,,179.0,178.0,,,,,230.3,221.1,,,149.0,310.3,158.9,,158.0,152.4,,,,284.0,165.0,199.5,,,,,,,134.9,,,,285.6,189.4,20.0,,37.3,,3.0,2.0,,,,,54.3,45.1,,,-27.0,134.3,-17.1,,-18.0,-23.6,,,,108.0,-11.0,23.5,,,,,,,-41.1,,,,109.6,13.4,,False,,True,True,,,,,False,False,,,False,False,True,,True,False,,,,False,True,False,,,,,,,False,,,,False,True
01067,129,206.0,,201.9,,179.0,136.0,,,,,205.6,235.3,,,158.0,199.1,127.9,,185.0,176.1,,,,283.0,163.0,167.0,,,,,,,147.5,,,,248.9,165.0,77.0,,72.9,,50.0,7.0,,,,,76.6,106.3,,,29.0,70.1,-1.1,,56.0,47.1,,,,154.0,34.0,38.0,,,,,,,18.5,,,,119.9,36.0,,True,,True,True,,,,,True,False,,,True,True,True,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
01069,813,888.0,,988.4,,889.0,686.0,,,,,1014.7,1101.7,,,951.0,867.5,691.6,,695.0,814.1,,,,905.0,800.0,1084.0,,,,,,898.5,790.6,,,,1304.7,900.1,75.0,,175.4,,76.0,-127.0,,,,,201.7,288.7,,,138.0,54.5,-121.4,,-118.0,1.1,,,,92.0,-13.0,271.0,,,,,,85.5,-22.4,,,,491.7,87.1,,False,,False,False,,,,,False,False,,,False,True,False,,False,True,,,,False,True,False,,,,,,False,True,,,,False,False
01071,412,442.0,,411.4,,442.0,558.0,,,,,631.6,573.5,,,656.0,405.6,334.6,,180.0,340.1,,,,506.0,397.0,412.8,,,,,,413.4,274.5,,,,709.3,509.4,30.0,,-0.6,,30.0,146.0,,,,,219.6,161.5,,,244.0,-6.4,-77.4,,-232.0,-71.9,,,,94.0,-15.0,0.8,,,,,,1.4,-137.5,,,,297.3,97.4,,True,,False,False,,,,,False,False,,,False,True,False,,False,False,,,,False,True,True,,,,,,True,False,,,,False,False
01073,4568,6722.0,,6721.7,7708.3,6054.0,5756.0,,,,,7669.9,6892.1,,6314.7,7083.0,6330.1,5135.6,,4925.5,5288.0,,,,7326.0,5615.0,4120.3,,,,,,4696.6,5006.0,4907.0,,,6564.5,5976.9,2154.0,,2153.7,3140.3,1486.0,1188.0,,,,,3101.9,2324.1,,1746.7,2515.0,1762.1,567.6,,357.5,720.0,,,,2758.0,1047.0,-447.7,,,,,,128.6,438.0,339.0,,,1996.5,1408.9,,True,False,True,True,,,,,False,False,,True,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,True
01075,60,86.0,,83.3,,83.0,63.0,,,,,137.0,117.4,,,150.0,84.0,65.7,,70.0,79.3,,,,98.0,83.0,86.4,,,,,,,76.0,,,,125.2,95.2,26.0,,23.3,,23.0,3.0,,,,,77.0,57.4,,,90.0,24.0,5.7,,10.0,19.3,,,,38.0,23.0,26.4,,,,,,,16.0,,,,65.2,35.2,,True,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
01077,606,758.0,,775.9,,722.0,643.0,,,,,956.5,984.8,,,1135.0,593.9,620.4,,519.0,576.4,,,,920.0,728.0,807.5,,,,,,440.3,534.0,,,,834.7,856.4,152.0,,169.9,,116.0,37.0,,,,,350.5,378.8,,,529.0,-12.1,14.4,,-87.0,-29.6,,,,314.0,122.0,201.5,,,,,,-165.7,-72.0,,,,228.7,250.4,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,False,True,,,,False,False
01079,203,220.0,,220.2,,222.0,128.0,,,,,321.0,309.1,,,427.0,310.7,225.3,,190.0,209.7,,,,327.0,217.0,232.0,,,,,,144.3,152.4,,,,284.0,279.6,17.0,,17.2,,19.0,-75.0,,,,,118.0,106.1,,,224.0,107.7,22.3,,-13.0,6.7,,,,124.0,14.0,29.0,,,,,,-58.7,-50.6,,,,81.0,76.6,,False,,False,False,,,,,False,False,,,False,False,False,,True,True,,,,False,True,False,,,,,,False,False,,,,False,False
01081,1286,1790.0,,1742.4,,1739.0,1421.0,,,,,1698.6,1876.6,,2190.4,1430.0,2136.9,1137.0,,1928.0,1545.8,,,,2370.0,1333.0,1378.1,,,,,,1361.4,1077.0,2672.0,,,2301.5,1930.9,504.0,,456.4,,453.0,135.0,,,,,412.6,590.6,,904.4,144.0,850.9,-149.0,,642.0,259.8,,,,1084.0,47.0,92.1,,,,,,75.4,-209.0,1386.0,,,1015.5,644.9,,True,,True,True,,,,,True,False,,False,True,False,True,,False,True,,,,False,True,True,,,,,,True,True,False,,,False,False
01083,656,828.0,,771.3,,791.0,1010.0,,,,,1051.6,968.7,,,1060.0,789.3,575.3,,610.0,679.8,,,,972.0,734.0,695.9,,,,,,672.7,688.8,,,,901.0,812.8,172.0,,115.3,,135.0,354.0,,,,,395.6,312.7,,,404.0,133.3,-80.7,,-46.0,23.8,,,,316.0,78.0,39.9,,,,,,16.7,32.8,,,,245.0,156.8,,True,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01085,110,98.0,,83.6,,99.0,111.0,,,,,118.2,109.2,,,56.0,265.4,86.3,,106.0,97.4,,,,154.0,89.0,71.1,,,,,,,86.6,,,,111.0,119.6,-12.0,,-26.4,,-11.0,1.0,,,,,8.2,-0.8,,,-54.0,155.4,-23.7,,-4.0,-12.6,,,,44.0,-21.0,-38.9,,,,,,,-23.4,,,,1.0,9.6,,False,,True,True,,,,,True,True,,,False,False,False,,True,False,,,,False,False,False,,,,,,,False,,,,True,True
