,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01023,11,7.0,,6.8,,11.0,6.0,,,,,12.5,,,10.2,,,46.0,16.7,11.0,,,0.0,6.3,,,,9.0,11.0,9.3,,,,,,,23.9,,,,11.9,14.8,-4.0,,-4.2,,0.0,-5.0,,,,,1.5,,,-0.8,,,35.0,5.7,-0.0,,,-11.0,-4.7,,,,-2.0,0.0,-1.7,,,,,,,12.9,,,,0.9,3.8,,False,,True,False,,,,,True,,,True,,,False,False,True,,,False,False,,,,True,True,True,,,,,,,False,,,,True,True
01025,202,184.0,,186.9,,140.0,204.0,,,,,96.5,,,174.0,,,89.0,187.1,101.8,,,175.0,140.4,,,,220.0,137.0,141.0,,,,,,153.1,122.4,,,,305.8,174.0,-18.0,,-15.1,,-62.0,2.0,,,,,-105.5,,,-28.0,,,-113.0,-14.9,-100.2,,,-27.0,-61.6,,,,18.0,-65.0,-61.0,,,,,,-48.9,-79.6,,,,103.8,-28.0,,True,,False,True,,,,,False,,,False,,,False,True,False,,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01027,26,36.0,,36.4,,36.0,28.0,,,,,31.2,,,34.1,,,55.0,24.6,30.4,,,44.0,35.2,,,,32.0,32.0,55.4,,,,,,,26.8,,,,37.1,35.5,10.0,,10.4,,10.0,2.0,,,,,5.2,,,8.1,,,29.0,-1.4,4.4,,,18.0,9.2,,,,6.0,6.0,29.4,,,,,,,0.8,,,,11.1,9.5,,False,,False,True,,,,,True,,,True,,,False,True,True,,,False,True,,,,True,True,False,,,,,,,True,,,,False,True
01029,51,43.0,,40.6,,41.0,28.0,,,,,32.4,,,44.6,,,63.0,45.3,35.7,,,46.0,35.3,,,,49.0,38.0,55.7,,,,,,,36.8,,,,89.7,40.8,-8.0,,-10.4,,-10.0,-23.0,,,,,-18.6,,,-6.4,,,12.0,-5.7,-15.3,,,-5.0,-15.7,,,,-2.0,-13.0,4.7,,,,,,,-14.2,,,,38.7,-10.2,,False,,False,False,,,,,False,,,True,,,False,True,False,,,True,False,,,,True,False,True,,,,,,,False,,,,False,False
01031,250,226.0,,233.1,,178.0,225.0,,,,,151.3,,,188.6,,,187.0,162.5,187.6,176.0,,133.0,163.4,,,,237.0,192.0,279.8,,,,,,190.0,185.7,,,,294.9,255.2,-24.0,,-16.9,,-72.0,-25.0,,,,,-98.7,,,-61.4,,,-63.0,-87.5,-62.4,-74.0,,-117.0,-86.6,,,,-13.0,-58.0,29.8,,,,,,-60.0,-64.3,,,,44.9,5.2,,True,,False,False,,,,,False,,,False,,,False,False,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,True
01033,224,188.0,,195.2,,152.0,144.0,,,,,159.8,,,166.4,,,256.0,160.3,160.8,111.0,,118.0,130.9,,,,193.0,169.0,180.9,,,,,,155.8,156.9,,,,129.9,188.5,-36.0,,-28.8,,-72.0,-80.0,,,,,-64.2,,,-57.6,,,32.0,-63.7,-63.2,-113.0,,-106.0,-93.1,,,,-31.0,-55.0,-43.1,,,,,,-68.2,-67.1,,,,-94.1,-35.5,,True,,False,False,,,,,False,,,False,,,True,False,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,True
01035,23,36.0,,37.6,,32.0,36.0,,,,,25.3,,,39.5,,,37.0,31.3,26.2,,,24.0,24.9,,,,43.0,31.0,34.5,,,,,,,29.8,,,,46.8,32.4,13.0,,14.6,,9.0,13.0,,,,,2.3,,,16.5,,,14.0,8.3,3.2,,,1.0,1.9,,,,20.0,8.0,11.5,,,,,,,6.8,,,,23.8,9.4,,False,,True,False,,,,,True,,,False,,,False,True,True,,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
01037,40,29.0,,28.4,,22.0,21.0,,,,,15.1,,,25.1,,,32.0,11.0,19.6,,,14.0,21.7,,,,29.0,29.0,24.0,,,,,,,30.0,,,,39.4,23.6,-11.0,,-11.6,,-18.0,-19.0,,,,,-24.9,,,-14.9,,,-8.0,-29.0,-20.4,,,-26.0,-18.3,,,,-11.0,-11.0,-16.0,,,,,,,-10.0,,,,-0.6,-16.4,,False,,False,False,,,,,False,,,False,,,True,False,False,,,False,False,,,,False,False,False,,,,,,,True,,,,True,False
01039,147,116.0,,131.3,,99.0,98.0,,,,,100.9,,,112.6,,,135.0,59.5,103.2,73.0,,109.0,95.5,,,,105.0,104.0,102.3,,,,,,121.8,75.8,,,,151.2,113.2,-31.0,,-15.7,,-48.0,-49.0,,,,,-46.1,,,-34.4,,,-12.0,-87.5,-43.8,-74.0,,-38.0,-51.5,,,,-42.0,-43.0,-44.7,,,,,,-25.2,-71.2,,,,4.2,-33.8,,True,,False,False,,,,,False,,,False,,,True,False,False,False,,False,False,,,,False,False,False,,,,,,True,False,,,,True,False
01041,56,51.0,,65.0,,44.0,40.0,,,,,34.4,,,45.0,,,47.0,30.2,52.4,,,44.0,41.9,,,,56.0,43.0,54.9,,,,,,,42.7,,,,91.0,49.9,-5.0,,9.0,,-12.0,-16.0,,,,,-21.6,,,-11.0,,,-9.0,-25.8,-3.6,,,-12.0,-14.1,,,,0.0,-13.0,-1.1,,,,,,,-13.3,,,,35.0,-6.1,,False,,False,False,,,,,False,,,False,,,False,False,True,,,False,False,,,,True,False,True,,,,,,,False,,,,False,False
01043,247,258.0,,275.2,,232.0,254.0,,,,,228.4,,,253.0,,,442.0,208.3,232.0,113.0,,163.0,188.1,,,,250.0,212.0,271.0,,,,,,276.1,192.9,,,,350.7,300.6,11.0,,28.2,,-15.0,7.0,,,,,-18.6,,,6.0,,,195.0,-38.7,-15.0,-134.0,,-84.0,-58.9,,,,3.0,-35.0,24.0,,,,,,29.1,-54.1,,,,103.7,53.6,,False,,False,True,,,,,False,,,True,,,False,False,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,False
01045,165,153.0,,159.8,,141.0,118.0,,,,,130.4,,,139.9,,,180.0,171.4,142.8,146.0,,95.5,125.7,,,,184.0,132.0,149.8,,,,,,139.1,106.8,,,,148.4,174.1,-12.0,,-5.2,,-24.0,-47.0,,,,,-34.6,,,-25.1,,,15.0,6.4,-22.2,-19.0,,-69.5,-39.3,,,,19.0,-33.0,-15.2,,,,,,-25.9,-58.2,,,,-16.6,9.1,,True,,False,False,,,,,False,,,False,,,False,True,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,True
01047,66,101.0,,102.3,,97.0,103.0,,,,,79.5,,,81.0,,,113.0,138.7,75.0,84.0,,80.0,72.2,,,,110.0,85.0,98.9,,,,,,97.6,108.1,,,,112.9,93.7,35.0,,36.3,,31.0,37.0,,,,,13.5,,,15.0,,,47.0,72.7,9.0,18.0,,14.0,6.2,,,,44.0,19.0,32.9,,,,,,31.6,42.1,,,,46.9,27.7,,False,,True,False,,,,,True,,,True,,,False,False,True,True,,True,True,,,,False,True,True,,,,,,True,False,,,,False,True
01049,218,200.0,,197.2,,207.0,224.0,,,,,210.0,,,207.1,,,369.0,217.2,182.3,116.0,,153.0,171.7,,,,223.0,168.0,294.0,,,,,,191.4,143.9,,,,254.4,234.5,-18.0,,-20.8,,-11.0,6.0,,,,,-8.0,,,-10.9,,,151.0,-0.8,-35.7,-102.0,,-65.0,-46.3,,,,5.0,-50.0,76.0,,,,,,-26.6,-74.1,,,,36.4,16.5,,False,,True,True,,,,,True,,,True,,,False,True,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,True
01051,351,400.0,,403.2,,298.0,304.0,,,,,286.1,,,304.0,,,291.0,268.5,287.3,178.0,,233.0,273.9,,,,403.0,347.0,438.3,,,,,,315.0,295.5,,,,458.7,471.6,49.0,,52.2,,-53.0,-47.0,,,,,-64.9,,,-47.0,,,-60.0,-82.5,-63.7,-173.0,,-118.0,-77.1,,,,52.0,-4.0,87.3,,,,,,-36.0,-55.5,,,,107.7,120.6,,False,,False,True,,,,,False,,,True,,,False,False,False,False,,False,False,,,,False,True,False,,,,,,True,False,,,,False,False
01053,147,184.0,,180.6,,149.0,92.0,,,,,111.9,,,171.8,,,140.0,173.7,123.6,161.0,,179.5,130.7,,,,224.0,153.0,179.4,,,,,,159.7,119.6,,,,177.4,183.0,37.0,,33.6,,2.0,-55.0,,,,,-35.1,,,24.8,,,-7.0,26.7,-23.4,14.0,,32.5,-16.3,,,,77.0,6.0,32.4,,,,,,12.7,-27.4,,,,30.4,36.0,,True,,True,False,,,,,True,,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,True
01055,354,383.0,,426.8,,413.0,414.0,,,,,355.0,,,370.7,,,506.0,411.5,363.1,177.0,,270.0,310.2,,,,449.0,362.0,481.2,,,,,,385.2,315.6,,,,470.7,490.0,29.0,,72.8,,59.0,60.0,,,,,1.0,,,16.7,,,152.0,57.5,9.1,-177.0,,-84.0,-43.8,,,,95.0,8.0,127.2,,,,,,31.2,-38.4,,,,116.7,136.0,,False,,False,False,,,,,True,,,True,,,False,False,True,False,,False,False,,,,False,True,False,,,,,,False,False,,,,False,False
01057,70,107.0,,109.0,,81.0,99.0,,,,,45.4,,,69.6,,,81.0,105.1,68.9,,,97.0,73.4,,,,107.0,81.0,73.6,,,,,,,68.3,,,,105.7,80.3,37.0,,39.0,,11.0,29.0,,,,,-24.6,,,-0.4,,,11.0,35.1,-1.1,,,27.0,3.4,,,,37.0,11.0,3.6,,,,,,,-1.7,,,,35.7,10.3,,False,,True,True,,,,,True,,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,True,,,,True,True
01059,91,89.0,,91.0,,84.0,86.0,,,,,99.2,,,79.2,,,179.0,71.6,99.7,56.0,,55.0,68.8,,,,97.0,82.0,118.4,,,,,,75.1,69.4,,,,116.2,104.1,-2.0,,0.0,,-7.0,-5.0,,,,,8.2,,,-11.8,,,88.0,-19.4,8.7,-35.0,,-36.0,-22.2,,,,6.0,-9.0,27.4,,,,,,-15.9,-21.6,,,,25.2,13.1,,True,,False,False,,,,,False,,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01061,130,107.0,,102.7,,94.0,83.0,,,,,66.2,,,85.7,,,97.0,77.4,78.5,,,93.0,82.7,,,,100.0,97.0,102.2,,,,,,,81.1,,,,94.0,104.9,-23.0,,-27.3,,-36.0,-47.0,,,,,-63.8,,,-44.3,,,-33.0,-52.6,-51.5,,,-37.0,-47.3,,,,-30.0,-33.0,-27.8,,,,,,,-48.9,,,,-36.0,-25.1,,False,,False,False,,,,,False,,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01063,16,22.0,,22.6,,22.0,17.0,,,,,19.2,,,32.8,,,26.0,13.5,19.6,,,1.0,13.9,,,,25.0,20.0,35.1,,,,,,,28.9,,,,59.3,25.3,6.0,,6.6,,6.0,1.0,,,,,3.2,,,16.8,,,10.0,-2.5,3.6,,,-15.0,-2.1,,,,9.0,4.0,19.1,,,,,,,12.9,,,,43.3,9.3,,False,,False,True,,,,,True,,,False,,,False,True,True,,,False,True,,,,False,True,False,,,,,,,False,,,,False,False
01065,81,95.0,,101.0,,65.0,76.0,,,,,50.1,,,85.3,,,58.0,50.0,66.2,,,53.0,59.6,,,,98.0,72.0,58.8,,,,,,,87.3,,,,128.5,91.5,14.0,,20.0,,-16.0,-5.0,,,,,-30.9,,,4.3,,,-23.0,-31.0,-14.8,,,-28.0,-21.4,,,,17.0,-9.0,-22.2,,,,,,,6.3,,,,47.5,10.5,,False,,False,True,,,,,False,,,True,,,False,False,False,,,False,False,,,,False,True,False,,,,,,,True,,,,False,True
01067,61,68.0,,71.0,,62.0,44.0,,,,,47.1,,,61.8,,,56.0,71.0,55.5,,,40.0,48.3,,,,88.0,67.0,76.6,,,,,,,67.7,,,,113.1,71.2,7.0,,10.0,,1.0,-17.0,,,,,-13.9,,,0.8,,,-5.0,10.0,-5.5,,,-21.0,-12.7,,,,27.0,6.0,15.6,,,,,,,6.7,,,,52.1,10.2,,False,,True,False,,,,,False,,,True,,,True,False,True,,,False,False,,,,False,True,False,,,,,,,True,,,,False,False
01069,381,432.0,,448.2,,337.0,338.0,,,,,293.1,,,420.2,,,366.0,314.2,315.5,315.5,,284.0,292.2,,,,448.0,400.0,542.3,,,,,,357.3,337.9,,,,493.2,399.7,51.0,,67.2,,-44.0,-43.0,,,,,-87.9,,,39.2,,,-15.0,-66.8,-65.5,-65.5,,-97.0,-88.8,,,,67.0,19.0,161.3,,,,,,-23.7,-43.1,,,,112.2,18.7,,False,,True,True,,,,,False,,,True,,,True,False,False,False,,False,False,,,,False,True,False,,,,,,True,True,,,,False,True
01071,209,203.0,,181.3,,164.0,197.0,,,,,164.5,,,199.6,,,245.0,110.9,165.2,93.0,,122.0,153.7,,,,198.0,166.0,177.2,,,,,,185.8,139.8,,,,164.2,242.0,-6.0,,-27.7,,-45.0,-12.0,,,,,-44.5,,,-9.4,,,36.0,-98.1,-43.8,-116.0,,-87.0,-55.3,,,,-11.0,-43.0,-31.8,,,,,,-23.2,-69.2,,,,-44.8,33.0,,False,,False,False,,,,,False,,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01073,1886,2682.0,,2652.3,2825.6,2262.0,2182.0,,,,,1961.5,,,2203.9,,2338.4,2561.0,1892.0,2508.0,2086.5,,1975.0,1981.9,,,,2754.0,2244.0,2455.6,,,,,,2242.9,1874.8,2020.0,,,4175.2,3029.6,796.0,,766.3,939.6,376.0,296.0,,,,,75.5,,,317.9,,452.4,675.0,6.0,622.0,200.5,,89.0,95.9,,,,868.0,358.0,569.6,,,,,,356.9,-11.2,134.0,,,2289.2,1143.6,,True,False,True,True,,,,,True,,,True,,True,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,False,False
01075,36,24.0,,24.0,,23.0,21.0,,,,,27.4,,,22.1,,,60.0,20.4,28.2,,,14.0,21.9,,,,27.0,22.0,33.0,,,,,,,26.6,,,,45.9,36.0,-12.0,,-12.0,,-13.0,-15.0,,,,,-8.6,,,-13.9,,,24.0,-15.6,-7.8,,,-22.0,-14.1,,,,-9.0,-14.0,-3.0,,,,,,,-9.4,,,,9.9,0.0,,False,,False,False,,,,,True,,,False,,,False,False,True,,,False,False,,,,True,False,True,,,,,,,True,,,,True,True
01077,287,319.0,,321.8,,272.0,268.0,,,,,240.8,,,278.3,,,398.0,258.3,258.0,141.5,,192.0,217.4,,,,340.0,284.0,311.7,,,,,,260.7,203.8,,,,319.6,328.0,32.0,,34.8,,-15.0,-19.0,,,,,-46.2,,,-8.7,,,111.0,-28.7,-29.0,-145.5,,-95.0,-69.6,,,,53.0,-3.0,24.7,,,,,,-26.3,-83.2,,,,32.6,41.0,,False,,True,True,,,,,False,,,True,,,False,True,True,False,,False,False,,,,False,True,True,,,,,,True,False,,,,False,False
