,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,367818,270683.0,,331231.4,,306013.0,470578.5,422953.1,,188532.2,187192.0,-97135.0,,-36586.6,,-61805.0,102760.5,55135.1,,-179285.8,-180626.0,,True,,True,False,True,,False,False
Hawaii,6483,5411.0,,5707.8,,,6310.1,2921.9,,2646.9,3750.0,-1072.0,,-775.2,,,-172.9,-3561.1,,-3836.1,-2733.0,,True,,,True,False,,False,False
Idaho,42051,76489.0,,77205.4,,80591.0,128764.7,73743.2,,44548.7,47852.0,34438.0,,35154.4,,38540.0,86713.7,31692.2,,2497.7,5801.0,,False,,False,False,True,,True,True
Illinois,282185,431991.0,,346383.5,,425221.0,450956.3,184600.9,,524224.9,201910.0,149806.0,,64198.5,,143036.0,168771.3,-97584.1,,242039.9,-80275.0,,True,,True,False,True,,False,True
Indiana,205423,311619.0,,324744.3,,329819.0,454334.8,191376.8,,227365.5,180145.0,106196.0,,119321.3,,124396.0,248911.8,-14046.2,,21942.5,-25278.0,,False,,False,False,True,,True,True
Iowa,64101,81368.0,,77813.6,,100732.0,85591.6,26358.4,,74670.9,33494.0,17267.0,,13712.6,,36631.0,21490.6,-37742.6,,10569.9,-30607.0,,True,,False,False,False,,True,False
Kansas,88896,119679.0,,111651.3,,114963.0,161233.3,56731.4,,124428.2,66738.0,30783.0,,22755.3,,26067.0,72337.3,-32164.6,,35532.2,-22158.0,,True,,True,False,False,,False,True
Kentucky,140456,158165.0,,185249.5,,185255.0,277730.5,152401.0,,107462.0,98602.0,17709.0,,44793.5,,44799.0,137274.5,11945.0,,-32994.0,-41854.0,,False,,False,False,True,,False,False
Louisiana,133085,119098.0,,142291.1,,130837.0,171982.7,135140.4,,87620.6,67982.0,-13987.0,,9206.1,,-2248.0,38897.7,2055.4,,-45464.4,-65103.0,,True,,True,False,True,,False,False
Maine,23548,17451.0,,18588.9,,23246.0,36260.9,32246.0,,22667.3,13744.0,-6097.0,,-4959.1,,-302.0,12712.9,8698.0,,-880.7,-9804.0,,True,,True,False,False,,True,False
Maryland,120717,137375.0,,139286.7,,153570.0,216327.6,138073.6,,129270.5,87401.0,16658.0,,18569.7,,32853.0,95610.6,17356.6,,8553.5,-33316.0,,False,,False,False,False,,True,False
Massachusetts,235635,235956.0,,309276.5,,284985.0,511335.8,518282.9,,239624.3,231264.0,321.0,,73641.5,,49350.0,275700.8,282647.9,,3989.3,-4371.0,,False,,False,False,False,,False,False
Michigan,144979,270081.0,,249212.1,,316136.0,432988.5,179038.5,,407915.4,115336.0,125102.0,,104233.1,,171157.0,288009.5,34059.5,,262936.4,-29643.0,,True,,False,False,True,,False,True
Minnesota,85421,210819.0,,207738.7,,252676.0,251970.9,94975.4,,163990.5,93929.0,125398.0,,122317.7,,167255.0,166549.9,9554.4,,78569.5,8508.0,,True,,False,False,True,,True,True
Mississippi,96243,101423.0,,109923.1,,106136.0,194495.6,159871.3,,100893.0,88440.0,5180.0,,13680.1,,9893.0,98252.6,63628.3,,4650.0,-7803.0,,False,,False,False,False,,True,False
Missouri,121981,173600.0,,165596.7,,177041.0,175743.9,87169.5,,175178.0,95879.0,51619.0,,43615.7,,55060.0,53762.9,-34811.5,,53197.0,-26102.0,,True,,False,False,True,,False,True
Montana,21118,39025.0,,35317.1,,43972.0,42459.4,15800.1,,19635.0,19476.0,17907.0,,14199.1,,22854.0,21341.4,-5317.9,,-1483.0,-1642.0,,True,,False,False,True,,True,True
Nebraska,42882,63840.0,,66295.6,,78791.0,71470.2,40497.4,,56518.7,28204.0,20958.0,,23413.6,,35909.0,28588.2,-2384.6,,13636.7,-14678.0,,False,,False,False,True,,True,True
Nevada,93400,128247.0,,146050.9,,128819.0,226869.9,109470.1,,146471.3,82747.0,34847.0,,52650.9,,35419.0,133469.9,16070.1,,53071.3,-10653.0,,False,,False,False,True,,False,True
New Hampshire,35118,42742.0,,47510.8,,54811.0,85688.6,88263.6,,65051.0,23669.0,7624.0,,12392.8,,19693.0,50570.6,53145.6,,29933.0,-11449.0,,False,,False,False,False,,False,False
New Jersey,256772,241570.0,,253360.6,,252878.0,322963.1,256709.7,,245979.8,164959.0,-15202.0,,-3411.4,,-3894.0,66191.1,-62.3,,-10792.2,-91813.0,,True,,True,False,True,,True,False
New Mexico,55181,80514.0,,70925.8,,91264.0,133452.2,30627.2,,42448.1,38576.0,25333.0,,15744.8,,36083.0,78271.2,-24553.8,,-12732.9,-16605.0,,True,,False,False,True,,True,True
New York,634470,481887.0,,766261.6,,494263.0,927833.0,1925573.8,,362392.9,329365.0,-152583.0,,131791.6,,-140207.0,293363.0,1291103.8,,-272077.1,-305105.0,,True,,True,False,False,,False,False
North Carolina,322851,288568.0,,343698.7,,343380.0,451012.7,430913.8,,197486.6,232970.0,-34283.0,,20847.7,,20529.0,128161.7,108062.8,,-125364.4,-89881.0,,True,,True,False,False,,False,False
North Dakota,9971,35602.0,,27421.0,,43830.0,30022.9,10650.7,,17691.8,18352.0,25631.0,,17450.0,,33859.0,20051.9,679.7,,7720.8,8381.0,,True,,False,True,True,,True,True
Ohio,339320,602203.0,,628645.3,,658214.0,825443.7,719962.9,,854158.3,367930.0,262883.0,,289325.3,,318894.0,486123.7,380642.9,,514838.3,28610.0,,False,,False,False,False,,False,True
Oklahoma,153254,140637.0,,158676.6,,188682.0,204642.1,77185.2,,128166.5,97961.0,-12617.0,,5422.6,,35428.0,51388.1,-76068.8,,-25087.5,-55293.0,,True,,False,False,False,,False,False
Oregon,49577,67172.0,,76015.7,,73953.0,124448.1,84693.3,,117396.0,39309.0,17595.0,,26438.7,,24376.0,74871.1,35116.3,,67819.0,-10268.0,,False,,False,False,False,,False,True
Pennsylvania,357145,487865.0,,553561.4,,550826.0,932779.9,772041.3,,308093.0,371653.0,130720.0,,196416.4,,193681.0,575634.9,414896.3,,-49052.0,14508.0,,False,,False,False,False,,True,True
Rhode Island,43620,60767.0,,63760.1,,64586.0,94109.3,67094.7,,25640.7,29177.0,17147.0,,20140.1,,20966.0,50489.3,23474.7,,-17979.3,-14443.0,,False,,False,False,False,,False,True
South Carolina,190987,136941.0,,154501.2,,152722.0,219945.0,215014.8,,130369.9,116332.0,-54046.0,,-36485.8,,-38265.0,28958.0,24027.8,,-60617.1,-74655.0,,True,,True,True,True,,False,False
South Dakota,17663,35721.0,,32579.3,,39189.0,39152.5,15058.4,,40222.4,16073.0,18058.0,,14916.3,,21526.0,21489.5,-2604.6,,22559.4,-1590.0,,True,,False,False,True,,False,True
Tennessee,281789,318017.0,,348864.5,,361077.0,431701.6,341498.0,,277510.7,253620.0,36228.0,,67075.5,,79288.0,149912.6,59709.0,,-4278.3,-28169.0,,False,,False,False,False,,True,True
Texas,888990,623595.0,,629394.7,,765983.0,1060181.7,935220.2,,540514.4,372267.0,-265395.0,,-259595.3,,-123007.0,171191.7,46230.2,,-348475.6,-516723.0,,True,,True,True,True,,False,False
Utah,113609,132839.0,,147177.3,,169309.0,193022.7,63353.9,,76685.0,79190.0,19230.0,,33568.3,,55700.0,79413.7,-50255.1,,-36924.0,-34419.0,,False,,False,False,False,,False,False
Vermont,6205,5124.0,,6229.5,,7709.0,7687.2,9881.6,,8617.5,4019.0,-1081.0,,24.5,,1504.0,1482.2,3676.6,,2412.5,-2186.0,,True,,False,False,False,,False,False
Virginia,223606,192094.0,,205103.1,,188425.0,294066.9,311353.0,,169407.6,151887.0,-31512.0,,-18502.9,,-35181.0,70460.9,87747.0,,-54198.4,-71719.0,,True,,False,False,False,,False,False
Washington,102880,167594.0,,179074.5,,129658.0,298059.5,164315.6,,268575.7,109470.0,64714.0,,76194.5,,26778.0,195179.5,61435.6,,165695.7,6590.0,,False,,True,False,True,,False,True
West Virginia,58189,60053.0,,62435.0,,63042.0,96546.8,70785.0,,82157.9,42420.0,1864.0,,4246.0,,4853.0,38357.8,12596.0,,23968.9,-15769.0,,False,,False,False,False,,False,False
Wisconsin,125006,196511.0,,186111.5,,203832.0,219148.5,68724.5,,156601.0,102967.0,71505.0,,61105.5,,78826.0,94142.5,-56281.5,,31595.0,-22039.0,,True,,False,False,True,,True,True
Wyoming,12797,20762.0,,17775.6,,24688.0,23764.7,8594.7,,15898.8,13308.0,7965.0,,4978.6,,11891.0,10967.7,-4202.3,,3101.8,511.0,,True,,False,False,True,,True,True
US,9854635,10366867.0,19654546.0,12708315.4,10990619.0,10668665.0,17167475.7,14824067.3,11437566.0,8695190.6,6962010.0,512232.0,9799911.0,2853680.4,1135984.0,814030.0,7312840.7,4969432.3,1582931.0,-1159444.4,-2892625.0,False,False,False,False,False,False,False,False,False
