,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,96195,121622.0,133603.1,122149.6,130495.0,111515.0,,137872.3,148285.0,130466.1,117496.0,,137242.6,139994.0,104053.3,129168.0,83220.9,147916.0,123792.5,101292.6,155954.8,121737.7,128305.4,154116.0,111704.0,,124800.6,,76655.5,,108785.4,165177.8,98787.0,131349.4,133259.0,140340.8,,25427.0,37408.1,25954.6,34300.0,15320.0,,41677.3,52090.0,34271.1,21301.0,,41047.6,43799.0,7858.3,32973.0,-12974.1,51721.0,27597.5,5097.6,59759.8,25542.7,32110.4,57921.0,15509.0,,28605.6,,-19539.5,,12590.4,68982.8,2592.0,35154.4,37064.0,44145.8,,False,False,False,True,,False,False,False,True,,False,False,True,False,True,False,False,True,False,False,False,False,True,,False,,True,,True,False,True,False,False,False,
Hawaii,1520,2132.0,2047.4,2095.9,2269.0,1538.0,,2523.0,3783.0,2002.6,2749.3,,2623.6,,3281.2,2593.0,3702.8,2368.4,2184.5,2104.0,2258.6,2329.3,2164.2,2831.0,1698.0,,2305.0,,2630.6,,1813.0,2845.8,2107.8,1924.7,2456.0,2810.5,,612.0,527.4,575.9,749.0,18.0,,1003.0,2263.0,482.6,1229.3,,1103.6,,1761.2,1073.0,2182.8,848.4,664.5,584.0,738.6,809.3,644.2,1311.0,178.0,,785.0,,1110.6,,293.0,1325.8,587.8,404.7,936.0,1290.5,,True,True,False,True,,False,False,True,False,,False,,False,False,False,False,False,True,False,False,False,False,True,,False,,False,,True,False,True,True,False,False,
Idaho,7407,12082.0,10276.6,12313.3,11236.0,11735.0,,11634.5,5743.0,19884.8,13996.8,,11312.7,13520.0,8315.8,12232.0,9210.0,9297.8,8688.5,10684.2,8304.7,12799.8,10707.1,13007.0,11749.0,,10179.2,,8408.9,,9270.7,12562.7,9580.9,15498.8,11508.0,14978.3,,4675.0,2869.6,4906.3,3829.0,4328.0,,4227.5,-1664.0,12477.8,6589.8,,3905.7,6113.0,908.8,4825.0,1803.0,1890.8,1281.5,3277.2,897.7,5392.8,3300.1,5600.0,4342.0,,2772.2,,1001.9,,1863.7,5155.7,2173.9,8091.8,4101.0,7571.3,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,True,False,True,False,
Illinois,59206,81256.0,76537.6,80403.6,78020.0,79745.0,,83477.3,13488.0,64212.3,98130.8,,82412.1,88956.0,80099.1,86461.0,59472.1,58326.5,69226.0,72102.3,72280.6,52024.6,80480.5,83826.0,67171.0,,74398.6,,26871.8,,62540.3,103901.5,76019.8,79314.8,79329.0,116808.4,,22050.0,17331.6,21197.6,18814.0,20539.0,,24271.3,-45718.0,5006.3,38924.8,,23206.1,29750.0,20893.1,27255.0,266.1,-879.5,10020.0,12896.3,13074.6,-7181.4,21274.5,24620.0,7965.0,,15192.6,,-32334.2,,3334.3,44695.5,16813.8,20108.8,20123.0,57602.4,,True,True,True,True,,False,False,True,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,True,True,False,
Indiana,37910,56978.0,60202.6,58200.5,52740.0,50651.0,,61115.3,33793.0,53546.5,73222.4,,58593.5,63218.0,50722.6,52695.0,39674.2,52170.5,44149.0,49459.0,24079.2,44732.9,59052.1,62044.0,39622.0,,48389.0,,26796.9,,39255.9,73442.1,46357.0,40388.8,58190.0,91637.0,,19068.0,22292.6,20290.5,14830.0,12741.0,,23205.3,-4117.0,15636.5,35312.4,,20683.5,25308.0,12812.6,14785.0,1764.2,14260.5,6239.0,11549.0,-13830.8,6822.9,21142.1,24134.0,1712.0,,10479.0,,-11113.1,,1345.9,35532.1,8447.0,2478.8,20280.0,53727.0,,False,False,True,True,,False,True,True,False,,False,False,True,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,False,
Iowa,14362,17154.0,14766.1,16033.6,16267.0,14137.0,,18969.5,223446.0,13369.9,27743.8,,15492.5,19187.0,13021.1,18659.0,14359.5,16596.8,10358.5,16205.8,19393.4,9279.3,17333.3,19034.0,16305.0,,15101.1,,2985.8,,14004.7,23090.8,16131.6,33620.6,16592.0,19369.4,,2792.0,404.1,1671.6,1905.0,-225.0,,4607.5,209084.0,-992.1,13381.8,,1130.5,4825.0,-1340.9,4297.0,-2.5,2234.8,-4003.5,1843.8,5031.4,-5082.7,2971.3,4672.0,1943.0,,739.1,,-11376.2,,-357.3,8728.8,1769.6,19258.6,2230.0,5007.4,,True,True,True,True,,False,False,True,False,,True,False,True,False,True,True,False,True,False,False,False,False,True,,True,,False,,True,False,True,False,True,False,
Kansas,18602,27542.0,28422.2,27641.0,27222.0,22592.0,,28627.3,41454.0,6544.8,29144.7,,35259.6,32871.0,21469.2,30495.0,18937.1,21621.1,5804.5,22021.0,15524.7,27315.4,30305.0,29484.0,22867.0,,17623.3,,10265.0,,26858.2,33330.6,22650.9,30296.7,25029.0,28503.9,,8940.0,9820.2,9039.0,8620.0,3990.0,,10025.3,22852.0,-12057.2,10542.7,,16657.6,14269.0,2867.2,11893.0,335.1,3019.1,-12797.5,3419.0,-3077.3,8713.4,11703.0,10882.0,4265.0,,-978.7,,-8337.0,,8256.2,14728.6,4048.9,11694.7,6427.0,9901.9,,False,False,True,True,,False,False,False,False,,False,False,True,False,True,True,False,True,True,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Kentucky,36791,47854.0,46251.2,47518.1,47055.0,43687.0,,53008.2,30498.0,197427.0,55875.4,,57540.6,53524.0,80715.2,49536.0,31482.4,40973.6,30504.5,41332.3,51680.0,45893.3,46296.0,59769.0,37493.0,,54622.3,,23656.5,,33571.7,54751.5,37491.8,45270.0,51441.0,59624.9,,11063.0,9460.2,10727.1,10264.0,6896.0,,16217.2,-6293.0,160636.0,19084.4,,20749.6,16733.0,43924.2,12745.0,-5308.6,4182.6,-6286.5,4541.3,14889.0,9102.3,9505.0,22978.0,702.0,,17831.3,,-13134.5,,-3219.3,17960.5,700.8,8479.0,14650.0,22833.9,,True,True,True,True,,False,True,False,False,,False,False,False,False,True,True,True,True,False,True,True,False,True,,False,,False,,True,False,True,True,False,False,
Louisiana,32423,46844.0,43997.6,47450.5,46431.0,48342.0,,49486.7,30553.0,271246.1,44891.0,,49931.4,48788.0,47353.8,43729.0,31427.2,47533.4,37948.5,40957.9,49118.5,36406.6,48616.1,50668.0,40384.0,,48345.6,,36229.8,,34288.3,62813.2,34769.7,36334.7,43547.0,59972.7,,14421.0,11574.6,15027.5,14008.0,15919.0,,17063.7,-1870.0,238823.1,12468.0,,17508.4,16365.0,14930.8,11306.0,-995.8,15110.4,5525.5,8534.9,16695.5,3983.6,16193.1,18245.0,7961.0,,15922.6,,3806.8,,1865.3,30390.2,2346.7,3911.7,11124.0,27549.7,,True,False,True,False,,False,True,False,True,,False,False,False,True,True,False,True,True,False,True,False,False,True,,False,,True,,True,False,True,True,True,False,
Maine,5949,8400.0,8295.9,8338.5,8445.0,8812.0,,8407.5,5841.0,8934.5,12956.0,,9703.4,8127.0,5653.9,10078.0,8670.1,11530.9,8420.0,7708.0,8458.1,11154.4,9258.7,11662.0,7048.0,,7587.3,,9454.7,,7557.1,10308.4,5619.9,9927.3,9621.0,9939.1,,2451.0,2346.9,2389.5,2496.0,2863.0,,2458.5,-108.0,2985.5,7007.0,,3754.4,2178.0,-295.1,4129.0,2721.1,5581.9,2471.0,1759.0,2509.1,5205.4,3309.7,5713.0,1099.0,,1638.3,,3505.7,,1608.1,4359.4,-329.1,3978.3,3672.0,3990.1,,True,True,False,False,,False,True,False,False,,False,True,True,False,False,False,False,True,False,False,False,False,True,,True,,False,,True,False,True,False,False,False,
Maryland,28695,41334.0,37123.7,41420.1,41075.0,35812.0,,43210.1,261057.0,36389.0,45595.1,,46668.9,46807.0,36597.4,42544.0,32585.7,39542.6,40956.0,37634.5,31489.4,31895.5,42348.9,46847.0,41069.0,,39303.8,,43539.2,,35054.6,48547.5,33175.0,37824.4,43036.0,56161.9,,12639.0,8428.7,12725.1,12380.0,7117.0,,14515.1,232362.0,7694.0,16900.1,,17973.9,18112.0,7902.4,13849.0,3890.7,10847.6,12261.0,8939.5,2794.4,3200.5,13653.9,18152.0,12374.0,,10608.8,,14844.2,,6359.6,19852.5,4480.0,9129.4,14341.0,27466.9,,True,False,True,True,,False,False,True,False,,False,False,True,False,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,True,True,False,False,
Massachusetts,55634,77182.0,78517.2,74888.8,79006.0,73132.0,,84003.5,54463.0,85583.9,90110.9,,84717.0,87990.0,88756.5,81478.0,45540.8,82426.9,72160.0,66902.2,82833.3,61549.2,80257.1,89849.0,57635.0,,77091.9,,66009.0,,52767.8,104202.6,53429.9,90103.5,84259.0,112529.0,,21548.0,22883.2,19254.8,23372.0,17498.0,,28369.5,-1171.0,29949.9,34476.9,,29083.0,32356.0,33122.5,25844.0,-10093.2,26792.9,16526.0,11268.2,27199.3,5915.2,24623.1,34215.0,2001.0,,21457.9,,10375.0,,-2866.2,48568.6,-2204.1,34469.5,28625.0,56895.0,,False,True,False,True,,False,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,False,
Michigan,28353,38464.0,41314.9,36179.4,37300.0,36179.0,,38694.0,9717.0,73033.0,53684.0,,38761.1,47475.0,44874.1,40764.0,38829.9,25840.3,24026.5,36287.8,45730.5,51069.2,34161.0,41194.0,24080.0,,27145.7,,15568.6,,40306.0,40849.4,38727.8,29062.2,38851.0,55411.4,,10111.0,12961.9,7826.4,8947.0,7826.0,,10341.0,-18636.0,44680.0,25331.0,,10408.1,19122.0,16521.1,12411.0,10476.9,-2512.7,-4326.5,7934.8,17377.5,22716.2,5808.0,12841.0,-4273.0,,-1207.3,,-12784.4,,11953.0,12496.4,10374.8,709.2,10498.0,27058.4,,False,True,True,True,,False,False,False,False,,False,False,False,False,False,True,True,True,False,False,True,False,True,,True,,False,,False,False,False,True,False,False,
Minnesota,15772,21268.0,22407.6,22936.9,21356.0,16218.0,,22336.3,4692.0,21724.6,35303.6,,19453.2,28343.0,22031.8,28246.0,17327.3,17504.9,11332.5,17099.0,27306.1,17701.3,20464.6,22481.0,18071.0,,19843.3,,7059.3,,14485.4,22997.8,18028.1,30137.8,21610.0,29782.6,,5496.0,6635.6,7164.9,5584.0,446.0,,6564.3,-11080.0,5952.6,19531.6,,3681.2,12571.0,6259.8,12474.0,1555.3,1732.9,-4439.5,1327.0,11534.1,1929.3,4692.6,6709.0,2299.0,,4071.3,,-8712.7,,-1286.6,7225.8,2256.1,14365.8,5838.0,14010.6,,False,False,False,True,,False,False,False,False,,True,False,False,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,False,False,False,
Mississippi,23321,28002.0,29867.7,27911.2,28059.0,26517.0,,30729.6,24928.0,30579.8,34540.8,,29624.2,35577.0,25809.1,30814.0,19971.2,37073.5,23121.0,24295.7,27345.6,26881.5,29234.7,32883.0,22537.0,,26742.8,,17891.4,,22624.8,40968.4,22816.8,28261.2,27877.0,32615.9,,4681.0,6546.7,4590.2,4738.0,3196.0,,7408.6,1607.0,7258.8,11219.8,,6303.2,12256.0,2488.1,7493.0,-3349.8,13752.5,-200.0,974.7,4024.6,3560.5,5913.7,9562.0,-784.0,,3421.8,,-5429.6,,-696.2,17647.4,-504.2,4940.2,4556.0,9294.9,,False,True,False,True,,False,True,False,False,,False,False,True,False,True,False,True,True,True,True,False,False,True,,True,,False,,True,False,True,False,True,False,
Missouri,31684,31996.0,36723.8,32345.4,31744.0,22659.0,,36783.3,18449.0,30778.5,34650.5,,30844.3,42001.0,32075.1,34579.0,24952.9,27774.7,23813.5,26355.2,42498.5,33207.3,34767.0,35443.0,27704.0,,29316.4,,15623.6,,24829.5,45870.2,29406.9,32167.3,34322.0,39150.5,,312.0,5039.8,661.4,60.0,-9025.0,,5099.3,-13235.0,-905.5,2966.5,,-839.7,10317.0,391.1,2895.0,-6731.1,-3909.3,-7870.5,-5328.8,10814.5,1523.3,3083.0,3759.0,-3980.0,,-2367.6,,-16060.4,,-6854.5,14186.2,-2277.1,483.3,2638.0,7466.5,,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
Montana,4706,5908.0,5641.0,5372.7,5739.0,5901.0,,6340.9,1801.0,5070.4,8951.4,,6983.8,7507.0,11502.6,7393.0,3838.3,4540.4,5005.0,5852.6,2195.1,5042.8,5756.7,7001.0,5983.0,,5817.4,,3127.0,,4016.4,4852.7,6965.1,6871.2,5976.0,6209.4,,1202.0,935.0,666.7,1033.0,1195.0,,1634.9,-2905.0,364.4,4245.4,,2277.8,2801.0,6796.6,2687.0,-867.7,-165.6,299.0,1146.6,-2510.9,336.8,1050.7,2295.0,1277.0,,1111.4,,-1579.0,,-689.6,146.7,2259.1,2165.2,1270.0,1503.4,,True,True,True,True,,False,False,True,False,,False,False,False,False,True,True,True,True,False,True,True,False,False,,True,,False,,True,True,False,False,False,False,
Nebraska,9660,10580.0,9445.6,10981.6,10796.0,7050.0,,12454.0,1646.0,10333.5,14725.4,,11042.2,13504.0,10154.9,12150.0,9992.5,7342.7,12420.5,11940.1,15152.4,10049.0,12146.7,11266.0,9573.0,,10407.3,,4426.8,,10372.0,11383.5,10635.6,10463.5,10847.0,13666.9,,920.0,-214.4,1321.6,1136.0,-2610.0,,2794.0,-8014.0,673.5,5065.4,,1382.2,3844.0,494.9,2490.0,332.5,-2317.3,2760.5,2280.1,5492.4,389.0,2486.7,1606.0,-87.0,,747.3,,-5233.2,,712.0,1723.5,975.6,803.5,1187.0,4006.9,,True,False,False,False,,False,False,True,False,,False,False,True,False,True,False,False,False,False,True,False,False,True,,True,,False,,True,False,False,True,False,False,
