,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
North Dakota,87,105.9,81.3,128.9,86.0,79.4,109.7,159.5,18.9,-5.7,41.9,-1.0,-7.6,22.7,72.5,False,True,True,False,False
Ohio,3036,3856.4,2985.8,2908.6,2142.0,2815.7,3242.8,4773.3,820.4,-50.2,-127.4,-894.0,-220.3,206.8,1737.3,True,False,True,True,False
Oklahoma,421,413.7,364.7,367.0,293.0,429.5,483.2,450.5,-7.3,-56.3,-54.0,-128.0,8.5,62.2,29.5,False,False,False,False,False
Oregon,232,215.6,184.9,226.1,158.0,229.7,246.2,199.2,-16.4,-47.1,-5.9,-74.0,-2.3,14.2,-32.8,True,False,True,True,False
Pennsylvania,6897,9908.6,7796.4,9246.5,6360.0,7210.2,5384.2,9626.6,3011.6,899.4,2349.5,-537.0,313.2,-1512.8,2729.6,True,True,True,True,True
Rhode Island,976,1104.0,868.0,770.9,1199.0,871.0,546.7,1063.3,128.0,-108.0,-205.1,223.0,-105.0,-429.3,87.3,False,False,True,False,True
South Carolina,951,809.3,643.7,484.9,415.0,651.1,632.3,1206.7,-141.7,-307.3,-466.1,-536.0,-299.9,-318.7,255.7,False,False,False,False,False
South Dakota,109,122.6,91.9,123.8,174.0,73.8,56.9,171.9,13.6,-17.1,14.8,65.0,-35.2,-52.1,62.9,False,False,False,False,False
Tennessee,738,730.1,561.5,483.3,685.0,582.8,500.1,522.8,-7.9,-176.5,-254.7,-53.0,-155.2,-237.9,-215.2,False,False,False,False,False
Texas,3138,3299.4,2536.1,3335.7,2096.0,2699.2,3086.1,5047.5,161.4,-601.9,197.7,-1042.0,-438.8,-51.9,1909.5,False,False,False,True,False
Utah,212,182.1,142.3,146.0,88.0,133.7,164.5,240.3,-29.9,-69.7,-66.0,-124.0,-78.3,-47.5,28.3,False,False,False,False,True
Vermont,56,61.9,58.8,49.0,53.0,74.9,64.0,70.2,5.9,2.8,-7.0,-3.0,18.9,8.0,14.2,False,True,False,False,False
Virginia,1962,2353.6,1829.4,1929.5,1446.0,1802.3,2067.3,2462.9,391.6,-132.6,-32.5,-516.0,-159.7,105.3,500.9,True,False,True,True,False
Washington,1424,1551.0,1336.4,1255.3,1252.0,1276.5,1233.0,1333.4,127.0,-87.6,-168.7,-172.0,-147.5,-191.0,-90.6,False,False,False,False,True
West Virginia,96,169.1,129.3,106.6,63.0,110.5,108.2,126.7,73.1,33.3,10.6,-33.0,14.5,12.2,30.7,True,True,True,True,True
Wisconsin,821,869.4,707.0,721.4,974.0,718.1,1081.1,786.9,48.4,-114.0,-99.6,153.0,-102.9,260.1,-34.1,False,False,False,False,True
Wyoming,21,15.9,12.8,4.0,7.0,13.2,10.1,14.9,-5.1,-8.2,-17.0,-14.0,-7.8,-10.9,-6.1,False,False,False,False,False
US,134777,168416.3,137650.2,137962.1,119731.5,132095.5,115522.7,161142.1,34721.3,3955.2,4267.1,-13963.5,-1599.5,-18172.3,27447.1,True,True,True,True,True
