,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2996,3191.6,3318.0,3226.5,3295.1,3323.0,3043.5,3415.9,3170.0,3641.1,3386.3,3410.9,3040.0,3301.2,3668.8,3141.0,,2868.3,3692.2,3135.0,3040.0,3123.8,3354.0,2870.6,3192.5,3267.7,3599.0,195.6,322.0,230.5,299.1,327.0,47.5,419.9,174.0,645.1,390.3,414.9,44.0,305.2,672.8,145.0,,-127.7,696.2,139.0,44.0,127.8,358.0,-125.4,196.5,271.7,603.0,False,False,False,False,True,False,True,False,False,False,True,False,False,True,,True,False,True,True,True,False,True,False,False,False
Hawaii,19,17.0,20.0,17.7,25.3,84.0,19.4,43.7,18.0,,,17.7,,22.7,21.1,17.5,,19.0,17.0,17.0,22.0,17.6,21.0,23.5,18.0,17.5,,-2.0,1.0,-1.3,6.3,65.0,0.4,24.7,-1.0,,,-1.3,,3.7,2.1,-1.5,,-0.0,-2.0,-2.0,3.0,-1.4,2.0,4.5,-1.0,-1.5,,True,True,False,False,True,False,True,,,True,,False,False,True,,True,False,False,False,True,False,False,True,True,
Idaho,102,94.7,106.0,96.0,102.3,93.0,105.1,150.9,106.0,97.8,,101.9,95.0,133.1,118.6,91.3,,113.5,98.4,89.0,100.0,93.2,103.0,106.2,93.0,94.7,,-7.3,4.0,-6.0,0.3,-9.0,3.1,48.9,4.0,-4.2,,-0.1,-7.0,31.1,16.6,-10.7,,11.5,-3.6,-13.0,-2.0,-8.8,1.0,4.2,-9.0,-7.3,,True,True,True,False,True,False,True,True,,True,True,False,False,False,,False,True,False,True,False,True,True,False,True,
Illinois,7369,7615.6,7529.0,7632.4,7619.5,6934.0,7068.5,7693.1,6997.0,7601.0,,7297.2,7753.0,7993.2,7410.6,7620.4,8931.0,7329.7,7484.5,9756.5,7289.0,7208.5,7220.0,6962.5,7572.0,7391.5,7684.0,246.6,160.0,263.4,250.5,-435.0,-300.5,324.1,-372.0,232.0,,-71.8,384.0,624.2,41.6,251.4,1562.0,-39.3,115.5,2387.5,-80.0,-160.5,-149.0,-406.5,203.0,22.5,315.0,True,False,False,False,False,False,False,True,,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False
Indiana,2756,2877.1,2845.0,2905.0,2842.0,2817.0,2797.6,2942.0,2752.0,,,2636.3,2605.0,2781.6,2775.6,2823.2,3260.5,2750.8,2848.2,2755.5,2827.0,2711.6,2801.0,2988.4,2893.0,2881.8,3060.0,121.1,89.0,149.0,86.0,61.0,41.6,186.0,-4.0,,,-119.7,-151.0,25.6,19.6,67.2,504.5,-5.2,92.2,-0.5,71.0,-44.4,45.0,232.4,137.0,125.8,304.0,True,False,True,True,True,False,True,,,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False
Iowa,748,783.1,798.0,774.0,784.9,899.0,856.6,801.6,763.0,731.5,,766.5,742.0,908.4,785.6,834.8,,766.9,754.7,861.0,751.0,788.0,772.0,797.5,777.0,786.0,,35.1,50.0,26.0,36.9,151.0,108.6,53.6,15.0,-16.5,,18.5,-6.0,160.4,37.6,86.8,,18.9,6.7,113.0,3.0,40.0,24.0,49.5,29.0,38.0,,False,True,False,False,False,False,True,True,,True,True,False,False,False,,True,True,False,True,False,True,False,True,False,
Kansas,295,291.3,309.0,289.0,297.7,347.0,284.3,328.6,267.0,313.4,,296.2,305.0,394.4,292.3,272.6,,279.5,317.5,291.0,287.0,278.6,292.0,212.7,298.0,291.0,,-3.7,14.0,-6.0,2.7,52.0,-10.7,33.6,-28.0,18.4,,1.2,10.0,99.4,-2.7,-22.4,,-15.5,22.5,-4.0,-8.0,-16.4,-3.0,-82.3,3.0,-4.0,,False,False,True,False,False,False,False,False,,True,False,False,True,False,,False,False,False,False,False,True,False,True,False,
Kentucky,622,603.1,602.0,598.9,620.7,626.0,594.1,789.5,639.0,651.0,,607.5,620.0,778.3,609.4,587.7,674.0,559.7,610.7,582.0,575.0,650.9,586.0,575.1,615.0,601.8,,-18.9,-20.0,-23.1,-1.3,4.0,-27.9,167.5,17.0,29.0,,-14.5,-2.0,156.3,-12.6,-34.3,52.0,-62.3,-11.3,-40.0,-47.0,28.9,-36.0,-46.9,-7.0,-20.2,,False,False,True,True,False,False,True,False,,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,
Louisiana,3403,3365.0,3315.0,3404.5,3352.6,3563.0,3345.5,3367.6,3250.0,3636.5,,3465.8,3303.0,3430.0,3299.4,3229.1,,3313.4,3475.5,3245.0,3268.0,3239.9,3340.0,3104.2,3218.0,3330.7,3491.0,-38.0,-88.0,1.5,-50.4,160.0,-57.5,-35.4,-153.0,233.5,,62.8,-100.0,27.0,-103.6,-173.9,,-89.6,72.5,-158.0,-135.0,-163.1,-63.0,-298.8,-185.0,-72.3,88.0,False,True,False,False,False,True,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False
Maine,112,107.7,114.0,108.6,110.2,110.0,109.1,118.1,124.0,111.3,,109.7,107.0,131.1,111.3,109.4,,110.1,105.6,112.0,103.0,106.4,108.0,112.9,110.0,108.7,,-4.3,2.0,-3.4,-1.8,-2.0,-2.9,6.1,12.0,-0.7,,-2.3,-5.0,19.1,-0.7,-2.6,,-1.9,-6.4,0.0,-9.0,-5.6,-4.0,0.9,-2.0,-3.3,,True,True,True,True,True,False,False,True,,True,False,False,True,True,,True,False,True,False,False,True,True,True,True,
Maryland,3310,3428.9,3430.0,3429.0,3378.7,3369.0,3360.5,3403.8,3319.0,3423.1,,3303.7,3547.0,3823.2,3308.9,3412.3,,3320.7,3249.5,3386.0,3275.0,3335.3,3282.0,3381.9,3532.0,3379.7,3564.0,118.9,120.0,119.0,68.7,59.0,50.5,93.8,9.0,113.1,,-6.3,237.0,513.2,-1.1,102.3,,10.7,-60.5,76.0,-35.0,25.3,-28.0,71.9,222.0,69.7,254.0,False,False,True,True,True,True,True,True,,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,False
Massachusetts,8310,8522.7,8394.0,8583.0,8297.1,8112.0,8147.4,8217.6,8085.0,,,8247.2,8511.0,8469.6,8231.4,8471.5,,8243.9,8178.5,8359.0,8245.0,8260.8,8213.0,8146.4,8388.5,8300.2,8594.0,213.7,85.0,274.0,-11.9,-197.0,-161.6,-91.4,-224.0,,,-61.8,202.0,160.6,-77.6,162.5,,-65.1,-130.5,50.0,-64.0,-48.2,-96.0,-162.6,79.5,-8.8,285.0,True,False,True,True,True,True,False,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,False
Michigan,6313,6301.4,6359.0,6330.9,6354.7,6329.0,6263.5,6385.1,6162.0,6473.9,,6218.3,6585.0,6671.0,6610.2,6250.9,6792.5,6162.6,6370.0,6276.0,6245.0,6407.6,6268.0,6097.2,6213.0,6259.1,,-11.6,46.0,17.9,41.7,16.0,-49.5,72.1,-151.0,160.9,,-94.7,272.0,358.0,297.2,-62.1,479.5,-150.4,57.0,-37.0,-68.0,94.6,-45.0,-215.8,-100.0,-53.9,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Minnesota,1537,1649.1,1689.0,1674.0,1659.5,1631.0,1696.4,1643.8,1580.0,1627.2,,1615.5,1577.0,1943.1,1695.7,1777.1,2010.5,1514.5,1606.7,1679.5,1611.0,1652.3,1592.0,1430.7,1682.0,1681.7,,112.1,152.0,137.0,122.5,94.0,159.4,106.8,43.0,90.2,,78.5,40.0,406.1,158.7,240.1,473.5,-22.5,69.7,142.5,74.0,115.3,55.0,-106.3,145.0,144.7,,False,False,False,True,False,True,True,True,,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,
Mississippi,1230,1072.3,1069.0,1085.0,1082.4,1099.0,1234.3,1275.8,1164.0,1058.7,,1072.7,1007.0,1141.7,1014.2,1127.3,,1087.6,1014.1,1120.0,1092.0,1066.3,983.0,1046.4,1057.0,1129.8,,-157.7,-161.0,-145.0,-147.6,-131.0,4.3,45.8,-66.0,-171.3,,-157.3,-223.0,-88.3,-215.8,-102.7,,-142.4,-215.9,-110.0,-138.0,-163.7,-247.0,-183.6,-173.0,-100.2,,False,True,True,True,True,True,True,False,,True,False,True,False,True,,True,False,True,True,False,False,False,False,True,
Missouri,1091,1193.6,1132.0,1205.0,1186.8,1264.0,1110.1,1514.3,1114.0,1263.6,,1245.3,1136.0,1254.0,1212.5,1034.2,,1070.7,1272.0,1010.0,1195.0,1217.8,1290.0,1153.2,1118.0,1084.7,,112.6,51.0,124.0,105.8,183.0,29.1,433.3,33.0,182.6,,164.3,55.0,173.0,131.5,-46.8,,-10.3,191.0,-71.0,114.0,136.8,209.0,72.2,37.0,3.7,,True,False,True,False,True,False,True,False,,False,True,False,False,True,,True,False,True,False,False,False,True,True,True,
Montana,29,22.9,23.0,26.0,24.9,20.0,21.1,34.4,21.0,25.9,,22.4,21.0,44.0,31.8,20.6,,23.4,32.8,20.0,25.0,21.6,31.0,20.2,23.0,22.6,,-6.1,-6.0,-3.0,-4.1,-9.0,-7.9,5.4,-8.0,-3.1,,-6.6,-8.0,15.0,2.8,-8.4,,-5.6,3.8,-9.0,-4.0,-7.4,2.0,-8.8,-6.0,-6.4,,True,True,True,False,False,True,False,True,,False,False,False,True,False,,True,True,False,True,False,True,False,True,False,
Nebraska,285,326.9,321.0,331.0,308.0,316.0,284.7,322.0,260.0,,,317.9,279.0,407.1,284.8,323.2,,274.1,329.0,385.0,301.0,292.3,283.0,249.6,319.0,329.7,,41.9,36.0,46.0,23.0,31.0,-0.3,37.0,-25.0,,,32.9,-6.0,122.1,-0.2,38.2,,-10.9,44.0,100.0,16.0,7.3,-2.0,-35.4,34.0,44.7,,True,False,True,True,True,True,True,,,True,True,False,True,True,,True,False,False,True,True,True,True,True,False,
Nevada,592,555.6,555.0,558.0,591.0,802.0,578.1,,616.0,604.6,,592.1,592.0,682.8,616.1,526.4,,565.5,636.8,521.0,560.0,554.3,610.0,569.8,558.0,556.0,,-36.4,-37.0,-34.0,-1.0,210.0,-13.9,,24.0,12.6,,0.1,0.0,90.8,24.1,-65.6,,-26.5,44.8,-71.0,-32.0,-37.7,18.0,-22.2,-34.0,-36.0,,False,True,True,False,True,,True,True,,True,True,False,True,False,,True,False,False,True,False,True,True,True,True,
New Hampshire,391,393.3,408.0,402.0,401.6,389.0,402.1,370.7,408.0,400.3,,442.9,337.0,434.5,388.5,438.9,,376.0,377.7,409.0,383.0,407.9,374.0,392.7,466.0,398.4,,2.3,17.0,11.0,10.6,-2.0,11.1,-20.3,17.0,9.3,,51.9,-54.0,43.5,-2.5,47.9,,-15.0,-13.3,18.0,-8.0,16.9,-17.0,1.7,75.0,7.4,,False,False,False,True,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,
New Jersey,15525,13739.0,13835.0,13840.0,13516.0,13302.0,13234.9,13287.8,13186.0,,,13309.6,13748.0,13713.0,13524.8,13425.3,,12969.6,13438.3,13564.5,13250.0,13587.8,13412.0,12938.9,13672.5,13360.9,13932.0,77.0,173.0,178.0,-146.0,-360.0,-427.1,-374.2,-476.0,,,-352.4,86.0,51.0,-137.2,-236.7,,-692.4,-223.7,-97.5,-412.0,-74.2,-250.0,-723.1,10.5,-301.1,270.0,False,False,False,False,False,False,False,,,False,False,True,False,False,,False,False,False,False,True,False,False,True,False,False
New Mexico,543,566.1,528.0,571.0,553.9,509.0,570.3,587.0,546.0,614.3,,585.4,511.0,601.8,547.7,565.9,,551.3,552.4,523.5,610.0,537.6,543.0,507.6,574.0,551.6,,23.1,-15.0,28.0,10.9,-34.0,27.3,44.0,3.0,71.3,,42.4,-32.0,58.8,4.7,22.9,,8.3,9.4,-19.5,67.0,-5.4,0.0,-35.4,31.0,8.6,,True,False,True,False,False,False,True,False,,False,False,False,True,True,,True,True,True,False,True,True,False,False,True,
New York,32343,31982.1,32678.0,32194.9,31717.3,31742.0,31387.2,31566.1,31224.0,,,31513.9,31944.0,32155.0,31761.1,31340.1,,24919.6,31769.2,31440.0,31444.0,31664.7,31698.0,32630.5,31707.0,31546.6,32262.0,253.1,949.0,465.9,-11.7,13.0,-341.8,-162.9,-505.0,,,-215.1,215.0,426.0,32.1,-388.9,,-6809.4,40.2,-289.0,-285.0,-64.3,-31.0,901.5,-22.0,-182.4,533.0,False,False,True,True,False,True,False,,,True,True,False,True,False,,False,True,False,False,True,True,False,True,True,False
North Carolina,1513,1452.1,1512.0,1479.1,1673.3,3234.0,1688.9,,2110.0,1567.0,2405.7,1462.5,1452.0,2006.8,1508.3,1452.5,,1520.2,1412.2,1431.5,1537.0,1549.8,1406.0,1428.3,1509.0,1474.3,,-30.9,29.0,-3.9,190.3,1751.0,205.9,,627.0,84.0,922.7,-20.5,-31.0,523.8,25.3,-30.5,,37.2,-70.8,-51.5,54.0,66.8,-77.0,-54.7,26.0,-8.7,,True,True,False,False,False,,False,False,False,True,False,False,True,True,,False,False,False,False,False,False,False,True,True,
North Dakota,87,85.6,91.0,82.4,91.7,80.0,81.0,113.5,85.0,91.6,,83.7,87.0,123.6,86.7,88.8,,99.9,86.4,113.5,90.0,87.6,87.0,82.4,104.0,92.9,,-1.4,4.0,-4.6,4.7,-7.0,-6.0,26.5,-2.0,4.6,,-3.3,0.0,36.6,-0.3,1.8,,12.9,-0.6,26.5,3.0,0.6,0.0,-4.6,17.0,5.9,,False,False,False,False,False,False,False,False,,False,True,False,True,False,,False,True,False,False,True,True,False,False,False,
Ohio,3036,3102.9,3141.0,3120.0,3140.3,3248.0,3036.5,3024.7,3013.0,3328.8,,3022.2,3079.0,3674.3,3200.1,3137.3,3225.0,2947.1,3318.1,3113.0,3134.0,3044.7,3164.0,3108.1,3138.0,3103.4,3269.0,66.9,105.0,84.0,104.3,212.0,0.5,-11.3,-23.0,292.8,,-13.8,43.0,638.3,164.1,101.3,189.0,-88.9,282.1,77.0,98.0,8.7,128.0,72.1,102.0,67.4,233.0,False,False,False,False,True,True,True,False,,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Oklahoma,421,397.6,415.0,396.3,441.3,690.0,418.2,,468.0,467.3,,418.2,416.0,506.5,462.7,379.1,,387.7,422.2,385.5,439.0,397.9,493.0,419.5,408.0,415.2,,-23.4,-6.0,-24.7,20.3,269.0,-2.8,,47.0,46.3,,-2.8,-5.0,85.5,41.7,-41.9,,-33.3,1.2,-35.5,18.0,-23.1,72.0,-1.5,-13.0,-5.8,,True,False,True,False,True,,False,False,,True,True,False,False,False,,False,True,False,True,True,False,True,True,True,
Oregon,232,222.3,225.0,233.0,228.4,267.0,206.4,,236.0,268.2,,257.0,220.0,317.2,222.2,205.2,,216.5,262.7,194.0,208.0,212.2,220.0,239.4,222.0,216.5,,-7.7,-5.0,3.0,-1.6,37.0,-23.6,,6.0,38.2,,27.0,-10.0,87.2,-7.8,-24.8,,-13.5,32.7,-36.0,-22.0,-17.8,-10.0,9.4,-8.0,-13.5,,True,True,True,False,False,,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Pennsylvania,6897,7017.3,7017.0,7045.0,6931.2,6951.0,7188.5,6866.8,6854.0,,,6793.1,6690.0,7233.5,7012.5,7029.3,,7004.6,6834.6,7000.5,6788.0,6928.0,6806.0,6910.9,7020.0,6874.2,7164.0,120.3,120.0,148.0,34.2,54.0,291.5,-30.2,-43.0,,,-103.9,-207.0,336.5,115.5,132.3,,107.6,-62.4,103.5,-109.0,31.0,-91.0,13.9,123.0,-22.8,267.0,True,False,True,True,False,True,True,,,True,False,False,True,False,,True,True,True,True,True,True,True,False,True,False
Rhode Island,976,1068.3,970.0,1077.0,999.5,948.0,981.7,957.7,969.0,1208.3,,1018.5,984.0,925.9,960.9,1050.5,,969.1,1005.0,1040.5,928.0,997.2,954.0,765.9,1053.0,1007.2,,92.3,-6.0,101.0,23.5,-28.0,5.7,-18.3,-7.0,232.3,,42.5,8.0,-50.1,-15.1,74.5,,-6.9,29.0,64.5,-48.0,21.2,-22.0,-210.1,77.0,31.2,,True,False,True,True,True,True,True,False,,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,
South Carolina,951,804.4,849.0,778.9,893.7,1596.0,1048.3,,805.0,871.2,,803.2,786.0,961.8,879.2,748.5,,838.4,855.7,754.0,1033.0,836.8,999.0,812.2,822.0,850.1,,-146.6,-102.0,-172.1,-57.3,645.0,97.3,,-146.0,-79.8,,-147.8,-165.0,10.8,-71.8,-202.5,,-112.6,-95.3,-197.0,82.0,-114.2,48.0,-138.8,-129.0,-100.9,,True,False,True,False,True,,True,True,,False,False,True,True,False,,True,True,False,True,True,True,True,True,True,
South Dakota,109,98.1,108.0,99.0,105.6,112.0,93.4,134.2,98.0,110.9,,110.3,87.0,138.8,96.1,95.4,,88.3,98.9,122.5,93.0,90.7,96.0,94.4,123.5,103.4,,-10.9,-1.0,-10.0,-3.4,3.0,-15.6,25.2,-11.0,1.9,,1.3,-22.0,29.8,-12.9,-13.6,,-20.7,-10.1,13.5,-16.0,-18.3,-13.0,-14.6,14.5,-5.6,,True,True,True,True,False,False,False,True,,True,False,False,False,False,,False,True,False,False,False,False,False,False,True,
Tennessee,738,674.6,688.0,680.0,725.3,1168.0,642.7,813.1,701.0,754.6,,706.2,741.0,855.8,669.6,685.9,,619.0,779.0,633.0,698.0,621.6,666.0,630.8,710.0,678.7,,-63.4,-50.0,-58.0,-12.7,430.0,-95.3,75.1,-37.0,16.6,,-31.8,3.0,117.8,-68.4,-52.1,,-119.0,41.0,-105.0,-40.0,-116.4,-72.0,-107.2,-28.0,-59.3,,True,True,True,False,False,False,True,True,,True,True,False,False,True,,False,True,False,True,False,False,False,True,True,
