,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,LANL-GrowthRate,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
New Mexico,543,673.6,382.8,432.0,628.5,,567.2,510.1,775.8,130.6,-160.2,-111.0,85.5,,24.2,-32.9,232.8,False,True,True,,True,True,False
New York,32343,35374.1,31871.7,32359.0,32782.3,29688.0,31902.7,29336.9,32175.8,3746.1,243.7,731.0,1154.3,-1940.0,274.7,-2291.1,547.8,True,True,True,True,True,True,True
North Carolina,1513,1456.0,1211.1,1259.0,1411.4,1065.0,1553.6,1738.1,1476.3,-57.0,-301.9,-254.0,-101.6,-448.0,40.6,225.1,-36.7,False,False,False,False,True,False,True
North Dakota,87,121.6,91.1,475.0,130.4,3333.0,93.3,112.2,149.5,34.6,4.1,388.0,43.4,3246.0,6.3,25.2,62.5,True,False,False,False,True,True,False
Ohio,3036,4327.9,2800.9,2551.0,3334.3,,2997.0,3296.4,4864.5,1291.9,-235.1,-485.0,298.3,,-39.0,260.4,1828.5,True,True,True,,True,True,False
Oklahoma,421,468.7,369.6,512.0,435.8,,383.1,480.9,433.8,47.7,-51.4,91.0,14.8,,-37.9,59.9,12.8,False,False,True,,True,False,True
Oregon,232,223.4,178.5,159.0,177.4,228.0,207.8,230.0,193.4,-8.6,-53.5,-73.0,-54.6,-4.0,-24.2,-2.0,-38.6,False,False,False,True,False,True,False
Pennsylvania,6897,9531.4,6064.3,5812.0,7513.4,10951.0,7589.4,5642.5,8290.5,2634.4,-832.7,-1085.0,616.4,4054.0,692.4,-1254.5,1393.5,True,True,True,False,True,True,True
Rhode Island,976,1355.4,698.3,836.0,987.2,994.0,910.3,620.0,1218.3,379.4,-277.7,-140.0,11.2,18.0,-65.7,-356.0,242.3,True,True,True,True,True,True,True
South Carolina,951,777.9,535.3,578.0,754.9,773.0,758.3,665.8,954.8,-173.1,-415.7,-373.0,-196.1,-178.0,-192.7,-285.2,3.8,False,False,False,False,False,False,True
South Dakota,109,91.1,99.7,165.0,102.5,184.0,76.0,63.2,161.4,-17.9,-9.3,56.0,-6.5,75.0,-33.0,-45.8,52.4,True,False,True,False,False,False,False
Tennessee,738,596.6,551.1,585.0,498.3,,433.5,506.7,562.0,-141.4,-186.9,-153.0,-239.7,,-304.5,-231.3,-176.0,False,False,False,,False,False,False
Texas,3138,2796.6,2405.2,3318.0,2219.5,3827.0,2594.1,2743.3,3840.9,-341.4,-732.8,180.0,-918.5,689.0,-543.9,-394.7,702.9,False,True,False,False,False,False,False
Utah,212,213.6,201.7,120.0,171.6,384.0,192.1,170.2,276.2,1.6,-10.3,-92.0,-40.4,172.0,-19.9,-41.8,64.2,False,False,False,False,False,False,False
Vermont,56,54.0,56.3,55.0,58.4,,68.2,56.3,63.8,-2.0,0.3,-1.0,2.4,,12.2,0.3,7.8,True,True,False,,False,True,False
Virginia,1962,2275.0,1705.2,1684.0,1666.3,2747.0,1883.8,2106.1,2117.2,313.0,-256.8,-278.0,-295.7,785.0,-78.2,144.1,155.2,True,True,True,False,True,True,True
Washington,1424,1472.4,1207.7,1236.0,1363.2,2404.0,1240.4,1243.3,1318.1,48.4,-216.3,-188.0,-60.8,980.0,-183.6,-180.7,-105.9,False,False,False,False,False,False,False
West Virginia,96,106.3,86.3,75.0,195.4,146.0,123.0,117.6,105.4,10.3,-9.7,-21.0,99.4,50.0,27.0,21.6,9.4,True,False,False,False,False,False,True
Wisconsin,821,900.9,730.6,928.0,865.8,800.0,791.6,1024.6,797.0,79.9,-90.4,107.0,44.8,-21.0,-29.4,203.6,-24.0,False,False,True,True,True,False,True
Wyoming,21,39.4,18.7,13.0,18.6,0.0,14.1,42.1,24.5,18.4,-2.3,-8.0,-2.4,-21.0,-6.9,21.1,3.5,True,True,True,False,True,False,True
US,134777,153660.6,118768.5,127243.0,131091.1,,126465.1,118608.5,148826.6,19917.6,-14974.5,-6500.0,-2651.9,,-7277.9,-15134.5,15083.6,True,True,True,,True,True,True
