,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovAlliance-SIR,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovAlliance-SIR,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovAlliance-SIR,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Hawaii,19,19.9,19.6,21.0,20.0,19.1,18.0,19.7,,,17.5,,20.3,20.2,18.5,18.0,18.3,,19.6,18.7,18.0,18.0,19.0,18.4,20.0,22.5,21.0,19.0,18.4,,0.9,0.6,2.0,1.0,0.1,-1.0,0.7,,,-1.5,,1.3,1.2,-0.5,-1.0,-0.7,,0.6,-0.3,-1.0,-1.0,0.0,-0.6,1.0,3.5,2.0,0.0,-0.6,,False,False,True,False,True,,,False,,False,False,True,False,True,,True,True,False,False,True,True,False,False,False,True,True,
Idaho,102,94.7,94.3,110.0,95.0,100.4,98.0,110.4,101.0,,97.7,93.0,119.6,104.0,106.9,109.0,92.3,,104.3,102.5,91.0,,97.0,94.6,104.0,78.6,104.4,94.0,95.2,,-7.3,-7.7,8.0,-7.0,-1.6,-4.0,8.4,-1.0,,-4.3,-9.0,17.6,2.0,4.9,7.0,-9.7,,2.3,0.5,-11.0,,-5.0,-7.4,2.0,-23.4,2.4,-8.0,-6.8,,False,True,True,True,False,True,,True,False,False,True,True,True,False,,True,True,False,,True,False,True,False,True,False,True,
Illinois,7369,7335.6,7285.6,7443.0,7369.0,7429.8,7179.0,7092.2,7184.9,,7307.5,7792.0,7633.8,7438.3,7266.4,7043.0,7444.0,7678.0,7452.1,7427.8,8739.5,7334.0,7202.0,7185.6,7263.0,6983.9,7229.3,7361.0,7316.4,7407.7,-33.4,-83.4,74.0,0.0,60.8,-190.0,-276.8,-184.1,,-61.5,423.0,264.8,69.3,-102.6,-326.0,75.0,309.0,83.1,58.8,1370.5,-35.0,-167.0,-183.4,-106.0,-385.1,-139.7,-8.0,-52.6,38.7,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Indiana,2756,2765.7,2749.3,2809.0,2776.1,2777.0,2752.0,2750.6,,,2558.7,2672.0,2673.0,2813.4,2868.3,2749.0,2781.5,2789.0,2737.5,2796.1,2746.0,2771.0,2747.0,2712.7,2777.0,2943.5,2794.6,2836.0,2772.2,,9.7,-6.7,53.0,20.1,21.0,-4.0,-5.4,,,-197.3,-84.0,-83.0,57.4,112.3,-7.0,25.5,33.0,-18.5,40.1,-10.0,15.0,-9.0,-43.3,21.0,187.5,38.6,80.0,16.2,,False,False,False,True,True,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,
Iowa,748,743.1,739.0,804.0,750.0,773.0,835.0,815.6,737.5,,746.8,752.0,833.4,774.0,876.5,750.0,779.5,,728.3,749.3,846.0,793.0,751.0,765.7,752.0,778.3,774.9,754.0,759.0,,-4.9,-9.0,56.0,2.0,25.0,87.0,67.6,-10.5,,-1.2,4.0,85.4,26.0,128.5,2.0,31.5,,-19.7,1.3,98.0,45.0,3.0,17.7,4.0,30.3,26.9,6.0,11.0,,False,True,False,False,False,False,,True,True,False,False,False,True,False,,False,True,False,False,True,False,True,False,False,False,False,
Kansas,295,291.3,288.8,317.0,292.0,299.2,358.0,292.3,293.8,,296.9,280.0,357.0,302.6,303.2,278.0,279.1,,297.1,312.8,296.0,276.0,276.0,281.2,303.0,239.5,304.1,305.0,293.2,,-3.7,-6.2,22.0,-3.0,4.2,63.0,-2.7,-1.2,,1.9,-15.0,62.0,7.6,8.2,-17.0,-15.9,,2.1,17.8,1.0,-19.0,-19.0,-13.8,8.0,-55.5,9.1,10.0,-1.8,,False,True,False,False,True,True,,True,False,False,False,False,False,False,,True,False,True,False,False,False,False,False,False,False,True,
Kentucky,622,617.4,610.8,615.0,614.0,624.0,654.0,599.1,612.1,,597.5,661.0,698.9,605.0,864.7,637.0,596.3,647.0,624.4,636.4,588.0,600.0,609.0,630.6,612.0,578.7,619.2,625.0,613.6,,-4.6,-11.2,-7.0,-8.0,2.0,32.0,-22.9,-9.9,,-24.5,39.0,76.9,-17.0,242.7,15.0,-25.7,25.0,2.4,14.4,-34.0,-22.0,-13.0,8.6,-10.0,-43.3,-2.8,3.0,-8.4,,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,
Louisiana,3403,3373.6,3354.1,3392.0,3362.0,3356.7,3509.0,3337.8,3425.1,,3416.5,3252.0,3355.2,3432.8,3364.3,3366.0,3273.9,,3289.6,3467.2,3286.0,3298.0,3461.0,3269.0,3419.0,3051.3,3467.9,3283.0,3355.3,,-29.4,-48.9,-11.0,-41.0,-46.3,106.0,-65.2,22.1,,13.5,-151.0,-47.8,29.8,-38.7,-37.0,-129.1,,-113.4,64.2,-117.0,-105.0,58.0,-134.0,16.0,-351.7,64.9,-120.0,-47.7,,True,False,False,False,False,True,,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,
Maine,112,107.7,107.3,114.0,108.0,109.5,107.0,109.1,107.6,,110.1,106.0,122.5,112.1,141.9,114.0,108.1,,112.6,109.6,105.0,,108.0,106.3,109.0,106.8,111.1,108.0,108.2,,-4.3,-4.7,2.0,-4.0,-2.5,-5.0,-2.9,-4.4,,-1.9,-6.0,10.5,0.1,29.9,2.0,-3.9,,0.6,-2.4,-7.0,,-4.0,-5.7,-3.0,-5.2,-0.9,-4.0,-3.8,,True,True,True,False,True,False,,True,False,False,True,False,True,True,,True,True,False,,True,False,True,False,True,True,True,
Maryland,3310,3357.4,3336.3,3390.0,3366.9,3332.9,3299.0,3311.1,3243.7,,3263.4,3373.0,3490.4,3331.5,3743.8,3297.0,3369.4,,3288.7,3307.4,3334.0,3333.0,3333.0,3294.4,3307.0,3313.9,3307.4,3444.0,3356.2,3308.7,47.4,26.3,80.0,56.9,22.9,-11.0,1.1,-66.3,,-46.6,63.0,180.4,21.5,433.8,-13.0,59.4,,-21.3,-2.6,24.0,23.0,23.0,-15.6,-3.0,3.9,-2.6,134.0,46.2,-1.3,False,False,True,True,True,False,,True,False,False,True,False,True,False,,True,True,True,True,True,True,True,True,True,False,True,True
