,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2996,2930.3,3054.0,2938.0,3024.6,3215.0,,3125.7,3303.2,3226.0,,3386.3,2918.5,2944.8,3027.0,2996.1,2963.5,3139.1,3044.1,,2893.1,2962.4,2913.0,,2932.8,,2923.0,3020.3,2996.0,,3144.9,3118.2,2939.0,2987.1,2975.7,-65.7,58.0,-58.0,28.6,219.0,,129.7,307.2,230.0,,390.3,-77.5,-51.2,31.0,0.1,-32.5,143.1,48.1,,-102.9,-33.6,-83.0,,-63.2,,-73.0,24.3,0.0,,148.9,122.2,-57.0,-8.9,-20.3,True,True,True,False,,False,False,False,,False,False,True,True,True,True,False,True,,False,True,False,,True,,False,True,True,,False,False,True,True,True
Hawaii,19,19.9,21.0,20.0,19.6,19.0,,19.5,24.3,20.0,,,21.6,17.6,,19.8,19.9,18.5,19.2,,20.1,20.1,19.0,,19.0,,20.0,19.1,20.0,,19.2,20.6,20.0,19.2,,0.9,2.0,1.0,0.6,0.0,,0.5,5.3,1.0,,,2.6,-1.4,,0.8,0.9,-0.5,0.2,,1.1,1.1,0.0,,0.0,,1.0,0.1,1.0,,0.2,1.6,1.0,0.2,,False,False,True,True,,True,False,False,,,False,False,,True,False,True,True,,False,False,True,,True,,False,True,False,,True,False,False,True,
Idaho,102,94.7,109.0,95.0,98.4,116.0,,112.8,116.9,113.0,94.9,,95.3,98.7,101.0,106.3,102.2,106.2,95.1,,97.7,97.5,93.0,,93.7,,96.0,95.2,98.0,,108.3,99.7,95.0,95.0,,-7.3,7.0,-7.0,-3.6,14.0,,10.8,14.9,11.0,-7.1,,-6.7,-3.3,-1.0,4.3,0.2,4.2,-6.9,,-4.3,-4.5,-9.0,,-8.3,,-6.0,-6.8,-4.0,,6.3,-2.3,-7.0,-7.0,,True,True,True,False,,False,False,False,True,,True,True,True,True,True,True,True,,True,True,False,,False,,True,True,True,,True,True,True,True,
Illinois,7369,7133.1,7302.0,7155.0,7251.3,7213.0,,7120.7,7473.7,7097.0,6789.0,,7129.3,7211.9,7470.0,7253.9,7206.7,6956.5,7251.5,7460.0,7381.9,7157.3,7715.0,,7162.6,,7121.0,7221.3,7142.0,,7140.7,7168.1,7145.0,7139.6,7165.0,-235.9,-67.0,-214.0,-117.7,-156.0,,-248.3,104.7,-272.0,-580.0,,-239.7,-157.1,101.0,-115.1,-162.3,-412.5,-117.5,91.0,12.9,-211.7,346.0,,-206.4,,-248.0,-147.7,-227.0,,-228.3,-200.9,-224.0,-229.4,-204.0,True,True,True,True,,False,True,False,False,,False,True,True,True,True,False,True,True,True,True,False,,True,,False,True,True,,True,True,True,True,True
Indiana,2756,2756.4,2785.0,2758.0,2773.0,2748.0,,2744.6,2804.9,2782.0,2637.5,,2767.5,2550.0,2710.0,2600.3,2801.1,2869.1,2761.1,2766.5,2744.5,2763.3,2731.0,,2513.7,,2750.0,2753.2,2769.0,,2798.4,2766.5,2826.0,2757.3,2828.0,0.4,29.0,2.0,17.0,-8.0,,-11.4,48.9,26.0,-118.5,,11.5,-206.0,-46.0,-155.7,45.1,113.1,5.1,10.5,-11.5,7.3,-25.0,,-242.3,,-6.0,-2.8,13.0,,42.4,10.5,70.0,1.3,72.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,False,False
Iowa,748,733.9,784.0,738.0,746.1,767.0,,797.4,753.4,759.0,696.4,,732.4,741.3,742.0,770.4,747.6,873.1,751.8,,731.1,739.1,775.0,,739.6,,730.0,738.9,734.0,,760.5,750.8,732.0,737.5,,-14.1,36.0,-10.0,-1.9,19.0,,49.4,5.4,11.0,-51.6,,-15.6,-6.7,-6.0,22.4,-0.4,125.1,3.8,,-16.9,-8.9,27.0,,-8.4,,-18.0,-9.1,-14.0,,12.5,2.8,-16.0,-10.5,,False,True,True,False,,False,True,True,False,,False,True,True,False,True,False,True,,False,True,False,,True,,False,True,True,,True,True,False,True,
Kansas,295,296.9,316.0,298.0,297.3,312.0,,300.2,325.6,299.0,274.9,,297.8,302.7,296.0,311.3,299.8,295.9,292.6,,297.6,303.3,296.0,,290.4,,290.0,291.6,299.0,,296.1,306.0,299.0,294.7,,1.9,21.0,3.0,2.3,17.0,,5.2,30.6,4.0,-20.1,,2.8,7.7,1.0,16.3,4.8,0.9,-2.4,,2.6,8.3,1.0,,-4.6,,-5.0,-3.4,4.0,,1.1,11.0,4.0,-0.3,,False,False,False,False,,False,False,False,False,,False,False,True,False,False,True,False,,False,False,True,,False,,False,False,False,,True,False,False,True,
Kentucky,622,608.1,620.0,616.0,613.5,605.0,,600.4,700.1,617.0,571.8,,612.4,608.6,644.0,643.3,599.1,789.7,608.0,638.0,631.6,610.2,604.0,,606.5,,596.0,605.4,605.0,,622.3,616.9,613.0,608.1,,-13.9,-2.0,-6.0,-8.5,-17.0,,-21.6,78.1,-5.0,-50.2,,-9.6,-13.4,22.0,21.3,-22.9,167.7,-14.0,16.0,9.6,-11.8,-18.0,,-15.5,,-26.0,-16.6,-17.0,,0.3,-5.1,-9.0,-13.9,,True,True,True,False,,False,False,True,False,,True,True,False,False,False,False,False,False,True,True,False,,False,,False,False,False,,True,True,True,True,
Louisiana,3403,3364.3,3416.0,3366.0,3387.1,3443.0,,3341.4,3342.8,3530.0,3219.4,,3368.3,3371.4,3416.0,3323.5,3401.8,3370.6,3441.6,,3334.2,3397.2,3319.0,,3243.4,,3397.0,3352.0,3390.0,,3438.7,3388.7,3357.0,3362.8,3381.0,-38.7,13.0,-37.0,-15.9,40.0,,-61.6,-60.2,127.0,-183.6,,-34.7,-31.6,13.0,-79.5,-1.2,-32.4,38.6,,-68.8,-5.8,-84.0,,-159.6,,-6.0,-51.0,-13.0,,35.7,-14.3,-46.0,-40.2,-22.0,True,True,True,False,,False,False,False,False,,True,True,True,False,True,True,True,,False,True,False,,False,,True,False,True,,True,True,False,False,True
Maine,112,113.3,115.0,110.0,110.9,118.0,,109.6,114.0,113.0,104.6,,110.1,111.8,109.0,116.6,111.4,141.4,108.9,,111.6,112.3,107.0,,111.8,,114.0,109.9,112.0,,114.8,109.7,111.0,112.0,,1.3,3.0,-2.0,-1.1,6.0,,-2.4,2.0,1.0,-7.4,,-1.9,-0.2,-3.0,4.6,-0.6,29.4,-3.1,,-0.4,0.3,-5.0,,-0.2,,2.0,-2.1,0.0,,2.8,-2.3,-1.0,-0.0,,False,False,True,False,,False,False,True,False,,False,True,False,False,True,False,False,,True,True,False,,True,,False,False,True,,False,False,True,True,
Maryland,3310,3307.3,3376.0,3315.0,3321.5,3328.0,,3296.6,3327.2,3288.0,3097.3,,3319.2,3286.5,3443.0,3358.0,3320.4,3720.9,3329.7,,3305.4,3316.4,3304.5,,3206.5,,3299.0,3311.1,3303.0,,3345.1,3310.5,3383.0,3313.7,3378.7,-2.7,66.0,5.0,11.5,18.0,,-13.4,17.2,-22.0,-212.7,,9.2,-23.5,133.0,48.0,10.4,410.9,19.7,,-4.6,6.4,-5.5,,-103.5,,-11.0,1.1,-7.0,,35.1,0.5,73.0,3.7,68.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,False,,False,True,False,False,False
Massachusetts,8310,8288.4,8386.0,8303.0,8312.4,8272.0,,8172.3,8318.5,8251.0,7978.0,,8315.6,8411.8,8435.0,8281.6,8315.5,8248.6,8334.5,,8294.8,8306.0,8245.0,,8305.1,,8293.0,8302.1,8274.0,,8239.4,8320.7,8375.0,8289.5,8394.3,-21.6,76.0,-7.0,2.4,-38.0,,-137.7,8.5,-59.0,-332.0,,5.6,101.8,125.0,-28.4,5.5,-61.4,24.5,,-15.2,-4.0,-65.0,,-4.9,,-17.0,-7.9,-36.0,,-70.6,10.7,65.0,-20.5,84.3,False,True,True,False,,False,True,False,False,,True,False,False,False,True,False,False,,True,True,False,,True,,True,True,False,,False,True,False,True,False
Michigan,6313,6270.3,6352.0,6283.0,6282.0,6299.0,,6250.2,6326.4,6374.0,6190.8,,6262.3,6222.7,6312.0,6278.1,6306.0,6883.1,6257.5,6298.0,6276.0,6279.8,6262.0,,6024.4,,6240.0,6263.4,6270.0,,6317.9,6306.4,6245.0,6269.1,6288.7,-42.7,39.0,-30.0,-31.0,-14.0,,-62.8,13.4,61.0,-122.2,,-50.7,-90.3,-1.0,-34.9,-7.0,570.1,-55.5,-15.0,-37.0,-33.2,-51.0,,-288.6,,-73.0,-49.6,-43.0,,4.9,-6.6,-68.0,-43.9,-24.3,True,True,True,True,,False,True,False,False,,False,False,True,True,True,False,False,True,True,True,False,,False,,False,False,False,,True,True,False,False,True
Minnesota,1537,1549.1,1582.0,1554.0,1555.6,1571.0,,1615.3,1567.7,1571.0,1448.2,,1543.2,1563.9,1518.0,1571.1,1550.9,1814.2,1580.7,1588.5,1535.4,1545.2,1540.0,,1519.4,,1538.0,1550.7,1541.0,,1563.9,1561.2,1548.0,1553.1,1559.0,12.1,45.0,17.0,18.6,34.0,,78.3,30.7,34.0,-88.8,,6.2,26.9,-19.0,34.1,13.9,277.2,43.7,51.5,-1.6,8.2,3.0,,-17.6,,1.0,13.7,4.0,,26.9,24.2,11.0,16.1,22.0,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,True,True,True,,False,,True,False,True,,False,False,True,False,False
Mississippi,1230,1172.7,1179.0,1179.0,1184.9,1219.0,,1223.5,1225.4,1250.0,980.5,,1161.3,1198.7,1172.0,1179.6,1166.0,1400.7,1186.9,,1167.5,1205.6,1154.0,,1187.9,,1165.0,1180.1,1174.0,,1221.9,1198.4,1173.0,1173.7,1198.0,-57.3,-51.0,-51.0,-45.1,-11.0,,-6.5,-4.6,20.0,-249.5,,-68.7,-31.3,-58.0,-50.4,-64.0,170.7,-43.1,,-62.5,-24.4,-76.0,,-42.1,,-65.0,-49.9,-56.0,,-8.1,-31.6,-57.0,-56.3,-32.0,True,True,True,True,,True,True,True,False,,False,True,False,True,False,False,True,,False,True,False,,True,,False,True,True,,True,True,True,True,True
Missouri,1091,1082.7,1099.0,1086.0,1097.5,1118.0,,1116.4,1290.4,1138.0,1022.6,,1090.7,1125.6,1107.0,1075.8,1103.3,1214.2,1089.1,,1092.3,1089.1,1077.0,,1077.4,,1065.0,1096.5,1084.0,,1132.4,1126.0,1093.0,1082.1,,-8.3,8.0,-5.0,6.5,27.0,,25.4,199.4,47.0,-68.4,,-0.3,34.6,16.0,-15.2,12.3,123.2,-1.9,,1.3,-1.9,-14.0,,-13.6,,-26.0,5.5,-7.0,,41.4,35.0,2.0,-8.9,,True,True,True,False,,False,False,False,False,,True,False,False,False,False,False,True,,True,True,False,,False,,False,True,True,,False,False,True,False,
Montana,29,23.9,25.0,24.0,25.2,23.0,,23.3,30.2,26.0,22.4,,25.3,21.2,23.0,28.3,26.7,23.0,24.3,,27.3,24.1,23.0,,30.0,,24.0,24.7,26.0,,27.8,26.3,25.0,23.9,,-5.1,-4.0,-5.0,-3.8,-6.0,,-5.7,1.2,-3.0,-6.6,,-3.7,-7.8,-6.0,-0.7,-2.3,-6.0,-4.7,,-1.7,-4.9,-6.0,,1.0,,-5.0,-4.3,-3.0,,-1.2,-2.7,-4.0,-5.1,,True,True,True,False,,False,True,True,False,,True,False,False,True,True,False,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nebraska,285,298.6,323.0,301.0,303.9,301.0,,291.1,308.3,293.0,261.6,,300.2,322.1,303.0,319.2,299.1,337.3,306.1,,307.0,301.0,317.0,,305.7,,299.0,296.8,296.0,,293.0,300.5,302.0,299.0,,13.6,38.0,16.0,18.9,16.0,,6.1,23.3,8.0,-23.4,,15.2,37.1,18.0,34.2,14.1,52.3,21.1,,22.0,16.0,32.0,,20.7,,14.0,11.8,11.0,,8.0,15.5,17.0,14.0,,False,False,False,False,,True,False,True,False,,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,True,,True,False,False,False,
Nevada,592,563.1,580.0,560.0,570.7,616.0,,567.1,684.8,640.0,,,572.2,587.9,549.0,598.3,567.3,577.4,566.0,,544.8,571.9,540.0,,547.4,,567.0,557.5,571.0,,610.9,574.1,570.0,561.0,,-28.9,-12.0,-32.0,-21.3,24.0,,-24.9,92.8,48.0,,,-19.8,-4.1,-43.0,6.3,-24.7,-14.6,-26.0,,-47.2,-20.1,-52.0,,-44.6,,-25.0,-34.5,-21.0,,18.9,-17.9,-22.0,-31.0,,True,False,True,True,,True,False,False,,,True,True,False,True,True,True,True,,False,True,False,,False,,True,False,True,,True,True,True,False,
New Hampshire,391,393.0,404.0,391.0,396.0,386.0,,397.8,387.4,395.0,357.2,,396.0,405.5,379.0,397.0,392.8,485.8,402.6,,391.7,393.3,394.0,,398.4,,387.0,397.9,392.0,,395.9,392.6,403.0,394.7,,2.0,13.0,0.0,5.0,-5.0,,6.8,-3.6,4.0,-33.8,,5.0,14.5,-12.0,6.0,1.8,94.8,11.6,,0.7,2.3,3.0,,7.4,,-4.0,6.9,1.0,,4.9,1.6,12.0,3.7,,False,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,,True,False,False,,False,,False,False,True,,False,True,False,False,
New Jersey,15525,15413.3,16547.0,15430.0,15402.7,15373.0,,13278.1,15343.1,15356.0,,,15385.7,15280.3,16264.0,15398.8,15421.5,13291.6,15677.7,,15363.1,15415.4,15449.0,,13395.1,,15395.0,15446.4,15364.0,,15271.1,15813.5,15420.0,15349.5,13675.0,-111.7,1022.0,-95.0,-122.3,-152.0,,-2246.9,-181.9,-169.0,,,-139.3,-244.7,739.0,-126.2,-103.5,-2233.4,152.7,,-161.9,-109.6,-76.0,,-2129.9,,-130.0,-78.6,-161.0,,-253.9,288.5,-105.0,-175.5,-1850.0,False,True,False,False,,False,False,False,,,False,False,False,False,True,False,False,,False,True,True,,False,,False,True,False,,False,False,True,False,False
New Mexico,543,531.0,542.0,535.0,539.1,528.0,,562.9,548.1,553.0,494.2,,541.7,556.6,528.0,547.6,541.1,567.3,538.5,,531.9,537.5,537.0,,532.4,,539.0,536.4,532.0,,548.9,553.4,535.0,532.0,,-12.0,-1.0,-8.0,-3.9,-15.0,,19.9,5.1,10.0,-48.8,,-1.3,13.6,-15.0,4.6,-1.9,24.3,-4.5,,-11.1,-5.5,-6.0,,-10.6,,-4.0,-6.6,-11.0,,5.9,10.4,-8.0,-11.0,,True,True,True,False,,False,True,True,False,,True,False,False,True,True,False,True,,True,True,True,,True,,True,True,True,,True,True,True,True,
New York,32380,32431.4,32934.0,32376.0,32380.4,32380.0,,32099.7,32051.4,32452.0,31942.8,,32396.1,31479.9,32875.0,32072.1,32432.0,27179.6,32226.8,,31988.7,32418.7,32241.0,,25132.7,,32265.0,32306.0,32414.0,,32258.8,32372.4,32490.0,32355.7,32490.7,89.4,592.0,34.0,38.4,38.0,,-242.3,-290.6,110.0,-399.2,,54.1,-862.1,533.0,-269.9,90.0,-5162.4,-115.2,,-353.3,76.7,-101.0,,-7209.3,,-77.0,-36.0,72.0,,-83.2,30.4,148.0,13.7,148.7,False,True,True,True,,False,False,False,False,,True,False,False,False,False,False,False,,False,True,False,,False,,True,True,True,,True,True,False,True,False
