,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2996,3496.3,4401.0,3522.4,3259.3,3537.0,2829.6,2912.5,2873.0,,3386.3,3486.2,2850.0,3100.8,3286.8,3450.1,,3670.3,3067.5,,3172.0,3162.0,3272.2,3362.0,2747.7,3104.0,3403.6,3921.0,500.3,1405.0,526.4,263.3,541.0,-166.4,-83.5,-123.0,,390.3,490.2,-146.0,104.8,290.8,454.1,,674.3,71.5,,176.0,166.0,276.2,366.0,-248.3,108.0,407.6,925.0,False,False,True,False,True,True,True,,True,True,True,True,True,True,,False,True,,True,True,True,True,True,True,True,False
Hawaii,19,17.0,32.0,18.8,23.0,17.0,18.6,33.7,17.0,,,18.3,,18.3,24.5,17.8,,17.0,17.0,,29.0,53.0,17.9,30.0,22.9,17.0,18.3,,-2.0,13.0,-0.2,4.0,-2.0,-0.4,14.7,-2.0,,,-0.7,,-0.7,5.5,-1.2,,-2.0,-2.0,,10.0,34.0,-1.1,11.0,3.9,-2.0,-0.7,,False,True,False,False,True,False,False,,,True,,True,False,True,,False,False,,False,False,True,False,False,False,True,
Idaho,102,102.4,158.0,103.3,103.7,89.0,102.5,148.6,142.0,105.3,,93.6,86.0,141.5,96.3,90.7,,111.5,87.0,,92.0,97.0,93.3,101.0,101.6,93.0,95.2,,0.4,56.0,1.3,1.7,-13.0,0.5,46.6,40.0,3.3,,-8.4,-16.0,39.5,-5.7,-11.3,,9.5,-15.0,,-10.0,-5.0,-8.7,-1.0,-0.4,-9.0,-6.8,,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,
Illinois,7369,7866.3,10650.0,7989.2,7795.3,6818.0,7072.3,7821.2,6911.0,7529.0,,7082.4,7796.0,8458.0,7128.3,7808.7,9126.5,7297.2,11294.0,,8642.0,7017.0,7188.0,7017.0,6847.0,8369.5,7684.2,8121.0,497.3,3281.0,620.2,426.3,-551.0,-296.7,452.2,-458.0,160.0,,-286.6,427.0,1089.0,-240.7,439.7,1757.5,-71.8,3925.0,,1273.0,-352.0,-181.0,-352.0,-522.0,1000.5,315.2,752.0,False,False,True,False,True,True,True,True,,True,True,False,True,True,False,True,False,,False,True,True,True,False,False,True,False
Indiana,2756,2881.0,3932.0,2896.4,2840.9,2865.0,2867.1,2907.3,2711.0,,,2649.0,2482.0,2739.5,2812.2,2853.8,3129.0,2818.7,2853.0,,2862.0,2759.0,2696.7,2760.0,2949.1,2855.0,2979.7,3120.0,125.0,1176.0,140.4,84.9,109.0,111.1,151.3,-45.0,,,-107.0,-274.0,-16.5,56.2,97.8,373.0,62.7,97.0,,106.0,3.0,-59.3,4.0,193.1,99.0,223.7,364.0,False,False,True,True,True,False,True,,,True,False,True,True,True,False,True,True,,True,True,True,True,False,True,False,False
Iowa,748,833.3,1231.0,854.1,870.7,1105.0,938.2,799.1,766.0,825.4,,855.4,738.0,1005.0,863.0,948.3,,842.1,1039.0,,1075.0,705.0,801.1,779.0,805.0,849.0,840.5,,85.3,483.0,106.1,122.7,357.0,190.2,51.1,18.0,77.4,,107.4,-10.0,257.0,115.0,200.3,,94.1,291.0,,327.0,-43.0,53.1,31.0,57.0,101.0,92.5,,False,False,False,False,False,True,True,True,,False,True,False,False,False,,False,False,,False,True,True,True,True,False,False,
Kansas,295,291.3,477.0,293.0,287.3,290.0,279.0,274.9,263.0,326.3,,300.8,316.0,367.9,274.0,268.5,,271.0,272.0,,309.0,260.0,278.4,269.0,200.6,275.0,294.1,,-3.7,182.0,-2.0,-7.7,-5.0,-16.0,-20.1,-32.0,31.3,,5.8,21.0,72.9,-21.0,-26.5,,-24.0,-23.0,,14.0,-35.0,-16.6,-26.0,-94.4,-20.0,-0.9,,False,True,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,
Kentucky,622,610.9,927.0,614.8,654.6,696.0,600.0,886.9,638.0,726.6,,625.9,584.0,789.9,626.8,592.6,782.0,617.6,582.0,,624.0,553.0,647.2,574.0,596.9,643.0,649.5,,-11.1,305.0,-7.2,32.6,74.0,-22.0,264.9,16.0,104.6,,3.9,-38.0,167.9,4.8,-29.4,160.0,-4.4,-40.0,,2.0,-69.0,25.2,-48.0,-25.1,21.0,27.5,,False,True,False,False,False,False,False,False,,True,False,False,True,False,False,True,False,,True,False,False,False,False,False,False,
Louisiana,3403,3314.9,4039.0,3326.4,3366.5,3525.0,3392.9,3325.7,3419.0,,,3474.3,3309.0,3483.4,3742.3,3159.8,,3547.7,3246.0,,3280.0,3228.0,3254.4,3406.0,3116.5,3178.0,3416.8,,-88.1,636.0,-76.6,-36.5,122.0,-10.1,-77.3,16.0,,,71.3,-94.0,80.4,339.3,-243.2,,144.7,-157.0,,-123.0,-175.0,-148.6,3.0,-286.5,-225.0,13.8,,False,True,True,False,True,True,True,,,True,False,True,False,False,,False,False,,False,False,False,True,False,False,True,
Maine,112,103.9,174.0,109.4,117.9,116.0,102.3,130.8,145.0,124.4,,125.6,116.0,137.0,119.1,112.9,,108.6,110.0,,110.0,117.0,106.9,113.0,127.6,115.0,113.6,,-8.1,62.0,-2.6,5.9,4.0,-9.7,18.8,33.0,12.4,,13.6,4.0,25.0,7.1,0.9,,-3.4,-2.0,,-2.0,5.0,-5.1,1.0,15.6,3.0,1.6,,False,True,True,True,False,False,False,False,,False,True,False,True,True,,True,True,,True,True,True,True,False,True,True,
Maryland,3310,3671.9,4718.0,3669.8,3504.0,3377.0,3422.5,3651.2,3468.0,3621.2,,3591.9,3712.0,3898.0,3378.3,3473.6,,3317.4,3438.0,,3424.0,3132.0,3347.9,3312.0,3475.5,3662.0,3559.6,3864.0,361.9,1408.0,359.8,194.0,67.0,112.5,341.2,158.0,311.2,,281.9,402.0,588.0,68.3,163.6,,7.4,128.0,,114.0,-178.0,37.9,2.0,165.5,352.0,249.6,554.0,False,True,True,True,True,True,True,True,,True,False,False,True,True,,True,True,,True,True,True,True,True,True,True,False
Massachusetts,8310,8812.0,10976.0,8731.0,8308.6,8105.0,8166.1,8313.5,8031.0,,,8071.3,8735.0,8492.5,8273.9,8586.4,,8169.8,8506.0,,8415.0,7904.0,8222.7,8180.0,8188.5,8380.0,8403.4,8583.0,502.0,2666.0,421.0,-1.4,-205.0,-143.9,3.5,-279.0,,,-238.7,425.0,182.5,-36.1,276.4,,-140.2,196.0,,105.0,-406.0,-87.3,-130.0,-121.5,70.0,93.4,273.0,False,True,True,True,True,True,True,,,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True
Michigan,6313,6359.3,7384.0,6440.4,6519.9,6716.0,6316.5,6756.7,6566.0,6931.5,,6771.5,6862.0,6805.0,6313.9,6279.8,6688.0,6224.8,6846.0,,6237.0,6253.0,6501.9,6178.0,6036.1,6355.5,6356.8,,46.3,1071.0,127.4,206.9,403.0,3.5,443.7,253.0,618.5,,458.5,549.0,492.0,0.9,-33.2,375.0,-88.2,533.0,,-76.0,-60.0,188.9,-135.0,-276.9,42.5,43.8,,False,False,False,False,True,False,False,False,,False,False,False,True,True,False,False,False,,False,False,False,False,False,True,True,
Minnesota,1537,1838.1,2329.0,1846.0,1784.3,1815.0,1806.2,1653.5,1717.0,1782.7,,1733.3,1574.0,1983.3,1722.4,1906.5,1853.0,1644.8,1742.5,,2316.0,1375.0,1678.1,1615.0,1397.3,1892.0,1841.3,2059.0,301.1,792.0,309.0,247.3,278.0,269.2,116.5,180.0,245.7,,196.3,37.0,446.3,185.4,369.5,316.0,107.8,205.5,,779.0,-162.0,141.1,78.0,-139.7,355.0,304.3,522.0,False,False,True,True,True,True,True,True,,True,True,False,True,False,False,True,True,,False,True,True,True,True,False,False,False
Mississippi,1230,1176.4,1719.0,1201.0,1180.4,1338.0,1344.7,1390.5,1162.0,1121.4,,1123.8,966.0,1188.0,1159.4,1234.5,,1216.9,1203.0,,1277.0,941.0,1083.3,1072.0,1152.2,1226.0,1252.6,,-53.6,489.0,-29.0,-49.6,108.0,114.7,160.5,-68.0,-108.6,,-106.2,-264.0,-42.0,-70.6,4.5,,-13.1,-27.0,,47.0,-289.0,-146.7,-158.0,-77.8,-4.0,22.6,,False,True,True,False,False,False,False,False,,False,False,True,False,True,,True,True,,True,False,False,False,False,True,True,
Missouri,1091,1020.0,1322.0,1033.3,1107.0,1087.0,1121.6,1544.6,1117.0,1114.1,,1131.8,1086.0,1110.8,1121.3,957.0,,1022.5,958.0,,1172.0,912.0,1243.3,961.0,1076.3,1091.0,1232.3,,-67.0,235.0,-53.7,20.0,0.0,34.6,457.6,30.0,27.1,,44.8,-1.0,23.8,34.3,-130.0,,-64.5,-129.0,,85.0,-175.0,156.3,-126.0,-10.7,4.0,145.3,,False,True,True,True,True,False,True,True,,True,True,True,True,False,,True,False,,False,False,False,False,True,True,False,
Montana,29,22.9,31.0,20.0,24.0,18.0,19.6,51.3,19.0,22.8,,19.4,18.0,27.8,26.9,18.7,,25.2,19.0,,23.0,25.0,21.0,30.0,18.3,21.0,21.2,,-6.1,2.0,-9.0,-5.0,-11.0,-9.4,22.3,-10.0,-6.2,,-9.6,-11.0,-1.2,-2.1,-10.3,,-3.8,-10.0,,-6.0,-4.0,-8.0,1.0,-10.7,-8.0,-7.8,,True,False,True,False,False,False,False,False,,False,False,True,True,False,,True,False,,True,True,False,True,False,False,False,
Nebraska,285,323.0,542.0,327.1,302.2,347.0,287.2,313.7,238.0,,,294.7,269.0,437.3,253.6,310.5,,303.7,394.0,,310.0,248.0,288.0,259.0,233.4,308.0,327.8,,38.0,257.0,42.1,17.2,62.0,2.2,28.7,-47.0,,,9.7,-16.0,152.3,-31.4,25.5,,18.7,109.0,,25.0,-37.0,3.0,-26.0,-51.6,23.0,42.8,,False,False,True,False,True,True,False,,,True,True,False,True,True,,True,False,,True,True,True,True,False,True,False,
Nevada,592,559.4,860.0,561.9,614.9,557.0,586.6,1140.8,690.0,642.1,,584.1,588.0,716.9,611.7,516.5,,646.9,518.0,,565.0,553.0,548.4,598.0,591.8,517.0,575.5,,-32.6,268.0,-30.1,22.9,-35.0,-5.4,548.8,98.0,50.1,,-7.9,-4.0,124.9,19.7,-75.5,,54.9,-74.0,,-27.0,-39.0,-43.6,6.0,-0.2,-75.0,-16.5,,False,True,True,False,True,False,False,False,,True,True,False,True,False,,False,False,,True,False,False,True,True,False,True,
New Hampshire,391,451.1,480.0,458.0,438.4,389.0,409.8,412.0,445.0,401.6,,463.0,330.0,446.2,381.8,495.7,,430.8,411.0,,510.0,420.0,419.6,390.0,404.4,551.0,469.6,,60.1,89.0,67.0,47.4,-2.0,18.8,21.0,54.0,10.6,,72.0,-61.0,55.2,-9.2,104.7,,39.8,20.0,,119.0,29.0,28.6,-1.0,13.4,160.0,78.6,,False,False,True,True,True,True,True,True,,False,False,True,True,False,,True,True,,False,True,True,True,True,False,False,
New Jersey,15525,14522.0,17678.0,14682.4,13612.1,13180.0,13133.3,13218.8,13069.0,14617.2,,13379.4,13813.0,13613.8,13462.6,13459.1,,13585.8,13607.0,,13550.0,13032.0,13621.0,13540.0,12967.7,13641.0,13707.6,14664.0,853.0,4009.0,1013.4,-56.9,-489.0,-535.7,-450.2,-600.0,948.2,,-289.6,144.0,-55.2,-206.4,-209.9,,-83.2,-62.0,,-119.0,-637.0,-48.0,-129.0,-701.3,-28.0,38.6,995.0,False,False,True,True,True,True,True,False,,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,False
New Mexico,543,585.4,765.0,587.0,562.2,568.0,623.3,570.0,544.0,639.2,,615.7,504.0,568.2,511.5,574.2,,570.3,530.0,,709.0,478.0,529.2,546.0,509.8,587.0,577.7,,42.4,222.0,44.0,19.2,25.0,80.3,27.0,1.0,96.2,,72.7,-39.0,25.2,-31.5,31.2,,27.3,-13.0,,166.0,-65.0,-13.8,3.0,-33.2,44.0,34.7,,False,False,True,True,False,True,True,False,,False,True,True,True,True,,True,True,,False,False,True,True,True,False,True,
New York,32380,32564.6,37858.0,33232.3,31713.6,31439.0,31316.0,31284.8,31036.0,,,32119.0,32353.0,32332.2,31810.1,31242.1,,31889.4,31498.0,,24964.0,31274.0,31458.4,31668.0,32496.2,31214.0,31708.3,32770.0,954.6,6248.0,1622.3,103.6,-171.0,-294.0,-325.2,-574.0,,,509.0,743.0,722.2,200.1,-367.9,,279.4,-112.0,,-6646.0,-336.0,-151.6,58.0,886.2,-396.0,98.3,1160.0,False,False,True,True,True,True,True,,,True,True,True,True,True,,True,True,,False,True,True,True,True,True,True,False
North Carolina,1513,1517.7,2686.0,1523.2,1753.6,3099.0,1802.1,1705.5,1998.0,1742.8,2405.7,1528.9,1477.0,2228.6,1662.9,1467.5,,1718.5,1451.0,,1703.0,1563.0,1664.7,1580.0,1720.5,1664.0,1632.7,,4.7,1173.0,10.2,240.6,1586.0,289.1,192.5,485.0,229.8,892.7,15.9,-36.0,715.6,149.9,-45.5,,205.5,-62.0,,190.0,50.0,151.7,67.0,207.5,151.0,119.7,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,
North Dakota,87,81.7,152.0,83.0,102.2,84.0,77.7,127.7,89.0,107.0,,97.1,99.0,122.4,93.5,98.9,,93.7,134.0,,112.0,86.0,89.5,88.0,86.6,117.0,101.2,,-5.3,65.0,-4.0,15.2,-3.0,-9.3,40.7,2.0,20.0,,10.1,12.0,35.4,6.5,11.9,,6.7,47.0,,25.0,-1.0,2.5,1.0,-0.4,30.0,14.2,,False,True,False,True,False,False,True,False,,False,False,False,False,False,,False,False,,False,True,True,True,True,False,False,
Ohio,3036,3253.3,3815.0,3291.8,3237.3,2944.0,3115.5,2951.3,2986.0,3620.1,,2974.7,3065.0,3851.4,3128.3,3218.2,4098.0,3136.4,3347.5,,3373.0,2785.0,3037.3,2996.0,3013.1,3315.0,3277.6,3371.0,217.3,779.0,255.8,201.3,-92.0,79.5,-84.7,-50.0,584.1,,-61.3,29.0,815.4,92.3,182.2,1062.0,100.4,311.5,,337.0,-251.0,1.3,-40.0,-22.9,279.0,241.6,335.0,False,False,True,True,True,True,True,False,,True,True,False,True,True,False,True,False,,False,False,True,True,True,False,False,False
Oklahoma,421,401.4,636.0,408.2,442.6,546.0,404.0,529.1,506.0,517.3,,449.9,389.0,486.1,470.5,376.7,,448.7,389.0,,393.0,416.0,389.8,454.0,449.5,399.0,413.3,,-19.6,215.0,-12.8,21.6,125.0,-17.0,108.1,85.0,96.3,,28.9,-32.0,65.1,49.5,-44.3,,27.7,-32.0,,-28.0,-5.0,-31.2,33.0,28.5,-22.0,-7.7,,False,True,False,False,True,False,False,False,,False,False,False,False,False,,False,False,,False,True,False,False,False,False,True,
Oregon,232,211.6,313.0,221.0,233.5,317.0,190.8,450.6,214.0,248.8,,236.2,206.0,342.1,206.2,189.5,,248.4,183.0,,183.0,178.0,202.4,207.0,240.9,214.0,202.8,,-17.4,84.0,-8.0,4.5,88.0,-38.2,221.6,-15.0,19.8,,7.2,-23.0,113.1,-22.8,-39.5,,19.4,-46.0,,-46.0,-51.0,-26.6,-22.0,11.9,-15.0,-26.2,,False,True,True,False,False,False,True,False,,True,False,False,False,False,,False,False,,False,False,False,False,True,True,False,
Pennsylvania,6897,7264.1,8678.0,7331.3,7103.4,6684.0,7462.7,7475.4,7258.0,,,7074.0,6667.0,7094.7,7235.8,7196.1,,6917.2,7209.5,,7555.0,6641.0,7054.5,6797.0,6987.9,7201.0,7081.2,7372.0,367.1,1781.0,434.3,206.4,-213.0,565.7,578.4,361.0,,,177.0,-230.0,197.7,338.8,299.1,,20.2,312.5,,658.0,-256.0,157.5,-100.0,90.9,304.0,184.2,475.0,False,False,True,True,False,False,True,,,True,True,True,True,True,,True,True,,False,True,True,True,True,True,True,False
Rhode Island,976,1068.3,1172.0,1077.0,965.0,885.0,979.3,932.4,959.0,998.6,,1011.4,967.0,848.5,929.8,1060.0,,954.1,1064.0,,1034.0,889.0,990.2,901.0,755.2,994.0,1037.5,,92.3,196.0,101.0,-11.0,-91.0,3.3,-43.6,-17.0,22.6,,35.4,-9.0,-127.5,-46.2,84.0,,-21.9,88.0,,58.0,-87.0,14.2,-75.0,-220.8,18.0,61.5,,False,False,True,True,True,True,True,True,,True,True,False,True,True,,True,True,,True,True,True,True,False,True,True,
South Carolina,951,808.3,1425.0,838.9,1016.9,2115.0,1029.9,1318.9,1257.0,1013.0,,1040.3,737.0,973.3,897.1,746.0,,1069.0,739.0,,828.0,1076.0,805.3,1046.0,988.0,796.0,899.1,,-142.7,474.0,-112.1,65.9,1164.0,78.9,367.9,306.0,62.0,,89.3,-214.0,22.3,-53.9,-205.0,,118.0,-212.0,,-123.0,125.0,-145.7,95.0,37.0,-155.0,-51.9,,False,True,True,False,True,False,False,True,,True,False,True,True,False,,True,False,,True,True,False,True,True,False,True,
South Dakota,109,113.6,193.0,115.0,112.4,189.0,92.7,125.9,97.0,121.6,,112.6,86.0,149.4,99.8,96.6,,102.9,135.0,,96.0,95.0,89.0,99.0,93.3,133.0,108.6,,4.6,84.0,6.0,3.4,80.0,-16.3,16.9,-12.0,12.6,,3.6,-23.0,40.4,-9.2,-12.4,,-6.1,26.0,,-13.0,-14.0,-20.0,-10.0,-15.7,24.0,-0.4,,False,False,True,False,False,False,False,False,,True,False,False,False,False,,False,False,,False,False,False,False,False,False,True,
Tennessee,738,690.0,1251.0,692.0,692.3,1074.0,616.8,749.5,598.0,,,770.2,705.0,832.4,612.5,681.7,,714.8,617.0,,643.0,688.0,616.3,694.0,613.3,629.0,652.7,,-48.0,513.0,-46.0,-45.7,336.0,-121.2,11.5,-140.0,,,32.2,-33.0,94.4,-125.5,-56.3,,-23.2,-121.0,,-95.0,-50.0,-121.7,-44.0,-124.7,-109.0,-85.3,,False,True,True,False,False,True,False,,,True,True,False,False,False,,True,False,,False,False,False,True,False,False,False,
