,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Tennessee,738,495.9,549.0,984.0,525.2,401.6,-242.1,-189.0,246.0,-212.8,-336.4,True,False,True,False
Texas,3646,3115.6,3315.6,4593.0,1679.9,3135.6,-459.4,-259.4,1018.0,-1895.1,-439.4,True,False,False,True
Utah,212,138.7,85.8,183.0,100.1,165.1,-73.3,-126.2,-29.0,-111.9,-46.9,False,True,False,True
Vermont,56,122.0,53.6,59.0,72.8,101.6,66.0,-2.4,3.0,16.8,45.6,True,True,True,True
Virginia,1962,2739.9,1195.9,1226.0,1451.4,1975.8,777.9,-766.1,-736.0,-510.6,13.8,True,True,True,True
Washington,1424,1671.9,1159.3,1287.0,1313.6,1319.1,247.9,-264.7,-137.0,-110.4,-104.9,False,True,True,True
West Virginia,96,186.0,113.9,52.0,77.1,186.9,90.0,17.9,-44.0,-18.9,90.9,True,True,True,False
Wisconsin,847,999.4,703.3,635.0,697.6,618.7,198.4,-97.7,-166.0,-103.4,-182.3,True,True,True,True
Wyoming,21,7.0,6.0,7.0,12.2,27.6,-14.0,-15.0,-14.0,-8.8,6.6,False,False,True,True
US,135359,193863.3,131384.3,104674.0,113167.5,142218.6,61460.3,-1018.7,-27729.0,-19235.5,9815.6,True,True,True,True
