,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,2996,3376.7,2399.5,2669.8,2583.0,2703.6,,3046.5,2593.0,2685.1,2486.7,3659.6,380.7,-596.5,-326.2,-413.0,-292.4,,50.5,-403.0,-310.9,-509.3,663.6,False,True,False,True,,True,False,True,False,False
Hawaii,19,17.0,17.8,17.5,,18.7,,17.0,107.0,18.6,17.8,19.6,-2.0,-1.2,-1.5,,-0.3,,-2.0,88.0,-0.4,-1.2,0.6,True,True,,True,,False,False,True,True,True
Idaho,102,99.6,100.4,96.8,85.0,116.9,,86.0,344.0,92.4,85.4,94.7,-2.4,-1.6,-5.2,-17.0,14.9,,-16.0,242.0,-9.6,-16.6,-7.3,True,False,False,False,,False,False,False,False,False
Illinois,7369,8517.7,6502.5,6335.2,7648.0,6802.3,8276.0,9813.5,7268.0,8008.4,6515.0,7551.1,1148.7,-866.5,-1033.8,279.0,-566.7,907.0,2444.5,-101.0,639.4,-854.0,182.1,True,True,True,True,True,False,True,True,True,True
Indiana,2756,3059.4,2416.8,2330.4,2827.0,2876.9,3729.0,3028.0,2564.0,2636.2,2487.9,3250.1,303.4,-339.2,-425.6,71.0,120.9,973.0,272.0,-192.0,-119.8,-268.1,494.1,False,False,True,True,False,True,True,True,True,False
Iowa,748,997.7,678.8,982.3,697.0,907.3,,1090.0,1316.0,796.8,605.6,1201.0,249.7,-69.2,234.3,-51.0,159.3,,342.0,568.0,48.8,-142.4,453.0,True,True,True,True,,False,False,True,True,False
Kansas,295,273.6,272.9,226.6,308.0,239.8,,258.0,253.0,291.6,230.0,286.1,-21.4,-22.1,-68.4,13.0,-55.2,,-37.0,-42.0,-3.4,-65.0,-8.9,False,False,True,False,,False,False,True,False,True
Kentucky,622,665.3,485.4,531.8,504.0,583.1,680.0,573.0,522.0,736.7,589.4,659.3,43.3,-136.6,-90.2,-118.0,-38.9,58.0,-49.0,-100.0,114.7,-32.6,37.3,False,False,False,True,False,False,False,False,True,True
Louisiana,3403,3376.7,3043.1,2941.2,3088.0,3530.9,,3375.0,3014.0,3218.5,1911.4,3461.1,-26.3,-359.9,-461.8,-315.0,127.9,,-28.0,-389.0,-184.5,-1491.6,58.1,False,False,False,False,,False,False,False,False,False
Maine,112,153.4,109.8,150.9,166.0,118.6,,90.0,2186.0,101.0,152.2,111.8,41.4,-2.2,38.9,54.0,6.6,,-22.0,2074.0,-11.0,40.2,-0.2,True,True,False,True,,True,False,True,True,True
Maryland,3310,4025.6,3182.3,2865.8,3680.0,3583.2,,3578.0,3973.0,4018.5,3333.6,4099.0,715.6,-127.7,-444.2,370.0,273.2,,268.0,663.0,708.5,23.6,789.0,True,True,True,True,,True,True,True,True,False
Massachusetts,8310,9622.3,7548.2,8752.3,8619.0,8163.0,,8601.0,7354.0,8524.8,7258.5,8336.7,1312.3,-761.8,442.3,309.0,-147.0,,291.0,-956.0,214.8,-1051.5,26.7,True,True,True,True,,True,True,True,True,True
Michigan,6313,7031.4,5853.6,5945.3,6054.0,6845.8,6757.5,5804.0,5945.0,6275.6,5253.1,6283.0,958.4,-219.4,-127.7,-19.0,772.8,684.5,-269.0,-128.0,202.6,-819.9,210.0,True,True,True,True,True,True,True,True,True,True
Minnesota,1537,2057.4,1644.4,1633.6,2762.0,1758.1,2765.5,1792.0,1409.0,1715.7,1370.2,2187.9,520.4,107.4,96.6,1225.0,221.1,1228.5,255.0,-128.0,178.7,-166.8,650.9,True,True,False,True,False,True,True,True,True,False
Mississippi,1230,1372.4,864.9,939.5,861.0,1282.6,,1616.5,1070.0,1049.3,1166.7,1574.9,142.4,-365.1,-290.5,-369.0,52.6,,386.5,-160.0,-180.7,-63.3,344.9,False,False,False,True,,False,False,False,True,False
Missouri,1091,1303.1,810.5,968.4,1052.0,1114.1,,1291.5,1276.0,1291.2,966.9,1447.8,250.1,-242.5,-84.6,-1.0,61.1,,238.5,223.0,238.2,-86.1,394.8,True,True,True,True,,True,True,True,True,False
Montana,29,22.9,18.1,16.0,17.0,28.8,,16.0,36.0,20.1,15.2,19.8,-6.1,-10.9,-13.0,-12.0,-0.2,,-13.0,7.0,-8.9,-13.8,-9.2,False,False,False,True,,False,False,False,False,False
Nebraska,285,304.7,300.0,396.7,354.0,265.8,,328.0,246.0,303.0,190.0,387.2,19.7,15.0,111.7,69.0,-19.2,,43.0,-39.0,18.0,-95.0,102.2,True,False,False,True,,False,False,True,False,False
Nevada,592,633.7,473.2,658.8,615.0,549.3,,580.0,522.0,565.8,520.3,599.6,41.7,-118.8,66.8,23.0,-42.7,,-12.0,-70.0,-26.2,-71.7,7.6,False,False,True,False,,True,False,True,False,True
New Hampshire,391,455.9,260.0,343.0,278.0,429.4,,406.0,405.0,402.8,347.4,527.5,64.9,-131.0,-48.0,-113.0,38.4,,15.0,14.0,11.8,-43.6,136.5,False,True,False,True,,True,True,True,True,False
New Jersey,15525,14978.0,12413.1,12560.8,13368.0,14127.2,,14011.5,13179.0,13703.6,11611.0,13581.2,1273.0,-1291.9,-1144.2,-337.0,422.2,,306.5,-526.0,-1.4,-2094.0,-123.8,False,True,True,True,,True,True,True,False,True
New Mexico,543,584.4,406.2,535.6,451.0,512.5,,581.5,567.0,555.5,428.0,610.0,41.4,-136.8,-7.4,-92.0,-30.5,,38.5,24.0,12.5,-115.0,67.0,False,True,False,True,,True,True,True,False,False
New York,32343,33550.1,31567.5,31265.7,32854.0,32394.9,,29516.5,29687.0,31179.8,28801.7,31738.2,1912.1,-70.5,-372.3,1216.0,756.9,,-2121.5,-1951.0,-458.2,-2836.3,100.2,True,True,True,True,,False,False,True,False,True
North Carolina,1513,1833.1,1315.3,1421.9,1250.0,1846.8,,1686.0,1148.0,1621.2,2077.0,1797.5,320.1,-197.7,-91.1,-263.0,333.8,,173.0,-365.0,108.2,564.0,284.5,True,True,True,False,,True,False,True,False,True
North Dakota,87,107.9,87.2,88.7,194.0,76.5,,91.0,1261.0,84.5,86.2,132.4,20.9,0.2,1.7,107.0,-10.5,,4.0,1174.0,-2.5,-0.8,45.4,True,True,False,True,,True,False,True,True,False
Ohio,3036,3244.4,2538.3,3104.6,2826.0,3035.4,5071.5,2749.0,3346.0,3036.1,2584.4,3676.8,208.4,-497.7,68.6,-210.0,-0.6,2035.5,-287.0,310.0,0.1,-451.6,640.8,False,True,False,True,False,False,False,True,False,False
Oklahoma,421,468.7,375.0,360.5,356.0,372.5,,399.5,369.0,384.4,446.5,467.7,47.7,-46.0,-60.5,-65.0,-48.5,,-21.5,-52.0,-36.6,25.5,46.7,True,False,False,False,,True,False,True,True,True
Oregon,232,182.3,170.9,172.5,175.0,196.6,,192.0,163.0,199.5,208.0,184.2,-49.7,-61.1,-59.5,-57.0,-35.4,,-40.0,-69.0,-32.5,-24.0,-47.8,False,False,False,True,,True,False,True,True,True
Pennsylvania,6897,8009.1,6065.2,6372.7,5929.0,7000.9,,7787.5,6716.0,7427.2,6015.0,7321.0,1112.1,-831.8,-524.3,-968.0,103.9,,890.5,-181.0,530.2,-882.0,424.0,True,True,True,True,,True,True,True,True,True
Rhode Island,976,1362.3,758.7,1118.0,953.0,965.1,,1346.5,,936.5,633.8,1197.3,386.3,-217.3,142.0,-23.0,-10.9,,370.5,,-39.5,-342.2,221.3,True,True,True,True,,True,,True,True,True
South Carolina,951,839.6,583.5,677.5,602.0,914.5,,714.0,703.0,753.9,799.0,985.2,-111.4,-367.5,-273.5,-349.0,-36.5,,-237.0,-248.0,-197.1,-152.0,34.2,False,False,False,True,,False,False,False,False,True
South Dakota,109,132.3,95.8,72.0,93.0,84.9,,144.0,82.0,85.5,74.9,144.4,23.3,-13.2,-37.0,-16.0,-24.1,,35.0,-27.0,-23.5,-34.1,35.4,True,False,True,False,,False,False,False,False,False
Tennessee,738,528.0,540.2,647.0,583.0,480.2,,520.0,452.0,457.1,466.5,611.2,-210.0,-197.8,-91.0,-155.0,-257.8,,-218.0,-286.0,-280.9,-271.5,-126.8,True,True,True,False,,False,False,False,False,True
Texas,3138,2536.0,2330.6,1985.6,2390.0,2836.0,,2856.0,2314.0,2626.9,2723.6,3182.0,-602.0,-807.4,-1152.4,-748.0,-302.0,,-282.0,-824.0,-511.1,-414.4,44.0,False,False,False,True,,True,False,True,True,True
Utah,212,206.7,214.5,201.3,174.0,225.1,,244.0,172.0,205.6,160.1,258.4,-5.3,2.5,-10.7,-38.0,13.1,,32.0,-40.0,-6.4,-51.9,46.4,True,False,False,False,,False,False,False,False,False
Vermont,56,60.9,56.8,56.5,55.0,60.4,,56.0,174.0,65.7,54.3,60.0,4.9,0.8,0.5,-1.0,4.4,,0.0,118.0,9.7,-1.7,4.0,True,True,True,True,,True,False,False,True,True
Virginia,1962,2569.9,1824.4,2407.7,2069.0,2143.1,,2040.0,1953.0,2344.0,2432.4,2445.0,607.9,-137.6,445.7,107.0,181.1,,78.0,-9.0,382.0,470.4,483.0,True,True,True,True,,True,True,True,True,True
Washington,1424,1451.9,1251.1,1188.2,1305.0,1452.5,,1250.0,,1265.1,1267.3,1346.1,27.9,-172.9,-235.8,-119.0,28.5,,-174.0,,-158.9,-156.7,-77.9,False,False,False,False,,False,,False,False,False
West Virginia,96,92.6,97.2,104.8,78.0,120.1,,87.0,79.0,121.2,111.7,101.1,-3.4,1.2,8.8,-18.0,24.1,,-9.0,-17.0,25.2,15.7,5.1,True,False,False,False,,False,False,False,False,False
Wisconsin,821,1072.3,795.0,772.7,917.0,817.3,1502.5,808.0,749.0,825.1,1382.4,987.2,251.3,-26.0,-48.3,96.0,-3.7,681.5,-13.0,-72.0,4.1,561.4,166.2,True,True,True,True,False,True,True,True,False,True
Wyoming,21,39.4,20.3,35.3,17.0,22.8,,16.0,,17.7,16.4,38.1,18.4,-0.7,14.3,-4.0,1.8,,-5.0,,-3.3,-4.6,17.1,True,True,True,True,,True,,True,True,True
US,134777,143401.3,118087.0,128590.2,128684.0,129243.5,,134396.0,125974.0,125102.5,119073.0,139527.1,11427.3,-13887.0,-3383.8,-3290.0,-2730.5,,2422.0,-6000.0,-6871.5,-12901.0,7553.1,False,True,True,True,,True,True,True,False,True
