,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,74,55.0,49.2,,49.0,45.0,,,,,,56.1,,50.0,,52.3,43.7,,42.7,58.1,65.0,14.0,,34.2,,47.9,,,46.0,89.5,-19.0,-24.8,,-25.0,-29.0,,,,,,-17.9,,-24.0,,-21.7,-30.3,,-31.3,-15.9,-9.0,-60.0,,-39.8,,-26.1,,,-28.0,15.5,False,,False,False,,,,,,True,,False,,False,False,,False,True,True,False,,False,,False,,,False,True
01023,10,14.0,13.8,,14.0,6.0,,,,,,27.5,,16.0,,11.0,5.8,,9.9,15.0,7.0,9.0,,64.9,,13.6,,,10.0,7.4,4.0,3.8,,4.0,-4.0,,,,,,17.5,,6.0,,1.0,-4.2,,-0.1,5.0,-3.0,-1.0,,54.9,,3.6,,,0.0,-2.6,True,,False,False,,,,,,False,,False,,True,False,,True,False,True,True,,False,,True,,,True,True
01025,71,52.0,48.9,,48.0,34.0,,,,,,46.1,,43.0,,39.4,15.3,,48.4,51.2,55.0,0.0,,75.3,,51.7,,,35.0,34.7,-19.0,-22.1,,-23.0,-37.0,,,,,,-24.9,,-28.0,,-31.6,-55.7,,-22.6,-19.8,-16.0,-71.0,,4.3,,-19.3,,,-36.0,-36.3,False,,False,False,,,,,,False,,False,,False,False,,False,False,True,False,,True,,False,,,False,False
01027,37,23.0,31.5,,19.0,36.0,,,,,,25.1,,13.0,,17.7,13.3,,10.5,21.6,26.0,1.0,,11.4,,19.0,,,18.0,44.7,-14.0,-5.5,,-18.0,-1.0,,,,,,-11.9,,-24.0,,-19.3,-23.6,,-26.5,-15.4,-11.0,-36.0,,-25.6,,-18.0,,,-19.0,7.7,True,,False,True,,,,,,True,,False,,False,False,,False,False,True,False,,False,,False,,,False,True
01029,39,44.0,44.3,,34.0,36.0,,,,,,25.9,,18.0,,59.7,12.0,,21.1,34.5,58.0,5.0,,22.7,,37.1,,,54.0,26.4,5.0,5.3,,-5.0,-3.0,,,,,,-13.1,,-21.0,,20.7,-27.0,,-17.9,-4.5,19.0,-34.0,,-16.3,,-1.9,,,15.0,-12.6,False,,False,True,,,,,,False,,False,,False,False,,False,True,False,False,,False,,True,,,False,False
01031,75,104.0,83.7,,80.0,96.0,,,,,,76.3,,50.0,,68.2,73.0,,80.0,72.1,123.0,47.0,,106.3,,95.2,,,120.0,61.2,29.0,8.7,,5.0,21.0,,,,,,1.3,,-25.0,,-6.8,-2.0,,5.0,-2.9,48.0,-28.0,,31.3,,20.2,,,45.0,-13.8,True,,True,True,,,,,,True,,True,,True,True,,True,True,False,True,,False,,True,,,False,True
01033,86,76.0,78.3,,67.0,77.0,,,,,,60.6,,99.0,,57.2,36.7,,52.7,67.2,72.0,85.0,,58.0,,78.9,,,71.0,45.1,-10.0,-7.7,,-19.0,-9.0,,,,,,-25.4,,13.0,,-28.8,-49.3,,-33.3,-18.8,-14.0,-1.0,,-28.0,,-7.1,,,-15.0,-40.9,True,,False,True,,,,,,False,,False,,False,False,,False,False,False,True,,False,,True,,,False,False
01035,9,5.0,14.1,,4.0,0.0,,,,,,23.7,,10.0,,3.9,5.7,,0.2,3.9,5.0,0.0,,1.5,,4.8,,,2.0,20.0,-4.0,5.1,,-5.0,-9.0,,,,,,14.7,,1.0,,-5.1,-3.3,,-8.8,-5.1,-4.0,-9.0,,-7.5,,-4.2,,,-7.0,11.0,False,,False,False,,,,,,False,,True,,False,True,,False,False,False,False,,False,,False,,,False,False
01037,9,8.0,13.3,,5.0,0.0,,,,,,19.7,,6.0,,5.1,5.3,,2.1,4.9,7.0,6.0,,6.8,,8.1,,,6.0,5.5,-1.0,4.3,,-4.0,-9.0,,,,,,10.7,,-3.0,,-3.9,-3.7,,-6.9,-4.1,-2.0,-3.0,,-2.2,,-0.9,,,-3.0,-3.5,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,False,,True,,,False,False
01039,89,76.0,80.6,,49.0,54.0,,,,,,54.3,,49.0,,56.1,39.4,,45.6,47.6,94.0,12.0,,19.3,,63.3,,,44.0,42.8,-13.0,-8.4,,-40.0,-35.0,,,,,,-34.7,,-40.0,,-32.9,-49.6,,-43.4,-41.4,5.0,-77.0,,-69.7,,-25.7,,,-45.0,-46.2,True,,False,False,,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,,,False,False
01041,21,9.0,6.0,,8.0,5.0,,,,,,25.0,,13.0,,8.0,11.4,,2.0,7.7,7.0,1.0,,11.7,,11.9,,,5.0,21.6,-12.0,-15.0,,-13.0,-16.0,,,,,,4.0,,-8.0,,-13.0,-9.6,,-19.0,-13.3,-14.0,-20.0,,-9.3,,-9.1,,,-16.0,0.6,False,,False,False,,,,,,True,,True,,False,True,,False,False,False,False,,True,,True,,,False,True
01043,95,47.0,50.9,,47.0,47.0,,,,,,101.5,,127.0,,35.2,43.5,,35.4,51.9,43.0,35.0,,37.5,,44.3,,,25.0,100.9,-48.0,-44.1,,-48.0,-48.0,,,,,,6.5,,32.0,,-59.8,-51.5,,-59.6,-43.1,-52.0,-60.0,,-57.5,,-50.7,,,-70.0,5.9,True,,False,False,,,,,,True,,True,,False,False,,False,True,False,False,,False,,False,,,False,True
01045,44,118.0,116.7,,57.0,89.0,,,,,,59.9,,42.0,,57.1,53.9,,85.8,56.0,129.0,103.0,,18.4,,109.9,,,150.0,51.2,74.0,72.7,,13.0,45.0,,,,,,15.9,,-2.0,,13.1,9.9,,41.8,12.0,85.0,59.0,,-25.6,,65.9,,,106.0,7.2,True,,True,True,,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01047,27,16.0,53.8,,16.0,21.0,,,,,,76.3,,45.0,,14.3,13.8,,5.2,17.8,,0.0,,14.4,,14.1,,,10.0,44.6,-11.0,26.8,,-11.0,-6.0,,,,,,49.3,,18.0,,-12.7,-13.2,,-21.8,-9.2,,-27.0,,-12.6,,-12.9,,,-17.0,17.6,False,,False,True,,,,,,False,,False,,False,False,,False,True,,False,,False,,False,,,False,False
01049,234,145.0,126.7,,141.0,164.0,,,,,,102.7,,108.0,,96.9,52.6,,205.6,174.4,157.0,159.0,,542.5,,141.4,,,145.0,44.6,-89.0,-107.3,,-93.0,-70.0,,,,,,-131.3,,-126.0,,-137.1,-181.4,,-28.4,-59.6,-77.0,-75.0,,308.5,,-92.6,,,-89.0,-189.4,False,,False,True,,,,,,False,,False,,False,False,,True,True,True,True,,False,,False,,,False,False
01051,129,150.0,139.6,,111.0,165.0,,,,,,92.3,,66.0,,132.7,52.9,,98.5,110.7,152.0,98.0,,69.5,,138.6,,,108.0,55.5,21.0,10.6,,-18.0,36.0,,,,,,-36.7,,-63.0,,3.7,-76.1,,-30.5,-18.3,23.0,-31.0,,-59.5,,9.6,,,-21.0,-73.5,True,,True,False,,,,,,False,,False,,True,False,,False,True,False,False,,False,,True,,,False,False
01053,38,42.0,45.1,,34.0,2.0,,,,,,58.3,,61.0,,27.6,27.6,,20.7,26.4,51.0,4.0,,34.5,,33.9,,,22.0,66.3,4.0,7.1,,-4.0,-36.0,,,,,,20.3,,23.0,,-10.4,-10.4,,-17.3,-11.6,13.0,-34.0,,-3.5,,-4.1,,,-16.0,28.3,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,True,,False,,,False,False
01055,132,179.0,166.4,,153.0,209.0,,,,,,136.2,,149.0,,169.8,126.0,,138.5,128.2,175.0,262.0,,142.1,,160.6,,,186.0,153.1,47.0,34.4,,21.0,77.0,,,,,,4.2,,17.0,,37.8,-6.0,,6.5,-3.8,43.0,130.0,,10.1,,28.6,,,54.0,21.1,True,,True,False,,,,,,True,,True,,True,True,,True,True,True,False,,True,,True,,,False,True
01057,26,19.0,18.6,,19.0,23.0,,,,,,25.8,,22.0,,19.3,14.7,,17.8,26.5,19.0,5.0,,19.0,,18.7,,,17.0,23.2,-7.0,-7.4,,-7.0,-3.0,,,,,,-0.2,,-4.0,,-6.7,-11.3,,-8.2,0.5,-7.0,-21.0,,-7.0,,-7.3,,,-9.0,-2.8,False,,False,True,,,,,,True,,True,,True,False,,False,True,False,False,,False,,False,,,False,True
01059,52,65.0,65.7,,48.0,42.0,,,,,,76.9,,70.0,,47.7,28.1,,36.0,49.1,64.0,59.0,,44.1,,61.1,,,63.0,38.0,13.0,13.7,,-4.0,-10.0,,,,,,24.9,,18.0,,-4.3,-23.9,,-16.0,-2.9,12.0,7.0,,-7.9,,9.1,,,11.0,-14.0,False,,True,True,,,,,,False,,False,,True,False,,False,True,True,True,,True,,True,,,True,False
01061,61,105.0,95.8,,54.0,116.0,,,,,,36.7,,27.0,,54.5,43.8,,66.3,49.6,117.0,45.0,,24.9,,93.4,,,115.0,31.8,44.0,34.8,,-7.0,55.0,,,,,,-24.3,,-34.0,,-6.5,-17.2,,5.3,-11.4,56.0,-16.0,,-36.1,,32.4,,,54.0,-29.2,True,,True,False,,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01063,17,4.0,4.7,,4.0,0.0,,,,,,21.9,,7.0,,4.8,3.7,,1.4,2.9,6.0,7.0,,6.6,,3.8,,,2.0,3.8,-13.0,-12.3,,-13.0,-17.0,,,,,,4.9,,-10.0,,-12.2,-13.3,,-15.6,-14.1,-11.0,-10.0,,-10.4,,-13.2,,,-15.0,-13.2,True,,False,False,,,,,,True,,True,,True,False,,False,False,True,True,,True,,False,,,False,False
01065,30,30.0,31.6,,16.0,7.0,,,,,,29.6,,23.0,,26.5,10.1,,6.4,15.9,27.0,23.0,,15.7,,28.1,,,20.0,7.4,0.0,1.6,,-14.0,-23.0,,,,,,-0.4,,-7.0,,-3.5,-19.9,,-23.6,-14.1,-3.0,-7.0,,-14.3,,-1.9,,,-10.0,-22.6,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
01067,30,52.0,57.6,,30.0,21.0,,,,,,24.2,,11.0,,25.4,21.0,,45.9,40.7,59.0,17.0,,30.4,,49.5,,,56.0,21.5,22.0,27.6,,0.0,-9.0,,,,,,-5.8,,-19.0,,-4.6,-9.0,,15.9,10.7,29.0,-13.0,,0.4,,19.5,,,26.0,-8.5,False,,True,True,,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01069,152,428.0,341.5,,165.0,569.0,,,,,,133.3,,95.0,,115.7,172.3,,338.4,165.1,469.0,213.0,,79.7,,402.4,,,544.0,142.8,276.0,189.5,,13.0,417.0,,,,,,-18.7,,-57.0,,-36.3,20.3,,186.4,13.1,317.0,61.0,,-72.3,,250.4,,,392.0,-9.2,True,,True,False,,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01071,132,95.0,96.7,,87.0,81.0,,,,,,63.1,,90.0,,86.8,42.4,,103.7,105.9,109.0,130.0,,52.9,,83.9,,,93.0,55.0,-37.0,-35.3,,-45.0,-51.0,,,,,,-68.9,,-42.0,,-45.2,-89.6,,-28.3,-26.1,-23.0,-2.0,,-79.1,,-48.1,,,-39.0,-77.0,True,,False,False,,,,,,False,,False,,False,False,,True,True,True,True,,False,,False,,,False,False
01073,791,908.0,834.3,857.5,833.0,676.0,,,,,,688.0,,728.0,,839.2,586.0,,845.8,698.4,806.0,835.0,,932.8,,829.3,589.0,,841.0,624.4,117.0,43.3,66.5,42.0,-115.0,,,,,,-103.0,,-63.0,,48.2,-205.0,,54.8,-92.6,15.0,44.0,,141.8,,38.3,-202.0,,50.0,-166.6,True,True,True,True,,,,,,True,,True,,True,False,,True,True,True,True,,False,,True,False,,True,False
01075,23,30.0,33.5,,20.0,7.0,,,,,,28.3,,20.0,,27.1,10.0,,12.0,24.7,26.0,42.0,,13.5,,28.3,,,22.0,11.8,7.0,10.5,,-3.0,-16.0,,,,,,5.3,,-3.0,,4.1,-13.0,,-11.0,1.7,3.0,19.0,,-9.5,,5.3,,,-1.0,-11.2,False,,True,False,,,,,,True,,True,,True,False,,False,True,True,False,,False,,True,,,True,False
01077,107,94.0,92.1,,84.0,136.0,,,,,,47.9,,150.0,,81.9,52.9,,60.8,76.3,99.0,85.0,,84.2,,92.0,,,88.0,55.6,-13.0,-14.9,,-23.0,29.0,,,,,,-59.1,,43.0,,-25.1,-54.1,,-46.2,-30.7,-8.0,-22.0,,-22.8,,-15.0,,,-19.0,-51.4,False,,False,False,,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,,,False,False
01079,65,32.0,32.0,,29.0,31.0,,,,,,44.7,,46.0,,31.0,19.8,,11.2,22.3,30.0,21.0,,15.1,,29.2,,,25.0,28.2,-33.0,-33.0,,-36.0,-34.0,,,,,,-20.3,,-19.0,,-34.0,-45.2,,-53.8,-42.7,-35.0,-44.0,,-49.9,,-35.8,,,-40.0,-36.8,False,,False,False,,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,False
01081,156,220.0,269.0,,205.0,321.0,,,,,,216.9,,154.0,,181.1,186.3,,177.7,212.4,180.0,0.0,,202.2,,204.6,125.0,,89.0,,64.0,113.0,,49.0,165.0,,,,,,60.9,,-2.0,,25.1,30.3,,21.7,56.4,24.0,-156.0,,46.2,,48.6,-31.0,,-67.0,,False,,True,False,,,,,,True,,True,,True,True,,True,True,True,False,,True,,True,True,,False,
01083,219,128.0,130.4,,128.0,133.0,,,,,,125.7,,135.0,,112.4,60.7,,134.7,141.8,140.0,79.0,,53.1,,106.9,,,109.0,78.3,-91.0,-88.6,,-91.0,-86.0,,,,,,-93.3,,-84.0,,-106.6,-158.3,,-84.3,-77.2,-79.0,-140.0,,-165.9,,-112.1,,,-110.0,-140.7,True,,False,True,,,,,,False,,True,,False,False,,True,True,True,False,,False,,False,,,False,False
01085,19,9.0,9.1,,6.0,0.0,,,,,,32.3,,7.0,,6.2,3.4,,0.7,3.7,7.0,9.0,,2.9,,9.3,,,0.0,11.6,-10.0,-9.9,,-13.0,-19.0,,,,,,13.3,,-12.0,,-12.8,-15.6,,-18.3,-15.3,-12.0,-10.0,,-16.1,,-9.7,,,-19.0,-7.4,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,False,,True,,,False,True
01087,20,11.0,0.0,,7.0,7.0,,,,,,30.9,,9.0,,7.5,7.9,,2.9,6.6,7.0,12.0,,1.0,,11.6,,,4.0,15.5,-9.0,-20.0,,-13.0,-13.0,,,,,,10.9,,-11.0,,-12.5,-12.1,,-17.1,-13.4,-13.0,-8.0,,-19.0,,-8.4,,,-16.0,-4.5,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,True,,False,,True,,,False,True
01089,379,301.0,241.2,295.6,283.0,266.0,,,,,,279.8,,334.0,,270.8,329.9,,296.5,299.0,295.0,246.0,,286.8,,246.4,217.0,,234.0,279.0,-78.0,-137.8,-83.4,-96.0,-113.0,,,,,,-99.2,,-45.0,,-108.2,-49.1,,-82.5,-80.0,-84.0,-133.0,,-92.2,,-132.6,-162.0,,-145.0,-100.0,False,False,False,False,,,,,,False,,True,,False,True,,False,False,False,False,,False,,False,False,,False,False
01091,139,21.0,19.2,,15.0,3.0,,,,,,37.4,,32.0,,15.4,10.4,,9.2,16.5,13.0,0.0,,12.4,,18.7,,,18.0,11.1,-118.0,-119.8,,-124.0,-136.0,,,,,,-101.6,,-107.0,,-123.6,-128.6,,-129.8,-122.5,-126.0,-139.0,,-126.6,,-120.3,,,-121.0,-127.9,False,,False,False,,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,False
01093,28,28.0,53.8,,27.0,28.0,,,,,,39.7,,40.0,,25.0,27.2,,17.4,25.1,21.0,46.0,,27.0,,24.9,,,15.0,49.4,0.0,25.8,,-1.0,0.0,,,,,,11.7,,12.0,,-3.0,-0.8,,-10.6,-2.9,-7.0,18.0,,-1.0,,-3.1,,,-13.0,21.4,False,,False,True,,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
01095,121,82.0,67.6,,68.0,125.0,,,,,,180.7,,140.0,,63.2,77.1,,46.4,60.7,92.0,0.0,,40.9,,73.0,,,57.0,89.9,-39.0,-53.4,,-53.0,4.0,,,,,,59.7,,19.0,,-57.8,-43.9,,-74.6,-60.3,-29.0,-121.0,,-80.1,,-48.0,,,-64.0,-31.1,False,,False,True,,,,,,False,,True,,False,False,,False,False,True,False,,False,,False,,,False,True
01097,236,319.0,320.4,257.4,300.0,359.0,,,,,,379.5,,509.0,,274.9,229.9,,272.7,281.2,300.0,340.0,,325.4,,327.4,234.0,,298.0,239.5,83.0,84.4,21.4,64.0,123.0,,,,,,143.5,,273.0,,38.9,-6.1,,36.7,45.2,64.0,104.0,,89.4,,91.4,-2.0,,62.0,3.5,False,True,True,False,,,,,,False,,False,,True,True,,True,True,True,False,,False,,False,True,,True,True
01099,12,6.0,9.5,,6.0,0.0,,,,,,30.7,,22.0,,6.1,7.0,,3.2,8.3,7.0,2.0,,7.0,,5.8,,,4.0,11.6,-6.0,-2.5,,-6.0,-12.0,,,,,,18.7,,10.0,,-5.9,-5.0,,-8.8,-3.7,-5.0,-10.0,,-5.0,,-6.2,,,-8.0,-0.4,True,,False,False,,,,,,False,,False,,True,True,,False,True,True,False,,True,,False,,,False,True
01101,252,154.0,105.5,151.1,136.0,136.0,,,,,,197.7,,218.0,,128.0,120.8,,125.1,141.9,143.0,178.0,,93.4,,154.4,112.0,,116.0,,-98.0,-146.5,-100.9,-116.0,-116.0,,,,,,-54.3,,-34.0,,-124.0,-131.2,,-126.9,-110.1,-109.0,-74.0,,-158.6,,-97.6,-140.0,,-136.0,,False,False,False,False,,,,,,True,,True,,False,False,,False,False,False,True,,False,,True,False,,False,
01103,212,128.0,147.7,,136.0,136.0,,,,,,145.6,,161.0,,103.2,54.7,,148.6,156.7,128.0,136.0,,197.6,,120.5,,,118.0,120.9,-84.0,-64.3,,-76.0,-76.0,,,,,,-66.4,,-51.0,,-108.8,-157.3,,-63.4,-55.3,-84.0,-76.0,,-14.4,,-91.5,,,-94.0,-91.1,True,,True,True,,,,,,True,,True,,False,False,,True,True,False,True,,True,,False,,,False,False
01105,28,2.0,6.2,,2.0,0.0,,,,,,30.2,,6.0,,2.2,3.1,,1.2,3.1,,0.0,,2.3,,2.3,,,1.0,21.3,-26.0,-21.8,,-26.0,-28.0,,,,,,2.2,,-22.0,,-25.8,-24.9,,-26.8,-24.9,,-28.0,,-25.7,,-25.7,,,-27.0,-6.7,True,,False,False,,,,,,True,,True,,True,True,,False,True,,False,,True,,True,,,False,True
