,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01067,250,189.0,,,,143.0,67.7,110.7,157.0,,,-61.0,,,,-107.0,-182.3,-139.3,-93.0,,,,,,False,False,False,False,,
01069,1593,1505.0,,,,925.0,1162.8,533.9,1117.3,,,-88.0,,,,-668.0,-430.2,-1059.1,-475.7,,,,,,False,False,False,False,,
01071,573,616.0,,,,448.0,288.4,194.4,467.4,,,43.0,,,,-125.0,-284.6,-378.6,-105.6,,,,,,False,False,False,False,,
01073,6474,4718.0,,,,5101.0,2793.6,867.0,3090.0,,,-1756.0,,,,-1373.0,-3680.4,-5607.0,-3384.0,,,,,,True,False,False,False,,
01075,149,140.0,,,,139.0,40.2,27.4,101.9,,,-9.0,,,,-10.0,-108.8,-121.6,-47.1,,,,,,False,False,False,False,,
01077,571,623.0,,,,836.0,292.4,309.0,606.3,,,52.0,,,,265.0,-278.6,-262.0,35.3,,,,,,False,False,False,True,,
01079,293,203.0,,,,419.0,145.3,144.2,210.1,,,-90.0,,,,126.0,-147.7,-148.8,-82.9,,,,,,False,False,False,True,,
01081,2953,1092.0,,,,1061.0,338.3,326.5,857.3,,,-1861.0,,,,-1892.0,-2614.7,-2626.5,-2095.7,,,,,,False,False,False,False,,
01083,910,630.0,,,,828.0,320.8,298.3,455.6,,,-280.0,,,,-82.0,-589.2,-611.7,-454.4,,,,,,True,False,False,False,,
01085,81,56.0,,,,108.0,2.5,228.6,42.4,,,-25.0,,,,27.0,-78.5,147.6,-38.6,,,,,,False,False,False,False,,
01087,114,196.0,,,,139.0,21.2,53.5,159.1,,,82.0,,,,25.0,-92.8,-60.5,45.1,,,,,,True,False,True,True,,
01089,2615,1519.0,,,,2625.0,914.5,579.5,1089.2,,,-1096.0,,,,10.0,-1700.5,-2035.5,-1525.8,,,,,,True,False,False,False,,
01091,263,161.0,,,,254.0,30.3,64.8,256.5,,,-102.0,,,,-9.0,-232.7,-198.2,-6.5,,,,,,True,False,False,True,,
01093,308,343.0,,,,327.0,214.9,59.0,183.7,,,35.0,,,,19.0,-93.1,-249.0,-124.3,,,,,,True,False,False,False,,
01095,668,1274.0,,,,1003.0,563.7,530.8,904.7,,,606.0,,,,335.0,-104.3,-137.2,236.7,,,,,,True,True,True,True,,
01097,2366,3843.0,,,,4069.0,2769.2,993.0,4014.6,,,1477.0,,,,1703.0,403.2,-1373.0,1648.6,,,,,,False,True,True,False,,
01099,88,98.0,,,,219.0,14.2,100.3,52.3,,,10.0,,,,131.0,-73.8,12.3,-35.7,,,,,,False,False,False,False,,
01101,1719,2296.0,,,,2001.0,613.9,508.9,554.9,,,577.0,,,,282.0,-1105.1,-1210.1,-1164.1,,,,,,True,False,False,False,,
01103,975,868.0,,,,1152.0,198.5,399.9,738.2,,,-107.0,,,,177.0,-776.5,-575.1,-236.8,,,,,,False,False,False,False,,
01105,65,91.0,,,,114.0,42.4,51.3,170.6,,,26.0,,,,49.0,-22.6,-13.7,105.6,,,,,,False,True,True,False,,
01107,201,406.0,,,,264.0,362.6,324.0,391.9,,,205.0,,,,63.0,161.6,123.0,190.9,,,,,,True,True,True,True,,
01109,386,364.0,,,,324.0,110.7,273.2,250.2,,,-22.0,,,,-62.0,-275.3,-112.8,-135.8,,,,,,False,False,False,False,,
01111,278,147.0,,,,186.0,54.1,42.9,204.1,,,-131.0,,,,-92.0,-223.9,-235.2,-73.9,,,,,,True,False,False,True,,
01113,322,616.0,,,,468.0,138.8,443.1,253.8,,,294.0,,,,146.0,-183.2,121.1,-68.2,,,,,,True,True,True,True,,
01115,904,833.0,,,,700.0,705.1,487.3,565.0,,,-71.0,,,,-204.0,-198.9,-416.7,-339.0,,,,,,False,False,False,False,,
01117,2747,1113.0,,,,1655.0,580.9,793.6,805.1,,,-1634.0,,,,-1092.0,-2166.1,-1953.4,-1941.9,,,,,,True,False,False,False,,
01119,58,119.0,,,,146.0,8.5,83.3,111.6,,,61.0,,,,88.0,-49.5,25.3,53.6,,,,,,False,True,True,True,,
01121,841,616.0,,,,760.0,193.9,162.0,470.4,,,-225.0,,,,-81.0,-647.1,-679.0,-370.6,,,,,,True,False,False,False,,
01123,216,210.0,,,,361.0,50.3,96.4,213.8,,,-6.0,,,,145.0,-165.7,-119.6,-2.2,,,,,,False,False,False,True,,
01125,4357,2506.0,,,,1916.0,1855.4,1546.6,2009.6,,,-1851.0,,,,-2441.0,-2501.6,-2810.4,-2347.4,,,,,,False,False,False,False,,
01127,724,749.0,,,,691.0,191.4,292.9,379.7,,,25.0,,,,-33.0,-532.6,-431.1,-344.3,,,,,,False,False,False,False,,
01129,103,133.0,,,,156.0,6.0,30.9,111.8,,,30.0,,,,53.0,-97.0,-72.1,8.8,,,,,,False,False,False,True,,
01131,58,140.0,,,,120.0,18.6,92.1,83.9,,,82.0,,,,62.0,-39.4,34.1,25.9,,,,,,True,True,True,True,,
01133,309,238.0,,,,294.0,50.3,76.1,174.9,,,-71.0,,,,-15.0,-258.7,-232.9,-134.1,,,,,,True,False,False,False,,
02013,11,0.0,,,,,,0.0,1.7,,,-11.0,,,,,,-11.0,-9.3,,,,,,,,True,True,,
02016,6,0.0,,,,,,1.0,1.7,,,-6.0,,,,,,-5.0,-4.3,,,,,,,,True,True,,
02020,2662,1799.0,,,,,805.4,1199.1,815.4,,,-863.0,,,,,-1856.6,-1462.9,-1846.6,,,,,,,False,False,False,,
02050,134,63.0,,,,,7.5,69.4,70.2,,,-71.0,,,,,-126.5,-64.6,-63.8,,,,,,,False,True,True,,
02060,0,0.0,,,,,1.3,2.4,,,,0.0,,,,,1.3,2.4,,,,,,,,False,False,,,
02068,12,0.0,,,,,,0.0,,,,-12.0,,,,,,-12.0,,,,,,,,,False,,,
02070,7,21.0,,,,,0.5,2.7,8.5,,,14.0,,,,,-6.5,-4.3,1.5,,,,,,,True,True,True,,
02090,976,476.0,,,,,433.4,252.2,385.5,,,-500.0,,,,,-542.6,-723.8,-590.5,,,,,,,False,False,False,,
02100,1,0.0,,,,,,0.7,3.7,,,-1.0,,,,,,-0.3,2.7,,,,,,,,True,False,,
02105,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02110,160,105.0,,,,,23.6,121.1,152.1,,,-55.0,,,,,-136.4,-38.9,-7.9,,,,,,,False,True,True,,
02122,110,329.0,,,,,25.1,185.9,297.8,,,219.0,,,,,-84.9,75.9,187.8,,,,,,,True,True,True,,
02130,16,21.0,,,,,3.8,18.9,30.4,,,5.0,,,,,-12.2,2.9,14.4,,,,,,,False,True,False,,
02150,28,28.0,,,,,0.8,21.9,21.5,,,0.0,,,,,-27.2,-6.1,-6.5,,,,,,,False,False,False,,
02158,9,0.0,,,,,,0.5,2.9,,,-9.0,,,,,,-8.6,-6.1,,,,,,,,True,True,,
02164,20,0.0,,,,,,0.0,,,,-20.0,,,,,,-20.0,,,,,,,,,False,,,
02170,306,364.0,,,,,289.5,297.5,264.1,,,58.0,,,,,-16.5,-8.5,-41.9,,,,,,,True,True,True,,
02180,73,42.0,,,,,3.2,42.3,,,,-31.0,,,,,-69.8,-30.7,,,,,,,,False,True,,,
02185,130,63.0,,,,,2.2,38.0,,,,-67.0,,,,,-127.8,-92.0,,,,,,,,False,False,,,
02188,107,126.0,,,,,8.0,45.3,,,,19.0,,,,,-99.0,-61.7,,,,,,,,False,False,,,
02195,1,0.0,,,,,0.3,0.0,0.6,,,-1.0,,,,,-0.7,-1.0,-0.4,,,,,,,True,True,True,,
02198,11,49.0,,,,,2.2,7.0,,,,38.0,,,,,-8.8,-4.0,,,,,,,,True,True,,,
02220,20,21.0,,,,,3.0,1.2,12.6,,,1.0,,,,,-17.0,-18.8,-7.4,,,,,,,False,False,False,,
02230,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02240,16,0.0,,,,,1.0,6.3,,,,-16.0,,,,,-15.0,-9.7,,,,,,,,True,True,,,
02261,18,70.0,,,,,7.9,29.8,,,,52.0,,,,,-10.1,11.8,,,,,,,,True,True,,,
02275,4,7.0,,,,,,1.3,13.2,,,3.0,,,,,,-2.7,9.2,,,,,,,,True,False,,
02282,18,0.0,,,,,,2.3,8.0,,,-18.0,,,,,,-15.7,-10.0,,,,,,,,True,True,,
02290,23,63.0,,,,,14.2,13.7,,,,40.0,,,,,-8.8,-9.3,,,,,,,,True,True,,,
04001,429,420.0,,,,203.0,60.4,72.6,374.4,,,-9.0,,,,-226.0,-368.6,-356.4,-54.6,,,,,,False,False,False,False,,
04003,167,217.0,,,,439.0,20.5,48.4,189.0,,,50.0,,,,272.0,-146.5,-118.6,22.0,,,,,,False,False,False,True,,
04005,1236,483.0,,,,391.0,179.8,107.0,508.5,,,-753.0,,,,-845.0,-1056.2,-1129.0,-727.5,,,,,,False,False,False,True,,
04007,455,532.0,,,,203.0,310.3,57.9,173.4,,,77.0,,,,-252.0,-144.7,-397.1,-281.6,,,,,,False,False,False,False,,
04009,275,476.0,,,,90.0,283.0,182.5,473.5,,,201.0,,,,-185.0,8.0,-92.5,198.5,,,,,,True,True,True,True,,
04011,7,0.0,,,,9.0,9.3,9.2,13.5,,,-7.0,,,,2.0,2.3,2.2,6.5,,,,,,True,True,True,True,,
04012,78,35.0,,,,128.0,0.8,9.6,33.7,,,-43.0,,,,50.0,-77.2,-68.4,-44.3,,,,,,False,False,False,False,,
04013,14162,19740.0,,,,16146.0,11203.8,2854.8,8383.7,,,5578.0,,,,1984.0,-2958.2,-11307.2,-5778.3,,,,,,True,True,False,False,,
04015,614,952.0,,,,1632.0,331.7,209.6,313.6,,,338.0,,,,1018.0,-282.3,-404.4,-300.4,,,,,,False,True,False,True,,
04017,400,343.0,,,,261.0,93.9,111.3,537.4,,,-57.0,,,,-139.0,-306.1,-288.7,137.4,,,,,,False,False,False,False,,
04019,5925,7931.0,,,,4179.0,2577.9,1071.1,4053.6,,,2006.0,,,,-1746.0,-3347.1,-4853.9,-1871.4,,,,,,True,False,False,True,,
04021,1856,3255.0,,,,2656.0,1678.0,1901.9,2116.8,,,1399.0,,,,800.0,-178.0,45.9,260.8,,,,,,True,True,True,True,,
04023,202,266.0,,,,773.0,45.2,23.4,182.9,,,64.0,,,,571.0,-156.8,-178.6,-19.1,,,,,,False,False,False,True,,
04025,458,707.0,,,,1359.0,358.7,144.2,335.4,,,249.0,,,,901.0,-99.3,-313.8,-122.6,,,,,,False,True,False,True,,
04027,943,1330.0,,,,888.0,205.8,131.2,981.5,,,387.0,,,,-55.0,-737.2,-811.8,38.5,,,,,,True,False,False,True,,
05001,288,119.0,,,,255.0,33.1,179.3,129.5,,,-169.0,,,,-33.0,-254.9,-108.7,-158.5,,,,,,True,False,True,True,,
05003,95,168.0,,,,272.0,42.1,115.9,283.1,,,73.0,,,,177.0,-52.9,20.9,188.1,,,,,,False,True,True,False,,
05005,352,182.0,,,,249.0,94.6,68.7,92.2,,,-170.0,,,,-103.0,-257.4,-283.3,-259.8,,,,,,True,False,False,False,,
05007,2104,1162.0,,,,2271.0,405.0,612.7,655.0,,,-942.0,,,,167.0,-1699.0,-1491.3,-1449.0,,,,,,True,False,False,False,,
05009,614,224.0,,,,238.0,192.7,0.3,336.7,,,-390.0,,,,-376.0,-421.3,-613.7,-277.3,,,,,,True,False,False,True,,
05011,97,231.0,,,,140.0,94.0,237.3,150.6,,,134.0,,,,43.0,-3.0,140.3,53.6,,,,,,True,True,False,True,,
05013,16,49.0,,,,57.0,,21.7,,,,33.0,,,,41.0,,5.7,,,,,,,False,,True,,,
05015,417,322.0,,,,165.0,74.3,72.8,278.9,,,-95.0,,,,-252.0,-342.7,-344.2,-138.1,,,,,,False,False,False,False,,
05017,83,112.0,,,,210.0,7.5,37.4,498.2,,,29.0,,,,127.0,-75.5,-45.6,415.2,,,,,,False,False,False,False,,
05019,216,140.0,,,,237.0,15.4,43.3,73.0,,,-76.0,,,,21.0,-200.6,-172.7,-143.0,,,,,,True,False,False,False,,
05021,214,119.0,,,,118.0,79.2,261.8,197.1,,,-95.0,,,,-96.0,-134.8,47.8,-16.9,,,,,,False,False,True,True,,
05023,148,161.0,,,,254.0,45.7,3.4,65.9,,,13.0,,,,106.0,-102.3,-144.6,-82.1,,,,,,False,False,False,False,,
05025,69,70.0,,,,62.0,6.1,11.7,197.6,,,1.0,,,,-7.0,-62.9,-57.3,128.6,,,,,,False,False,False,False,,
05027,337,224.0,,,,320.0,98.0,113.0,120.6,,,-113.0,,,,-17.0,-239.0,-224.1,-216.4,,,,,,True,False,False,False,,
05029,119,182.0,,,,286.0,93.8,82.6,110.3,,,63.0,,,,167.0,-25.2,-36.4,-8.7,,,,,,False,True,True,True,,
05031,1923,1414.0,,,,1099.0,440.6,255.5,892.8,,,-509.0,,,,-824.0,-1482.4,-1667.5,-1030.2,,,,,,False,False,False,False,,
05033,877,812.0,,,,711.0,299.9,477.6,719.4,,,-65.0,,,,-166.0,-577.1,-399.4,-157.6,,,,,,False,False,False,False,,
05035,496,721.0,,,,626.0,204.0,492.4,760.4,,,225.0,,,,130.0,-292.0,-3.6,264.4,,,,,,True,False,True,False,,
05037,262,112.0,,,,138.0,16.8,40.3,88.8,,,-150.0,,,,-124.0,-245.2,-221.7,-173.2,,,,,,True,False,False,False,,
05039,88,140.0,,,,91.0,84.0,0.0,109.1,,,52.0,,,,3.0,-4.0,-88.0,21.1,,,,,,True,True,False,True,,
05041,124,70.0,,,,182.0,26.9,32.3,67.9,,,-54.0,,,,58.0,-97.1,-91.7,-56.1,,,,,,False,False,False,False,,
05043,80,294.0,,,,265.0,94.6,35.0,148.7,,,214.0,,,,185.0,14.6,-45.0,68.7,,,,,,True,True,True,True,,
05045,1415,770.0,,,,1077.0,574.9,540.6,574.3,,,-645.0,,,,-338.0,-840.1,-874.4,-840.7,,,,,,True,False,False,False,,
05047,244,70.0,,,,169.0,15.7,38.6,155.0,,,-174.0,,,,-75.0,-228.3,-205.4,-89.0,,,,,,True,False,False,True,,
05049,165,56.0,,,,60.0,37.8,30.5,35.4,,,-109.0,,,,-105.0,-127.2,-134.5,-129.6,,,,,,True,False,False,False,,
05051,805,833.0,,,,1221.0,663.5,363.0,794.3,,,28.0,,,,416.0,-141.5,-442.0,-10.7,,,,,,False,False,False,True,,
05053,141,112.0,,,,182.0,46.2,96.1,53.5,,,-29.0,,,,41.0,-94.8,-44.9,-87.5,,,,,,False,False,False,False,,
05055,503,301.0,,,,401.0,180.3,193.7,241.6,,,-202.0,,,,-102.0,-322.7,-309.3,-261.4,,,,,,True,False,False,False,,
05057,147,266.0,,,,302.0,211.0,161.2,419.1,,,119.0,,,,155.0,64.0,14.2,272.1,,,,,,False,True,True,False,,
05059,367,392.0,,,,510.0,100.0,186.5,125.7,,,25.0,,,,143.0,-267.0,-180.5,-241.3,,,,,,False,False,False,False,,
05061,127,154.0,,,,153.0,21.5,54.2,44.7,,,27.0,,,,26.0,-105.5,-72.8,-82.3,,,,,,True,False,False,False,,
05063,620,504.0,,,,454.0,212.7,40.3,671.5,,,-116.0,,,,-166.0,-407.3,-579.7,51.5,,,,,,False,False,False,True,,
05065,269,112.0,,,,77.0,31.3,52.0,136.2,,,-157.0,,,,-192.0,-237.7,-217.0,-132.8,,,,,,False,False,False,True,,
05067,331,329.0,,,,223.0,918.4,0.0,359.8,,,-2.0,,,,-108.0,587.4,-331.0,28.8,,,,,,False,False,False,False,,
05069,1848,1477.0,,,,1102.0,1423.4,167.6,1347.8,,,-371.0,,,,-746.0,-424.6,-1680.4,-500.2,,,,,,False,False,False,False,,
05071,175,329.0,,,,339.0,52.5,166.8,187.1,,,154.0,,,,164.0,-122.5,-8.2,12.1,,,,,,False,True,True,True,,
05073,70,42.0,,,,63.0,24.8,23.6,29.0,,,-28.0,,,,-7.0,-45.2,-46.4,-41.0,,,,,,True,False,False,False,,
05075,345,70.0,,,,142.0,8.1,9.8,78.7,,,-275.0,,,,-203.0,-336.9,-335.2,-266.3,,,,,,True,False,False,True,,
05077,100,630.0,,,,219.0,5.9,465.7,671.7,,,530.0,,,,119.0,-94.1,365.7,571.7,,,,,,True,True,True,False,,
05079,767,588.0,,,,301.0,29.5,218.4,491.4,,,-179.0,,,,-466.0,-737.5,-548.6,-275.6,,,,,,False,False,False,False,,
05081,139,273.0,,,,132.0,202.1,97.9,615.3,,,134.0,,,,-7.0,63.1,-41.1,476.3,,,,,,True,True,True,False,,
05083,148,91.0,,,,268.0,21.7,218.8,541.3,,,-57.0,,,,120.0,-126.3,70.8,393.3,,,,,,False,False,False,False,,
05085,757,546.0,,,,638.0,319.7,370.5,591.2,,,-211.0,,,,-119.0,-437.3,-386.5,-165.8,,,,,,True,False,False,True,,
05087,107,63.0,,,,112.0,4.6,0.0,142.1,,,-44.0,,,,5.0,-102.4,-107.0,35.1,,,,,,True,False,False,True,,
05089,74,56.0,,,,85.0,24.4,21.6,27.3,,,-18.0,,,,11.0,-49.6,-52.4,-46.7,,,,,,True,False,False,False,,
05091,464,210.0,,,,502.0,90.5,70.1,114.2,,,-254.0,,,,38.0,-373.5,-393.9,-349.8,,,,,,True,False,False,False,,
05093,600,812.0,,,,602.0,705.7,306.3,800.6,,,212.0,,,,2.0,105.7,-293.7,200.6,,,,,,True,True,False,True,,
05095,90,112.0,,,,118.0,74.7,51.7,60.2,,,22.0,,,,28.0,-15.3,-38.3,-29.8,,,,,,False,True,False,False,,
05097,117,105.0,,,,70.0,15.7,17.7,,,,-12.0,,,,-47.0,-101.3,-99.3,,,,,,,False,False,False,,,
05099,92,63.0,,,,117.0,6.6,47.7,55.3,,,-29.0,,,,25.0,-85.4,-44.3,-36.7,,,,,,True,False,False,False,,
05101,163,7.0,,,,67.0,0.0,3.6,,,,-156.0,,,,-96.0,-163.0,-159.4,,,,,,,True,False,False,,,
05103,165,112.0,,,,335.0,24.5,27.7,128.6,,,-53.0,,,,170.0,-140.5,-137.3,-36.4,,,,,,False,False,False,True,,
05105,58,28.0,,,,83.0,43.2,0.3,12.8,,,-30.0,,,,25.0,-14.8,-57.7,-45.2,,,,,,True,True,False,False,,
05107,239,196.0,,,,388.0,51.0,124.9,191.1,,,-43.0,,,,149.0,-188.0,-114.1,-47.9,,,,,,False,False,False,False,,
05109,93,112.0,,,,94.0,14.2,20.8,186.6,,,19.0,,,,1.0,-78.8,-72.2,93.6,,,,,,True,False,False,False,,
05111,392,434.0,,,,278.0,116.7,265.0,685.2,,,42.0,,,,-114.0,-275.3,-127.0,293.2,,,,,,False,False,False,False,,
05113,105,287.0,,,,200.0,116.8,68.6,197.0,,,182.0,,,,95.0,11.8,-36.4,92.0,,,,,,True,True,True,True,,
05115,803,1078.0,,,,600.0,399.3,467.0,847.9,,,275.0,,,,-203.0,-403.7,-336.0,44.9,,,,,,True,False,False,True,,
05117,63,42.0,,,,42.0,2.5,22.2,240.3,,,-21.0,,,,-21.0,-60.5,-40.8,177.3,,,,,,False,False,False,False,,
05119,3854,3339.0,,,,3527.0,2272.4,1841.6,1655.4,,,-515.0,,,,-327.0,-1581.6,-2012.4,-2198.6,,,,,,True,False,False,False,,
05121,234,231.0,,,,143.0,49.1,68.0,233.1,,,-3.0,,,,-91.0,-184.9,-166.0,-0.9,,,,,,False,False,False,True,,
05123,344,189.0,,,,566.0,40.3,53.5,65.7,,,-155.0,,,,222.0,-303.7,-290.5,-278.3,,,,,,False,False,False,False,,
05125,1032,896.0,,,,1246.0,283.0,230.8,705.5,,,-136.0,,,,214.0,-749.0,-801.2,-326.5,,,,,,False,False,False,False,,
05127,44,49.0,,,,93.0,88.6,17.4,40.4,,,5.0,,,,49.0,44.6,-26.6,-3.6,,,,,,False,False,False,True,,
05129,106,168.0,,,,66.0,11.5,13.3,108.5,,,62.0,,,,-40.0,-94.5,-92.7,2.5,,,,,,True,False,False,True,,
05131,1588,1855.0,,,,1825.0,797.8,719.9,1194.8,,,267.0,,,,237.0,-790.2,-868.1,-393.2,,,,,,True,False,False,False,,
05133,112,427.0,,,,354.0,74.1,258.4,328.3,,,315.0,,,,242.0,-37.9,146.4,216.3,,,,,,True,True,True,True,,
05135,147,35.0,,,,102.0,10.9,50.4,115.8,,,-112.0,,,,-45.0,-136.1,-96.6,-31.2,,,,,,True,False,True,True,,
05137,230,469.0,,,,81.0,320.4,66.5,219.2,,,239.0,,,,-149.0,90.4,-163.5,-10.8,,,,,,True,True,True,True,,
05139,383,497.0,,,,568.0,192.9,271.8,457.0,,,114.0,,,,185.0,-190.1,-111.2,74.0,,,,,,False,False,True,True,,
05141,110,147.0,,,,152.0,22.0,9.9,53.4,,,37.0,,,,42.0,-88.0,-100.1,-56.6,,,,,,False,False,False,False,,
05143,3756,1379.0,,,,2290.0,264.5,452.2,628.4,,,-2377.0,,,,-1466.0,-3491.5,-3303.8,-3127.6,,,,,,True,False,False,False,,
05145,646,413.0,,,,789.0,213.3,292.9,837.1,,,-233.0,,,,143.0,-432.7,-353.1,191.1,,,,,,True,False,False,True,,
05147,45,14.0,,,,90.0,15.8,8.6,,,,-31.0,,,,45.0,-29.2,-36.4,,,,,,,False,True,False,,,
05149,186,154.0,,,,276.0,18.6,12.9,538.3,,,-32.0,,,,90.0,-167.4,-173.1,352.3,,,,,,False,False,False,False,,
