,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,25248,36348.0,36281.5,30172.0,29290.0,,30264.9,24500.0,45704.6,,37913.0,36396.4,35856.7,19366.1,28382.4,25275.6,33296.0,38963.0,,17699.7,30056.2,37508.2,28911.8,28132.0,11100.0,11033.5,4924.0,4042.0,,5016.9,-748.0,20456.6,,12665.0,11148.4,10608.7,-5881.9,3134.4,27.6,8048.0,13715.0,,-7548.3,4808.2,12260.2,3663.8,2884.0,True,True,True,,True,True,False,,False,False,True,True,True,True,True,False,,True,True,False,True,True
Hawaii,2045,2214.0,2486.6,1832.0,1051.0,,1891.0,1913.0,2226.4,,,1615.2,2295.5,3283.3,2844.6,1647.9,1452.0,1157.0,,845.1,2597.6,1886.8,1491.1,1420.0,169.0,441.6,-213.0,-994.0,,-154.0,-132.0,181.4,,,-429.8,250.5,1238.3,799.6,-397.1,-593.0,-888.0,,-1199.8,552.6,-158.2,-553.9,-625.0,False,False,False,,True,True,False,,,False,False,False,False,False,False,False,,False,False,True,False,False
Idaho,10454,6240.0,6132.8,5625.0,5603.0,,5488.5,4109.0,15875.3,,5996.0,5960.6,8200.5,5007.5,4080.1,4597.3,6881.0,9349.0,,4368.0,4829.5,5554.7,7041.8,5537.0,-4214.0,-4321.2,-4829.0,-4851.0,,-4965.5,-6345.0,5421.3,,-4458.0,-4493.4,-2253.5,-5446.5,-6373.9,-5856.7,-3573.0,-1105.0,,-6086.0,-5624.5,-4899.3,-3412.2,-4917.0,False,False,False,,False,False,False,,False,False,True,False,False,False,True,True,,False,False,False,True,False
Illinois,44410,39126.0,39620.5,34224.0,49924.0,,33905.7,10309.0,50191.2,,33850.0,41750.0,36559.7,30901.1,33336.5,28894.6,33748.7,37594.0,,28307.9,37017.3,33040.3,37226.4,32421.0,-5284.0,-4789.5,-10186.0,5514.0,,-10504.3,-34101.0,5781.2,,-10560.0,-2660.0,-7850.3,-13508.9,-11073.5,-15515.4,-10661.3,-6816.0,,-16102.1,-7392.7,-11369.7,-7183.6,-11989.0,True,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,False,False
Indiana,22652,18594.0,18322.1,17087.0,20478.0,,17183.0,14109.0,21235.0,,12486.0,18927.1,21795.9,16612.9,20685.4,13637.9,15071.8,20080.0,,12164.3,16977.1,17388.3,17981.5,16998.0,-4058.0,-4329.9,-5565.0,-2174.0,,-5469.0,-8543.0,-1417.0,,-10166.0,-3724.9,-856.1,-6039.1,-1966.6,-9014.1,-7580.2,-2572.0,,-10487.7,-5674.9,-5263.7,-4670.5,-5654.0,False,False,True,,False,False,True,,False,True,True,False,True,False,False,True,,False,False,False,False,False
Iowa,19238,16797.0,15347.3,15214.0,19181.0,,14022.0,15411.0,16708.3,,15406.0,15599.7,19220.3,9384.8,20216.4,13657.9,14227.5,20951.0,,13082.7,14598.1,12160.6,21175.2,12731.0,-2441.0,-3890.7,-4024.0,-57.0,,-5216.0,-3827.0,-2529.7,,-3832.0,-3638.3,-17.7,-9853.2,978.4,-5580.1,-5010.5,1713.0,,-6155.3,-4639.9,-7077.4,1937.2,-6507.0,False,False,True,,False,False,False,,False,False,True,False,True,False,False,True,,False,False,False,True,False
Kansas,12553,11484.0,11204.3,10740.0,12593.0,,9345.8,10905.0,13119.6,,10173.0,9314.0,15986.6,8024.6,12784.3,7202.6,10107.7,12216.0,,4491.3,11937.6,10450.7,9219.5,9336.0,-1069.0,-1348.7,-1813.0,40.0,,-3207.2,-1648.0,566.6,,-2380.0,-3239.0,3433.6,-4528.4,231.3,-5350.4,-2445.3,-337.0,,-8061.7,-615.4,-2102.3,-3333.5,-3217.0,False,False,True,,False,False,True,,False,False,False,False,True,False,False,True,,False,True,False,False,False
Kentucky,18339,14073.0,14127.6,13231.0,13983.0,,13027.6,12990.0,39931.5,,16614.0,14197.4,17266.2,12073.4,14383.1,10543.4,13198.9,17428.0,,9633.6,13068.3,10594.7,13952.5,13148.0,-4266.0,-4211.4,-5108.0,-4356.0,,-5311.4,-5349.0,21592.5,,-1725.0,-4141.6,-1072.8,-6265.6,-3955.9,-7795.6,-5140.1,-911.0,,-8705.4,-5270.7,-7744.3,-4386.5,-5191.0,True,False,False,,False,False,False,,True,True,True,False,True,False,False,True,,False,False,False,False,False
Louisiana,10595,12327.0,12855.2,11043.0,13558.0,,10164.1,7946.0,28935.0,,18844.0,9042.8,11025.2,7223.8,9759.0,9536.0,10437.4,10928.0,,6935.9,12017.5,16868.8,8045.0,9759.0,1732.0,2260.2,448.0,2963.0,,-430.9,-2649.0,18340.0,,8249.0,-1552.2,430.2,-3371.2,-836.0,-1059.0,-157.6,333.0,,-3659.1,1422.5,6273.8,-2550.0,-836.0,False,True,False,,True,False,False,,False,True,True,False,True,True,True,True,,False,True,False,False,True
Maine,661,600.0,590.4,606.0,776.0,,519.3,215.0,790.0,,1426.0,674.0,1172.5,941.9,665.1,515.4,723.8,793.0,,250.2,498.2,575.4,967.6,718.0,-61.0,-70.6,-55.0,115.0,,-141.7,-446.0,129.0,,765.0,13.0,511.5,280.9,4.1,-145.6,62.8,132.0,,-410.8,-162.8,-85.6,306.6,57.0,False,True,False,,False,False,False,,False,True,False,False,True,False,False,False,,False,False,False,False,True
Maryland,11051,12633.0,12554.0,11624.0,14118.0,,11332.5,670.0,12681.4,,12075.0,13259.0,11348.4,12974.2,13945.0,8596.1,11389.6,15494.0,,6588.4,11817.2,14214.6,11857.0,11303.0,1582.0,1503.0,573.0,3067.0,,281.5,-10381.0,1630.4,,1024.0,2208.0,297.4,1923.2,2894.0,-2454.9,338.6,4443.0,,-4462.6,766.2,3163.6,806.0,252.0,True,True,False,,True,False,False,,True,False,True,False,False,False,True,False,,False,True,False,True,True
Massachusetts,11159,7923.0,13684.1,7097.0,9539.0,,2194.8,98.0,8446.9,,5595.0,7543.9,5845.8,7246.3,9894.0,6757.7,9926.4,2391.0,,2846.7,7346.0,9069.2,15324.4,10387.0,-3236.0,2525.1,-4062.0,-1620.0,,-8964.2,-11061.0,-2712.1,,-5564.0,-3615.1,-5313.2,-3912.7,-1265.0,-4401.3,-1232.6,-8768.0,,-8312.3,-3813.0,-2089.8,4165.4,-772.0,True,False,True,,False,False,True,,False,False,False,False,True,False,True,False,,False,False,True,False,True
Michigan,21366,15087.0,14616.5,14678.0,17063.0,,14550.7,5863.0,23138.0,,20218.0,16606.2,15762.7,19139.7,17717.5,6999.9,12497.3,18126.0,,3348.3,11701.6,13575.9,10322.0,8697.0,-6279.0,-6749.5,-6688.0,-4303.0,,-6815.3,-15503.0,1772.0,,-1148.0,-4759.8,-5603.3,-2226.3,-3648.5,-14366.1,-8868.7,-3240.0,,-18017.7,-9664.4,-7790.1,-11044.0,-12669.0,False,False,True,,False,False,True,,True,True,True,True,True,False,False,True,,False,False,False,False,False
Minnesota,22107,15399.0,15999.2,15368.0,13944.0,,12543.5,3364.0,23223.1,,15815.0,15367.6,16009.2,10912.3,10353.4,18681.6,17063.5,16892.0,,13015.1,14910.5,13350.3,38492.6,21330.0,-6708.0,-6107.8,-6739.0,-8163.0,,-9563.5,-18743.0,1116.1,,-6292.0,-6739.4,-6097.8,-11194.7,-11753.6,-3425.4,-5043.5,-5215.0,,-9091.9,-7196.5,-8756.7,16385.6,-777.0,True,False,False,,False,False,True,,True,False,True,False,False,True,True,True,,False,False,False,False,True
Mississippi,11551,10401.0,9947.0,8171.0,6509.0,,7986.8,6062.0,11318.9,,10963.0,11112.5,9342.6,6281.7,7159.5,7983.4,8955.6,10563.0,,4518.2,8179.6,11833.8,8455.8,7557.0,-1150.0,-1604.0,-3380.0,-5042.0,,-3564.2,-5489.0,-232.1,,-588.0,-438.5,-2208.4,-5269.3,-4391.5,-3567.6,-2595.4,-988.0,,-7032.8,-3371.4,282.8,-3095.2,-3994.0,False,False,False,,False,False,True,,True,True,False,False,False,False,False,True,,False,False,True,False,False
Missouri,32818,31722.0,31694.0,27781.0,34102.0,,30336.0,23209.0,49028.3,,24082.0,30133.1,35677.2,18711.9,26526.9,23276.8,27289.1,39058.0,,19093.7,25547.2,32504.2,29141.8,27554.0,-1096.0,-1124.0,-5037.0,1284.0,,-2482.0,-9609.0,16210.3,,-8736.0,-2684.9,2859.2,-14106.1,-6291.1,-9541.2,-5528.9,6240.0,,-13724.3,-7270.8,-313.8,-3676.2,-5264.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,True,False,False
Montana,7954,3714.0,3579.0,3450.0,1434.0,,3019.9,1735.0,7222.4,,3941.0,3011.0,4451.8,2181.5,2754.0,3632.9,3950.1,5400.0,,2171.0,2603.2,3196.1,6914.4,4087.0,-4240.0,-4375.0,-4504.0,-6520.0,,-4934.1,-6219.0,-731.6,,-4013.0,-4943.0,-3502.2,-5772.5,-5200.0,-4321.1,-4003.9,-2554.0,,-5783.0,-5350.8,-4757.9,-1039.6,-3867.0,False,False,False,,False,False,True,,True,False,True,False,False,False,True,True,,False,False,False,True,True
Nebraska,11090,8031.0,8023.1,7500.0,8535.0,,7377.2,1341.0,7916.8,,5574.0,9590.2,10068.1,4538.7,8339.4,6264.7,8856.0,11996.0,,4186.2,7593.1,5673.0,9012.1,6434.0,-3059.0,-3066.9,-3590.0,-2555.0,,-3712.8,-9749.0,-3173.2,,-5516.0,-1499.8,-1021.9,-6551.3,-2750.6,-4825.3,-2234.0,906.0,,-6903.8,-3496.9,-5417.0,-2077.9,-4656.0,False,False,True,,False,False,False,,False,True,True,False,True,False,True,True,,False,False,False,True,False
Nevada,9980,6597.0,6596.5,5913.0,5672.0,,5842.4,4454.0,9695.5,,4069.0,5766.8,5969.8,3761.8,4654.2,5524.2,6746.2,5627.0,,5380.0,5866.5,8147.4,6452.8,6856.0,-3383.0,-3383.5,-4067.0,-4308.0,,-4137.6,-5526.0,-284.5,,-5911.0,-4213.2,-4010.2,-6218.2,-5325.8,-4455.8,-3233.8,-4353.0,,-4600.0,-4113.5,-1832.6,-3527.2,-3124.0,False,False,False,,False,False,True,,False,False,False,False,False,False,True,False,,False,False,True,False,True
New Hampshire,1172,804.0,806.0,797.0,1545.0,,817.9,2.0,798.5,,588.0,766.7,892.0,1021.4,1331.0,603.7,821.8,1317.0,,507.1,773.3,865.1,1238.8,787.0,-368.0,-366.0,-375.0,373.0,,-354.1,-1170.0,-373.5,,-584.0,-405.3,-280.0,-150.6,159.0,-568.3,-350.2,145.0,,-665.0,-398.7,-306.9,66.8,-385.0,True,False,False,,True,False,False,,False,False,True,True,True,False,True,True,,False,False,True,True,False
New Jersey,13568,8916.0,8933.1,9591.0,12049.0,,6252.2,70.0,12701.2,,8296.0,9243.8,6964.3,16140.1,9129.3,7031.6,11263.9,10032.0,,14984.7,10704.4,8514.3,12817.6,10439.0,-4652.0,-4634.9,-3977.0,-1519.0,,-7315.8,-13498.0,-866.8,,-5272.0,-4324.2,-6603.7,2572.1,-4438.7,-6536.4,-2304.1,-3536.0,,1416.7,-2863.6,-5053.7,-750.4,-3129.0,True,True,True,,False,False,True,,False,True,False,True,True,False,True,True,,True,True,False,True,True
New Mexico,5210,2553.0,2489.2,2292.0,1811.0,,2100.9,1021.0,2349.7,,3865.0,2471.6,2712.8,2857.5,1181.9,1980.5,2615.4,3108.0,,1150.5,2224.5,3293.5,2642.8,2478.0,-2657.0,-2720.8,-2918.0,-3399.0,,-3109.1,-4189.0,-2860.3,,-1345.0,-2738.4,-2497.2,-2352.5,-4028.1,-3229.5,-2594.6,-2102.0,,-4059.5,-2985.5,-1916.5,-2567.2,-2732.0,False,False,False,,False,False,False,,True,False,True,True,False,False,True,True,,False,False,True,True,False
New York,24105,16194.0,15480.9,15180.0,15927.0,,8238.2,24.0,28480.8,,8455.0,17193.8,14412.6,21135.1,14255.1,12560.5,18001.9,16132.0,,18570.0,14898.1,17797.7,15226.3,17337.0,-7911.0,-8624.1,-8925.0,-8178.0,,-15866.8,-24081.0,4375.8,,-15650.0,-6911.2,-9692.4,-2969.9,-9849.9,-11544.5,-6103.1,-7973.0,,-5535.0,-9206.9,-6307.3,-8878.7,-6768.0,False,False,False,,False,False,True,,False,True,False,True,False,False,True,False,,True,False,True,False,True
North Carolina,31486,25527.0,25729.1,24356.0,21850.0,,22859.0,35332.0,35401.8,,26777.0,26718.3,28453.9,22539.8,22218.8,21123.8,23467.7,25421.0,,17234.8,22164.6,27599.7,27594.5,21386.0,-5959.0,-5756.9,-7130.0,-9636.0,,-8627.0,3846.0,3915.8,,-4709.0,-4767.7,-3032.1,-8946.2,-9267.2,-10362.2,-8018.3,-6065.0,,-14251.2,-9321.4,-3886.3,-3891.5,-10100.0,True,False,False,,False,True,True,,True,True,True,False,False,False,False,False,,False,False,True,True,False
North Dakota,9020,7368.0,7372.5,6885.0,3930.0,,6904.5,21.0,9063.2,,6544.0,6638.9,7896.9,2164.2,10503.6,6649.1,6734.0,10403.0,,5053.4,5348.2,9395.8,8355.0,5766.0,-1652.0,-1647.5,-2135.0,-5090.0,,-2115.5,-8999.0,43.2,,-2476.0,-2381.1,-1123.1,-6855.8,1483.6,-2370.9,-2286.0,1383.0,,-3966.6,-3671.8,375.8,-665.0,-3254.0,True,False,False,,False,False,True,,False,False,True,False,True,False,False,True,,False,False,True,True,False
Ohio,23911,20937.0,21587.8,18854.0,19043.0,,20342.0,17757.0,29107.1,,17095.0,21431.8,24525.5,22356.7,19219.5,14129.1,18580.3,21745.0,,11038.0,17470.4,19995.4,17750.4,18347.0,-2974.0,-2323.2,-5057.0,-4868.0,,-3569.0,-6154.0,5196.1,,-6816.0,-2479.2,614.5,-1554.3,-4691.5,-9781.9,-5330.7,-2166.0,,-12873.0,-6440.6,-3915.6,-6160.6,-5564.0,True,False,False,,False,False,False,,False,True,True,True,False,False,False,True,,False,False,False,False,False
Oklahoma,22817,21435.0,21363.9,20662.0,21239.0,,18269.8,14921.0,33573.6,,16693.0,23649.7,27453.8,13143.3,20489.4,18438.0,22902.7,29964.0,,17301.6,14614.9,16371.9,27210.2,19705.0,-1382.0,-1453.1,-2155.0,-1578.0,,-4547.2,-7896.0,10756.6,,-6124.0,832.7,4636.8,-9673.7,-2327.6,-4379.0,85.7,7147.0,,-5515.4,-8202.1,-6445.1,4393.2,-3112.0,False,False,False,,False,False,False,,False,True,False,False,False,False,True,False,,False,False,False,False,False
Oregon,6325,3558.0,3541.7,3809.0,2640.0,,4194.4,3057.0,5462.3,,3984.0,4268.6,5485.6,6484.8,3437.7,4088.6,4511.4,3279.0,,2986.5,2590.3,4166.4,6592.8,4535.0,-2767.0,-2783.3,-2516.0,-3685.0,,-2130.6,-3268.0,-862.7,,-2341.0,-2056.4,-839.4,159.8,-2887.3,-2236.4,-1813.6,-3046.0,,-3338.5,-3734.7,-2158.6,267.8,-1790.0,False,True,False,,True,False,True,,True,True,True,True,False,True,True,False,,False,False,True,True,True
Pennsylvania,21561,16803.0,17024.0,16664.0,29423.0,,17285.7,1845.0,21428.5,,15381.0,17943.8,18433.6,19563.4,14369.9,11156.5,17151.0,20012.0,,9407.1,14095.2,16569.7,15802.2,16035.0,-4758.0,-4537.0,-4897.0,7862.0,,-4275.3,-19716.0,-132.5,,-6180.0,-3617.2,-3127.4,-1997.6,-7191.1,-10404.5,-4410.0,-1549.0,,-12153.9,-7465.8,-4991.3,-5758.8,-5526.0,True,False,False,,True,False,True,,False,True,True,True,False,False,True,True,,False,False,False,False,False
Rhode Island,2804,2145.0,2236.1,1825.0,1023.0,,1998.9,0.0,2343.0,,3973.0,2431.7,1868.2,2657.2,2686.0,1016.2,1939.1,1324.0,,426.1,2081.4,2530.0,1200.0,1559.0,-659.0,-567.9,-979.0,-1781.0,,-805.1,-2804.0,-461.0,,1169.0,-372.3,-935.8,-146.8,-118.0,-1787.8,-864.9,-1480.0,,-2377.9,-722.6,-274.0,-1604.0,-1245.0,True,False,False,,False,False,True,,False,True,False,True,True,False,False,False,,False,False,True,False,False
South Carolina,19381,21786.0,21545.9,17879.0,19892.0,,19621.0,8199.0,27528.1,,18835.0,18710.0,21870.8,5732.6,23169.2,11631.9,15510.3,27264.0,,4665.7,16457.6,21489.8,13978.7,16938.0,2405.0,2164.9,-1502.0,511.0,,240.0,-11182.0,8147.1,,-546.0,-671.0,2489.8,-13648.4,3788.2,-7749.1,-3870.7,7883.0,,-14715.3,-2923.4,2108.8,-5402.3,-2443.0,True,True,True,,True,False,False,,True,True,False,False,False,False,False,False,,False,False,True,False,False
South Dakota,9503,6021.0,6219.3,5428.0,4462.0,,5099.1,99.0,4387.6,,6161.0,6581.6,6776.7,1075.7,8202.2,5728.9,5498.8,7815.0,,4290.8,5105.3,4025.9,9000.8,5126.0,-3482.0,-3283.7,-4075.0,-5041.0,,-4403.9,-9404.0,-5115.4,,-3342.0,-2921.4,-2726.3,-8427.3,-1300.8,-3774.1,-4004.2,-1688.0,,-5212.2,-4397.7,-5477.1,-502.2,-4377.0,True,False,False,,False,False,False,,True,True,True,False,True,False,False,True,,False,False,False,True,False
Tennessee,31210,31644.0,31081.2,28373.0,30428.0,,26437.9,17301.0,59562.3,,27462.0,20590.9,41771.5,17547.7,18046.5,29343.5,31960.1,35357.0,,24051.1,22148.0,28435.8,31529.2,30040.0,434.0,-128.8,-2837.0,-782.0,,-4772.1,-13909.0,28352.3,,-3748.0,-10619.1,10561.5,-13662.3,-13163.5,-1866.5,750.1,4147.0,,-7158.9,-9062.0,-2774.2,319.2,-1170.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,True,False
Texas,107975,90945.0,92534.8,87122.0,105398.0,,63097.6,47978.0,125555.5,,98639.0,72707.4,99348.6,46050.1,62249.7,69677.1,87758.9,99691.0,,29281.0,78748.6,93921.9,93839.2,92888.0,-17030.0,-15440.2,-20853.0,-2577.0,,-44877.4,-59997.0,17580.5,,-9336.0,-35267.6,-8626.4,-61924.9,-45725.3,-38297.9,-20216.1,-8284.0,,-78694.0,-29226.4,-14053.1,-14135.8,-15087.0,True,False,True,,False,False,False,,True,False,True,False,False,False,False,True,,False,False,True,True,True
Utah,21792,16815.0,16868.8,16155.0,25835.0,,14606.4,4862.0,24793.3,,12003.0,15336.9,14268.3,4914.5,17116.2,16497.7,20408.4,28227.0,,19378.1,11241.8,14295.8,36197.5,19628.0,-4977.0,-4923.2,-5637.0,4043.0,,-7185.6,-16930.0,3001.3,,-9789.0,-6455.1,-7523.7,-16877.5,-4675.8,-5294.3,-1383.6,6435.0,,-2413.9,-10550.2,-7496.2,14405.5,-2164.0,True,False,True,,False,False,True,,False,False,False,False,True,False,True,False,,True,False,False,False,True
