,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,16396,17704.0,16956.3,16419.0,18272.0,,18022.0,15064.0,23291.7,,18793.0,23417.0,16972.4,16418.9,14762.6,17553.5,11815.7,15099.5,19485.0,,11607.9,8249.8,14294.8,19380.2,15265.3,16190.0,1308.0,560.3,23.0,1876.0,,1626.0,-1332.0,6895.7,,2397.0,7021.0,576.4,22.9,-1633.4,1157.5,-4580.3,-1296.5,3089.0,,-4788.1,-8146.2,-2101.2,2984.2,-1130.7,-206.0,True,True,False,,False,False,False,,False,False,True,True,False,True,False,True,False,,False,False,False,False,True,True
Hawaii,1360,1384.0,1456.1,1361.0,1933.0,,1362.9,968.0,1873.4,,,,834.5,1333.7,2318.6,1470.1,1382.6,1414.2,1043.0,,773.0,607.3,1357.5,1087.4,1472.4,1196.0,24.0,96.1,1.0,573.0,,2.9,-392.0,513.4,,,,-525.5,-26.3,958.6,110.1,22.6,54.2,-317.0,,-587.0,-752.7,-2.5,-272.6,112.4,-164.0,False,True,False,,True,False,False,,,,False,False,False,False,True,False,False,,False,False,True,False,False,False
Idaho,7405,6098.0,6179.4,5212.0,6845.0,,4859.4,2894.0,8078.4,,6318.0,4316.0,6447.4,6888.6,4074.3,4654.8,4501.3,6231.1,7788.0,,2567.1,2511.0,4727.3,4911.2,6245.5,6026.0,-1307.0,-1225.6,-2193.0,-560.0,,-2545.6,-4511.0,673.4,,-1087.0,-3089.0,-957.6,-516.4,-3330.7,-2750.2,-2903.7,-1173.9,383.0,,-4837.9,-4894.0,-2677.7,-2493.8,-1159.5,-1379.0,True,False,True,,False,False,True,,True,False,True,True,False,False,False,True,True,,False,False,False,False,True,False
Illinois,30678,27464.0,27958.2,26089.0,31471.0,,23853.6,7006.0,33409.2,,28686.0,26690.0,30787.3,24792.0,24781.0,22676.3,22560.9,27650.3,31315.0,,20062.5,39104.2,28551.7,22070.3,28754.1,27234.0,-3214.0,-2719.8,-4589.0,793.0,,-6824.4,-23672.0,2731.2,,-1992.0,-3988.0,109.3,-5886.0,-5897.0,-8001.7,-8117.1,-3027.7,637.0,,-10615.5,8426.2,-2126.3,-8607.7,-1923.9,-3444.0,True,False,True,,False,False,True,,True,False,True,False,False,False,False,True,True,,False,False,True,False,True,False
Indiana,16862,11580.0,11676.2,11628.0,13472.0,,11233.4,9305.0,15269.0,,12574.0,7821.0,11798.1,9980.8,14287.9,13145.3,11730.6,12164.4,12947.0,,7917.1,18459.1,10156.1,11253.1,14484.5,11632.0,-5282.0,-5185.8,-5234.0,-3390.0,,-5628.6,-7557.0,-1593.0,,-4288.0,-9041.0,-5063.9,-6881.2,-2574.1,-3716.7,-5131.4,-4697.6,-3915.0,,-8945.0,1597.1,-6705.9,-5608.9,-2377.5,-5230.0,True,True,True,,False,False,True,,True,False,True,False,True,True,True,True,True,,False,True,False,False,True,True
Iowa,13134,12208.0,12053.2,11902.0,11140.0,,10768.3,9894.0,13358.5,,14514.0,13434.0,12673.0,13472.5,7290.5,13972.3,10451.1,12234.3,15018.0,,7501.5,5416.8,11601.2,11068.7,12509.4,10638.0,-926.0,-1080.8,-1232.0,-1994.0,,-2365.7,-3240.0,224.5,,1380.0,300.0,-461.0,338.5,-5843.5,838.3,-2682.9,-899.7,1884.0,,-5632.5,-7717.2,-1532.8,-2065.3,-624.6,-2496.0,False,False,False,,False,False,True,,False,True,True,True,False,True,False,True,False,,False,False,False,False,True,False
Kansas,9254,8334.0,8279.7,7340.0,5858.0,,7016.0,7340.0,6603.9,,8628.0,8261.0,7037.8,10659.1,6579.0,8501.7,5379.6,7917.5,9741.0,,3023.4,9673.1,8366.1,7905.8,6712.8,8765.0,-920.0,-974.3,-1914.0,-3396.0,,-2238.0,-1914.0,-2650.1,,-626.0,-993.0,-2216.2,1405.1,-2675.0,-752.3,-3874.4,-1336.5,487.0,,-6230.6,419.1,-887.9,-1348.2,-2541.2,-489.0,False,False,False,,False,False,False,,True,False,False,False,False,True,False,False,True,,False,True,True,False,False,True
Kentucky,13409,9860.0,9825.8,9709.0,14699.0,,9020.0,8730.0,20954.2,,11212.0,11633.0,10988.1,10135.3,8639.1,9660.6,7727.6,9708.9,12399.0,,6368.6,11400.1,8842.8,9471.4,10761.3,10445.0,-3549.0,-3583.2,-3700.0,1290.0,,-4389.0,-4679.0,7545.2,,-2197.0,-1776.0,-2420.9,-3273.7,-4769.9,-3748.4,-5681.4,-3700.1,-1010.0,,-7040.4,-2008.9,-4566.2,-3937.6,-2647.7,-2964.0,False,False,True,,False,False,False,,True,True,True,True,False,False,False,False,True,,False,True,False,False,True,True
Louisiana,8254,7290.0,7298.2,6607.0,7158.0,,6285.1,4798.0,17640.9,,5702.0,10773.0,6550.3,6728.1,6045.6,6383.7,6247.7,6807.3,6388.0,,4366.9,0.0,5477.5,10401.6,5707.4,5267.0,-964.0,-955.8,-1647.0,-1096.0,,-1968.9,-3456.0,9386.9,,-2552.0,2519.0,-1703.7,-1525.9,-2208.4,-1870.3,-2006.3,-1446.7,-1866.0,,-3887.1,-8254.0,-2776.5,2147.6,-2546.6,-2987.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maine,437,448.0,454.1,440.0,610.0,,422.8,177.0,537.4,,413.0,370.0,494.1,513.5,752.2,468.1,319.1,419.9,446.0,,304.8,208.6,463.4,399.8,398.9,493.0,11.0,17.1,3.0,173.0,,-14.2,-260.0,100.4,,-24.0,-67.0,57.1,76.5,315.2,31.1,-117.9,-17.1,9.0,,-132.2,-228.4,26.4,-37.2,-38.1,56.0,False,True,False,,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
Maryland,7823,6456.0,6556.6,6384.0,5229.0,,6635.4,602.0,9304.4,,6562.0,7316.0,6692.1,5273.8,9897.6,8152.3,5522.4,6475.3,6716.0,,3947.8,9301.5,5203.5,8418.7,5729.6,5908.0,-1367.0,-1266.4,-1439.0,-2594.0,,-1187.6,-7221.0,1481.4,,-1261.0,-507.0,-1130.9,-2549.2,2074.6,329.3,-2300.6,-1347.7,-1107.0,,-3875.2,1478.5,-2619.5,595.7,-2093.4,-1915.0,True,False,False,,True,False,False,,True,True,True,False,False,True,False,True,True,,False,False,False,True,False,False
Massachusetts,8290,5738.0,5711.5,5756.0,6511.0,,5184.9,238.0,8078.7,,2935.0,4489.0,6969.7,4469.0,6494.1,5265.7,6444.6,7334.5,6879.0,,7231.7,4415.6,5875.2,4790.4,8119.2,6999.0,-2552.0,-2578.5,-2534.0,-1779.0,,-3105.1,-8052.0,-211.3,,-5355.0,-3801.0,-1320.3,-3821.0,-1795.9,-3024.3,-1845.4,-955.5,-1411.0,,-1058.3,-3874.4,-2414.8,-3499.6,-170.8,-1291.0,False,True,True,,False,False,True,,False,False,True,False,True,False,True,True,True,,True,False,True,False,True,True
Michigan,15080,12572.0,12817.5,11818.0,15948.0,,10951.5,1865.0,11711.1,,11672.0,14284.0,14305.9,12518.0,19007.1,11860.7,7039.1,10912.1,14102.0,,1753.2,17978.7,14172.4,8857.8,9373.0,11965.0,-2508.0,-2262.5,-3262.0,868.0,,-4128.5,-13215.0,-3368.9,,-3408.0,-796.0,-774.1,-2562.0,3927.1,-3219.3,-8040.9,-4167.9,-978.0,,-13326.8,2898.7,-907.6,-6222.2,-5707.0,-3115.0,True,False,True,,False,False,False,,False,True,True,False,False,False,False,False,True,,False,False,True,False,False,False
Minnesota,15169,13876.0,13766.4,13227.0,24476.0,,10076.0,2438.0,14214.3,,14662.0,16743.0,11301.7,11336.6,9104.8,10297.1,13808.4,15124.1,18143.0,,12463.3,13565.0,13017.9,10639.8,20764.0,15330.0,-1293.0,-1402.6,-1942.0,9307.0,,-5093.0,-12731.0,-954.7,,-507.0,1574.0,-3867.3,-3832.4,-6064.2,-4871.9,-1360.6,-44.9,2974.0,,-2705.7,-1604.0,-2151.1,-4529.2,5595.0,161.0,False,False,False,,False,False,True,,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,True
Mississippi,7961,7180.0,7134.3,6158.0,6025.0,,6045.9,3875.0,7124.1,,7902.0,6288.0,7050.1,6906.6,3793.8,4532.4,5448.8,6606.2,8484.0,,3584.2,40.0,6295.6,7920.7,6374.6,6557.0,-781.0,-826.7,-1803.0,-1936.0,,-1915.1,-4086.0,-836.9,,-59.0,-1673.0,-910.9,-1054.4,-4167.2,-3428.6,-2512.2,-1354.8,523.0,,-4376.8,-7921.0,-1665.4,-40.3,-1586.4,-1404.0,False,False,False,,False,False,False,,True,False,False,False,False,False,False,False,True,,False,False,False,True,False,False
Missouri,22176,21284.0,21553.5,19891.0,20879.0,,21120.4,16309.0,28318.1,,23415.0,17312.0,23269.8,20287.7,13967.2,18934.6,19878.7,20752.1,24979.0,,13765.1,61167.1,16817.4,20939.1,23461.1,18918.0,-892.0,-622.5,-2285.0,-1297.0,,-1055.6,-5867.0,6142.1,,1239.0,-4864.0,1093.8,-1888.3,-8208.8,-3241.4,-2297.3,-1423.9,2803.0,,-8410.9,38991.1,-5358.6,-1236.9,1285.1,-3258.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Montana,6210,3488.0,3493.5,3219.0,2155.0,,2819.0,1115.0,4270.3,,3524.0,3942.0,3320.8,4603.9,1546.1,2961.0,3407.6,3896.8,4979.0,,2607.1,4986.0,2601.8,3655.1,5602.6,4051.0,-2722.0,-2716.5,-2991.0,-4055.0,,-3391.0,-5095.0,-1939.7,,-2686.0,-2268.0,-2889.2,-1606.1,-4663.9,-3249.0,-2802.4,-2313.2,-1231.0,,-3602.9,-1224.0,-3608.2,-2554.9,-607.4,-2159.0,True,False,False,,False,False,True,,True,True,False,True,False,False,False,True,True,,False,True,False,True,True,True
Nebraska,8291,5598.0,5626.8,5603.0,11013.0,,5641.2,1228.0,6256.9,,5750.0,4593.0,6728.0,6080.2,4484.0,5735.4,5342.8,6796.9,7254.0,,3782.7,3877.2,4809.7,4252.0,6809.4,5239.0,-2693.0,-2664.2,-2688.0,2722.0,,-2649.8,-7063.0,-2034.1,,-2541.0,-3698.0,-1563.0,-2210.8,-3807.0,-2555.6,-2948.2,-1494.1,-1037.0,,-4508.3,-4413.8,-3481.3,-4039.0,-1481.6,-3052.0,True,True,False,,True,False,True,,True,False,True,True,False,True,False,True,True,,False,False,False,False,True,False
Nevada,7044,5872.0,5669.7,5064.0,8667.0,,4286.6,2608.0,5605.7,,6351.0,3472.0,5911.0,5063.8,3362.6,2845.7,5400.2,6362.4,8004.0,,3576.0,12030.4,4915.3,6409.5,7254.3,6149.0,-1172.0,-1374.3,-1980.0,1623.0,,-2757.4,-4436.0,-1438.3,,-693.0,-3572.0,-1133.0,-1980.2,-3681.4,-4198.3,-1643.8,-681.6,960.0,,-3468.0,4986.4,-2128.7,-634.5,210.3,-895.0,False,False,False,,False,False,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
New Hampshire,971,402.0,413.7,464.0,484.0,,479.6,1.0,657.4,,433.0,484.0,470.6,387.2,1028.2,848.3,429.9,517.8,512.0,,328.8,51.4,393.3,516.4,571.6,405.0,-569.0,-557.3,-507.0,-487.0,,-491.4,-970.0,-313.6,,-538.0,-487.0,-500.4,-583.8,57.2,-122.7,-541.1,-453.2,-459.0,,-642.2,-919.6,-577.7,-454.6,-399.4,-566.0,True,True,True,,True,False,True,,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True
New Jersey,10027,7082.0,7023.9,6950.0,15031.0,,5325.4,36.0,9382.7,,4257.0,6179.0,6475.0,5285.5,15650.5,6158.4,7080.8,9284.3,7426.0,,6777.9,1565.7,7160.2,6069.4,10026.2,8090.0,-2945.0,-3003.1,-3077.0,5004.0,,-4701.6,-9991.0,-644.3,,-5770.0,-3848.0,-3552.0,-4741.5,5623.5,-3868.6,-2946.2,-742.7,-2601.0,,-3249.1,-8461.3,-2866.8,-3957.6,-0.8,-1937.0,False,False,False,,False,False,True,,False,False,False,False,False,False,False,True,True,,False,False,True,False,True,True
New Mexico,4030,2360.0,2375.1,2367.0,2596.0,,1785.5,733.0,2155.0,,2410.0,3859.0,2281.5,2440.0,2570.3,2158.7,2369.8,2711.5,3354.0,,,8268.0,2026.2,2614.7,3934.8,2774.0,-1670.0,-1654.9,-1663.0,-1434.0,,-2244.5,-3297.0,-1875.0,,-1620.0,-171.0,-1748.5,-1590.0,-1459.7,-1871.3,-1660.2,-1318.5,-676.0,,,4238.0,-2003.8,-1415.3,-95.2,-1256.0,True,True,True,,False,False,False,,True,True,False,True,True,False,True,True,True,,,False,False,True,True,True
New York,18824,11444.0,11482.7,10265.0,12901.0,,7215.8,22.0,15803.2,,6028.0,5701.0,12542.2,9144.4,22656.6,9885.6,9786.3,12165.5,11327.0,,9053.2,7849.5,9048.8,10400.2,13503.6,12243.0,-7380.0,-7341.3,-8559.0,-5923.0,,-11608.2,-18802.0,-3020.8,,-12796.0,-13123.0,-6281.8,-9679.6,3832.6,-8938.4,-9037.7,-6658.5,-7497.0,,-9770.8,-10974.5,-9775.2,-8423.8,-5320.4,-6581.0,True,False,True,,False,False,True,,False,False,True,False,True,False,False,True,False,,False,False,False,False,True,True
North Carolina,21978,27626.0,27582.1,21927.0,21130.0,,19263.7,22808.0,29742.4,,28377.0,19064.0,19150.7,29095.3,17985.5,14950.4,19034.6,22562.3,36122.0,,13403.1,42619.5,22750.4,25038.2,48892.3,29729.0,5648.0,5604.1,-51.0,-848.0,,-2714.3,830.0,7764.4,,6399.0,-2914.0,-2827.3,7117.3,-3992.5,-7027.6,-2943.4,584.3,14144.0,,-8574.9,20641.5,772.4,3060.2,26914.3,7751.0,True,True,True,,True,True,False,,False,True,True,False,True,False,True,True,False,,False,False,True,True,False,False
North Dakota,6247,5546.0,5607.9,5317.0,4927.0,,4942.2,10.0,6154.6,,7233.0,5627.0,6582.3,6269.6,1884.8,7263.1,5223.5,5317.0,7299.0,,4160.3,4906.1,5046.0,6924.3,5726.9,4267.0,-701.0,-639.1,-930.0,-1320.0,,-1304.8,-6237.0,-92.4,,986.0,-620.0,335.3,22.6,-4362.2,1016.1,-1023.5,-930.0,1052.0,,-2086.7,-1340.9,-1201.0,677.3,-520.1,-1980.0,True,False,False,,False,False,True,,False,True,True,True,False,False,False,False,False,,False,False,False,True,True,False
Ohio,17449,12924.0,13044.5,12410.0,12686.0,,11887.3,11773.0,15876.0,,13391.0,10498.0,12078.1,11816.0,18388.4,12656.1,10985.1,13263.1,13326.0,,7648.8,8344.3,9747.1,12894.8,12851.2,11955.0,-4525.0,-4404.5,-5039.0,-4763.0,,-5561.7,-5676.0,-1573.0,,-4058.0,-6951.0,-5370.9,-5633.0,939.4,-4792.9,-6463.9,-4185.9,-4123.0,,-9800.2,-9104.7,-7701.9,-4554.2,-4597.8,-5494.0,True,False,False,,False,False,True,,True,False,False,False,True,False,False,True,True,,False,False,False,False,False,False
Oklahoma,15111,15412.0,15629.6,14145.0,16181.0,,14826.6,10828.0,17953.2,,16155.0,13086.0,17403.8,21136.7,10405.9,16144.3,11330.5,14173.8,19410.0,,9622.5,16201.7,11399.4,13813.9,12967.4,14317.0,301.0,518.6,-966.0,1070.0,,-284.4,-4283.0,2842.2,,1044.0,-2025.0,2292.8,6025.7,-4705.1,1033.3,-3780.5,-937.2,4299.0,,-5488.5,1090.7,-3711.6,-1297.1,-2143.6,-794.0,False,False,False,,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oregon,4343,3964.0,3972.3,3820.0,5637.0,,3241.4,2128.0,3690.1,,4052.0,3845.0,3628.9,4405.1,5624.4,2306.8,3379.8,4469.4,4926.0,,2837.4,8693.0,3144.0,3454.1,5305.0,4491.0,-379.0,-370.7,-523.0,1294.0,,-1101.6,-2215.0,-652.9,,-291.0,-498.0,-714.1,62.1,1281.4,-2036.2,-963.2,126.4,583.0,,-1505.6,4350.0,-1199.0,-888.9,962.0,148.0,True,False,False,,False,False,False,,True,False,False,True,False,False,False,True,False,,False,False,False,False,False,True
Pennsylvania,15864,11394.0,11510.9,10855.0,10346.0,,10546.4,2179.0,14143.0,,10371.0,9102.0,11967.9,10855.4,17405.1,9859.7,9653.2,12223.2,12634.0,,7295.3,29472.2,11168.0,10863.8,12338.3,10648.0,-4470.0,-4353.1,-5009.0,-5518.0,,-5317.6,-13685.0,-1721.0,,-5493.0,-6762.0,-3896.1,-5008.6,1541.1,-6004.3,-6210.8,-3640.8,-3230.0,,-8568.7,13608.2,-4696.0,-5000.2,-3525.7,-5216.0,True,False,False,,False,False,True,,False,False,True,False,True,False,False,True,True,,False,False,False,False,True,False
Rhode Island,2113,1122.0,1127.0,1093.0,1387.0,,1354.3,0.0,1185.8,,1087.0,3486.0,1489.1,1149.1,1539.0,1745.6,516.3,871.4,1531.0,,243.9,1941.1,1092.7,1277.9,884.5,703.0,-991.0,-986.0,-1020.0,-726.0,,-758.7,-2113.0,-927.2,,-1026.0,1373.0,-623.9,-963.9,-574.0,-367.4,-1596.7,-1241.6,-582.0,,-1869.1,-171.9,-1020.3,-835.1,-1228.5,-1410.0,True,False,True,,True,False,True,,False,False,True,True,True,True,False,False,True,,False,True,False,True,False,False
South Carolina,11348,16066.0,16229.6,13084.0,12438.0,,13183.7,6308.0,17675.6,,16676.0,12580.0,13341.2,16146.4,5051.9,16090.6,10147.3,13066.9,18549.0,,,17741.8,12676.2,15287.9,12845.9,13947.0,4718.0,4881.6,1736.0,1090.0,,1835.7,-5040.0,6327.6,,5328.0,1232.0,1993.2,4798.4,-6296.1,4742.6,-1200.7,1718.9,7201.0,,,6393.8,1328.2,3939.9,1497.9,2599.0,False,True,True,,True,False,False,,False,True,True,False,False,False,True,True,False,,,False,True,True,True,True
