,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,140,228.0,265.8,,187.0,387.0,,,,,260.5,,,321.0,,203.1,84.6,,100.0,147.5,,418.0,74.0,,114.3,,165.3,,,,,353.8,237.1,88.0,125.8,,47.0,247.0,,,,,120.5,,,181.0,,63.1,-55.4,,-40.0,7.5,,278.0,-66.0,,-25.7,,25.3,,,,,213.8,97.1,False,,True,False,,,,,False,,,False,,True,True,,True,True,,False,True,,True,,True,,,,,False,False
01023,25,6.0,6.4,,8.0,4.0,,,,,16.4,,,47.0,,11.3,8.9,,5.4,17.8,,,38.0,,17.6,,7.5,,,,,11.2,13.1,-19.0,-18.6,,-17.0,-21.0,,,,,-8.6,,,22.0,,-13.7,-16.1,,-19.6,-7.2,,,13.0,,-7.4,,-17.5,,,,,-13.8,-11.9,True,,True,False,,,,,True,,,False,,True,True,,False,True,,,True,,True,,True,,,,,True,True
01025,131,84.0,76.8,,70.0,56.0,,,,,91.8,,,145.0,,95.1,22.5,,36.2,63.1,,,141.0,,6.9,,82.8,,,,,57.8,3.3,-47.0,-54.2,,-61.0,-75.0,,,,,-39.2,,,14.0,,-35.9,-108.5,,-94.8,-67.9,,,10.0,,-124.1,,-48.2,,,,,-73.2,-127.7,False,,False,False,,,,,True,,,True,,True,False,,False,False,,,True,,False,,False,,,,,False,False
01027,64,98.0,95.2,,70.0,92.0,,,,,69.2,,,57.0,,96.9,24.6,,36.8,64.3,,154.0,1.0,,39.9,,76.6,,,,,107.0,61.3,34.0,31.2,,6.0,28.0,,,,,5.2,,,-7.0,,32.9,-39.4,,-27.2,0.3,,90.0,-63.0,,-24.1,,12.6,,,,,43.0,-2.7,True,,True,True,,,,,True,,,True,,True,False,,True,True,,False,False,,True,,True,,,,,False,True
01029,75,120.0,120.9,,84.0,97.0,,,,,66.6,,,77.0,,104.8,14.6,,66.8,78.7,,157.0,319.0,,28.0,,97.2,,,,,117.7,,45.0,45.9,,9.0,22.0,,,,,-8.4,,,2.0,,29.8,-60.4,,-8.2,3.7,,82.0,244.0,,-47.0,,22.2,,,,,42.7,,False,,True,True,,,,,True,,,True,,True,False,,True,True,,False,False,,False,,True,,,,,True,
01031,179,156.0,79.8,,133.0,218.0,,,,,195.1,,,284.0,,115.0,123.9,,93.8,119.9,,371.0,82.0,,167.0,,146.1,,,,,247.3,14.3,-23.0,-99.2,,-46.0,39.0,,,,,16.1,,,105.0,,-64.0,-55.1,,-85.2,-59.1,,192.0,-97.0,,-12.0,,-32.9,,,,,68.3,-164.7,False,,False,False,,,,,True,,,False,,False,False,,False,False,,False,False,,True,,False,,,,,False,False
01033,154,106.0,116.2,,100.0,234.0,,,,,116.9,,,247.0,,91.3,65.1,,77.3,131.1,,132.0,26.0,,89.6,,83.4,,,,,68.6,60.0,-48.0,-37.8,,-54.0,80.0,,,,,-37.1,,,93.0,,-62.7,-88.9,,-76.7,-22.9,,-22.0,-128.0,,-64.4,,-70.6,,,,,-85.4,-94.0,True,,False,False,,,,,True,,,False,,False,False,,False,True,,True,False,,False,,False,,,,,False,False
01035,14,24.0,41.7,,15.0,12.0,,,,,31.8,,,43.0,,30.4,12.7,,2.8,14.7,0.0,,63.0,,7.7,,17.1,,,,,30.6,23.0,10.0,27.7,,1.0,-2.0,,,,,17.8,,,29.0,,16.4,-1.3,,-11.2,0.7,-14.0,,49.0,,-6.3,,3.1,,,,,16.6,9.0,False,,True,True,,,,,False,,,False,,False,True,,False,True,False,,False,,True,,True,,,,,False,True
01037,16,20.0,29.3,,12.0,58.0,,,,,17.8,,,41.0,,13.0,11.5,,2.9,12.3,2.5,,1.0,,8.7,,14.9,,,,,15.5,58.4,4.0,13.3,,-4.0,42.0,,,,,1.8,,,25.0,,-3.0,-4.5,,-13.1,-3.7,-13.5,,-15.0,,-7.3,,-1.1,,,,,-0.5,42.4,False,,False,False,,,,,True,,,False,,True,False,,False,True,False,,False,,False,,True,,,,,True,False
01039,165,198.0,268.3,,96.0,120.0,,,,,201.7,,,213.0,,215.9,75.6,,58.5,85.1,0.3,,133.0,,43.5,,123.6,,,,,233.8,85.2,33.0,103.3,,-69.0,-45.0,,,,,36.7,,,48.0,,50.9,-89.4,,-106.5,-79.9,-164.7,,-32.0,,-121.5,,-41.4,,,,,68.8,-79.8,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,True,,False,,False,,,,,False,False
01041,28,30.0,12.8,,25.0,1.0,,,,,42.5,,,76.0,,35.4,22.4,,12.5,25.0,0.0,,30.0,,40.8,,45.4,,,,,51.0,112.1,2.0,-15.2,,-3.0,-27.0,,,,,14.5,,,48.0,,7.4,-5.6,,-15.5,-3.0,-28.0,,2.0,,12.8,,17.4,,,,,23.0,84.1,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,False
01043,158,138.0,246.0,,102.0,257.0,,,,,231.3,,,570.0,,110.7,101.2,,32.2,86.1,92.2,,32.0,,60.7,,107.5,,,,,307.3,174.0,-20.0,88.0,,-56.0,99.0,,,,,73.3,,,412.0,,-47.3,-56.8,,-125.8,-71.9,-65.8,,-126.0,,-97.3,,-50.5,,,,,149.3,16.0,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,True
01045,160,118.0,221.4,,82.0,231.0,,,,,175.1,,,212.0,,75.4,87.4,,59.4,82.1,0.5,,0.0,,62.2,,90.8,,,,,242.4,288.8,-42.0,61.4,,-78.0,71.0,,,,,15.1,,,52.0,,-84.6,-72.6,,-100.6,-77.9,-159.5,,-160.0,,-97.8,,-69.2,,,,,82.4,128.8,False,,False,False,,,,,True,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,False
01047,46,108.0,208.7,,79.0,111.0,,,,,147.0,,,193.0,,90.7,35.5,,15.8,54.6,0.9,,77.0,,28.6,,78.4,,,,,109.5,,62.0,162.7,,33.0,65.0,,,,,101.0,,,147.0,,44.7,-10.5,,-30.2,8.6,-45.1,,31.0,,-17.4,,32.4,,,,,63.5,,False,,True,False,,,,,False,,,False,,True,True,,True,True,True,,True,,True,,True,,,,,False,
01049,417,140.0,154.5,,121.0,296.0,,,,,164.8,,,460.0,,120.6,106.4,,83.7,134.8,9.6,305.0,21.0,,48.1,,114.7,,,,,145.6,346.0,-277.0,-262.5,,-296.0,-121.0,,,,,-252.2,,,43.0,,-296.4,-310.6,,-333.3,-282.2,-407.4,-112.0,-396.0,,-368.9,,-302.3,,,,,-271.4,-71.0,True,,False,True,,,,,True,,,True,,False,False,,False,False,False,True,False,,False,,False,,,,,True,True
01051,284,296.0,289.8,,227.0,286.0,,,,,292.2,,,339.0,,286.5,106.8,,119.8,158.4,10.4,579.0,168.0,,160.5,,238.6,,,,,362.4,,12.0,5.8,,-57.0,2.0,,,,,8.2,,,55.0,,2.5,-177.2,,-164.2,-125.6,-273.6,295.0,-116.0,,-123.5,,-45.4,,,,,78.4,,True,,False,True,,,,,True,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,
01053,83,102.0,139.5,,56.0,12.0,,,,,158.5,,,217.0,,106.8,52.5,,25.5,55.5,0.3,,153.0,,15.0,,71.0,,,,,194.0,250.7,19.0,56.5,,-27.0,-71.0,,,,,75.5,,,134.0,,23.8,-30.5,,-57.5,-27.5,-82.7,,70.0,,-68.0,,-12.0,,,,,111.0,167.7,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,True,,,,,False,False
01055,305,312.0,329.3,,237.0,438.0,,,,,408.9,,,531.0,,216.5,223.1,,237.4,272.8,14.1,695.0,14.0,,172.7,,214.0,,,,,507.9,489.2,7.0,24.3,,-68.0,133.0,,,,,103.9,,,226.0,,-88.5,-81.9,,-67.6,-32.2,-290.9,390.0,-291.0,,-132.3,,-91.0,,,,,202.9,184.2,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,False,False
01057,46,78.0,68.7,,67.0,53.0,,,,,51.6,,,73.0,,81.0,30.7,,49.3,68.9,0.4,118.0,63.0,,68.1,,66.1,,,,,91.1,,32.0,22.7,,21.0,7.0,,,,,5.6,,,27.0,,35.0,-15.3,,3.3,22.9,-45.6,72.0,17.0,,22.1,,20.1,,,,,45.1,,True,,True,True,,,,,True,,,True,,False,True,,True,True,False,False,True,,True,,True,,,,,False,
01059,117,60.0,82.5,,61.0,79.0,,,,,100.9,,,263.0,,58.8,51.7,,40.2,77.6,7.7,69.0,66.0,,89.4,,59.7,,,,,126.3,117.5,-57.0,-34.5,,-56.0,-38.0,,,,,-16.1,,,146.0,,-58.2,-65.3,,-76.8,-39.4,-109.3,-48.0,-51.0,,-27.6,,-57.3,,,,,9.3,0.5,True,,True,True,,,,,True,,,False,,False,False,,False,True,False,True,True,,True,,False,,,,,True,True
01061,159,124.0,123.4,,99.0,296.0,,,,,97.7,,,117.0,,101.3,79.0,,59.8,97.6,1.1,236.0,3.0,,94.1,,91.0,,,,,158.9,151.8,-35.0,-35.6,,-60.0,137.0,,,,,-61.3,,,-42.0,,-57.7,-80.0,,-99.2,-61.4,-157.9,77.0,-156.0,,-64.9,,-68.0,,,,,-0.1,-7.2,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,True,True
01063,22,6.0,9.9,,4.0,0.0,,,,,13.7,,,22.0,,12.2,6.7,,0.1,2.3,0.0,,0.0,,3.7,,5.2,,,,,12.1,42.4,-16.0,-12.1,,-18.0,-22.0,,,,,-8.3,,,0.0,,-9.8,-15.3,,-21.9,-19.7,-22.0,,-22.0,,-18.3,,-16.8,,,,,-9.9,20.4,True,,False,False,,,,,True,,,True,,True,True,,False,False,False,,False,,False,,False,,,,,True,False
01065,50,46.0,36.4,,35.0,16.0,,,,,32.7,,,102.0,,50.6,15.0,,27.8,48.2,1.1,,65.0,,30.0,,36.5,,,,,59.1,26.4,-4.0,-13.6,,-15.0,-34.0,,,,,-17.3,,,52.0,,0.6,-35.0,,-22.2,-1.8,-48.9,,15.0,,-20.0,,-13.5,,,,,9.1,-23.6,False,,False,False,,,,,False,,,False,,True,False,,False,True,False,,False,,False,,False,,,,,False,False
01067,94,76.0,84.7,,53.0,25.0,,,,,62.4,,,53.0,,59.9,30.7,,19.1,47.3,0.1,161.0,9.0,,59.8,,66.9,,,,,95.0,51.4,-18.0,-9.3,,-41.0,-69.0,,,,,-31.6,,,-41.0,,-34.1,-63.3,,-74.9,-46.7,-93.9,67.0,-85.0,,-34.2,,-27.1,,,,,1.0,-42.6,True,,False,False,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,,,,,True,False
01069,587,408.0,576.6,,256.0,530.0,,,,,639.9,,,425.0,,255.8,288.5,,223.3,250.7,12.7,,18.0,,143.0,,322.3,,,,,664.0,104.5,-179.0,-10.4,,-331.0,-57.0,,,,,52.9,,,-162.0,,-331.2,-298.5,,-363.7,-336.3,-574.3,,-569.0,,-444.0,,-264.7,,,,,77.0,-482.5,True,,False,True,,,,,True,,,True,,False,False,,False,False,False,,False,,False,,False,,,,,True,False
01071,243,162.0,154.4,,122.0,99.0,,,,,151.9,,,289.0,,126.8,73.5,,81.6,130.6,1.4,283.0,41.0,,87.6,,111.8,,,,,142.8,427.3,-81.0,-88.6,,-121.0,-144.0,,,,,-91.1,,,46.0,,-116.2,-169.5,,-161.4,-112.4,-241.6,40.0,-202.0,,-155.4,,-131.2,,,,,-100.2,184.3,False,,False,False,,,,,False,,,True,,False,False,,False,False,False,True,False,,False,,False,,,,,False,False
01073,1742,1530.0,1864.5,1505.9,1205.0,1081.0,,,,,1780.5,,,2997.0,,1381.8,992.3,,1103.0,1229.9,193.0,2021.0,501.0,,363.2,,1153.7,1197.0,,,,973.6,1336.3,-212.0,122.5,-236.1,-537.0,-661.0,,,,,38.5,,,1255.0,,-360.2,-749.7,,-639.0,-512.1,-1549.0,279.0,-1241.0,,-1378.8,,-588.3,-545.0,,,,-768.4,-405.7,True,False,False,False,,,,,True,,,False,,False,False,,False,False,False,False,False,,False,,False,False,,,,False,False
01075,55,44.0,33.8,,31.0,8.0,,,,,36.7,,,79.0,,50.6,16.8,,16.5,41.1,1.9,,1.0,,23.0,,37.1,,,,,44.2,34.2,-11.0,-21.2,,-24.0,-47.0,,,,,-18.3,,,24.0,,-4.4,-38.2,,-38.5,-13.9,-53.1,,-54.0,,-32.0,,-17.9,,,,,-10.8,-20.8,False,,False,False,,,,,False,,,False,,True,False,,False,False,False,,False,,False,,False,,,,,True,False
01077,202,144.0,149.2,,134.0,170.0,,,,,140.8,,,413.0,,133.9,94.2,,100.1,153.5,104.8,244.0,44.0,,117.0,,127.9,,,,,126.2,208.9,-58.0,-52.8,,-68.0,-32.0,,,,,-61.2,,,211.0,,-68.1,-107.8,,-101.9,-48.5,-97.2,42.0,-158.0,,-85.0,,-74.1,,,,,-75.8,6.9,True,,False,True,,,,,False,,,False,,False,False,,False,True,False,True,False,,False,,False,,,,,False,True
01079,93,76.0,88.8,,69.0,141.0,,,,,71.3,,,156.0,,74.0,39.9,,18.4,49.0,36.6,80.0,95.0,,11.5,,68.4,,,,,79.2,99.2,-17.0,-4.2,,-24.0,48.0,,,,,-21.7,,,63.0,,-19.0,-53.1,,-74.6,-44.0,-56.4,-13.0,2.0,,-81.5,,-24.6,,,,,-13.8,6.2,True,,False,False,,,,,False,,,False,,False,False,,False,False,False,True,True,,False,,False,,,,,True,True
01081,381,384.0,426.7,,390.0,492.0,,,,,1499.9,,,813.0,,450.0,376.7,,172.6,355.5,4.6,,591.0,,432.5,,324.3,702.0,,,,1062.9,280.3,3.0,45.7,,9.0,111.0,,,,,1118.9,,,432.0,,69.0,-4.3,,-208.4,-25.5,-376.4,,210.0,,51.5,,-56.7,321.0,,,,681.9,-100.7,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,False,,,,False,False
01083,373,256.0,238.7,,232.0,457.0,,,,,224.0,,,491.0,,231.1,86.8,,194.8,241.3,95.3,407.0,169.0,,140.5,,171.5,,,,,280.9,393.3,-117.0,-134.3,,-141.0,84.0,,,,,-149.0,,,118.0,,-141.9,-286.2,,-178.2,-131.7,-277.7,34.0,-204.0,,-232.5,,-201.5,,,,,-92.1,20.3,False,,False,True,,,,,False,,,False,,False,False,,False,False,False,True,False,,False,,False,,,,,True,True
01085,27,16.0,7.1,,8.0,0.0,,,,,19.8,,,39.0,,12.6,5.6,,1.7,10.1,0.1,,0.0,,6.0,,12.0,,,,,20.1,52.1,-11.0,-19.9,,-19.0,-27.0,,,,,-7.2,,,12.0,,-14.4,-21.4,,-25.3,-16.9,-26.9,,-27.0,,-21.0,,-15.0,,,,,-6.9,25.1,False,,False,False,,,,,True,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,True,False
01087,29,8.0,3.6,,11.0,20.0,,,,,39.1,,,38.0,,11.3,18.2,,3.7,14.1,0.0,,20.0,,15.6,,13.5,,,,,57.6,126.0,-21.0,-25.4,,-18.0,-9.0,,,,,10.1,,,9.0,,-17.7,-10.8,,-25.3,-14.9,-29.0,,-9.0,,-13.4,,-15.5,,,,,28.6,97.0,False,,True,True,,,,,True,,,True,,True,True,,False,True,False,,True,,True,,True,,,,,False,False
01089,716,748.0,813.4,758.5,564.0,732.0,,,,,659.2,,,1211.0,,562.2,625.2,,542.9,604.1,378.9,1174.0,753.0,,409.7,,472.7,526.0,,,,849.5,1019.0,32.0,97.4,42.5,-152.0,16.0,,,,,-56.8,,,495.0,,-153.8,-90.8,,-173.1,-111.9,-337.1,458.0,37.0,,-306.3,,-243.3,-190.0,,,,133.5,303.0,False,False,False,True,,,,,False,,,False,,False,False,,False,False,False,False,False,,False,,False,False,,,,False,False
01091,161,42.0,34.8,,28.0,6.0,,,,,48.9,,,118.0,,42.0,16.6,,21.9,39.6,0.2,77.0,86.0,,14.7,,29.8,,,,,44.0,8.0,-119.0,-126.2,,-133.0,-155.0,,,,,-112.1,,,-43.0,,-119.0,-144.4,,-139.1,-121.4,-160.8,-84.0,-75.0,,-146.3,,-131.2,,,,,-117.0,-153.0,False,,False,False,,,,,True,,,True,,True,False,,False,False,False,True,True,,False,,False,,,,,True,False
01093,58,54.0,64.8,,36.0,21.0,,,,,92.3,,,131.0,,37.2,44.6,,16.8,41.8,0.6,,4.0,,35.8,,38.2,,,,,173.5,86.7,-4.0,6.8,,-22.0,-37.0,,,,,34.3,,,73.0,,-20.8,-13.4,,-41.2,-16.2,-57.4,,-54.0,,-22.2,,-19.8,,,,,115.5,28.7,False,,False,False,,,,,False,,,False,,False,False,,False,False,False,,False,,False,,False,,,,,False,False
01095,213,244.0,212.9,,173.0,178.0,,,,,178.4,,,604.0,,219.2,109.2,,101.4,173.1,10.7,427.0,91.0,,42.0,,180.9,,,,,260.9,465.4,31.0,-0.1,,-40.0,-35.0,,,,,-34.6,,,391.0,,6.2,-103.8,,-111.6,-39.9,-202.3,214.0,-122.0,,-171.0,,-32.1,,,,,47.9,252.4,True,,False,False,,,,,False,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,False
01097,563,668.0,718.2,799.6,634.0,557.0,,,,,682.7,,,1349.0,,620.2,542.6,,513.7,715.9,200.5,928.0,995.0,,406.8,,731.6,503.0,,,,400.8,,105.0,155.2,236.6,71.0,-6.0,,,,,119.7,,,786.0,,57.2,-20.4,,-49.3,152.9,-362.5,365.0,432.0,,-156.2,,168.6,-60.0,,,,-162.2,,False,False,True,True,,,,,False,,,False,,True,True,,True,False,False,False,False,,False,,False,True,,,,False,
01099,19,28.0,35.6,,17.0,0.0,,,,,53.4,,,78.0,,24.2,12.2,,4.2,17.0,0.0,,21.0,,17.9,,20.7,,,,,43.4,60.8,9.0,16.6,,-2.0,-19.0,,,,,34.4,,,59.0,,5.2,-6.8,,-14.8,-2.0,-19.0,,2.0,,-1.1,,1.7,,,,,24.4,41.8,False,,True,False,,,,,False,,,False,,True,True,,False,True,False,,True,,True,,True,,,,,False,False
