,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,62511,93216.0,108402.0,,71844.4,74787.0,79167.0,43600.7,55280.6,81972.1,48626.5,49627.0,30705.0,45891.0,,9333.4,12276.0,16656.0,-18910.3,-7230.4,19461.1,-13884.5,-12884.0,False,,True,True,True,True,True,True,True,True
Hawaii,5426,10698.0,15410.0,,14822.4,6532.0,,8847.8,12990.1,8594.2,11691.9,11062.0,5272.0,9984.0,,9396.4,1106.0,,3421.8,7564.1,3168.2,6265.9,5636.0,False,,False,True,,True,False,True,False,False
Idaho,16033,12054.0,12061.0,,9601.3,10469.0,9935.0,6588.3,4336.6,10548.7,7235.1,5978.0,-3979.0,-3972.0,,-6431.7,-5564.0,-6098.0,-9444.7,-11696.4,-5484.3,-8797.9,-10055.0,True,,False,False,False,False,False,False,False,False
Illinois,86385,80190.0,81930.0,,71834.7,10297.0,71064.0,50375.8,51323.2,88154.2,62855.3,58046.0,-6195.0,-4455.0,,-14550.3,-76088.0,-15321.0,-36009.2,-35061.8,1769.2,-23529.7,-28339.0,True,,False,False,False,False,False,True,False,False
Indiana,40977,42702.0,73343.0,,36248.0,26778.0,33795.0,24207.1,25033.8,43271.4,43392.8,40287.0,1725.0,32366.0,,-4729.0,-14199.0,-7182.0,-16769.9,-15943.2,2294.4,2415.8,-690.0,False,,False,False,False,False,False,False,False,True
Iowa,35430,45696.0,82251.0,,46285.3,29321.0,32785.0,30941.7,31983.6,36074.0,71772.7,32181.0,10266.0,46821.0,,10855.3,-6109.0,-2645.0,-4488.3,-3446.4,644.0,36342.7,-3249.0,False,,False,True,True,True,True,True,False,True
Kansas,25729,25242.0,38932.0,,23253.7,15759.0,22567.0,12187.6,11728.3,15392.0,14847.3,19485.0,-487.0,13203.0,,-2475.3,-9970.0,-3162.0,-13541.4,-14000.7,-10337.0,-10881.7,-6244.0,False,,False,False,False,False,False,False,False,False
Kentucky,31868,27066.0,44479.0,,25818.1,25082.0,26355.0,16592.8,14966.6,20045.9,29269.9,27581.0,-4802.0,12611.0,,-6049.9,-6786.0,-5513.0,-15275.2,-16901.4,-11822.1,-2598.1,-4287.0,False,,False,False,False,False,False,False,True,True
Louisiana,26462,27138.0,28326.0,,17156.1,21519.0,29590.0,20662.8,3146.0,23241.7,16703.0,10312.0,676.0,1864.0,,-9305.9,-4943.0,3128.0,-5799.2,-23316.0,-3220.3,-9759.0,-16150.0,False,,False,False,False,False,False,False,False,False
Maine,1204,1044.0,3015.0,,1014.2,409.0,678.0,704.0,786.4,896.5,2414.9,1360.0,-160.0,1811.0,,-189.8,-795.0,-526.0,-500.0,-417.6,-307.5,1210.9,156.0,False,,False,False,False,False,False,False,False,True
Maryland,23501,22626.0,26637.0,,16799.3,2077.0,19439.0,12968.3,10072.1,15113.4,19508.0,17330.0,-875.0,3136.0,,-6701.7,-21424.0,-4062.0,-10532.7,-13428.9,-8387.6,-3993.0,-6171.0,False,,False,False,False,False,False,False,False,False
Massachusetts,18209,16020.0,13848.0,,9194.5,1836.0,11535.0,7888.1,38576.6,18296.3,401.3,13999.0,-2189.0,-4361.0,,-9014.5,-16373.0,-6674.0,-10320.9,20367.6,87.3,-17807.7,-4210.0,False,,False,False,False,False,False,True,False,False
Michigan,38317,30552.0,37799.0,,29023.3,13359.0,31506.0,25659.4,30191.3,39905.3,41551.5,32235.0,-7765.0,-518.0,,-9293.7,-24958.0,-6811.0,-12657.6,-8125.7,1588.3,3234.5,-6082.0,True,,False,False,True,False,False,True,True,True
Minnesota,36571,32340.0,49311.0,,32104.8,3133.0,38521.0,24593.1,22521.3,28382.7,61626.3,31690.0,-4231.0,12740.0,,-4466.2,-33438.0,1950.0,-11977.9,-14049.7,-8188.3,25055.3,-4881.0,False,,False,False,True,False,False,False,False,False
Mississippi,22609,28566.0,34119.0,,21229.8,17290.0,29410.0,13870.5,11264.9,19034.9,16927.9,13623.0,5957.0,11510.0,,-1379.2,-5319.0,6801.0,-8738.5,-11344.1,-3574.1,-5681.1,-8986.0,False,,True,True,False,False,False,True,True,False
Missouri,65507,49296.0,57938.0,,51619.5,37623.0,41386.0,38091.5,31238.9,27983.0,62270.5,40844.0,-16211.0,-7569.0,,-13887.5,-27884.0,-24121.0,-27415.5,-34268.1,-37524.0,-3236.5,-24663.0,True,,True,False,False,False,False,False,True,False
Montana,10866,5250.0,5980.0,,4999.2,3819.0,6892.0,3882.7,4362.0,2904.2,8235.7,4774.0,-5616.0,-4886.0,,-5866.8,-7047.0,-3974.0,-6983.3,-6504.0,-7961.8,-2630.3,-6092.0,True,,False,False,True,False,False,False,True,False
Nebraska,18134,11838.0,21840.0,,12483.6,1693.0,11956.0,8302.3,6141.7,10393.0,20177.7,8980.0,-6296.0,3706.0,,-5650.4,-16441.0,-6178.0,-9831.7,-11992.3,-7741.0,2043.7,-9154.0,True,,True,False,True,False,False,False,True,False
Nevada,16938,20352.0,10649.0,,18527.0,17809.0,16219.0,12425.1,8120.8,18614.1,10558.7,9047.0,3414.0,-6289.0,,1589.0,871.0,-719.0,-4512.9,-8817.2,1676.1,-6379.3,-7891.0,False,,True,True,True,False,False,True,False,False
New Hampshire,1846,912.0,1663.0,,584.6,12.0,744.0,431.7,586.4,580.6,685.1,684.0,-934.0,-183.0,,-1261.4,-1834.0,-1102.0,-1414.3,-1259.6,-1265.4,-1160.9,-1162.0,True,,False,False,False,False,False,False,False,False
New Jersey,24492,11844.0,14524.0,,6228.3,122.0,9948.0,7237.3,6962.4,12131.8,11291.3,9028.0,-12648.0,-9968.0,,-18263.7,-24370.0,-14544.0,-17254.7,-17529.6,-12360.2,-13200.7,-15464.0,True,,False,False,False,False,False,True,False,False
New Mexico,7544,5256.0,6465.0,,4748.2,2540.0,5111.0,2954.0,2307.3,3573.5,4843.7,4581.0,-2288.0,-1079.0,,-2795.8,-5004.0,-2433.0,-4590.0,-5236.6,-3970.5,-2700.3,-2963.0,True,,False,False,False,False,False,False,False,False
New York,40641,25422.0,34465.0,,7485.9,138.0,12820.0,14914.5,26558.8,18883.4,22604.5,22685.0,-15219.0,-6176.0,,-33155.1,-40503.0,-27821.0,-25726.5,-14082.2,-21757.6,-18036.5,-17956.0,True,,False,False,False,False,True,False,False,False
North Carolina,59375,68616.0,99446.0,,58747.2,76203.0,68046.0,37116.3,41890.4,47981.5,80673.3,59666.0,9241.0,40071.0,,-627.8,16828.0,8671.0,-22258.7,-17484.6,-11393.5,21298.3,291.0,False,,True,False,True,False,False,False,False,True
North Dakota,15143,10488.0,19323.0,,13673.1,119.0,10068.0,8733.5,10788.5,8325.4,14426.9,7655.0,-4655.0,4180.0,,-1469.9,-15024.0,-5075.0,-6409.5,-4354.5,-6817.6,-716.1,-7488.0,True,,True,False,False,False,True,False,True,False
Ohio,46138,42930.0,72661.0,,34446.5,27884.0,42122.0,27002.0,22578.8,38687.9,56919.4,31028.0,-3208.0,26523.0,,-11691.5,-18254.0,-4016.0,-19136.0,-23559.2,-7450.1,10781.4,-15110.0,False,,False,False,False,False,False,False,False,False
Oklahoma,41268,28524.0,36406.0,,27438.9,24190.0,34459.0,22160.6,14108.6,22048.5,36626.4,21633.0,-12744.0,-4862.0,,-13829.1,-17078.0,-6809.0,-19107.4,-27159.4,-19219.5,-4641.6,-19635.0,True,,False,False,True,False,False,False,True,False
Oregon,10631,9498.0,8540.0,,9052.6,8757.0,7602.0,5866.8,4718.5,8187.1,8418.7,7161.0,-1133.0,-2091.0,,-1578.4,-1874.0,-3029.0,-4764.2,-5912.5,-2443.9,-2212.3,-3470.0,False,,False,False,False,False,False,False,False,False
Pennsylvania,38221,26496.0,31524.0,,23663.3,2479.0,18472.0,16147.4,15054.5,20712.3,24253.1,20327.0,-11725.0,-6697.0,,-14557.7,-35742.0,-19749.0,-22073.6,-23166.5,-17508.7,-13967.9,-17894.0,True,,False,False,False,False,False,False,False,False
Rhode Island,4741,3966.0,6698.0,,2108.5,2.0,2975.0,1361.6,320.5,4485.4,2898.3,2728.0,-775.0,1957.0,,-2632.5,-4739.0,-1766.0,-3379.4,-4420.5,-255.6,-1842.7,-2013.0,False,,False,False,False,False,False,True,False,False
South Carolina,39372,35724.0,60122.0,,30394.1,15217.0,30214.0,25960.6,34152.3,34763.7,53894.6,26206.0,-3648.0,20750.0,,-8977.9,-24155.0,-9158.0,-13411.4,-5219.7,-4608.3,14522.6,-13166.0,False,,False,False,False,False,False,False,False,False
South Dakota,15005,10842.0,24596.0,,14497.5,321.0,7568.0,12700.0,10510.7,8267.7,29225.6,11071.0,-4163.0,9591.0,,-507.5,-14684.0,-7437.0,-2305.0,-4494.3,-6737.3,14220.6,-3934.0,False,,True,False,False,True,False,False,False,True
Tennessee,60369,61182.0,73262.0,,48901.9,30912.0,50117.0,31972.9,29531.5,36829.2,34624.8,33254.0,813.0,12893.0,,-11467.1,-29457.0,-10252.0,-28396.1,-30837.5,-23539.8,-25744.2,-27115.0,False,,False,False,False,False,False,False,False,False
Texas,194027,224832.0,403053.0,,161629.1,146589.0,229993.0,93504.7,68011.3,169854.2,97228.7,112974.0,30805.0,209026.0,,-32397.9,-47438.0,35966.0,-100522.3,-126015.7,-24172.8,-96798.3,-81053.0,False,,False,False,False,False,False,True,False,False
Utah,33238,15552.0,15964.0,,16978.1,7959.0,14146.0,10340.4,7046.0,15499.9,17539.0,12313.0,-17686.0,-17274.0,,-16259.9,-25279.0,-19092.0,-22897.6,-26192.0,-17738.1,-15699.0,-20925.0,True,,True,False,False,False,False,False,True,False
Vermont,252,312.0,408.0,,269.5,51.0,346.0,207.4,111.9,340.6,681.1,359.0,60.0,156.0,,17.5,-201.0,94.0,-44.6,-140.1,88.6,429.1,107.0,False,,True,False,False,True,False,False,False,False
Virginia,39096,40356.0,58405.0,,35219.9,7761.0,29774.0,25063.7,22680.8,36933.3,51926.5,0.0,1260.0,19309.0,,-3876.1,-31335.0,-9322.0,-14032.3,-16415.2,-2162.7,12830.5,-39096.0,False,,False,False,False,False,False,False,False,False
Washington,20654,19704.0,24467.0,,11974.0,30835.0,15730.0,12933.2,7315.9,16711.4,17322.4,18652.0,-950.0,3813.0,,-8680.0,10181.0,-4924.0,-7720.8,-13338.1,-3942.6,-3331.6,-2002.0,False,,False,False,False,False,False,False,False,False
West Virginia,7957,4710.0,6451.0,,4231.2,4205.0,4648.0,4011.0,2210.3,3567.2,9184.5,4347.0,-3247.0,-1506.0,,-3725.8,-3752.0,-3309.0,-3946.0,-5746.7,-4389.8,1227.5,-3610.0,True,,False,False,False,False,False,False,True,False
Wisconsin,72760,28746.0,35406.0,,33125.3,18746.0,30996.0,15724.1,12269.8,17919.5,25540.7,23840.0,-44014.0,-37354.0,,-39634.7,-54014.0,-41764.0,-57035.9,-60490.2,-54840.5,-47219.3,-48920.0,True,,True,False,True,False,False,False,False,False
Wyoming,3660,1512.0,1105.0,,1325.3,918.0,1994.0,1051.4,54.1,1277.3,355.7,1460.0,-2148.0,-2555.0,,-2334.7,-2742.0,-1666.0,-2608.6,-3605.9,-2382.7,-3304.3,-2200.0,False,,False,False,True,False,False,False,False,False
US,1768920,1764144.0,2283844.0,1321779.0,1002772.4,1087721.0,1868174.0,894490.7,952393.8,1661761.2,1377663.2,1173814.0,-4776.0,514924.0,-447141.0,-766147.6,-681199.0,99254.0,-874429.3,-816526.2,-107158.8,-391256.8,-595106.0,False,False,False,False,False,False,False,False,False,False
