,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Iowa,29352,30390.0,29678.0,,33316.6,31171.0,,32384.0,40544.6,17278.3,76725.4,15308.3,,13342.7,22990.9,15357.8,17863.0,1038.0,326.0,,3964.6,1819.0,,3032.0,11192.6,-12073.7,47373.4,-14043.7,,-16009.3,-6361.1,-13994.2,-11489.0,True,,False,False,,False,False,False,False,False,,False,False,False,False
Kansas,21675,20305.0,26752.0,,20047.0,15262.0,,19230.0,20326.0,16866.3,21710.1,9422.7,,7996.5,11520.9,11276.1,13840.0,-1370.0,5077.0,,-1628.0,-6413.0,,-2445.0,-1349.0,-4808.7,35.1,-12252.3,,-13678.5,-10154.1,-10398.9,-7835.0,False,,False,False,,False,True,False,True,False,,False,False,False,False
Kentucky,26981,24435.0,30824.0,,24605.9,21259.0,,26525.0,24937.9,26707.4,24674.5,13989.6,,11774.0,18836.3,22367.2,21155.0,-2546.0,3843.0,,-2375.1,-5722.0,,-456.0,-2043.1,-273.6,-2306.5,-12991.4,,-15207.0,-8144.7,-4613.8,-5826.0,False,,True,False,,True,True,True,True,False,,False,False,False,False
Louisiana,21047,26150.0,42757.0,,18197.4,16202.0,,24525.0,18870.7,11747.0,8285.5,18666.7,,12413.1,18240.8,20163.7,13511.0,5103.0,21710.0,,-2849.6,-4845.0,,3478.0,-2176.3,-9300.0,-12761.5,-2380.3,,-8633.9,-2806.2,-883.3,-7536.0,False,,True,True,,True,True,False,False,True,,False,True,True,False
Maine,1063,705.0,661.0,,769.4,340.0,,714.0,957.0,1661.5,993.2,613.7,,796.3,649.9,1258.2,759.0,-358.0,-402.0,,-293.6,-723.0,,-349.0,-106.0,598.5,-69.8,-449.3,,-266.7,-413.1,195.2,-304.0,False,,True,False,,True,True,False,True,False,,True,False,True,True
Maryland,19188,21565.0,33118.0,,21584.2,1162.0,,18038.0,18852.4,17350.5,12294.1,13742.6,,9494.0,20208.0,29331.1,21577.0,2377.0,13930.0,,2396.2,-18026.0,,-1150.0,-335.6,-1837.5,-6893.9,-5445.4,,-9694.0,1020.0,10143.1,2389.0,False,,False,False,,True,True,True,False,False,,False,True,False,False
Massachusetts,16144,0.0,14430.0,,58744.9,872.0,,8359.0,11815.5,9769.2,15850.5,5868.9,,6188.1,4022.7,32631.6,0.0,-16144.0,-1714.0,,42600.9,-15272.0,,-7785.0,-4328.5,-6374.8,-293.5,-10275.1,,-9955.9,-12121.3,16487.6,-16144.0,True,,False,True,,True,True,True,True,True,,True,True,False,False
Michigan,32262,30275.0,59530.0,,21261.9,11405.0,,26455.0,27379.7,37699.3,29400.8,12608.7,,2789.2,44260.4,16143.2,20123.0,-1987.0,27268.0,,-11000.1,-20857.0,,-5807.0,-4882.3,5437.3,-2861.2,-19653.3,,-29472.8,11998.4,-16118.8,-12139.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Minnesota,30948,28115.0,36522.0,,29168.4,1977.0,,33277.0,28479.9,21584.1,28912.6,18452.0,,19828.7,23298.4,28478.0,30657.0,-2833.0,5574.0,,-1779.6,-28971.0,,2329.0,-2468.1,-9363.9,-2035.4,-12496.0,,-11119.3,-7649.6,-2470.0,-291.0,False,,True,False,,True,True,False,True,False,,False,False,True,True
Mississippi,18160,22245.0,21507.0,,17271.4,12690.0,,23903.0,16411.9,13688.9,14081.0,13049.0,,8912.4,16692.6,12915.3,14167.0,4085.0,3347.0,,-888.6,-5470.0,,5743.0,-1748.1,-4471.1,-4079.0,-5111.0,,-9247.6,-1467.4,-5244.7,-3993.0,True,,True,False,,False,True,False,True,False,,False,True,False,True
Missouri,55247,50015.0,65751.0,,45465.6,36392.0,,39065.0,48752.5,34819.5,36009.8,37713.1,,24369.4,34772.6,67608.6,42199.0,-5232.0,10504.0,,-9781.4,-18855.0,,-16182.0,-6494.5,-20427.5,-19237.2,-17533.9,,-30877.6,-20474.4,12361.6,-13048.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Montana,9953,4565.0,3790.0,,4838.5,3091.0,,6254.0,4645.1,3815.0,4390.1,3874.1,,3012.3,1920.0,5173.1,5504.0,-5388.0,-6163.0,,-5114.5,-6862.0,,-3699.0,-5307.9,-6138.0,-5562.9,-6078.9,,-6940.7,-8033.0,-4779.9,-4449.0,False,,True,False,,True,True,False,False,False,,False,False,True,True
Nebraska,16082,10260.0,7290.0,,10378.2,962.0,,12771.0,11269.8,7695.3,14260.7,4290.7,,2556.5,8618.3,5748.4,10118.0,-5822.0,-8792.0,,-5703.8,-15120.0,,-3311.0,-4812.2,-8386.7,-1821.3,-11791.3,,-13525.5,-7463.7,-10333.6,-5964.0,False,,True,False,,True,True,False,True,False,,False,False,False,False
Nevada,14297,13205.0,9059.0,,12856.5,11485.0,,11773.0,11089.4,7658.2,11527.5,8946.6,,5654.8,9645.4,9233.7,8749.0,-1092.0,-5238.0,,-1440.5,-2812.0,,-2524.0,-3207.6,-6638.8,-2769.5,-5350.4,,-8642.2,-4651.6,-5063.3,-5548.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
New Hampshire,1668,890.0,1943.0,,835.8,7.0,,605.0,738.2,1747.8,126.8,628.0,,578.2,727.3,1603.8,1315.0,-778.0,275.0,,-832.2,-1661.0,,-1063.0,-929.8,79.8,-1541.2,-1040.0,,-1089.8,-940.7,-64.2,-353.0,True,,False,False,,False,False,True,False,False,,False,False,True,True
New Jersey,21743,12135.0,19010.0,,7171.2,59.0,,12623.0,11182.1,18351.6,16047.1,7289.3,,13561.3,11477.8,9832.9,13703.0,-9608.0,-2733.0,,-14571.8,-21684.0,,-9120.0,-10560.9,-3391.4,-5695.9,-14453.7,,-8181.7,-10265.2,-11910.1,-8040.0,True,,False,False,,True,False,True,True,False,,True,False,False,True
New Mexico,6674,4350.0,4270.0,,3921.3,1916.0,,4324.0,3621.7,6541.6,2222.4,2739.0,,1597.6,3610.5,3221.7,3720.0,-2324.0,-2404.0,,-2752.7,-4758.0,,-2350.0,-3052.3,-132.4,-4451.6,-3935.0,,-5076.4,-3063.5,-3452.3,-2954.0,False,,False,False,,False,False,True,False,False,,False,False,False,False
New York,35385,26850.0,46820.0,,13267.0,89.0,,11986.0,24843.6,41472.1,23037.0,16181.4,,29847.9,22128.6,28727.4,30406.0,-8535.0,11435.0,,-22118.0,-35296.0,,-23399.0,-10541.4,6087.1,-12348.0,-19203.6,,-5537.1,-13256.4,-6657.6,-4979.0,False,,False,False,,False,False,True,False,False,,True,False,True,True
North Carolina,49057,53695.0,59257.0,,49954.9,62154.0,,58957.0,53099.6,37912.9,37309.6,29925.0,,23942.5,36754.2,40214.2,53328.0,4638.0,10200.0,,897.9,13097.0,,9900.0,4042.6,-11144.1,-11747.4,-19132.0,,-25114.5,-12302.8,-8842.8,4271.0,False,,True,False,,False,True,False,False,False,,False,False,False,True
North Dakota,13293,9250.0,11400.0,,12540.6,69.0,,9603.0,10449.7,3668.3,17004.7,9100.3,,6357.6,8397.0,11250.7,8772.0,-4043.0,-1893.0,,-752.4,-13224.0,,-3690.0,-2843.3,-9624.7,3711.7,-4192.7,,-6935.4,-4896.0,-2042.3,-4521.0,True,,True,False,,True,True,False,True,False,,False,False,True,False
Ohio,37673,42325.0,51326.0,,38726.6,26536.0,,39898.0,42878.0,44969.9,32054.8,23370.0,,13375.6,31242.7,45410.6,42880.0,4652.0,13653.0,,1053.6,-11137.0,,2225.0,5205.0,7296.9,-5618.2,-14303.0,,-24297.4,-6430.3,7737.6,5207.0,False,,True,False,,True,False,False,False,False,,False,False,False,False
Oklahoma,35434,29170.0,46810.0,,27321.4,19471.0,,27963.0,27403.4,24233.4,21299.9,17512.5,,13593.3,20186.2,30308.0,27841.0,-6264.0,11376.0,,-8112.6,-15963.0,,-7471.0,-8030.6,-11200.6,-14134.1,-17921.5,,-21840.7,-15247.8,-5126.0,-7593.0,False,,False,False,,False,False,False,False,False,,False,False,True,False
Oregon,9068,7815.0,8222.0,,7260.9,6380.0,,6680.0,6891.8,13748.8,6961.0,4919.2,,4477.8,4976.1,8152.1,7236.0,-1253.0,-846.0,,-1807.1,-2688.0,,-2388.0,-2176.2,4680.8,-2107.0,-4148.8,,-4590.2,-4091.9,-915.9,-1832.0,True,,False,False,,False,False,False,False,False,,False,False,True,False
Pennsylvania,32517,28520.0,58969.0,,28668.7,2223.0,,20656.0,28552.8,35867.5,22805.9,16689.1,,11168.7,30667.2,36455.2,35301.0,-3997.0,26452.0,,-3848.3,-30294.0,,-11861.0,-3964.2,3350.5,-9711.1,-15827.9,,-21348.3,-1849.8,3938.2,2784.0,False,,True,False,,False,True,True,False,False,,False,True,True,True
Rhode Island,4181,2800.0,2541.0,,1684.3,1.0,,3764.0,2553.5,4086.0,5074.1,911.5,,209.6,3344.1,2294.5,1246.0,-1381.0,-1640.0,,-2496.7,-4180.0,,-417.0,-1627.5,-95.0,893.1,-3269.5,,-3971.4,-836.9,-1886.5,-2935.0,False,,False,False,,True,False,True,True,False,,False,True,False,False
South Carolina,32332,35200.0,54154.0,,28570.3,12536.0,,28093.0,32617.6,10254.4,15970.8,20864.4,,12045.3,26370.6,32098.1,30698.0,2868.0,21822.0,,-3761.7,-19796.0,,-4239.0,285.6,-22077.6,-16361.2,-11467.6,,-20286.7,-5961.4,-233.9,-1634.0,False,,False,False,,False,True,False,False,False,,False,False,True,True
South Dakota,13058,9735.0,16410.0,,11648.6,228.0,,10045.0,13479.0,1808.4,15111.9,5516.9,,5894.1,13943.1,6083.3,7224.0,-3323.0,3352.0,,-1409.4,-12830.0,,-3013.0,421.0,-11249.6,2053.9,-7541.1,,-7163.9,885.1,-6974.7,-5834.0,False,,True,False,,True,True,False,True,False,,False,True,False,False
Tennessee,50287,50410.0,52499.0,,51399.6,26640.0,,42325.0,44553.4,33938.0,29261.7,38210.0,,29480.1,30578.3,47975.1,31864.0,123.0,2212.0,,1112.6,-23647.0,,-7962.0,-5733.6,-16349.0,-21025.3,-12077.0,,-20806.9,-19708.7,-2311.9,-18423.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Texas,164708,145320.0,269136.0,,115806.7,103592.0,,165386.0,103145.4,92790.5,126349.3,66065.5,,60336.2,95381.4,87329.5,104729.0,-19388.0,104428.0,,-48901.3,-61116.0,,678.0,-61562.6,-71917.5,-38358.7,-98642.5,,-104371.8,-69326.6,-77378.5,-59979.0,False,,False,False,,True,False,False,False,False,,False,False,False,False
Utah,30372,14330.0,12825.0,,15393.6,6587.0,,12414.0,14153.3,7434.5,22983.0,9900.9,,5780.4,10413.8,14051.4,13101.0,-16042.0,-17547.0,,-14978.4,-23785.0,,-17958.0,-16218.7,-22937.5,-7389.0,-20471.1,,-24591.6,-19958.2,-16320.6,-17271.0,False,,True,False,,False,False,False,True,False,,False,False,False,False
Vermont,210,210.0,415.0,,160.7,51.0,,249.0,282.1,725.0,383.1,36.1,,114.2,270.6,115.4,183.0,0.0,205.0,,-49.3,-159.0,,39.0,72.1,515.0,173.1,-173.9,,-95.8,60.6,-94.6,-27.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Virginia,32178,34435.0,48780.0,,33773.8,6442.0,,24197.0,32914.1,30569.5,30885.2,24765.0,,25386.4,28435.3,39046.2,0.0,2257.0,16602.0,,1595.8,-25736.0,,-7981.0,736.1,-1608.5,-1292.8,-7413.0,,-6791.6,-3742.7,6868.2,-32178.0,False,,True,False,,False,True,True,True,False,,False,False,False,False
Washington,17560,14785.0,17589.0,,11652.2,25506.0,,10565.0,13515.7,17866.0,10686.5,9971.7,,9313.2,11232.0,11831.4,12684.0,-2775.0,29.0,,-5907.8,7946.0,,-6995.0,-4044.3,306.0,-6873.5,-7588.3,,-8246.8,-6328.0,-5728.6,-4876.0,True,,False,False,,False,False,True,False,False,,False,False,False,False
West Virginia,6634,6615.0,19688.0,,7835.9,3952.0,,4787.0,8013.6,7717.5,4943.3,4306.2,,4018.1,3758.2,12326.3,9777.0,-19.0,13054.0,,1201.9,-2682.0,,-1847.0,1379.6,1083.5,-1690.7,-2327.8,,-2615.9,-2875.8,5692.3,3143.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Wisconsin,67260,27500.0,40917.0,,29575.6,18329.0,,24787.0,22750.5,25745.0,22612.3,21741.2,,21822.3,24529.5,49097.5,25247.0,-39760.0,-26343.0,,-37684.4,-48931.0,,-42473.0,-44509.5,-41515.0,-44647.7,-45518.8,,-45437.7,-42730.5,-18162.5,-42013.0,True,,True,False,,False,False,False,False,False,,False,False,True,False
Wyoming,3465,975.0,1363.0,,925.5,725.0,,2089.0,849.7,1494.2,1163.6,617.7,,801.4,750.4,1416.0,379.0,-2490.0,-2102.0,,-2539.5,-2740.0,,-1376.0,-2615.3,-1970.8,-2301.4,-2847.3,,-2663.6,-2714.6,-2049.0,-3086.0,True,,False,False,,True,False,True,True,False,,False,False,True,False
US,1478620,1419380.0,2055281.0,1545372.0,1034181.9,834985.0,1241071.7,1514959.0,1264757.5,1146088.2,1257604.2,722791.6,1314100.5,699165.6,995609.6,1245803.7,1114001.0,-59240.0,576661.0,66752.0,-444438.1,-643635.0,-237548.3,36339.0,-213862.5,-332531.8,-221015.8,-755828.4,-164519.5,-779454.4,-483010.4,-232816.3,-364619.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
