,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Missouri,70730,55636.0,,39833.3,43552.0,45840.0,25414.3,28305.5,19676.2,31261.5,34140.0,-15094.0,,-30896.7,-27178.0,-24890.0,-45315.7,-42424.5,-51053.8,-39468.5,-36590.0,,False,False,False,False,False,False,False,False
Montana,11741,5019.0,,5485.8,4324.0,8582.0,2856.6,1889.5,2561.6,3795.9,4148.0,-6722.0,,-6255.2,-7417.0,-3159.0,-8884.4,-9851.5,-9179.4,-7945.1,-7593.0,,True,False,True,False,False,False,False,False
Nebraska,20107,10773.0,,9803.8,1435.0,11795.0,4240.5,5807.4,11006.8,5010.1,5427.0,-9334.0,,-10303.2,-18672.0,-8312.0,-15866.5,-14299.6,-9100.2,-15096.9,-14680.0,,False,False,True,False,False,True,False,False
Nevada,20330,31227.0,,17625.3,27391.0,24111.0,15522.0,15850.7,26969.7,14030.6,13811.0,10897.0,,-2704.7,7061.0,3781.0,-4808.0,-4479.3,6639.7,-6299.4,-6519.0,,True,True,True,True,True,True,True,True
New Hampshire,1998,798.0,,580.7,20.0,836.0,361.2,509.5,736.2,596.5,362.0,-1200.0,,-1417.3,-1978.0,-1162.0,-1636.8,-1488.5,-1261.8,-1401.5,-1636.0,,False,False,True,False,False,False,False,False
New Jersey,23531,13328.0,,15555.1,248.0,11375.0,5499.2,24239.8,11711.9,11585.3,4940.0,-10203.0,,-7975.9,-23283.0,-12156.0,-18031.8,708.8,-11819.1,-11945.7,-18591.0,,True,False,False,False,True,False,False,False
New Mexico,8420,7000.0,,2762.1,3658.0,7092.0,4200.8,5246.7,4574.2,7131.1,3363.0,-1420.0,,-5657.9,-4762.0,-1328.0,-4219.2,-3173.3,-3845.8,-1288.9,-5057.0,,False,False,True,False,False,False,True,False
New York,43978,29848.0,,22040.5,181.0,12228.0,14674.4,26518.1,18086.7,28274.7,23628.0,-14130.0,,-21937.5,-43797.0,-31750.0,-29303.6,-17459.9,-25891.3,-15703.3,-20350.0,,False,False,False,False,False,False,False,False
North Carolina,70863,69552.0,,47841.3,90480.0,58414.0,44252.8,45511.3,52695.5,99928.5,37360.0,-1311.0,,-23021.7,19617.0,-12449.0,-26610.2,-25351.7,-18167.5,29065.5,-33503.0,,False,False,False,False,False,False,False,False
North Dakota,16891,9044.0,,8785.4,199.0,7273.0,6825.0,7459.8,9892.2,15691.9,9519.0,-7847.0,,-8105.6,-16692.0,-9618.0,-10066.0,-9431.2,-6998.8,-1199.1,-7372.0,,False,False,False,False,False,True,True,True
Ohio,53293,45437.0,,29491.8,32503.0,45410.0,21748.5,25127.8,43059.2,30426.5,29088.0,-7856.0,,-23801.2,-20790.0,-7883.0,-31544.5,-28165.2,-10233.8,-22866.5,-24205.0,,False,False,False,False,False,False,False,False
Oklahoma,46022,33607.0,,20616.8,29150.0,35718.0,21328.6,14479.1,27815.1,35911.6,21910.0,-12415.0,,-25405.2,-16872.0,-10304.0,-24693.4,-31542.9,-18206.9,-10110.4,-24112.0,,False,False,True,False,False,False,True,False
Oregon,12214,11844.0,,9733.5,19097.0,8771.0,6974.7,7020.7,10467.9,8603.6,10006.0,-370.0,,-2480.5,6883.0,-3443.0,-5239.3,-5193.3,-1746.1,-3610.4,-2208.0,,False,False,False,False,False,False,False,False
Pennsylvania,42637,32403.0,,26624.0,4063.0,21867.0,16184.0,19417.7,24540.4,21773.2,21141.0,-10234.0,,-16013.0,-38574.0,-20770.0,-26453.0,-23219.3,-18096.6,-20863.8,-21496.0,,False,False,False,False,False,False,False,False
Rhode Island,5402,4809.0,,3229.5,5.0,8710.0,1524.8,1796.9,5866.3,3569.5,2064.0,-593.0,,-2172.5,-5397.0,3308.0,-3877.2,-3605.1,464.3,-1832.5,-3338.0,,False,False,False,False,False,True,False,False
South Carolina,45326,37891.0,,18269.4,21532.0,30348.0,21748.1,18524.2,32139.8,25754.9,15605.0,-7435.0,,-27056.6,-23794.0,-14978.0,-23577.9,-26801.8,-13186.2,-19571.1,-29721.0,,False,False,False,False,False,False,False,False
South Dakota,16812,7119.0,,8949.0,440.0,5010.0,5079.8,8147.6,12088.2,17514.6,10648.0,-9693.0,,-7863.0,-16372.0,-11802.0,-11732.2,-8664.4,-4723.8,702.6,-6164.0,,True,False,False,False,True,True,True,True
Tennessee,70566,72352.0,,31190.3,41672.0,57615.0,47605.4,50149.6,43594.7,47625.8,31467.0,1786.0,,-39375.7,-28894.0,-12951.0,-22960.6,-20416.4,-26971.3,-22940.2,-39099.0,,False,False,False,False,False,False,False,False
Texas,230877,299579.0,,212558.6,207160.0,365008.0,124941.7,150710.4,255734.3,96533.3,154170.0,68702.0,,-18318.4,-23717.0,134131.0,-105935.3,-80166.6,24857.3,-134343.7,-76707.0,,True,True,False,False,False,True,False,False
Utah,35830,17451.0,,11955.3,9958.0,15589.0,9983.8,9117.5,18771.5,11488.9,9384.0,-18379.0,,-23874.7,-25872.0,-20241.0,-25846.2,-26712.5,-17058.5,-24341.1,-26446.0,,False,False,False,False,False,True,False,False
Vermont,304,308.0,,347.7,46.0,205.0,100.6,164.7,347.1,430.2,245.0,4.0,,43.7,-258.0,-99.0,-203.4,-139.3,43.1,126.2,-59.0,,False,False,False,False,False,False,False,False
Virginia,45833,44226.0,,30397.1,8933.0,30939.0,25846.7,25974.3,39138.3,34766.6,0.0,-1607.0,,-15435.9,-36900.0,-14894.0,-19986.3,-19858.7,-6694.7,-11066.4,-45833.0,,False,False,False,False,False,False,False,False
Washington,22440,25970.0,,24880.3,36212.0,17060.0,14270.7,15758.5,23139.0,18569.2,19235.0,3530.0,,2440.3,13772.0,-5380.0,-8169.3,-6681.5,699.0,-3870.8,-3205.0,,True,False,False,False,False,True,False,True
West Virginia,8742,5061.0,,2795.8,5449.0,4660.0,2396.3,3017.0,3501.8,3349.4,4001.0,-3681.0,,-5946.2,-3293.0,-4082.0,-6345.7,-5725.0,-5240.2,-5392.6,-4741.0,,False,True,False,False,False,False,False,False
Wisconsin,77551,34671.0,,29791.8,21710.0,33512.0,20631.3,14674.2,23336.9,25556.2,19526.0,-42880.0,,-47759.2,-55841.0,-44039.0,-56919.7,-62876.8,-54214.1,-51994.8,-58025.0,,False,False,False,False,False,False,False,False
Wyoming,3920,2212.0,,1238.8,1127.0,1755.0,1191.6,786.1,2096.6,2577.6,2599.0,-1708.0,,-2681.2,-2793.0,-2165.0,-2728.4,-3133.9,-1823.4,-1342.4,-1321.0,,False,False,False,False,False,False,True,True
US,2052018,2141629.0,1206536.0,1270824.3,1360402.0,2090502.0,985851.4,1224563.1,1736391.2,1259842.4,1123375.0,89611.0,-845482.0,-781193.7,-691616.0,38484.0,-1066166.6,-827454.9,-315626.8,-792175.6,-928643.0,False,False,False,True,False,False,False,False,False
