,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,8100,8296.0,8591.7,7677.0,7378.0,,8270.7,6946.0,7837.0,7647.8,8890.0,6626.0,7151.8,7732.8,12425.0,7786.1,8088.0,7188.4,7303.7,7845.0,,5923.7,3068.8,7709.2,7661.3,7202.0,196.0,491.7,-423.0,-722.0,,170.7,-1154.0,-263.0,-452.2,790.0,-1474.0,-948.2,-367.2,4325.0,-313.9,-12.0,-911.6,-796.3,-255.0,,-2176.3,-5031.2,-390.8,-438.7,-898.0,False,False,False,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False
Hawaii,644,716.0,740.5,641.0,647.0,,635.6,406.0,510.3,772.9,,,700.5,683.4,913.2,970.8,628.4,626.5,649.9,677.0,,489.0,254.7,677.0,716.9,710.0,72.0,96.5,-3.0,3.0,,-8.4,-238.0,-133.7,128.9,,,56.5,39.4,269.2,326.8,-15.6,-17.5,5.9,33.0,,-155.0,-389.3,33.0,72.9,66.0,False,True,True,,True,False,False,False,,,True,True,False,False,True,True,True,True,,False,False,True,False,True
Idaho,3999,3406.0,3459.4,3234.0,3600.0,,3323.9,1610.0,4372.3,3686.7,3531.0,2850.0,3867.1,3916.7,3349.7,2390.9,2469.1,2640.5,3310.3,4474.0,,2506.5,1153.6,2929.9,3526.6,3473.0,-593.0,-539.6,-765.0,-399.0,,-675.1,-2389.0,373.3,-312.3,-468.0,-1149.0,-131.9,-82.3,-649.3,-1608.1,-1529.9,-1358.5,-688.7,475.0,,-1492.5,-2845.4,-1069.1,-472.4,-526.0,True,False,True,,False,False,True,True,True,False,True,True,False,False,False,False,False,True,,False,False,False,True,True
Illinois,16669,14009.0,14279.6,13058.0,14138.0,,13029.9,6701.0,12652.6,13935.0,14866.0,13446.0,16192.0,13058.4,16356.4,13177.3,11949.6,11843.3,13215.8,15644.0,,11328.8,20122.1,13240.9,11918.5,14621.0,-2660.0,-2389.4,-3611.0,-2531.0,,-3639.1,-9968.0,-4016.4,-2734.0,-1803.0,-3223.0,-477.0,-3610.6,-312.6,-3491.7,-4719.4,-4825.7,-3453.2,-1025.0,,-5340.2,3453.1,-3428.1,-4750.5,-2048.0,True,False,True,,False,False,False,False,True,False,True,False,True,False,False,False,False,True,,False,False,False,False,True
Indiana,9352,7510.0,7480.0,7206.0,7862.0,,6731.2,4760.0,6203.8,7693.3,7894.0,6485.0,6735.9,6880.4,10264.3,7863.5,6517.7,7660.2,8179.3,8421.0,,9898.3,9362.7,7040.7,7149.8,8389.0,-1842.0,-1872.0,-2146.0,-1490.0,,-2620.8,-4592.0,-3148.2,-1658.7,-1458.0,-2867.0,-2616.1,-2471.6,912.3,-1488.5,-2834.3,-1691.8,-1172.7,-931.0,,546.3,10.7,-2311.3,-2202.2,-963.0,False,False,True,,False,False,False,True,True,False,False,False,True,True,False,True,True,True,,True,True,False,False,True
Iowa,6741,6393.0,6407.8,5763.0,6560.0,,6567.9,5259.0,5054.6,6567.7,6750.0,5532.0,7428.3,6808.7,5837.9,3922.9,7225.7,4422.5,5671.6,7381.0,,4516.0,2386.4,6089.3,6108.5,6644.0,-348.0,-333.2,-978.0,-181.0,,-173.1,-1482.0,-1686.4,-173.3,9.0,-1209.0,687.3,67.7,-903.1,-2818.1,484.7,-2318.5,-1069.4,640.0,,-2225.0,-4354.6,-651.7,-632.5,-97.0,True,False,True,,True,False,False,True,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,True
Kansas,4727,4072.0,3948.1,3930.0,3504.0,,4278.8,3660.0,4132.0,4167.5,4052.0,4661.0,4057.9,4668.0,,3698.6,4289.7,2663.0,3649.8,4522.0,,2614.2,4702.3,3911.5,4083.3,3605.0,-655.0,-778.9,-797.0,-1223.0,,-448.2,-1067.0,-595.0,-559.5,-675.0,-66.0,-669.1,-59.0,,-1028.4,-437.3,-2064.0,-1077.2,-205.0,,-2112.8,-24.7,-815.5,-643.7,-1122.0,False,False,False,,True,False,True,True,False,True,False,True,,False,True,False,False,True,,False,True,False,True,False
Kentucky,7444,5965.0,5892.7,5725.0,6365.0,,5591.4,4732.0,10374.0,6058.4,6541.0,6062.0,6271.6,5725.1,9643.3,4894.1,4998.9,5421.6,6304.5,7145.0,,5356.8,5735.3,5515.9,5973.2,6562.0,-1479.0,-1551.3,-1719.0,-1079.0,,-1852.6,-2712.0,2930.0,-1385.6,-903.0,-1382.0,-1172.4,-1718.9,2199.3,-2549.9,-2445.1,-2022.4,-1139.5,-299.0,,-2087.2,-1708.7,-1928.1,-1470.8,-882.0,False,False,True,,False,False,False,True,True,True,True,False,False,False,False,False,True,True,,False,False,False,True,True
Louisiana,4580,3473.0,3500.7,3288.0,3288.0,,3278.1,2176.0,10289.2,3681.5,2856.0,2953.0,3660.7,3496.2,295.0,3409.9,3062.5,3682.0,3639.2,3107.0,,3940.3,0.0,3031.8,4418.2,2791.0,-1107.0,-1079.3,-1292.0,-1292.0,,-1301.9,-2404.0,5709.2,-898.5,-1724.0,-1627.0,-919.3,-1083.8,-4285.0,-1170.1,-1517.5,-898.0,-940.8,-1473.0,,-639.7,-4580.0,-1548.2,-161.8,-1789.0,True,False,False,,False,False,False,True,False,False,True,True,False,False,False,True,True,False,,True,False,False,True,False
Maine,211,226.0,222.9,226.0,256.0,,231.5,183.0,210.3,227.2,215.0,178.0,223.0,242.6,156.4,421.1,244.3,229.9,243.4,241.0,,198.5,102.1,211.1,218.8,214.0,15.0,11.9,15.0,45.0,,20.5,-28.0,-0.7,16.2,4.0,-33.0,12.0,31.6,-54.6,210.1,33.3,18.9,32.4,30.0,,-12.5,-108.9,0.1,7.8,3.0,True,False,False,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,,True,False,True,True,True
Maryland,3976,3847.0,3832.0,3790.0,4117.0,,3584.6,1086.0,3365.8,3935.0,3911.0,3558.0,3610.5,3507.8,4262.6,5569.7,3792.1,3573.1,3869.0,3907.0,,3636.1,4601.8,3790.3,4009.6,4107.0,-129.0,-144.0,-186.0,141.0,,-391.4,-2890.0,-610.2,-41.0,-65.0,-418.0,-365.5,-468.2,286.6,1593.7,-183.9,-402.9,-107.0,-69.0,,-339.9,625.8,-185.7,33.6,131.0,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,False,True,True,,False,False,False,True,False
Massachusetts,4037,4253.0,4332.4,4253.0,4798.0,,4191.2,1544.0,4378.7,4833.6,3620.0,3134.0,4773.6,3841.3,5116.7,4898.7,3860.6,4272.5,4733.8,4420.0,,5270.2,2204.3,4069.1,3059.9,4664.0,216.0,295.4,216.0,761.0,,154.2,-2493.0,341.7,796.6,-417.0,-903.0,736.6,-195.7,1079.7,861.7,-176.4,235.5,696.8,383.0,,1233.2,-1832.7,32.1,-977.1,627.0,False,False,False,,True,False,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,True,False,False
Michigan,8182,6898.0,6907.8,6691.0,7612.0,,6608.0,1654.0,5471.2,7170.9,6962.0,8700.0,7965.3,6691.2,8809.0,10405.0,6100.8,3871.1,6158.5,8200.0,,2360.2,9237.3,7017.1,4537.7,7221.0,-1284.0,-1274.2,-1491.0,-570.0,,-1574.0,-6528.0,-2710.8,-1011.1,-1220.0,518.0,-216.7,-1490.8,627.0,2223.0,-2081.2,-4310.9,-2023.5,18.0,,-5821.8,1055.3,-1164.9,-3644.3,-961.0,True,False,True,,False,False,False,True,True,True,True,False,True,False,False,False,False,True,,False,True,True,False,True
Minnesota,8041,7128.0,7115.1,6680.0,7714.0,,6679.9,3863.0,5826.7,7222.1,7718.0,8346.0,8101.8,6646.6,10314.9,5223.4,6070.8,7167.4,7372.9,8719.0,,6578.7,6761.7,6662.1,7327.1,7862.0,-913.0,-925.9,-1361.0,-327.0,,-1361.1,-4178.0,-2214.3,-818.9,-323.0,305.0,60.8,-1394.4,2273.9,-2817.6,-1970.2,-873.6,-668.1,678.0,,-1462.3,-1279.3,-1378.9,-713.9,-179.0,False,False,True,,False,False,False,True,True,True,True,False,False,False,False,True,True,True,,False,False,False,True,True
Mississippi,4471,3490.0,3452.1,3185.0,3413.0,,3458.9,1914.0,3049.5,3309.5,3854.0,3037.0,4302.6,3613.3,4509.7,2017.5,2213.4,3078.5,3437.2,4001.0,,2652.1,0.0,3185.3,3678.1,3653.0,-981.0,-1018.9,-1286.0,-1058.0,,-1012.1,-2557.0,-1421.5,-1161.5,-617.0,-1434.0,-168.4,-857.7,38.7,-2453.5,-2257.6,-1392.5,-1033.8,-470.0,,-1818.9,-4471.0,-1285.7,-792.9,-818.0,False,False,False,,False,False,False,False,True,False,True,True,True,False,False,False,False,True,,False,False,False,True,True
Missouri,13052,9124.0,9203.0,9203.0,10184.0,,9607.2,9105.0,9476.8,6359.3,9584.0,9781.0,9864.5,8537.2,13415.5,7331.1,9683.9,29063.6,8141.0,10638.0,,9810.2,9124.1,7665.1,10294.8,8938.0,-3928.0,-3849.0,-3849.0,-2868.0,,-3444.8,-3947.0,-3575.2,-6692.7,-3468.0,-3271.0,-3187.5,-4514.8,363.5,-5720.9,-3368.1,16011.6,-4911.0,-2414.0,,-3241.8,-3927.9,-5386.9,-2757.2,-4114.0,True,True,True,,True,False,True,False,True,True,True,False,True,False,True,False,False,True,,True,True,False,True,False
Montana,3761,2449.0,2438.1,2376.0,2204.0,,2390.6,1415.0,1713.1,2768.4,2297.0,2845.0,2831.4,2926.7,3874.8,852.7,2394.6,2375.8,2631.8,3056.0,,2066.3,2789.7,2080.8,3084.2,2801.0,-1312.0,-1322.9,-1385.0,-1557.0,,-1370.4,-2346.0,-2047.9,-992.6,-1464.0,-916.0,-929.6,-834.3,113.8,-2908.3,-1366.4,-1385.2,-1129.2,-705.0,,-1694.7,-971.3,-1680.2,-676.8,-960.0,False,False,False,,False,False,False,True,False,True,True,True,True,False,False,False,True,True,,False,True,False,True,True
Nebraska,4484,3807.0,3792.7,3401.0,3401.0,,3579.5,2385.0,3087.7,3800.1,3695.0,2933.0,3411.8,4014.6,3258.1,2799.5,3045.8,3165.3,3679.1,4466.0,,3592.9,1911.5,3806.6,3303.4,3805.0,-677.0,-691.3,-1083.0,-1083.0,,-904.5,-2099.0,-1396.3,-683.9,-789.0,-1551.0,-1072.2,-469.4,-1225.9,-1684.5,-1438.2,-1318.7,-804.9,-18.0,,-891.1,-2572.5,-677.4,-1180.6,-679.0,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,False,False,False
Nevada,3691,3353.0,3391.3,3130.0,3403.0,,3130.1,1171.0,2653.0,3507.7,3465.0,2339.0,3555.1,3250.3,4132.1,1945.7,2555.3,2964.2,3346.1,4301.0,,3714.9,0.0,3034.1,4074.1,3654.0,-338.0,-299.7,-561.0,-288.0,,-560.9,-2520.0,-1038.0,-183.3,-226.0,-1352.0,-135.9,-440.7,441.1,-1745.3,-1135.7,-726.8,-344.9,610.0,,23.9,-3691.0,-656.9,383.1,-37.0,True,False,True,,False,False,False,True,True,False,True,False,False,False,False,False,False,False,,True,False,False,False,True
New Hampshire,495,476.0,478.7,398.0,371.0,,347.6,72.0,328.3,456.1,427.0,236.0,305.9,445.8,616.5,643.3,444.3,457.7,397.9,513.0,,326.6,22.8,448.5,391.3,544.0,-19.0,-16.3,-97.0,-124.0,,-147.4,-423.0,-166.7,-38.9,-68.0,-259.0,-189.1,-49.2,121.5,148.3,-50.7,-37.3,-97.1,18.0,,-168.4,-472.2,-46.5,-103.7,49.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
New Jersey,5301,4726.0,4717.6,4718.0,5558.0,,4166.2,2150.0,4262.1,5795.8,3145.0,4455.0,4594.3,3892.8,6584.1,9331.7,4598.8,4485.2,5227.3,4651.0,,4931.3,753.6,4578.7,3709.4,5477.0,-575.0,-583.4,-583.0,257.0,,-1134.8,-3151.0,-1038.9,494.8,-2156.0,-846.0,-706.7,-1408.2,1283.1,4030.7,-702.2,-815.8,-73.7,-650.0,,-369.7,-4547.4,-722.3,-1591.6,176.0,False,False,True,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,True
New Mexico,2426,1604.0,1623.0,1532.0,1766.0,,1477.2,472.0,1179.7,1996.7,1637.0,1499.0,1768.5,1609.7,2528.6,1378.3,1037.4,1565.6,1839.5,2060.0,,1481.5,1511.4,1531.9,1737.3,1742.0,-822.0,-803.0,-894.0,-660.0,,-948.8,-1954.0,-1246.3,-429.3,-789.0,-927.0,-657.5,-816.3,102.6,-1047.7,-1388.6,-860.4,-586.5,-366.0,,-944.5,-914.6,-894.1,-688.7,-684.0,True,False,True,,False,False,False,True,True,False,True,True,True,False,False,False,True,True,,False,False,False,True,True
New York,9783,8600.0,8730.0,8600.0,10051.0,,7804.0,2671.0,7828.3,8804.4,4989.0,4240.0,7238.9,7124.3,12758.9,14388.9,10425.5,8535.8,10184.5,7916.0,,10705.7,3860.3,8528.5,5996.1,9405.0,-1183.0,-1053.0,-1183.0,268.0,,-1979.0,-7112.0,-1954.7,-978.6,-4794.0,-5543.0,-2544.1,-2658.7,2975.9,4605.9,642.5,-1247.2,401.5,-1867.0,,922.7,-5922.7,-1254.5,-3786.9,-378.0,True,False,True,,False,False,False,True,False,False,False,False,False,False,True,False,True,False,,True,False,False,False,True
North Carolina,12866,9112.0,9067.4,8493.0,10965.0,,8968.1,6518.0,6638.8,10373.8,12603.0,9051.0,10140.8,8367.1,,9299.1,7596.9,7590.2,9004.2,10630.0,,6547.8,6207.4,8277.8,11886.8,9121.0,-3754.0,-3798.6,-4373.0,-1901.0,,-3897.9,-6348.0,-6227.2,-2492.2,-263.0,-3815.0,-2725.2,-4498.9,,-3566.9,-5269.1,-5275.8,-3861.8,-2236.0,,-6318.2,-6658.6,-4588.2,-979.2,-3745.0,False,False,True,,False,False,False,True,True,False,True,False,,True,False,False,False,True,,False,False,False,True,True
North Dakota,3493,2754.0,2782.8,2754.0,2360.0,,2809.2,2311.0,2643.4,2698.9,3033.0,2588.0,3189.9,3218.7,3301.8,1200.4,3715.6,2798.6,2822.3,3248.0,,2564.0,2478.9,2595.4,3366.0,2914.0,-739.0,-710.2,-739.0,-1133.0,,-683.8,-1182.0,-849.6,-794.1,-460.0,-905.0,-303.1,-274.3,-191.2,-2292.6,222.6,-694.4,-670.7,-245.0,,-929.0,-1014.1,-897.6,-127.0,-579.0,True,False,False,,True,False,False,False,True,False,True,True,True,False,True,True,True,True,,False,False,False,True,True
Ohio,9492,7957.0,8058.2,7935.0,8604.0,,6950.6,6053.0,7183.3,8097.3,8151.0,6860.0,7701.5,7973.8,8421.9,10482.1,6321.7,6897.1,8076.7,8635.0,,7935.3,3861.7,7564.4,7934.5,8433.0,-1535.0,-1433.8,-1557.0,-888.0,,-2541.4,-3439.0,-2308.7,-1394.7,-1341.0,-2632.0,-1790.5,-1518.2,-1070.1,990.1,-3170.3,-2594.9,-1415.3,-857.0,,-1556.7,-5630.3,-1927.6,-1557.5,-1059.0,True,False,True,,False,False,False,True,True,False,False,True,True,True,False,False,True,True,,False,False,False,False,True
Oklahoma,7873,7238.0,7385.0,6656.0,7434.0,,7711.9,6045.0,5578.7,7113.9,7714.0,6656.0,8136.1,7416.4,9266.7,5887.8,8367.5,3538.5,5734.9,8323.0,,1606.6,5512.0,5942.1,7700.9,6819.0,-635.0,-488.0,-1217.0,-439.0,,-161.1,-1828.0,-2294.3,-759.1,-159.0,-1217.0,263.1,-456.6,1393.7,-1985.2,494.5,-4334.5,-2138.1,450.0,,-6266.4,-2361.0,-1930.9,-172.1,-1054.0,True,False,True,,True,False,False,False,True,False,True,True,False,False,True,False,False,True,,False,False,False,True,False
Oregon,2413,1930.0,1945.8,1946.0,1982.0,,1997.9,1219.0,1695.9,1919.8,2042.0,1952.0,2192.7,2032.9,2780.4,3415.2,1824.3,1847.0,2143.8,2448.0,,1762.8,902.7,1607.8,2002.5,1964.0,-483.0,-467.2,-467.0,-431.0,,-415.1,-1194.0,-717.1,-493.2,-371.0,-461.0,-220.3,-380.1,367.4,1002.2,-588.7,-566.0,-269.2,35.0,,-650.2,-1510.3,-805.2,-410.5,-449.0,True,True,True,,True,False,False,False,True,True,True,True,True,False,False,False,True,True,,False,False,False,True,True
Pennsylvania,9559,6305.0,6247.6,6523.0,6621.0,,6425.0,1889.0,7605.5,6677.6,5689.0,5196.0,6444.2,7186.2,,9372.6,5214.6,7702.7,8667.0,6553.0,,8208.6,6615.0,6474.2,5767.2,6453.0,-3254.0,-3311.4,-3036.0,-2938.0,,-3134.0,-7670.0,-1953.5,-2881.4,-3870.0,-4363.0,-3114.8,-2372.8,,-186.4,-4344.4,-1856.3,-892.0,-3006.0,,-1350.4,-2944.0,-3084.8,-3791.8,-3106.0,False,True,True,,True,False,True,True,False,False,True,True,,True,False,True,True,True,,True,True,True,False,True
Rhode Island,1218,895.0,906.4,737.0,721.0,,753.1,200.0,1809.4,869.1,701.0,1185.0,976.6,970.3,,1090.0,847.5,514.9,705.7,867.0,,165.8,1012.5,875.1,690.8,716.0,-323.0,-311.6,-481.0,-497.0,,-464.9,-1018.0,591.4,-348.9,-517.0,-33.0,-241.4,-247.7,,-128.0,-370.5,-703.1,-512.3,-351.0,,-1052.2,-205.5,-342.9,-527.2,-502.0,True,False,False,,False,False,False,False,False,True,True,True,,True,False,False,False,False,,False,True,False,False,False
South Carolina,5730,5618.0,5301.0,5239.0,5687.0,,6652.8,3870.0,5344.7,5589.1,6384.0,5746.0,6205.1,4765.3,,3001.5,7691.0,5056.6,5486.9,7216.0,,4831.1,4432.4,4612.9,6708.0,5845.0,-112.0,-429.0,-491.0,-43.0,,922.8,-1860.0,-385.3,-140.9,654.0,16.0,475.1,-964.7,,-2728.5,1961.0,-673.4,-243.1,1486.0,,-898.9,-1297.6,-1117.1,978.0,115.0,False,False,True,,False,False,False,False,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False
