,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01049,623,300.0,216.0,,,,,502.0,,227.2,,116.5,98.8,,113.3,347.0,,,-323.0,-407.0,,,,,-121.0,,-395.8,,-506.5,-524.2,,-509.6,-276.0,,,False,,,,,True,,False,,False,False,,False,True,,
01051,659,515.0,722.0,,,,,522.0,,264.7,,203.3,155.6,,283.0,490.1,,,-144.0,63.0,,,,,-137.0,,-394.3,,-455.7,-503.4,,-376.0,-168.9,,,True,,,,,True,,False,,False,False,,False,False,,
01053,237,180.0,63.0,,,,,386.0,,176.1,,6.3,0.6,,79.2,114.7,,,-57.0,-174.0,,,,,149.0,,-60.9,,-230.7,-236.4,,-157.8,-122.3,,,False,,,,,False,,False,,False,False,,False,False,,
01055,758,515.0,221.0,,,,,709.0,,667.7,,190.0,286.4,,300.2,314.2,,,-243.0,-537.0,,,,,-49.0,,-90.3,,-568.0,-471.6,,-457.8,-443.8,,,False,,,,,True,,True,,False,False,,False,False,,
01057,151,135.0,72.0,,,,,121.0,,107.3,,88.0,74.2,,75.6,143.0,,,-16.0,-79.0,,,,,-30.0,,-43.7,,-63.0,-76.8,,-75.4,-8.0,,,False,,,,,False,,False,,False,False,,False,True,,
01059,281,320.0,318.0,,,,,449.0,,98.6,,119.9,258.9,,71.7,246.4,,,39.0,37.0,,,,,168.0,,-182.4,,-161.1,-22.1,,-209.3,-34.6,,,True,,,,,False,,False,,False,True,,False,True,,
01061,318,100.0,101.0,,,,,207.0,,199.9,,13.5,129.5,,65.0,78.4,,,-218.0,-217.0,,,,,-111.0,,-118.1,,-304.5,-188.5,,-253.0,-239.6,,,True,,,,,True,,True,,False,True,,False,False,,
01063,32,40.0,5.0,,,,,31.0,,24.2,,2.7,0.2,,67.2,25.8,,,8.0,-27.0,,,,,-1.0,,-7.8,,-29.3,-31.8,,35.2,-6.2,,,False,,,,,True,,True,,False,False,,False,True,,
01065,125,45.0,36.0,,,,,106.0,,39.4,,2.7,1.4,,12.9,76.8,,,-80.0,-89.0,,,,,-19.0,,-85.6,,-122.3,-123.6,,-112.1,-48.2,,,False,,,,,True,,False,,False,False,,False,True,,
01067,185,125.0,126.0,,,,,95.0,,83.4,,16.4,48.8,,67.9,131.5,,,-60.0,-59.0,,,,,-90.0,,-101.6,,-168.6,-136.2,,-117.1,-53.5,,,True,,,,,False,,False,,False,False,,False,True,,
01069,1245,500.0,252.0,,,,,717.0,,662.6,,159.2,335.8,,142.9,401.4,,,-745.0,-993.0,,,,,-528.0,,-582.4,,-1085.8,-909.2,,-1102.1,-843.6,,,False,,,,,True,,True,,False,False,,False,False,,
01071,454,275.0,148.0,,,,,331.0,,314.8,,113.1,161.7,,48.0,227.9,,,-179.0,-306.0,,,,,-123.0,,-139.2,,-340.9,-292.3,,-406.1,-226.1,,,False,,,,,True,,True,,False,False,,False,False,,
01073,4255,4475.0,2347.0,,,,,3716.0,,3158.1,,2668.1,745.7,,1644.5,3095.0,,,220.0,-1908.0,,,,,-539.0,,-1096.9,,-1586.9,-3509.3,,-2610.5,-1160.0,,,False,,,,,False,,False,,False,False,,False,False,,
01075,121,60.0,35.0,,,,,126.0,,59.4,,8.2,37.7,,14.0,30.3,,,-61.0,-86.0,,,,,5.0,,-61.6,,-112.8,-83.3,,-107.0,-90.7,,,False,,,,,True,,False,,False,False,,False,False,,
01077,417,345.0,367.0,,,,,842.0,,387.9,,167.9,179.8,,90.7,219.7,,,-72.0,-50.0,,,,,425.0,,-29.1,,-249.1,-237.2,,-326.3,-197.3,,,True,,,,,False,,True,,False,False,,False,False,,
01079,182,295.0,744.0,,,,,256.0,,187.3,,124.8,101.1,,23.9,242.8,,,113.0,562.0,,,,,74.0,,5.3,,-57.2,-80.9,,-158.1,60.8,,,False,,,,,True,,True,,True,True,,False,True,,
01081,1189,1330.0,1917.0,,,,,1498.0,,773.8,,477.5,496.4,,411.2,934.6,,,141.0,728.0,,,,,309.0,,-415.2,,-711.5,-692.6,,-777.8,-254.4,,,False,,,,,False,,False,,False,False,,False,False,,
01083,737,400.0,415.0,,,,,708.0,,242.8,,134.1,220.1,,221.9,274.5,,,-337.0,-322.0,,,,,-29.0,,-494.2,,-602.9,-516.9,,-515.1,-462.5,,,True,,,,,True,,False,,False,False,,False,False,,
01085,56,20.0,0.0,,,,,73.0,,16.5,,1.2,0.5,,7.8,16.8,,,-36.0,-56.0,,,,,17.0,,-39.5,,-54.8,-55.5,,-48.2,-39.2,,,False,,,,,True,,False,,False,False,,False,False,,
01087,59,95.0,101.0,,,,,56.0,,75.8,,8.6,0.0,,33.3,80.6,,,36.0,42.0,,,,,-3.0,,16.8,,-50.4,-59.0,,-25.7,21.6,,,False,,,,,True,,True,,False,False,,True,True,,
01089,1843,1910.0,3111.0,,,,,1879.0,,1850.8,,1344.7,361.7,,509.9,1044.3,,,67.0,1268.0,,,,,36.0,,7.8,,-498.3,-1481.3,,-1333.1,-798.7,,,False,,,,,True,,True,,False,False,,False,False,,
01091,219,100.0,39.0,,,,,179.0,,54.6,,17.5,0.4,,31.5,96.9,,,-119.0,-180.0,,,,,-40.0,,-164.4,,-201.5,-218.6,,-187.5,-122.1,,,False,,,,,True,,False,,False,False,,False,False,,
01093,211,105.0,115.0,,,,,249.0,,155.0,,29.5,67.6,,46.8,56.7,,,-106.0,-96.0,,,,,38.0,,-56.0,,-181.5,-143.4,,-164.2,-154.3,,,True,,,,,True,,True,,False,False,,False,False,,
01095,522,105.0,27.0,,,,,792.0,,244.1,,22.5,35.7,,61.6,301.4,,,-417.0,-495.0,,,,,270.0,,-277.9,,-499.5,-486.3,,-460.4,-220.6,,,False,,,,,True,,True,,False,False,,False,True,,
01097,1481,1640.0,1970.0,,,,,2045.0,,1829.1,,808.8,831.8,,220.6,3251.4,,,159.0,489.0,,,,,564.0,,348.1,,-672.2,-649.2,,-1260.4,1770.4,,,False,,,,,False,,False,,False,False,,False,False,,
01099,56,0.0,0.0,,,,,150.0,,56.9,,0.0,21.4,,2.4,6.2,,,-56.0,-56.0,,,,,94.0,,0.9,,-56.0,-34.6,,-53.6,-49.8,,,False,,,,,False,,True,,True,True,,True,True,,
01101,1146,1205.0,1519.0,,,,,1374.0,,585.8,,373.4,185.5,,344.3,1213.5,,,59.0,373.0,,,,,228.0,,-560.2,,-772.6,-960.5,,-801.7,67.5,,,False,,,,,False,,False,,False,False,,False,False,,
01103,685,470.0,245.0,,,,,849.0,,319.7,,126.4,160.5,,198.9,256.6,,,-215.0,-440.0,,,,,164.0,,-365.3,,-558.6,-524.5,,-486.1,-428.4,,,False,,,,,True,,False,,False,False,,False,False,,
01105,48,15.0,0.0,,,,,45.0,,26.6,,4.2,0.0,,5.3,21.0,,,-33.0,-48.0,,,,,-3.0,,-21.4,,-43.8,-48.0,,-42.7,-27.0,,,False,,,,,True,,True,,False,False,,False,True,,
01107,142,75.0,86.0,,,,,166.0,,71.9,,25.5,1.6,,6.3,63.4,,,-67.0,-56.0,,,,,24.0,,-70.1,,-116.5,-140.4,,-135.7,-78.6,,,True,,,,,True,,False,,False,False,,False,False,,
01109,222,145.0,133.0,,,,,465.0,,118.1,,18.8,0.2,,83.4,130.0,,,-77.0,-89.0,,,,,243.0,,-103.9,,-203.2,-221.8,,-138.6,-92.0,,,False,,,,,False,,False,,False,False,,False,False,,
01111,197,155.0,137.0,,,,,152.0,,113.3,,26.1,33.9,,56.5,103.7,,,-42.0,-60.0,,,,,-45.0,,-83.7,,-170.9,-163.1,,-140.4,-93.3,,,False,,,,,False,,False,,False,False,,False,False,,
01113,208,145.0,117.0,,,,,421.0,,181.4,,10.6,78.4,,53.1,198.8,,,-63.0,-91.0,,,,,213.0,,-26.6,,-197.4,-129.6,,-154.9,-9.2,,,False,,,,,False,,True,,False,False,,False,True,,
01115,634,385.0,426.0,,,,,480.0,,467.3,,116.7,171.5,,58.3,232.5,,,-249.0,-208.0,,,,,-154.0,,-166.7,,-517.3,-462.5,,-575.7,-401.5,,,True,,,,,True,,True,,False,False,,False,False,,
01117,1809,1685.0,1992.0,,,,,1165.0,,1021.8,,625.3,826.7,,265.3,954.2,,,-124.0,183.0,,,,,-644.0,,-787.2,,-1183.7,-982.3,,-1543.7,-854.8,,,False,,,,,False,,False,,False,False,,False,False,,
01119,45,40.0,35.0,,,,,69.0,,17.5,,2.1,0.2,,8.3,36.2,,,-5.0,-10.0,,,,,24.0,,-27.5,,-42.9,-44.8,,-36.7,-8.8,,,False,,,,,False,,False,,False,False,,False,False,,
01121,559,70.0,342.0,,,,,473.0,,519.7,,42.0,209.0,,44.2,129.5,,,-489.0,-217.0,,,,,-86.0,,-39.3,,-517.0,-350.0,,-514.8,-429.5,,,True,,,,,True,,True,,False,True,,False,True,,
01123,142,95.0,91.0,,,,,275.0,,137.5,,25.9,28.4,,18.9,88.1,,,-47.0,-51.0,,,,,133.0,,-4.5,,-116.1,-113.6,,-123.1,-53.9,,,False,,,,,False,,True,,False,False,,False,False,,
01125,3218,1010.0,412.0,,,,,2127.0,,800.4,,471.1,608.1,,721.7,752.5,,,-2208.0,-2806.0,,,,,-1091.0,,-2417.6,,-2746.9,-2609.9,,-2496.3,-2465.5,,,False,,,,,True,,False,,False,False,,False,False,,
01127,504,500.0,657.0,,,,,529.0,,180.0,,209.7,70.9,,277.3,233.0,,,-4.0,153.0,,,,,25.0,,-324.0,,-294.3,-433.1,,-226.7,-271.0,,,False,,,,,False,,False,,False,False,,False,False,,
01129,77,20.0,4.0,,,,,125.0,,70.1,,82.5,0.0,,4.9,31.5,,,-57.0,-73.0,,,,,48.0,,-6.9,,5.5,-77.0,,-72.1,-45.5,,,False,,,,,True,,True,,True,False,,False,True,,
01131,31,0.0,5.0,,,,,61.0,,27.8,,147.5,0.2,,3.2,17.3,,,-31.0,-26.0,,,,,30.0,,-3.2,,116.5,-30.8,,-27.8,-13.7,,,True,,,,,True,,True,,False,True,,True,True,,
01133,221,125.0,168.0,,,,,207.0,,96.1,,33.5,79.0,,101.6,98.3,,,-96.0,-53.0,,,,,-14.0,,-124.9,,-187.5,-142.0,,-119.4,-122.7,,,True,,,,,True,,False,,False,False,,False,False,,
02013,5,0.0,0.0,,,,,,,1.9,,,,,0.0,0.2,,,-5.0,-5.0,,,,,,,-3.1,,,,,-5.0,-4.8,,,False,,,,,,,True,,,,,False,True,,
02016,2,0.0,0.0,,,,,,,1.7,,,,,0.4,0.1,,,-2.0,-2.0,,,,,,,-0.3,,,,,-1.6,-1.9,,,False,,,,,,,True,,,,,True,True,,
02020,2084,1410.0,1480.0,,,,,,,2302.3,,1063.3,986.1,,726.1,784.4,,,-674.0,-604.0,,,,,,,218.3,,-1020.7,-1097.9,,-1357.9,-1299.6,,,True,,,,,,,True,,False,False,,False,False,,
02050,111,10.0,0.0,,,,,,,22.3,,11.1,,,25.1,16.2,,,-101.0,-111.0,,,,,,,-88.7,,-99.9,,,-85.9,-94.8,,,False,,,,,,,True,,True,,,True,True,,
02060,0,0.0,0.0,,,,,,,0.0,,0.2,,,5.8,,,,0.0,0.0,,,,,,,0.0,,0.2,,,5.8,,,,True,,,,,,,True,,False,,,False,,,
02068,11,5.0,0.0,,,,,,,3.6,,,,,0.1,,,,-6.0,-11.0,,,,,,,-7.3,,,,,-10.9,,,,False,,,,,,,False,,,,,False,,,
02070,7,0.0,0.0,,,,,,,5.5,,0.1,,,0.6,0.4,,,-7.0,-7.0,,,,,,,-1.5,,-6.9,,,-6.4,-6.6,,,False,,,,,,,True,,True,,,True,True,,
02090,789,550.0,0.0,,,,,,,500.1,,724.7,395.0,,1136.9,309.5,,,-239.0,-789.0,,,,,,,-288.9,,-64.3,-394.0,,347.9,-479.5,,,False,,,,,,,False,,True,False,,False,False,,
02100,1,0.0,0.0,,,,,,,0.2,,,,,0.0,0.7,,,-1.0,-1.0,,,,,,,-0.8,,,,,-1.0,-0.3,,,False,,,,,,,True,,,,,True,True,,
02105,0,0.0,0.0,,,,,,,7.2,,,,,0.0,,,,0.0,0.0,,,,,,,7.2,,,,,0.0,,,,True,,,,,,,False,,,,,True,,,
02110,130,75.0,38.0,,,,,,,120.1,,28.7,72.8,,36.9,61.6,,,-55.0,-92.0,,,,,,,-9.9,,-101.3,-57.2,,-93.1,-68.4,,,False,,,,,,,True,,False,False,,False,False,,
02122,87,60.0,44.0,,,,,,,138.2,,9.1,165.9,,11.8,60.8,,,-27.0,-43.0,,,,,,,51.2,,-77.9,78.9,,-75.2,-26.2,,,False,,,,,,,False,,False,False,,False,True,,
02130,9,15.0,0.0,,,,,,,7.7,,1.3,,,0.7,18.5,,,6.0,-9.0,,,,,,,-1.3,,-7.7,,,-8.3,9.5,,,False,,,,,,,True,,False,,,False,False,,
02150,24,15.0,0.0,,,,,,,5.4,,1.3,,,9.6,,,,-9.0,-24.0,,,,,,,-18.6,,-22.7,,,-14.4,,,,False,,,,,,,False,,False,,,False,,,
02158,9,0.0,0.0,,,,,,,,,,,,0.0,0.4,,,-9.0,-9.0,,,,,,,,,,,,-9.0,-8.6,,,False,,,,,,,,,,,,True,True,,
02164,18,0.0,0.0,,,,,,,1.2,,,,,0.0,,,,-18.0,-18.0,,,,,,,-16.8,,,,,-18.0,,,,False,,,,,,,True,,,,,False,,,
02170,224,170.0,179.0,,,,,,,459.1,,116.3,437.1,,86.5,100.9,,,-54.0,-45.0,,,,,,,235.1,,-107.7,213.1,,-137.5,-123.1,,,True,,,,,,,False,,False,False,,False,False,,
02180,58,40.0,0.0,,,,,,,17.2,,2.1,,,6.5,,,,-18.0,-58.0,,,,,,,-40.8,,-55.9,,,-51.5,,,,False,,,,,,,False,,False,,,False,,,
02185,111,60.0,0.0,,,,,,,38.6,,4.3,,,39.1,,,,-51.0,-111.0,,,,,,,-72.4,,-106.7,,,-71.8,,,,False,,,,,,,False,,False,,,False,,,
02188,99,25.0,0.0,,,,,,,25.3,,2.6,,,0.4,,,,-74.0,-99.0,,,,,,,-73.7,,-96.4,,,-98.6,,,,False,,,,,,,True,,False,,,False,,,
02195,1,0.0,0.0,,,,,,,0.1,,0.1,,,0.0,0.3,,,-1.0,-1.0,,,,,,,-0.9,,-0.9,,,-1.0,-0.7,,,False,,,,,,,True,,True,,,False,True,,
02198,4,20.0,0.0,,,,,,,14.7,,0.8,,,2.4,,,,16.0,-4.0,,,,,,,10.7,,-3.2,,,-1.6,,,,True,,,,,,,True,,True,,,True,,,
02220,16,0.0,0.0,,,,,,,11.2,,1.0,,,2.6,2.6,,,-16.0,-16.0,,,,,,,-4.8,,-15.0,,,-13.4,-13.4,,,False,,,,,,,True,,True,,,True,True,,
02230,0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,True,,,,,,,True,,,,,True,,,
02240,15,5.0,0.0,,,,,,,0.6,,0.3,,,1.0,,,,-10.0,-15.0,,,,,,,-14.4,,-14.7,,,-14.0,,,,False,,,,,,,False,,False,,,False,,,
02261,11,10.0,0.0,,,,,,,6.2,,2.5,,,0.5,,,,-1.0,-11.0,,,,,,,-4.8,,-8.5,,,-10.5,,,,False,,,,,,,False,,False,,,False,,,
02275,1,5.0,0.0,,,,,,,1.7,,,,,1.2,,,,4.0,-1.0,,,,,,,0.7,,,,,0.2,,,,True,,,,,,,True,,,,,True,,,
02282,7,10.0,0.0,,,,,,,0.0,,,,,8.4,,,,3.0,-7.0,,,,,,,-7.0,,,,,1.4,,,,False,,,,,,,False,,,,,True,,,
02290,17,5.0,0.0,,,,,,,3.9,,3.9,,,0.5,,,,-12.0,-17.0,,,,,,,-13.1,,-13.1,,,-16.6,,,,False,,,,,,,False,,False,,,False,,,
04001,367,95.0,319.0,,,,,221.0,,109.2,,43.2,4.7,,30.6,188.8,,,-272.0,-48.0,,,,,-146.0,,-257.8,,-323.8,-362.3,,-336.4,-178.2,,,True,,,,,True,,True,,False,False,,False,True,,
04003,116,135.0,35.0,,,,,244.0,,157.6,,20.0,145.5,,35.3,123.6,,,19.0,-81.0,,,,,128.0,,41.6,,-96.0,29.5,,-80.7,7.6,,,False,,,,,False,,False,,False,False,,False,True,,
04005,1080,405.0,407.0,,,,,552.0,,160.1,,215.6,84.4,,9.7,259.4,,,-675.0,-673.0,,,,,-528.0,,-919.9,,-864.4,-995.6,,-1070.3,-820.6,,,True,,,,,True,,False,,False,False,,False,False,,
04007,398,120.0,47.0,,,,,59.0,,108.9,,41.6,22.4,,43.7,75.9,,,-278.0,-351.0,,,,,-339.0,,-289.1,,-356.4,-375.6,,-354.4,-322.1,,,False,,,,,False,,False,,False,False,,False,False,,
04009,183,210.0,142.0,,,,,103.0,,140.2,,149.9,0.0,,123.7,314.4,,,27.0,-41.0,,,,,-80.0,,-42.8,,-33.1,-183.0,,-59.3,131.4,,,False,,,,,False,,False,,False,False,,False,False,,
04011,6,0.0,0.0,,,,,10.0,,7.2,,1.0,,,7.8,1.5,,,-6.0,-6.0,,,,,4.0,,1.2,,-5.0,,,1.8,-4.5,,,False,,,,,True,,True,,True,,,True,True,,
04012,55,95.0,11.0,,,,,55.0,,31.0,,4.1,0.0,,3.3,50.5,,,40.0,-44.0,,,,,0.0,,-24.0,,-50.9,-55.0,,-51.7,-4.5,,,False,,,,,True,,True,,False,False,,False,True,,
04013,9991,12335.0,19325.0,,,,,8967.0,,6629.8,,8682.9,1610.0,,400.0,8301.7,,,2344.0,9334.0,,,,,-1024.0,,-3361.2,,-1308.1,-8381.0,,-9591.0,-1689.3,,,False,,,,,True,,False,,True,False,,False,True,,
04015,351,750.0,729.0,,,,,758.0,,355.3,,381.6,197.4,,228.2,510.8,,,399.0,378.0,,,,,407.0,,4.3,,30.6,-153.6,,-122.8,159.8,,,True,,,,,False,,True,,True,True,,True,True,,
04017,246,290.0,158.0,,,,,243.0,,124.6,,131.9,14.3,,32.2,277.4,,,44.0,-88.0,,,,,-3.0,,-121.4,,-114.1,-231.7,,-213.8,31.4,,,False,,,,,True,,False,,False,False,,False,True,,
04019,4529,3505.0,6517.0,,,,,2054.0,,1839.6,,2336.7,1607.8,,1737.9,2270.7,,,-1024.0,1988.0,,,,,-2475.0,,-2689.4,,-2192.3,-2921.2,,-2791.1,-2258.3,,,False,,,,,False,,False,,False,False,,False,False,,
04021,1066,2125.0,2595.0,,,,,908.0,,421.4,,1683.1,341.1,,419.7,1616.8,,,1059.0,1529.0,,,,,-158.0,,-644.6,,617.1,-724.9,,-646.3,550.8,,,False,,,,,True,,True,,True,True,,True,True,,
04023,137,255.0,60.0,,,,,150.0,,34.7,,53.2,2.3,,25.7,158.7,,,118.0,-77.0,,,,,13.0,,-102.3,,-83.8,-134.7,,-111.3,21.7,,,True,,,,,True,,True,,True,False,,True,True,,
04025,339,335.0,310.0,,,,,558.0,,424.8,,152.2,324.7,,112.5,317.4,,,-4.0,-29.0,,,,,219.0,,85.8,,-186.8,-14.3,,-226.5,-21.6,,,False,,,,,False,,False,,False,False,,False,False,,
04027,675,490.0,411.0,,,,,3145.0,,277.4,,103.0,15.0,,125.4,1786.4,,,-185.0,-264.0,,,,,2470.0,,-397.6,,-572.0,-660.0,,-549.6,1111.4,,,False,,,,,False,,False,,False,False,,False,False,,
05001,257,85.0,68.0,,,,,126.0,,117.5,,27.4,23.7,,8.1,55.2,,,-172.0,-189.0,,,,,-131.0,,-139.5,,-229.6,-233.3,,-248.9,-201.8,,,False,,,,,True,,True,,False,False,,False,False,,
