,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01049,759,408.0,279.0,,,,611.0,217.4,137.0,141.2,607.2,,,-351.0,-480.0,,,,-148.0,-541.6,-622.0,-617.8,-151.8,,,False,,,,True,False,False,False,True,,
01051,955,498.0,540.0,,,,578.0,300.2,166.2,133.5,371.0,,,-457.0,-415.0,,,,-377.0,-654.8,-788.8,-821.5,-584.0,,,True,,,,True,False,False,False,False,,
01053,481,240.0,87.0,,,,532.0,32.9,0.9,56.4,126.6,,,-241.0,-394.0,,,,51.0,-448.1,-480.1,-424.6,-354.4,,,False,,,,True,False,False,False,False,,
01055,1125,990.0,804.0,,,,780.0,494.0,340.3,599.1,612.6,,,-135.0,-321.0,,,,-345.0,-631.0,-784.7,-525.9,-512.4,,,False,,,,False,False,False,False,False,,
01057,213,114.0,62.0,,,,133.0,45.5,94.2,39.9,173.9,,,-99.0,-151.0,,,,-80.0,-167.5,-118.8,-173.1,-39.1,,,False,,,,True,False,False,False,True,,
01059,358,630.0,531.0,,,,417.0,306.8,293.7,317.3,374.1,,,272.0,173.0,,,,59.0,-51.2,-64.3,-40.7,16.1,,,True,,,,True,True,True,True,True,,
01061,415,180.0,340.0,,,,324.0,39.2,123.8,85.2,173.1,,,-235.0,-75.0,,,,-91.0,-375.8,-291.2,-329.8,-241.9,,,True,,,,True,False,False,False,False,,
01063,53,36.0,14.0,,,,71.0,14.7,0.2,15.2,25.7,,,-17.0,-39.0,,,,18.0,-38.3,-52.8,-37.8,-27.3,,,False,,,,False,False,False,False,False,,
01065,174,90.0,61.0,,,,149.0,19.5,2.4,7.1,118.6,,,-84.0,-113.0,,,,-25.0,-154.5,-171.6,-166.9,-55.4,,,False,,,,True,False,False,False,True,,
01067,274,108.0,146.0,,,,147.0,15.6,52.2,16.6,87.1,,,-166.0,-128.0,,,,-127.0,-258.4,-221.8,-257.4,-186.9,,,True,,,,True,False,False,False,False,,
01069,1675,492.0,285.0,,,,1101.0,247.9,298.2,158.1,421.8,,,-1183.0,-1390.0,,,,-574.0,-1427.1,-1376.8,-1516.9,-1253.2,,,False,,,,True,False,False,False,False,,
01071,542,300.0,74.0,,,,374.0,202.9,212.9,68.8,256.7,,,-242.0,-468.0,,,,-168.0,-339.1,-329.1,-473.1,-285.3,,,False,,,,True,False,False,False,False,,
01073,5744,6072.0,20364.0,,,,3682.0,6629.8,866.8,2185.3,3816.4,,,328.0,14620.0,,,,-2062.0,885.8,-4877.2,-3558.7,-1927.6,,,False,,,,False,False,False,False,False,,
01075,147,54.0,36.0,,,,137.0,15.4,54.7,11.1,90.6,,,-93.0,-111.0,,,,-10.0,-131.6,-92.3,-135.9,-56.4,,,False,,,,True,False,True,False,True,,
01077,516,468.0,642.0,,,,835.0,230.2,215.4,168.7,396.5,,,-48.0,126.0,,,,319.0,-285.8,-300.6,-347.3,-119.5,,,False,,,,False,False,False,False,False,,
01079,269,276.0,415.0,,,,274.0,259.8,126.4,25.9,229.5,,,7.0,146.0,,,,5.0,-9.2,-142.6,-243.1,-39.5,,,False,,,,True,False,False,False,False,,
01081,3105,1704.0,5800.0,,,,1427.0,2052.1,459.0,4613.1,1009.8,,,-1401.0,2695.0,,,,-1678.0,-1052.9,-2646.0,1508.1,-2095.2,,,False,,,,False,True,False,False,False,,
01083,861,576.0,552.0,,,,711.0,504.0,242.7,283.8,416.0,,,-285.0,-309.0,,,,-150.0,-357.0,-618.3,-577.2,-445.0,,,False,,,,True,False,False,False,False,,
01085,86,84.0,0.0,,,,94.0,9.2,0.9,30.6,50.6,,,-2.0,-86.0,,,,8.0,-76.8,-85.1,-55.4,-35.4,,,False,,,,False,False,False,False,False,,
01087,123,102.0,91.0,,,,113.0,17.0,0.0,65.2,79.2,,,-21.0,-32.0,,,,-10.0,-106.0,-123.0,-57.8,-43.8,,,False,,,,True,False,False,False,False,,
01089,2320,1710.0,4358.0,,,,2060.0,1692.6,386.8,0.0,1051.3,,,-610.0,2038.0,,,,-260.0,-627.4,-1933.2,-2320.0,-1268.7,,,False,,,,True,False,False,False,False,,
01091,254,102.0,72.0,,,,275.0,11.4,0.5,27.2,109.9,,,-152.0,-182.0,,,,21.0,-242.6,-253.5,-226.8,-144.1,,,False,,,,True,False,False,False,True,,
01093,315,360.0,614.0,,,,271.0,153.0,77.8,68.0,173.4,,,45.0,299.0,,,,-44.0,-162.0,-237.2,-247.0,-141.6,,,False,,,,True,False,False,False,False,,
01095,674,372.0,219.0,,,,845.0,129.6,64.1,64.6,588.9,,,-302.0,-455.0,,,,171.0,-544.4,-609.9,-609.4,-85.1,,,False,,,,True,False,False,False,True,,
01097,1999,2466.0,2585.0,,,,2897.0,2407.7,1079.0,434.0,5247.3,,,467.0,586.0,,,,898.0,408.7,-920.0,-1565.0,3248.3,,,False,,,,False,True,False,False,False,,
01099,176,0.0,9.0,,,,249.0,5.6,28.5,5.3,10.3,,,-176.0,-167.0,,,,73.0,-170.4,-147.5,-170.7,-165.7,,,True,,,,True,True,True,True,True,,
01101,1560,1518.0,1308.0,,,,1740.0,1007.7,260.6,1258.5,1457.8,,,-42.0,-252.0,,,,180.0,-552.3,-1299.4,-301.5,-102.2,,,False,,,,False,False,False,False,False,,
01103,855,990.0,1987.0,,,,916.0,612.1,183.3,279.3,745.1,,,135.0,1132.0,,,,61.0,-242.9,-671.7,-575.7,-109.9,,,False,,,,True,False,False,False,True,,
01105,92,54.0,8.0,,,,85.0,7.0,0.0,6.8,60.3,,,-38.0,-84.0,,,,-7.0,-85.0,-92.0,-85.2,-31.7,,,False,,,,True,False,False,False,True,,
01107,187,204.0,282.0,,,,215.0,97.1,85.3,99.0,100.0,,,17.0,95.0,,,,28.0,-89.9,-101.7,-88.0,-87.0,,,False,,,,False,False,False,False,False,,
01109,449,258.0,312.0,,,,497.0,56.8,75.1,58.5,215.6,,,-191.0,-137.0,,,,48.0,-392.2,-373.9,-390.5,-233.4,,,True,,,,True,False,False,False,False,,
01111,277,180.0,42.0,,,,185.0,81.5,42.1,7.0,147.2,,,-97.0,-235.0,,,,-92.0,-195.5,-234.9,-270.0,-129.8,,,False,,,,True,False,False,False,False,,
01113,320,228.0,141.0,,,,504.0,69.0,118.2,28.0,314.0,,,-92.0,-179.0,,,,184.0,-251.0,-201.8,-292.0,-6.0,,,False,,,,False,False,False,False,True,,
01115,956,642.0,1170.0,,,,529.0,374.1,211.2,127.8,381.9,,,-314.0,214.0,,,,-427.0,-581.9,-744.8,-828.2,-574.1,,,True,,,,False,False,False,False,False,,
01117,2720,1800.0,7094.0,,,,1251.0,2968.8,843.2,3429.8,1011.8,,,-920.0,4374.0,,,,-1469.0,248.8,-1876.8,709.8,-1708.2,,,False,,,,False,True,False,True,False,,
01119,63,30.0,42.0,,,,121.0,2.5,0.3,2.2,44.5,,,-33.0,-21.0,,,,58.0,-60.5,-62.7,-60.8,-18.5,,,True,,,,False,False,False,False,True,,
01121,1131,432.0,489.0,,,,595.0,239.6,253.7,125.8,323.0,,,-699.0,-642.0,,,,-536.0,-891.4,-877.3,-1005.2,-808.0,,,True,,,,True,False,False,False,False,,
01123,301,30.0,154.0,,,,363.0,33.0,33.0,57.4,96.7,,,-271.0,-147.0,,,,62.0,-268.0,-268.0,-243.6,-204.3,,,True,,,,True,True,True,True,True,,
01125,4350,1866.0,1918.0,,,,1901.0,1729.6,361.6,791.5,1265.9,,,-2484.0,-2432.0,,,,-2449.0,-2620.4,-3988.4,-3558.5,-3084.1,,,True,,,,True,False,False,False,False,,
01127,719,612.0,1208.0,,,,560.0,174.0,84.5,38.6,318.8,,,-107.0,489.0,,,,-159.0,-545.0,-634.5,-680.4,-400.2,,,False,,,,False,False,False,False,False,,
01129,112,72.0,41.0,,,,189.0,10.1,0.0,13.4,70.3,,,-40.0,-71.0,,,,77.0,-101.9,-112.0,-98.6,-41.7,,,False,,,,False,False,False,False,False,,
01131,82,60.0,44.0,,,,109.0,7.7,0.6,60.0,47.2,,,-22.0,-38.0,,,,27.0,-74.3,-81.4,-22.0,-34.8,,,False,,,,False,False,False,False,False,,
01133,278,240.0,196.0,,,,232.0,157.0,66.2,85.9,172.2,,,-38.0,-82.0,,,,-46.0,-121.0,-211.8,-192.1,-105.8,,,False,,,,False,False,False,False,False,,
02013,11,0.0,0.0,,,,,,,0.0,0.4,,,-11.0,-11.0,,,,,,,-11.0,-10.6,,,False,,,,,,,False,True,,
02016,3,12.0,0.0,,,,,,,7.2,9.6,,,9.0,-3.0,,,,,,,4.2,6.6,,,True,,,,,,,True,True,,
02020,2354,1788.0,3267.0,,,,,916.7,917.7,1101.2,1099.0,,,-566.0,913.0,,,,,-1437.3,-1436.3,-1252.8,-1255.0,,,False,,,,,False,False,False,False,,
02050,115,114.0,0.0,,,,,8.0,,20.1,74.3,,,-1.0,-115.0,,,,,-107.0,,-94.8,-40.7,,,False,,,,,False,,False,False,,
02060,0,0.0,0.0,,,,,0.6,,0.5,,,,0.0,0.0,,,,,0.6,,0.5,,,,True,,,,,False,,False,,,
02068,12,0.0,0.0,,,,,,,0.0,,,,-12.0,-12.0,,,,,,,-12.0,,,,False,,,,,,,False,,,
02070,7,0.0,0.0,,,,,0.3,,0.2,1.1,,,-7.0,-7.0,,,,,-6.7,,-6.8,-5.9,,,False,,,,,True,,True,True,,
02090,897,426.0,0.0,,,,,531.4,252.4,277.3,236.1,,,-471.0,-897.0,,,,,-365.6,-644.6,-619.7,-660.9,,,False,,,,,True,False,False,False,,
02100,1,0.0,0.0,,,,,,,0.0,3.5,,,-1.0,-1.0,,,,,,,-1.0,2.5,,,False,,,,,,,False,False,,
02105,0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,True,,,,,,,True,,,
02110,145,84.0,76.0,,,,,12.7,45.4,29.2,36.9,,,-61.0,-69.0,,,,,-132.3,-99.6,-115.8,-108.1,,,False,,,,,False,False,False,False,,
02122,99,66.0,98.0,,,,,6.9,218.1,8.6,61.2,,,-33.0,-1.0,,,,,-92.1,119.1,-90.4,-37.8,,,True,,,,,False,False,False,False,,
02130,13,12.0,0.0,,,,,4.9,,10.0,19.2,,,-1.0,-13.0,,,,,-8.1,,-3.0,6.2,,,False,,,,,False,,False,False,,
02150,28,0.0,0.0,,,,,0.5,,2.7,,,,-28.0,-28.0,,,,,-27.5,,-25.3,,,,False,,,,,True,,True,,,
02158,9,0.0,0.0,,,,,,,0.0,1.3,,,-9.0,-9.0,,,,,,,-9.0,-7.7,,,False,,,,,,,True,True,,
02164,20,0.0,0.0,,,,,,,0.0,,,,-20.0,-20.0,,,,,,,-20.0,,,,False,,,,,,,False,,,
02170,257,276.0,420.0,,,,,87.3,420.6,87.3,177.6,,,19.0,163.0,,,,,-169.7,163.6,-169.7,-79.4,,,False,,,,,False,False,False,False,,
02180,66,36.0,0.0,,,,,4.9,,17.7,36.5,,,-30.0,-66.0,,,,,-61.1,,-48.3,-29.5,,,False,,,,,False,,False,True,,
02185,123,36.0,,,,,,5.0,,6.5,,,,-87.0,,,,,,-118.0,,-116.5,,,,,,,,,False,,False,,,
02188,104,18.0,0.0,,,,,6.3,,0.5,,,,-86.0,-104.0,,,,,-97.7,,-103.5,,,,False,,,,,False,,False,,,
02195,1,0.0,0.0,,,,,0.2,,0.0,0.5,,,-1.0,-1.0,,,,,-0.8,,-1.0,-0.5,,,False,,,,,True,,False,True,,
02198,8,18.0,0.0,,,,,3.8,,12.5,,,,10.0,-8.0,,,,,-4.2,,4.5,,,,True,,,,,True,,True,,,
02220,16,24.0,0.0,,,,,2.2,,7.8,16.0,,,8.0,-16.0,,,,,-13.8,,-8.2,0.0,,,False,,,,,False,,False,True,,
02230,0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,True,,,,,,,True,,,
02240,16,0.0,0.0,,,,,0.6,,0.3,7.8,,,-16.0,-16.0,,,,,-15.4,,-15.7,-8.2,,,False,,,,,True,,True,True,,
02261,13,24.0,0.0,,,,,5.4,,16.8,17.7,,,11.0,-13.0,,,,,-7.6,,3.8,4.7,,,False,,,,,True,,True,True,,
02275,2,12.0,0.0,,,,,,,1.3,15.7,,,10.0,-2.0,,,,,,,-0.7,13.7,,,True,,,,,,,True,False,,
02282,9,54.0,0.0,,,,,,,235.9,28.9,,,45.0,-9.0,,,,,,,226.9,19.9,,,True,,,,,,,False,True,,
02290,18,30.0,0.0,,,,,9.1,,6.4,80.7,,,12.0,-18.0,,,,,-8.9,,-11.6,62.7,,,False,,,,,True,,True,False,,
04001,389,234.0,560.0,,,,271.0,52.7,6.9,69.0,334.9,,,-155.0,171.0,,,,-118.0,-336.3,-382.1,-320.0,-54.1,,,False,,,,True,False,False,False,True,,
04003,143,144.0,24.0,,,,517.0,18.9,195.9,20.7,141.4,,,1.0,-119.0,,,,374.0,-124.1,52.9,-122.3,-1.6,,,False,,,,False,False,False,False,False,,
04005,1161,450.0,348.0,,,,415.0,194.8,96.8,11.3,389.2,,,-711.0,-813.0,,,,-746.0,-966.2,-1064.2,-1149.7,-771.8,,,False,,,,False,False,False,False,False,,
04007,422,180.0,113.0,,,,129.0,64.5,35.2,88.7,97.2,,,-242.0,-309.0,,,,-293.0,-357.5,-386.8,-333.3,-324.8,,,False,,,,False,False,False,False,False,,
04009,225,300.0,243.0,,,,151.0,58.8,0.0,194.2,166.5,,,75.0,18.0,,,,-74.0,-166.2,-225.0,-30.8,-58.5,,,True,,,,True,False,False,True,True,,
04011,6,6.0,0.0,,,,24.0,8.1,,4.7,7.9,,,0.0,-6.0,,,,18.0,2.1,,-1.3,1.9,,,False,,,,False,False,,False,False,,
04012,74,18.0,0.0,,,,84.0,0.8,0.0,4.9,26.2,,,-56.0,-74.0,,,,10.0,-73.2,-74.0,-69.1,-47.8,,,False,,,,True,False,False,False,True,,
04013,12458,10224.0,4953.0,,,,9821.0,7513.8,2169.9,652.2,8427.4,,,-2234.0,-7505.0,,,,-2637.0,-4944.2,-10288.1,-11805.8,-4030.6,,,False,,,,False,False,False,False,False,,
04015,501,678.0,581.0,,,,1061.0,198.5,201.6,221.6,540.4,,,177.0,80.0,,,,560.0,-302.5,-299.4,-279.4,39.4,,,True,,,,False,False,False,False,True,,
04017,304,552.0,197.0,,,,312.0,244.8,19.7,11.1,514.8,,,248.0,-107.0,,,,8.0,-59.2,-284.3,-292.9,210.8,,,True,,,,True,True,False,False,True,,
04019,5230,4122.0,1901.0,,,,3722.0,1197.1,1747.2,2290.3,2466.5,,,-1108.0,-3329.0,,,,-1508.0,-4032.9,-3482.8,-2939.7,-2763.5,,,False,,,,False,False,False,False,False,,
04021,1491,2190.0,4032.0,,,,1525.0,1584.8,369.5,555.6,2379.8,,,699.0,2541.0,,,,34.0,93.8,-1121.5,-935.4,888.8,,,False,,,,True,True,False,False,False,,
04023,188,0.0,50.0,,,,495.0,1.9,3.4,14.9,63.4,,,-188.0,-138.0,,,,307.0,-186.1,-184.6,-173.1,-124.6,,,True,,,,False,True,True,True,True,,
04025,406,312.0,118.0,,,,767.0,186.2,354.2,202.7,295.8,,,-94.0,-288.0,,,,361.0,-219.8,-51.8,-203.3,-110.2,,,False,,,,False,False,True,False,False,,
04027,773,1020.0,660.0,,,,1545.0,255.0,22.0,215.0,1815.4,,,247.0,-113.0,,,,772.0,-518.0,-751.0,-558.0,1042.4,,,True,,,,False,False,False,False,False,,
05001,274,84.0,82.0,,,,181.0,38.8,40.9,37.2,105.3,,,-190.0,-192.0,,,,-93.0,-235.2,-233.1,-236.8,-168.7,,,False,,,,True,False,False,False,True,,
05003,83,72.0,4.0,,,,173.0,11.5,0.2,13.3,160.6,,,-11.0,-79.0,,,,90.0,-71.5,-82.8,-69.7,77.6,,,False,,,,False,False,False,False,False,,
05005,327,150.0,442.0,,,,201.0,36.2,157.0,18.0,56.4,,,-177.0,115.0,,,,-126.0,-290.8,-170.0,-309.0,-270.6,,,True,,,,True,False,True,False,False,,
05007,1857,1482.0,4375.0,,,,1759.0,618.9,238.6,269.0,925.5,,,-375.0,2518.0,,,,-98.0,-1238.1,-1618.4,-1588.0,-931.5,,,False,,,,True,False,False,False,False,,
05009,555,354.0,721.0,,,,306.0,819.1,218.2,0.0,398.3,,,-201.0,166.0,,,,-249.0,264.1,-336.8,-555.0,-156.7,,,True,,,,False,False,False,False,True,,
05011,59,228.0,211.0,,,,121.0,47.7,75.2,106.5,137.7,,,169.0,152.0,,,,62.0,-11.3,16.2,47.5,78.7,,,True,,,,True,True,True,True,True,,
05013,16,0.0,0.0,,,,22.0,,,1.7,,,,-16.0,-16.0,,,,6.0,,,-14.3,,,,False,,,,True,,,True,,,
05015,387,180.0,276.0,,,,173.0,79.6,29.1,84.6,113.3,,,-207.0,-111.0,,,,-214.0,-307.4,-357.9,-302.4,-273.7,,,True,,,,False,False,False,False,False,,
05017,60,138.0,39.0,,,,161.0,17.6,1.9,19.0,555.2,,,78.0,-21.0,,,,101.0,-42.4,-58.1,-41.0,495.2,,,True,,,,False,True,True,True,False,,
05019,196,120.0,101.0,,,,180.0,20.7,71.5,3.1,56.8,,,-76.0,-95.0,,,,-16.0,-175.3,-124.5,-192.9,-139.2,,,False,,,,True,False,False,False,False,,
05021,201,78.0,85.0,,,,129.0,65.1,84.6,124.3,84.6,,,-123.0,-116.0,,,,-72.0,-135.9,-116.4,-76.7,-116.4,,,True,,,,True,False,True,True,True,,
05023,135,78.0,118.0,,,,215.0,27.7,96.4,4.4,30.5,,,-57.0,-17.0,,,,80.0,-107.3,-38.6,-130.6,-104.5,,,True,,,,False,False,True,False,False,,
05025,61,48.0,12.0,,,,51.0,3.8,9.2,5.3,108.9,,,-13.0,-49.0,,,,-10.0,-57.2,-51.8,-55.7,47.9,,,False,,,,True,False,False,False,False,,
05027,319,108.0,107.0,,,,225.0,19.1,68.9,17.0,74.0,,,-211.0,-212.0,,,,-94.0,-299.9,-250.1,-302.0,-245.0,,,False,,,,True,False,False,False,False,,
05029,106,78.0,121.0,,,,281.0,20.8,103.7,4.7,42.5,,,-28.0,15.0,,,,175.0,-85.2,-2.3,-101.3,-63.5,,,True,,,,False,False,True,False,False,,
05031,1769,924.0,831.0,,,,1179.0,382.3,418.0,839.5,628.8,,,-845.0,-938.0,,,,-590.0,-1386.7,-1351.0,-929.5,-1140.2,,,False,,,,True,False,False,False,False,,
05033,794,498.0,391.0,,,,572.0,203.0,276.6,373.5,443.3,,,-296.0,-403.0,,,,-222.0,-591.0,-517.4,-420.5,-350.7,,,False,,,,True,False,False,False,False,,
05035,424,432.0,235.0,,,,528.0,114.6,10.4,195.7,702.1,,,8.0,-189.0,,,,104.0,-309.4,-413.6,-228.3,278.1,,,False,,,,False,False,False,False,False,,
05037,234,168.0,122.0,,,,174.0,86.8,83.7,37.2,119.8,,,-66.0,-112.0,,,,-60.0,-147.2,-150.3,-196.8,-114.2,,,False,,,,True,False,False,False,False,,
05039,61,162.0,153.0,,,,52.0,104.4,29.0,49.1,119.7,,,101.0,92.0,,,,-9.0,43.4,-32.0,-11.9,58.7,,,True,,,,True,True,True,True,True,,
05041,107,102.0,42.0,,,,124.0,35.8,0.0,40.9,71.4,,,-5.0,-65.0,,,,17.0,-71.2,-107.0,-66.1,-35.6,,,False,,,,False,False,False,False,False,,
05043,72,36.0,33.0,,,,209.0,15.3,0.0,8.5,66.1,,,-36.0,-39.0,,,,137.0,-56.7,-72.0,-63.5,-5.9,,,False,,,,False,False,False,False,True,,
05045,1251,984.0,2418.0,,,,1003.0,594.8,372.2,441.0,621.5,,,-267.0,1167.0,,,,-248.0,-656.2,-878.8,-810.0,-629.5,,,False,,,,True,False,False,False,False,,
05047,233,66.0,41.0,,,,179.0,19.0,74.7,14.1,81.6,,,-167.0,-192.0,,,,-54.0,-214.0,-158.3,-218.9,-151.4,,,False,,,,True,False,True,False,True,,
05049,153,72.0,70.0,,,,46.0,16.1,,23.4,165.5,,,-81.0,-83.0,,,,-107.0,-136.9,,-129.6,12.5,,,False,,,,False,False,,False,True,,
05051,693,672.0,498.0,,,,795.0,537.6,450.7,211.4,555.4,,,-21.0,-195.0,,,,102.0,-155.4,-242.3,-481.6,-137.6,,,False,,,,False,False,False,False,False,,
05053,122,114.0,110.0,,,,97.0,113.3,106.5,37.5,66.3,,,-8.0,-12.0,,,,-25.0,-8.7,-15.5,-84.5,-55.7,,,False,,,,False,False,False,False,False,,
05055,452,306.0,259.0,,,,388.0,226.3,207.5,98.2,314.9,,,-146.0,-193.0,,,,-64.0,-225.7,-244.5,-353.8,-137.1,,,False,,,,True,False,False,False,True,,
05057,121,156.0,177.0,,,,157.0,53.6,99.5,21.6,131.6,,,35.0,56.0,,,,36.0,-67.4,-21.5,-99.4,10.6,,,False,,,,False,False,True,False,True,,
05059,331,216.0,269.0,,,,311.0,105.7,12.2,349.4,92.2,,,-115.0,-62.0,,,,-20.0,-225.3,-318.8,18.4,-238.8,,,True,,,,True,False,False,True,False,,
05061,95,192.0,75.0,,,,107.0,51.0,1.5,76.5,144.6,,,97.0,-20.0,,,,12.0,-44.0,-93.5,-18.5,49.6,,,True,,,,True,True,True,True,True,,
05063,541,474.0,594.0,,,,463.0,176.4,209.2,89.0,646.3,,,-67.0,53.0,,,,-78.0,-364.6,-331.8,-452.0,105.3,,,True,,,,False,False,False,False,False,,
05065,248,120.0,190.0,,,,100.0,44.8,37.7,136.9,102.5,,,-128.0,-58.0,,,,-148.0,-203.2,-210.3,-111.1,-145.5,,,True,,,,False,False,False,True,False,,
