,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02105,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02110,181,328.0,,,,,3.7,399.1,127.3,,,147.0,,,,,-177.3,218.1,-53.7,,,,,,,False,False,True,,
02122,157,264.0,539.5,,,,182.3,287.6,328.4,,,107.0,382.5,,,,25.3,130.6,171.4,,,False,,,,True,False,False,,
02130,19,16.0,,,,,,12.1,31.4,,,-3.0,,,,,,-6.9,12.4,,,,,,,,False,False,,
02150,34,32.0,,,,,,3.4,26.1,,,-2.0,,,,,,-30.6,-7.9,,,,,,,,False,False,,
02158,9,16.0,,,,,,3.5,15.6,,,7.0,,,,,,-5.5,6.6,,,,,,,,True,True,,
02164,21,0.0,,,,,,0.0,,,,-21.0,,,,,,-21.0,,,,,,,,,False,,,
02170,356,384.0,1221.6,,,,258.2,191.0,300.7,,,28.0,865.6,,,,-97.8,-165.0,-55.3,,,False,,,,False,False,False,,
02180,81,40.0,,,,,,2.7,,,,-41.0,,,,,,-78.3,,,,,,,,,False,,,
02185,138,24.0,,,,,,24.1,,,,-114.0,,,,,,-113.9,,,,,,,,,True,,,
02188,125,40.0,,,,,,24.8,,,,-85.0,,,,,,-100.2,,,,,,,,,False,,,
02195,2,8.0,,,,,,1.5,3.3,,,6.0,,,,,,-0.5,1.3,,,,,,,,True,True,,
02198,18,40.0,,,,,,25.9,19.0,,,22.0,,,,,,7.9,1.0,,,,,,,,True,True,,
02220,26,40.0,,,,,,14.8,55.6,,,14.0,,,,,,-11.2,29.6,,,,,,,,True,False,,
02230,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02240,18,16.0,,,,,,6.9,,,,-2.0,,,,,,-11.1,,,,,,,,,False,,,
02261,28,72.0,,,,,,42.2,,,,44.0,,,,,,14.2,,,,,,,,,True,,,
02275,5,0.0,,,,,,0.1,10.7,,,-5.0,,,,,,-4.9,5.7,,,,,,,,True,False,,
