,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kentucky,22554,7254.0,,8017.1,8032.1,6650.0,8306.0,2603.7,8281.0,5583.5,8299.9,-15300.0,,-14536.9,-14521.9,-15904.0,-14248.0,-19950.3,-14273.0,-16970.5,-14254.1,,True,True,False,True,False,True,False,True
Louisiana,73448,51120.0,,57744.2,49540.9,20965.0,84362.0,43139.3,65770.8,10644.5,47151.8,-22328.0,,-15703.8,-23907.1,-52483.0,10914.0,-30308.7,-7677.2,-62803.5,-26296.2,,True,False,False,True,False,True,False,False
Maine,748,1458.0,,933.9,1380.9,723.0,1345.0,776.7,1488.7,791.4,2026.7,710.0,,185.9,632.9,-25.0,597.0,28.7,740.7,43.4,1278.7,,True,True,True,True,True,False,True,False
Maryland,30352,17346.0,,8568.4,11594.7,3691.0,9039.0,8778.9,11119.3,4975.4,26335.1,-13006.0,,-21783.6,-18757.3,-26661.0,-21313.0,-21573.1,-19232.7,-25376.6,-4016.9,,False,False,False,False,False,False,False,True
Massachusetts,10981,8370.0,,3841.6,4566.4,1197.0,5694.0,4550.3,4256.7,870.5,11074.6,-2611.0,,-7139.4,-6414.6,-9784.0,-5287.0,-6430.7,-6724.3,-10110.5,93.6,,False,False,False,False,False,False,False,True
Michigan,29201,17412.0,,14346.9,15698.6,5613.0,20039.0,9222.7,15359.6,2950.7,44655.6,-11789.0,,-14854.1,-13502.4,-23588.0,-9162.0,-19978.3,-13841.4,-26250.3,15454.6,,False,False,False,True,False,False,False,False
Minnesota,26789,15546.0,,11657.1,12012.9,5940.0,22089.0,8314.2,14196.6,2837.0,10003.1,-11243.0,,-15131.9,-14776.1,-20849.0,-4700.0,-18474.8,-12592.4,-23952.0,-16785.9,,False,False,False,True,False,False,False,False
Mississippi,41081,30858.0,,33854.6,28634.6,22697.0,35894.0,15049.3,41542.3,16670.2,42329.0,-10223.0,,-7226.4,-12446.4,-18384.0,-5187.0,-26031.7,461.3,-24410.8,1248.0,,True,False,False,True,False,True,False,True
Missouri,43421,18066.0,,26448.6,64094.1,12430.0,19332.0,12157.1,22308.3,10888.8,23324.5,-25355.0,,-16972.4,20673.1,-30991.0,-24089.0,-31263.9,-21112.7,-32532.2,-20096.5,,True,True,False,True,False,True,False,True
Montana,4492,1890.0,,3981.1,7934.2,678.0,730.0,1868.4,1918.8,5363.2,9765.6,-2602.0,,-510.9,3442.2,-3814.0,-3762.0,-2623.6,-2573.2,871.2,5273.6,,True,False,False,False,False,True,True,False
Nebraska,10414,6312.0,,4551.7,4571.9,1592.0,5264.0,3342.5,2717.2,894.8,6099.2,-4102.0,,-5862.3,-5842.1,-8822.0,-5150.0,-7071.5,-7696.8,-9519.2,-4314.8,,False,False,False,False,False,False,False,False
Nevada,39033,31416.0,,70484.0,36799.0,29233.0,25278.0,30264.3,28913.8,47208.2,58344.7,-7617.0,,31451.0,-2234.0,-9800.0,-13755.0,-8768.7,-10119.2,8175.2,19311.7,,False,True,False,False,False,False,False,False
New Hampshire,1108,930.0,,375.1,557.4,293.0,503.0,409.9,669.0,475.7,568.5,-178.0,,-732.9,-550.6,-815.0,-605.0,-698.1,-439.0,-632.3,-539.5,,False,False,False,False,False,False,False,False
New Jersey,14440,12960.0,,8725.4,9737.3,987.0,12492.0,7136.0,17176.0,303.9,18971.4,-1480.0,,-5714.6,-4702.7,-13453.0,-1948.0,-7304.0,2736.0,-14136.1,4531.4,,False,False,False,False,False,False,False,False
New Mexico,10239,8664.0,,7089.4,7721.7,4320.0,7304.0,5871.2,11920.6,4661.5,15803.6,-1575.0,,-3149.6,-2517.3,-5919.0,-2935.0,-4367.8,1681.6,-5577.5,5564.6,,False,False,False,False,False,False,False,False
New York,28303,28050.0,,24539.9,20866.5,6884.0,15532.0,15000.3,19758.9,439.1,46117.5,-253.0,,-3763.1,-7436.5,-21419.0,-12771.0,-13302.7,-8544.1,-27863.9,17814.5,,False,False,False,False,False,False,False,False
North Carolina,74241,65148.0,,64838.0,81938.2,97255.0,119258.0,36860.8,53929.4,63463.8,70846.1,-9093.0,,-9403.0,7697.2,23014.0,45017.0,-37380.2,-20311.6,-10777.2,-3394.9,,False,True,False,False,False,False,False,True
North Dakota,4665,1926.0,,1312.3,1610.3,721.0,1090.0,1169.0,765.6,509.0,5085.1,-2739.0,,-3352.7,-3054.7,-3944.0,-3575.0,-3496.0,-3899.4,-4156.0,420.1,,False,False,False,False,False,False,False,True
Ohio,51491,40368.0,,49034.8,37029.3,53687.0,27580.0,27728.5,61079.2,20761.5,95876.8,-11123.0,,-2456.2,-14461.7,2196.0,-23911.0,-23762.5,9588.2,-30729.5,44385.8,,True,False,True,False,False,True,False,False
Oklahoma,32150,18012.0,,33522.2,54741.3,13460.0,36969.0,11849.8,20291.3,21632.0,28879.2,-14138.0,,1372.2,22591.3,-18690.0,4819.0,-20300.2,-11858.7,-10518.0,-3270.8,,True,False,False,True,False,True,True,True
Oregon,13088,11016.0,,14981.0,17733.5,9150.0,14850.0,10300.4,13396.8,15347.4,19044.7,-2072.0,,1893.0,4645.5,-3938.0,1762.0,-2787.6,308.8,2259.4,5956.7,,True,False,False,True,False,True,False,False
Pennsylvania,34609,26856.0,,24889.7,22207.5,8586.0,29471.0,13697.9,34700.5,6969.5,45155.0,-7753.0,,-9719.3,-12401.5,-26023.0,-5138.0,-20911.1,91.5,-27639.5,10546.0,,False,False,False,True,False,True,False,False
Rhode Island,3344,1980.0,,1115.3,1108.3,483.0,1524.0,754.4,963.0,116.6,931.7,-1364.0,,-2228.7,-2235.7,-2861.0,-1820.0,-2589.6,-2381.0,-3227.4,-2412.3,,False,False,False,False,False,False,False,False
South Carolina,62496,68682.0,,100576.2,133375.6,41738.0,97709.0,50767.4,51908.5,72313.1,89998.0,6186.0,,38080.2,70879.6,-20758.0,35213.0,-11728.6,-10587.5,9817.1,27502.0,,False,False,False,False,False,False,False,False
South Dakota,3090,2412.0,,2766.7,2016.3,1182.0,3989.0,1360.0,1903.4,618.8,3560.3,-678.0,,-323.3,-1073.7,-1908.0,899.0,-1730.0,-1186.6,-2471.2,470.3,,True,False,False,False,False,False,False,True
Tennessee,81607,59808.0,,62935.8,78553.5,71188.0,52831.0,38959.3,50709.1,43397.2,101171.6,-21799.0,,-18671.2,-3053.5,-10419.0,-28776.0,-42647.7,-30897.9,-38209.8,19564.6,,True,True,True,False,False,False,False,True
Texas,354912,277554.0,,453744.5,1279993.3,301675.0,702264.0,89955.5,212406.7,310594.7,303572.1,-77358.0,,98832.5,925081.3,-53237.0,347352.0,-264956.5,-142505.3,-44317.3,-51339.9,,False,False,True,False,False,False,True,True
Utah,21779,23484.0,,30436.0,36057.6,29578.0,41501.0,14118.3,19026.9,23410.7,19069.4,1705.0,,8657.0,14278.6,7799.0,19722.0,-7660.7,-2752.1,1631.7,-2709.6,,False,False,False,False,False,False,True,False
Vermont,271,228.0,,93.8,221.4,32.0,185.0,175.1,305.2,0.2,231.7,-43.0,,-177.2,-49.6,-239.0,-86.0,-95.9,34.2,-270.8,-39.3,,False,False,False,False,False,True,False,True
Virginia,40641,23172.0,,12545.3,19118.4,8877.0,25318.0,14204.3,24780.9,7944.7,11157.3,-17469.0,,-28095.7,-21522.6,-31764.0,-15323.0,-26436.7,-15860.1,-32696.3,-29483.7,,False,False,False,True,False,True,False,False
Washington,31638,23058.0,,29017.0,22756.4,13954.0,35932.0,15898.1,25722.1,11512.4,40699.9,-8580.0,,-2621.0,-8881.6,-17684.0,4294.0,-15739.9,-5915.9,-20125.6,9061.9,,True,False,False,True,False,True,False,False
West Virginia,5257,2538.0,,3154.0,25287.9,2133.0,2246.0,2015.5,3456.3,1738.7,10741.4,-2719.0,,-2103.0,20030.9,-3124.0,-3011.0,-3241.5,-1800.7,-3518.3,5484.4,,True,False,False,False,False,True,False,False
Wisconsin,34001,22614.0,,19605.4,22212.2,10556.0,19040.0,15438.7,29175.1,15298.5,43517.3,-11387.0,,-14395.6,-11788.8,-23445.0,-14961.0,-18562.3,-4825.9,-18702.5,9516.3,,False,False,False,False,False,True,False,True
Wyoming,1629,1284.0,,2938.2,3337.2,931.0,580.0,790.5,1858.3,1137.3,1302.2,-345.0,,1309.2,1708.2,-698.0,-1049.0,-838.5,229.3,-491.7,-326.8,,False,False,False,False,False,True,False,True
US,2513026,1975062.0,3221854.0,2995238.0,,1853217.0,2645940.0,1368971.4,2184722.7,1649867.7,3297064.0,-537964.0,708828.0,482212.0,,-659809.0,132914.0,-1144054.6,-328303.3,-863158.3,784038.0,False,True,,False,True,False,True,False,False
