,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,69980,75924.0,68039.0,,112180.0,67715.0,49984.4,28387.5,137829.9,64346.0,69956.1,63793.3,53499.6,69759.0,104077.0,,68080.6,90121.4,100268.5,60938.6,57017.0,5944.0,-1941.0,,42200.0,-2265.0,-19995.6,-41592.5,67849.9,-5634.0,-23.9,-6186.7,-16480.4,-221.0,34097.0,,-1899.4,20141.4,30288.5,-9041.4,-12963.0,True,,False,True,False,False,False,True,True,False,False,True,False,,True,False,False,False,False
Hawaii,3205,798.0,774.0,,930.7,79.0,503.8,342.8,48.5,,3872.9,223.9,1172.9,1160.3,1250.0,,582.0,1068.3,,3932.4,1342.0,-2407.0,-2431.0,,-2274.3,-3126.0,-2701.2,-2862.2,-3156.5,,667.9,-2981.1,-2032.1,-2044.7,-1955.0,,-2623.1,-2136.7,,727.4,-1863.0,False,,True,False,False,False,False,,True,False,True,True,True,,False,True,,True,True
Idaho,9649,8886.0,9595.0,,22629.1,7764.0,17535.1,1902.6,5636.1,10295.0,15065.5,18282.8,11237.7,9016.5,10540.0,,6775.5,8238.5,,7129.8,7567.0,-763.0,-54.0,,12980.1,-1885.0,7886.1,-7746.4,-4012.9,646.0,5416.5,8633.8,1588.7,-632.5,891.0,,-2873.5,-1410.5,,-2519.2,-2082.0,True,,False,False,False,False,False,True,False,False,False,True,False,,False,False,,False,False
Illinois,34729,28011.0,32647.0,,32502.1,994.0,20190.5,10485.7,32712.9,27980.0,42401.8,39103.3,25426.0,37210.3,47852.0,,31825.4,35836.0,20271.5,44892.1,32988.0,-6718.0,-2082.0,,-2226.9,-33735.0,-14538.5,-24243.3,-2016.1,-6749.0,7672.8,4374.3,-9303.0,2481.3,13123.0,,-2903.6,1107.0,-14457.5,10163.1,-1741.0,True,,True,False,False,False,True,False,False,True,False,True,False,,True,True,False,False,True
Indiana,18156,17598.0,17483.0,,18079.5,7290.0,11734.4,6380.2,14682.9,16616.0,23306.9,27334.4,15014.6,20209.4,32828.0,,15917.2,27211.9,12906.5,23775.6,22284.0,-558.0,-673.0,,-76.5,-10866.0,-6421.6,-11775.8,-3473.1,-1540.0,5150.9,9178.4,-3141.4,2053.4,14672.0,,-2238.8,9055.9,-5249.5,5619.6,4128.0,False,,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Iowa,10179,10719.0,10336.0,,14406.1,3325.0,10177.7,3631.1,20112.7,8144.0,13183.9,16632.0,8649.9,10249.7,11726.0,,9763.9,11071.3,10590.0,9687.0,8884.0,540.0,157.0,,4227.1,-6854.0,-1.3,-6547.9,9933.7,-2035.0,3004.9,6453.0,-1529.1,70.7,1547.0,,-415.1,892.3,411.0,-492.0,-1295.0,True,,False,False,True,False,False,False,False,False,False,True,False,,True,False,True,True,False
Kansas,8876,9948.0,9258.0,,15722.1,2586.0,9583.5,3584.7,2741.5,10684.0,15931.6,20457.9,7308.3,9214.8,13119.0,,14573.9,10009.2,,8876.1,8869.0,1072.0,382.0,,6846.1,-6290.0,707.5,-5291.3,-6134.5,1808.0,7055.6,11581.9,-1567.7,338.8,4243.0,,5697.9,1133.2,,0.1,-7.0,True,,False,False,True,False,False,False,False,False,False,True,False,,False,False,,True,True
Kentucky,12166,13740.0,12533.0,,16274.2,9741.0,13719.3,5096.5,11472.8,12077.0,18684.0,25392.3,9149.1,12906.0,26356.0,,9859.7,20596.0,10988.3,15830.8,13122.0,1574.0,367.0,,4108.2,-2425.0,1553.3,-7069.5,-693.2,-89.0,6518.0,13226.3,-3016.9,740.0,14190.0,,-2306.3,8430.0,-1177.7,3664.8,956.0,True,,False,False,True,False,True,True,False,False,False,True,False,,False,False,True,False,True
Louisiana,33003,45432.0,47740.0,,61117.1,29745.0,27524.0,12363.0,41145.7,54986.0,35196.7,54357.9,59592.4,42573.6,48249.0,,154792.6,55500.8,,37862.3,38825.0,12429.0,14737.0,,28114.1,-3258.0,-5479.0,-20640.0,8142.7,21983.0,2193.7,21354.9,26589.4,9570.6,15246.0,,121789.6,22497.8,,4859.3,5822.0,False,,False,True,True,False,True,False,True,False,False,True,False,,False,False,,True,True
Maine,354,435.0,391.0,,264.8,212.0,403.6,150.7,1163.9,216.0,926.8,306.8,291.2,481.7,407.0,,393.6,500.1,533.0,605.1,491.0,81.0,37.0,,-89.2,-142.0,49.6,-203.3,809.9,-138.0,572.8,-47.2,-62.8,127.7,53.0,,39.6,146.1,179.0,251.1,137.0,True,,False,False,True,False,False,False,False,True,True,False,True,,True,False,False,False,False
Maryland,16639,17544.0,15046.0,,15513.1,6759.0,11606.7,6667.3,22104.7,13197.0,14228.3,22330.2,13843.0,19858.2,33976.0,,11840.4,27758.6,,23275.3,21339.0,905.0,-1593.0,,-1125.9,-9880.0,-5032.3,-9971.7,5465.7,-3442.0,-2410.7,5691.2,-2796.0,3219.2,17337.0,,-4798.6,11119.6,,6636.3,4700.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Massachusetts,6164,6090.0,6086.0,,5459.5,238.0,4825.5,2142.6,36583.1,5717.0,11301.3,6820.6,4878.1,8085.3,9724.0,,3918.9,9825.3,,11243.6,6776.0,-74.0,-78.0,,-704.5,-5926.0,-1338.5,-4021.4,30419.1,-447.0,5137.3,656.6,-1285.9,1921.3,3560.0,,-2245.1,3661.3,,5079.6,612.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Michigan,16160,12852.0,17602.0,,18961.3,4340.0,11479.7,4366.2,22854.4,19027.0,34156.6,32017.1,13219.4,18069.4,18698.0,,10570.7,17665.2,,15978.2,13054.0,-3308.0,1442.0,,2801.3,-11820.0,-4680.3,-11793.8,6694.4,2867.0,17996.6,15857.1,-2940.6,1909.4,2538.0,,-5589.3,1505.2,,-181.8,-3106.0,True,,True,False,False,False,False,True,False,False,True,True,True,,False,True,,True,True
Minnesota,14122,14463.0,14593.0,,14308.5,4241.0,11017.9,5084.1,8226.8,15580.0,15394.8,20776.0,13968.7,15924.7,20736.0,,,20575.3,14901.3,22732.3,16598.0,341.0,471.0,,186.5,-9881.0,-3104.1,-9037.9,-5895.2,1458.0,1272.8,6654.0,-153.3,1802.7,6614.0,,,6453.3,779.3,8610.3,2476.0,False,,True,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False
Mississippi,20774,27405.0,27449.0,,30963.9,20717.0,17713.9,10256.1,33364.3,23115.0,21010.0,35281.3,23043.1,31060.0,48845.0,,52812.9,26471.7,30459.6,31241.3,23076.0,6631.0,6675.0,,10189.9,-57.0,-3060.1,-10517.9,12590.3,2341.0,236.0,14507.3,2269.1,10286.0,28071.0,,32038.9,5697.7,9685.6,10467.3,2302.0,False,,False,True,True,False,False,True,True,False,True,False,False,,False,True,False,False,True
Missouri,25970,24990.0,25014.0,,31144.6,19621.0,14585.1,12353.9,12819.3,18646.0,25808.2,30296.7,24153.5,31260.2,48585.0,,58122.0,27457.3,24421.1,42351.9,28217.0,-980.0,-956.0,,5174.6,-6349.0,-11384.9,-13616.1,-13150.7,-7324.0,-161.8,4326.7,-1816.5,5290.2,22615.0,,32152.0,1487.3,-1548.9,16381.9,2247.0,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Montana,2400,2364.0,2248.0,,5127.7,1212.0,1687.5,1007.2,3463.4,2566.0,3174.3,1636.9,2463.4,2879.7,4639.0,,2150.0,2730.5,,3171.9,2045.0,-36.0,-152.0,,2727.7,-1188.0,-712.5,-1392.8,1063.4,166.0,774.3,-763.1,63.4,479.7,2239.0,,-250.0,330.5,,771.9,-355.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Nebraska,5846,5742.0,5048.0,,5472.1,1286.0,5016.6,1699.1,1381.5,4896.0,6657.9,2931.9,4511.7,6576.0,9824.0,,4757.9,6698.9,,7239.0,5864.0,-104.0,-798.0,,-373.9,-4560.0,-829.4,-4146.9,-4464.5,-950.0,811.9,-2914.1,-1334.3,730.0,3978.0,,-1088.1,852.9,,1393.0,18.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True
Nevada,18792,22017.0,20523.0,,31163.0,21403.0,16289.4,6510.4,31489.6,20832.0,18575.9,41879.4,18459.1,20408.9,28803.0,,22009.8,20857.3,,16114.7,17422.0,3225.0,1731.0,,12371.0,2611.0,-2502.6,-12281.6,12697.6,2040.0,-216.1,23087.4,-332.9,1616.9,10011.0,,3217.8,2065.3,,-2677.3,-1370.0,True,,False,True,True,False,False,True,True,False,True,True,False,,True,True,,True,True
New Hampshire,565,681.0,535.0,,328.5,84.0,533.7,308.3,1372.9,499.0,1251.9,219.2,522.7,801.4,1184.0,,348.8,737.7,525.2,1006.6,758.0,116.0,-30.0,,-236.5,-481.0,-31.3,-256.7,807.9,-66.0,686.9,-345.8,-42.3,236.4,619.0,,-216.2,172.7,-39.8,441.6,193.0,True,,False,False,True,False,False,True,False,False,True,False,False,,False,False,True,False,False
New Jersey,8584,6132.0,6006.0,,5284.8,244.0,4709.2,2540.0,52912.9,6797.0,9473.3,2753.5,6365.5,9818.5,9635.0,,5874.1,5002.3,,7007.2,8222.0,-2452.0,-2578.0,,-3299.2,-8340.0,-3874.8,-6044.0,44328.9,-1787.0,889.3,-5830.5,-2218.5,1234.5,1051.0,,-2709.9,-3581.7,,-1576.8,-362.0,False,,False,False,False,False,False,True,True,False,True,True,True,,False,False,,True,True
New Mexico,4514,6156.0,6447.0,,7219.5,3045.0,5497.8,2193.3,8838.2,5494.0,9813.0,7956.0,4964.0,6802.7,8211.0,,7745.3,6821.5,6122.6,6321.1,5517.0,1642.0,1933.0,,2705.5,-1469.0,983.8,-2320.7,4324.2,980.0,5299.0,3442.0,450.0,2288.7,3697.0,,3231.3,2307.5,1608.6,1807.1,1003.0,False,,False,True,True,False,False,True,False,False,True,False,False,,False,False,True,False,True
New York,13701,14685.0,13184.0,,13422.8,579.0,8946.9,5205.2,63036.4,9517.0,44644.6,16460.7,10155.9,16047.2,18043.0,,9041.5,13691.9,,14358.3,14139.0,984.0,-517.0,,-278.2,-13122.0,-4754.1,-8495.8,49335.4,-4184.0,30943.6,2759.7,-3545.1,2346.2,4342.0,,-4659.5,-9.1,,657.3,438.0,True,,True,False,False,False,False,False,False,False,False,False,False,,False,True,,True,True
North Carolina,33893,39987.0,40974.0,,43271.0,50923.0,25989.9,13926.8,40277.9,45489.0,52018.6,51018.1,28345.6,36118.5,44325.0,,42535.5,40372.1,56588.1,34362.8,31923.0,6094.0,7081.0,,9378.0,17030.0,-7903.1,-19966.2,6384.9,11596.0,18125.6,17125.1,-5547.4,2225.5,10432.0,,8642.5,6479.1,22695.1,469.8,-1970.0,False,,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,True,True
North Dakota,2708,2487.0,2410.0,,3236.8,815.0,2122.3,897.0,1793.2,2033.0,2710.5,1875.1,2465.6,2898.9,4916.0,,3343.8,3537.3,,3488.0,2729.0,-221.0,-298.0,,528.8,-1893.0,-585.7,-1811.0,-914.8,-675.0,2.5,-832.9,-242.4,190.9,2208.0,,635.8,829.3,,780.0,21.0,False,,False,False,False,False,False,False,True,False,False,True,False,,False,False,,False,True
Ohio,24490,28089.0,24638.0,,39662.4,15184.0,21332.7,9931.9,18564.9,25137.0,51872.4,33251.0,19306.2,25358.6,37333.0,,22375.0,27627.0,24419.2,24893.3,24834.0,3599.0,148.0,,15172.4,-9306.0,-3157.3,-14558.1,-5925.1,647.0,27382.4,8761.0,-5183.8,868.6,12843.0,,-2115.0,3137.0,-70.8,403.3,344.0,True,,False,False,True,False,False,True,False,False,False,True,False,,True,True,True,True,True
Oklahoma,17717,15072.0,20455.0,,19317.1,13059.0,12999.9,6621.7,21059.9,20093.0,28138.0,21209.3,24185.7,20849.3,23939.0,,42585.9,13465.5,,31104.3,19384.0,-2645.0,2738.0,,1600.1,-4658.0,-4717.1,-11095.3,3342.9,2376.0,10421.0,3492.3,6468.7,3132.3,6222.0,,24868.9,-4251.5,,13387.3,1667.0,False,,True,False,False,False,False,True,False,False,False,False,False,,False,False,,False,True
Oregon,6526,5865.0,7010.0,,7743.0,6854.0,5163.2,1392.2,9165.6,6015.0,14645.3,9232.2,7379.4,6945.4,5356.0,,5945.4,6839.6,,6677.8,6360.0,-661.0,484.0,,1217.0,328.0,-1362.8,-5133.8,2639.6,-511.0,8119.3,2706.2,853.4,419.4,-1170.0,,-580.6,313.6,,151.8,-166.0,True,,False,True,False,False,False,True,False,False,False,True,False,,True,True,,True,True
Pennsylvania,17416,19005.0,20291.0,,23152.9,1726.0,13902.2,6794.5,22624.4,15425.0,32774.4,28497.7,12499.8,21376.2,25867.0,,14151.0,21848.8,8632.4,20566.8,19354.0,1589.0,2875.0,,5736.9,-15690.0,-3513.8,-10621.5,5208.4,-1991.0,15358.4,11081.7,-4916.2,3960.2,8451.0,,-3265.0,4432.8,-8783.6,3150.8,1938.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,2111,1293.0,1149.0,,1501.5,64.0,1225.9,419.6,2227.4,2719.0,161.5,500.4,661.1,1141.4,1754.0,,1316.8,1190.7,835.9,1279.8,805.0,-818.0,-962.0,,-609.5,-2047.0,-885.1,-1691.4,116.4,608.0,-1949.5,-1610.6,-1449.9,-969.6,-357.0,,-794.2,-920.3,-1275.1,-831.2,-1306.0,False,,True,False,False,False,True,True,False,False,False,False,True,,True,False,False,False,False
South Carolina,25874,37188.0,32297.0,,49445.2,41122.0,25741.9,10526.0,44815.7,32657.0,36966.6,44679.8,23312.5,28809.2,34124.0,,27395.0,32781.0,45371.1,22193.3,23499.0,11314.0,6423.0,,23571.2,15248.0,-132.1,-15348.0,18941.7,6783.0,11092.6,18805.8,-2561.5,2935.2,8250.0,,1521.0,6907.0,19497.1,-3680.7,-2375.0,True,,False,False,True,False,False,True,True,False,True,True,True,,True,True,False,True,True
South Dakota,1813,1329.0,1360.0,,1039.5,692.0,1479.4,463.8,2651.9,952.0,1594.5,1168.6,1237.5,1919.7,1668.0,,974.8,1604.8,,2144.7,1520.0,-484.0,-453.0,,-773.5,-1121.0,-333.6,-1349.2,838.9,-861.0,-218.5,-644.4,-575.5,106.7,-145.0,,-838.2,-208.2,,331.7,-293.0,True,,False,False,True,False,False,False,True,False,False,True,True,,False,True,,True,True
Tennessee,40951,43380.0,45964.0,,67905.6,46151.0,29406.0,13558.1,35168.6,36286.0,41222.1,89119.6,58149.0,49933.7,63158.0,,106291.6,43571.3,65512.1,44588.2,44550.0,2429.0,5013.0,,26954.6,5200.0,-11545.0,-27392.9,-5782.4,-4665.0,271.1,48168.6,17198.0,8982.7,22207.0,,65340.6,2620.3,24561.1,3637.2,3599.0,False,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Texas,156266,189540.0,174985.0,,310912.9,232200.0,118655.1,57474.6,682211.9,265984.0,187003.2,226349.0,70459.3,145353.6,218742.0,,131161.7,178099.6,300499.0,100170.2,116263.0,33274.0,18719.0,,154646.9,75934.0,-37610.9,-98791.4,525945.9,109718.0,30737.2,70083.0,-85806.7,-10912.4,62476.0,,-25104.3,21833.6,144233.0,-56095.8,-40003.0,True,,False,False,False,False,False,False,True,False,False,True,False,,True,True,False,False,False
Utah,8698,12873.0,11395.0,,13949.7,15798.0,8822.8,4442.7,20158.5,10776.0,14859.0,15428.0,8159.3,10316.0,12920.0,,10083.9,12982.7,18256.2,7544.8,9576.0,4175.0,2697.0,,5251.7,7100.0,124.8,-4255.3,11460.5,2078.0,6161.0,6730.0,-538.7,1618.0,4222.0,,1385.9,4284.7,9558.2,-1153.2,878.0,True,,False,False,True,False,False,True,False,False,True,True,False,,True,False,False,True,True
Vermont,113,174.0,126.0,,136.5,14.0,124.1,57.3,3.7,100.0,615.5,242.6,99.9,182.1,162.0,,90.1,192.2,,200.5,134.0,61.0,13.0,,23.5,-99.0,11.1,-55.7,-109.3,-13.0,502.5,129.6,-13.1,69.1,49.0,,-22.9,79.2,,87.5,21.0,True,,True,False,True,True,False,True,False,False,True,False,True,,True,False,,False,True
Virginia,22141,21708.0,21221.0,,21482.2,9309.0,15921.6,7639.8,13602.0,20188.0,27203.5,40409.9,17377.8,23112.6,36084.0,,20157.3,31086.6,17955.4,23764.2,4995.0,-433.0,-920.0,,-658.8,-12832.0,-6219.4,-14501.2,-8539.0,-1953.0,5062.5,18268.9,-4763.2,971.6,13943.0,,-1983.7,8945.6,-4185.6,1623.2,-17146.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,15036,17469.0,17580.0,,20393.8,15987.0,10479.4,5954.4,32362.5,15797.0,22826.8,30037.7,14047.8,18503.8,23330.0,,17072.1,18802.5,,15584.5,16456.0,2433.0,2544.0,,5357.8,951.0,-4556.6,-9081.6,17326.5,761.0,7790.8,15001.7,-988.2,3467.8,8294.0,,2036.1,3766.5,,548.5,1420.0,False,,False,True,False,False,False,True,False,False,True,False,False,,True,False,,True,True
West Virginia,2687,2643.0,2672.0,,4420.2,2046.0,2821.1,1039.1,522.8,1460.0,4365.8,3136.5,2687.3,2780.7,4014.0,,4419.6,2975.1,,3627.3,2887.0,-44.0,-15.0,,1733.2,-641.0,134.1,-1647.9,-2164.2,-1227.0,1678.8,449.5,0.3,93.7,1327.0,,1732.6,288.1,,940.3,200.0,True,,False,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False
Wisconsin,17186,19155.0,19383.0,,22974.4,10203.0,13508.1,6872.0,5176.2,15419.0,27221.5,36652.8,17022.1,19653.3,29780.0,,24915.5,19462.0,20785.8,22695.4,18418.0,1969.0,2197.0,,5788.4,-6983.0,-3677.9,-10314.0,-12009.8,-1767.0,10035.5,19466.8,-163.9,2467.3,12594.0,,7729.5,2276.0,3599.8,5509.4,1232.0,False,,False,False,False,False,False,True,False,False,True,False,False,,False,False,False,False,True
Wyoming,789,1014.0,1088.0,,1236.0,611.0,891.6,351.9,6.3,645.0,1512.0,1524.7,815.0,1049.3,1403.0,,1499.2,1315.8,,1131.1,979.0,225.0,299.0,,447.0,-178.0,102.6,-437.1,-782.7,-144.0,723.0,735.7,26.0,260.3,614.0,,710.2,526.8,,342.1,190.0,False,,False,True,True,False,False,True,False,False,True,False,False,,False,False,,False,True
US,1182038,1399824.0,1401184.0,1189588.0,1884437.9,1232438.0,935281.1,485117.7,2326722.8,1407897.0,1518897.5,1996070.7,976638.9,1656088.1,1766031.0,1329909.8,1495629.9,1527808.2,1326504.0,1232453.7,1150228.0,217786.0,219146.0,7550.0,702399.9,50400.0,-246756.9,-696920.3,1144684.8,225859.0,336859.5,814032.7,-205399.1,474050.1,583993.0,147871.8,313591.9,345770.2,144466.0,50415.7,-31810.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True
