,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,21741,23415.0,23018.8,22427.0,22427.0,,22001.0,21780.1,25716.8,52557.7,17516.6,21822.3,22347.4,22241.3,23729.0,,27740.8,27088.0,26751.3,22739.5,20389.0,1674.0,1277.8,686.0,686.0,,260.0,39.1,3975.8,30816.7,-4224.4,81.3,606.4,500.3,1988.0,,5999.8,5347.0,5010.3,998.5,-1352.0,True,True,True,,True,True,False,False,False,True,True,True,False,,False,False,False,True,True
Hawaii,1479,1149.0,1074.4,1074.0,1316.0,,1016.0,848.6,1693.4,11.8,1828.1,957.8,1332.7,1172.2,1445.0,,977.8,1337.6,,1702.8,1573.0,-330.0,-404.6,-405.0,-163.0,,-463.0,-630.4,214.4,-1467.2,349.1,-521.2,-146.3,-306.8,-34.0,,-501.2,-141.4,,223.8,94.0,False,False,True,,False,False,True,False,False,False,True,True,True,,False,True,,True,True
Idaho,2978,3387.0,3402.1,3402.0,3563.0,,2965.0,7187.2,4185.4,6091.3,4421.9,3480.7,2419.9,2774.4,3057.0,,2768.4,3849.2,2970.2,3003.5,3681.0,409.0,424.1,424.0,585.0,,-13.0,4209.2,1207.4,3113.3,1443.9,502.7,-558.1,-203.6,79.0,,-209.6,871.2,-7.8,25.5,703.0,False,False,False,,True,False,False,False,False,False,False,True,True,,True,False,True,True,False
Illinois,11853,12244.0,12279.4,12279.0,13245.0,,1228.0,11714.0,13886.0,13910.2,13191.4,13993.9,10680.8,12249.9,14167.0,,13139.7,15153.1,8251.0,13519.9,12965.0,391.0,426.4,426.0,1392.0,,-10625.0,-139.0,2033.0,2057.2,1338.4,2140.9,-1172.2,396.9,2314.0,,1286.7,3300.1,-3602.0,1666.9,1112.0,False,False,False,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
Indiana,6389,6165.0,6111.2,6637.0,6637.0,,2952.0,6387.1,6798.0,9266.1,7672.2,6139.7,6889.4,6592.0,7091.0,,7763.9,7299.9,5692.3,8987.0,6289.0,-224.0,-277.8,248.0,248.0,,-3437.0,-1.9,409.0,2877.1,1283.2,-249.3,500.4,203.0,702.0,,1374.9,910.9,-696.7,2598.0,-100.0,False,False,False,,False,True,False,False,False,False,False,True,False,,False,False,False,False,True
Iowa,3530,3242.0,3266.1,3266.0,3279.0,,1171.0,3021.9,3391.5,4068.9,3915.2,3252.8,3063.0,2785.0,3210.0,,3454.1,3562.6,3067.0,3273.3,3177.0,-288.0,-263.9,-264.0,-251.0,,-2359.0,-508.1,-138.5,538.9,385.2,-277.2,-467.0,-745.0,-320.0,,-75.9,32.6,-463.0,-256.7,-353.0,True,True,True,,False,False,True,False,False,True,False,False,False,,True,True,False,True,False
Kansas,3422,2871.0,2897.0,2729.0,2729.0,,2454.0,2630.3,2917.5,6190.7,4512.8,2368.0,2037.7,2262.1,2441.0,,2833.3,3288.7,2270.3,2235.7,2647.0,-551.0,-525.0,-693.0,-693.0,,-968.0,-791.7,-504.5,2768.7,1090.8,-1054.0,-1384.3,-1159.9,-981.0,,-588.7,-133.3,-1151.7,-1186.3,-775.0,True,False,False,,False,False,True,False,False,False,False,False,False,,False,True,False,False,False
Kentucky,4352,3855.0,3880.7,3881.0,3972.0,,3354.0,8537.9,4201.5,9660.0,4911.8,4194.8,3351.1,3515.7,4090.0,,3866.6,4487.1,3883.1,3624.6,3826.0,-497.0,-471.3,-471.0,-380.0,,-998.0,4185.9,-150.5,5308.0,559.8,-157.2,-1000.9,-836.3,-262.0,,-485.4,135.1,-468.9,-727.4,-526.0,True,True,True,,False,False,True,False,False,True,False,False,True,,True,True,True,False,False
Louisiana,7991,12466.0,12619.2,11955.0,11502.0,,9650.0,17071.1,6587.5,27650.4,8716.7,11821.1,11955.1,10562.2,10750.0,,9052.8,12378.6,,9334.3,7094.0,4475.0,4628.2,3964.0,3511.0,,1659.0,9080.1,-1403.5,19659.4,725.7,3830.1,3964.1,2571.2,2759.0,,1061.8,4387.6,,1343.3,-897.0,False,True,True,,True,False,True,False,True,True,True,True,True,,True,True,,True,True
Maine,116,91.0,87.2,92.0,109.0,,62.0,113.2,105.9,213.3,202.3,99.1,81.9,92.4,93.0,,87.3,100.9,124.5,97.2,93.0,-25.0,-28.8,-24.0,-7.0,,-54.0,-2.8,-10.1,97.3,86.3,-16.9,-34.1,-23.6,-23.0,,-28.7,-15.1,8.5,-18.8,-23.0,False,True,True,,False,True,True,False,False,True,False,True,True,,False,True,True,True,True
Maryland,5112,5216.0,5299.6,5216.0,4647.0,,3410.0,6088.5,5185.8,8355.7,4647.5,7771.3,5084.3,5293.4,5887.0,,5130.4,5800.0,4431.8,5061.2,4675.0,104.0,187.6,104.0,-465.0,,-1702.0,976.5,73.8,3243.7,-464.5,2659.3,-27.7,181.4,775.0,,18.4,688.0,-680.2,-50.8,-437.0,False,False,False,,False,False,True,False,False,False,True,False,False,,True,False,False,True,False
Massachusetts,2008,2671.0,2642.6,2660.0,2790.0,,37.0,2622.1,2758.4,7474.0,3234.0,4098.2,2206.8,2592.4,3226.0,,2630.9,3470.5,1629.1,3087.6,2889.0,663.0,634.6,652.0,782.0,,-1971.0,614.1,750.4,5466.0,1226.0,2090.2,198.8,584.4,1218.0,,622.9,1462.5,-378.9,1079.6,881.0,True,True,False,,False,True,False,False,False,False,True,True,False,,True,False,True,False,False
Michigan,5591,4859.0,5012.3,5012.0,4446.0,,1929.0,5662.2,5139.3,7253.6,8416.0,7110.4,4176.9,4650.9,5118.0,,7611.6,5297.6,,4311.1,4560.0,-732.0,-578.7,-579.0,-1145.0,,-3662.0,71.2,-451.7,1662.6,2825.0,1519.4,-1414.1,-940.1,-473.0,,2020.6,-293.4,,-1279.9,-1031.0,True,True,False,,False,True,True,False,False,False,False,False,True,,False,True,,False,False
Minnesota,4312,4913.0,4925.4,5134.0,5037.0,,2314.0,5440.0,5110.7,3537.7,5465.9,6266.3,5133.8,4775.3,5324.0,,5320.5,5747.7,4643.0,5715.8,4906.0,601.0,613.4,822.0,725.0,,-1998.0,1128.0,798.7,-774.3,1153.9,1954.3,821.8,463.3,1012.0,,1008.5,1435.7,331.0,1403.8,594.0,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,True,False,True
Mississippi,5109,6765.0,7036.6,6765.0,6617.0,,8081.0,6803.9,7515.9,22857.4,6710.1,12945.0,4910.2,5755.7,6670.0,,8483.0,8751.1,8277.1,5271.3,5755.0,1656.0,1927.6,1656.0,1508.0,,2972.0,1694.9,2406.9,17748.4,1601.1,7836.0,-198.8,646.7,1561.0,,3374.0,3642.1,3168.1,162.3,646.0,False,False,True,,False,False,False,False,True,False,True,True,True,,False,False,False,True,True
Missouri,8983,6389.0,6849.8,7490.0,4935.0,,8750.0,8432.4,4704.0,17786.3,9246.2,17003.0,6974.2,7575.3,7828.0,,6074.3,7603.7,8465.0,4617.9,6264.0,-2594.0,-2133.2,-1493.0,-4048.0,,-233.0,-550.6,-4279.0,8803.3,263.2,8020.0,-2008.8,-1407.7,-1155.0,,-2908.7,-1379.3,-518.0,-4365.1,-2719.0,True,True,False,,True,True,False,False,True,False,True,True,True,,False,True,True,False,False
Montana,770,808.0,806.2,782.0,651.0,,640.0,755.0,924.7,832.4,1139.2,914.2,733.5,671.0,857.0,,995.1,900.1,831.5,781.6,818.0,38.0,36.2,12.0,-119.0,,-130.0,-15.0,154.7,62.4,369.2,144.2,-36.5,-99.0,87.0,,225.1,130.1,61.5,11.6,48.0,True,True,False,,False,True,False,False,False,False,True,False,False,,False,False,False,True,False
Nebraska,1996,1854.0,1791.1,1752.0,1685.0,,572.0,1873.1,1615.9,1777.5,1845.0,2363.3,1447.3,1611.4,1909.0,,1913.2,2068.7,1228.7,1571.6,1698.0,-142.0,-204.9,-244.0,-311.0,,-1424.0,-122.9,-380.1,-218.5,-151.0,367.3,-548.7,-384.6,-87.0,,-82.8,72.7,-767.3,-424.4,-298.0,False,False,False,,False,True,False,False,False,False,False,False,True,,True,True,False,False,False
Nevada,5189,6345.0,6296.4,5965.0,5790.0,,7761.0,5837.7,5450.9,15173.4,4880.7,7163.1,5364.2,5249.5,5966.0,,5965.2,6801.4,7207.1,5123.4,5610.0,1156.0,1107.4,776.0,601.0,,2572.0,648.7,261.9,9984.4,-308.3,1974.1,175.2,60.5,777.0,,776.2,1612.4,2018.1,-65.6,421.0,True,True,True,,False,True,True,False,True,False,True,True,True,,True,False,False,True,True
New Hampshire,162,204.0,206.8,204.0,209.0,,19.0,199.5,212.2,783.7,325.9,84.9,166.5,183.1,210.0,,214.9,234.5,176.3,192.2,207.0,42.0,44.8,42.0,47.0,,-143.0,37.5,50.2,621.7,163.9,-77.1,4.5,21.1,48.0,,52.9,72.5,14.3,30.2,45.0,False,False,False,,False,True,False,False,False,False,True,True,False,,False,False,True,True,False
New Jersey,3013,2400.0,2490.0,2490.0,2444.0,,86.0,2311.8,2508.5,3970.3,3160.3,2819.9,2143.0,2551.2,2815.0,,2033.8,3291.1,1131.2,3724.8,1907.0,-613.0,-523.0,-523.0,-569.0,,-2927.0,-701.2,-504.5,957.3,147.3,-193.1,-870.0,-461.8,-198.0,,-979.2,278.1,-1881.8,711.8,-1106.0,True,True,True,,False,False,True,False,True,True,False,True,True,,False,True,False,False,False
New Mexico,1187,1319.0,1218.8,1319.0,1246.0,,1422.0,1588.7,1135.3,4131.7,2019.2,2081.4,1215.3,1267.0,1193.0,,1235.4,1574.6,1582.2,1115.5,1186.0,132.0,31.8,132.0,59.0,,235.0,401.7,-51.7,2944.7,832.2,894.4,28.3,80.0,6.0,,48.4,387.6,395.2,-71.5,-1.0,True,False,True,,False,False,True,False,False,False,True,True,True,,True,False,False,True,True
New York,4556,4578.0,4598.6,4475.0,4287.0,,159.0,3874.8,4795.0,6274.6,8565.7,5246.4,3814.2,4474.6,4497.0,,4194.0,5296.0,1628.5,4373.1,4471.0,22.0,42.6,-81.0,-269.0,,-4397.0,-681.2,239.0,1718.6,4009.7,690.4,-741.8,-81.4,-59.0,,-362.0,740.0,-2927.5,-182.9,-85.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
North Carolina,9793,10942.0,10739.6,10740.0,10446.0,,13767.0,9685.3,10823.5,23706.6,14506.6,11921.8,9512.5,9679.8,10260.0,,10473.6,12469.7,11097.0,9317.3,10333.0,1149.0,946.6,947.0,653.0,,3974.0,-107.7,1030.5,13913.6,4713.6,2128.8,-280.5,-113.2,467.0,,680.6,2676.7,1304.0,-475.7,540.0,True,True,True,,False,True,True,False,False,False,True,True,True,,True,False,False,True,True
North Dakota,936,906.0,918.5,875.0,717.0,,200.0,1094.2,1029.0,552.6,919.2,880.1,827.3,816.5,1006.0,,875.3,1116.3,793.5,961.3,907.0,-30.0,-17.5,-61.0,-219.0,,-736.0,158.2,93.0,-383.4,-16.8,-55.9,-108.7,-119.5,70.0,,-60.7,180.3,-142.5,25.3,-29.0,True,False,False,,False,False,False,False,True,False,False,False,False,,False,False,False,True,True
Ohio,7705,7882.0,8143.8,7720.0,7720.0,,5982.0,7556.4,8404.0,23646.9,13425.4,8113.0,6567.7,7233.2,7548.0,,7121.8,8854.8,7959.5,7325.9,7484.0,177.0,438.8,15.0,15.0,,-1723.0,-148.6,699.0,15941.9,5720.4,408.0,-1137.3,-471.8,-157.0,,-583.2,1149.8,254.5,-379.1,-221.0,False,True,True,,False,True,False,False,False,False,False,False,True,,False,False,False,False,False
Oklahoma,4718,5349.0,5447.2,5447.0,5106.0,,6147.0,4728.6,5784.0,10041.4,8820.3,9346.0,4130.2,4735.5,5663.0,,6571.2,5910.5,6210.9,4396.0,5118.0,631.0,729.2,729.0,388.0,,1429.0,10.6,1066.0,5323.4,4102.3,4628.0,-587.8,17.5,945.0,,1853.2,1192.5,1492.9,-322.0,400.0,False,False,True,,False,True,False,False,False,False,True,True,False,,False,False,False,True,True
Oregon,2008,2193.0,2209.6,2210.0,2138.0,,2463.0,1751.9,2316.3,6169.3,4338.2,2387.1,1995.2,2068.3,2161.0,,2252.4,2493.8,2396.2,2132.0,2161.0,185.0,201.6,202.0,130.0,,455.0,-256.1,308.3,4161.3,2330.2,379.1,-12.8,60.3,153.0,,244.4,485.8,388.2,124.0,153.0,False,False,True,,False,False,False,False,False,False,True,True,True,,False,False,False,True,True
Pennsylvania,5866,5197.0,5313.3,5197.0,4603.0,,321.0,5169.4,4981.5,8070.5,8929.7,7857.0,4320.0,4938.9,4992.0,,6036.6,5506.2,3273.3,4893.1,4519.0,-669.0,-552.7,-669.0,-1263.0,,-5545.0,-696.6,-884.5,2204.5,3063.7,1991.0,-1546.0,-927.1,-874.0,,170.6,-359.8,-2592.7,-972.9,-1347.0,True,False,False,,False,False,False,False,False,False,False,False,False,,True,True,False,False,False
Rhode Island,597,716.0,721.9,548.0,642.0,,10.0,661.5,678.0,577.6,110.7,365.6,349.2,520.6,752.0,,736.7,689.4,205.6,570.7,601.0,119.0,124.9,-49.0,45.0,,-587.0,64.5,81.0,-19.4,-486.4,-231.4,-247.8,-76.4,155.0,,139.7,92.4,-391.4,-26.3,4.0,False,True,True,,False,True,True,True,False,False,False,True,False,,False,True,False,True,True
South Carolina,6422,8861.0,8759.1,8375.0,8266.0,,9690.0,6920.8,8744.5,22790.1,10222.9,9197.7,6949.4,7607.5,7884.0,,7779.0,9314.5,9394.1,7321.1,7855.0,2439.0,2337.1,1953.0,1844.0,,3268.0,498.8,2322.5,16368.1,3800.9,2775.7,527.4,1185.5,1462.0,,1357.0,2892.5,2972.1,899.1,1433.0,True,True,True,,False,True,True,False,False,False,True,True,True,,True,False,False,True,True
South Dakota,641,610.0,607.9,638.0,519.0,,186.0,595.7,637.9,678.3,470.8,591.2,704.9,711.9,756.0,,887.9,815.7,383.5,881.7,661.0,-31.0,-33.1,-3.0,-122.0,,-455.0,-45.3,-3.1,37.3,-170.2,-49.8,63.9,70.9,115.0,,246.9,174.7,-257.5,240.7,20.0,False,True,False,,False,False,True,False,False,False,False,False,False,,False,False,False,False,True
Tennessee,11162,12401.0,13127.6,13128.0,11298.0,,14000.0,13957.2,13497.4,10284.9,13245.5,13250.8,13928.5,12638.4,13276.0,,14176.4,14146.7,16352.8,12511.8,10785.0,1239.0,1965.6,1966.0,136.0,,2838.0,2795.2,2335.4,-877.1,2083.5,2088.8,2766.5,1476.4,2114.0,,3014.4,2984.7,5190.8,1349.8,-377.0,False,False,True,,False,False,False,True,False,False,False,False,False,,False,False,False,False,True
Texas,48920,52894.0,49152.7,51965.0,53770.0,,55646.0,40722.6,53597.5,167959.0,49182.4,51315.7,37347.2,46243.9,47988.0,,59448.8,58105.0,47007.7,46274.9,48155.0,3974.0,232.7,3045.0,4850.0,,6726.0,-8197.4,4677.5,119039.0,262.4,2395.7,-11572.8,-2676.1,-932.0,,10528.8,9185.0,-1912.3,-2645.1,-765.0,True,True,False,,False,False,False,False,True,True,False,True,True,,False,False,True,True,True
Utah,2570,3049.0,3308.8,2798.0,2348.0,,3323.0,2519.1,3075.9,4318.3,3081.5,3024.8,2665.5,2530.5,2584.0,,2093.4,3522.7,3550.8,2326.5,2670.0,479.0,738.8,228.0,-222.0,,753.0,-50.9,505.9,1748.3,511.5,454.8,95.5,-39.5,14.0,,-476.6,952.7,980.8,-243.5,100.0,False,True,True,,False,True,False,False,False,True,True,True,True,,True,False,False,True,True
Vermont,55,33.0,33.2,33.0,34.0,,9.0,33.3,35.9,28.2,124.4,65.0,32.5,27.5,29.0,,91.0,45.4,,35.6,29.0,-22.0,-21.8,-22.0,-21.0,,-46.0,-21.7,-19.1,-26.8,69.4,10.0,-22.5,-27.5,-26.0,,36.0,-9.6,,-19.4,-26.0,True,False,True,,False,True,True,False,False,True,False,False,False,,False,True,,True,False
Virginia,6561,8388.0,8443.4,8443.0,9026.0,,4385.0,7854.0,8852.4,26198.8,8821.3,7490.7,6824.5,7390.0,8773.0,,10099.9,10366.2,7273.8,9160.6,0.0,1827.0,1882.4,1882.0,2465.0,,-2176.0,1293.0,2291.4,19637.8,2260.3,929.7,263.5,829.0,2212.0,,3538.9,3805.2,712.8,2599.6,-6561.0,False,False,False,,False,True,False,False,False,True,True,True,False,,False,False,True,False,False
Washington,4362,4982.0,5085.4,5085.0,4943.0,,5388.0,4464.0,5398.4,10040.5,5985.8,6005.6,4366.4,4149.9,4955.0,,5241.2,6047.5,4820.8,4743.7,4770.0,620.0,723.4,723.0,581.0,,1026.0,102.0,1036.4,5678.5,1623.8,1643.6,4.4,-212.1,593.0,,879.2,1685.5,458.8,381.7,408.0,False,False,True,,False,True,False,False,False,False,True,True,True,,False,False,True,True,True
West Virginia,899,825.0,850.3,860.0,938.0,,841.0,1041.6,884.3,761.5,1350.3,1141.4,860.4,819.8,914.0,,1124.9,872.2,932.6,839.9,870.0,-74.0,-48.7,-39.0,39.0,,-58.0,142.6,-14.7,-137.5,451.3,242.4,-38.6,-79.2,15.0,,225.9,-26.8,33.6,-59.1,-29.0,True,True,True,,True,False,True,False,False,False,True,False,True,,False,True,True,True,True
Wisconsin,5123,5931.0,5885.7,5943.0,6261.0,,3726.0,6114.4,6510.5,7498.7,7850.2,5567.6,5176.7,5077.7,6110.0,,6185.7,7119.7,5769.8,6076.8,5869.0,808.0,762.7,820.0,1138.0,,-1397.0,991.4,1387.5,2375.7,2727.2,444.6,53.7,-45.3,987.0,,1062.7,1996.7,646.8,953.8,746.0,True,False,False,,False,False,False,False,False,True,True,True,False,,False,False,True,False,True
Wyoming,220,246.0,246.8,247.0,183.0,,250.0,272.4,194.2,13.2,393.1,507.6,212.4,235.0,237.0,,272.8,269.9,,196.4,265.0,26.0,26.8,27.0,-37.0,,30.0,52.4,-25.8,-206.8,173.1,287.6,-7.6,15.0,17.0,,52.8,49.9,,-23.6,45.0,False,False,False,,False,False,True,False,False,False,True,True,True,,False,False,,True,False
US,363832,377337.0,373010.8,375174.0,353794.0,329697.0,383781.0,357860.3,382916.8,838767.4,409159.6,426849.4,306198.4,350433.3,361700.0,351295.7,385820.7,402645.2,337293.6,340998.2,353094.0,13505.0,9178.8,11342.0,-10038.0,-34135.0,19949.0,-5971.7,19084.8,474935.4,45327.6,63017.4,-57633.6,-13398.7,-2132.0,-12536.3,21988.7,38813.2,-26538.4,-22833.8,-10738.0,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True
