,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01031,129,154.0,147.1,136.0,135.0,,,,,,285.0,176.4,,92.9,129.2,,170.0,,98.8,164.4,,,,,,25.0,18.1,7.0,6.0,,,,,,156.0,47.4,,-36.1,0.2,,41.0,,-30.2,35.4,,,,,,True,True,True,,,,,,False,False,,False,True,,False,,False,False,,,,,
01033,195,368.0,455.4,362.0,333.0,,,,,,302.0,251.8,,362.1,314.6,,337.0,,420.1,418.3,,,,,,173.0,260.4,167.0,138.0,,,,,,107.0,56.8,,167.1,119.6,,142.0,,225.1,223.3,,,,,,False,True,True,,,,,,True,True,,True,True,,True,,False,False,,,,,
01035,50,68.0,,68.0,84.0,,,,,,95.0,70.9,,46.0,78.9,43.4,90.0,,78.8,52.1,,,,,,18.0,,18.0,34.0,,,,,,45.0,20.9,,-4.0,28.9,-6.6,40.0,,28.8,2.1,,,,,,,False,False,,,,,,False,False,,True,False,True,False,,False,True,,,,,
01037,23,16.0,,13.0,16.0,,,,,,22.0,20.4,,2.3,10.2,,19.0,,8.5,16.6,,,,,,-7.0,,-10.0,-7.0,,,,,,-1.0,-2.6,,-20.7,-12.8,,-4.0,,-14.5,-6.4,,,,,,,False,False,,,,,,True,True,,False,False,,True,,False,True,,,,,
01039,123,118.0,,129.0,117.0,,,,,,274.0,234.4,,129.4,156.2,128.2,171.0,,180.8,88.0,,,,,,-5.0,,6.0,-6.0,,,,,,151.0,111.4,,6.4,33.2,5.2,48.0,,57.8,-35.0,,,,,,,False,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01041,86,112.0,,75.0,141.0,,,,,,71.0,36.1,,89.1,75.2,36.1,111.0,,32.8,84.2,,,,,,26.0,,-11.0,55.0,,,,,,-15.0,-49.9,,3.1,-10.8,-49.9,25.0,,-53.2,-1.8,,,,,,,True,False,,,,,,True,False,,True,True,False,True,,False,True,,,,,
01043,191,316.0,372.9,327.0,290.0,,,,,,418.0,468.8,,221.4,291.6,300.0,308.0,,372.2,408.2,,,,,,125.0,181.9,136.0,99.0,,,,,,227.0,277.8,,30.4,100.6,109.0,117.0,,181.2,217.2,,,,,,False,False,True,,,,,,False,False,,True,True,True,True,,False,False,,,,,
01045,114,182.0,,174.0,125.0,,,,,,265.0,266.7,,125.7,173.0,147.5,195.0,,175.1,175.6,,,,,,68.0,,60.0,11.0,,,,,,151.0,152.7,,11.7,59.0,33.5,81.0,,61.1,61.6,,,,,,,True,True,,,,,,False,False,,True,True,True,False,,True,True,,,,,
01047,122,162.0,,142.0,128.0,,,,,,300.0,161.9,,109.8,168.4,8.9,273.0,,178.5,144.3,,,,,,40.0,,20.0,6.0,,,,,,178.0,39.9,,-12.2,46.4,-113.1,151.0,,56.5,22.3,,,,,,,True,True,,,,,,False,True,,True,False,False,False,,False,True,,,,,
01049,258,362.0,476.1,346.0,248.0,,,,,,443.0,403.1,,370.2,330.9,274.2,453.0,,268.1,376.4,,,,,,104.0,218.1,88.0,-10.0,,,,,,185.0,145.1,,112.2,72.9,16.2,195.0,,10.1,118.4,,,,,,False,True,True,,,,,,False,False,,False,True,True,False,,True,False,,,,,
01051,273,264.0,355.8,262.0,166.0,,,,,,371.0,266.4,,241.4,271.3,238.1,365.0,,329.0,230.5,,,,,,-9.0,82.8,-11.0,-107.0,,,,,,98.0,-6.6,,-31.6,-1.7,-34.9,92.0,,56.0,-42.5,,,,,,False,False,False,,,,,,False,True,,False,True,False,False,,False,False,,,,,
01053,210,284.0,,260.0,272.0,,,,,,348.0,342.5,,192.4,265.8,146.1,286.0,,220.8,203.2,,,,,,74.0,,50.0,62.0,,,,,,138.0,132.5,,-17.6,55.8,-63.9,76.0,,10.8,-6.8,,,,,,,True,True,,,,,,False,False,,True,True,True,False,,True,True,,,,,
01055,382,538.0,631.3,486.0,444.0,,,,,,522.0,750.4,,474.7,441.2,438.5,541.0,,394.3,434.3,,,,,,156.0,249.3,104.0,62.0,,,,,,140.0,368.4,,92.7,59.2,56.5,159.0,,12.3,52.3,,,,,,False,True,True,,,,,,True,False,,True,True,True,False,,True,True,,,,,
01057,83,66.0,,58.0,102.0,,,,,,63.0,76.3,,26.8,47.7,53.6,54.0,,17.5,57.7,,,,,,-17.0,,-25.0,19.0,,,,,,-20.0,-6.7,,-56.2,-35.3,-29.4,-29.0,,-65.5,-25.3,,,,,,,False,False,,,,,,False,True,,False,False,False,False,,False,False,,,,,
01059,136,180.0,,163.0,195.0,,,,,,244.0,73.9,,151.0,183.7,99.2,270.0,,128.7,163.9,,,,,,44.0,,27.0,59.0,,,,,,108.0,-62.1,,15.0,47.7,-36.8,134.0,,-7.3,27.9,,,,,,,True,False,,,,,,False,False,,True,False,True,False,,True,True,,,,,
01061,63,66.0,,66.0,76.0,,,,,,164.0,135.4,,53.6,86.6,66.2,69.0,,29.1,56.2,,,,,,3.0,,3.0,13.0,,,,,,101.0,72.4,,-9.4,23.6,3.2,6.0,,-33.9,-6.8,,,,,,,False,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01063,16,16.0,,16.0,19.0,,,,,,38.0,24.4,,2.3,17.9,0.3,41.0,,30.0,15.0,,,,,,0.0,,0.0,3.0,,,,,,22.0,8.4,,-13.7,1.9,-15.7,25.0,,14.0,-1.0,,,,,,,True,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01065,58,58.0,,44.0,67.0,,,,,,92.0,41.0,,14.4,43.1,4.3,90.0,,42.0,68.2,,,,,,0.0,,-14.0,9.0,,,,,,34.0,-17.0,,-43.6,-14.9,-53.7,32.0,,-16.0,10.2,,,,,,,False,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01067,39,64.0,,56.0,72.0,,,,,,55.0,48.4,,22.7,55.1,36.3,57.0,,76.1,64.8,,,,,,25.0,,17.0,33.0,,,,,,16.0,9.4,,-16.3,16.1,-2.7,18.0,,37.1,25.8,,,,,,,True,False,,,,,,True,True,,True,True,True,True,,False,False,,,,,
01069,246,432.0,652.2,416.0,291.0,,,,,,565.0,441.7,,350.8,398.7,377.1,385.0,,413.1,581.4,,,,,,186.0,406.2,170.0,45.0,,,,,,319.0,195.7,,104.8,152.7,131.1,139.0,,167.1,335.4,,,,,,False,True,True,,,,,,False,False,,True,True,True,True,,True,False,,,,,
01071,331,290.0,309.4,291.0,370.0,,,,,,219.0,328.4,,434.1,347.6,179.1,312.0,,279.7,315.8,,,,,,-41.0,-21.6,-40.0,39.0,,,,,,-112.0,-2.6,,103.1,16.6,-151.9,-19.0,,-51.3,-15.2,,,,,,True,True,True,,,,,,False,True,,False,True,False,True,,False,True,,,,,
01073,2367,2740.0,4099.9,2625.0,2731.0,,,,,,3562.0,3169.7,,2969.4,2535.3,2146.7,3125.0,,2360.9,2719.7,2516.0,,,,,373.0,1732.9,258.0,364.0,,,,,,1195.0,802.7,,602.4,168.3,-220.3,758.0,,-6.1,352.7,149.0,,,,,False,True,True,,,,,,False,False,,False,True,True,False,,True,True,True,,,,
01075,48,58.0,,51.0,88.0,,,,,,60.0,60.2,,33.3,50.1,55.1,61.0,,34.2,70.0,,,,,,10.0,,3.0,40.0,,,,,,12.0,12.2,,-14.7,2.1,7.1,13.0,,-13.8,22.0,,,,,,,True,False,,,,,,False,False,,False,True,True,False,,False,False,,,,,
01077,198,288.0,364.2,302.0,258.0,,,,,,462.0,423.5,,316.6,288.8,282.8,309.0,,357.9,290.6,,,,,,90.0,166.2,104.0,60.0,,,,,,264.0,225.5,,118.6,90.8,84.8,111.0,,159.9,92.6,,,,,,False,False,True,,,,,,False,False,,False,False,True,False,,False,False,,,,,
01079,67,116.0,,115.0,141.0,,,,,,163.0,153.6,,93.8,115.0,106.7,106.0,,117.0,75.5,,,,,,49.0,,48.0,74.0,,,,,,96.0,86.6,,26.8,48.0,39.7,39.0,,50.0,8.5,,,,,,,True,False,,,,,,False,False,,True,True,True,True,,False,True,,,,,
01081,370,470.0,904.2,435.0,331.0,,,,,,764.0,654.1,,427.8,445.0,441.5,600.0,,384.5,422.5,340.0,,,,,100.0,534.2,65.0,-39.0,,,,,,394.0,284.1,,57.8,75.0,71.5,230.0,,14.5,52.5,-30.0,,,,,False,True,True,,,,,,False,False,,True,True,True,False,,True,True,True,,,,
01083,271,308.0,518.0,339.0,233.0,,,,,,402.0,380.4,,343.6,308.6,318.2,348.0,,346.4,362.3,,,,,,37.0,247.0,68.0,-38.0,,,,,,131.0,109.4,,72.6,37.6,47.2,77.0,,75.4,91.3,,,,,,False,False,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01085,38,30.0,,23.0,14.0,,,,,,52.0,17.5,,3.4,26.5,0.9,94.0,,36.8,22.5,,,,,,-8.0,,-15.0,-24.0,,,,,,14.0,-20.5,,-34.6,-11.5,-37.1,56.0,,-1.2,-15.5,,,,,,,False,False,,,,,,False,False,,False,False,False,False,,True,False,,,,,
01087,48,40.0,,44.0,43.0,,,,,,57.0,69.1,,13.9,46.4,21.2,65.0,,44.3,53.9,,,,,,-8.0,,-4.0,-5.0,,,,,,9.0,21.1,,-34.1,-1.6,-26.8,17.0,,-3.7,5.9,,,,,,,True,True,,,,,,False,False,,False,True,False,False,,True,True,,,,,
01089,780,1350.0,2015.4,1350.0,1394.0,,,,,,1289.0,2082.8,,1403.8,1246.9,1327.4,1408.0,,1349.6,2295.7,974.0,,,,,570.0,1235.4,570.0,614.0,,,,,,509.0,1302.8,,623.8,466.9,547.4,628.0,,569.6,1515.7,194.0,,,,,False,False,False,,,,,,True,False,,False,True,True,False,,True,False,True,,,,
01091,73,66.0,,73.0,100.0,,,,,,143.0,71.9,,34.7,77.5,65.6,110.0,,65.5,91.2,,,,,,-7.0,,0.0,27.0,,,,,,70.0,-1.1,,-38.3,4.5,-7.4,37.0,,-7.5,18.2,,,,,,,True,False,,,,,,False,True,,False,True,False,False,,False,False,,,,,
01093,81,130.0,,105.0,98.0,,,,,,159.0,139.5,,94.2,111.3,110.3,137.0,,68.1,362.5,,,,,,49.0,,24.0,17.0,,,,,,78.0,58.5,,13.2,30.3,29.3,56.0,,-12.9,281.5,,,,,,,True,True,,,,,,False,False,,True,True,True,False,,True,False,,,,,
01095,331,514.0,966.9,541.0,379.0,,,,,,589.0,532.7,,576.8,568.2,390.7,701.0,,620.8,406.1,,,,,,183.0,635.9,210.0,48.0,,,,,,258.0,201.7,,245.8,237.2,59.7,370.0,,289.8,75.1,,,,,,False,False,True,,,,,,False,False,,False,False,True,False,,False,True,,,,,
01097,2074,2740.0,2330.8,2753.0,3370.0,,,,,,2753.0,1934.8,,4981.4,4290.2,1650.0,3136.0,,6391.7,2477.7,4626.0,,,,,666.0,256.8,679.0,1296.0,,,,,,679.0,-139.2,,2907.4,2216.2,-424.0,1062.0,,4317.7,403.7,2552.0,,,,,True,False,False,,,,,,False,True,,False,False,True,False,,False,True,False,,,,
01099,63,74.0,,71.0,72.0,,,,,,136.0,113.1,,19.5,56.5,50.2,87.0,,73.4,64.3,,,,,,11.0,,8.0,9.0,,,,,,73.0,50.1,,-43.5,-6.5,-12.8,24.0,,10.4,1.3,,,,,,,True,True,,,,,,False,False,,False,True,False,False,,True,True,,,,,
01101,885,978.0,1689.8,974.0,675.0,,,,,,1492.0,574.3,,812.2,1047.3,732.0,1394.0,,1035.2,978.9,901.0,,,,,93.0,804.8,89.0,-210.0,,,,,,607.0,-310.7,,-72.8,162.3,-153.0,509.0,,150.2,93.9,16.0,,,,,False,True,False,,,,,,False,False,,True,False,False,False,,False,False,True,,,,
01103,307,484.0,739.3,501.0,364.0,,,,,,603.0,623.8,,478.6,510.7,396.2,586.0,,566.1,485.0,,,,,,177.0,432.3,194.0,57.0,,,,,,296.0,316.8,,171.6,203.7,89.2,279.0,,259.1,178.0,,,,,,False,False,True,,,,,,False,False,,True,False,True,False,,False,False,,,,,
01105,40,84.0,,71.0,79.0,,,,,,52.0,79.0,,54.5,90.9,0.0,111.0,,81.0,61.0,,,,,,44.0,,31.0,39.0,,,,,,12.0,39.0,,14.5,50.9,-40.0,71.0,,41.0,21.0,,,,,,,True,True,,,,,,True,True,,True,False,True,False,,True,True,,,,,
01107,79,58.0,,54.0,54.0,,,,,,111.0,64.2,,34.7,60.1,43.3,82.0,,54.4,47.5,,,,,,-21.0,,-25.0,-25.0,,,,,,32.0,-14.8,,-44.3,-18.9,-35.7,3.0,,-24.6,-31.5,,,,,,,False,False,,,,,,False,True,,False,True,False,True,,False,False,,,,,
01109,119,120.0,,101.0,137.0,,,,,,227.0,87.7,,59.4,117.6,60.3,155.0,,86.5,103.3,,,,,,1.0,,-18.0,18.0,,,,,,108.0,-31.3,,-59.6,-1.4,-58.7,36.0,,-32.5,-15.7,,,,,,,False,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01111,34,58.0,,53.0,44.0,,,,,,95.0,85.3,,17.6,53.0,61.6,83.0,,46.8,56.3,,,,,,24.0,,19.0,10.0,,,,,,61.0,51.3,,-16.4,19.0,27.6,49.0,,12.8,22.3,,,,,,,True,True,,,,,,False,False,,True,True,False,False,,True,True,,,,,
01113,190,308.0,443.9,287.0,217.0,,,,,,300.0,273.8,,274.8,315.2,204.2,336.0,,356.6,237.4,,,,,,118.0,253.9,97.0,27.0,,,,,,110.0,83.8,,84.8,125.2,14.2,146.0,,166.6,47.4,,,,,,False,True,True,,,,,,True,True,,True,False,True,False,,False,True,,,,,
01115,263,422.0,496.2,369.0,380.0,,,,,,338.0,488.2,,352.8,324.4,370.6,376.0,,274.6,498.8,,,,,,159.0,233.2,106.0,117.0,,,,,,75.0,225.2,,89.8,61.4,107.6,113.0,,11.6,235.8,,,,,,False,True,True,,,,,,True,False,,True,True,True,True,,True,False,,,,,
01117,566,718.0,1322.0,718.0,613.0,,,,,,818.0,1007.8,,730.4,629.5,640.2,806.0,,561.2,787.0,617.0,,,,,152.0,756.0,152.0,47.0,,,,,,252.0,441.8,,164.4,63.5,74.2,240.0,,-4.8,221.0,51.0,,,,,False,False,True,,,,,,False,False,,False,True,True,False,,True,False,True,,,,
01119,17,46.0,,29.0,31.0,,,,,,72.0,16.2,,6.2,29.4,0.7,70.0,,28.7,35.9,,,,,,29.0,,12.0,14.0,,,,,,55.0,-0.8,,-10.8,12.4,-16.3,53.0,,11.7,18.9,,,,,,,True,True,,,,,,False,True,,True,True,True,False,,True,True,,,,,
01121,377,320.0,365.4,327.0,299.0,,,,,,355.0,487.9,,323.0,304.6,278.1,296.0,,337.1,659.6,,,,,,-57.0,-11.6,-50.0,-78.0,,,,,,-22.0,110.9,,-54.0,-72.4,-98.9,-81.0,,-39.9,282.6,,,,,,True,True,False,,,,,,True,False,,True,False,False,False,,True,False,,,,,
01123,116,94.0,,89.0,90.0,,,,,,189.0,125.6,,47.9,78.3,43.3,161.0,,63.2,112.0,,,,,,-22.0,,-27.0,-26.0,,,,,,73.0,9.6,,-68.1,-37.7,-72.7,45.0,,-52.8,-4.0,,,,,,,False,False,,,,,,False,True,,False,False,False,False,,False,True,,,,,
01125,606,690.0,734.1,641.0,569.0,,,,,,1223.0,731.2,,582.6,623.8,588.5,887.0,,782.2,664.7,622.0,,,,,84.0,128.1,35.0,-37.0,,,,,,617.0,125.2,,-23.4,17.8,-17.5,281.0,,176.2,58.7,16.0,,,,,False,True,True,,,,,,False,False,,True,True,True,False,,False,True,True,,,,
01127,174,188.0,470.9,167.0,140.0,,,,,,388.0,257.5,,63.4,150.2,158.2,287.0,,207.2,151.4,,,,,,14.0,296.9,-7.0,-34.0,,,,,,214.0,83.5,,-110.6,-23.8,-15.8,113.0,,33.2,-22.6,,,,,,False,True,False,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01129,155,70.0,,68.0,122.0,,,,,,106.0,75.0,,24.7,74.4,39.3,84.0,,37.0,68.1,,,,,,-85.0,,-87.0,-33.0,,,,,,-49.0,-80.0,,-130.3,-80.6,-115.7,-71.0,,-118.0,-86.9,,,,,,,False,True,,,,,,True,True,,False,True,False,True,,False,False,,,,,
01131,54,40.0,,35.0,40.0,,,,,,64.0,30.2,,13.9,42.7,2.0,78.0,,33.5,33.5,,,,,,-14.0,,-19.0,-14.0,,,,,,10.0,-23.8,,-40.1,-11.3,-52.0,24.0,,-20.5,-20.5,,,,,,,False,False,,,,,,True,False,,False,True,False,False,,False,False,,,,,
01133,48,96.0,,83.0,82.0,,,,,,131.0,114.0,,57.4,82.5,69.7,111.0,,82.2,73.4,,,,,,48.0,,35.0,34.0,,,,,,83.0,66.0,,9.4,34.5,21.7,63.0,,34.2,25.4,,,,,,,True,True,,,,,,False,False,,True,True,True,False,,True,True,,,,,
02013,1,0.0,,0.0,0.0,,,,,,,3.2,,,0.0,,0.0,,0.9,,,,,,,-1.0,,-1.0,-1.0,,,,,,,2.2,,,-1.0,,-1.0,,-0.1,,,,,,,,False,False,,,,,,,False,,,True,,False,,True,,,,,,
02016,2,6.0,,4.0,0.0,,,,,,,14.9,,,0.6,,0.0,,3.7,,,,,,,4.0,,2.0,-2.0,,,,,,,12.9,,,-1.4,,-2.0,,1.7,,,,,,,,True,True,,,,,,,False,,,True,,True,,True,,,,,,
02020,663,1178.0,705.7,1164.0,1714.0,,,,,,,1553.5,,1150.2,1120.7,800.2,1550.0,,1824.8,1256.8,2102.0,,,,,515.0,42.7,501.0,1051.0,,,,,,,890.5,,487.2,457.7,137.2,887.0,,1161.8,593.8,1439.0,,,,,True,True,False,,,,,,,False,,True,True,True,False,,False,False,False,,,,
02050,9,4.0,,3.0,0.0,,,,,,,2.7,,2.0,3.7,,,,6.5,,,,,,,-5.0,,-6.0,-9.0,,,,,,,-6.3,,-7.0,-5.3,,,,-2.5,,,,,,,,False,False,,,,,,,False,,False,False,,,,True,,,,,,
02060,0,0.0,,0.0,0.0,,,,,,,0.0,,0.2,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.2,0.0,,0.0,,0.0,,,,,,,,True,True,,,,,,,True,,False,False,,True,,True,,,,,,
02068,0,0.0,,0.0,0.0,,,,,,,1.2,,,0.0,,0.0,,0.8,,,,,,,0.0,,0.0,0.0,,,,,,,1.2,,,0.0,,0.0,,0.8,,,,,,,,True,True,,,,,,,False,,,False,,True,,False,,,,,,
02070,2,0.0,,0.0,0.0,,,,,,,4.1,,0.0,0.0,,0.0,,0.6,,,,,,,-2.0,,-2.0,-2.0,,,,,,,2.1,,-2.0,-2.0,,-2.0,,-1.4,,,,,,,,False,False,,,,,,,False,,True,True,,False,,True,,,,,,
02090,87,90.0,138.4,85.0,,,,,,,,174.5,,46.5,79.2,128.4,214.0,,68.7,207.2,,,,,,3.0,51.4,-2.0,,,,,,,,87.5,,-40.5,-7.8,41.4,127.0,,-18.3,120.2,,,,,,False,True,,,,,,,,False,,False,False,False,False,,False,False,,,,,
02100,0,0.0,,0.0,0.0,,,,,,,1.8,,,0.0,,0.0,,0.3,,,,,,,0.0,,0.0,0.0,,,,,,,1.8,,,0.0,,0.0,,0.3,,,,,,,,True,True,,,,,,,False,,,False,,True,,False,,,,,,
