,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,69,115.0,,113.3,,100.0,88.0,,,,,,115.7,,67.2,78.7,99.0,,111.6,140.2,,,,,,163.5,46.0,,44.3,,31.0,19.0,,,,,,46.7,,-1.8,9.7,30.0,,42.6,71.2,,,,,,94.5,,True,,True,True,,,,,,False,,True,True,True,,True,False,,,,,,False
01023,11,10.0,,9.9,,10.0,14.0,,,,,,14.6,,4.1,9.4,18.0,,10.9,10.4,,,,,,8.1,-1.0,,-1.1,,-1.0,3.0,,,,,,3.6,,-6.9,-1.6,7.0,,-0.1,-0.6,,,,,,-2.9,,False,,False,False,,,,,,False,,False,False,False,,True,True,,,,,,False
01025,178,183.0,,180.2,,137.0,99.0,,,,,,52.5,,277.5,67.5,211.0,,18.2,174.6,,,,,,286.1,5.0,,2.2,,-41.0,-79.0,,,,,,-125.5,,99.5,-110.5,33.0,,-159.8,-3.4,,,,,,108.1,,True,,False,False,,,,,,False,,False,False,False,,False,True,,,,,,False
01027,44,52.0,,53.1,,49.0,55.0,,,,,,34.2,,27.8,39.0,47.0,,58.9,46.4,,,,,,55.7,8.0,,9.1,,5.0,11.0,,,,,,-9.8,,-16.2,-5.0,3.0,,14.9,2.4,,,,,,11.7,,False,,True,False,,,,,,False,,False,True,True,,False,True,,,,,,False
01029,6,14.0,,14.3,,10.0,14.0,,,,,,16.8,,2.2,8.1,9.0,,6.6,13.0,,,,,,19.3,8.0,,8.3,,4.0,8.0,,,,,,10.8,,-3.8,2.1,3.0,,0.6,7.0,,,,,,13.3,,False,,True,False,,,,,,False,,True,True,True,,True,True,,,,,,False
01031,49,61.0,90.0,57.1,,56.0,45.0,,,,,,89.2,,40.3,51.2,71.0,,38.0,56.0,,,,,,140.8,12.0,41.0,8.1,,7.0,-4.0,,,,,,40.2,,-8.7,2.2,22.0,,-11.0,7.0,,,,,,91.8,False,True,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01033,94,121.0,207.9,150.3,,121.0,106.0,,,,,,119.4,,72.0,93.2,117.0,,123.2,123.3,,,,,,189.6,27.0,113.9,56.3,,27.0,12.0,,,,,,25.4,,-22.0,-0.8,23.0,,29.2,29.3,,,,,,95.6,False,False,,False,True,,,,,,True,,True,True,True,,False,False,,,,,,False
01035,14,25.0,,27.9,,25.0,28.0,,,,,,33.8,,15.2,24.1,32.0,,16.1,22.0,,,,,,52.2,11.0,,13.9,,11.0,14.0,,,,,,19.8,,1.2,10.1,18.0,,2.1,8.0,,,,,,38.2,,False,,False,False,,,,,,False,,True,True,False,,True,True,,,,,,False
01037,5,12.0,,12.3,,8.0,7.0,,,,,,11.4,,5.7,5.8,12.0,,9.9,12.9,,,,,,22.9,7.0,,7.3,,3.0,2.0,,,,,,6.4,,0.7,0.8,7.0,,4.9,7.9,,,,,,17.9,,False,,True,True,,,,,,True,,True,True,False,,True,False,,,,,,False
01039,37,50.0,,50.5,,44.0,43.0,,,,,,107.9,,10.3,27.4,48.0,,26.1,44.2,,,,,,130.6,13.0,,13.5,,7.0,6.0,,,,,,70.9,,-26.7,-9.6,11.0,,-10.9,7.2,,,,,,93.6,,False,,True,True,,,,,,False,,False,True,True,,True,True,,,,,,False
01041,34,35.0,,33.6,,31.0,46.0,,,,,,19.5,,14.0,26.9,39.0,,29.2,35.7,,,,,,41.4,1.0,,-0.4,,-3.0,12.0,,,,,,-14.5,,-20.0,-7.1,5.0,,-4.8,1.7,,,,,,7.4,,True,,False,False,,,,,,False,,False,False,False,,False,False,,,,,,False
01043,38,130.0,287.6,143.0,,126.0,123.0,,,,,,187.5,,56.4,85.3,113.0,,126.0,136.5,,,,,,194.1,92.0,249.6,105.0,,88.0,85.0,,,,,,149.5,,18.4,47.3,75.0,,88.0,98.5,,,,,,156.1,False,False,,True,True,,,,,,False,,True,True,True,,True,False,,,,,,False
01045,44,64.0,,74.7,,60.0,39.0,,,,,,115.0,,39.8,56.4,71.0,,36.5,68.0,,,,,,134.3,20.0,,30.7,,16.0,-5.0,,,,,,71.0,,-4.2,12.4,27.0,,-7.5,24.0,,,,,,90.3,,False,,True,True,,,,,,False,,True,True,False,,True,False,,,,,,False
01047,45,53.0,,56.3,,51.0,49.0,,,,,,66.1,,20.8,44.3,77.0,,67.1,47.2,,,,,,124.7,8.0,,11.3,,6.0,4.0,,,,,,21.1,,-24.2,-0.7,32.0,,22.1,2.2,,,,,,79.7,,False,,True,True,,,,,,False,,False,True,False,,False,True,,,,,,False
01049,95,148.0,257.1,156.3,,141.0,136.0,,,,,,188.7,,109.7,125.2,164.0,,127.8,141.3,,,,,,333.8,53.0,162.1,61.3,,46.0,41.0,,,,,,93.7,,14.7,30.2,69.0,,32.8,46.3,,,,,,238.8,False,False,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01051,85,153.0,270.8,154.7,,147.0,110.0,,,,,,149.7,,91.7,106.8,163.0,,147.2,153.8,,,,,,220.5,68.0,185.8,69.7,,62.0,25.0,,,,,,64.7,,6.7,21.8,78.0,,62.2,68.8,,,,,,135.5,False,False,,True,True,,,,,,True,,True,True,False,,True,False,,,,,,False
01053,29,123.0,,120.0,,105.0,103.0,,,,,,161.4,,78.6,88.8,127.0,,38.1,107.0,,,,,,329.3,94.0,,91.0,,76.0,74.0,,,,,,132.4,,49.6,59.8,98.0,,9.1,78.0,,,,,,300.3,,True,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01055,124,220.0,386.7,221.3,,202.0,185.0,,,,,,368.2,,179.5,161.6,239.0,,193.3,201.7,,,,,,488.4,96.0,262.7,97.3,,78.0,61.0,,,,,,244.2,,55.5,37.6,115.0,,69.3,77.7,,,,,,364.4,False,False,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01057,33,37.0,,35.7,,31.0,43.0,,,,,,38.8,,27.4,30.0,38.0,,22.2,32.7,,,,,,60.3,4.0,,2.7,,-2.0,10.0,,,,,,5.8,,-5.6,-3.0,5.0,,-10.8,-0.3,,,,,,27.3,,True,,True,False,,,,,,False,,False,True,False,,False,True,,,,,,False
01059,55,105.0,,110.6,,102.0,115.0,,,,,,30.9,,53.3,75.6,111.0,,116.8,99.2,,,,,,163.6,50.0,,55.6,,47.0,60.0,,,,,,-24.1,,-1.7,20.6,56.0,,61.8,44.2,,,,,,108.6,,False,,True,False,,,,,,True,,True,True,False,,False,True,,,,,,False
01061,21,41.0,,42.7,,40.0,40.0,,,,,,70.8,,13.6,28.6,35.0,,41.8,35.2,,,,,,58.0,20.0,,21.7,,19.0,19.0,,,,,,49.8,,-7.4,7.6,14.0,,20.8,14.2,,,,,,37.0,,False,,True,True,,,,,,False,,True,True,True,,False,True,,,,,,False
01063,7,11.0,,10.2,,9.0,7.0,,,,,,10.2,,2.9,7.2,17.0,,11.3,10.7,,,,,,16.9,4.0,,3.2,,2.0,0.0,,,,,,3.2,,-4.1,0.2,10.0,,4.3,3.7,,,,,,9.9,,True,,True,True,,,,,,True,,False,True,False,,False,True,,,,,,False
01065,23,25.0,,25.6,,25.0,26.0,,,,,,20.0,,9.6,21.6,31.0,,26.6,25.8,,,,,,52.3,2.0,,2.6,,2.0,3.0,,,,,,-3.0,,-13.4,-1.4,8.0,,3.6,2.8,,,,,,29.3,,False,,False,False,,,,,,False,,False,True,False,,False,False,,,,,,False
01067,15,21.0,,21.4,,19.0,24.0,,,,,,26.9,,11.7,21.1,25.0,,11.8,17.7,,,,,,36.9,6.0,,6.4,,4.0,9.0,,,,,,11.9,,-3.3,6.1,10.0,,-3.2,2.7,,,,,,21.9,,False,,True,False,,,,,,False,,True,False,False,,True,True,,,,,,False
01069,124,111.0,290.5,115.3,,111.0,70.0,,,,,,193.5,,68.1,93.1,117.0,,53.1,219.1,,,,,,173.0,-13.0,166.5,-8.7,,-13.0,-54.0,,,,,,69.5,,-55.9,-30.9,-7.0,,-70.9,95.1,,,,,,49.0,False,True,,False,False,,,,,,False,,False,False,True,,False,False,,,,,,False
01071,152,185.0,200.3,190.8,,185.0,247.0,,,,,,163.7,,143.6,150.9,181.0,,185.9,177.5,,,,,,320.3,33.0,48.3,38.8,,33.0,95.0,,,,,,11.7,,-8.4,-1.1,29.0,,33.9,25.5,,,,,,168.3,False,False,,False,False,,,,,,True,,True,True,True,,False,True,,,,,,False
01073,936,1504.0,2025.2,1532.5,1429.8,1427.0,1677.0,,,,,,1516.6,,1378.0,1163.7,1542.0,,1427.0,1457.0,1212.0,,,,,2592.9,568.0,1089.2,596.5,493.8,491.0,741.0,,,,,,580.6,,442.0,227.7,606.0,,491.0,521.0,276.0,,,,,1656.9,False,False,True,True,False,,,,,,False,,True,True,False,,True,True,True,,,,,False
01075,19,29.0,,30.3,,24.0,34.0,,,,,,31.9,,13.4,23.5,29.0,,20.3,23.6,,,,,,31.6,10.0,,11.3,,5.0,15.0,,,,,,12.9,,-5.6,4.5,10.0,,1.3,4.6,,,,,,12.6,,False,,True,False,,,,,,False,,True,True,False,,True,True,,,,,,False
01077,74,129.0,220.4,117.8,,119.0,119.0,,,,,,219.1,,73.6,98.6,123.0,,93.2,128.0,,,,,,180.3,55.0,146.4,43.8,,45.0,45.0,,,,,,145.1,,-0.4,24.6,49.0,,19.2,54.0,,,,,,106.3,False,True,,True,True,,,,,,False,,True,True,True,,True,True,,,,,,False
01079,19,50.0,,49.2,,50.0,51.0,,,,,,72.4,,15.7,33.8,47.0,,58.9,60.7,,,,,,79.6,31.0,,30.2,,31.0,32.0,,,,,,53.4,,-3.3,14.8,28.0,,39.9,41.7,,,,,,60.6,,True,,False,False,,,,,,False,,True,True,True,,False,False,,,,,,False
01081,101,205.0,496.2,204.8,,194.0,199.0,,,,,,337.5,,179.7,170.1,241.0,,172.9,188.7,168.0,,,,,359.4,104.0,395.2,103.8,,93.0,98.0,,,,,,236.5,,78.7,69.1,140.0,,71.9,87.7,67.0,,,,,258.4,False,True,,True,True,,,,,,False,,True,True,False,,True,True,True,,,,,False
01083,114,163.0,310.1,164.1,,148.0,148.0,,,,,,194.9,,138.6,140.2,166.0,,114.4,172.5,,,,,,338.7,49.0,196.1,50.1,,34.0,34.0,,,,,,80.9,,24.6,26.2,52.0,,0.4,58.5,,,,,,224.7,False,False,,True,True,,,,,,False,,True,True,False,,True,False,,,,,,False
01085,8,26.0,,26.4,,14.0,7.0,,,,,,8.8,,5.5,17.1,36.0,,11.0,22.8,,,,,,38.1,18.0,,18.4,,6.0,-1.0,,,,,,0.8,,-2.5,9.1,28.0,,3.0,14.8,,,,,,30.1,,False,,True,True,,,,,,True,,True,True,False,,True,True,,,,,,False
01087,11,30.0,,30.0,,25.0,21.0,,,,,,34.6,,12.1,19.8,35.0,,30.5,30.9,,,,,,45.8,19.0,,19.0,,14.0,10.0,,,,,,23.6,,1.1,8.8,24.0,,19.5,19.9,,,,,,34.8,,False,,True,True,,,,,,False,,True,True,False,,False,False,,,,,,False
01089,347,497.0,1199.3,372.2,480.0,418.0,418.0,,,,,,983.9,,385.3,392.1,501.0,,229.1,529.9,380.0,,,,,662.7,150.0,852.3,25.2,133.0,71.0,71.0,,,,,,636.9,,38.3,45.1,154.0,,-117.9,182.9,33.0,,,,,315.7,False,True,True,True,True,,,,,,False,,True,True,False,,True,False,True,,,,,False
01091,31,47.0,,43.8,,39.0,41.0,,,,,,31.6,,18.4,27.1,47.0,,37.1,54.0,,,,,,53.5,16.0,,12.8,,8.0,10.0,,,,,,0.6,,-12.6,-3.9,16.0,,6.1,23.0,,,,,,22.5,,True,,True,True,,,,,,True,,True,True,False,,True,False,,,,,,False
01093,30,42.0,,36.4,,39.0,31.0,,,,,,65.4,,21.6,31.0,46.0,,41.8,46.8,,,,,,45.6,12.0,,6.4,,9.0,1.0,,,,,,35.4,,-8.4,1.0,16.0,,11.8,16.8,,,,,,15.6,,True,,True,True,,,,,,False,,True,True,False,,True,False,,,,,,False
01095,97,252.0,457.7,275.5,,230.0,230.0,,,,,,294.2,,206.7,200.7,284.0,,219.6,223.1,,,,,,580.8,155.0,360.7,178.5,,133.0,133.0,,,,,,197.2,,109.7,103.7,187.0,,122.6,126.1,,,,,,483.8,False,False,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01097,1125,1370.0,1330.4,1354.9,1130.8,1153.0,1301.0,,,,,,977.3,,939.1,905.0,1092.0,,1153.4,1521.9,1008.0,,,,,2042.6,245.0,205.4,229.9,5.8,28.0,176.0,,,,,,-147.7,,-185.9,-220.0,-33.0,,28.4,396.9,-117.0,,,,,917.6,True,True,True,True,True,,,,,,True,,True,True,True,,True,False,True,,,,,False
01099,13,34.0,,34.1,,31.0,27.0,,,,,,48.3,,13.5,23.4,38.0,,37.9,31.5,,,,,,77.8,21.0,,21.1,,18.0,14.0,,,,,,35.3,,0.5,10.4,25.0,,24.9,18.5,,,,,,64.8,,False,,True,True,,,,,,False,,True,True,False,,False,True,,,,,,False
01101,470,516.0,883.5,520.1,450.4,520.0,488.0,,,,,,304.6,,768.2,754.8,760.0,,456.1,522.1,578.0,,,,,1169.3,46.0,413.5,50.1,-19.6,50.0,18.0,,,,,,-165.4,,298.2,284.8,290.0,,-13.9,52.1,108.0,,,,,699.3,False,False,True,False,True,,,,,,False,,False,False,False,,True,False,False,,,,,False
01103,119,213.0,370.1,194.6,,195.0,198.0,,,,,,279.1,,163.1,170.0,230.0,,135.1,184.2,,,,,,380.2,94.0,251.1,75.6,,76.0,79.0,,,,,,160.1,,44.1,51.0,111.0,,16.1,65.2,,,,,,261.2,False,True,,True,True,,,,,,False,,True,True,False,,True,True,,,,,,False
01105,15,21.0,,23.5,,20.0,28.0,,,,,,31.4,,6.3,13.8,27.0,,10.5,19.6,,,,,,41.6,6.0,,8.5,,5.0,13.0,,,,,,16.4,,-8.7,-1.2,12.0,,-4.5,4.6,,,,,,26.6,,False,,True,False,,,,,,False,,False,True,False,,True,True,,,,,,False
01107,42,33.0,,33.8,,31.0,28.0,,,,,,33.0,,27.1,37.5,44.0,,42.2,29.4,,,,,,59.1,-9.0,,-8.2,,-11.0,-14.0,,,,,,-9.0,,-14.9,-4.5,2.0,,0.2,-12.6,,,,,,17.1,,True,,False,False,,,,,,False,,False,True,True,,True,False,,,,,,False
01109,20,59.0,,56.3,,50.0,52.0,,,,,,49.4,,32.7,47.9,66.0,,44.8,60.1,,,,,,125.1,39.0,,36.3,,30.0,32.0,,,,,,29.4,,12.7,27.9,46.0,,24.8,40.1,,,,,,105.1,,True,,True,True,,,,,,True,,True,True,False,,True,False,,,,,,False
01111,14,10.0,,10.9,,10.0,8.0,,,,,,43.8,,8.8,16.5,26.0,,6.5,18.1,,,,,,15.1,-4.0,,-3.1,,-4.0,-6.0,,,,,,29.8,,-5.2,2.5,12.0,,-7.5,4.1,,,,,,1.1,,True,,False,False,,,,,,False,,False,True,False,,False,False,,,,,,True
01113,47,173.0,224.8,167.6,,168.0,160.0,,,,,,132.1,,120.6,115.2,165.0,,211.2,196.1,,,,,,284.0,126.0,177.8,120.6,,121.0,113.0,,,,,,85.1,,73.6,68.2,118.0,,164.2,149.1,,,,,,237.0,False,True,,True,True,,,,,,True,,True,True,True,,False,False,,,,,,False
01115,67,159.0,277.7,173.1,,159.0,144.0,,,,,,242.1,,106.8,124.4,152.0,,162.3,148.6,,,,,,279.7,92.0,210.7,106.1,,92.0,77.0,,,,,,175.1,,39.8,57.4,85.0,,95.3,81.6,,,,,,212.7,False,False,,False,True,,,,,,False,,True,True,True,,False,True,,,,,,False
01117,206,306.0,642.8,304.8,,291.0,285.0,,,,,,465.8,,245.1,232.2,313.0,,191.4,300.8,234.0,,,,,581.2,100.0,436.8,98.8,,85.0,79.0,,,,,,259.8,,39.1,26.2,107.0,,-14.6,94.8,28.0,,,,,375.2,False,True,,True,True,,,,,,False,,True,True,False,,True,True,True,,,,,False
01119,13,0.0,,0.0,,2.0,7.0,,,,,,5.1,,0.1,3.8,,,4.6,1.6,,,,,,3.0,-13.0,,-13.0,,-11.0,-6.0,,,,,,-7.9,,-12.9,-9.2,,,-8.4,-11.4,,,,,,-10.0,,False,,True,True,,,,,,True,,True,True,,,True,True,,,,,,True
01121,113,147.0,305.4,146.2,,146.0,131.0,,,,,,248.6,,113.6,121.8,130.0,,139.8,183.2,,,,,,394.8,34.0,192.4,33.2,,33.0,18.0,,,,,,135.6,,0.6,8.8,17.0,,26.8,70.2,,,,,,281.8,False,True,,True,True,,,,,,False,,True,True,True,,True,False,,,,,,False
01123,33,53.0,,57.4,,46.0,43.0,,,,,,60.1,,20.1,36.7,65.0,,47.8,57.4,,,,,,87.0,20.0,,24.4,,13.0,10.0,,,,,,27.1,,-12.9,3.7,32.0,,14.8,24.4,,,,,,54.0,,False,,True,True,,,,,,False,,True,True,False,,True,False,,,,,,False
01125,221,339.0,388.8,339.2,,312.0,326.0,,,,,,335.2,,242.5,239.8,352.0,,315.0,308.7,302.0,,,,,629.5,118.0,167.8,118.2,,91.0,105.0,,,,,,114.2,,21.5,18.8,131.0,,94.0,87.7,81.0,,,,,408.5,False,False,,True,True,,,,,,True,,True,True,False,,True,True,True,,,,,False
01127,79,70.0,96.0,69.2,,63.0,46.0,,,,,,106.1,,40.1,58.0,102.0,,40.8,61.9,,,,,,151.1,-9.0,17.0,-9.8,,-16.0,-33.0,,,,,,27.1,,-38.9,-21.0,23.0,,-38.2,-17.1,,,,,,72.1,False,False,,False,False,,,,,,False,,False,False,False,,False,False,,,,,,False
01129,78,82.0,,84.1,,62.0,65.0,,,,,,43.8,,58.7,48.2,91.0,,11.7,77.2,,,,,,125.0,4.0,,6.1,,-16.0,-13.0,,,,,,-34.2,,-19.3,-29.8,13.0,,-66.3,-0.8,,,,,,47.0,,False,,False,False,,,,,,False,,False,False,False,,False,True,,,,,,False
01131,22,26.0,,23.8,,23.0,21.0,,,,,,15.2,,13.8,22.3,36.0,,26.4,24.6,,,,,,40.1,4.0,,1.8,,1.0,-1.0,,,,,,-6.8,,-8.2,0.3,14.0,,4.4,2.6,,,,,,18.1,,True,,True,True,,,,,,False,,False,True,False,,False,True,,,,,,False
01133,15,24.0,,22.1,,24.0,25.0,,,,,,53.5,,15.0,26.7,37.0,,38.4,20.9,,,,,,47.1,9.0,,7.1,,9.0,10.0,,,,,,38.5,,0.0,11.7,22.0,,23.4,5.9,,,,,,32.1,,True,,False,False,,,,,,False,,True,False,False,,False,True,,,,,,False
02013,0,1.0,,1.1,,1.0,0.0,,,,,,2.6,,,0.1,0.0,,0.2,,,,,,,3.3,1.0,,1.1,,1.0,0.0,,,,,,2.6,,,0.1,0.0,,0.2,,,,,,,3.3,,False,,False,True,,,,,,False,,,True,True,,True,,,,,,,False
02016,1,0.0,,0.0,,0.0,0.0,,,,,,3.2,,,0.2,,,1.1,,,,,,,2.4,-1.0,,-1.0,,-1.0,-1.0,,,,,,2.2,,,-0.8,,,0.1,,,,,,,1.4,,False,,False,False,,,,,,False,,,True,,,True,,,,,,,False
02020,317,331.0,524.3,306.3,,315.0,255.0,,,,,,738.9,,254.5,301.1,363.0,,270.9,426.0,338.0,,,,,347.6,14.0,207.3,-10.7,,-2.0,-62.0,,,,,,421.9,,-62.5,-15.9,46.0,,-46.1,109.0,21.0,,,,,30.6,False,True,,True,False,,,,,,False,,False,False,False,,False,False,False,,,,,False
02050,7,2.0,,2.1,,0.0,0.0,,,,,,2.2,,0.3,0.2,,,1.7,,,,,,,5.3,-5.0,,-4.9,,-7.0,-7.0,,,,,,-4.8,,-6.7,-6.8,,,-5.3,,,,,,,-1.7,,True,,False,False,,,,,,True,,False,False,,,False,,,,,,,True
02060,0,3.0,,2.6,,2.0,0.0,,,,,,0.0,,1.1,1.2,,,2.4,2.8,,,,,,1.4,3.0,,2.6,,2.0,0.0,,,,,,0.0,,1.1,1.2,,,2.4,2.8,,,,,,1.4,,True,,True,True,,,,,,True,,True,True,,,True,True,,,,,,True
02068,0,0.0,,0.2,,0.0,0.0,,,,,,0.5,,,0.0,0.0,,0.0,,,,,,,2.7,0.0,,0.2,,0.0,0.0,,,,,,0.5,,,0.0,0.0,,0.0,,,,,,,2.7,,False,,True,True,,,,,,False,,,True,True,,True,,,,,,,False
