,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,95288,101916.0,124071.0,,157044.0,74730.0,68007.5,81153.0,51399.5,294312.8,80228.6,118027.2,,223039.9,196166.2,167558.4,74968.4,171197.8,6628.0,28783.0,,61756.0,-20558.0,-27280.5,-14135.0,-43888.5,199024.8,-15059.4,22739.2,,127751.9,100878.2,72270.4,-20319.6,75909.8,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,3471,616.0,724.0,,1142.8,144.0,14.3,,3324.8,3490.4,503.4,885.5,,416.4,889.4,,513.6,1786.8,-2855.0,-2747.0,,-2328.2,-3327.0,-3456.7,,-146.2,19.4,-2967.6,-2585.5,,-3054.6,-2581.6,,-2957.4,-1684.2,True,,True,False,False,,True,True,False,True,,False,True,,False,True
Idaho,13172,15188.0,16796.0,,29934.5,9167.0,7964.2,16424.0,11222.2,97887.6,16243.8,18510.9,,12840.4,17950.5,,17685.7,15068.8,2016.0,3624.0,,16762.5,-4005.0,-5207.8,3252.0,-1949.8,84715.6,3071.8,5338.9,,-331.6,4778.5,,4513.7,1896.8,False,,False,False,False,False,True,False,False,False,,True,False,,False,True
Illinois,44066,30764.0,31981.0,,31513.8,990.0,37693.3,32671.0,68307.6,34744.3,23034.8,36166.2,,34392.8,37961.4,19222.1,43257.4,35045.1,-13302.0,-12085.0,,-12552.2,-43076.0,-6372.7,-11395.0,24241.6,-9321.7,-21031.2,-7899.8,,-9673.2,-6104.6,-24843.9,-808.6,-9020.9,True,,True,False,True,True,False,True,False,True,,True,True,False,True,True
Indiana,24022,18300.0,24728.0,,20043.0,5109.0,31324.5,17622.0,27450.2,42305.5,17721.5,28522.2,,16340.7,34370.5,17056.7,51410.2,19274.5,-5722.0,706.0,,-3979.0,-18913.0,7302.5,-6400.0,3428.2,18283.5,-6300.5,4500.2,,-7681.3,10348.5,-6965.3,27388.2,-4747.5,True,,True,False,False,False,True,False,False,True,,False,False,False,False,True
Iowa,13752,14620.0,14329.0,,20319.9,4242.0,13064.2,11002.0,15135.2,18213.0,11647.5,17258.6,,10376.9,13790.1,12137.2,12784.9,22477.2,868.0,577.0,,6567.9,-9510.0,-687.8,-2750.0,1383.2,4461.0,-2104.5,3506.6,,-3375.1,38.1,-1614.8,-967.1,8725.2,True,,False,False,True,False,False,False,False,False,,False,True,False,False,False
Kansas,12192,12024.0,11814.0,,20672.7,2702.0,3586.8,11738.0,11854.6,35538.0,8422.3,13847.9,,9410.5,12986.3,,9121.4,36858.7,-168.0,-378.0,,8480.7,-9490.0,-8605.2,-454.0,-337.4,23346.0,-3769.7,1655.9,,-2781.5,794.3,,-3070.6,24666.7,False,,False,False,False,False,False,False,False,False,,False,False,,False,False
Kentucky,16746,12252.0,19677.0,,13868.7,9926.0,18798.5,12753.0,19959.5,44156.4,21356.0,23598.7,,1058842.0,21501.7,20038.1,72337.8,5420.3,-4494.0,2931.0,,-2877.3,-6820.0,2052.5,-3993.0,3213.5,27410.4,4610.0,6852.7,,1042096.0,4755.7,3292.1,55591.8,-11325.7,True,,True,False,True,True,True,False,False,False,,False,False,True,False,False
Louisiana,48147,47148.0,70684.0,,74517.9,31280.0,59184.6,60906.0,31659.1,144677.2,59863.3,61766.9,,36677.3,113958.4,,41700.1,26868.6,-999.0,22537.0,,26370.9,-16867.0,11037.6,12759.0,-16487.9,96530.2,11716.3,13619.9,,-11469.7,65811.4,,-6446.9,-21278.4,False,,False,False,False,False,False,False,False,False,,False,False,,False,False
Maine,500,500.0,609.0,,383.6,332.0,1346.1,130.0,1511.6,338.5,483.3,936.4,,555.7,520.5,,393.4,1437.8,0.0,109.0,,-116.4,-168.0,846.1,-370.0,1011.6,-161.5,-16.7,436.4,,55.7,20.5,,-106.6,937.8,False,,False,False,False,False,False,False,False,False,,False,False,,False,False
Maryland,22487,18956.0,24415.0,,11121.1,2998.0,29423.8,12106.0,16547.1,24085.5,16416.7,27629.2,,15777.0,34660.6,13942.4,46543.6,18788.5,-3531.0,1928.0,,-11365.9,-19489.0,6936.8,-10381.0,-5939.9,1598.5,-6070.3,5142.2,,-6710.0,12173.6,-8544.6,24056.6,-3698.5,True,,False,False,False,False,False,True,False,False,,False,False,False,False,False
Massachusetts,7900,7360.0,7419.0,,5205.7,478.0,45981.8,5034.0,10990.3,8654.6,5070.7,7954.6,,4277.6,9292.2,3068.7,9592.7,7656.7,-540.0,-481.0,,-2694.3,-7422.0,38081.8,-2866.0,3090.3,754.6,-2829.3,54.6,,-3622.4,1392.2,-4831.3,1692.7,-243.3,True,,False,False,False,False,False,False,False,True,,False,False,False,False,True
Michigan,20444,19872.0,22969.0,,21964.3,4341.0,45107.3,24287.0,47733.8,57686.8,14064.3,25261.8,,14763.2,32678.2,,29874.5,35466.2,-572.0,2525.0,,1520.3,-16103.0,24663.3,3843.0,27289.8,37242.8,-6379.7,4817.8,,-5680.8,12234.2,,9430.5,15022.2,False,,False,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,18943,15596.0,16401.0,,15547.3,4923.0,6344.7,19900.0,19847.5,31153.8,13432.2,19467.7,,,17108.5,14407.2,19737.3,5701.9,-3347.0,-2542.0,,-3395.7,-14020.0,-12598.3,957.0,904.5,12210.8,-5510.8,524.7,,,-1834.5,-4535.8,794.3,-13241.1,True,,False,False,False,True,True,False,False,True,,,True,False,True,False
Mississippi,29909,25708.0,26148.0,,28799.0,15485.0,70154.7,23316.0,19450.1,46136.8,20662.7,32291.7,,53705.6,26105.8,30614.4,29765.5,26259.5,-4201.0,-3761.0,,-1110.0,-14424.0,40245.7,-6593.0,-10458.9,16227.8,-9246.3,2382.7,,23796.6,-3803.2,705.4,-143.5,-3649.5,True,,True,False,False,False,False,False,False,True,,False,True,True,True,True
Missouri,33864,20392.0,26050.0,,24786.9,13902.0,18601.1,18351.0,24306.5,42920.1,20230.8,29773.4,,29351.8,33804.4,,35444.6,16062.9,-13472.0,-7814.0,,-9077.1,-19962.0,-15262.9,-15513.0,-9557.5,9056.1,-13633.2,-4090.6,,-4512.2,-59.6,,1580.6,-17801.1,True,,True,False,False,False,True,True,False,True,,True,True,,True,False
Montana,3188,3176.0,3302.0,,6145.4,1837.0,3874.3,3994.0,3381.2,25115.4,3124.5,4142.2,,5169.9,3434.4,11534.8,2292.9,8452.1,-12.0,114.0,,2957.4,-1351.0,686.3,806.0,193.2,21927.4,-63.5,954.2,,1981.9,246.4,8346.8,-895.1,5264.1,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,7760,5932.0,5359.0,,4176.1,591.0,642.0,5846.0,9549.4,3659.9,3095.8,6104.9,,4323.7,6302.9,3652.1,4156.6,3843.3,-1828.0,-2401.0,,-3583.9,-7169.0,-7118.0,-1914.0,1789.4,-4100.1,-4664.2,-1655.1,,-3436.3,-1457.1,-4107.9,-3603.4,-3916.7,False,,False,False,False,False,True,False,False,True,,False,True,False,False,False
Nevada,26131,30556.0,34607.0,,48396.8,22554.0,87572.3,26843.0,18289.3,68601.6,33321.8,41347.5,,50053.1,35073.5,56100.7,49698.9,41346.3,4425.0,8476.0,,22265.8,-3577.0,61441.3,712.0,-7841.7,42470.6,7190.8,15216.5,,23922.1,8942.5,29969.7,23567.9,15215.3,False,,False,True,False,True,False,False,False,False,,False,False,False,False,False
New Hampshire,792,656.0,587.0,,194.2,120.0,2055.1,470.0,2157.0,186.2,398.6,809.8,,435.7,483.9,,735.1,308.3,-136.0,-205.0,,-597.8,-672.0,1263.1,-322.0,1365.0,-605.8,-393.4,17.8,,-356.3,-308.1,,-56.9,-483.7,False,,False,False,False,False,False,False,False,True,,False,False,,True,False
New Jersey,11817,7420.0,4594.0,,6690.1,436.0,96351.0,7659.0,19881.0,3238.0,2922.6,3889.9,,8392.7,4142.6,,3259.8,13552.7,-4397.0,-7223.0,,-5126.9,-11381.0,84534.0,-4158.0,8064.0,-8579.0,-8894.4,-7927.1,,-3424.3,-7674.4,,-8557.2,1735.7,False,,False,False,False,True,False,False,False,False,,True,False,,False,True
New Mexico,6566,7852.0,8123.0,,8534.4,3228.0,17849.1,7652.0,10068.1,11221.4,5997.5,10107.2,,7955.8,8543.0,7836.4,7248.6,11732.5,1286.0,1557.0,,1968.4,-3338.0,11283.1,1086.0,3502.1,4655.4,-568.5,3541.2,,1389.8,1977.0,1270.4,682.6,5166.5,False,,False,False,False,True,False,False,True,False,,False,False,True,True,False
New York,17922,21104.0,20712.0,,16941.1,1670.0,85943.1,11351.0,69741.6,10706.7,12397.7,23202.1,,22085.6,26142.8,,19555.9,33466.4,3182.0,2790.0,,-980.9,-16252.0,68021.1,-6571.0,51819.6,-7215.3,-5524.3,5280.1,,4163.6,8220.8,,1633.9,15544.4,True,,True,False,False,False,False,False,False,False,,False,False,,True,False
North Carolina,47526,56744.0,56048.0,,52896.0,71314.0,26684.5,65449.0,53365.2,86036.9,40596.5,61928.9,,62999.8,64921.2,79809.2,52878.5,46724.0,9218.0,8522.0,,5370.0,23788.0,-20841.5,17923.0,5839.2,38510.9,-6929.5,14402.9,,15473.8,17395.2,32283.2,5352.5,-802.0,True,,True,False,False,False,True,False,True,False,,False,False,False,True,True
North Dakota,3537,2656.0,3366.0,,3127.1,282.0,6055.8,2343.0,2718.0,2140.3,2395.5,4016.5,,2248.4,4445.3,,5563.0,4021.0,-881.0,-171.0,,-409.9,-3255.0,2518.8,-1194.0,-819.0,-1396.7,-1141.5,479.5,,-1288.6,908.3,,2026.0,484.0,True,,True,False,False,False,True,False,False,True,,False,False,,False,True
Ohio,33853,38428.0,38989.0,,45953.6,18767.0,43000.0,34591.0,38861.0,68825.6,27671.1,46381.1,,40978.9,43809.5,38653.6,42121.4,74491.0,4575.0,5136.0,,12100.6,-15086.0,9147.0,738.0,5008.0,34972.6,-6181.9,12528.1,,7125.9,9956.5,4800.6,8268.4,40638.0,False,,False,False,False,True,False,False,False,False,,False,False,False,False,False
Oklahoma,22741,21112.0,17848.0,,27110.4,14369.0,16233.0,32505.0,20841.8,69364.7,10960.2,22195.1,,23097.8,18450.7,,8278.6,21113.9,-1629.0,-4893.0,,4369.4,-8372.0,-6508.0,9764.0,-1899.2,46623.7,-11780.8,-545.9,,356.8,-4290.3,,-14462.4,-1627.1,False,,False,False,False,False,False,False,False,True,,True,False,,False,True
Oregon,8869,9192.0,10242.0,,10823.7,8191.0,8260.4,9016.0,17101.7,24862.4,9262.5,13797.3,,13525.2,9576.3,,15702.0,14226.7,323.0,1373.0,,1954.7,-678.0,-608.6,147.0,8232.7,15993.4,393.5,4928.3,,4656.2,707.3,,6833.0,5357.7,False,,False,False,False,True,False,False,False,False,,False,False,,False,False
Pennsylvania,23751,22256.0,22557.0,,26774.9,3128.0,39748.5,14871.0,29954.5,45789.4,14581.1,27763.2,,20563.1,25638.6,12685.1,21767.0,33000.5,-1495.0,-1194.0,,3023.9,-20623.0,15997.5,-8880.0,6203.5,22038.4,-9169.9,4012.2,,-3187.9,1887.6,-11065.9,-1984.0,9249.5,True,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,2542,1924.0,1376.0,,1377.1,101.0,1745.9,5333.0,244.9,545.7,694.2,1379.7,,2003.6,1507.6,681.3,1999.1,486.2,-618.0,-1166.0,,-1164.9,-2441.0,-796.1,2791.0,-2297.1,-1996.3,-1847.8,-1162.3,,-538.4,-1034.4,-1860.7,-542.9,-2055.8,False,,False,False,False,False,False,False,False,False,,True,False,False,True,False
South Carolina,38270,51652.0,53727.0,,72815.4,29137.0,105287.6,52274.0,37638.1,61735.4,56666.3,60920.4,,51735.1,48671.0,,54198.6,58498.1,13382.0,15457.0,,34545.4,-9133.0,67017.6,14004.0,-631.9,23465.4,18396.3,22650.4,,13465.1,10401.0,,15928.6,20228.1,False,,False,True,False,False,True,False,False,False,,False,True,,False,False
South Dakota,2256,1632.0,2279.0,,1347.4,638.0,3681.7,1446.0,2114.6,1438.1,1269.5,2101.3,,1386.3,4114.3,1235.2,1634.2,2503.4,-624.0,23.0,,-908.6,-1618.0,1425.7,-810.0,-141.4,-817.9,-986.5,-154.7,,-869.7,1858.3,-1020.8,-621.8,247.4,True,,False,False,False,False,True,False,False,True,,False,False,False,True,True
Tennessee,55411,61320.0,60855.0,,72833.2,56869.0,42506.6,52716.0,40293.9,145968.9,45413.0,73636.3,,84011.4,63484.8,97842.1,59610.7,67239.1,5909.0,5444.0,,17422.2,1458.0,-12904.4,-2695.0,-15117.1,90557.9,-9998.0,18225.3,,28600.4,8073.8,42431.1,4199.7,11828.1,True,,False,True,False,True,False,False,False,False,,False,False,False,True,False
Texas,225203,290764.0,271758.0,,390654.2,280952.0,917451.5,393952.0,203408.1,906770.8,197871.0,325316.0,,647243.5,284148.4,556964.4,193035.2,186094.0,65561.0,46555.0,,165451.2,55749.0,692248.5,168749.0,-21794.9,681567.8,-27332.0,100113.0,,422040.5,58945.4,331761.4,-32167.8,-39109.0,True,,False,True,False,False,True,False,True,False,,False,True,False,True,True
Utah,12989,17908.0,19035.0,,17493.3,19996.0,37390.7,15048.0,12616.8,35186.8,17990.0,22880.9,,25520.2,17793.1,27834.4,24001.6,11126.7,4919.0,6046.0,,4504.3,7007.0,24401.7,2059.0,-372.2,22197.8,5001.0,9891.9,,12531.2,4804.1,14845.4,11012.6,-1862.3,False,,True,False,False,True,True,False,False,False,,False,True,False,False,True
Vermont,171,220.0,228.0,,93.2,14.0,9.2,166.0,647.8,325.0,168.3,302.0,,134.9,224.9,,293.7,149.7,49.0,57.0,,-77.8,-157.0,-161.8,-5.0,476.8,154.0,-2.7,131.0,,-36.1,53.9,,122.7,-21.3,False,,False,False,False,True,False,False,True,False,,True,False,,False,True
Virginia,29377,26364.0,29233.0,,20680.7,11317.0,62561.7,23014.0,35122.0,64477.3,20982.1,35134.2,,30387.4,34452.5,22058.4,45404.7,4612.7,-3013.0,-144.0,,-8696.3,-18060.0,33184.7,-6363.0,5745.0,35100.3,-8394.9,5757.2,,1010.4,5075.5,-7318.6,16027.7,-24764.3,True,,False,False,False,False,False,False,False,False,,True,False,False,False,False
Washington,20625,27232.0,27175.0,,25719.0,14947.0,36936.3,22036.0,20533.2,45453.3,20896.0,32481.3,,24925.0,28090.8,24786.8,38027.4,30143.0,6607.0,6550.0,,5094.0,-5678.0,16311.3,1411.0,-91.8,24828.3,271.0,11856.3,,4300.0,7465.8,4161.8,17402.4,9518.0,True,,True,True,False,True,True,False,True,False,,True,False,True,False,False
West Virginia,3568,2992.0,3172.0,,6647.7,2837.0,609.3,2080.0,5229.2,6884.5,2272.3,4043.7,,2995.7,3378.2,,2119.5,9108.2,-576.0,-396.0,,3079.7,-731.0,-2958.7,-1488.0,1661.2,3316.5,-1295.7,475.7,,-572.3,-189.8,,-1448.5,5540.2,True,,False,False,False,False,False,False,False,True,,True,True,,False,False
Wisconsin,23571,23224.0,26353.0,,26727.5,11331.0,4966.5,19867.0,30365.8,63941.3,20127.7,29584.9,,,32611.5,24665.8,29346.1,32110.9,-347.0,2782.0,,3156.5,-12240.0,-18604.5,-3704.0,6794.8,40370.3,-3443.3,6013.9,,,9040.5,1094.8,5775.1,8539.9,False,,False,False,False,False,False,False,False,False,,,False,False,False,False
Wyoming,1127,1076.0,1084.0,,1551.1,651.0,13.5,1099.0,1752.3,2576.8,756.2,1220.6,,696.3,1277.7,,734.4,852.0,-51.0,-43.0,,424.1,-476.0,-1113.5,-28.0,625.3,1449.8,-370.8,93.6,,-430.7,150.7,,-392.6,-275.0,True,,False,False,False,True,False,False,False,False,,False,False,,False,False
US,1644174,1861952.0,2071246.0,1690222.0,2390207.2,1464559.0,3120160.2,2127397.0,1576615.2,,1411429.0,3276875.1,2670406.6,3414621.0,2105620.0,1876494.9,1695965.9,2371189.7,217778.0,427072.0,46048.0,746033.2,-179615.0,1475986.2,483223.0,-67558.8,,-232745.0,1632701.1,1026232.6,1770447.0,461446.0,232320.9,51791.9,727015.7,False,True,False,True,False,False,True,,False,False,False,False,False,False,True,False
