,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01095,1525,1878.0,,7604.0,,,,3038.0,1736.3,3199.4,4703.1,,,353.0,,6079.0,,,,1513.0,211.3,1674.4,3178.1,,,,False,,,,False,True,False,False,,
01097,6956,3858.0,,9007.0,,,,3323.0,4128.5,6011.9,6225.6,,,-3098.0,,2051.0,,,,-3633.0,-2827.5,-944.1,-730.4,,,,True,,,,False,True,True,True,,
01099,202,282.0,,48.0,,,,224.0,70.4,564.8,,,,80.0,,-154.0,,,,22.0,-131.6,362.8,,,,,False,,,,True,False,False,,,
01101,3058,2670.0,,2452.0,,,,2581.0,1400.6,4810.7,2262.5,,,-388.0,,-606.0,,,,-477.0,-1657.4,1752.7,-795.5,,,,False,,,,False,False,False,False,,
01103,1417,984.0,,1756.0,,,,2338.0,741.1,3032.7,,,,-433.0,,339.0,,,,921.0,-675.9,1615.7,,,,,True,,,,False,False,False,,,
01105,285,360.0,,0.0,,,,27.0,566.8,137.7,,,,75.0,,-285.0,,,,-258.0,281.8,-147.3,,,,,False,,,,False,False,False,,,
01107,207,222.0,,438.0,,,,85.0,199.1,519.7,,,,15.0,,231.0,,,,-122.0,-7.9,312.7,,,,,False,,,,False,True,False,,,
01109,303,192.0,,183.0,,,,557.0,52.4,619.0,,,,-111.0,,-120.0,,,,254.0,-250.6,316.0,,,,,False,,,,False,False,False,,,
01111,210,276.0,,35.0,,,,109.0,200.9,197.2,,,,66.0,,-175.0,,,,-101.0,-9.1,-12.8,,,,,False,,,,False,True,True,,,
01113,860,780.0,,1000.0,,,,337.0,487.2,1712.3,,,,-80.0,,140.0,,,,-523.0,-372.8,852.3,,,,,False,,,,False,False,False,,,
