,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01039,251,424.0,,485.0,609.0,,,,,,493.0,590.3,537.6,490.9,214.0,579.0,,,,,,,,,173.0,,234.0,358.0,,,,,,242.0,339.3,286.6,239.9,-37.0,328.0,,,,,,,,,,False,False,,,,,,False,False,False,False,True,False,,,,,,,,
01041,197,96.0,,77.0,107.0,,,,,,99.0,47.1,38.6,94.9,24.2,149.0,,,,,,,,,-101.0,,-120.0,-90.0,,,,,,-98.0,-149.9,-158.4,-102.1,-172.8,-48.0,,,,,,,,,,False,True,,,,,,True,False,False,False,False,True,,,,,,,,
01043,484,812.0,669.8,711.0,1023.0,,,,,,1138.0,932.7,403.9,833.6,642.4,815.0,,,807.8,,,,,,328.0,185.8,227.0,539.0,,,,,,654.0,448.7,-80.1,349.6,158.4,331.0,,,323.8,,,,,,True,True,False,,,,,,False,False,True,False,True,False,,,True,,,,,
01045,368,448.0,,508.0,1078.0,,,,,,508.0,536.3,581.4,492.9,297.7,594.0,,,,,,,,,80.0,,140.0,710.0,,,,,,140.0,168.3,213.4,124.9,-70.3,226.0,,,,,,,,,,False,False,,,,,,False,False,False,False,True,False,,,,,,,,
01047,265,420.0,,393.0,336.0,,,,,,453.0,448.3,279.0,484.0,126.2,974.0,,,,,,,,,155.0,,128.0,71.0,,,,,,188.0,183.3,14.0,219.0,-138.8,709.0,,,,,,,,,,True,True,,,,,,False,False,True,False,True,False,,,,,,,,
01049,622,1320.0,1159.8,1150.0,1819.0,,,,,,1248.0,413.1,986.7,1229.1,628.0,1570.0,,,1128.9,,,,,,698.0,537.8,528.0,1197.0,,,,,,626.0,-208.9,364.7,607.1,6.0,948.0,,,506.9,,,,,,True,True,False,,,,,,True,True,True,True,True,False,,,True,,,,,
01051,578,772.0,1060.7,870.0,1366.0,,,,,,786.0,790.5,762.5,829.0,345.2,1205.0,,,1148.3,,,,,,194.0,482.7,292.0,788.0,,,,,,208.0,212.5,184.5,251.0,-232.8,627.0,,,570.3,,,,,,False,False,False,,,,,,False,False,True,False,False,False,,,False,,,,,
01053,510,456.0,,417.0,412.0,,,,,,599.0,566.4,345.2,447.8,178.0,621.0,,,,,,,,,-54.0,,-93.0,-98.0,,,,,,89.0,56.4,-164.8,-62.2,-332.0,111.0,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,,,,,,
01055,964,1252.0,1155.4,1180.0,1236.0,,,,,,1398.0,872.9,1247.1,1382.9,805.4,1378.0,,,872.4,,,,,,288.0,191.4,216.0,272.0,,,,,,434.0,-91.1,283.1,418.9,-158.6,414.0,,,-91.6,,,,,,True,True,True,,,,,,False,True,True,False,True,False,,,True,,,,,
01057,120,140.0,,140.0,140.0,,,,,,81.0,118.6,174.6,104.0,75.8,152.0,,,,,,,,,20.0,,20.0,20.0,,,,,,-39.0,-1.4,54.6,-16.0,-44.2,32.0,,,,,,,,,,False,False,,,,,,False,True,False,True,False,False,,,,,,,,
01059,314,316.0,,283.0,340.0,,,,,,508.0,206.0,188.9,345.8,66.6,859.0,,,,,,,,,2.0,,-31.0,26.0,,,,,,194.0,-108.0,-125.1,31.8,-247.4,545.0,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,,,,,,
01061,144,152.0,,165.0,653.0,,,,,,311.0,175.0,132.7,209.4,103.4,185.0,,,,,,,,,8.0,,21.0,509.0,,,,,,167.0,31.0,-11.3,65.4,-40.6,41.0,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,,,,,,
01063,40,88.0,,74.0,51.0,,,,,,43.0,57.4,46.2,88.6,2.5,193.0,,,,,,,,,48.0,,34.0,11.0,,,,,,3.0,17.4,6.2,48.6,-37.5,153.0,,,,,,,,,,True,True,,,,,,True,True,True,False,True,False,,,,,,,,
01065,105,180.0,,133.0,289.0,,,,,,140.0,80.7,55.4,164.6,75.0,345.0,,,,,,,,,75.0,,28.0,184.0,,,,,,35.0,-24.3,-49.6,59.6,-30.0,240.0,,,,,,,,,,True,False,,,,,,True,True,True,True,True,False,,,,,,,,
01067,93,112.0,,119.0,211.0,,,,,,97.0,83.6,76.9,170.8,43.7,190.0,,,,,,,,,19.0,,26.0,118.0,,,,,,4.0,-9.4,-16.1,77.8,-49.3,97.0,,,,,,,,,,False,False,,,,,,True,True,True,False,False,False,,,,,,,,
01069,737,752.0,721.5,1013.0,1693.0,,,,,,1288.0,722.3,1064.5,1238.9,565.2,910.0,,,1014.5,,,,,,15.0,-15.5,276.0,956.0,,,,,,551.0,-14.7,327.5,501.9,-171.8,173.0,,,277.5,,,,,,False,False,False,,,,,,False,True,False,False,False,False,,,False,,,,,
01071,574,512.0,554.0,490.0,774.0,,,,,,533.0,427.0,448.8,506.3,393.5,644.0,,,,,,,,,-62.0,-20.0,-84.0,200.0,,,,,,-41.0,-147.0,-125.2,-67.7,-180.5,70.0,,,,,,,,,True,False,False,,,,,,True,False,False,False,False,False,,,,,,,,
01073,5505,7868.0,9059.9,9229.0,12965.0,,,,,,10716.0,4935.0,9964.8,9445.0,5596.2,9341.0,,,11324.8,7650.0,,,,,2363.0,3554.9,3724.0,7460.0,,,,,,5211.0,-570.0,4459.8,3940.0,91.2,3836.0,,,5819.8,2145.0,,,,,False,False,False,,,,,,False,True,False,False,True,False,,,False,True,,,,
01075,123,120.0,,177.0,0.0,,,,,,83.0,105.5,246.8,164.9,70.1,164.0,,,,,,,,,-3.0,,54.0,-123.0,,,,,,-40.0,-17.5,123.8,41.9,-52.9,41.0,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,,,,,,
01077,501,648.0,650.7,680.0,1210.0,,,,,,865.0,731.4,625.8,764.3,567.1,834.0,,,,,,,,,147.0,149.7,179.0,709.0,,,,,,364.0,230.4,124.8,263.3,66.1,333.0,,,,,,,,,False,False,False,,,,,,False,False,True,False,True,False,,,,,,,,
01079,184,232.0,,210.0,430.0,,,,,,223.0,216.5,188.9,209.4,160.1,218.0,,,,,,,,,48.0,,26.0,246.0,,,,,,39.0,32.5,4.9,25.4,-23.9,34.0,,,,,,,,,,True,False,,,,,,True,True,True,True,True,True,,,,,,,,
01081,801,1552.0,1390.7,1653.0,2543.0,,,,,,1831.0,552.4,1789.4,1730.9,993.0,2128.0,,,1463.0,1767.0,,,,,751.0,589.7,852.0,1742.0,,,,,,1030.0,-248.6,988.4,929.9,192.0,1327.0,,,662.0,966.0,,,,,True,False,False,,,,,,False,True,False,False,True,False,,,True,False,,,,
01083,618,768.0,627.5,905.0,1216.0,,,,,,991.0,748.8,1007.0,938.4,725.1,954.0,,,,,,,,,150.0,9.5,287.0,598.0,,,,,,373.0,130.8,389.0,320.4,107.1,336.0,,,,,,,,,True,False,False,,,,,,False,True,False,False,True,False,,,,,,,,
01085,70,120.0,,79.0,192.0,,,,,,63.0,54.3,15.5,100.0,3.2,408.0,,,,,,,,,50.0,,9.0,122.0,,,,,,-7.0,-15.7,-54.5,30.0,-66.8,338.0,,,,,,,,,,True,False,,,,,,True,True,False,True,False,False,,,,,,,,
01087,97,132.0,,110.0,263.0,,,,,,82.0,163.3,48.8,147.3,77.0,239.0,,,,,,,,,35.0,,13.0,166.0,,,,,,-15.0,66.3,-48.2,50.3,-20.0,142.0,,,,,,,,,,True,False,,,,,,True,False,False,False,True,False,,,,,,,,
01089,2338,4816.0,3582.1,6475.0,4332.0,,,,,,3898.0,2587.3,6132.6,5377.6,3236.8,4443.0,,,5943.8,10459.0,,,,,2478.0,1244.1,4137.0,1994.0,,,,,,1560.0,249.3,3794.6,3039.6,898.8,2105.0,,,3605.8,8121.0,,,,,True,False,True,,,,,,True,True,False,False,True,True,,,False,False,,,,
01091,171,244.0,,235.0,415.0,,,,,,222.0,109.5,189.8,269.5,85.8,413.0,,,,,,,,,73.0,,64.0,244.0,,,,,,51.0,-61.5,18.8,98.5,-85.2,242.0,,,,,,,,,,True,False,,,,,,True,True,True,False,False,False,,,,,,,,
01093,191,536.0,,565.0,1431.0,,,,,,278.0,243.1,657.3,504.5,196.9,547.0,,,,,,,,,345.0,,374.0,1240.0,,,,,,87.0,52.1,466.3,313.5,5.9,356.0,,,,,,,,,,False,False,,,,,,True,True,False,True,True,False,,,,,,,,
01095,943,1432.0,1403.4,1281.0,1764.0,,,,,,1811.0,1210.8,1243.0,1477.3,669.3,2175.0,,,967.2,,,,,,489.0,460.4,338.0,821.0,,,,,,868.0,267.8,300.0,534.3,-273.7,1232.0,,,24.2,,,,,,True,True,False,,,,,,False,True,True,False,True,False,,,True,,,,,
01097,5062,4584.0,2361.0,6401.0,7993.0,,,,,,6119.0,1872.0,5555.9,5513.1,1896.7,6155.0,,,7700.5,8713.0,,,,,-478.0,-2701.0,1339.0,2931.0,,,,,,1057.0,-3189.9,493.9,451.1,-3165.3,1093.0,,,2638.5,3651.0,,,,,False,False,False,,,,,,False,False,False,True,False,False,,,False,False,,,,
01099,126,220.0,,158.0,172.0,,,,,,202.0,232.4,58.5,198.0,97.7,315.0,,,,,,,,,94.0,,32.0,46.0,,,,,,76.0,106.4,-67.5,72.0,-28.3,189.0,,,,,,,,,,True,True,,,,,,True,False,True,True,True,False,,,,,,,,
01101,2094,2220.0,1021.2,2012.0,3812.0,,,,,,3296.0,1260.8,1338.7,2550.5,1113.2,4434.0,,,1894.3,2125.0,,,,,126.0,-1072.8,-82.0,1718.0,,,,,,1202.0,-833.2,-755.3,456.5,-980.8,2340.0,,,-199.7,31.0,,,,,False,True,False,,,,,,False,False,False,False,False,False,,,False,True,,,,
01103,866,1412.0,1124.5,1278.0,2476.0,,,,,,1594.0,1252.6,1004.1,1418.1,708.6,1687.0,,,,,,,,,546.0,258.5,412.0,1610.0,,,,,,728.0,386.6,138.1,552.1,-157.4,821.0,,,,,,,,,True,True,False,,,,,,False,True,True,False,True,False,,,,,,,,
01105,143,304.0,,300.0,0.0,,,,,,53.0,166.4,309.7,285.2,37.9,361.0,,,,,,,,,161.0,,157.0,-143.0,,,,,,-90.0,23.4,166.7,142.2,-105.1,218.0,,,,,,,,,,True,True,,,,,,True,True,False,True,True,False,,,,,,,,
01107,135,120.0,,104.0,178.0,,,,,,171.0,126.1,64.5,125.3,108.6,261.0,,,,,,,,,-15.0,,-31.0,43.0,,,,,,36.0,-8.9,-70.5,-9.7,-26.4,126.0,,,,,,,,,,False,False,,,,,,False,True,False,True,False,False,,,,,,,,
01109,190,244.0,,189.0,417.0,,,,,,391.0,179.9,84.1,237.6,110.6,496.0,,,,,,,,,54.0,,-1.0,227.0,,,,,,201.0,-10.1,-105.9,47.6,-79.4,306.0,,,,,,,,,,True,False,,,,,,False,True,False,True,False,False,,,,,,,,
01111,110,168.0,,185.0,345.0,,,,,,157.0,139.1,136.2,250.6,108.3,284.0,,,,,,,,,58.0,,75.0,235.0,,,,,,47.0,29.1,26.2,140.6,-1.7,174.0,,,,,,,,,,False,False,,,,,,True,True,True,False,True,False,,,,,,,,
01113,520,840.0,800.5,866.0,1678.0,,,,,,459.0,338.4,826.1,931.8,345.9,1053.0,,,,,,,,,320.0,280.5,346.0,1158.0,,,,,,-61.0,-181.6,306.1,411.8,-174.1,533.0,,,,,,,,,True,False,False,,,,,,True,True,True,False,True,False,,,,,,,,
01115,632,1000.0,715.6,1003.0,1345.0,,,,,,804.0,578.0,992.6,1014.8,763.1,965.0,,,,,,,,,368.0,83.6,371.0,713.0,,,,,,172.0,-54.0,360.6,382.8,131.1,333.0,,,,,,,,,True,False,False,,,,,,True,True,True,False,True,True,,,,,,,,
01117,1318,2024.0,1853.8,2624.0,3790.0,,,,,,2206.0,952.5,2722.6,2635.1,1554.3,2466.0,,,2552.5,3268.0,,,,,706.0,535.8,1306.0,2472.0,,,,,,888.0,-365.5,1404.6,1317.1,236.3,1148.0,,,1234.5,1950.0,,,,,True,False,False,,,,,,False,True,False,False,True,False,,,False,False,,,,
01119,63,96.0,,64.0,51.0,,,,,,116.0,24.0,13.4,84.2,5.8,264.0,,,,,,,,,33.0,,1.0,-12.0,,,,,,53.0,-39.0,-49.6,21.2,-57.2,201.0,,,,,,,,,,True,True,,,,,,False,False,False,True,False,False,,,,,,,,
01121,555,712.0,473.5,823.0,1682.0,,,,,,761.0,545.6,1114.4,799.3,530.6,801.0,,,675.6,,,,,,157.0,-81.5,268.0,1127.0,,,,,,206.0,-9.4,559.4,244.3,-24.4,246.0,,,120.6,,,,,,True,False,False,,,,,,False,True,False,False,True,False,,,True,,,,,
01123,197,248.0,,232.0,404.0,,,,,,369.0,155.8,183.6,260.5,93.6,623.0,,,,,,,,,51.0,,35.0,207.0,,,,,,172.0,-41.2,-13.4,63.5,-103.4,426.0,,,,,,,,,,True,False,,,,,,False,True,True,False,False,False,,,,,,,,
01125,1343,1744.0,2509.5,1803.0,2361.0,,,,,,2969.0,1206.8,2044.7,2295.4,983.9,2960.0,,,1529.4,1430.0,,,,,401.0,1166.5,460.0,1018.0,,,,,,1626.0,-136.2,701.7,952.4,-359.1,1617.0,,,186.4,87.0,,,,,False,False,False,,,,,,False,True,False,False,True,False,,,True,True,,,,
01127,373,660.0,465.5,631.0,830.0,,,,,,918.0,897.9,299.9,527.1,301.6,1123.0,,,1074.2,,,,,,287.0,92.5,258.0,457.0,,,,,,545.0,524.9,-73.1,154.1,-71.4,750.0,,,701.2,,,,,,True,True,False,,,,,,False,False,True,True,True,False,,,False,,,,,
01129,266,228.0,,217.0,425.0,,,,,,177.0,91.2,157.8,266.4,67.6,264.0,,,,,,,,,-38.0,,-49.0,159.0,,,,,,-89.0,-174.8,-108.2,0.4,-198.4,-2.0,,,,,,,,,,False,False,,,,,,False,False,False,True,False,True,,,,,,,,
01131,107,152.0,,102.0,0.0,,,,,,66.0,65.5,35.8,116.1,41.6,301.0,,,,,,,,,45.0,,-5.0,-107.0,,,,,,-41.0,-41.5,-71.2,9.1,-65.4,194.0,,,,,,,,,,True,False,,,,,,True,True,False,True,False,False,,,,,,,,
01133,124,180.0,,137.0,185.0,,,,,,208.0,261.7,81.9,146.7,131.3,314.0,,,,,,,,,56.0,,13.0,61.0,,,,,,84.0,137.7,-42.1,22.7,7.3,190.0,,,,,,,,,,True,False,,,,,,False,False,True,True,True,False,,,,,,,,
02013,2,0.0,,0.0,0.0,,,,,,,17.4,,0.0,,0.0,,,,,,,,,-2.0,,-2.0,-2.0,,,,,,,15.4,,-2.0,,-2.0,,,,,,,,,,False,False,,,,,,,False,,True,,False,,,,,,,,
02016,6,0.0,,0.0,0.0,,,,,,,74.5,,0.0,,0.0,,,,,,,,,-6.0,,-6.0,-6.0,,,,,,,68.5,,-6.0,,-6.0,,,,,,,,,,False,False,,,,,,,False,,True,,False,,,,,,,,
02020,1538,796.0,699.8,1020.0,1115.0,,,,,,,889.3,736.2,1162.2,894.5,926.0,,,865.9,1618.0,,,,,-742.0,-838.2,-518.0,-423.0,,,,,,,-648.7,-801.8,-375.8,-643.5,-612.0,,,-672.1,80.0,,,,,False,True,True,,,,,,,True,False,True,True,True,,,True,True,,,,
02050,13,12.0,,7.0,0.0,,,,,,,2.8,2.4,4.9,,,,,,,,,,,-1.0,,-6.0,-13.0,,,,,,,-10.2,-10.6,-8.1,,,,,,,,,,,,False,False,,,,,,,False,False,False,,,,,,,,,,
02060,6,8.0,,4.0,0.0,,,,,,,22.7,0.6,0.0,,0.0,,,,,,,,,2.0,,-2.0,-6.0,,,,,,,16.7,-5.4,-6.0,,-6.0,,,,,,,,,,False,False,,,,,,,False,False,False,,False,,,,,,,,
02068,1,0.0,,0.0,0.0,,,,,,,11.9,,0.0,,0.0,,,,,,,,,-1.0,,-1.0,-1.0,,,,,,,10.9,,-1.0,,-1.0,,,,,,,,,,False,False,,,,,,,False,,True,,False,,,,,,,,
02070,1,4.0,,0.0,0.0,,,,,,,85.8,0.1,0.0,,0.0,,,,,,,,,3.0,,-1.0,-1.0,,,,,,,84.8,-0.9,-1.0,,-1.0,,,,,,,,,,True,True,,,,,,,False,True,True,,True,,,,,,,,
02090,181,304.0,120.9,291.0,329.0,,,,,,,284.7,254.3,311.7,228.8,314.0,,,,,,,,,123.0,-60.1,110.0,148.0,,,,,,,103.7,73.3,130.7,47.8,133.0,,,,,,,,,True,True,False,,,,,,,True,True,False,True,False,,,,,,,,
02100,2,4.0,,4.0,0.0,,,,,,,13.7,,0.0,,0.0,,,,,,,,,2.0,,2.0,-2.0,,,,,,,11.7,,-2.0,,-2.0,,,,,,,,,,False,False,,,,,,,False,,True,,False,,,,,,,,
02105,0,0.0,,0.0,0.0,,,,,,,7.2,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,7.2,,0.0,,0.0,,,,,,,,,,True,True,,,,,,,False,,True,,True,,,,,,,,
02110,85,40.0,,39.0,0.0,,,,,,,73.8,21.6,54.4,,58.0,,,,,,,,,-45.0,,-46.0,-85.0,,,,,,,-11.2,-63.4,-30.6,,-27.0,,,,,,,,,,False,False,,,,,,,True,False,True,,True,,,,,,,,
02122,116,168.0,209.8,151.0,0.0,,,,,,,250.1,58.0,227.0,185.7,231.0,,,,,,,,,52.0,93.8,35.0,-116.0,,,,,,,134.1,-58.0,111.0,69.7,115.0,,,,,,,,,False,True,False,,,,,,,False,False,False,False,False,,,,,,,,
02130,16,4.0,,5.0,0.0,,,,,,,3.2,4.4,7.5,,,,,,,,,,,-12.0,,-11.0,-16.0,,,,,,,-12.8,-11.6,-8.5,,,,,,,,,,,,True,False,,,,,,,False,True,True,,,,,,,,,,
02150,6,4.0,,1.0,0.0,,,,,,,23.9,0.3,1.5,,0.0,,,,,,,,,-2.0,,-5.0,-6.0,,,,,,,17.9,-5.7,-4.5,,-6.0,,,,,,,,,,False,False,,,,,,,False,False,False,,False,,,,,,,,
02158,5,4.0,,4.0,0.0,,,,,,,,,0.1,,,,,,,,,,,-1.0,,-1.0,-5.0,,,,,,,,,-4.9,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,,,,,,
02164,0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,True,True,,,,,,,True,,False,,True,,,,,,,,
02170,198,160.0,156.9,160.0,0.0,,,,,,,494.3,90.4,230.7,191.0,178.0,,,,,,,,,-38.0,-41.1,-38.0,-198.0,,,,,,,296.3,-107.6,32.7,-7.0,-20.0,,,,,,,,,False,False,False,,,,,,,False,False,True,True,True,,,,,,,,
02180,9,12.0,,5.0,0.0,,,,,,,2.1,2.5,4.9,,,,,,,,,,,3.0,,-4.0,-9.0,,,,,,,-6.9,-6.5,-4.1,,,,,,,,,,,,False,False,,,,,,,False,False,False,,,,,,,,,,
