,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Indiana,28597,18235.0,,22090.2,5552.0,18209.0,37602.9,13767.5,29229.1,6905.0,23329.4,-10362.0,,-6506.8,-23045.0,-10388.0,9005.9,-14829.5,632.1,-21692.0,-5267.6,,True,False,False,True,False,True,False,True
Iowa,17407,17985.0,,21928.8,3601.0,25658.0,19703.2,16495.2,27021.2,8273.9,26967.8,578.0,,4521.8,-13806.0,8251.0,2296.2,-911.8,9614.2,-9133.1,9560.8,,False,False,False,False,False,False,False,False
Kansas,15198,13880.0,,22746.9,2886.0,21114.0,15489.0,9331.5,18549.9,6048.1,41812.3,-1318.0,,7548.9,-12312.0,5916.0,291.0,-5866.5,3351.9,-9149.9,26614.3,,False,False,False,True,False,False,False,False
Kentucky,19809,13725.0,,13774.6,7867.0,12807.0,21122.7,8226.0,11271.8,6488.5,6852.3,-6084.0,,-6034.4,-11942.0,-7002.0,1313.7,-11583.0,-8537.2,-13320.5,-12956.7,,True,False,False,True,False,False,False,False
Louisiana,59934,67570.0,,80358.0,26193.0,125613.0,40874.3,37740.5,65624.6,45361.8,37188.4,7636.0,,20424.0,-33741.0,65679.0,-19059.7,-22193.5,5690.6,-14572.2,-22745.6,,False,False,False,False,False,True,False,False
Maine,625,615.0,,634.1,508.0,577.0,2305.3,328.3,363.6,536.1,1743.7,-10.0,,9.1,-117.0,-48.0,1680.3,-296.7,-261.4,-88.9,1118.7,,True,False,False,False,False,False,False,False
Maryland,27226,15630.0,,9248.2,2759.0,11527.0,22656.8,11622.7,38836.0,3997.0,22835.5,-11596.0,,-17977.8,-24467.0,-15699.0,-4569.2,-15603.3,11610.0,-23229.0,-4390.5,,False,False,False,True,False,False,False,True
Massachusetts,9485,7800.0,,5161.7,912.0,6183.0,17263.2,4747.3,6325.0,663.7,9429.7,-1685.0,,-4323.3,-8573.0,-3302.0,7778.2,-4737.7,-3160.0,-8821.3,-55.3,,False,False,False,False,False,False,False,True
Michigan,25412,18945.0,,20164.0,4997.0,27894.0,59832.4,11431.0,35122.5,2918.3,40659.8,-6467.0,,-5248.0,-20415.0,2482.0,34420.4,-13981.0,9710.5,-22493.7,15247.8,,True,False,True,False,False,False,False,False
Minnesota,22842,19735.0,,15859.3,4840.0,29021.0,27437.9,15769.8,19659.1,3777.8,7715.6,-3107.0,,-6982.7,-18002.0,6179.0,4595.9,-7072.2,-3182.9,-19064.2,-15126.4,,False,False,False,False,False,False,False,False
Mississippi,36336,23725.0,,36146.2,16765.0,32178.0,22643.2,21152.0,26453.7,17726.0,35002.8,-12611.0,,-189.8,-19571.0,-4158.0,-13692.8,-15184.0,-9882.3,-18610.0,-1333.2,,True,False,True,False,False,True,False,True
Missouri,39030,20115.0,,25025.3,12570.0,21890.0,27266.1,10183.3,28710.0,13918.8,19854.5,-18915.0,,-14004.7,-26460.0,-17140.0,-11763.9,-28846.7,-10320.0,-25111.2,-19175.5,,True,False,True,True,False,True,False,False
Montana,3982,2550.0,,5428.8,1051.0,2847.0,3014.8,3358.2,5325.2,9230.1,9255.3,-1432.0,,1446.8,-2931.0,-1135.0,-967.2,-623.8,1343.2,5248.1,5273.3,,False,False,True,True,True,True,False,False
Nebraska,9243,5855.0,,4383.0,991.0,15626.0,12674.8,4015.4,5041.8,802.2,4970.1,-3388.0,,-4860.0,-8252.0,6383.0,3431.8,-5227.6,-4201.2,-8440.8,-4272.9,,False,False,False,False,False,False,False,False
Nevada,33770,26315.0,,46469.3,23448.0,49332.0,19262.8,23453.0,25161.1,36255.1,50838.7,-7455.0,,12699.3,-10322.0,15562.0,-14507.2,-10317.0,-8608.9,2485.1,17068.7,,False,False,False,False,False,False,True,False
New Hampshire,956,760.0,,192.4,192.0,614.0,3382.7,482.4,662.7,299.4,426.4,-196.0,,-763.6,-764.0,-342.0,2426.7,-473.6,-293.3,-656.6,-529.6,,False,False,False,False,False,False,False,False
New Jersey,14008,9630.0,,7297.5,619.0,13619.0,35219.2,5366.4,8044.2,194.5,16414.1,-4378.0,,-6710.5,-13389.0,-389.0,21211.2,-8641.6,-5963.8,-13813.5,2406.1,,False,False,True,False,False,False,False,True
New Mexico,8529,8550.0,,10301.6,3619.0,11087.0,13679.4,5983.8,12366.7,4810.5,13955.9,21.0,,1772.6,-4910.0,2558.0,5150.4,-2545.2,3837.7,-3718.5,5426.9,,False,False,False,False,False,False,False,False
New York,23425,22155.0,,19685.5,3440.0,95928.0,85329.7,12795.6,20549.0,262.7,40260.0,-1270.0,,-3739.5,-19985.0,72503.0,61904.7,-10629.4,-2876.0,-23162.3,16835.0,,False,False,False,False,False,False,False,False
North Carolina,61528,61180.0,,63582.2,85047.0,154703.0,63952.1,47156.5,71966.2,57657.8,59071.3,-348.0,,2054.2,23519.0,93175.0,2424.1,-14371.5,10438.2,-3870.2,-2456.7,,False,False,False,False,False,False,False,False
North Dakota,4201,2320.0,,2050.0,461.0,4247.0,3020.5,2126.0,2974.4,1023.9,4632.3,-1881.0,,-2151.0,-3740.0,46.0,-1180.5,-2075.0,-1226.6,-3177.1,431.3,,False,False,True,True,False,True,False,True
Ohio,43460,40155.0,,51228.5,40519.0,46374.0,48888.0,34858.9,59893.1,24568.7,86517.5,-3305.0,,7768.5,-2941.0,2914.0,5428.0,-8601.1,16433.1,-18891.3,43057.5,,False,True,True,False,False,False,False,False
Oklahoma,28019,20655.0,,29740.0,13959.0,133551.0,25036.9,14638.8,27159.5,26333.7,25332.8,-7364.0,,1721.0,-14060.0,105532.0,-2982.1,-13380.2,-859.5,-1685.3,-2686.2,,True,False,False,True,False,True,True,True
Oregon,11167,9605.0,,13281.3,7915.0,18575.0,21608.8,8860.1,10292.9,14652.8,16861.1,-1562.0,,2114.3,-3252.0,7408.0,10441.8,-2306.9,-874.1,3485.8,5694.1,,False,False,False,False,False,True,False,False
Pennsylvania,29315,26470.0,,29274.1,5332.0,34197.0,40927.6,14738.8,57109.9,5702.5,39553.4,-2845.0,,-40.9,-23983.0,4882.0,11612.6,-14576.2,27794.9,-23612.5,10238.4,,True,False,False,False,False,False,False,False
Rhode Island,3023,1605.0,,937.2,186.0,3492.0,913.4,563.4,1230.1,91.3,691.8,-1418.0,,-2085.8,-2837.0,469.0,-2109.6,-2459.6,-1792.9,-2931.7,-2331.2,,False,False,True,False,False,False,False,False
South Carolina,51183,56565.0,,87868.4,32962.0,55020.0,41812.1,58779.8,53380.7,48885.2,75340.5,5382.0,,36685.4,-18221.0,3837.0,-9370.9,7596.8,2197.7,-2297.8,24157.5,,False,False,True,False,False,True,True,False
South Dakota,2664,2130.0,,1855.0,909.0,2129.0,2914.5,1391.0,1456.1,715.6,3063.3,-534.0,,-809.0,-1755.0,-535.0,250.5,-1273.0,-1207.9,-1948.4,399.3,,False,False,False,True,False,False,False,True
Tennessee,70741,54330.0,,70158.7,59981.0,60644.0,41975.2,28579.7,46961.7,43186.8,86171.0,-16411.0,,-582.3,-10760.0,-10097.0,-28765.8,-42161.3,-23779.3,-27554.2,15430.0,,True,True,True,False,False,False,False,True
Texas,297494,302285.0,,505500.0,282214.0,616095.0,202224.2,243433.6,406500.2,378696.3,246966.0,4791.0,,208006.0,-15280.0,318601.0,-95269.8,-54060.4,109006.2,81202.3,-50528.0,,False,False,False,False,False,False,False,False
Utah,17466,21565.0,,25819.3,24290.0,28737.0,18178.6,16419.8,24429.4,22093.4,15025.8,4099.0,,8353.3,6824.0,11271.0,712.6,-1046.2,6963.4,4627.4,-2440.2,,False,False,False,True,True,False,False,True
Vermont,226,225.0,,80.5,19.0,176.0,976.9,160.0,222.6,0.0,190.7,-1.0,,-145.5,-207.0,-50.0,750.9,-66.0,-3.4,-226.0,-35.3,,False,False,False,False,False,False,False,False
Virginia,35968,23365.0,,15900.7,9606.0,28834.0,42823.5,18279.0,28957.1,9300.4,7520.7,-12603.0,,-20067.3,-26362.0,-7134.0,6855.5,-17689.0,-7010.9,-26667.6,-28447.3,,False,False,True,True,False,True,False,False
Washington,26909,19855.0,,31911.1,14198.0,21211.0,28624.9,21957.6,37043.4,14230.1,35864.5,-7054.0,,5002.1,-12711.0,-5698.0,1715.9,-4951.4,10134.4,-12678.9,8955.5,,True,False,True,True,True,False,False,False
West Virginia,4316,4705.0,,6470.8,4396.0,2899.0,5673.8,4173.1,5751.4,5499.6,10080.6,389.0,,2154.8,80.0,-1417.0,1357.8,-142.9,1435.4,1183.6,5764.6,,False,True,False,False,True,False,False,False
Wisconsin,29377,23120.0,,26038.4,10345.0,26264.0,35929.2,20049.5,28722.5,15902.8,38433.8,-6257.0,,-3338.6,-19032.0,-3113.0,6552.2,-9327.5,-654.5,-13474.2,9056.8,,True,False,True,False,False,True,False,False
Wyoming,1396,1165.0,,2243.7,779.0,902.0,2446.6,727.4,1134.8,1144.6,1079.0,-231.0,,847.7,-617.0,-494.0,1050.6,-668.6,-261.2,-251.4,-317.0,,False,False,False,False,False,False,False,False
US,2108227,2023420.0,2141567.0,2729310.9,1612493.0,2580834.0,1846573.3,1423059.9,2404995.4,1655079.8,2874057.3,-84807.0,33340.0,621083.9,-495734.0,472607.0,-261653.7,-685167.1,296768.4,-453147.2,765830.3,True,False,False,False,False,False,False,False,False
