,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9793,9839.9,9401.1,9891.6,9808.0,9883.5,10055.0,9536.0,9721.8,12464.0,9519.0,9725.6,9801.9,11255.5,,9881.0,10249.1,10855.2,10104.0,9435.6,10204.7,10098.0,9786.7,9891.0,10089.7,10496.1,,9613.2,9683.5,10932.5,,10742.9,10502.9,10136.0,8127.4,10207.0,9553.1,,10622.8,10122.7,9816.0,9991.1,10524.9,10219.0,9856.0,9284.0,9463.0,46.9,-391.9,98.6,15.0,90.5,262.0,-257.0,-71.2,2671.0,-274.0,-67.4,8.9,1462.5,,88.0,456.1,1062.2,311.0,-357.4,411.7,305.0,-6.3,98.0,296.7,703.1,,-179.8,-109.5,1139.5,,949.9,709.9,343.0,-1665.6,414.0,-239.9,,829.8,329.7,23.0,198.1,731.9,426.0,63.0,-509.0,-330.0,False,False,True,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False
Hawaii,261,224.9,224.2,233.6,232.0,229.3,238.0,245.0,239.6,,247.0,230.9,,241.7,,,237.5,232.7,252.0,283.7,231.0,247.0,224.2,256.0,227.0,267.8,,414.5,228.5,286.0,,,223.9,242.0,293.1,270.0,238.3,,228.0,235.6,243.0,259.3,235.7,230.0,233.0,237.5,,-36.1,-36.8,-27.4,-29.0,-31.7,-23.0,-16.0,-21.4,,-14.0,-30.1,,-19.3,,,-23.5,-28.3,-9.0,22.7,-30.0,-14.0,-36.8,-5.0,-34.0,6.8,,153.5,-32.5,25.0,,,-37.1,-19.0,32.1,9.0,-22.7,,-33.0,-25.4,-18.0,-1.7,-25.3,-31.0,-28.0,-23.5,,False,True,True,True,True,True,True,,True,True,,True,,,True,True,True,True,True,True,False,True,True,True,,False,True,True,,,False,True,True,True,True,,True,True,True,True,True,True,True,True,
Idaho,1032,967.6,1049.6,988.5,979.0,987.0,1009.0,962.0,999.6,1095.0,864.0,873.4,1016.7,1043.7,,1034.0,1074.2,950.2,1061.0,972.8,1075.0,942.0,1020.2,1034.0,1055.5,1006.6,,924.9,1031.0,1093.0,,,988.9,1083.0,1043.4,1018.0,969.6,,991.5,1069.8,980.0,942.3,1012.6,1018.0,903.0,836.3,1009.0,-64.4,17.6,-43.5,-53.0,-45.0,-23.0,-70.0,-32.4,63.0,-168.0,-158.6,-15.3,11.7,,2.0,42.2,-81.8,29.0,-59.2,43.0,-90.0,-11.8,2.0,23.5,-25.4,,-107.1,-1.0,61.0,,,-43.1,51.0,11.4,-14.0,-62.4,,-40.5,37.8,-52.0,-89.7,-19.4,-14.0,-129.0,-195.7,-23.0,True,True,True,True,True,False,True,True,False,False,True,True,,True,True,False,True,True,True,False,True,True,True,True,,False,True,True,,,True,True,True,True,True,,True,True,True,False,True,True,False,False,True
Illinois,14017,12944.9,14312.3,12908.8,12921.0,12888.6,13332.0,13850.0,13566.6,15096.0,13627.0,13035.5,13489.9,14377.6,,13030.0,13317.0,14278.1,13346.0,13010.0,14460.7,13858.0,13659.4,12658.0,13040.0,13299.4,12831.5,12417.2,13348.0,12401.0,,12551.7,13726.4,13013.0,11204.6,13357.0,11596.3,,12853.2,13154.7,14076.0,12909.7,18310.1,14278.0,13891.5,11719.2,13611.0,-1072.1,295.3,-1108.2,-1096.0,-1128.4,-685.0,-167.0,-450.4,1079.0,-390.0,-981.5,-527.1,360.6,,-987.0,-700.0,261.1,-671.0,-1007.0,443.7,-159.0,-357.6,-1359.0,-977.0,-717.6,-1185.5,-1599.8,-669.0,-1616.0,,-1465.3,-290.6,-1004.0,-2812.4,-660.0,-2420.7,,-1163.8,-862.3,59.0,-1107.3,4293.1,261.0,-125.5,-2297.8,-406.0,True,False,False,False,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,,False,True,True,False,True,False,,False,True,True,False,False,True,True,False,True
Indiana,6207,5712.9,6179.4,5789.9,5936.0,5775.8,6039.0,6309.0,6035.1,6909.0,7010.0,6013.9,6236.9,6415.3,,5912.0,6423.2,6527.3,5863.0,5926.5,6408.2,6264.0,6218.5,5722.0,6083.0,5942.4,5799.5,6035.4,6152.5,5907.5,,5805.8,5889.9,5948.0,5009.1,6551.0,5613.7,,5892.1,6097.8,6448.0,6023.7,8106.8,6474.0,5735.5,4923.4,5915.0,-494.1,-27.6,-417.1,-271.0,-431.2,-168.0,102.0,-171.9,702.0,803.0,-193.1,29.9,208.3,,-295.0,216.2,320.3,-344.0,-280.5,201.2,57.0,11.5,-485.0,-124.0,-264.6,-407.5,-171.6,-54.5,-299.5,,-401.2,-317.1,-259.0,-1197.9,344.0,-593.3,,-314.9,-109.2,241.0,-183.3,1899.8,267.0,-471.5,-1283.6,-292.0,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,False,,True,True,True,True,False,True,True,False,True
Iowa,2682,2400.4,2794.6,2397.5,2591.0,2414.0,2579.0,2892.0,2646.6,4113.0,2815.0,2451.5,2568.3,3070.2,,2475.0,2641.0,3322.5,2781.0,2626.2,3070.0,2705.0,2557.4,2629.0,2441.8,2508.0,,2842.7,2573.1,2363.0,,2379.8,2502.4,2847.0,2445.3,2471.0,2379.1,,2584.7,2454.6,2921.0,2422.2,3220.2,2824.0,2354.0,2137.3,2485.0,-281.6,112.6,-284.5,-91.0,-268.0,-103.0,210.0,-35.4,1431.0,133.0,-230.5,-113.7,388.2,,-207.0,-41.0,640.5,99.0,-55.8,388.0,23.0,-124.6,-53.0,-240.2,-174.0,,160.7,-108.9,-319.0,,-302.2,-179.6,165.0,-236.7,-211.0,-302.9,,-97.3,-227.4,239.0,-259.8,538.2,142.0,-328.0,-544.7,-197.0,True,False,True,True,True,True,True,False,True,True,True,False,,True,True,False,True,True,False,True,True,True,True,True,,True,True,False,,False,True,True,True,True,False,,True,True,True,True,False,True,False,False,True
Kansas,1786,1426.9,1564.0,1431.6,1521.0,1442.0,1518.0,1672.0,1528.3,1816.0,1454.0,1379.0,1643.1,1555.5,,1518.0,1547.7,1730.6,1648.0,1625.4,1728.1,1432.0,1421.9,1630.0,1486.2,1434.8,,1551.9,1508.9,1441.0,,,1503.1,1744.0,1535.7,1513.0,1437.3,,1555.0,1499.5,1808.0,1404.0,1595.1,1575.0,1343.0,1311.7,1436.0,-287.1,-150.0,-282.4,-193.0,-272.0,-196.0,-42.0,-185.7,102.0,-260.0,-335.0,-70.9,-158.5,,-196.0,-166.3,16.6,-66.0,-88.6,14.1,-282.0,-292.1,-84.0,-227.8,-279.2,,-162.1,-205.1,-273.0,,,-210.9,30.0,-178.3,-201.0,-276.7,,-159.0,-214.5,94.0,-310.0,-118.9,-139.0,-371.0,-402.3,-278.0,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,True,True,True,True,True,,True,True,True,False,True,True,False,False,True
Kentucky,2062,1935.3,2084.8,1953.5,1990.0,1949.1,2020.0,2105.0,2084.7,2064.0,1942.0,1902.4,,2057.5,,1970.0,2035.0,1911.4,2174.0,2257.0,2045.8,1901.0,2026.1,2170.0,2037.8,1979.6,2160.0,1830.4,2053.2,2012.0,,,2100.1,2047.0,2274.6,2019.0,1984.2,,2041.0,2052.8,2042.0,1973.4,2470.8,2050.0,1910.5,1788.8,1938.0,-126.7,22.8,-108.5,-72.0,-112.9,-42.0,43.0,22.7,2.0,-120.0,-159.6,,-4.5,,-92.0,-27.0,-150.6,112.0,195.0,-16.2,-161.0,-35.9,108.0,-24.2,-82.4,98.0,-231.6,-8.8,-50.0,,,38.1,-15.0,212.6,-43.0,-77.8,,-21.0,-9.2,-20.0,-88.6,408.8,-12.0,-151.5,-273.2,-124.0,True,True,True,True,True,True,True,True,True,False,,True,,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,,,True,True,False,True,True,,True,True,True,True,False,True,False,False,True
Louisiana,6548,6363.9,6550.9,6435.5,6433.0,6435.7,6458.0,6343.0,6525.5,6600.0,6237.0,6314.7,6570.7,6523.2,,6369.0,6485.5,6660.1,6272.0,6344.3,6478.3,6469.0,6336.7,6390.0,6517.2,6419.4,,6379.5,6447.7,6285.0,,6425.5,6410.4,6527.0,5693.0,6601.0,6542.6,,6403.1,6528.6,6440.0,6614.6,6646.5,6578.0,6302.5,6101.9,6362.0,-173.1,13.9,-101.5,-104.0,-101.3,-79.0,-194.0,-11.5,63.0,-300.0,-222.3,33.7,-13.8,,-168.0,-51.5,123.1,-265.0,-192.7,-58.7,-68.0,-200.3,-147.0,-19.8,-117.6,,-157.5,-89.3,-252.0,,-111.5,-126.6,-10.0,-844.0,64.0,5.6,,-133.9,-8.4,-97.0,77.6,109.5,41.0,-234.5,-435.1,-175.0,True,True,True,True,True,False,True,True,False,False,True,True,,True,True,True,False,False,True,True,False,True,True,True,,True,True,False,,True,True,True,False,True,True,,True,True,True,True,True,True,False,False,False
Maine,227,202.1,229.8,195.9,198.0,199.0,211.0,190.0,198.8,301.0,223.0,182.6,208.0,237.2,,191.0,183.9,227.5,220.0,286.9,258.7,178.0,197.3,220.0,205.5,211.2,,169.6,213.7,169.0,,,233.4,203.0,184.3,219.0,199.8,,180.1,222.1,206.0,172.1,245.0,232.0,273.0,170.7,428.0,-24.9,2.8,-31.1,-29.0,-28.0,-16.0,-37.0,-28.2,74.0,-4.0,-44.4,-19.0,10.2,,-36.0,-43.1,0.5,-7.0,59.9,31.7,-49.0,-29.7,-7.0,-21.5,-15.8,,-57.4,-13.3,-58.0,,,6.4,-24.0,-42.7,-8.0,-27.2,,-46.9,-4.9,-21.0,-54.9,18.0,5.0,46.0,-56.3,201.0,True,False,False,False,True,False,False,False,True,False,True,True,,False,False,True,True,False,False,False,False,True,True,True,,False,True,False,,,True,True,False,True,False,,False,True,True,False,True,True,False,False,False
