,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1738,1674.6,1754.4,1703.1,1705.0,1704.0,1705.0,1694.0,1718.6,1636.0,1897.5,1718.0,1673.0,1710.1,1690.9,1747.2,,1663.0,1701.0,1750.8,1688.8,1703.0,1650.0,1750.8,1712.0,1681.3,1702.0,1711.7,1699.8,1589.8,1723.4,1719.0,,,1722.4,1752.0,1785.8,1646.0,1699.6,,1710.2,1717.9,1679.1,1698.0,,1817.6,1748.0,1694.0,1582.8,1734.0,-63.4,16.4,-34.9,-33.0,-34.0,-33.0,-44.0,-19.4,-102.0,159.5,-20.0,-65.0,-27.9,-47.1,9.2,,-75.0,-37.0,12.8,-49.2,-35.0,-88.0,12.8,-26.0,-56.7,-36.0,-26.3,-38.2,-148.2,-14.6,-19.0,,,-15.6,14.0,47.8,-92.0,-38.4,,-27.8,-20.1,-58.9,-40.0,,79.6,10.0,-44.0,-155.2,-4.0,True,True,True,True,True,True,True,False,False,True,False,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,,,True,True,True,False,True,,True,True,True,True,,False,True,True,False,True
New York,34939,34768.4,34988.6,34741.7,34754.0,34732.0,34830.0,34830.0,34864.0,34687.0,34912.6,34945.0,34785.0,34918.3,34783.5,34894.2,,34638.0,34945.0,34777.3,34902.3,34798.0,34833.0,34872.6,34807.0,34847.6,34894.0,34783.6,34826.8,34770.5,34864.0,34392.0,,34758.4,34497.3,35194.0,35687.7,34894.0,34746.5,,34912.8,34789.3,34771.1,34866.0,,36839.6,34832.0,34852.0,34407.7,34761.0,-158.6,61.6,-185.3,-173.0,-195.0,-97.0,-97.0,-63.0,-240.0,-14.4,18.0,-142.0,-8.7,-143.5,-32.8,,-289.0,18.0,-149.7,-24.7,-129.0,-94.0,-54.4,-120.0,-79.4,-33.0,-143.4,-100.2,-156.5,-63.0,-535.0,,-168.6,-429.7,267.0,760.7,-33.0,-180.5,,-14.2,-137.7,-155.9,-61.0,,1912.6,-95.0,-75.0,-519.3,-166.0,True,False,False,False,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,False,False,False,True,False,,True,True,True,True,,False,True,True,False,False
North Carolina,5516,5416.6,5517.2,5424.3,5458.0,5433.0,5461.0,5431.0,5459.4,5271.0,5550.8,5481.0,5469.7,5535.4,5477.5,5503.8,,5415.0,5503.0,5470.5,5483.6,5476.0,5505.3,5484.8,5440.0,5428.9,5488.0,5449.2,5455.4,5327.6,5544.0,5497.0,,5431.7,5891.0,5447.0,5628.9,5456.0,5419.8,,5563.4,5450.5,5448.4,5465.0,,5530.9,5460.0,5411.0,5369.7,5464.0,-99.4,1.2,-91.7,-58.0,-83.0,-55.0,-85.0,-56.6,-245.0,34.8,-35.0,-46.3,19.4,-38.5,-12.2,,-101.0,-13.0,-45.5,-32.4,-40.0,-10.7,-31.2,-76.0,-87.1,-28.0,-66.8,-60.6,-188.4,28.0,-19.0,,-84.3,375.0,-69.0,112.9,-60.0,-96.2,,47.4,-65.5,-67.6,-51.0,,14.9,-56.0,-105.0,-146.3,-52.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,False,True,False,True,True,,True,True,True,True,,True,True,False,False,True
North Dakota,1013,994.6,1007.8,1004.7,1009.0,1002.0,1009.0,993.0,1002.8,926.0,1131.0,1009.0,1001.5,1014.3,1001.3,998.8,,1011.0,1009.0,1033.5,1028.8,1024.0,964.1,1027.3,969.0,992.0,1039.0,1016.8,1012.2,955.4,1061.0,1030.0,,,1086.5,984.0,1019.1,952.0,1049.7,,1072.0,1021.6,986.7,997.0,,1042.8,1011.0,987.0,971.6,1003.0,-18.4,-5.2,-8.3,-4.0,-11.0,-4.0,-20.0,-10.2,-87.0,118.0,-4.0,-11.5,1.3,-11.7,-14.2,,-2.0,-4.0,20.5,15.8,11.0,-48.9,14.3,-44.0,-21.0,26.0,3.8,-0.8,-57.6,48.0,17.0,,,73.5,-29.0,6.1,-61.0,36.7,,59.0,8.6,-26.3,-16.0,,29.8,-2.0,-26.0,-41.4,-10.0,True,True,True,True,True,False,True,False,False,True,True,True,True,True,,True,True,False,True,True,False,True,False,False,False,True,True,False,False,True,,,False,False,True,False,False,,False,True,False,True,,False,True,False,False,True
Ohio,6946,6744.4,6995.5,6772.1,6781.0,6772.0,6808.0,7034.0,6842.4,6478.0,7003.2,6759.0,6706.1,6753.6,6784.5,6829.7,,6723.0,6934.0,6788.9,6798.3,6813.0,6977.8,6883.1,6808.0,6773.4,6884.0,6806.8,6834.1,6533.4,6843.5,6584.0,,6685.8,6823.4,7037.0,8316.7,6717.0,6696.3,,6893.4,6833.2,6793.2,6802.0,6613.9,7957.1,6890.0,6883.0,6528.4,7022.0,-201.6,49.5,-173.9,-165.0,-174.0,-138.0,88.0,-103.6,-468.0,57.2,-187.0,-239.9,-192.4,-161.5,-116.3,,-223.0,-12.0,-157.1,-147.7,-133.0,31.8,-62.9,-138.0,-172.6,-62.0,-139.2,-111.9,-412.6,-102.5,-362.0,,-260.2,-122.6,91.0,1370.7,-229.0,-249.7,,-52.6,-112.8,-152.8,-144.0,-332.1,1011.1,-56.0,-63.0,-417.6,76.0,True,True,True,True,True,True,True,False,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,False,True,True,False,False,False,,True,True,True,True,False,False,True,True,False,True
Oklahoma,1874,1823.4,1889.3,1804.4,1823.0,1810.0,1842.0,1860.0,1870.7,1770.0,1936.7,1885.0,1842.9,1840.2,1791.7,1848.8,,1807.0,1857.0,1848.2,1844.9,1856.0,1879.2,1844.5,1814.0,1853.3,1919.0,1826.9,1845.4,1784.1,1877.0,1809.0,,,1975.9,1860.0,1818.5,1827.0,1809.0,,1942.1,1832.6,1858.4,1854.0,,1965.7,1881.0,1824.0,1787.3,1832.0,-50.6,15.3,-69.6,-51.0,-64.0,-32.0,-14.0,-3.3,-104.0,62.7,11.0,-31.1,-33.8,-82.3,-25.2,,-67.0,-17.0,-25.8,-29.1,-18.0,5.2,-29.5,-60.0,-20.7,45.0,-47.1,-28.6,-89.9,3.0,-65.0,,,101.9,-14.0,-55.5,-47.0,-65.0,,68.1,-41.4,-15.6,-20.0,,91.7,7.0,-50.0,-86.7,-42.0,True,False,False,False,True,True,True,False,False,True,True,True,False,True,,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,,,False,True,False,True,False,,False,True,True,True,,False,True,True,False,True
Oregon,1027,977.9,1014.8,976.0,969.0,973.0,980.0,944.0,984.4,908.0,974.7,980.0,952.8,970.5,1007.5,986.1,,957.0,981.0,972.1,1006.7,981.0,1025.8,987.6,987.0,980.2,991.0,986.2,982.3,953.8,988.1,951.0,,,1064.7,1016.0,978.9,978.0,976.3,,985.1,991.7,973.7,982.0,,1003.8,980.0,963.0,930.1,990.0,-49.1,-12.2,-51.0,-58.0,-54.0,-47.0,-83.0,-42.6,-119.0,-52.3,-47.0,-74.2,-56.5,-19.5,-40.9,,-70.0,-46.0,-54.9,-20.3,-46.0,-1.2,-39.4,-40.0,-46.8,-36.0,-40.8,-44.7,-73.2,-38.9,-76.0,,,37.7,-11.0,-48.1,-49.0,-50.7,,-41.9,-35.3,-53.3,-45.0,,-23.2,-47.0,-64.0,-96.9,-37.0,True,False,False,False,True,False,True,False,False,True,False,False,True,True,,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,,,True,True,True,True,False,,True,True,False,True,,True,True,False,False,True
Pennsylvania,11191,10709.3,11001.9,10704.0,10767.0,10693.0,10825.0,10735.0,10792.1,10651.0,11121.9,10902.0,10747.1,10830.6,10759.4,10975.7,,10687.0,10982.0,10845.0,11289.6,10732.0,10840.5,10963.7,10875.0,10788.6,10819.0,10809.3,10789.2,10824.7,10909.0,10543.0,,10903.7,11643.4,10963.0,10901.7,10764.0,10643.3,,10795.5,10823.5,10644.6,10825.0,10658.1,12097.7,10973.0,10948.5,10431.7,10801.0,-481.7,-189.1,-487.0,-424.0,-498.0,-366.0,-456.0,-398.9,-540.0,-69.1,-289.0,-443.9,-360.4,-431.6,-215.3,,-504.0,-209.0,-346.0,98.6,-459.0,-350.5,-227.3,-316.0,-402.4,-372.0,-381.7,-401.8,-366.3,-282.0,-648.0,,-287.3,452.4,-228.0,-289.3,-427.0,-547.7,,-395.5,-367.5,-546.4,-366.0,-532.9,906.7,-218.0,-242.5,-759.3,-390.0,True,False,True,False,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,False,,True,True,False,True,False,False,True,True,False,True
Rhode Island,1413,1390.6,1414.9,1397.7,1392.0,1398.0,1402.0,1393.0,1372.7,1339.0,1413.2,1396.0,1414.7,1413.0,1419.2,1411.2,,1392.0,1397.5,1402.7,1459.7,1406.0,1339.8,1411.0,1413.0,1385.5,1388.0,1400.2,1408.3,1415.6,1402.6,1374.0,,,1353.4,1396.0,1717.1,1392.0,1398.2,,1415.1,1405.9,1380.0,1401.0,,1537.6,1398.0,1377.0,1312.2,1377.0,-22.4,1.9,-15.3,-21.0,-15.0,-11.0,-20.0,-40.3,-74.0,0.2,-17.0,1.7,-0.0,6.2,-1.8,,-21.0,-15.5,-10.3,46.7,-7.0,-73.2,-2.0,0.0,-27.5,-25.0,-12.8,-4.7,2.6,-10.4,-39.0,,,-59.6,-17.0,304.1,-21.0,-14.8,,2.1,-7.1,-33.0,-12.0,,124.6,-15.0,-36.0,-100.8,-36.0,True,True,True,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,False,True,False,True,True,False,False,True,True,True,True,False,,,False,True,False,True,True,,True,True,False,True,,False,True,False,False,False
South Carolina,4517,4413.0,4452.6,4420.1,4464.0,4418.0,4463.0,4456.0,4459.3,4404.0,4504.2,4477.0,4458.9,4472.0,4462.7,4492.2,,4429.0,4517.0,4444.3,4563.1,4452.0,4468.6,4485.2,4431.0,4442.0,4502.0,4486.6,4453.1,4431.6,4526.0,4484.0,,4558.6,4979.5,4468.0,4783.9,4444.0,4466.1,,4522.6,4489.3,4438.0,4460.0,,4566.5,4467.0,4417.0,4429.8,4436.0,-104.0,-64.4,-96.9,-53.0,-99.0,-54.0,-61.0,-57.7,-113.0,-12.8,-40.0,-58.1,-45.0,-54.3,-24.8,,-88.0,0.0,-72.7,46.1,-65.0,-48.4,-31.8,-86.0,-75.0,-15.0,-30.4,-63.9,-85.4,9.0,-33.0,,41.6,462.5,-49.0,266.9,-73.0,-50.9,,5.6,-27.7,-79.0,-57.0,,49.5,-50.0,-100.0,-87.2,-81.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,False,True,True,,True,True,True,True,,True,True,True,True,True
South Dakota,1091,1049.3,1133.0,1110.4,1088.0,1107.0,1096.0,1009.0,1057.3,933.0,1120.5,1056.0,1049.4,,1130.1,1073.9,,1144.0,1101.0,1128.6,1063.3,1110.0,981.3,1091.3,1004.0,1023.3,1069.0,1132.0,1079.2,1047.0,1127.0,1108.0,,,1422.5,1111.0,794.5,1047.0,1082.9,,1127.4,1135.8,1047.0,1040.0,,1072.7,1126.0,1124.0,1005.7,1110.0,-41.7,42.0,19.4,-3.0,16.0,5.0,-82.0,-33.7,-158.0,29.5,-35.0,-41.6,,39.1,-17.1,,53.0,10.0,37.6,-27.7,19.0,-109.7,0.3,-87.0,-67.7,-22.0,41.0,-11.8,-44.0,36.0,17.0,,,331.5,20.0,-296.5,-44.0,-8.1,,36.4,44.8,-44.0,-51.0,,-18.3,35.0,33.0,-85.3,19.0,False,True,True,True,True,False,True,False,True,True,True,,True,True,,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,,,False,True,False,False,True,,True,False,False,False,,True,True,True,False,True
Tennessee,4905,4800.9,4968.6,4868.8,4868.0,4871.0,4895.0,4763.0,4857.6,4662.0,5173.4,4899.0,4788.8,4897.2,4970.7,4900.3,,4845.0,4935.0,4980.2,5224.9,4884.0,4723.1,4956.4,4863.0,4827.5,4889.0,4925.5,4850.3,4612.9,4946.0,5003.0,,4959.4,4961.3,4968.0,4540.0,4818.0,4866.6,,4984.9,4923.2,4814.1,4833.0,,4843.4,5016.0,4793.0,4629.5,4854.0,-104.1,63.6,-36.2,-37.0,-34.0,-10.0,-142.0,-47.4,-243.0,268.4,-6.0,-116.2,-7.8,65.7,-4.7,,-60.0,30.0,75.2,319.9,-21.0,-181.9,51.4,-42.0,-77.5,-16.0,20.5,-54.7,-292.1,41.0,98.0,,54.4,56.3,63.0,-365.0,-87.0,-38.4,,79.9,18.2,-90.9,-72.0,,-61.6,111.0,-112.0,-275.5,-51.0,True,True,True,True,True,False,True,False,False,True,False,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,False,True,True,,True,True,True,True,,True,False,False,False,True
Texas,23110,22554.4,23001.2,22686.1,22748.0,22673.0,22696.0,22339.0,22676.0,22140.0,23480.4,22437.0,22465.4,22932.7,22708.4,22847.5,,22663.0,23156.0,22871.2,23016.6,22809.0,22429.9,22958.3,22639.0,22660.3,22819.0,22670.0,22709.9,22422.5,23138.0,22311.0,,22887.0,24222.5,23006.0,22443.5,22403.0,22598.5,,22876.1,22673.2,22549.9,22678.0,,23230.6,22838.0,22602.5,22286.5,22256.0,-456.6,-9.8,-324.9,-263.0,-338.0,-315.0,-672.0,-335.0,-871.0,469.4,-574.0,-545.6,-78.3,-302.6,-163.5,,-348.0,145.0,-139.8,5.6,-202.0,-581.1,-52.7,-372.0,-350.7,-192.0,-341.0,-301.1,-588.5,127.0,-700.0,,-124.0,1211.5,-5.0,-567.5,-608.0,-412.5,,-134.9,-337.8,-461.1,-333.0,,219.6,-173.0,-408.5,-724.5,-755.0,True,True,True,True,True,False,True,False,False,False,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,,True,False,True,False,False,True,,True,True,False,True,,True,True,True,False,False
Utah,939,932.3,1065.0,937.8,942.0,939.0,939.0,912.0,972.2,883.0,1008.3,937.0,925.1,938.1,909.6,717.0,,931.0,976.0,956.6,938.3,951.0,762.8,951.2,930.0,947.3,970.0,947.3,961.2,937.5,963.0,951.0,,,1050.0,958.0,880.2,920.0,934.9,,1057.4,953.0,916.1,935.0,,990.1,965.0,919.0,676.7,927.0,-6.7,126.0,-1.2,3.0,0.0,0.0,-27.0,33.2,-56.0,69.3,-2.0,-13.9,-0.9,-29.4,-222.0,,-8.0,37.0,17.6,-0.7,12.0,-176.2,12.2,-9.0,8.3,31.0,8.3,22.2,-1.5,24.0,12.0,,,111.0,19.0,-58.8,-19.0,-4.1,,118.4,14.0,-22.9,-4.0,,51.1,26.0,-20.0,-262.3,-12.0,False,True,True,True,True,False,False,False,False,True,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False,True,,False,False,False,True,,False,False,False,False,False
Vermont,79,70.4,74.8,70.6,72.0,71.0,71.0,69.0,73.5,70.0,57.9,71.0,69.1,71.8,67.0,71.8,,70.0,71.0,69.6,71.2,73.0,78.9,71.4,69.0,67.6,80.0,69.1,72.9,71.0,70.4,67.0,,,79.0,72.0,64.8,70.0,68.0,,72.0,75.4,71.4,70.0,,86.0,73.0,76.0,67.4,,-8.6,-4.2,-8.4,-7.0,-8.0,-8.0,-10.0,-5.5,-9.0,-21.1,-8.0,-9.9,-7.2,-12.0,-7.2,,-9.0,-8.0,-9.4,-7.8,-6.0,-0.1,-7.6,-10.0,-11.4,1.0,-9.9,-6.1,-8.0,-8.6,-12.0,,,-0.0,-7.0,-14.2,-9.0,-11.0,,-7.0,-3.6,-7.6,-9.0,,7.0,-6.0,-3.0,-11.6,,True,True,True,True,True,False,True,False,False,True,False,True,False,True,,False,True,False,True,True,True,True,False,False,True,False,True,True,False,False,,,True,True,False,False,False,,True,True,True,False,,True,True,True,False,
Virginia,4197,4160.9,4247.0,4178.4,4192.0,4170.0,4182.0,4152.0,4203.6,4127.0,4176.1,4150.0,4165.7,4191.3,4186.0,4216.2,,4165.0,4239.0,4196.3,4245.8,4204.0,4233.5,4218.1,4219.5,4196.9,4215.0,4174.5,4201.3,4146.4,4254.0,4165.0,,4214.2,4358.0,4162.0,3960.2,4170.0,4158.5,,4242.4,4178.9,4181.5,4198.0,,4288.2,4198.0,4149.0,4130.4,4177.0,-36.1,50.0,-18.6,-5.0,-27.0,-15.0,-45.0,6.6,-70.0,-20.9,-47.0,-31.3,-5.7,-11.0,19.2,,-32.0,42.0,-0.7,48.8,7.0,36.5,21.1,22.5,-0.1,18.0,-22.5,4.3,-50.6,57.0,-32.0,,17.2,161.0,-35.0,-236.8,-27.0,-38.5,,45.4,-18.1,-15.5,1.0,,91.2,1.0,-48.0,-66.6,-20.0,False,True,True,True,True,False,True,False,True,False,True,True,True,True,,True,False,True,False,True,False,True,True,True,True,True,True,False,False,True,,True,False,True,False,True,False,,False,True,True,True,,False,True,False,False,True
Washington,2867,2775.0,2839.1,2784.5,2792.0,2787.0,2825.0,2934.0,2831.6,2773.0,2958.4,2874.0,2775.8,2830.6,2820.4,2839.2,,2757.0,2878.0,2829.2,2948.8,2814.0,2895.9,2892.4,2824.0,2798.5,2849.0,2820.0,2820.1,2833.6,2815.6,2761.0,,2825.1,2758.0,2958.0,3100.1,2802.0,2807.5,,2865.3,2819.3,2818.9,2826.0,,3021.0,2792.0,2800.0,2744.8,2843.0,-64.0,0.1,-54.5,-47.0,-52.0,-14.0,95.0,-7.4,-66.0,119.4,35.0,-63.2,-8.4,-18.6,0.2,,-82.0,39.0,-9.8,109.8,-25.0,56.9,53.4,-15.0,-40.5,10.0,-19.0,-18.9,-5.4,-23.4,-78.0,,-13.9,-81.0,119.0,261.1,-37.0,-31.5,,26.3,-19.7,-20.1,-13.0,,182.0,-47.0,-39.0,-94.2,4.0,True,True,True,True,True,False,True,False,False,True,True,True,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,False,False,False,True,True,,True,True,True,True,,False,True,True,False,True
West Virginia,829,786.4,803.2,777.3,793.0,778.0,806.0,779.0,803.6,769.0,955.4,819.0,800.1,799.2,803.1,823.7,,770.0,835.0,822.7,875.0,796.0,815.6,833.0,809.0,792.1,845.0,804.6,805.6,772.0,833.0,800.0,,,938.7,837.0,915.7,797.0,775.4,,829.9,809.9,786.0,793.0,,828.9,806.0,805.0,759.5,810.0,-42.6,-25.8,-51.7,-36.0,-51.0,-23.0,-50.0,-25.4,-60.0,126.4,-10.0,-28.9,-29.8,-25.9,-5.3,,-59.0,6.0,-6.3,46.0,-33.0,-13.4,4.0,-20.0,-36.9,16.0,-24.4,-23.4,-57.0,4.0,-29.0,,,109.7,8.0,86.7,-32.0,-53.6,,0.9,-19.1,-43.0,-36.0,,-0.1,-23.0,-24.0,-69.5,-19.0,True,False,True,False,True,False,True,False,False,True,True,True,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,,,False,True,False,True,False,,True,True,False,True,,True,True,True,False,True
Wisconsin,3934,3775.9,4004.8,3796.3,3818.0,3785.0,3795.0,3737.0,3836.0,3481.0,3663.2,3718.0,3711.8,3794.7,3701.8,3800.6,,3819.0,3894.0,3879.3,3732.6,3840.0,3782.5,3796.7,3864.0,3797.0,3903.0,3806.5,3833.5,3819.8,3964.0,3763.5,,3788.7,4918.6,3899.0,3813.2,3711.0,3748.7,,4071.0,3804.8,3748.0,3732.0,3736.1,4206.4,3883.0,3787.0,3631.6,3622.0,-158.1,70.8,-137.7,-116.0,-149.0,-139.0,-197.0,-98.0,-453.0,-270.8,-216.0,-222.2,-139.3,-232.2,-133.4,,-115.0,-40.0,-54.7,-201.4,-94.0,-151.5,-137.3,-70.0,-137.0,-31.0,-127.5,-100.5,-114.2,30.0,-170.5,,-145.3,984.6,-35.0,-120.8,-223.0,-185.3,,137.0,-129.2,-186.0,-202.0,-197.9,272.4,-51.0,-147.0,-302.4,-312.0,True,True,True,True,True,False,True,False,False,False,False,True,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,True,False,False,,True,True,False,False,False,False,True,True,False,False
Wyoming,266,248.4,264.7,254.1,254.0,254.0,259.0,267.0,254.5,229.0,316.9,254.0,244.2,257.8,271.4,258.7,,228.0,270.0,235.6,285.5,261.0,247.4,260.0,241.0,234.1,277.0,262.9,264.0,249.4,265.0,259.0,,,254.9,294.0,247.0,241.0,235.6,,279.5,268.3,253.3,245.0,,267.1,272.0,258.0,232.2,259.0,-17.6,-1.3,-11.9,-12.0,-12.0,-7.0,1.0,-11.5,-37.0,50.9,-12.0,-21.8,-8.2,5.4,-7.3,,-38.0,4.0,-30.4,19.5,-5.0,-18.6,-6.0,-25.0,-31.9,11.0,-3.1,-2.0,-16.6,-1.0,-7.0,,,-11.1,28.0,-19.0,-25.0,-30.4,,13.5,2.3,-12.7,-21.0,,1.1,6.0,-8.0,-33.8,-7.0,True,True,True,True,True,True,True,False,False,True,False,True,True,True,,False,True,False,False,True,False,True,False,False,True,True,True,True,True,True,,,True,False,False,False,False,,True,True,True,False,,True,True,True,False,True
US,281222,275450.4,280501.6,276266.3,,276148.0,277354.0,275673.0,277595.4,281910.0,283553.8,277240.0,275734.8,278729.7,278708.3,,282250.0,275285.0,278149.0,278453.2,279432.4,277478.0,274364.9,279276.3,276394.5,277241.2,279211.0,277612.9,277299.4,274606.0,279429.7,274860.5,280861.6,278116.0,272219.3,285474.0,283717.7,275482.0,275708.2,276930.0,,277907.9,275320.1,277544.0,277677.8,295705.8,278817.0,275705.0,271375.0,275867.0,-5632.6,-581.4,-4816.7,,-4935.0,-3729.0,-5410.0,-3487.6,827.0,2470.8,-3843.0,-5348.2,-2353.3,-2374.7,,1167.0,-5798.0,-2934.0,-2629.8,-1650.6,-3605.0,-6718.1,-1806.7,-4688.5,-3841.8,-1872.0,-3470.1,-3783.6,-6477.0,-1653.3,-6222.5,-221.4,-2967.0,-8863.7,4391.0,2634.7,-5601.0,-5374.8,-4153.0,,-3175.1,-5762.9,-3539.0,-3405.2,14622.8,-2266.0,-5378.0,-9708.0,-5216.0,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,,True,False,True,True,False,True,True,False,True
