,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9793,8816.4,9041.7,8834.7,9880.0,9273.6,8640.0,,9073.0,8959.5,8931.8,8570.8,9275.6,8560.0,,8621.8,9241.0,,,8771.0,,9145.0,8504.5,-976.6,-751.3,-958.3,87.0,-519.4,-1153.0,,-720.0,-833.5,-861.2,-1222.2,-517.4,-1233.0,,-1171.2,-552.0,,,-1022.0,,-648.0,-1288.5,True,True,True,True,False,,True,True,True,False,True,False,,False,True,,,False,,True,False
Hawaii,261,253.0,490.8,254.7,,324.4,275.0,,,333.4,294.7,338.9,288.3,260.0,,588.8,307.0,,,236.9,,243.0,254.9,-8.0,229.8,-6.3,,63.4,14.0,,,72.4,33.7,77.9,27.3,-1.0,,327.8,46.0,,,-24.1,,-18.0,-6.1,False,True,,False,False,,,False,False,False,False,True,,False,False,,,False,,False,True
Idaho,1032,906.9,1349.3,913.9,951.0,913.6,776.0,,877.0,964.4,848.3,767.3,1096.1,1090.0,,951.4,1001.0,,,869.6,,872.0,718.4,-125.1,317.3,-118.1,-81.0,-118.4,-256.0,,-155.0,-67.6,-183.7,-264.7,64.1,58.0,,-80.6,-31.0,,,-162.4,,-160.0,-313.6,False,True,True,True,False,,False,True,False,False,True,True,,True,True,,,False,,False,False
Illinois,14017,11532.1,12951.7,11208.0,16541.0,13493.0,11779.0,,11432.0,12174.1,12330.2,11141.5,13887.5,12441.5,12556.0,11203.2,11001.0,,,10780.6,,12057.0,10412.5,-2484.9,-1065.3,-2809.0,2524.0,-524.0,-2238.0,,-2585.0,-1842.9,-1686.8,-2875.5,-129.5,-1575.5,-1461.0,-2813.8,-3016.0,,,-3236.4,,-1960.0,-3604.5,True,False,False,True,True,,False,True,True,False,True,True,True,False,False,,,False,,True,False
Indiana,6899,5500.6,6019.6,5402.2,6914.0,6338.4,7037.0,,5316.0,5946.7,5810.3,5001.5,6830.6,6059.0,5348.5,5797.8,5033.0,,,5069.9,,6183.0,4443.6,-1218.4,-699.4,-1316.8,195.0,-380.6,318.0,,-1403.0,-772.3,-908.7,-1717.5,111.6,-660.0,-1370.5,-921.2,-1686.0,,,-1649.1,,-536.0,-2275.4,True,False,True,True,True,,False,True,True,False,True,True,False,True,False,,,False,,True,False
Iowa,2682,2209.0,2547.9,2126.1,2920.0,2489.3,2188.0,,2204.0,2379.9,2410.3,1988.1,2296.8,2616.0,,2255.4,2144.0,,,1986.6,,2566.0,1924.7,-473.0,-134.1,-555.9,238.0,-192.7,-494.0,,-478.0,-302.1,-271.7,-693.9,-385.2,-66.0,,-426.6,-538.0,,,-695.4,,-116.0,-757.3,True,False,True,True,False,,False,True,True,False,True,True,,True,False,,,False,,True,False
Kansas,1786,1360.1,1714.4,1370.0,1873.0,1833.8,1377.0,,1465.0,1642.3,1707.1,1267.0,1503.4,1662.0,,1298.9,1738.0,,,1234.9,,1437.0,1202.2,-421.9,-67.6,-412.0,91.0,51.8,-405.0,,-317.0,-139.7,-74.9,-515.0,-278.6,-120.0,,-483.1,-44.0,,,-547.1,,-345.0,-579.8,True,True,True,True,True,,True,True,True,False,True,True,,False,True,,,False,,True,False
Kentucky,2062,1887.3,2290.3,1890.1,2326.0,2124.3,1945.0,,1997.0,2078.6,2133.2,1859.0,2159.6,2228.0,2448.0,1688.0,1847.0,,,1859.0,,2219.0,1663.2,-174.7,228.3,-171.9,264.0,62.3,-117.0,,-65.0,16.6,71.2,-203.0,97.6,166.0,386.0,-374.0,-215.0,,,-203.0,,157.0,-398.8,False,True,False,True,True,,True,True,True,False,True,True,False,False,False,,,False,,True,False
Louisiana,6548,6358.3,6359.3,6415.1,6708.0,6431.2,6100.0,,6330.0,6425.7,6210.2,6193.1,6411.2,6380.0,,6293.2,6121.0,,,6535.3,,6298.0,6078.7,-189.7,-188.7,-132.9,160.0,-116.8,-448.0,,-218.0,-122.3,-337.8,-354.9,-136.8,-168.0,,-254.8,-427.0,,,-12.7,,-250.0,-469.3,True,True,True,True,False,,False,True,False,False,True,True,,False,False,,,True,,False,False
Maine,227,151.9,148.8,154.0,166.0,158.7,159.0,,187.0,152.4,207.8,172.1,155.6,153.0,,152.3,156.0,,,151.4,,157.0,153.8,-75.1,-78.2,-73.0,-61.0,-68.3,-68.0,,-40.0,-74.6,-19.2,-54.9,-71.4,-74.0,,-74.7,-71.0,,,-75.6,,-70.0,-73.2,False,True,True,True,True,,True,True,True,True,True,True,,True,True,,,False,,True,True
Maryland,4820,4424.0,4479.4,4430.0,4641.0,4432.5,4235.0,,4333.0,4457.0,4403.2,4512.6,4558.8,4562.0,,4494.6,4318.0,,13277.0,4387.9,,4554.0,4316.6,-396.0,-340.6,-390.0,-179.0,-387.5,-585.0,,-487.0,-363.0,-416.8,-307.4,-261.2,-258.0,,-325.4,-502.0,,8457.0,-432.1,,-266.0,-503.4,True,True,True,True,False,,False,True,False,True,True,True,,True,False,,False,False,,True,False
Massachusetts,10953,10736.7,10808.9,10764.3,11776.0,11049.8,10861.0,,10569.0,11011.9,10965.5,10385.7,11755.4,10939.0,,10819.1,10424.5,,,10538.3,,11369.0,10227.1,-216.3,-144.1,-188.7,823.0,96.8,-92.0,,-384.0,58.9,12.5,-567.3,802.4,-14.0,,-133.9,-528.5,,,-414.7,,416.0,-725.9,True,True,False,True,True,,False,True,True,False,False,True,,True,False,,,False,,False,False
Michigan,10321,8558.7,9720.5,8587.2,12682.0,9855.9,8874.0,,8728.0,9300.9,9515.7,8545.5,10608.4,9695.0,9300.0,7888.0,8245.5,,,8224.2,,9532.0,7909.1,-1762.3,-600.5,-1733.8,2361.0,-465.1,-1447.0,,-1593.0,-1020.1,-805.3,-1775.5,287.4,-626.0,-1021.0,-2433.0,-2075.5,,,-2096.8,,-789.0,-2411.9,True,True,False,True,True,,True,True,True,False,True,True,True,False,False,,,False,,True,False
Minnesota,3979,3145.9,3432.4,3161.3,3665.0,3453.6,3615.0,,3275.0,3402.8,3111.4,2919.0,3749.4,3630.0,3087.0,3495.3,3007.0,,,3051.9,,3421.0,2691.3,-833.1,-546.6,-817.7,-314.0,-525.4,-364.0,,-704.0,-576.2,-867.6,-1060.0,-229.6,-349.0,-892.0,-483.7,-972.0,,,-927.1,,-558.0,-1287.7,True,True,True,True,True,,True,True,False,False,True,True,False,True,False,,,False,,True,False
Mississippi,3949,3799.7,3805.7,3729.0,3833.0,3854.3,3594.0,,3693.0,3731.6,3724.2,3538.8,3906.7,3709.0,,3804.3,3780.0,,,3770.1,,3769.0,3635.6,-149.3,-143.3,-220.0,-116.0,-94.7,-355.0,,-256.0,-217.4,-224.8,-410.2,-42.3,-240.0,,-144.7,-169.0,,,-178.9,,-180.0,-313.4,True,False,True,True,False,,False,False,False,False,True,False,,True,False,,,False,,False,False
Missouri,4305,4096.9,4279.5,4181.8,4789.0,4532.2,3822.0,,3898.0,4648.0,3836.5,3542.0,4812.0,4317.0,,4987.8,4483.0,,,3757.4,,4585.0,3229.6,-190.1,-7.5,-105.2,502.0,245.2,-465.0,,-389.0,361.0,-450.5,-745.0,525.0,30.0,,700.8,196.0,,,-529.6,,298.0,-1057.4,True,True,False,False,False,,False,False,False,False,False,True,,False,False,,,False,,False,False
Montana,734,759.7,764.7,780.0,745.0,850.4,664.0,,790.0,870.9,803.3,453.5,894.2,892.0,,563.9,984.0,,,705.4,,833.0,484.2,25.7,30.7,46.0,11.0,116.4,-70.0,,56.0,136.9,69.3,-280.5,160.2,158.0,,-170.1,250.0,,,-28.6,,99.0,-249.8,False,False,True,False,False,,False,False,False,False,False,False,,False,False,,,False,,False,False
Nebraska,1194,935.7,1316.4,937.1,1051.0,1025.7,961.0,,937.0,1049.4,937.0,846.8,1131.9,1603.0,,953.5,910.0,,,844.6,,985.0,738.9,-258.3,122.4,-256.9,-143.0,-168.3,-233.0,,-257.0,-144.6,-257.0,-347.2,-62.1,409.0,,-240.5,-284.0,,,-349.4,,-209.0,-455.1,True,True,True,True,True,,True,True,True,False,True,False,,True,False,,,False,,True,False
Nevada,2301,1937.3,1888.7,1942.9,2017.0,2094.0,1912.0,,1946.0,2006.7,1995.5,1976.3,2011.0,1913.0,,2062.2,1982.5,,,2055.4,,1994.0,1928.2,-359.7,-408.3,-354.1,-280.0,-203.0,-385.0,,-351.0,-290.3,-301.5,-320.7,-286.0,-384.0,,-234.8,-314.5,,,-241.6,,-303.0,-368.8,False,True,True,True,False,,True,True,True,True,True,False,,True,True,,,True,,True,False
New Hampshire,559,531.6,493.0,533.6,566.0,608.1,564.0,,560.0,565.1,550.4,525.4,588.2,512.0,,510.8,553.0,,,524.8,,563.0,499.6,-27.4,-66.0,-25.4,7.0,49.1,5.0,,1.0,6.1,-8.6,-33.6,29.2,-47.0,,-48.2,-6.0,,,-34.2,,4.0,-59.4,False,True,True,False,True,,True,True,True,False,False,False,,False,True,,,False,,True,False
New Jersey,17306,16689.1,17074.7,16819.6,17272.0,16857.7,17258.0,,16682.0,16797.9,17324.5,16856.1,17136.2,16997.0,,16864.6,16376.0,,,16575.0,,16986.0,16490.3,-616.9,-231.3,-486.4,-34.0,-448.3,-48.0,,-624.0,-508.1,18.5,-449.9,-169.8,-309.0,,-441.4,-930.0,,,-731.0,,-320.0,-815.7,True,True,True,True,True,,False,True,True,True,True,True,,True,False,,,False,,True,False
New Mexico,1738,1312.6,1353.2,1283.0,1404.0,1461.3,1157.0,,1243.0,1383.4,1335.0,1167.3,1650.7,1426.0,,1351.4,1425.0,,,1238.3,,1329.0,1110.4,-425.4,-384.8,-455.0,-334.0,-276.7,-581.0,,-495.0,-354.6,-403.0,-570.7,-87.3,-312.0,,-386.6,-313.0,,,-499.7,,-409.0,-627.6,True,False,True,True,False,,False,True,True,False,True,True,,True,True,,,False,,True,False
New York,34939,34083.9,33795.3,34208.3,33882.0,34268.9,34253.0,,34051.0,33971.5,34581.2,34225.8,34247.0,33955.0,,33912.6,33767.0,,,33683.9,,34142.0,33547.2,-638.1,-926.7,-513.7,-840.0,-453.1,-469.0,,-671.0,-750.5,-140.8,-496.2,-475.0,-767.0,,-809.4,-955.0,,,-1038.1,,-580.0,-1174.8,False,True,False,True,True,,False,False,True,True,True,False,,False,False,,,False,,True,False
North Carolina,5516,5480.7,6297.6,5548.4,5722.0,5654.4,5149.0,,5400.0,5700.4,5241.3,5188.2,5958.1,6081.5,,4986.1,5376.0,,,5396.5,,5769.0,4894.1,-35.3,781.6,32.4,206.0,138.4,-367.0,,-116.0,184.4,-274.7,-327.8,442.1,565.5,,-529.9,-140.0,,,-119.5,,253.0,-621.9,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,,False,,False,False
North Dakota,1013,895.3,740.9,904.0,1288.0,1161.2,747.0,,905.0,1183.7,982.2,590.5,1256.3,917.0,,1197.6,809.0,,,723.2,,1066.0,670.3,-117.7,-272.1,-109.0,275.0,148.2,-266.0,,-108.0,170.7,-30.8,-422.5,243.3,-96.0,,184.6,-204.0,,,-289.8,,53.0,-342.7,False,True,False,False,False,,True,False,True,False,False,True,,False,False,,,False,,True,False
Ohio,8817,5774.1,9078.8,5779.3,6707.0,6078.1,6011.0,,6269.0,5836.5,6270.2,6269.5,6657.1,6326.0,7863.0,5700.6,5937.0,,,5697.2,,6051.0,5707.6,-3022.9,281.8,-3017.7,-2090.0,-2718.9,-2786.0,,-2528.0,-2960.5,-2526.8,-2527.5,-2139.9,-2471.0,-934.0,-3096.4,-2860.0,,,-3099.8,,-2746.0,-3089.4,True,True,True,True,True,,True,True,True,True,True,True,True,False,True,,,False,,True,False
Oklahoma,1874,1811.3,1998.3,1796.8,1838.0,1789.7,1752.0,,1832.0,1778.3,1665.3,1606.9,1829.9,2000.0,,1646.4,1821.0,,,1718.3,,1751.0,1518.7,-62.7,124.3,-77.2,-36.0,-84.3,-122.0,,-42.0,-95.7,-208.7,-267.1,-44.1,126.0,,-227.6,-53.0,,,-155.7,,-123.0,-355.3,False,False,True,False,False,,True,False,False,False,True,False,,False,True,,,False,,False,False
Oregon,1027,875.6,934.2,869.0,855.0,880.6,807.0,,840.0,849.4,853.4,916.6,928.0,1075.0,,736.7,828.0,,,809.5,,945.0,766.7,-151.4,-92.8,-158.0,-172.0,-146.4,-220.0,,-187.0,-177.6,-173.6,-110.4,-99.0,48.0,,-290.3,-199.0,,,-217.5,,-82.0,-260.3,True,False,False,True,False,,False,False,False,True,True,True,,False,False,,,False,,True,False
Pennsylvania,11191,9560.7,10136.6,9623.9,10893.0,10292.2,9691.0,,9769.0,10105.9,10099.6,9707.5,10560.5,9912.5,,10277.7,9659.0,,,9358.0,,10103.0,9221.1,-1630.3,-1054.4,-1567.1,-298.0,-898.8,-1500.0,,-1422.0,-1085.1,-1091.4,-1483.5,-630.5,-1278.5,,-913.3,-1532.0,,,-1833.0,,-1088.0,-1969.9,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,False,,True,False
Rhode Island,1482,1317.6,1383.6,1328.1,1817.0,1582.5,1390.0,,1335.0,1430.5,1425.5,1299.2,1558.3,1592.0,,1425.1,1302.0,,,1269.0,,1350.0,1209.2,-145.4,-79.4,-134.9,354.0,119.5,-73.0,,-128.0,-32.5,-37.5,-163.8,95.3,129.0,,-37.9,-161.0,,,-194.0,,-113.0,-253.8,True,True,False,True,True,,True,True,True,False,True,True,,True,False,,,False,,True,False
South Carolina,4517,4586.9,5677.2,4645.0,5409.0,4618.2,4296.0,,4578.0,4444.3,4521.7,4226.1,4581.6,5228.0,,4245.0,4299.0,,,4488.9,,4725.0,4310.3,69.9,1160.2,128.0,892.0,101.2,-221.0,,61.0,-72.7,4.7,-290.9,64.6,711.0,,-272.0,-218.0,,,-28.1,,208.0,-206.7,False,False,False,False,False,,True,False,True,False,True,False,,False,False,,,True,,False,False
South Dakota,1091,738.1,847.1,719.9,1039.0,884.4,734.0,,721.0,872.0,833.3,467.7,987.7,884.0,,1042.0,949.0,,,579.9,,788.0,528.4,-352.9,-243.9,-371.1,-52.0,-206.6,-357.0,,-370.0,-219.0,-257.7,-623.3,-103.3,-207.0,,-49.0,-142.0,,,-511.1,,-303.0,-562.6,True,False,True,True,False,,False,True,True,False,True,True,,True,True,,,False,,True,False
Tennessee,4905,4431.3,5194.7,4617.9,5840.0,4943.9,4115.0,,4285.0,4880.1,4398.6,4022.7,5124.5,4455.0,,3985.5,4478.0,,,4672.5,,4598.0,3782.9,-473.7,289.7,-287.1,935.0,38.9,-790.0,,-620.0,-24.9,-506.4,-882.3,219.5,-450.0,,-919.5,-427.0,,,-232.5,,-307.0,-1122.1,True,True,False,True,False,,False,True,False,False,True,True,,False,True,,,True,,True,False
Texas,23353,21158.9,21198.6,21214.2,23798.0,21348.4,20064.0,,21332.0,21607.1,21754.0,20294.8,22559.5,21438.0,,21655.1,23590.5,,29674.0,21219.5,,22684.0,20208.3,-1856.1,-1816.4,-1800.8,783.0,-1666.6,-2951.0,,-1683.0,-1407.9,-1261.0,-2720.2,-455.5,-1577.0,,-1359.9,575.5,,6659.0,-1795.5,,-331.0,-2806.7,True,True,True,True,False,,True,True,True,False,True,True,,True,True,,False,True,,True,False
Utah,939,818.0,782.0,784.0,731.0,1031.2,714.0,,839.0,855.2,605.7,756.1,837.5,760.0,,843.3,877.0,,,801.6,,805.0,531.2,-121.0,-157.0,-155.0,-208.0,92.2,-225.0,,-100.0,-83.8,-333.3,-182.9,-101.5,-179.0,,-95.7,-62.0,,,-137.4,,-134.0,-407.8,False,False,False,True,False,,True,True,False,False,True,False,,True,True,,,False,,False,False
Vermont,79,58.0,58.3,60.0,58.0,58.6,61.0,,59.0,58.0,59.7,70.7,61.7,59.0,,63.2,58.0,,,58.6,,58.0,57.9,-21.0,-20.7,-19.0,-21.0,-20.4,-18.0,,-20.0,-21.0,-19.3,-8.3,-17.3,-20.0,,-15.8,-21.0,,,-20.4,,-21.0,-21.1,True,True,False,True,True,,True,False,True,True,True,True,,True,False,,,True,,False,False
Virginia,4197,4024.1,5370.8,4037.5,4336.0,4132.2,3820.0,,4262.0,4075.4,4306.5,4212.6,4308.6,4201.5,,4005.6,4330.0,,,3853.5,,4339.0,3981.5,-172.9,1173.8,-159.5,139.0,-64.8,-377.0,,65.0,-121.6,109.5,15.6,111.6,4.5,,-191.4,133.0,,,-343.5,,142.0,-215.5,False,True,True,True,False,,True,True,True,True,True,True,,False,True,,,False,,True,False
Washington,2867,2706.0,2840.9,2716.2,2765.0,2738.6,2571.0,,2724.0,2801.8,2677.8,2722.0,2787.2,2798.0,,2574.3,2854.0,,,2738.5,,2743.0,2534.8,-174.0,-39.1,-163.8,-115.0,-141.4,-309.0,,-156.0,-78.2,-202.2,-158.0,-92.8,-82.0,,-305.7,-26.0,,,-141.5,,-137.0,-345.2,True,True,True,True,False,,True,True,False,True,True,True,,False,True,,,True,,True,False
West Virginia,829,630.0,783.6,633.8,829.0,579.1,636.0,,630.0,632.4,722.7,605.4,702.0,717.0,,599.4,567.0,,,629.8,,730.0,525.0,-199.0,-45.4,-195.2,0.0,-249.9,-193.0,,-199.0,-196.6,-106.3,-223.6,-127.0,-112.0,,-229.6,-262.0,,,-199.2,,-99.0,-304.0,True,True,True,False,True,,False,True,True,False,True,True,,False,False,,,False,,True,False
Wisconsin,3934,3353.6,4240.8,3336.3,4425.0,3424.9,2745.0,,3060.0,3701.4,3378.6,2723.5,4161.2,4924.5,2830.0,2842.5,3448.0,,,3172.0,,3686.0,2329.8,-264.4,622.8,-281.7,807.0,-193.1,-873.0,,-558.0,83.4,-239.4,-894.5,543.2,1306.5,-788.0,-775.5,-170.0,,,-446.0,,68.0,-1288.2,False,False,False,True,False,,False,True,True,False,False,False,False,False,True,,,False,,True,False
Wyoming,266,179.3,357.2,182.0,328.0,186.0,140.0,,183.0,206.2,229.5,126.2,244.1,128.0,,109.1,213.5,,,119.7,,226.0,91.0,-86.7,91.2,-84.0,62.0,-80.0,-126.0,,-83.0,-59.8,-36.5,-139.8,-21.9,-138.0,,-156.9,-52.5,,,-146.3,,-40.0,-175.0,False,True,True,True,False,,True,True,True,False,True,False,,False,True,,,False,,True,False
US,284200,258981.9,271704.1,258804.0,272429.0,274722.5,258348.0,268206.0,259102.0,268317.3,265681.6,252329.8,278982.9,265344.5,,257690.0,261845.0,270677.8,256655.0,257517.0,263998.0,271671.5,247952.0,-24086.1,-11363.9,-24264.0,-10639.0,-8345.5,-24720.0,-14862.0,-23966.0,-14750.7,-17386.4,-30738.2,-4085.1,-17723.5,,-25378.0,-21223.0,-12390.2,-26413.0,-25551.0,-19070.0,-11396.5,-35116.0,True,False,True,True,False,True,True,True,True,False,True,True,,False,True,True,False,False,True,True,False
