,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9793,8810.6,9138.3,9012.8,10689.0,9149.4,8629.0,,9509.0,8922.0,8945.9,9120.2,8619.0,8639.8,,8510.2,8049.0,,,8909.7,9059.8,9465.0,8485.4,-982.4,-654.7,-780.2,896.0,-643.6,-1164.0,,-284.0,-871.0,-847.1,-672.8,-1174.0,-1153.2,,-1282.8,-1744.0,,,-883.3,-733.2,-328.0,-1307.6,True,True,True,True,False,,True,True,True,True,False,False,,False,False,,,True,True,True,False
Hawaii,261,358.4,568.6,368.0,336.0,320.3,280.0,,303.7,,335.4,281.9,388.7,274.1,,628.4,331.0,,,251.9,244.8,318.0,259.6,97.4,307.6,107.0,75.0,59.3,19.0,,42.7,,74.4,20.9,127.7,13.1,,367.4,70.0,,,-9.1,-16.2,57.0,-1.4,False,False,True,True,True,,True,,True,True,False,True,,False,True,,,True,True,True,True
Idaho,1032,836.6,1458.0,830.3,853.0,814.3,694.0,,678.2,771.0,898.3,869.8,741.3,690.8,,888.0,1348.0,,,758.0,940.6,931.0,656.1,-195.4,426.0,-201.7,-179.0,-217.7,-338.0,,-353.8,-261.0,-133.7,-162.2,-290.7,-341.2,,-144.0,316.0,,,-274.0,-91.4,-101.0,-375.9,False,False,True,False,False,,False,False,True,True,False,False,,True,False,,,False,True,True,False
Illinois,14016,11538.0,13286.6,11546.9,21121.0,12458.3,11756.0,,12224.3,11103.0,12381.2,12931.0,11168.5,10871.6,12172.5,10817.9,11578.0,,,10838.7,16069.3,12517.0,10198.3,-2478.0,-729.4,-2469.1,7105.0,-1557.7,-2260.0,,-1791.7,-2913.0,-1634.8,-1085.0,-2847.5,-3144.4,-1843.5,-3198.1,-2438.0,,,-3177.3,2053.3,-1499.0,-3817.7,True,True,False,True,True,,True,False,True,True,False,False,True,False,True,,,False,True,True,False
Indiana,6207,5260.4,6231.9,5317.1,8665.0,5937.5,5153.0,,5925.4,5088.0,5897.7,5733.8,4842.9,4894.6,6251.0,5609.0,4773.5,,,4781.8,7575.6,6229.0,4235.7,-946.6,24.9,-889.9,2458.0,-269.5,-1054.0,,-281.6,-1119.0,-309.3,-473.2,-1364.1,-1312.4,44.0,-598.0,-1433.5,,,-1425.2,1368.6,22.0,-1971.3,True,True,False,True,False,,True,False,True,True,False,False,True,True,False,,,False,False,True,False
Iowa,2682,2238.3,2684.1,2269.6,2642.0,2287.0,2047.0,,2336.1,2062.0,2383.5,2365.8,1960.8,2031.6,,2180.5,2141.0,,,2078.2,2539.6,2331.0,1842.4,-443.7,2.1,-412.4,-40.0,-395.0,-635.0,,-345.9,-620.0,-298.5,-316.2,-721.2,-650.4,,-501.5,-541.0,,,-603.8,-142.4,-351.0,-839.6,True,True,True,True,False,,True,False,True,True,False,False,,False,False,,,False,True,True,False
Kansas,1786,1524.1,1879.9,1538.1,2576.0,1583.1,1322.0,,1977.2,1352.0,1741.1,1970.4,1276.0,1215.6,,1464.8,1858.0,,,1312.7,1242.2,1566.0,1152.0,-242.9,112.9,-228.9,809.0,-183.9,-445.0,,210.2,-415.0,-25.9,203.4,-491.0,-551.4,,-302.2,91.0,,,-454.3,-524.8,-201.0,-615.0,True,True,False,True,False,,True,False,True,True,False,False,,False,True,,,False,False,True,False
Kentucky,2062,1928.3,2439.1,1955.9,2006.0,1952.3,1876.0,,1922.3,1900.0,2022.8,2007.7,1843.6,1756.1,2182.0,1633.6,1818.0,,,1874.5,2623.8,2181.0,1594.4,-133.7,377.1,-106.1,-56.0,-109.7,-186.0,,-139.7,-162.0,-39.2,-54.3,-218.4,-305.9,120.0,-428.4,-244.0,,,-187.5,561.8,119.0,-467.6,False,True,True,True,False,,False,False,True,True,False,False,True,False,False,,,False,False,True,False
Louisiana,6548,6346.6,6336.3,6381.5,6604.0,6380.5,6047.0,,6575.7,6306.0,6314.1,6411.9,6182.0,6193.3,,6260.9,6488.0,,,6525.2,6577.4,6283.0,6066.6,-201.4,-211.7,-166.5,56.0,-167.5,-501.0,,27.7,-242.0,-233.9,-136.1,-366.0,-354.7,,-287.1,-60.0,,,-22.8,29.4,-265.0,-481.4,False,True,True,True,False,,True,False,False,True,False,False,,False,True,,,True,True,False,False
Maine,227,146.0,149.1,151.0,157.0,156.1,158.0,,158.1,165.0,153.0,202.3,179.2,157.4,,150.3,154.0,,,147.8,211.0,157.0,154.3,-81.0,-77.9,-76.0,-70.0,-70.9,-69.0,,-68.9,-62.0,-74.0,-24.7,-47.8,-69.6,,-76.7,-73.0,,,-79.2,-16.0,-70.0,-72.7,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,True,True,True,True
Maryland,4820,4441.6,4445.5,4427.1,4399.0,4360.8,4212.0,,4563.0,4285.0,4386.0,4456.6,4501.7,4264.5,,4425.2,4245.0,,13355.0,4278.6,5134.8,4433.0,4219.9,-378.4,-374.5,-392.9,-421.0,-459.2,-608.0,,-257.0,-535.0,-434.0,-363.4,-318.3,-555.5,,-394.8,-575.0,,8535.0,-541.4,314.8,-387.0,-600.1,True,False,False,False,False,,True,False,False,True,True,False,,False,False,,False,False,True,False,False
Massachusetts,10953,10607.9,10774.2,10572.6,10622.0,10964.3,10689.0,,10826.6,10480.0,10803.6,10851.5,10432.2,10391.1,,10696.9,10510.0,,,10190.0,12834.1,11030.0,10115.9,-345.1,-178.8,-380.4,-331.0,11.3,-264.0,,-126.4,-473.0,-149.4,-101.5,-520.8,-561.9,,-256.1,-443.0,,,-763.0,1881.1,77.0,-837.1,True,False,True,True,True,,True,False,True,True,False,False,,True,False,,,False,False,True,False
Michigan,10321,8588.0,10137.3,8621.4,11671.0,9017.3,8528.0,,9257.7,8630.0,9200.5,9836.8,8592.7,7874.6,12542.0,7896.3,8711.0,,,8059.3,11751.9,9785.0,7717.2,-1733.0,-183.7,-1699.6,1350.0,-1303.7,-1793.0,,-1063.3,-1691.0,-1120.5,-484.2,-1728.3,-2446.4,2221.0,-2424.7,-1610.0,,,-2261.7,1430.9,-536.0,-2603.8,True,True,True,True,False,,True,True,True,True,True,False,False,False,True,,,False,True,True,False
Minnesota,3979,3075.6,3466.5,3047.2,3561.0,3283.1,3201.0,,3544.4,3143.0,3312.0,3208.3,2850.1,2823.4,3079.0,2978.0,3593.0,,,2880.6,4102.1,3223.0,2572.4,-903.4,-512.5,-931.8,-418.0,-695.9,-778.0,,-434.6,-836.0,-667.0,-770.7,-1128.9,-1155.6,-900.0,-1001.0,-386.0,,,-1098.4,123.1,-756.0,-1406.6,True,False,True,True,True,,True,True,True,True,False,False,True,False,True,,,False,True,True,False
Mississippi,3949,3747.0,3835.7,3759.6,4184.0,3891.0,3540.0,,4089.7,3674.0,3903.0,3928.1,3514.1,3456.3,,3632.0,3749.0,,,3722.1,4013.7,3830.0,3591.5,-202.0,-113.3,-189.4,235.0,-58.0,-409.0,,140.7,-275.0,-46.0,-20.9,-434.9,-492.7,,-317.0,-200.0,,,-226.9,64.7,-119.0,-357.5,True,True,False,True,False,,True,False,True,True,False,False,,False,True,,,False,True,True,False
Missouri,4276,4155.4,4058.7,4170.2,5054.0,4542.3,3665.0,,3547.6,3654.0,4750.7,4259.1,3398.4,3528.5,,3908.0,3899.0,,,3125.4,4177.1,3966.0,3040.9,-120.6,-217.3,-105.8,778.0,266.3,-611.0,,-728.4,-622.0,474.7,-16.9,-877.6,-747.5,,-368.0,-377.0,,,-1150.6,-98.9,-310.0,-1235.1,False,True,False,False,False,,False,False,False,True,False,False,,False,False,,,False,True,False,False
Montana,734,625.0,767.8,624.3,707.0,697.3,544.0,,720.3,500.0,837.1,1065.3,384.4,492.9,,515.5,515.0,,,416.6,674.4,680.0,378.4,-109.0,33.8,-109.7,-27.0,-36.7,-190.0,,-13.7,-234.0,103.1,331.3,-349.6,-241.1,,-218.5,-219.0,,,-317.4,-59.6,-54.0,-355.6,True,False,True,True,False,,True,False,True,False,False,False,,False,False,,,False,True,True,False
Nebraska,1194,877.1,1511.2,883.1,1094.0,911.9,927.0,,782.9,851.0,945.1,945.7,874.8,716.0,,829.5,721.0,,,740.6,920.9,901.0,679.0,-316.9,317.2,-310.9,-100.0,-282.1,-267.0,,-411.1,-343.0,-248.9,-248.3,-319.2,-478.0,,-364.5,-473.0,,,-453.4,-273.1,-293.0,-515.0,False,True,True,True,True,,False,False,True,True,False,False,,False,False,,,False,True,True,False
Nevada,2301,1943.1,1884.1,1931.3,2136.0,2134.1,1896.0,,2521.4,2000.0,2058.4,2159.1,2026.1,1946.4,,1979.1,1801.0,,,2075.3,2427.5,1999.0,1925.4,-353.9,-412.9,-365.7,-161.0,-162.9,-401.0,,224.4,-297.0,-238.6,-137.9,-270.9,-350.6,,-317.9,-496.0,,,-221.7,130.5,-298.0,-371.6,False,False,True,True,False,,True,True,True,True,True,True,,True,False,,,True,True,True,False
New Hampshire,559,514.0,485.1,517.9,589.0,662.2,557.0,,695.5,525.0,576.1,617.3,524.8,509.1,,495.2,551.0,,,503.0,756.5,563.0,486.9,-45.0,-73.9,-41.1,30.0,103.2,-2.0,,136.5,-34.0,17.1,58.3,-34.2,-49.9,,-63.8,-8.0,,,-56.0,197.5,4.0,-72.1,False,True,True,False,True,,False,True,True,False,True,False,,False,True,,,False,False,True,False
New Jersey,17306,16718.4,17161.8,16935.6,16740.0,16926.1,17338.0,,16405.5,16562.0,16691.4,17132.9,16876.4,16487.2,,16827.0,16317.0,,,16538.3,20773.9,16956.0,16435.7,-587.6,-144.2,-370.4,-566.0,-379.9,32.0,,-900.5,-744.0,-614.6,-173.1,-429.6,-818.8,,-479.0,-989.0,,,-767.7,3467.9,-350.0,-870.3,True,True,True,True,True,,False,False,False,True,True,False,,True,False,,,False,False,True,False
New Mexico,1738,1160.3,1378.8,1180.9,1774.0,1389.2,1107.0,,1376.1,1099.0,1398.2,1452.7,1151.3,1132.5,,1189.5,1007.0,,,1087.3,1922.7,1549.0,1061.7,-577.7,-359.2,-557.1,36.0,-348.8,-631.0,,-361.9,-639.0,-339.8,-285.3,-586.7,-605.5,,-548.5,-731.0,,,-650.7,184.7,-189.0,-676.3,True,True,True,True,False,,True,False,True,True,False,False,,True,False,,,False,True,True,False
New York,34939,33802.7,33702.7,34333.7,33910.0,34651.7,34224.0,,34085.9,33809.0,34081.5,34811.2,34202.9,33641.6,,33797.5,33423.0,,,33692.7,39104.8,33918.0,33399.8,-916.3,-1016.3,-385.3,-809.0,-67.3,-495.0,,-633.1,-910.0,-637.5,92.2,-516.1,-1077.4,,-921.5,-1296.0,,,-1026.3,4385.8,-801.0,-1319.2,False,True,True,True,True,,True,True,True,True,True,False,,False,False,,,False,False,True,False
North Carolina,5516,5463.1,6578.0,5434.0,6473.0,5476.3,5024.0,,5296.8,5261.0,5666.9,5127.9,5159.1,4811.1,,4892.3,5199.0,,,5009.7,5607.3,5520.0,4707.7,-52.9,1062.0,-82.0,957.0,-39.7,-492.0,,-219.2,-255.0,150.9,-388.1,-356.9,-704.9,,-623.7,-317.0,,,-506.3,91.3,4.0,-808.3,False,False,False,True,False,,False,False,False,False,False,False,,False,False,,,False,False,True,False
North Dakota,1013,760.6,685.7,742.0,1988.0,1157.5,779.0,,923.0,801.0,1037.5,1414.8,525.0,725.5,,1147.6,814.0,,,686.0,789.2,1075.0,591.3,-252.4,-327.3,-271.0,975.0,144.5,-234.0,,-90.0,-212.0,24.5,401.8,-488.0,-287.5,,134.6,-199.0,,,-327.0,-223.8,62.0,-421.7,False,False,False,True,True,,True,True,True,False,False,False,,True,True,,,False,True,True,False
Ohio,6946,6020.1,10389.5,6042.5,7303.0,6250.5,6028.0,,6397.6,6159.0,5962.7,6492.7,6626.7,5577.6,8025.5,5754.5,5818.0,,,5867.9,8839.0,6899.0,5727.7,-925.9,3443.5,-903.5,357.0,-695.5,-918.0,,-548.4,-787.0,-983.3,-453.3,-319.3,-1368.4,1079.5,-1191.5,-1128.0,,,-1078.1,1893.0,-47.0,-1218.3,False,True,True,True,True,,True,True,False,True,True,False,False,False,False,,,False,False,True,False
Oklahoma,1874,1705.9,2093.4,1742.9,1705.0,1628.6,1718.0,,2016.9,1670.0,1753.2,1696.0,1576.2,1519.0,,1606.1,1978.0,,,1640.6,2001.2,1784.0,1431.2,-168.1,219.4,-131.1,-169.0,-245.4,-156.0,,142.9,-204.0,-120.8,-178.0,-297.8,-355.0,,-267.9,104.0,,,-233.4,127.2,-90.0,-442.8,False,True,False,False,True,,True,False,True,False,False,False,,False,True,,,False,True,True,False
Oregon,1027,846.3,958.9,856.9,763.0,868.8,778.0,,826.8,786.0,824.1,837.0,950.5,760.2,,820.5,832.5,,,822.7,966.4,870.0,734.6,-180.7,-68.1,-170.1,-264.0,-158.2,-249.0,,-200.2,-241.0,-202.9,-190.0,-76.5,-266.8,,-206.5,-194.5,,,-204.3,-60.6,-157.0,-292.4,True,True,False,True,False,,False,False,False,False,True,False,,False,False,,,False,True,True,False
Pennsylvania,11191,9713.0,10255.1,9805.2,10949.0,10169.5,9673.0,,10756.1,9560.0,10068.4,10349.6,10000.9,9196.6,,10419.8,9263.5,,,9221.2,12710.6,10000.0,9128.8,-1478.0,-935.9,-1385.8,-242.0,-1021.5,-1518.0,,-434.9,-1631.0,-1122.6,-841.4,-1190.1,-1994.4,,-771.2,-1927.5,,,-1969.8,1519.6,-1191.0,-2062.2,True,True,True,True,False,,True,False,True,True,True,False,,True,False,,,False,False,True,False
Rhode Island,1413,1323.4,1429.9,1338.1,2157.0,1467.2,1356.0,,1324.6,1308.0,1386.1,1491.4,1291.6,1247.4,,1412.3,1395.0,,,1251.6,1511.4,1423.0,1185.8,-89.6,16.9,-74.9,744.0,54.2,-57.0,,-88.4,-105.0,-26.9,78.4,-121.4,-165.6,,-0.7,-18.0,,,-161.4,98.4,10.0,-227.2,True,True,False,True,True,,True,False,True,True,False,False,,True,True,,,False,False,True,False
South Carolina,4517,4692.3,6000.6,4729.3,4519.0,4286.6,4200.0,,4660.3,4263.0,4370.1,4303.5,4092.4,4287.0,,4205.8,4097.0,,,4506.2,4707.5,4619.0,4223.2,175.3,1483.6,212.3,2.0,-230.4,-317.0,,143.3,-254.0,-146.9,-213.5,-424.6,-230.0,,-311.2,-420.0,,,-10.8,190.5,102.0,-293.8,False,False,True,False,False,,True,False,True,False,False,False,,False,False,,,True,False,True,False
South Dakota,1091,679.6,803.3,671.9,1100.0,818.3,709.0,,634.0,599.0,812.5,894.9,417.0,646.1,,967.2,1033.0,,,571.9,807.3,735.0,459.0,-411.4,-287.7,-419.1,9.0,-272.7,-382.0,,-457.0,-492.0,-278.5,-196.1,-674.0,-444.9,,-123.8,-58.0,,,-519.1,-283.7,-356.0,-632.0,True,False,True,True,True,,False,False,True,True,False,False,,True,True,,,False,True,True,False
Tennessee,4905,4431.3,5083.9,4282.7,6039.0,4798.3,3955.0,,4654.7,4187.0,4759.1,4726.8,3903.7,4050.2,,3709.7,3883.0,,,4154.1,4584.3,4350.0,3578.3,-473.7,178.9,-622.3,1134.0,-106.7,-950.0,,-250.3,-718.0,-145.9,-178.2,-1001.3,-854.8,,-1195.3,-1022.0,,,-750.9,-320.7,-555.0,-1326.7,True,False,False,True,False,,True,False,True,True,False,False,,False,False,,,False,True,False,False
Texas,23110,20825.0,20832.4,20764.9,20056.0,20637.7,19816.0,,20866.2,20642.0,21040.5,21683.4,20282.5,19426.1,,20350.2,19319.0,,32675.0,20470.7,22892.9,21407.0,19928.2,-2198.0,-2190.6,-2258.1,-2967.0,-2385.3,-3207.0,,-2156.8,-2381.0,-1982.5,-1339.6,-2740.5,-3596.9,,-2672.8,-3704.0,,9652.0,-2552.3,-130.1,-1616.0,-3094.8,True,False,False,False,False,,True,False,True,True,False,False,,False,False,,False,False,True,True,False
Utah,939,741.9,772.4,736.1,774.0,1020.0,709.0,,902.8,804.0,860.5,673.0,778.8,759.5,,813.1,740.0,,,740.3,987.4,772.0,513.4,-197.1,-166.6,-202.9,-165.0,81.0,-230.0,,-36.2,-135.0,-78.5,-266.0,-160.2,-179.5,,-125.9,-199.0,,,-198.7,48.4,-167.0,-425.6,True,False,True,True,False,,True,True,True,False,True,True,,True,False,,,False,True,True,False
Vermont,79,58.0,58.4,60.9,58.0,59.2,63.0,,60.3,58.0,58.0,60.2,72.3,65.2,,65.0,58.0,,,58.0,136.1,58.0,57.9,-21.0,-20.6,-18.1,-21.0,-19.8,-16.0,,-18.7,-21.0,-21.0,-18.8,-6.7,-13.8,,-14.0,-21.0,,,-21.0,57.1,-21.0,-21.1,True,True,False,True,True,,True,False,False,True,True,True,,True,False,,,False,False,False,False
Virginia,4197,4424.3,5853.4,4503.6,4317.0,4150.0,3751.0,,3888.4,4250.0,4133.9,4243.8,4360.2,3934.2,,3964.5,4456.0,,,4052.5,4489.2,4349.0,3954.1,231.3,1660.4,310.6,124.0,-43.0,-442.0,,-304.6,57.0,-59.1,50.8,167.2,-258.8,,-228.5,263.0,,,-140.5,296.2,156.0,-238.9,False,False,True,True,False,,False,True,True,True,True,False,,True,False,,,True,False,True,False
Washington,2867,2629.9,2998.7,2638.0,2696.0,2673.4,2508.0,,2596.6,2655.0,2803.6,2750.4,2742.9,2498.3,,2392.0,2769.0,,,2617.2,3114.5,2696.0,2487.3,-248.1,120.7,-240.0,-182.0,-204.6,-370.0,,-281.4,-223.0,-74.4,-127.6,-135.1,-379.7,,-486.0,-109.0,,,-260.8,236.5,-182.0,-390.7,True,True,True,True,False,,False,True,True,True,True,False,,False,True,,,False,True,True,False
West Virginia,829,559.7,874.3,562.0,743.0,568.1,586.0,,571.5,622.0,565.4,863.2,598.5,501.9,,528.0,538.0,,,545.1,638.1,583.0,490.4,-269.3,45.3,-267.0,-86.0,-260.9,-243.0,,-257.5,-207.0,-263.6,34.2,-230.5,-327.1,,-301.0,-291.0,,,-283.9,-190.9,-246.0,-338.6,True,True,True,True,True,,True,True,True,True,True,False,,False,False,,,False,True,True,False
Wisconsin,3934,2972.9,4529.8,2946.4,2800.0,2897.8,2473.0,,3110.0,2792.0,3219.6,3146.7,2552.0,2458.8,2854.0,2432.0,4136.0,,,2514.3,3772.3,2857.0,2030.1,-658.1,898.8,-684.6,-831.0,-733.2,-1158.0,,-521.0,-839.0,-411.4,-484.3,-1079.0,-1172.2,-777.0,-1199.0,505.0,,,-1116.7,141.3,-774.0,-1600.9,False,False,False,False,False,,True,False,True,True,False,False,False,False,True,,,False,True,False,False
Wyoming,266,132.4,437.6,134.0,138.0,140.8,111.0,,78.3,96.0,121.9,142.0,116.7,107.6,,142.7,113.0,,,82.6,179.6,150.0,78.6,-133.6,171.6,-132.0,-128.0,-125.2,-155.0,,-187.7,-170.0,-144.1,-124.0,-149.3,-158.4,,-123.3,-153.0,,,-183.4,-86.4,-116.0,-187.4,False,True,True,True,False,,False,False,False,True,False,False,,True,False,,,False,True,True,False
US,281222,257765.4,274968.0,258515.5,277628.0,273302.9,251661.0,267221.0,268947.1,255401.0,267267.4,270934.0,252978.7,242823.6,,252462.3,251968.0,268096.6,251056.0,251449.7,299739.6,271454.0,244695.9,-22828.6,-5626.0,-22078.5,-2966.0,-7291.1,-28933.0,-13373.0,-11646.9,-25193.0,-13326.6,-9660.0,-27615.3,-37770.4,,-28131.7,-28626.0,-12497.4,-29538.0,-29144.3,19145.6,-9140.0,-35898.1,True,True,True,True,False,True,True,False,True,True,False,False,,False,False,True,False,False,True,True,False
