,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9793,9160.3,9886.5,9102.4,8999.1,8558.9,8562.0,,9003.4,8680.0,8814.3,8704.7,8539.6,8563.2,,,8945.0,9263.0,8455.7,-632.7,93.5,-690.6,-793.9,-1234.1,-1231.0,,-789.6,-1113.0,-978.7,-1088.3,-1253.4,-1229.8,,,-848.0,-530.0,-1337.3,True,False,False,False,False,,False,False,False,False,False,False,,,False,True,False
Hawaii,261,310.4,321.0,311.9,,297.3,246.0,,352.5,,293.1,316.7,255.1,338.8,,,223.9,266.0,232.9,49.4,60.0,50.9,,36.3,-15.0,,91.5,,32.1,55.7,-5.9,77.8,,,-37.1,5.0,-28.1,False,False,,True,True,,False,,True,False,True,False,,,True,True,True
Idaho,1032,672.0,663.9,683.2,792.2,761.5,621.0,,948.9,682.0,733.8,851.7,635.1,594.4,,,680.3,729.0,605.5,-360.0,-368.1,-348.8,-239.8,-270.5,-411.0,,-83.1,-350.0,-298.2,-180.3,-396.9,-437.6,,,-351.7,-303.0,-426.5,False,True,True,True,False,,True,True,True,True,False,False,,,True,True,False
Illinois,14017,11147.1,13379.8,11071.9,16882.6,11164.2,9984.0,,12168.4,10603.0,11263.1,11482.0,10721.1,10725.3,,,10478.3,12518.0,9935.2,-2869.9,-637.2,-2945.1,2865.6,-2852.8,-4033.0,,-1848.6,-3414.0,-2753.9,-2535.0,-3295.9,-3291.7,,,-3538.7,-1499.0,-4081.8,True,False,True,True,False,,True,False,True,True,False,False,,,False,True,False
Indiana,6207,4951.9,6138.0,4872.0,11072.5,4972.1,4324.0,,5946.9,4505.0,5004.6,5292.7,4489.4,4685.8,,,4463.8,6208.0,4043.8,-1255.1,-69.0,-1335.0,4865.5,-1234.9,-1883.0,,-260.1,-1702.0,-1202.4,-914.3,-1717.6,-1521.2,,,-1743.2,1.0,-2163.2,True,False,False,True,False,,True,False,True,True,False,False,,,False,True,False
Iowa,2682,2012.0,2034.0,2011.2,3327.2,2099.3,1750.0,,2412.4,1953.0,2072.8,2247.8,1756.3,1918.5,,,1923.2,2219.0,1745.4,-670.0,-648.0,-670.8,645.2,-582.7,-932.0,,-269.6,-729.0,-609.2,-434.2,-925.7,-763.5,,,-758.8,-463.0,-936.6,True,False,True,True,False,,True,False,True,True,False,False,,,False,True,False
Kansas,1786,1441.9,1825.8,1461.0,2111.2,1253.0,903.0,,2014.6,1192.0,1515.6,1569.1,1125.6,1284.2,,,1221.7,1465.0,1047.8,-344.1,39.8,-325.0,325.2,-533.0,-883.0,,228.6,-594.0,-270.4,-216.9,-660.4,-501.8,,,-564.3,-321.0,-738.2,True,True,True,False,False,,True,False,True,True,False,False,,,False,True,False
Kentucky,2062,1770.6,2337.2,1752.8,2032.3,1739.2,1694.0,,2201.6,1663.0,1805.9,1768.5,1514.6,1756.2,,,1768.2,1993.0,1503.6,-291.4,275.2,-309.2,-29.7,-322.8,-368.0,,139.6,-399.0,-256.1,-293.5,-547.4,-305.8,,,-293.8,-69.0,-558.4,True,False,True,False,False,,True,False,True,False,False,False,,,False,True,False
Louisiana,6548,6401.4,6186.6,6377.2,6159.6,6175.2,6083.0,,6603.8,6163.0,6208.2,6190.7,6151.5,6314.4,,,6567.5,6136.0,6062.2,-146.6,-361.4,-170.8,-388.4,-372.8,-465.0,,55.8,-385.0,-339.8,-357.3,-396.5,-233.6,,,19.5,-412.0,-485.8,False,False,False,False,False,,True,False,False,False,False,False,,,True,False,False
Maine,227,166.6,303.1,168.0,150.5,154.1,152.0,,153.5,167.0,154.4,160.1,152.8,175.1,,,150.6,164.0,156.3,-60.4,76.1,-59.0,-76.5,-72.9,-75.0,,-73.5,-60.0,-72.6,-66.9,-74.2,-51.9,,,-76.4,-63.0,-70.7,False,True,False,False,False,,False,True,False,False,False,True,,,False,False,False
Maryland,4820,4297.6,4585.7,4338.6,4313.9,4234.9,4135.0,,4288.5,4200.0,4340.5,4342.9,4193.2,4317.0,,9228.0,4206.5,4412.0,4185.5,-522.4,-234.3,-481.4,-506.1,-585.1,-685.0,,-531.5,-620.0,-479.5,-477.1,-626.8,-503.0,,4408.0,-613.5,-408.0,-634.5,True,True,True,False,False,,False,False,True,True,False,True,,False,False,True,False
Massachusetts,10953,10649.0,11110.0,10723.8,10518.1,10695.6,10055.0,,10797.9,10316.0,10707.0,10541.1,10155.5,10700.2,,,10153.5,10928.0,10025.7,-304.0,157.0,-229.2,-434.9,-257.4,-898.0,,-155.1,-637.0,-246.0,-411.9,-797.5,-252.8,,,-799.5,-25.0,-927.3,True,True,False,True,False,,True,False,True,False,False,True,,,False,True,False
Michigan,10321,8169.7,9835.6,8210.7,10007.8,8162.0,7577.0,,8475.8,7847.0,8360.6,8722.9,7633.9,8148.2,,,7756.5,9121.0,7440.0,-2151.3,-485.4,-2110.3,-313.2,-2159.0,-2744.0,,-1845.2,-2474.0,-1960.4,-1598.1,-2687.1,-2172.8,,,-2564.5,-1200.0,-2881.0,True,True,True,False,False,,True,False,True,True,False,False,,,False,True,False
Minnesota,3979,2924.7,3743.6,2871.7,3479.1,2907.5,2793.0,,3204.6,2903.0,2890.0,3001.4,2687.5,2675.2,,,2781.9,3073.0,2464.4,-1054.3,-235.4,-1107.3,-499.9,-1071.5,-1186.0,,-774.4,-1076.0,-1089.0,-977.6,-1291.5,-1303.8,,,-1197.1,-906.0,-1514.6,True,False,True,False,False,,True,False,False,True,False,False,,,False,True,False
Mississippi,3949,3651.0,3954.9,3696.9,5087.6,3768.4,3494.0,,3668.6,3676.0,3876.1,3846.2,3455.3,3550.3,,,3688.5,3879.0,3550.9,-298.0,5.9,-252.1,1138.6,-180.6,-455.0,,-280.4,-273.0,-72.9,-102.8,-493.7,-398.7,,,-260.5,-70.0,-398.1,True,True,False,True,False,,True,True,True,True,False,False,,,True,True,False
Missouri,4276,3744.0,4278.2,3678.9,4960.1,3916.2,3177.0,,3257.2,3791.0,3871.4,4185.1,3469.3,4045.7,,,2933.0,3881.0,2860.2,-544.0,-9.8,-609.1,672.1,-371.8,-1111.0,,-1030.8,-497.0,-416.6,-102.9,-818.7,-242.3,,,-1355.0,-407.0,-1427.8,True,False,False,True,False,,False,True,True,True,False,True,,,False,True,False
Montana,734,453.6,735.0,449.0,1283.8,538.4,418.0,,465.6,453.0,500.3,1120.5,365.6,340.1,,,384.5,564.0,301.2,-280.4,1.0,-285.0,549.8,-195.6,-316.0,,-268.4,-281.0,-233.7,386.5,-368.4,-393.9,,,-349.5,-170.0,-432.8,True,False,False,True,False,,True,False,True,False,False,False,,,False,True,False
Nebraska,1194,746.9,1191.5,743.3,1075.7,804.5,663.0,,1036.5,700.0,727.1,1015.0,678.4,683.9,,,600.0,846.0,622.0,-447.1,-2.5,-450.7,-118.3,-389.5,-531.0,,-157.5,-494.0,-466.9,-179.0,-515.6,-510.1,,,-594.0,-348.0,-572.0,True,False,True,True,False,,True,False,False,True,False,False,,,False,True,False
Nevada,2301,2046.0,2335.9,2043.2,2507.6,2081.7,1892.0,,2029.1,1942.0,2049.6,2044.2,1925.1,1979.4,,,2159.7,2189.0,1919.8,-255.0,34.9,-257.8,206.6,-219.3,-409.0,,-271.9,-359.0,-251.4,-256.8,-375.9,-321.6,,,-141.3,-112.0,-381.2,True,False,True,True,False,,False,False,True,False,False,False,,,True,True,False
New Hampshire,559,534.6,522.0,544.3,780.5,553.1,585.0,,647.4,519.0,536.9,609.7,488.0,538.8,,,496.7,605.0,480.4,-24.4,-37.0,-14.7,221.5,-5.9,26.0,,88.4,-40.0,-22.1,50.7,-71.0,-20.2,,,-62.3,46.0,-78.6,False,True,False,True,False,,False,False,True,False,False,True,,,False,False,False
New Jersey,17306,16464.7,16451.4,16804.3,16554.3,16677.4,16484.0,,16298.6,16381.0,16593.4,16914.5,16386.8,17227.8,,,16368.4,16545.0,16403.3,-841.3,-854.6,-501.7,-751.7,-628.6,-822.0,,-1007.4,-925.0,-712.6,-391.5,-919.2,-78.2,,,-937.6,-761.0,-902.7,False,True,True,True,True,,False,False,True,True,False,True,,,False,True,False
New Mexico,1738,1091.7,1260.9,1083.1,2828.0,1310.5,993.0,,1125.8,1039.0,1252.9,1358.1,1085.7,1134.7,,,1022.0,1403.0,1027.9,-646.3,-477.1,-654.9,1090.0,-427.5,-745.0,,-612.2,-699.0,-485.1,-379.9,-652.3,-603.3,,,-716.0,-335.0,-710.1,True,False,False,True,False,,True,False,True,True,False,True,,,False,True,False
New York,34939,33789.0,33522.6,34581.3,34841.9,34013.8,33698.0,,34432.0,33655.0,34190.9,34975.3,33573.7,36033.1,,,33616.1,34122.0,33370.2,-948.0,-1214.4,-155.7,104.9,-723.2,-1039.0,,-305.0,-1082.0,-546.1,238.3,-1163.3,1296.1,,,-1120.9,-615.0,-1366.8,False,True,True,True,False,,True,False,True,True,False,False,,,False,True,False
North Carolina,5516,5058.6,7274.6,5076.7,8456.1,5158.5,4562.0,,5169.2,4768.0,5580.8,5066.7,4644.3,4882.4,,,4781.3,5418.0,4507.6,-457.4,1758.6,-439.3,2940.1,-357.5,-954.0,,-346.8,-748.0,64.8,-449.3,-871.7,-633.6,,,-734.7,-98.0,-1008.4,False,True,False,True,False,,True,False,True,True,False,False,,,False,True,False
North Dakota,1013,863.4,996.6,840.0,1805.2,920.7,523.0,,853.8,756.0,831.9,965.7,756.3,605.3,,,604.6,1249.0,542.8,-149.6,-16.4,-173.0,792.2,-92.3,-490.0,,-159.2,-257.0,-181.1,-47.3,-256.7,-407.7,,,-408.4,236.0,-470.2,True,False,False,True,False,,False,False,False,True,False,False,,,False,False,False
Ohio,6946,5533.3,5414.8,5591.2,7428.1,6200.8,5604.0,,6397.6,6017.0,5944.5,6782.2,5503.5,6133.8,,,5687.9,5838.0,5602.8,-1412.7,-1531.2,-1354.8,482.1,-745.2,-1342.0,,-548.4,-929.0,-1001.5,-163.8,-1442.5,-812.2,,,-1258.1,-1108.0,-1343.2,False,True,True,True,True,,True,True,True,True,False,True,,,True,True,True
Oklahoma,1874,1671.6,2499.7,1631.2,1452.9,1505.7,1298.0,,1538.2,1606.0,1599.5,1516.6,1364.5,1478.2,,,1568.4,1554.0,1358.0,-202.4,625.7,-242.8,-421.1,-368.3,-576.0,,-335.8,-268.0,-274.5,-357.4,-509.5,-395.8,,,-305.6,-320.0,-516.0,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False
Oregon,1027,764.0,739.1,759.0,948.2,868.5,674.0,,897.1,720.0,842.1,930.7,712.9,734.5,,,777.3,809.0,705.3,-263.0,-287.9,-268.0,-78.8,-158.5,-353.0,,-129.9,-307.0,-184.9,-96.3,-314.1,-292.5,,,-249.7,-218.0,-321.7,False,False,True,True,False,,True,False,True,True,False,False,,,True,True,False
Pennsylvania,11191,9390.7,9506.3,9300.3,11026.8,9598.2,8928.0,,10211.5,9192.0,9764.5,10175.0,8990.3,9923.3,,,8869.2,9932.0,8787.7,-1800.3,-1684.7,-1890.7,-164.2,-1592.8,-2263.0,,-979.5,-1999.0,-1426.5,-1016.0,-2200.7,-1267.7,,,-2321.8,-1259.0,-2403.3,True,False,True,True,False,,True,False,True,True,False,True,,,False,True,False
Rhode Island,1413,1302.9,1747.0,1326.0,1719.1,1247.6,1190.0,,1207.2,1221.0,1280.2,1324.9,1208.1,1278.4,,,1177.5,1401.0,1158.3,-110.1,334.0,-87.0,306.1,-165.4,-223.0,,-205.8,-192.0,-132.8,-88.1,-204.9,-134.6,,,-235.5,-12.0,-254.7,False,True,False,False,False,,False,False,False,True,False,False,,,False,True,False
South Carolina,4517,4322.0,4322.0,4238.9,4005.5,4129.2,4091.0,,4625.1,4014.0,4328.0,4191.8,4046.4,4034.4,,,4272.0,4235.0,4082.1,-195.0,-195.0,-278.1,-511.5,-387.8,-426.0,,108.1,-503.0,-189.0,-325.2,-470.6,-482.6,,,-245.0,-282.0,-434.9,False,False,False,False,False,,True,False,True,False,False,False,,,False,False,False
South Dakota,1091,576.7,555.7,517.8,1849.4,745.8,498.0,,694.2,467.0,599.3,970.5,520.8,451.6,,,377.0,616.0,397.1,-514.3,-535.3,-573.2,758.4,-345.2,-593.0,,-396.8,-624.0,-491.7,-120.5,-570.2,-639.4,,,-714.0,-475.0,-693.9,False,False,False,True,False,,True,False,True,True,False,False,,,False,True,False
Tennessee,4905,3882.7,3940.9,3918.9,5963.4,4347.7,3682.0,,5370.4,3911.0,4426.4,4899.5,3726.1,3555.8,,,3977.3,3964.0,3370.5,-1022.3,-964.1,-986.1,1058.4,-557.3,-1223.0,,465.4,-994.0,-478.6,-5.5,-1178.9,-1349.2,,,-927.7,-941.0,-1534.5,True,True,False,True,False,,True,True,True,True,False,False,,,True,True,False
Texas,23353,20852.4,21284.0,20920.9,19485.0,20215.7,19357.0,,21142.4,21010.0,21328.8,19981.9,19841.6,19613.0,,32468.0,20409.8,20812.0,19693.0,-2212.6,-1781.0,-2144.1,-3580.0,-2849.3,-3708.0,,-1922.6,-2055.0,-1736.2,-3083.1,-3223.4,-3452.0,,9403.0,-2655.2,-2253.0,-3372.0,True,True,False,False,False,,True,True,True,False,False,False,,False,False,False,False
Utah,939,721.3,651.6,750.1,784.2,937.8,633.0,,1496.5,736.0,783.7,685.5,686.3,634.6,,,723.8,720.0,499.4,-217.7,-287.4,-188.9,-154.8,-1.2,-306.0,,557.5,-203.0,-155.3,-253.5,-252.7,-304.4,,,-215.2,-219.0,-439.6,False,True,True,True,False,,False,True,True,False,False,False,,,True,False,False
Vermont,79,58.0,58.5,62.0,60.4,60.1,58.0,,59.9,58.0,58.0,59.5,61.5,67.2,,,59.0,58.0,57.9,-21.0,-20.5,-17.0,-18.6,-18.9,-21.0,,-19.1,-21.0,-21.0,-19.5,-17.5,-11.8,,,-20.0,-21.0,-21.1,True,True,True,True,False,,True,False,False,True,True,True,,,True,False,False
Virginia,4197,3944.3,4177.0,3906.9,4418.6,3971.0,3726.0,,4091.6,3969.0,4372.5,4379.7,3744.3,4121.9,,,3697.1,4088.0,3836.3,-249.7,-17.0,-287.1,224.6,-223.0,-468.0,,-102.4,-225.0,178.5,185.7,-449.7,-72.1,,,-496.9,-106.0,-357.7,True,False,True,True,False,,True,True,True,True,False,True,,,False,True,False
Washington,2867,2575.0,3001.8,2583.1,2656.8,2588.1,2348.0,,2590.6,2531.0,2706.8,2690.7,2418.1,2445.9,,,2601.7,2619.0,2452.1,-310.0,116.8,-301.9,-228.2,-296.9,-537.0,,-294.4,-354.0,-178.2,-194.3,-466.9,-439.1,,,-283.3,-266.0,-432.9,True,True,True,True,False,,True,False,True,True,False,False,,,True,True,False
West Virginia,829,518.6,599.8,500.0,558.3,537.0,557.0,,613.5,578.0,588.8,782.1,519.3,640.0,,,530.1,565.0,481.0,-310.4,-229.2,-329.0,-270.7,-292.0,-272.0,,-215.5,-251.0,-240.2,-46.9,-309.7,-189.0,,,-298.9,-264.0,-348.0,True,False,True,True,True,,True,True,True,True,True,True,,,True,True,False
Wisconsin,3934,2321.4,2738.9,2386.2,2388.6,2574.6,2034.0,,3293.0,2300.0,2426.9,2756.3,1697.6,1954.3,,,2153.6,2303.0,1800.1,-1387.6,-970.1,-1322.8,-1320.4,-1134.4,-1675.0,,-416.0,-1409.0,-1282.1,-952.7,-2011.4,-1754.7,,,-1555.4,-1406.0,-1908.9,True,True,True,True,False,,True,False,True,True,False,False,,,False,False,False
Wyoming,266,77.6,112.5,79.8,78.0,110.4,82.0,,77.5,85.0,70.5,113.5,86.5,57.0,,,69.6,79.0,59.9,-188.4,-153.5,-186.2,-188.0,-155.6,-184.0,,-188.5,-181.0,-195.5,-152.5,-179.5,-209.0,,,-196.4,-187.0,-206.1,True,True,True,True,True,,False,True,False,True,True,False,,,False,True,False
US,281479,253315.1,273132.2,253698.8,272809.3,250165.7,238104.0,262436.0,266788.9,247314.0,259114.5,260512.7,235590.7,,264194.9,251306.0,249841.2,261768.0,241383.0,-27472.9,-7655.8,-27089.2,-7978.7,-30622.3,-42684.0,-18352.0,-13999.1,-33474.0,-21673.5,-20275.3,-45197.3,,-16593.1,-29482.0,-30946.8,-19020.0,-39405.0,True,True,True,False,False,True,True,False,True,True,False,,True,False,False,True,False
