,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9793,9411.7,9052.9,9474.5,8403.8,8691.1,,8589.0,8604.1,8384.4,,,9080.1,8345.9,8769.0,8379.1,-381.3,-740.1,-318.5,-1389.2,-1101.9,,-1204.0,-1188.9,-1408.6,,,-712.9,-1447.1,-1024.0,-1413.9,False,True,False,False,,False,False,False,,,False,False,False,False
Hawaii,261,271.1,410.6,288.0,1493.3,246.3,,,289.5,274.0,,,230.6,207.0,235.0,218.6,10.1,149.6,27.0,1232.3,-14.7,,,28.5,13.0,,,-30.4,-54.0,-26.0,-42.4,False,False,False,False,,,False,False,,,False,False,False,False
Idaho,1032,703.4,1187.1,723.0,1474.3,754.5,,671.0,788.9,746.1,,,693.3,801.6,691.0,588.9,-328.6,155.1,-309.0,442.3,-277.5,,-361.0,-243.1,-285.9,,,-338.7,-230.4,-341.0,-443.1,True,True,False,True,,False,True,True,,,False,True,False,False
Illinois,14016,10722.9,11572.2,10811.5,11627.1,10630.8,,10415.0,11398.5,11069.2,,,10324.7,15510.1,11092.0,9714.8,-3293.1,-2443.8,-3204.5,-2388.9,-3385.2,,-3601.0,-2617.5,-2946.8,,,-3691.3,1494.1,-2924.0,-4301.2,True,True,True,False,,False,True,True,,,False,True,True,False
Indiana,6207,4692.6,5257.3,4688.9,6277.4,4614.3,,4369.0,5055.3,4867.4,,,4305.5,7950.8,5476.0,3920.4,-1514.4,-949.7,-1518.1,70.4,-1592.7,,-1838.0,-1151.7,-1339.6,,,-1901.5,1743.8,-731.0,-2286.6,True,False,True,False,,False,True,True,,,False,False,True,False
Iowa,2682,2051.3,2468.8,2083.2,2228.5,2007.9,,1852.0,2022.3,1954.2,,,1933.2,2401.1,2174.0,1686.3,-630.7,-213.2,-598.8,-453.5,-674.1,,-830.0,-659.7,-727.8,,,-748.8,-280.9,-508.0,-995.7,True,True,True,False,,False,False,False,,,False,True,True,False
Kansas,1786,1434.0,3377.6,1437.3,1518.6,1143.7,,1207.0,1110.9,1312.7,,,1036.8,1072.3,1332.0,951.3,-352.0,1591.6,-348.7,-267.4,-642.3,,-579.0,-675.1,-473.3,,,-749.2,-713.7,-454.0,-834.7,False,True,True,False,,False,False,False,,,False,False,False,False
Kentucky,2062,1589.9,1729.3,1600.9,2899.4,1747.7,,1700.0,1825.5,1910.6,,,1809.4,2408.1,1973.0,1445.2,-472.1,-332.7,-461.1,837.4,-314.3,,-362.0,-236.5,-151.4,,,-252.6,346.1,-89.0,-616.8,True,True,False,True,,True,True,True,,,True,True,True,False
Louisiana,6548,6267.9,6105.9,6367.5,5908.8,6195.0,,6189.0,5969.0,6210.5,,,6885.0,6399.7,6091.0,6046.6,-280.1,-442.1,-180.5,-639.2,-353.0,,-359.0,-579.0,-337.5,,,337.0,-148.3,-457.0,-501.4,False,True,False,False,,False,False,False,,,False,True,False,False
Maine,227,150.9,183.9,155.7,151.4,155.8,,169.0,147.6,160.8,,,149.0,188.9,155.0,154.3,-76.1,-43.1,-71.3,-75.6,-71.2,,-58.0,-79.4,-66.2,,,-78.0,-38.1,-72.0,-72.7,True,True,True,True,,True,False,True,,,False,True,True,True
Maryland,4820,4321.1,4239.4,4325.3,4120.2,4257.6,,4175.0,4363.6,4358.8,,9664.0,4180.3,5204.4,4347.0,4164.0,-498.9,-580.6,-494.7,-699.8,-562.4,,-645.0,-456.4,-461.2,,4844.0,-639.7,384.4,-473.0,-656.0,False,True,False,False,,False,True,True,,False,False,True,True,False
Massachusetts,10953,10342.6,9980.8,10370.5,13300.2,11217.6,,10065.0,11024.9,10585.7,,,9893.6,12070.7,10463.0,9922.4,-610.4,-972.2,-582.5,2347.2,264.6,,-888.0,71.9,-367.3,,,-1059.4,1117.7,-490.0,-1030.6,False,True,False,True,,False,True,True,,,False,False,True,False
Michigan,10321,7965.4,8523.5,8035.9,8305.1,7884.1,,7729.0,8634.5,8547.3,,,7595.9,10465.8,8547.0,7332.1,-2355.6,-1797.5,-2285.1,-2015.9,-2436.9,,-2592.0,-1686.5,-1773.7,,,-2725.1,144.8,-1774.0,-2988.9,True,True,True,False,,False,True,True,,,False,True,True,False
Minnesota,3979,2673.3,2994.5,2649.1,3556.1,2894.7,,2762.0,2861.9,2896.3,,,2703.8,4291.9,2905.0,2377.5,-1305.7,-984.5,-1329.9,-422.9,-1084.3,,-1217.0,-1117.1,-1082.7,,,-1275.2,312.9,-1074.0,-1601.5,True,False,True,True,,True,True,True,,,True,True,True,False
Mississippi,3949,3792.4,3741.5,3775.9,4371.8,3780.4,,3915.0,4215.1,3778.0,,,3754.5,3990.9,4072.0,3518.3,-156.6,-207.5,-173.1,422.8,-168.6,,-34.0,266.1,-171.0,,,-194.5,41.9,123.0,-430.7,False,False,False,False,,True,False,False,,,False,True,True,False
Missouri,4276,4294.0,6046.7,4399.6,3451.5,3586.1,,3184.0,3872.0,3219.5,,,2840.7,4517.2,4427.0,2693.1,18.0,1770.7,123.6,-824.5,-689.9,,-1092.0,-404.0,-1056.5,,,-1435.3,241.2,151.0,-1582.9,False,False,False,False,,False,False,False,,,False,False,False,False
Montana,734,390.7,693.3,393.0,2186.6,662.7,,370.0,524.4,660.6,,,345.6,665.5,437.0,262.6,-343.3,-40.7,-341.0,1452.6,-71.3,,-364.0,-209.6,-73.4,,,-388.4,-68.5,-297.0,-471.4,True,True,False,True,,False,True,True,,,False,True,True,False
Nebraska,1194,660.4,653.6,694.7,800.1,791.6,,726.0,719.2,736.2,,,611.9,999.9,816.0,595.4,-533.6,-540.4,-499.3,-393.9,-402.4,,-468.0,-474.8,-457.8,,,-582.1,-194.1,-378.0,-598.6,False,True,True,True,,True,True,True,,,False,True,True,False
Nevada,2301,1959.6,2115.7,1971.0,3792.2,2210.5,,1848.0,2211.7,1999.8,,,2176.9,2234.6,2172.0,1890.4,-341.4,-185.3,-330.0,1491.2,-90.5,,-453.0,-89.3,-301.2,,,-124.1,-66.4,-129.0,-410.6,True,True,False,True,,False,True,True,,,True,True,True,False
New Hampshire,559,558.1,675.0,560.2,674.4,476.4,,486.0,505.4,545.2,,,509.9,984.4,694.0,470.0,-0.9,116.0,1.2,115.4,-82.6,,-73.0,-53.6,-13.8,,,-49.1,425.4,135.0,-89.0,False,False,False,False,,False,False,False,,,False,False,False,False
New Jersey,17306,16472.6,16477.7,16948.7,16947.3,16883.4,,16419.5,16904.4,17006.1,,,16379.1,19728.8,16665.0,16412.8,-833.4,-828.3,-357.3,-358.7,-422.6,,-886.5,-401.6,-299.9,,,-926.9,2422.8,-641.0,-893.2,True,True,True,True,,False,True,True,,,False,False,True,False
New Mexico,1738,1060.3,1015.6,1043.5,3316.2,1361.9,,1052.0,1545.8,1292.3,,,999.7,1840.3,1326.0,1014.7,-677.7,-722.4,-694.5,1578.2,-376.1,,-686.0,-192.2,-445.7,,,-738.3,102.3,-412.0,-723.3,False,False,False,True,,False,True,True,,,False,True,True,False
New York,34900,33993.3,34688.3,35222.2,36583.5,34282.3,,33693.0,35003.7,34856.4,,,33567.6,40571.2,34987.0,33343.3,-731.7,-36.7,497.2,1858.5,-442.7,,-1032.0,278.7,131.4,,,-1157.4,5846.2,262.0,-1381.7,True,True,False,True,,False,True,True,,,False,False,True,False
North Carolina,5516,4838.6,4531.5,4852.1,7647.0,5291.3,,5095.0,6350.1,5410.3,,,4745.2,5799.2,5609.0,4385.7,-677.4,-984.5,-663.9,2131.0,-224.7,,-421.0,834.1,-105.7,,,-770.8,283.2,93.0,-1130.3,False,True,False,True,,True,False,True,,,False,True,True,False
North Dakota,1013,832.0,1052.3,856.0,946.2,822.6,,636.0,781.6,631.7,,,466.3,661.7,1050.0,457.6,-181.0,39.3,-157.0,-66.8,-190.4,,-377.0,-231.4,-381.3,,,-546.7,-351.3,37.0,-555.4,True,True,True,False,,False,False,False,,,False,False,True,False
Ohio,6946,5580.4,5539.2,5618.6,7094.9,6252.1,,6004.0,6011.0,6495.1,,,5737.5,8292.8,5910.0,5619.7,-1365.6,-1406.8,-1327.4,148.9,-693.9,,-942.0,-935.0,-450.9,,,-1208.5,1346.8,-1036.0,-1326.3,False,True,True,True,,True,True,True,,,True,True,True,True
Oklahoma,1874,1467.3,1468.2,1446.8,1341.4,1597.0,,1617.0,1569.0,1467.6,,,1508.7,1969.1,1434.0,1289.9,-406.7,-405.8,-427.2,-532.6,-277.0,,-257.0,-305.0,-406.4,,,-365.3,95.1,-440.0,-584.1,True,False,False,True,,True,True,True,,,True,True,False,False
Oregon,1027,811.1,1200.0,822.9,1268.9,822.3,,746.0,921.0,860.6,,,808.8,1052.4,959.0,693.4,-215.9,173.0,-204.1,241.9,-204.7,,-281.0,-106.0,-166.4,,,-218.2,25.4,-68.0,-333.6,True,True,False,True,,False,True,True,,,False,True,True,False
Pennsylvania,11191,9390.7,10220.5,9515.6,10015.6,9492.0,,9103.0,9984.8,9751.9,,,8924.9,12875.8,9734.0,8685.0,-1800.3,-970.5,-1675.4,-1175.4,-1699.0,,-2088.0,-1206.2,-1439.1,,,-2266.1,1684.8,-1457.0,-2506.0,True,True,True,True,,False,True,True,,,False,True,True,False
Rhode Island,1413,1224.3,1168.3,1244.4,1568.2,1263.5,,1207.0,1257.0,1312.3,,,1163.6,1383.0,1323.0,0.0,-188.7,-244.7,-168.6,155.2,-149.5,,-206.0,-156.0,-100.7,,,-249.4,-30.0,-90.0,-1413.0,False,True,True,True,,False,True,True,,,False,True,True,False
South Carolina,4517,4329.9,4667.5,4423.6,3950.5,4222.7,,4321.0,4594.2,4148.0,,,4372.3,4474.3,4220.0,4029.9,-187.1,150.5,-93.4,-566.5,-294.3,,-196.0,77.2,-369.0,,,-144.7,-42.7,-297.0,-487.1,True,True,False,False,,False,True,False,,,True,True,False,False
South Dakota,1091,584.6,952.7,590.0,1508.7,630.5,,479.0,624.9,643.6,,,295.0,659.4,678.0,357.0,-506.4,-138.3,-501.0,417.7,-460.5,,-612.0,-466.1,-447.4,,,-796.0,-431.6,-413.0,-734.0,True,True,True,True,,False,True,True,,,False,True,True,False
Tennessee,4905,4259.9,5478.9,4340.1,4454.4,4085.9,,4105.0,4165.0,4158.9,,,4140.6,3839.2,4557.0,3272.6,-645.1,573.9,-564.9,-450.6,-819.1,,-800.0,-740.0,-746.1,,,-764.4,-1065.8,-348.0,-1632.4,True,True,True,False,,False,False,False,,,False,False,True,False
Texas,23055,22086.0,24089.0,22125.2,21219.2,22521.7,,20960.0,21529.0,19991.2,,18956.0,20858.4,20713.0,21014.0,19301.4,-968.0,1035.0,-928.8,-1834.8,-532.3,,-2094.0,-1525.0,-3062.8,,-4098.0,-2195.6,-2341.0,-2040.0,-3752.6,False,True,False,True,,False,False,False,,False,False,False,False,False
Utah,939,823.4,935.4,782.0,829.6,934.6,,734.0,702.2,649.1,,,717.3,947.9,829.0,482.2,-115.6,-3.6,-157.0,-109.4,-4.4,,-205.0,-236.8,-289.9,,,-221.7,8.9,-110.0,-456.8,True,False,True,True,,False,False,False,,,False,True,True,False
Vermont,79,58.0,59.9,63.0,122.3,62.4,,58.0,58.0,59.2,,,58.9,90.7,58.0,57.9,-21.0,-19.1,-16.0,43.3,-16.6,,-21.0,-21.0,-19.8,,,-20.1,11.7,-21.0,-21.1,True,True,False,True,,False,False,True,,,True,True,False,False
Virginia,4197,4022.9,3671.7,4032.4,3952.0,4259.5,,3875.0,4325.2,4174.5,,,3722.1,4987.5,4612.0,3819.1,-171.1,-522.3,-161.6,-242.0,65.5,,-319.0,131.2,-19.5,,,-471.9,793.5,418.0,-374.9,False,True,False,True,,False,True,True,,,False,False,False,False
Washington,2925,2567.1,2575.0,2576.0,3210.8,2701.0,,2499.0,2911.3,2671.4,,,2610.5,2668.9,2608.0,2425.5,-357.9,-350.0,-349.0,285.8,-224.0,,-426.0,-13.7,-253.6,,,-314.5,-256.1,-317.0,-499.5,True,True,True,True,,False,True,True,,,True,True,True,False
West Virginia,829,550.0,564.8,578.9,443.0,578.8,,582.0,583.3,614.7,,,539.2,705.6,577.0,479.3,-279.0,-264.2,-250.1,-386.0,-250.2,,-247.0,-245.7,-214.3,,,-289.8,-123.4,-252.0,-349.7,True,True,False,True,,True,True,True,,,False,True,True,False
Wisconsin,3934,2156.4,2540.9,2146.5,2307.9,2501.3,,2082.0,2355.5,2277.6,,,1968.2,3302.6,2091.0,1684.0,-1646.6,-1262.1,-1656.5,-1495.1,-1301.7,,-1721.0,-1447.5,-1525.4,,,-1834.8,-500.4,-1712.0,-2119.0,True,False,True,True,,False,True,True,,,False,True,False,False
Wyoming,266,61.9,72.2,68.7,102.2,114.1,,78.0,78.1,97.9,,,66.4,150.2,63.0,54.9,-204.1,-193.8,-197.3,-163.8,-151.9,,-188.0,-187.9,-168.1,,,-199.6,-115.8,-203.0,-211.1,True,True,True,True,,True,True,True,,,True,True,True,False
US,281186,254423.0,258120.9,254287.6,266974.7,260844.8,263171.0,249736.0,261393.1,251859.5,265572.1,250318.0,248546.8,288542.4,257534.0,239055.2,-26451.0,-22753.1,-26586.4,-13899.3,-20029.2,-17703.0,-31138.0,-19480.9,-29014.5,-15301.9,-30556.0,-32327.2,7668.4,-23340.0,-41818.8,True,False,True,True,True,False,True,False,True,False,False,True,True,False
