,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
New Jersey,17306,16490.4,16514.8,20595.8,16398.0,16338.3,-815.6,-791.2,3289.8,-908.0,-967.7,True,False,False,False
New Mexico,1738,1077.0,1072.0,1189.6,1056.0,987.2,-661.0,-666.0,-548.4,-682.0,-750.8,False,True,False,False
New York,34939,33564.7,33442.2,34741.6,33433.0,33407.6,-1212.3,-1334.8,-35.4,-1344.0,-1369.4,False,True,False,False
North Carolina,5516,5392.7,5028.1,6930.2,4981.0,4730.6,-123.3,-487.9,1414.2,-535.0,-785.4,False,False,False,False
North Dakota,1013,615.4,574.0,536.5,372.0,316.0,-397.6,-439.0,-476.5,-641.0,-697.0,False,False,False,False
Ohio,8817,5983.0,5956.7,7137.5,5613.0,5798.1,-3210.0,-3236.3,-2055.5,-3580.0,-3394.9,False,True,False,False
Oklahoma,1874,1597.4,1568.9,1957.2,1481.0,1525.0,-276.6,-305.1,83.2,-393.0,-349.0,False,True,False,False
Oregon,1027,710.6,738.0,845.0,711.0,752.9,-316.4,-289.0,-182.0,-316.0,-274.1,True,True,True,True
Pennsylvania,11191,9328.0,9248.0,10318.4,9064.0,8698.9,-1863.0,-1943.0,-872.6,-2127.0,-2492.1,False,True,False,False
Rhode Island,1482,1294.3,1295.4,1640.0,1185.0,1185.9,-173.7,-172.6,172.0,-283.0,-282.1,True,True,False,False
South Carolina,4517,4577.9,4425.8,5199.6,4066.0,4445.6,60.9,-91.2,682.6,-451.0,-71.4,False,False,False,False
South Dakota,1091,375.7,405.5,549.9,335.0,278.4,-715.3,-685.5,-541.1,-756.0,-812.6,True,True,False,False
Tennessee,4905,3944.3,3759.1,5852.1,3475.0,3864.1,-960.7,-1145.9,947.1,-1430.0,-1040.9,False,True,False,False
Texas,23353,22221.1,22004.9,26405.2,21002.0,20875.2,-847.9,-1064.1,3336.2,-2067.0,-2193.8,False,False,False,False
Utah,939,581.1,892.7,535.6,583.0,604.2,-357.9,-46.3,-403.4,-356.0,-334.8,True,False,True,True
Vermont,79,58.0,60.7,58.8,58.0,59.6,-21.0,-18.3,-20.2,-21.0,-19.4,True,True,False,True
Virginia,4197,4576.4,4722.4,3548.9,4197.0,3757.3,381.4,527.4,-646.1,2.0,-437.7,False,False,True,False
Washington,2867,2721.0,2551.7,2502.5,2360.0,2670.8,-165.0,-334.3,-383.5,-526.0,-215.2,False,False,False,False
West Virginia,829,585.4,703.6,1361.9,579.0,501.7,-243.6,-125.4,532.9,-250.0,-327.3,True,False,False,False
Wisconsin,3934,1665.4,2262.6,1944.7,1842.0,1823.8,-2179.6,-1582.4,-1900.3,-2003.0,-2021.2,True,True,True,True
Wyoming,266,59.9,204.6,63.0,79.0,60.6,-206.1,-61.4,-203.0,-187.0,-205.4,True,True,True,True
US,284200,256476.4,237884.4,294528.8,232627.0,238265.0,-27509.6,-46101.6,10542.8,-51359.0,-45721.0,False,True,False,False
