,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Louisiana,6548,6918.7,5980.2,6533.0,,7334.8,370.7,-567.8,-15.0,,786.8,False,True,,False
Maine,227,159.7,155.4,234.0,,143.7,-67.3,-71.6,7.0,,-83.3,False,True,,False
Maryland,4820,4300.4,4479.1,4108.0,,4121.8,-519.6,-340.9,-712.0,,-698.2,True,False,,False
Massachusetts,10953,10217.9,9548.1,9690.0,,9555.5,-735.1,-1404.9,-1263.0,,-1397.5,False,False,,False
Michigan,10321,8156.0,8129.3,7836.0,,7490.1,-2165.0,-2191.7,-2485.0,,-2830.9,False,False,,False
Minnesota,3979,2706.1,2527.2,2879.0,,2595.2,-1272.9,-1451.8,-1100.0,,-1383.8,False,True,,False
Mississippi,3949,4036.9,3379.7,5028.0,,3689.5,87.9,-569.3,1079.0,,-259.5,False,False,,False
Missouri,4276,2276.4,3261.4,2431.0,,2245.9,-1999.6,-1014.6,-1845.0,,-2030.1,True,True,,False
Montana,734,348.4,362.8,573.0,,236.9,-385.6,-371.2,-161.0,,-497.1,True,True,,False
Nebraska,1194,789.7,835.9,947.0,,579.6,-404.3,-358.1,-247.0,,-614.4,True,True,,False
Nevada,2301,2199.0,1867.7,2148.0,,2333.1,-102.0,-433.3,-153.0,,32.1,False,False,,True
New Hampshire,559,471.6,487.2,513.0,,480.0,-87.4,-71.8,-46.0,,-79.0,True,True,,True
New Jersey,17306,16529.0,16404.4,16754.0,,16318.5,-777.0,-901.6,-552.0,,-987.5,False,True,,False
New Mexico,1738,1060.1,1031.5,1230.0,,947.8,-677.9,-706.5,-508.0,,-790.2,False,True,,False
New York,34939,33449.9,33487.2,33972.0,,33400.1,-1489.1,-1451.8,-967.0,,-1538.9,True,True,,False
North Carolina,5516,4972.9,4700.7,5648.0,,4332.1,-543.1,-815.3,132.0,,-1183.9,False,True,,False
North Dakota,1013,310.3,534.6,394.0,,218.8,-702.7,-478.4,-619.0,,-794.2,True,True,,False
Ohio,6946,6264.7,5867.0,7037.0,,5731.8,-681.3,-1079.0,91.0,,-1214.2,False,True,,False
Oklahoma,1874,1521.6,1554.9,1900.0,,1416.4,-352.4,-319.1,26.0,,-457.6,True,True,,False
Oregon,1027,841.0,725.3,862.0,,769.4,-186.0,-301.7,-165.0,,-257.6,False,True,,False
Pennsylvania,11191,8765.7,9113.7,8847.0,,8298.4,-2425.3,-2077.3,-2344.0,,-2892.6,True,True,,False
Rhode Island,1413,1260.7,1187.5,1143.0,,1152.2,-152.3,-225.5,-270.0,,-260.8,False,False,,False
South Carolina,4517,5162.7,4932.1,4542.0,,4396.8,645.7,415.1,25.0,,-120.2,True,True,,True
South Dakota,1091,314.4,387.9,475.0,,237.8,-776.6,-703.1,-616.0,,-853.2,True,True,,False
Tennessee,4905,4603.6,3474.0,4178.0,,3870.5,-301.4,-1431.0,-727.0,,-1034.5,False,False,,False
Texas,23110,23309.7,18185.7,22504.0,23739.0,20169.7,300.7,-4823.3,-505.0,730.0,-2839.3,False,False,False,False
Utah,939,563.4,877.4,892.0,,625.2,-375.6,-61.6,-47.0,,-313.8,True,True,,True
Vermont,79,58.0,63.3,90.0,,60.4,-21.0,-15.7,11.0,,-18.6,True,True,,True
Virginia,4197,3269.4,3795.6,4097.0,,3075.6,-927.6,-401.4,-100.0,,-1121.4,True,True,,False
Washington,2867,2441.6,2392.9,2332.0,,2599.1,-433.4,-482.1,-543.0,,-275.9,False,False,,True
West Virginia,829,480.4,1132.6,809.0,,437.1,-348.6,303.6,-20.0,,-391.9,True,True,,False
Wisconsin,3934,1708.0,2344.7,1926.0,,1599.8,-2168.0,-1531.3,-1950.0,,-2276.2,True,True,,False
Wyoming,266,42.0,70.4,192.0,,48.4,-224.0,-195.6,-74.0,,-217.6,True,True,,True
US,281222,254898.1,230674.3,255630.0,249455.0,231706.9,-26170.9,-50394.7,-25439.0,-31614.0,-49362.1,False,True,False,False
