,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Louisiana,6548,6569.0,6517.3,6180.2,6242.0,,6759.0,21.0,-30.7,-367.8,-306.0,,211.0,False,False,False,,False
Maine,227,159.7,150.8,162.9,169.0,,148.8,-67.3,-76.2,-64.1,-58.0,,-78.2,False,True,True,,False
Maryland,4820,4161.7,3994.4,4309.6,4179.0,,4141.6,-658.3,-825.6,-510.4,-641.0,,-678.4,False,True,True,,False
Massachusetts,10953,10448.9,10390.0,12012.1,10006.0,,9937.0,-504.1,-563.0,1059.1,-947.0,,-1016.0,False,False,False,,False
Michigan,10321,7832.6,8387.9,7793.0,7620.0,,7501.8,-2488.4,-1933.1,-2528.0,-2701.0,,-2819.2,True,False,False,,False
Minnesota,3979,2779.6,3614.4,2698.7,2684.0,,2743.5,-1199.4,-364.6,-1280.3,-1295.0,,-1235.5,True,False,False,,False
Mississippi,3949,3845.6,3331.1,3848.3,3888.0,,3757.1,-103.4,-617.9,-100.7,-61.0,,-191.9,False,True,True,,False
Missouri,4276,3364.0,2961.5,3790.6,3214.0,,2604.4,-912.0,-1314.5,-485.4,-1062.0,,-1671.6,False,True,False,,False
Montana,734,311.0,275.0,670.8,324.0,,292.1,-423.0,-459.0,-63.2,-410.0,,-441.9,False,True,True,,False
Nebraska,1194,775.6,982.3,808.0,659.0,,557.8,-418.4,-211.7,-386.0,-535.0,,-636.2,True,True,False,,False
Nevada,2301,1959.6,1704.7,2256.9,1883.0,,2210.1,-341.4,-596.3,-44.1,-418.0,,-90.9,False,True,False,,True
New Hampshire,559,478.4,1110.8,465.4,479.0,,481.0,-80.6,551.8,-93.6,-80.0,,-78.0,False,False,True,,True
New Jersey,17306,16401.7,16274.5,16859.9,16417.5,,16322.5,-904.3,-1031.5,-446.1,-888.5,,-983.5,False,True,True,,False
New Mexico,1738,1086.9,1071.0,1307.7,1045.0,,998.1,-651.1,-667.0,-430.3,-693.0,,-739.9,False,True,False,,False
New York,34900,33860.4,34548.5,34607.4,33533.0,,33475.1,-855.6,-167.5,-108.6,-1183.0,,-1240.9,True,True,False,,False
North Carolina,5516,5343.4,4860.7,5331.5,5002.0,,4757.2,-172.6,-655.3,-184.5,-514.0,,-758.8,False,False,False,,False
North Dakota,1013,654.9,620.2,798.5,553.0,,404.2,-358.1,-392.8,-214.5,-460.0,,-608.8,False,True,False,,False
Ohio,6946,6554.7,8237.9,6088.2,5601.5,,5987.5,-391.3,1291.9,-857.8,-1344.5,,-958.5,False,False,False,,False
Oklahoma,1874,1449.6,1342.0,1675.6,1540.0,,1504.0,-424.4,-532.0,-198.4,-334.0,,-370.0,False,True,True,,True
Oregon,1027,828.9,1089.9,764.4,723.0,,798.7,-198.1,62.9,-262.6,-304.0,,-228.3,True,False,False,,False
Pennsylvania,11191,9160.4,8736.6,9564.3,8970.0,,8651.0,-2030.6,-2454.4,-1626.7,-2221.0,,-2540.0,False,True,False,,False
Rhode Island,1413,1215.4,1132.8,1319.4,1208.0,,1170.2,-197.6,-280.2,-93.6,-205.0,,-242.8,False,True,False,,False
South Carolina,4517,4577.9,4322.1,4303.3,4197.0,,4398.2,60.9,-194.9,-213.7,-320.0,,-118.8,False,False,False,,False
South Dakota,1091,513.7,665.6,569.8,373.0,,323.2,-577.3,-425.4,-521.2,-718.0,,-767.8,True,True,False,,False
Tennessee,4905,4348.4,6000.0,3978.2,3618.0,,4023.7,-556.6,1095.0,-926.8,-1287.0,,-881.3,False,False,False,,False
Texas,23055,21412.9,21086.8,23378.0,20941.0,23739.0,20491.8,-1628.1,-1954.2,337.0,-2100.0,698.0,-2549.2,False,True,False,True,False
Utah,939,699.4,1343.2,818.0,580.0,,672.9,-239.6,404.2,-121.0,-359.0,,-266.1,False,True,False,,False
Vermont,79,58.0,60.0,61.4,58.0,,59.3,-21.0,-19.0,-17.6,-21.0,,-19.7,True,True,False,,True
Virginia,4197,4270.9,3396.4,4505.0,3952.0,,3767.4,76.9,-797.6,311.0,-242.0,,-426.6,False,False,False,,False
Washington,2925,2514.0,2467.7,3244.2,2405.0,,2707.0,-411.0,-457.3,319.2,-520.0,,-218.0,False,True,False,,True
West Virginia,829,585.4,440.2,614.8,590.0,,526.5,-243.6,-388.8,-214.2,-239.0,,-302.5,False,True,True,,False
Wisconsin,3934,2227.3,3452.0,2481.9,1927.0,,2029.1,-1630.7,-406.0,-1376.1,-1931.0,,-1828.9,True,True,False,,False
Wyoming,266,79.6,95.8,188.1,77.0,,65.9,-186.4,-170.2,-77.9,-189.0,,-200.1,True,True,False,,False
US,281186,253696.7,245739.5,261804.4,248920.0,247938.0,245574.6,-27202.3,-35159.5,-19094.6,-31979.0,-32961.0,-35324.4,False,True,False,False,False
