,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9793,9645.6,9356.8,9705.8,9665.0,9625.1,9792.0,9586.0,9707.9,9291.0,11754.5,10316.0,9825.4,9970.7,9785.1,,10221.8,9652.0,9875.0,9891.7,9615.9,9598.0,9518.2,9896.3,10048.0,9614.2,10074.0,10005.3,9811.7,,9654.4,9729.2,9728.0,,9765.9,9627.2,10303.0,9557.9,9810.0,9554.9,,10303.8,10007.7,9841.7,9798.0,9791.2,10289.8,9957.0,9637.0,9325.8,9176.0,-147.4,-436.2,-87.2,-128.0,-167.9,-1.0,-207.0,-85.1,-502.0,1961.5,523.0,32.4,177.7,-7.9,,428.8,-141.0,82.0,98.7,-177.1,-195.0,-274.8,103.3,255.0,-178.8,281.0,212.3,18.7,,-138.6,-63.8,-65.0,,-27.1,-165.8,510.0,-235.1,17.0,-238.1,,510.8,214.7,48.7,5.0,-1.8,496.8,164.0,-156.0,-467.2,-617.0,False,True,True,False,True,False,True,False,False,False,True,False,True,,False,True,True,True,False,False,False,True,False,False,False,False,True,,True,True,True,,True,False,False,False,True,False,,False,False,True,True,True,False,False,False,False,False
Hawaii,261,253.4,252.9,252.1,236.0,249.0,250.0,245.0,240.1,222.0,255.8,250.0,253.7,,261.4,,227.5,,,231.0,235.0,263.0,262.0,234.6,243.0,238.8,250.0,256.8,248.6,,325.8,254.0,253.0,,,232.2,240.0,267.5,259.0,243.0,,233.1,262.7,247.7,250.0,256.9,240.5,244.0,245.0,242.5,,-7.6,-8.1,-8.9,-25.0,-12.0,-11.0,-16.0,-20.9,-39.0,-5.2,-11.0,-7.3,,0.4,,-33.5,,,-30.0,-26.0,2.0,1.0,-26.4,-18.0,-22.2,-11.0,-4.2,-12.4,,64.8,-7.0,-8.0,,,-28.8,-21.0,6.5,-2.0,-18.0,,-27.9,1.7,-13.3,-11.0,-4.1,-20.5,-17.0,-16.0,-18.5,,False,False,False,False,False,False,False,False,True,False,True,,True,,False,,,False,False,True,True,False,False,False,False,True,False,,False,True,False,,,False,False,True,True,False,,False,True,False,False,True,False,False,False,False,
Idaho,1032,1016.1,1080.2,1022.8,1056.0,1023.0,1042.0,965.0,1058.5,1000.0,1104.4,1022.0,1019.4,1073.5,1050.8,,1037.1,986.0,1059.0,1041.8,957.1,1062.0,989.5,1060.0,991.0,1036.8,1078.0,1072.9,1051.9,,1000.4,1063.3,1105.0,,,1033.5,1076.0,1038.1,1045.0,1014.8,,1143.2,1080.8,1054.0,1002.0,992.0,1035.1,1042.0,946.0,912.3,1035.0,-15.9,48.2,-9.2,24.0,-9.0,10.0,-67.0,26.5,-32.0,72.4,-10.0,-12.6,41.5,18.8,,5.1,-46.0,27.0,9.8,-74.9,30.0,-42.5,28.0,-41.0,4.8,46.0,40.9,19.9,,-31.6,31.3,73.0,,,1.5,44.0,6.1,13.0,-17.2,,111.2,48.8,22.0,-30.0,-40.0,3.1,10.0,-86.0,-119.7,3.0,False,True,False,True,True,False,False,False,False,True,True,False,False,,True,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,,True,False,True,True,False,,False,False,False,False,False,True,True,False,False,True
Illinois,14016,13699.1,14029.0,13695.8,13960.0,13677.1,13925.0,13667.0,13903.4,13218.0,14482.3,14240.0,13678.7,13985.6,13816.9,,13717.0,13641.0,13747.0,14170.1,12790.1,13958.0,13260.3,14065.2,13979.0,14093.8,13871.0,13654.5,13989.4,13095.0,12567.9,13934.8,12983.0,,13342.1,14063.9,14462.0,12151.8,13641.0,13802.4,,14508.0,13715.7,13720.2,13872.0,14087.1,17584.4,14305.0,14299.5,12523.9,14979.0,-316.9,13.0,-320.2,-56.0,-338.9,-91.0,-349.0,-112.6,-798.0,466.3,224.0,-337.3,-30.4,-199.1,,-299.0,-375.0,-269.0,154.1,-1225.9,-58.0,-755.7,49.2,-37.0,77.8,-145.0,-361.5,-26.6,-921.0,-1448.1,-81.2,-1033.0,,-673.9,47.9,446.0,-1864.2,-375.0,-213.6,,492.0,-300.3,-295.8,-144.0,71.1,3568.4,289.0,283.5,-1492.1,963.0,True,False,True,False,True,False,True,False,False,True,False,True,True,,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,,False,True,False,False,False,True,,False,True,True,True,True,False,True,True,False,False
Indiana,6207,6038.6,6164.8,5961.1,6072.0,5962.0,6162.0,6202.0,6111.0,6063.0,6701.2,6546.0,6217.2,6540.4,6220.8,,6149.1,5883.0,6169.0,6308.1,6107.6,5969.0,5971.0,6228.0,5974.0,6246.4,6161.0,6104.0,6232.9,5368.5,6157.5,6160.8,5960.0,,5859.5,6166.4,6476.0,5616.8,6032.0,5996.9,,6592.8,6114.6,6145.3,6220.0,6077.0,7703.0,6428.0,6085.5,5240.9,6162.0,-168.4,-42.2,-245.9,-135.0,-245.0,-45.0,-5.0,-96.0,-144.0,494.2,339.0,10.2,333.4,13.8,,-57.9,-324.0,-38.0,101.1,-99.4,-238.0,-236.0,21.0,-233.0,39.4,-46.0,-103.0,25.9,-838.5,-49.5,-46.2,-247.0,,-347.5,-40.6,269.0,-590.2,-175.0,-210.1,,385.8,-92.4,-61.7,13.0,-130.0,1496.0,221.0,-121.5,-966.1,-45.0,True,False,True,False,True,True,True,True,False,False,True,False,True,,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,,False,True,False,False,False,False,,False,True,True,True,True,False,False,True,False,True
Iowa,2682,2597.6,2604.0,2601.0,2624.0,2603.0,2656.0,2701.0,2739.8,2512.0,2971.0,2709.0,2657.3,2792.1,2712.4,,2701.5,2542.0,2636.0,2706.0,2456.9,2865.0,2620.3,2727.2,2521.0,2696.8,2843.0,2700.6,2685.7,,2902.0,2655.8,2650.0,,2543.7,2744.9,2589.0,3001.6,2525.0,2639.9,,3066.5,2708.8,2745.8,2613.0,2641.0,3178.0,2846.0,2558.0,2324.2,2676.0,-84.4,-78.0,-81.0,-58.0,-79.0,-26.0,19.0,57.8,-170.0,289.0,27.0,-24.7,110.1,30.4,,19.5,-140.0,-46.0,24.0,-225.1,183.0,-61.7,45.2,-161.0,14.8,161.0,18.6,3.7,,220.0,-26.2,-32.0,,-138.3,62.9,-93.0,319.6,-157.0,-42.1,,384.5,26.8,63.8,-69.0,-41.0,496.0,164.0,-124.0,-357.8,-6.0,True,True,True,True,True,True,True,False,False,True,True,False,True,,True,False,True,True,False,False,True,True,False,True,False,True,True,,False,True,True,,False,True,False,False,False,True,,False,True,True,True,True,False,False,False,False,True
Kansas,1786,1589.7,1646.0,1603.8,1613.0,1607.0,1640.0,1644.0,1651.9,1474.0,1618.7,1739.0,1607.7,1822.5,1628.9,,1497.0,1628.0,1675.0,1589.6,1639.9,1811.0,1621.9,1695.4,1552.0,1584.7,1751.0,1638.0,1627.7,,1734.8,1618.5,1506.0,,,1847.4,1724.0,1604.1,1571.0,1654.5,,1784.6,1648.7,1744.5,1765.0,1517.7,1669.3,1746.0,1487.0,1432.3,1594.0,-112.3,-56.0,-98.2,-89.0,-95.0,-62.0,-58.0,-50.1,-228.0,-83.3,37.0,-94.3,120.5,-73.1,,-205.0,-74.0,-27.0,-112.4,-62.1,109.0,-80.1,-6.6,-150.0,-117.3,49.0,-64.0,-74.3,,32.8,-83.5,-196.0,,,145.4,22.0,-97.9,-131.0,-47.5,,82.6,-53.3,42.5,63.0,-184.3,-32.7,44.0,-215.0,-269.7,-108.0,True,True,True,True,True,True,True,False,True,True,True,False,True,,False,True,True,False,True,True,True,True,False,False,True,True,True,,True,True,False,,,False,True,True,False,True,,True,True,True,True,False,True,True,False,False,True
Kentucky,2062,2021.0,2122.6,2038.6,2051.0,2033.0,2066.0,2086.0,2148.2,1922.0,2071.8,2054.0,2041.2,2051.6,2075.1,,2102.0,2008.0,2087.5,2059.5,1976.8,2202.0,2187.2,2092.9,2034.0,2158.5,2232.0,2101.9,2112.0,2047.0,1860.8,2131.2,1949.0,,,2087.6,2067.0,2300.5,2065.0,2063.6,,2271.1,2110.6,2228.8,2126.0,2041.0,2370.8,2096.0,1998.5,1886.6,2044.0,-41.0,60.6,-23.4,-11.0,-29.0,4.0,24.0,86.2,-140.0,9.8,-8.0,-20.8,-10.4,13.1,,40.0,-54.0,25.5,-2.5,-85.2,140.0,125.2,30.9,-28.0,96.5,170.0,39.9,50.0,-15.0,-201.2,69.2,-113.0,,,25.6,5.0,238.5,3.0,1.6,,209.1,48.6,166.8,64.0,-21.0,308.8,34.0,-63.5,-175.4,-18.0,False,True,True,True,True,True,False,False,True,True,True,True,True,,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,,,True,True,False,True,True,,False,False,False,False,True,False,True,False,False,True
Louisiana,6548,6518.1,6650.3,6456.8,6498.0,6457.0,6531.0,6438.0,6576.9,6808.0,6593.8,6417.0,6504.8,6730.6,6516.7,,7311.7,6446.0,6717.0,6556.4,7330.9,6461.0,6468.2,6537.1,6631.5,6576.0,6650.0,6452.8,6581.8,,6481.2,6450.9,6347.0,,6430.3,6410.5,6571.0,6462.4,6534.0,6478.5,,6639.4,6459.9,6899.8,6646.0,6559.7,6857.3,6635.0,6440.5,6430.5,6489.0,-29.9,102.3,-91.2,-50.0,-91.0,-17.0,-110.0,28.9,260.0,45.8,-131.0,-43.2,182.6,-31.3,,763.7,-102.0,169.0,8.4,782.9,-87.0,-79.8,-10.9,83.5,28.0,102.0,-95.2,33.8,,-66.8,-97.1,-201.0,,-117.7,-137.5,23.0,-85.6,-14.0,-69.5,,91.4,-88.1,351.8,98.0,11.7,309.3,87.0,-107.5,-117.5,-59.0,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,True,False,False,False,,False,False,False,,False,False,True,False,True,False,,False,False,False,False,True,False,False,False,False,False
Maine,227,196.4,195.3,197.2,199.0,196.0,205.0,183.0,205.4,215.0,233.6,210.0,194.4,212.9,210.6,,201.5,188.0,202.0,207.7,190.6,206.0,261.3,220.6,224.0,193.7,228.0,201.5,211.3,,177.0,201.2,188.0,,,192.4,221.0,199.9,212.0,190.6,,210.2,212.7,210.3,201.0,182.3,240.6,215.0,235.5,180.4,203.0,-30.6,-31.7,-29.8,-28.0,-31.0,-22.0,-44.0,-21.6,-12.0,6.6,-17.0,-32.6,-14.1,-16.4,,-25.5,-39.0,-25.0,-19.3,-36.4,-21.0,34.3,-6.4,-3.0,-33.3,1.0,-25.5,-15.7,,-50.0,-25.8,-39.0,,,-34.6,-6.0,-27.1,-15.0,-36.4,,-16.8,-14.3,-16.7,-26.0,-44.7,13.6,-12.0,8.5,-46.6,-24.0,False,True,True,False,True,False,True,True,True,True,False,True,True,,True,False,True,True,False,True,False,True,True,False,True,True,True,,False,True,False,,,False,True,True,True,False,,True,True,True,True,False,True,True,True,False,True
Maryland,4820,4679.1,4806.0,4657.1,4712.0,4659.0,4745.0,4831.0,4694.5,4744.0,4748.7,4538.0,4688.0,4849.8,4793.2,,4665.8,4614.0,4751.0,4692.9,4643.2,4711.0,4715.8,4875.1,4772.0,4790.8,4730.0,4671.6,4747.8,,4662.6,4769.1,4621.0,,4591.5,4666.0,4764.0,4807.8,4692.0,4654.5,,4749.2,4682.1,4763.8,4776.0,4642.3,5124.5,4772.0,4809.5,4487.7,4883.0,-140.9,-14.0,-162.9,-108.0,-161.0,-75.0,11.0,-125.5,-76.0,-71.3,-282.0,-132.0,29.8,-26.8,,-154.2,-206.0,-69.0,-127.1,-176.8,-109.0,-104.2,55.1,-48.0,-29.2,-90.0,-148.4,-72.2,,-157.4,-50.9,-199.0,,-228.5,-154.0,-56.0,-12.2,-128.0,-165.5,,-70.8,-137.9,-56.2,-44.0,-177.7,304.5,-48.0,-10.5,-332.3,63.0,True,False,True,False,True,True,True,True,True,False,True,True,True,,False,False,True,True,False,True,True,True,True,True,True,False,True,,False,True,False,,False,False,True,True,True,False,,True,True,True,True,False,False,True,True,False,True
Massachusetts,10953,10851.9,10968.6,10868.8,10925.0,10878.0,10966.0,10977.0,10969.2,10947.0,11194.4,11105.0,11045.2,11077.4,11053.3,,10958.3,10740.0,10972.0,11000.1,11030.9,10884.0,10842.4,11034.2,10868.0,10960.2,10922.0,10988.7,10969.9,,10926.0,10940.1,10741.5,,10824.2,10847.8,10868.0,11773.3,10908.0,10867.1,,11163.3,10998.2,10885.4,10974.0,10697.9,12378.8,11023.0,10906.5,10658.1,10819.0,-101.1,15.6,-84.2,-28.0,-75.0,13.0,24.0,16.2,-6.0,241.4,152.0,92.2,124.4,100.3,,5.3,-213.0,19.0,47.1,77.9,-69.0,-110.6,81.2,-85.0,7.2,-31.0,35.7,16.9,,-27.0,-12.9,-211.5,,-128.8,-105.2,-85.0,820.3,-45.0,-85.9,,210.3,45.2,-67.6,21.0,-255.1,1425.8,70.0,-46.5,-294.9,-134.0,True,True,True,True,True,True,True,True,False,False,True,False,True,,True,False,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,True,False,True,True,,False,True,True,True,False,False,True,True,False,False
Michigan,10321,9801.7,10014.7,9868.7,9928.0,9873.1,10108.0,10031.0,10038.9,10113.0,10818.6,10610.0,9900.7,10557.6,10110.2,,10466.9,9684.0,10289.0,10173.7,9688.0,9973.0,9965.3,10508.5,10571.0,10168.6,10027.0,10092.7,10153.8,9421.5,9247.5,10146.5,9476.0,,9627.4,10600.0,10701.0,10991.8,9492.0,9821.8,,10737.4,10120.6,9998.0,10266.0,10653.3,13670.1,10548.0,9901.0,8968.1,10056.0,-519.3,-306.3,-452.3,-393.0,-447.9,-213.0,-290.0,-282.1,-208.0,497.6,289.0,-420.3,236.6,-210.8,,145.9,-637.0,-32.0,-147.3,-633.0,-348.0,-355.7,187.5,250.0,-152.4,-294.0,-228.3,-167.2,-899.5,-1073.5,-174.5,-845.0,,-693.6,279.0,380.0,670.8,-829.0,-499.2,,416.4,-200.4,-323.0,-55.0,332.3,3349.1,227.0,-420.0,-1352.9,-265.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,,False,True,True,False,False,True,,True,True,True,True,True,False,True,True,False,True
Minnesota,3979,3921.0,4095.3,3919.7,4056.0,3911.0,4109.0,4155.0,4089.6,4255.0,4628.4,4478.0,3933.2,4104.4,4090.5,,4156.7,3879.0,4132.0,4171.8,3919.9,4179.0,3897.7,4341.8,4109.0,4161.2,4217.0,4018.7,4226.6,3572.0,3496.1,4079.9,4031.0,,3904.5,4237.6,4425.0,3206.7,3931.0,3935.8,,4485.4,4035.8,4072.4,4138.0,4005.4,5057.4,4230.0,4373.5,3383.6,4447.0,-58.0,116.3,-59.3,77.0,-68.0,130.0,176.0,110.6,276.0,649.4,499.0,-45.8,125.4,111.5,,177.7,-100.0,153.0,192.8,-59.1,200.0,-81.3,362.8,130.0,182.2,238.0,39.7,247.6,-407.0,-482.9,100.9,52.0,,-74.5,258.6,446.0,-772.3,-48.0,-43.2,,506.4,56.8,93.4,159.0,26.4,1078.4,251.0,394.5,-595.4,468.0,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,False,True,True,,False,True,False,False,True,False,False,False,False,False
Mississippi,3949,3923.0,3959.1,3891.9,3914.0,3891.1,3923.0,3746.0,3910.2,3859.0,3928.2,3798.0,3919.1,3927.6,3949.5,,3945.7,3895.0,3922.0,3943.2,3845.1,3973.0,3819.5,3959.2,3949.0,3950.4,3941.0,3908.4,3947.1,,3867.2,3916.5,3930.0,,3858.7,3975.0,3925.0,4116.1,3955.0,3903.0,,3993.8,3917.0,4005.8,3958.0,3864.4,4063.1,3940.0,3898.0,3806.0,4005.0,-26.0,10.1,-57.1,-35.0,-57.9,-26.0,-203.0,-38.8,-90.0,-20.8,-151.0,-29.9,-21.4,0.5,,-3.3,-54.0,-27.0,-5.8,-103.9,24.0,-129.5,10.2,0.0,1.4,-8.0,-40.6,-1.9,,-81.8,-32.5,-19.0,,-90.3,26.0,-24.0,167.1,6.0,-46.0,,44.8,-32.0,56.8,9.0,-84.6,114.1,-9.0,-51.0,-143.0,56.0,True,False,False,False,False,False,False,False,True,False,False,True,True,,True,False,False,True,False,True,False,True,True,True,True,False,True,,False,False,True,,False,True,True,False,True,False,,False,False,False,True,False,False,True,False,False,False
Missouri,4276,3932.7,4064.1,3910.8,4047.0,3948.0,4060.0,4275.0,4119.4,4012.0,4433.8,4430.0,4132.0,4063.9,3895.0,,4168.6,3946.0,4190.0,4127.5,3894.7,3878.0,4121.8,4166.8,3892.0,4085.5,4224.0,4031.1,4066.8,,4313.9,4159.2,3955.0,,3713.2,4051.4,4003.0,4471.2,3929.0,3892.4,,4736.7,4033.0,4141.0,4116.0,3922.5,4558.6,4047.0,3904.0,3535.5,4021.0,-343.3,-211.9,-365.2,-229.0,-328.0,-216.0,-1.0,-156.6,-264.0,157.8,154.0,-144.0,-212.1,-381.0,,-107.4,-330.0,-86.0,-148.5,-381.3,-398.0,-154.2,-109.2,-384.0,-190.5,-52.0,-244.9,-209.2,,37.9,-116.8,-321.0,,-562.8,-224.6,-273.0,195.2,-347.0,-383.6,,460.7,-243.0,-135.0,-160.0,-353.5,282.6,-229.0,-372.0,-740.5,-255.0,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,False,False,True,True,False,True,True,True,True,,True,True,True,,False,True,True,True,False,False,,False,True,True,True,False,True,True,False,False,True
Montana,734,757.1,803.3,778.9,787.0,772.0,789.0,795.0,748.4,736.0,867.1,774.0,758.6,838.5,766.1,,632.9,845.0,810.0,829.2,786.3,846.0,736.4,808.0,683.0,773.1,819.0,810.6,779.9,,700.2,813.3,737.0,,,829.5,816.0,805.4,791.0,753.9,,893.9,819.1,813.2,824.0,743.7,788.3,815.0,694.0,681.5,785.0,23.1,69.3,44.9,53.0,38.0,55.0,61.0,14.4,2.0,133.1,40.0,24.6,104.5,32.1,,-101.1,111.0,76.0,95.2,52.3,112.0,2.4,74.0,-51.0,39.1,85.0,76.6,45.9,,-33.8,79.3,3.0,,,95.5,82.0,71.4,57.0,19.9,,159.9,85.1,79.2,90.0,9.7,54.3,81.0,-40.0,-52.5,51.0,False,False,False,False,False,False,True,True,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,True,,,False,False,False,False,True,,False,False,False,False,True,False,False,False,False,False
Nebraska,1194,1150.4,1223.3,1156.8,1181.0,1157.0,1178.0,1180.0,1182.1,1111.0,1208.5,1170.0,1159.0,1224.4,1168.5,,1098.9,1059.0,1139.0,1216.4,1042.4,1304.0,1114.1,1198.5,1110.0,1202.5,1260.0,1195.5,1192.5,,1040.7,1205.1,1173.0,,,1299.8,1227.0,1116.6,1188.0,1158.4,,1265.1,1207.4,1249.7,1132.0,1056.7,1226.5,1221.0,1112.0,971.3,1227.0,-43.6,29.3,-37.2,-13.0,-37.0,-16.0,-14.0,-11.9,-83.0,14.5,-24.0,-35.0,30.4,-25.5,,-95.1,-135.0,-55.0,22.4,-151.6,110.0,-79.9,4.5,-84.0,8.5,66.0,1.5,-1.5,,-153.3,11.1,-21.0,,,105.8,33.0,-77.4,-6.0,-35.6,,71.1,13.4,55.7,-62.0,-137.3,32.5,27.0,-82.0,-222.7,33.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,False,False,True,False,False,False,True,False,True,False,True,True,,False,True,True,,,False,True,False,True,True,,False,True,False,False,False,True,True,False,False,True
Nevada,2301,2217.6,2249.7,2217.9,2210.0,2217.0,2249.0,2264.0,2241.2,2186.0,2211.7,2177.0,2171.3,2291.0,2247.0,,2193.5,2230.0,2121.0,2234.5,2151.8,2266.0,2238.6,2277.2,2260.0,2260.0,2245.0,2260.2,2270.9,,2251.5,2278.2,2111.0,,2219.6,2495.3,2225.0,1991.9,2272.0,2245.3,,2314.9,2270.9,2274.0,2250.0,2165.0,2368.1,2292.0,2221.0,2096.5,2324.0,-83.4,-51.3,-83.1,-91.0,-84.0,-52.0,-37.0,-59.8,-115.0,-89.3,-124.0,-129.7,-10.0,-54.0,,-107.5,-71.0,-180.0,-66.5,-149.2,-35.0,-62.4,-23.8,-41.0,-41.0,-56.0,-40.8,-30.1,,-49.5,-22.8,-190.0,,-81.4,194.3,-76.0,-309.1,-29.0,-55.7,,13.9,-30.1,-27.0,-51.0,-136.0,67.1,-9.0,-80.0,-204.5,23.0,True,True,False,False,True,True,True,False,False,False,False,True,True,,False,True,False,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,False,True,False,True,True,,True,True,True,True,False,True,True,True,False,True
New Hampshire,559,536.1,554.6,526.0,532.0,526.0,546.0,560.0,550.6,544.0,535.5,587.0,549.9,565.4,565.1,,518.3,530.0,558.0,538.9,564.1,538.0,591.8,553.3,546.0,542.9,558.0,530.8,555.9,,539.9,545.5,534.0,,,528.4,553.0,593.6,564.0,524.1,,558.8,541.9,547.4,555.0,521.3,700.2,542.0,540.0,519.3,530.0,-22.9,-4.4,-33.0,-27.0,-33.0,-13.0,1.0,-8.4,-15.0,-23.5,28.0,-9.1,6.4,6.1,,-40.7,-29.0,-1.0,-20.1,5.1,-21.0,32.8,-5.7,-13.0,-16.1,-1.0,-28.2,-3.1,,-19.1,-13.5,-25.0,,,-30.6,-6.0,34.6,5.0,-34.9,,-0.2,-17.1,-11.6,-4.0,-37.7,141.2,-17.0,-19.0,-39.7,-29.0,True,False,False,False,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True,False,True,True,True,True,False,True,,True,True,False,,,False,True,False,True,False,,True,True,True,True,False,False,True,True,False,False
New Jersey,17306,17123.1,17303.6,17144.4,17220.0,17142.4,17242.0,17495.0,17275.2,17299.0,17228.5,17205.0,17119.2,17618.5,17451.9,,17034.5,17112.0,17246.0,17183.2,17067.7,17237.0,17320.2,17288.2,17340.0,17296.9,17235.0,17237.8,17262.1,,17045.7,17259.8,16838.0,,16970.5,17092.0,17165.0,17107.0,17120.0,17238.6,,17390.8,17248.9,17270.9,17238.0,17112.2,19968.5,17322.0,17524.0,16810.9,17522.0,-182.9,-2.4,-161.6,-86.0,-163.6,-64.0,189.0,-30.8,-7.0,-77.5,-101.0,-186.8,312.5,145.9,,-271.5,-194.0,-60.0,-122.8,-238.3,-69.0,14.2,-17.8,34.0,-9.1,-71.0,-68.2,-43.9,,-260.3,-46.2,-468.0,,-335.5,-214.0,-141.0,-199.0,-186.0,-67.4,,84.8,-57.1,-35.1,-68.0,-193.8,2662.5,16.0,218.0,-495.1,216.0,True,True,True,True,True,False,True,True,True,True,False,False,True,,False,False,True,True,False,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,False,False,True,,True,True,True,True,False,False,True,False,False,False
