,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Kansas,1786,1384.4,1537.7,1392.5,1538.0,1390.0,1500.0,1833.0,1503.2,2005.0,1809.0,1427.0,1477.1,1537.1,1546.9,,1514.0,1591.3,1635.1,1525.0,1292.6,1449.5,1780.5,1457.0,1538.9,1602.0,1494.6,1543.1,,1295.6,1499.6,1432.0,,,1288.7,1974.0,1145.2,1626.0,1355.6,,1573.6,1513.4,1874.0,1464.1,1562.0,1458.3,1314.0,1252.6,1397.0,-334.6,-181.3,-326.5,-181.0,-329.0,-219.0,114.0,-215.8,286.0,90.0,-292.0,-241.9,-181.9,-172.1,,-205.0,-127.7,-83.9,-194.0,-426.4,-269.5,61.5,-262.0,-180.1,-117.0,-224.4,-175.9,,-423.4,-219.4,-287.0,,,-430.3,255.0,-573.8,-93.0,-363.4,,-145.4,-205.6,155.0,-254.9,-157.0,-260.7,-405.0,-466.4,-322.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,True,False,True,False,,True,True,True,True,True,True,False,False,True
Kentucky,2062,1858.1,1888.1,1868.6,2025.0,1865.2,1926.0,2276.0,2037.0,2170.0,2160.4,1923.0,1925.5,2117.0,2060.2,,1930.0,2062.8,2028.5,2085.0,1850.5,1954.5,2099.2,1862.0,1956.5,2161.0,2037.2,2028.6,2403.5,1770.6,1982.8,1867.0,,,1840.6,2000.0,1787.7,1828.0,1895.7,,1937.4,2058.7,1984.0,1842.0,2003.0,1914.4,1869.5,1716.7,1867.0,-203.9,-173.9,-193.4,-37.0,-196.8,-136.0,214.0,-25.0,108.0,98.4,-139.0,-136.5,55.0,-1.8,,-132.0,0.8,-33.5,23.0,-211.5,-107.5,37.2,-200.0,-105.5,99.0,-24.8,-33.4,341.5,-291.4,-79.2,-195.0,,,-221.4,-62.0,-274.3,-234.0,-166.3,,-124.6,-3.3,-78.0,-220.0,-59.0,-147.6,-192.5,-345.3,-195.0,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,,,False,True,False,False,True,,True,True,True,False,True,True,True,False,True
Louisiana,6548,6460.3,6441.9,6404.5,6309.0,6404.8,6409.0,6427.0,6319.9,6507.0,6442.5,6185.0,6366.3,6468.6,6361.2,,6283.0,6464.7,6285.1,6167.0,6227.0,6364.0,6419.6,6469.0,6408.4,6361.0,6441.5,6448.7,,6355.1,6409.3,6134.0,,6385.9,6300.3,6438.0,5693.0,6514.0,6470.6,,6388.7,6458.0,6384.0,6562.7,6362.0,6409.9,6352.0,6097.2,6423.0,-87.7,-106.1,-143.5,-239.0,-143.2,-139.0,-121.0,-228.1,-41.0,-105.5,-363.0,-181.7,-79.4,-186.8,,-265.0,-83.3,-262.9,-381.0,-321.0,-184.0,-128.4,-79.0,-139.6,-187.0,-106.5,-99.3,,-192.9,-138.7,-414.0,,-162.1,-247.7,-110.0,-855.0,-34.0,-77.4,,-159.3,-90.0,-164.0,14.7,-186.0,-138.1,-196.0,-450.8,-125.0,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,True,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,False,False,True,True,,False,False,False,True,False,False,False,False,False
Maine,227,171.3,445.5,169.5,177.0,167.0,178.0,239.0,184.6,358.0,165.2,179.0,174.5,189.7,206.3,,186.5,159.0,177.7,190.0,172.5,151.0,218.9,161.0,169.0,218.0,173.4,201.2,,166.7,185.1,157.0,,,180.4,188.0,183.8,186.0,154.8,,152.5,197.3,204.0,163.0,196.0,172.0,162.0,157.9,,-55.7,218.5,-57.5,-50.0,-60.0,-49.0,12.0,-42.4,131.0,-61.8,-48.0,-52.5,-37.3,-20.7,,-40.5,-68.0,-49.3,-37.0,-54.5,-76.0,-8.1,-66.0,-58.0,-9.0,-53.6,-25.8,,-60.3,-41.9,-70.0,,,-46.6,-39.0,-43.2,-41.0,-72.2,,-74.5,-29.7,-23.0,-64.0,-31.0,-55.0,-65.0,-69.1,,False,False,True,False,True,True,True,False,False,True,True,True,True,,True,False,True,True,True,False,True,False,False,True,True,True,,False,True,False,,,True,True,True,True,False,,False,True,True,False,True,True,False,False,
Maryland,4820,4443.4,4489.0,4413.5,4543.0,4418.5,4505.0,4883.0,4543.1,4906.0,4530.0,4398.0,4482.5,4490.8,4543.3,,4445.0,4504.6,4495.3,4467.0,4470.5,4429.0,4553.6,4519.0,4564.8,4482.0,4498.3,4517.1,,4577.8,4532.0,4534.5,,4452.1,4386.6,4508.0,4390.1,4603.0,4383.5,,4463.3,4521.1,4605.0,4442.5,4539.0,4505.9,4566.0,4335.9,4508.0,-376.6,-331.0,-406.5,-277.0,-401.5,-315.0,63.0,-276.9,86.0,-290.0,-422.0,-337.5,-329.2,-276.7,,-375.0,-315.4,-324.7,-353.0,-349.5,-391.0,-266.4,-301.0,-255.2,-338.0,-321.7,-302.9,,-242.2,-288.0,-285.5,,-367.9,-433.4,-312.0,-429.9,-217.0,-436.5,,-356.7,-298.9,-215.0,-377.5,-281.0,-314.1,-254.0,-484.1,-312.0,True,False,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,,True,False,True,False,True,False,,True,True,True,False,True,True,True,False,True
Massachusetts,10953,10673.6,10702.5,10683.6,10679.0,10688.5,10788.0,11083.0,10895.6,11584.0,11318.4,10800.0,10732.0,11013.7,10738.1,,10643.0,11014.1,10982.6,10654.0,10452.7,10607.0,10778.1,10788.0,10853.6,10532.0,10894.7,10858.8,,10463.4,10871.0,10518.0,,10724.0,10498.8,11059.0,11802.8,11361.0,10459.0,,10833.3,10918.0,11134.0,10655.1,11037.0,10782.6,10702.5,10398.6,10540.0,-279.4,-250.5,-269.4,-274.0,-264.5,-165.0,130.0,-57.4,631.0,365.4,-153.0,-221.0,60.7,-214.9,,-310.0,61.1,29.6,-299.0,-500.3,-346.0,-174.9,-165.0,-99.4,-421.0,-58.3,-94.2,,-489.6,-82.0,-435.0,,-229.0,-454.2,106.0,849.8,408.0,-494.0,,-119.7,-35.0,181.0,-297.9,84.0,-170.4,-250.5,-554.4,-413.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,,False,True,False,,True,False,True,False,False,False,,True,True,True,False,True,True,True,False,False
Michigan,10321,8893.9,9390.3,8950.4,9284.0,8930.0,9277.0,10459.0,9295.3,11230.0,10294.7,9951.0,8961.7,,9714.4,,8848.0,9468.8,9972.4,9049.0,8559.5,8741.5,10512.1,9346.0,9302.7,8760.0,9495.1,9262.8,10859.0,8435.8,9459.6,8632.0,,8505.0,9868.0,9632.0,8643.7,8510.0,8736.6,,8826.2,9517.9,10758.0,8591.8,9717.0,8947.5,8753.5,8107.0,9127.0,-1427.1,-930.7,-1370.6,-1037.0,-1391.0,-1044.0,138.0,-1025.7,909.0,-26.3,-370.0,-1359.3,,-606.6,,-1473.0,-852.2,-348.6,-1272.0,-1761.5,-1579.5,191.1,-975.0,-1018.3,-1561.0,-825.9,-1058.2,538.0,-1885.2,-861.4,-1689.0,,-1816.0,-453.0,-689.0,-1677.3,-1811.0,-1584.4,,-1494.8,-803.1,437.0,-1729.2,-604.0,-1373.5,-1567.5,-2214.0,-1194.0,True,True,True,True,True,True,True,True,True,True,True,,True,,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,,False,True,True,False,False,False,,False,True,True,False,True,True,False,False,True
Minnesota,3979,3408.1,4146.0,3352.3,3799.0,3350.7,3666.0,3861.0,3609.6,4594.0,3729.6,3621.0,3485.8,,4096.8,,3634.0,3698.1,3770.1,3515.0,3001.4,3343.0,4054.7,4393.0,4231.7,3349.0,3572.8,3762.2,3738.0,3665.6,3689.9,3258.0,,3324.7,3838.0,3685.0,3056.8,4431.0,3268.0,,3358.2,3596.8,4974.0,3255.3,3906.0,3442.1,4186.5,2866.6,3642.0,-570.9,167.0,-626.7,-180.0,-628.3,-313.0,-118.0,-369.4,615.0,-249.4,-358.0,-493.2,,117.8,,-345.0,-280.9,-208.9,-464.0,-977.6,-636.0,75.7,414.0,252.7,-630.0,-406.2,-216.8,-241.0,-313.4,-289.1,-721.0,,-654.3,-141.0,-294.0,-922.2,452.0,-711.0,,-620.8,-382.2,995.0,-723.7,-73.0,-536.9,207.5,-1112.4,-337.0,True,False,True,False,True,True,True,False,True,True,True,,True,,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,,False,True,True,False,True,False,,False,True,False,False,True,True,True,False,True
Mississippi,3949,3809.4,3867.8,3833.8,3764.0,3829.1,3812.0,3988.0,3798.7,3759.0,3796.6,3651.0,3780.5,3723.1,3819.7,,3721.0,3785.9,3692.5,3826.0,3578.5,3705.0,3901.4,3791.0,3858.3,3811.0,3845.2,3890.9,,3802.3,3859.5,4172.0,,3804.6,3906.6,3902.0,3927.0,3852.0,3874.0,,3721.2,3868.3,3894.0,3863.4,3824.0,3812.5,3748.0,3683.8,3844.0,-139.6,-81.2,-115.2,-185.0,-119.9,-137.0,39.0,-150.3,-190.0,-152.4,-298.0,-168.5,-225.9,-129.3,,-228.0,-163.1,-256.5,-123.0,-370.5,-244.0,-47.6,-158.0,-90.7,-138.0,-103.8,-58.1,,-146.7,-89.5,223.0,,-144.4,-42.4,-47.0,-22.0,-97.0,-75.0,,-227.8,-80.7,-55.0,-85.6,-125.0,-136.5,-201.0,-265.2,-105.0,True,True,False,True,True,True,False,False,False,False,False,False,True,,False,False,False,True,False,False,True,False,True,True,True,True,,False,True,False,,False,True,True,True,True,True,,False,True,True,True,True,True,False,False,True
Missouri,4305,3654.9,3724.8,3592.5,4215.0,3662.0,3893.0,4970.0,3910.3,5029.0,4407.7,3811.0,3956.8,3935.4,3985.1,,4017.0,4556.3,4148.0,3859.0,3528.1,3862.0,4468.3,3738.0,3998.7,3941.0,3833.2,4295.2,,3878.5,4298.5,3884.0,,4094.5,3582.3,4083.0,4081.8,4423.0,3441.5,,4258.8,3833.2,4414.0,3738.5,4134.0,3896.3,3686.5,3272.3,3873.0,-630.1,-560.2,-692.5,-70.0,-623.0,-392.0,685.0,-374.7,744.0,122.7,-474.0,-328.2,-349.6,-299.9,,-268.0,271.3,-137.0,-426.0,-756.9,-423.0,183.3,-547.0,-286.3,-344.0,-451.8,10.2,,-406.5,13.5,-401.0,,-190.5,-702.7,-202.0,-203.2,138.0,-843.5,,-26.2,-451.8,129.0,-546.5,-151.0,-388.7,-598.5,-1012.7,-412.0,True,False,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,True,False,,True,True,True,True,True,True,True,False,True
Montana,734,764.6,703.0,738.2,695.0,725.0,804.0,660.0,734.2,768.0,944.3,728.0,1201.6,686.4,833.6,,800.0,943.4,854.7,763.0,507.3,780.0,920.2,1021.0,800.9,797.0,941.4,798.4,,749.0,874.7,731.5,,,961.2,804.0,961.9,873.0,620.8,,910.6,963.3,817.0,984.2,823.0,790.5,804.0,568.2,794.0,30.6,-31.0,4.2,-39.0,-9.0,70.0,-74.0,0.2,34.0,210.3,-6.0,467.6,-47.6,99.6,,66.0,209.4,120.7,29.0,-226.7,46.0,186.2,287.0,66.9,63.0,207.4,64.4,,15.0,140.7,-2.5,,,227.2,70.0,227.9,139.0,-113.2,,176.6,229.3,83.0,250.2,89.0,56.5,70.0,-165.8,60.0,False,True,False,True,False,False,True,False,False,True,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,True,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,1194,892.0,968.1,907.1,1074.0,907.0,1010.0,1411.0,1038.0,1196.0,1115.7,1002.0,1034.2,1029.9,1111.3,,936.0,1054.7,1066.4,1063.0,840.9,963.5,1236.3,1165.0,1157.5,1137.0,1028.9,1011.5,,861.6,1079.3,893.0,,,793.5,1010.0,1061.8,1111.0,762.7,,1004.2,1052.8,1130.0,878.9,1005.0,997.6,918.0,772.5,931.0,-302.0,-225.9,-286.9,-120.0,-287.0,-184.0,217.0,-156.0,2.0,-78.3,-192.0,-159.8,-164.1,-82.7,,-258.0,-139.3,-127.6,-131.0,-353.1,-230.5,42.3,-29.0,-36.5,-57.0,-165.1,-182.5,,-332.4,-114.7,-301.0,,,-400.5,-184.0,-132.2,-83.0,-431.3,,-189.8,-141.2,-64.0,-315.1,-189.0,-196.4,-276.0,-421.5,-263.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,True,True,True,False,,True,True,True,False,True,True,True,False,True
Nevada,2301,2121.0,2678.6,2167.3,2201.0,2142.0,2154.0,2265.0,2187.6,2090.0,2090.1,1971.0,2050.1,2158.7,2154.0,,2024.0,2098.0,2022.0,2119.0,2005.7,2047.0,2200.1,2204.5,2242.4,2078.0,2169.6,2191.5,,2176.6,2272.6,1975.0,,2148.1,2320.3,2235.0,1909.9,2215.0,2161.6,,1960.9,2190.7,2282.0,2128.3,2309.0,2153.1,2062.0,1984.8,2091.0,-180.0,377.6,-133.7,-100.0,-159.0,-147.0,-36.0,-113.4,-211.0,-210.9,-330.0,-250.9,-142.3,-147.0,,-277.0,-203.0,-279.0,-182.0,-295.3,-254.0,-100.9,-96.5,-58.6,-223.0,-131.4,-109.5,,-124.4,-28.4,-326.0,,-152.9,19.3,-66.0,-391.1,-86.0,-139.4,,-340.1,-110.3,-19.0,-172.7,8.0,-147.9,-239.0,-316.2,-210.0,False,True,True,True,True,True,True,False,False,False,False,True,True,,False,False,False,False,False,False,True,True,True,False,True,True,,True,True,False,,True,True,True,False,True,True,,False,True,True,True,True,True,False,False,False
New Hampshire,559,512.1,515.8,513.9,529.0,514.2,543.0,578.0,555.0,544.0,569.7,549.0,575.2,575.7,592.5,,554.0,549.0,635.1,535.0,517.7,506.5,558.8,535.0,520.0,557.0,513.2,581.7,,543.2,548.8,530.0,,,518.6,532.0,577.6,547.0,504.9,,546.7,537.4,575.0,529.1,533.0,523.6,519.0,502.4,517.0,-46.9,-43.2,-45.1,-30.0,-44.8,-16.0,19.0,-4.0,-15.0,10.7,-10.0,16.2,16.7,33.5,,-5.0,-10.0,76.1,-24.0,-41.3,-52.5,-0.2,-24.0,-39.0,-2.0,-45.8,22.7,,-15.8,-10.2,-29.0,,,-40.4,-27.0,18.6,-12.0,-54.1,,-12.3,-21.6,16.0,-29.9,-26.0,-35.4,-40.0,-56.6,-42.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,,True,True,True,,,True,True,True,True,False,,True,True,True,True,True,True,True,False,True
New Jersey,17306,16718.3,16711.1,16713.1,17008.0,16782.9,16899.0,17485.0,17044.4,17164.0,17024.6,17360.0,16869.3,17055.6,17190.2,,16874.0,16889.9,17333.1,16862.0,16841.5,16651.0,17107.4,16949.0,16946.0,16831.0,16876.9,16896.5,,16880.2,16892.0,16714.5,,16663.6,16475.1,16908.0,23545.3,16983.0,16674.8,,16782.0,16898.9,16923.0,17283.6,16901.0,16808.5,16958.0,16529.6,16942.0,-587.7,-594.9,-592.9,-298.0,-523.1,-407.0,179.0,-261.6,-142.0,-281.4,54.0,-436.7,-250.4,-115.8,,-432.0,-416.1,27.1,-444.0,-464.5,-655.0,-198.6,-357.0,-360.0,-475.0,-429.1,-409.5,,-425.8,-414.0,-591.5,,-642.4,-830.9,-398.0,6239.3,-323.0,-631.2,,-524.0,-407.1,-383.0,-22.4,-405.0,-497.5,-348.0,-776.4,-364.0,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,True,False,True,False,,True,True,True,True,True,True,True,False,True
New Mexico,1738,1472.9,1639.5,1439.6,1491.0,1448.1,1499.0,1615.0,1527.8,1505.0,1552.8,1236.0,1499.7,1523.0,1611.9,,1404.0,1502.4,1394.4,1419.0,1248.3,1448.0,1742.3,1838.0,1572.5,1361.0,1520.6,1477.9,,1375.0,1506.5,1243.0,,,1635.3,1561.0,4876.5,1725.0,1401.0,,1378.2,1544.3,1612.0,1357.2,1586.0,1461.8,1724.5,1201.2,2021.0,-265.1,-98.5,-298.4,-247.0,-289.9,-239.0,-123.0,-210.2,-233.0,-185.2,-502.0,-238.3,-215.0,-126.1,,-334.0,-235.6,-343.6,-319.0,-489.7,-290.0,4.3,100.0,-165.5,-377.0,-217.4,-260.1,,-363.0,-231.5,-495.0,,,-102.7,-177.0,3138.5,-13.0,-337.0,,-359.8,-193.7,-126.0,-380.8,-152.0,-276.2,-13.5,-536.8,283.0,True,False,True,False,True,True,True,True,True,False,True,True,True,,False,True,False,False,False,False,True,True,True,False,True,True,,False,True,False,,,True,True,False,True,False,,False,True,True,False,True,False,True,False,False
New York,34939,34485.4,35502.4,34337.9,34718.0,34434.1,34361.0,34610.0,34598.1,34439.0,34230.4,34420.0,34326.9,34109.7,34192.7,,34406.0,34128.1,34698.6,34379.0,34234.6,34074.0,34485.8,34165.0,34650.1,34372.0,34601.0,34373.0,,34021.7,34687.0,33687.0,,33965.6,33859.9,34324.0,35437.2,34324.0,33808.2,,34084.0,34665.6,34654.0,34322.3,34684.0,34460.9,34182.0,33674.7,34414.0,-453.6,563.4,-601.1,-221.0,-504.9,-578.0,-329.0,-340.9,-500.0,-708.6,-519.0,-612.1,-829.3,-746.3,,-533.0,-810.9,-240.4,-560.0,-704.4,-865.0,-453.2,-774.0,-288.9,-567.0,-338.0,-566.0,,-917.3,-252.0,-1252.0,,-973.4,-1079.1,-615.0,498.2,-615.0,-1130.8,,-855.0,-273.4,-285.0,-616.7,-255.0,-478.1,-757.0,-1264.3,-525.0,False,False,True,False,False,True,True,False,False,False,False,False,False,,False,False,True,False,False,False,True,False,True,False,True,False,,False,True,False,,False,False,False,False,False,False,,False,True,True,False,True,False,False,False,False
North Carolina,5516,5471.0,5781.0,5496.4,5577.0,5513.0,5503.0,5707.0,5481.1,5677.0,5687.9,5245.0,5506.0,5450.5,5534.5,,5403.0,5685.5,5408.9,5545.0,5295.2,5506.0,5904.9,5694.0,5592.1,5484.0,5499.6,5608.0,,5125.4,5626.6,5867.0,,5420.5,5542.1,5687.0,5001.1,5482.0,5361.9,,5522.8,5501.3,5610.0,5412.3,5694.0,5508.5,5590.5,5053.9,5422.0,-45.0,265.0,-19.6,61.0,-3.0,-13.0,191.0,-34.9,161.0,171.9,-271.0,-10.0,-65.5,18.5,,-113.0,169.5,-107.1,29.0,-220.8,-10.0,388.9,178.0,76.1,-32.0,-16.4,92.0,,-390.6,110.6,351.0,,-95.5,26.1,171.0,-514.9,-34.0,-154.1,,6.8,-14.7,94.0,-103.7,178.0,-7.5,74.5,-462.1,-94.0,False,True,False,True,True,False,True,False,False,False,True,False,True,,False,False,False,True,False,True,False,False,False,True,True,False,,False,False,False,,False,True,False,False,True,False,,True,True,False,False,False,True,False,False,False
North Dakota,1013,1055.6,1400.8,1058.9,1110.0,1044.0,1104.0,873.0,1089.7,1353.0,1117.2,1041.0,1285.0,1204.8,1174.0,,1006.0,1149.5,1053.7,1064.0,680.0,1012.5,1287.0,1217.0,1146.6,956.0,1115.8,1063.3,,1210.8,1287.3,934.0,,,1316.8,1103.0,933.4,1104.0,894.1,,1007.4,1139.4,1350.0,1224.9,1208.0,1049.9,1003.0,785.6,1040.0,42.6,387.8,45.9,97.0,31.0,91.0,-140.0,76.7,340.0,104.2,28.0,272.0,191.8,161.0,,-7.0,136.5,40.7,51.0,-333.0,-0.5,274.0,204.0,133.6,-57.0,102.8,50.3,,197.8,274.3,-79.0,,,303.8,90.0,-79.6,91.0,-118.9,,-5.6,126.4,337.0,211.9,195.0,36.9,-10.0,-227.4,27.0,False,False,False,True,False,False,False,False,False,True,False,False,False,,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,True,False,False,False,False,True,True,False,True
Ohio,8817,6342.4,7286.0,6384.3,6795.0,6326.3,6447.0,8414.0,6591.6,6901.0,6332.4,6123.0,6133.3,6384.2,6708.6,,6447.0,6405.6,6558.3,6505.0,6269.3,6117.0,7158.5,7697.0,6900.5,6362.0,6689.9,6662.0,7095.0,5939.4,6745.2,6940.5,,5999.5,6905.0,6772.0,6199.7,6873.0,6408.6,,5804.0,6704.7,7170.0,6175.4,6991.0,6336.7,6370.0,5870.2,6270.0,-2279.6,-1336.0,-2237.7,-1827.0,-2295.7,-2175.0,-208.0,-2030.4,-1721.0,-2289.6,-2499.0,-2488.7,-2237.8,-1913.4,,-2175.0,-2216.4,-2063.7,-2117.0,-2352.7,-2505.0,-1463.5,-925.0,-1721.5,-2260.0,-1932.1,-1960.0,-1527.0,-2682.6,-1876.8,-1681.5,,-2622.5,-1717.0,-1850.0,-2422.3,-1749.0,-2213.4,,-2818.0,-1917.3,-1452.0,-2446.6,-1631.0,-2285.3,-2252.0,-2751.8,-2352.0,True,True,True,False,True,True,True,True,False,False,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,,False,True,True,False,True,True,,False,True,True,False,True,False,True,False,False
Oklahoma,1874,1796.7,1950.7,1794.0,1963.0,1797.0,1839.0,1612.0,1838.2,1930.0,1852.5,1769.0,1946.7,1714.9,1826.9,,1934.0,1890.4,1783.6,1902.0,1641.8,1872.5,1847.0,1870.5,1870.4,1907.0,1830.4,1889.1,,1702.5,1924.4,1749.0,,,1802.1,1856.0,1708.0,2110.0,1726.4,,1870.9,1849.6,1893.0,1780.9,1813.0,1815.4,1780.0,1593.9,1839.0,-77.3,76.7,-80.0,89.0,-77.0,-35.0,-262.0,-35.8,56.0,-21.5,-105.0,72.7,-159.1,-47.1,,60.0,16.4,-90.4,28.0,-232.2,-1.5,-27.0,-3.5,-3.6,33.0,-43.6,15.1,,-171.5,50.4,-125.0,,,-71.9,-18.0,-166.0,236.0,-147.6,,-3.1,-24.4,19.0,-93.1,-61.0,-58.6,-94.0,-280.1,-35.0,True,False,False,True,True,False,True,True,True,False,True,False,True,,True,True,False,True,False,True,True,True,True,True,True,True,,False,True,False,,,True,True,False,False,False,,True,True,True,False,True,True,False,False,True
Oregon,1027,880.4,990.9,877.1,945.0,889.0,922.0,1064.0,940.5,1012.0,917.3,831.0,920.6,909.2,916.0,,897.0,927.7,922.1,945.0,909.2,881.5,955.1,992.0,950.8,950.0,960.0,954.8,,784.9,963.1,965.0,,,1009.0,950.0,955.6,980.0,868.6,,889.1,982.9,1034.0,858.3,1006.0,936.8,889.5,797.2,886.0,-146.6,-36.1,-149.9,-82.0,-138.0,-105.0,37.0,-86.5,-15.0,-109.7,-196.0,-106.4,-117.8,-111.0,,-130.0,-99.3,-104.9,-82.0,-117.8,-145.5,-71.9,-35.0,-76.2,-77.0,-67.0,-72.2,,-242.1,-63.9,-62.0,,,-18.0,-77.0,-71.4,-47.0,-158.4,,-137.9,-44.1,7.0,-168.7,-21.0,-90.2,-137.5,-229.8,-141.0,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,True,True,True,False,,True,True,True,False,True,True,True,False,True
