,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01027,183,280.0,,201.0,,,,,51.0,,201.5,36.2,,110.1,,,,306.0,97.0,,18.0,,,,,-132.0,,18.5,-146.8,,-72.9,,,,123.0,,True,,,,,False,,True,False,,True,,,,False
01029,220,240.0,,162.0,,,,,70.0,,217.6,39.8,,133.7,,,,127.0,20.0,,-58.0,,,,,-150.0,,-2.4,-180.2,,-86.3,,,,-93.0,,False,,,,,False,,True,False,,False,,,,False
01031,655,470.0,,461.0,,,,,198.0,,363.2,244.7,,359.6,,,326.7,329.0,-185.0,,-194.0,,,,,-457.0,,-291.8,-410.3,,-295.4,,,-328.3,-326.0,,False,,,,,False,,False,False,,False,,,False,False
01033,1033,395.0,,519.0,,,,,396.0,,316.8,124.2,,193.5,,,211.5,393.0,-638.0,,-514.0,,,,,-637.0,,-716.2,-908.8,,-839.5,,,-821.5,-640.0,,True,,,,,True,,False,False,,False,,,False,False
01035,114,35.0,,0.0,,,,,50.0,,25.8,14.9,,4.3,0.0,,,43.0,-79.0,,-114.0,,,,,-64.0,,-88.2,-99.1,,-109.7,-114.0,,,-71.0,,False,,,,,True,,False,False,,False,False,,,True
01037,101,45.0,,30.0,,,,,29.0,,46.6,23.4,,16.2,0.0,,,34.0,-56.0,,-71.0,,,,,-72.0,,-54.4,-77.6,,-84.8,-101.0,,,-67.0,,False,,,,,False,,True,False,,False,False,,,False
01039,478,495.0,,604.0,,,,,188.0,,363.5,126.3,,177.5,0.2,,271.2,241.0,17.0,,126.0,,,,,-290.0,,-114.5,-351.7,,-300.5,-477.8,,-206.8,-237.0,,False,,,,,False,,False,False,,False,False,,False,False
01041,112,105.0,,14.0,,,,,48.0,,87.2,47.2,,39.7,0.0,,,86.0,-7.0,,-98.0,,,,,-64.0,,-24.8,-64.8,,-72.3,-112.0,,,-26.0,,False,,,,,False,,False,False,,False,False,,,False
01043,1836,880.0,,2471.0,,,,,588.0,,660.3,179.8,,374.8,3.1,,448.5,1246.0,-956.0,,635.0,,,,,-1248.0,,-1175.7,-1656.2,,-1461.2,-1832.9,,-1387.5,-590.0,,True,,,,,False,,False,False,,False,False,,False,True
01045,632,310.0,,328.0,,,,,182.0,,163.3,141.4,,193.1,0.3,,279.9,132.0,-322.0,,-304.0,,,,,-450.0,,-468.7,-490.6,,-438.9,-631.7,,-352.1,-500.0,,True,,,,,False,,False,False,,False,False,,False,False
01047,350,80.0,,68.0,,,,,164.0,,72.9,44.5,,11.5,0.1,,52.8,97.0,-270.0,,-282.0,,,,,-186.0,,-277.1,-305.5,,-338.5,-349.9,,-297.2,-253.0,,False,,,,,True,,False,False,,False,False,,False,True
01049,1446,1460.0,,3218.0,,,,,553.0,,1362.5,175.7,,1187.6,344.1,,847.3,1024.0,14.0,,1772.0,,,,,-893.0,,-83.5,-1270.3,,-258.4,-1101.9,,-598.7,-422.0,,False,,,,,False,,False,False,,False,False,,False,False
01051,815,645.0,,647.0,,,,,247.0,,574.6,246.1,,338.0,3.3,,421.1,636.0,-170.0,,-168.0,,,,,-568.0,,-240.4,-568.9,,-477.0,-811.7,,-393.9,-179.0,,True,,,,,False,,False,False,,False,False,,False,False
01053,237,90.0,,16.0,,,,,238.0,,90.2,73.0,,13.5,0.1,,50.4,44.0,-147.0,,-221.0,,,,,1.0,,-146.8,-164.0,,-223.5,-236.9,,-186.6,-193.0,,False,,,,,True,,True,False,,False,False,,False,False
01055,1830,910.0,,816.0,,,,,694.0,,614.4,323.6,,726.4,4.7,,619.6,709.0,-920.0,,-1014.0,,,,,-1136.0,,-1215.6,-1506.4,,-1103.6,-1825.3,,-1210.4,-1121.0,,False,,,,,False,,False,False,,False,False,,False,False
01057,272,195.0,,141.0,,,,,98.0,,147.2,56.3,,59.9,0.4,,,331.0,-77.0,,-131.0,,,,,-174.0,,-124.8,-215.7,,-212.1,-271.6,,,59.0,,False,,,,,False,,False,False,,False,False,,,True
01059,446,440.0,,192.0,,,,,262.0,,194.2,112.2,,256.3,7.1,,290.5,480.0,-6.0,,-254.0,,,,,-184.0,,-251.8,-333.8,,-189.7,-438.9,,-155.5,34.0,,False,,,,,False,,False,False,,False,False,,False,False
01061,330,190.0,,311.0,,,,,123.0,,251.4,114.8,,49.4,0.0,,,72.0,-140.0,,-19.0,,,,,-207.0,,-78.6,-215.2,,-280.6,-330.0,,,-258.0,,True,,,,,False,,True,False,,False,False,,,False
01063,62,15.0,,0.0,,,,,32.0,,67.0,9.0,,6.8,0.0,,,67.0,-47.0,,-62.0,,,,,-30.0,,5.0,-53.0,,-55.2,-62.0,,,5.0,,False,,,,,True,,True,False,,False,False,,,True
01065,170,190.0,,67.0,,,,,78.0,,144.9,51.2,,39.0,0.5,,,75.0,20.0,,-103.0,,,,,-92.0,,-25.1,-118.8,,-131.0,-169.5,,,-95.0,,False,,,,,False,,False,False,,False,False,,,False
01067,207,140.0,,87.0,,,,,56.0,,170.2,77.4,,42.4,0.0,,,95.0,-67.0,,-120.0,,,,,-151.0,,-36.8,-129.6,,-164.6,-207.0,,,-112.0,,False,,,,,False,,True,False,,False,False,,,False
01069,1362,585.0,,120.0,,,,,414.0,,530.0,410.5,,360.3,0.8,,418.8,208.0,-777.0,,-1242.0,,,,,-948.0,,-832.0,-951.5,,-1001.7,-1361.2,,-943.2,-1154.0,,False,,,,,False,,False,False,,False,False,,False,False
01071,926,825.0,,1232.0,,,,,451.0,,734.8,128.8,,635.3,216.0,,390.5,756.0,-101.0,,306.0,,,,,-475.0,,-191.2,-797.2,,-290.7,-710.0,,-535.5,-170.0,,False,,,,,False,,False,False,,False,False,,False,False
01073,7824,4295.0,,5733.0,,,,,2486.0,,3248.4,1560.5,,3353.5,190.1,,2804.6,4727.0,-3529.0,,-2091.0,,,,,-5338.0,,-4575.6,-6263.5,,-4470.5,-7633.9,,-5019.4,-3097.0,,True,,,,,False,,False,False,,False,False,,False,True
01075,158,165.0,,106.0,,,,,88.0,,104.5,30.7,,112.7,0.3,,,166.0,7.0,,-52.0,,,,,-70.0,,-53.5,-127.3,,-45.3,-157.7,,,8.0,,False,,,,,False,,False,False,,False,False,,,False
01077,1668,575.0,,527.0,,,,,673.0,,396.0,169.7,,457.3,18.3,,455.0,433.0,-1093.0,,-1141.0,,,,,-995.0,,-1272.0,-1498.3,,-1210.7,-1649.7,,-1213.0,-1235.0,,False,,,,,True,,False,False,,False,False,,False,False
01079,408,355.0,,457.0,,,,,225.0,,387.1,66.8,,225.8,81.8,,,49.0,-53.0,,49.0,,,,,-183.0,,-20.9,-341.2,,-182.2,-326.2,,,-359.0,,True,,,,,False,,True,False,,False,False,,,False
01081,1070,700.0,,361.0,,,,,573.0,,471.3,456.6,,388.3,4.8,,515.5,376.0,-370.0,,-709.0,,,,,-497.0,,-598.7,-613.4,,-681.7,-1065.2,,-554.5,-694.0,,False,,,,,False,,False,False,,False,False,,False,False
01083,1270,900.0,,1091.0,,,,,593.0,,1197.6,171.5,,740.9,516.0,,304.1,620.0,-370.0,,-179.0,,,,,-677.0,,-72.4,-1098.5,,-529.1,-754.0,,-965.9,-650.0,,True,,,,,False,,True,False,,False,False,,False,False
01085,84,85.0,,0.0,,,,,26.0,,56.7,26.5,,15.6,0.1,,,0.0,1.0,,-84.0,,,,,-58.0,,-27.3,-57.5,,-68.4,-83.9,,,-84.0,,False,,,,,False,,False,False,,False,False,,,False
01087,162,75.0,,35.0,,,,,39.0,,88.6,28.8,,7.5,0.0,,,60.0,-87.0,,-127.0,,,,,-123.0,,-73.4,-133.2,,-154.5,-162.0,,,-102.0,,False,,,,,False,,True,False,,False,False,,,False
01089,3228,2050.0,,3265.0,,,,,1633.0,,1429.7,700.6,,1742.0,67.2,,1008.4,834.0,-1178.0,,37.0,,,,,-1595.0,,-1798.3,-2527.4,,-1486.0,-3160.8,,-2219.6,-2394.0,,True,,,,,False,,False,False,,False,False,,False,False
01091,205,400.0,,26.0,,,,,123.0,,726.5,35.3,,160.2,96.5,,,194.0,195.0,,-179.0,,,,,-82.0,,521.5,-169.7,,-44.8,-108.5,,,-11.0,,True,,,,,True,,False,True,,True,True,,,True
01093,298,85.0,,49.0,,,,,192.0,,58.9,50.1,,37.0,0.2,,56.8,42.0,-213.0,,-249.0,,,,,-106.0,,-239.1,-247.9,,-261.0,-297.8,,-241.2,-256.0,,False,,,,,True,,False,False,,False,False,,False,False
01095,1477,515.0,,652.0,,,,,684.0,,410.0,148.8,,315.9,7.1,,237.5,626.0,-962.0,,-825.0,,,,,-793.0,,-1067.0,-1328.2,,-1161.1,-1469.9,,-1239.5,-851.0,,True,,,,,True,,False,False,,False,False,,False,True
01097,4933,1485.0,,1487.0,,,,,2372.0,,926.7,730.7,,1269.8,16.6,,1160.2,2054.0,-3448.0,,-3446.0,,,,,-2561.0,,-4006.3,-4202.3,,-3663.2,-4916.4,,-3772.8,-2879.0,,True,,,,,True,,False,False,,False,False,,False,True
01099,140,80.0,,0.0,,,,,105.0,,59.3,20.0,,8.4,0.0,,,121.0,-60.0,,-140.0,,,,,-35.0,,-80.7,-120.0,,-131.6,-140.0,,,-19.0,,False,,,,,True,,False,False,,False,False,,,True
01101,2370,1870.0,,2608.0,,,,,665.0,,1163.9,443.8,,957.7,31.5,,1722.5,5192.0,-500.0,,238.0,,,,,-1705.0,,-1206.1,-1926.2,,-1412.3,-2338.5,,-647.5,2822.0,,True,,,,,False,,False,False,,False,False,,False,False
01103,2087,1265.0,,1818.0,,,,,723.0,,1056.7,221.5,,804.9,460.7,,714.8,1566.0,-822.0,,-269.0,,,,,-1364.0,,-1030.3,-1865.5,,-1282.1,-1626.3,,-1372.2,-521.0,,True,,,,,False,,False,False,,False,False,,False,True
01105,87,55.0,,0.0,,,,,28.0,,87.4,9.5,,5.1,0.0,,,211.0,-32.0,,-87.0,,,,,-59.0,,0.4,-77.5,,-81.9,-87.0,,,124.0,,False,,,,,False,,True,False,,False,False,,,False
01107,341,330.0,,124.0,,,,,114.0,,254.2,58.7,,252.3,59.5,,,286.0,-11.0,,-217.0,,,,,-227.0,,-86.8,-282.3,,-88.7,-281.5,,,-55.0,,False,,,,,False,,False,False,,False,False,,,False
01109,233,165.0,,147.0,,,,,130.0,,137.4,84.0,,25.4,0.0,,251.7,205.0,-68.0,,-86.0,,,,,-103.0,,-95.6,-149.0,,-207.6,-233.0,,18.7,-28.0,,False,,,,,False,,False,False,,False,False,,True,True
01111,198,225.0,,282.0,,,,,97.0,,209.4,76.6,,147.3,0.5,,,131.0,27.0,,84.0,,,,,-101.0,,11.4,-121.4,,-50.7,-197.5,,,-67.0,,False,,,,,False,,True,False,,False,False,,,False
01113,266,275.0,,371.0,,,,,202.0,,153.8,104.9,,54.6,0.2,,160.5,420.0,9.0,,105.0,,,,,-64.0,,-112.2,-161.1,,-211.4,-265.8,,-105.5,154.0,,False,,,,,False,,False,False,,False,False,,False,False
01115,1170,810.0,,1010.0,,,,,361.0,,636.2,176.3,,656.3,18.0,,495.5,292.0,-360.0,,-160.0,,,,,-809.0,,-533.8,-993.7,,-513.7,-1152.0,,-674.5,-878.0,,True,,,,,False,,False,False,,False,False,,False,False
01117,2617,1590.0,,2081.0,,,,,619.0,,1389.8,768.2,,1219.4,147.0,,941.7,1443.0,-1027.0,,-536.0,,,,,-1998.0,,-1227.2,-1848.8,,-1397.6,-2470.0,,-1675.3,-1174.0,,True,,,,,False,,False,False,,False,False,,False,False
01119,88,50.0,,0.0,,,,,60.0,,61.4,26.1,,3.3,0.0,,,168.0,-38.0,,-88.0,,,,,-28.0,,-26.6,-61.9,,-84.7,-88.0,,,80.0,,False,,,,,True,,True,False,,False,False,,,False
01121,790,770.0,,620.0,,,,,364.0,,756.8,232.3,,287.4,0.4,,546.7,719.0,-20.0,,-170.0,,,,,-426.0,,-33.2,-557.7,,-502.6,-789.6,,-243.3,-71.0,,False,,,,,False,,False,False,,False,False,,False,False
01123,420,235.0,,88.0,,,,,139.0,,119.8,72.2,,118.5,0.4,,155.2,116.0,-185.0,,-332.0,,,,,-281.0,,-300.2,-347.8,,-301.5,-419.6,,-264.8,-304.0,,False,,,,,False,,False,False,,False,False,,False,False
01125,2528,1760.0,,1982.0,,,,,1028.0,,1296.8,834.3,,1264.6,4.9,,1487.2,789.0,-768.0,,-546.0,,,,,-1500.0,,-1231.2,-1693.7,,-1263.4,-2523.1,,-1040.8,-1739.0,,True,,,,,False,,False,False,,False,False,,False,False
01127,827,500.0,,545.0,,,,,410.0,,504.6,139.1,,122.9,0.7,,207.9,280.0,-327.0,,-282.0,,,,,-417.0,,-322.4,-687.9,,-704.1,-826.3,,-619.1,-547.0,,True,,,,,False,,True,False,,False,False,,False,False
01129,280,75.0,,0.0,,,,,131.0,,108.7,23.8,,15.1,0.0,,,110.0,-205.0,,-280.0,,,,,-149.0,,-171.3,-256.2,,-264.9,-280.0,,,-170.0,,False,,,,,True,,True,False,,False,False,,,True
01131,69,15.0,,0.0,,,,,31.0,,32.8,12.1,,0.2,0.0,,,11.0,-54.0,,-69.0,,,,,-38.0,,-36.2,-56.9,,-68.8,-69.0,,,-58.0,,False,,,,,True,,True,False,,False,False,,,False
01133,334,330.0,,248.0,,,,,164.0,,351.2,63.5,,132.2,76.4,,,184.0,-4.0,,-86.0,,,,,-170.0,,17.2,-270.5,,-201.8,-257.6,,,-150.0,,False,,,,,False,,False,False,,False,False,,,False
02013,7,0.0,,0.0,,,,,,,4.5,3.3,,,,,,0.0,-7.0,,-7.0,,,,,,,-2.5,-3.7,,,,,,-7.0,,False,,,,,,,True,True,,,,,,False
02016,9,5.0,,0.0,,,,,,,0.2,0.8,,,,,,0.0,-4.0,,-9.0,,,,,,,-8.8,-8.2,,,,,,-9.0,,False,,,,,,,False,False,,,,,,False
02020,8161,3555.0,,3297.0,,,,,,,5379.9,1768.2,,2241.0,1439.7,,1420.5,1152.0,-4606.0,,-4864.0,,,,,,,-2781.1,-6392.8,,-5920.0,-6721.3,,-6740.5,-7009.0,,False,,,,,,,True,False,,False,False,,False,False
02050,883,330.0,,0.0,,,,,,,1370.8,37.2,,256.3,0.0,,,512.0,-553.0,,-883.0,,,,,,,487.8,-845.8,,-626.7,-883.0,,,-371.0,,False,,,,,,,True,False,,False,False,,,True
02060,0,0.0,,0.0,,,,,,,0.1,0.0,,0.7,,,,0.0,0.0,,0.0,,,,,,,0.1,0.0,,0.7,,,,0.0,,True,,,,,,,False,True,,False,,,,True
02068,19,20.0,,0.0,,,,,,,39.4,8.2,,,,,,11.0,1.0,,-19.0,,,,,,,20.4,-10.8,,,,,,-8.0,,False,,,,,,,False,False,,,,,,False
02070,57,15.0,,0.0,,,,,,,26.3,8.7,,1.5,,,,117.0,-42.0,,-57.0,,,,,,,-30.7,-48.3,,-55.5,,,,60.0,,False,,,,,,,True,False,,False,,,,False
02090,1357,1030.0,,1186.0,,,,,,,2549.9,312.9,,800.0,559.9,,589.6,550.0,-327.0,,-171.0,,,,,,,1192.9,-1044.1,,-557.0,-797.1,,-767.4,-807.0,,True,,,,,,,False,False,,False,False,,False,False
02100,5,5.0,,0.0,,,,,,,5.2,0.5,,,,,,79.0,0.0,,-5.0,,,,,,,0.2,-4.5,,,,,,74.0,,False,,,,,,,False,False,,,,,,False
02105,0,0.0,,0.0,,,,,,,0.8,1.7,,,,,,,0.0,,0.0,,,,,,,0.8,1.7,,,,,,,,True,,,,,,,False,False,,,,,,
02110,337,230.0,,195.0,,,,,,,158.0,84.0,,76.2,164.5,,,442.0,-107.0,,-142.0,,,,,,,-179.0,-253.0,,-260.8,-172.5,,,105.0,,False,,,,,,,False,False,,False,False,,,True
02122,1357,240.0,,147.0,,,,,,,394.4,89.7,,61.5,155.2,,,632.0,-1117.0,,-1210.0,,,,,,,-962.6,-1267.3,,-1295.5,-1201.8,,,-725.0,,False,,,,,,,True,False,,False,False,,,True
02130,109,20.0,,0.0,,,,,,,14.2,4.9,,4.7,,,,107.0,-89.0,,-109.0,,,,,,,-94.8,-104.1,,-104.3,,,,-2.0,,False,,,,,,,False,False,,False,,,,True
02150,124,30.0,,0.0,,,,,,,41.2,14.7,,3.7,,,,23.0,-94.0,,-124.0,,,,,,,-82.8,-109.3,,-120.3,,,,-101.0,,False,,,,,,,True,False,,False,,,,False
02158,349,45.0,,,,,,,,,122.5,,,,,,,154.0,-304.0,,,,,,,,,-226.5,,,,,,,-195.0,,,,,,,,,True,,,,,,,True
02164,43,0.0,,0.0,,,,,,,4.7,1.2,,,,,,,-43.0,,-43.0,,,,,,,-38.3,-41.8,,,,,,,,False,,,,,,,True,True,,,,,,
02170,1698,485.0,,0.0,,,,,,,568.5,333.7,,411.8,260.6,,,582.0,-1213.0,,-1698.0,,,,,,,-1129.5,-1364.3,,-1286.2,-1437.4,,,-1116.0,,False,,,,,,,True,False,,False,False,,,True
02180,71,30.0,,0.0,,,,,,,136.5,14.4,,0.9,0.0,,,24.0,-41.0,,-71.0,,,,,,,65.5,-56.6,,-70.1,-71.0,,,-47.0,,False,,,,,,,False,False,,False,False,,,False
02185,195,210.0,,0.0,,,,,,,180.3,35.3,,46.1,0.0,,,156.0,15.0,,-195.0,,,,,,,-14.7,-159.7,,-148.9,-195.0,,,-39.0,,False,,,,,,,True,False,,False,False,,,False
02188,132,180.0,,0.0,,,,,,,513.2,15.4,,34.4,0.0,,,11.0,48.0,,-132.0,,,,,,,381.2,-116.6,,-97.6,-132.0,,,-121.0,,False,,,,,,,False,False,,False,False,,,False
02195,8,15.0,,0.0,,,,,,,0.5,0.2,,0.5,,,,0.0,7.0,,-8.0,,,,,,,-7.5,-7.8,,-7.5,,,,-8.0,,False,,,,,,,False,False,,False,,,,False
02198,12,15.0,,0.0,,,,,,,0.2,5.4,,3.3,,,,319.0,3.0,,-12.0,,,,,,,-11.8,-6.6,,-8.7,,,,307.0,,False,,,,,,,False,False,,False,,,,False
02220,82,5.0,,0.0,,,,,,,4.8,8.4,,4.5,,,,1.0,-77.0,,-82.0,,,,,,,-77.2,-73.6,,-77.5,,,,-81.0,,False,,,,,,,False,True,,False,,,,False
02230,9,5.0,,0.0,,,,,,,0.0,28.3,,,,,,0.0,-4.0,,-9.0,,,,,,,-9.0,19.3,,,,,,-9.0,,False,,,,,,,False,False,,,,,,False
02240,164,50.0,,0.0,,,,,,,8.0,3.1,,7.2,,,,3.0,-114.0,,-164.0,,,,,,,-156.0,-160.9,,-156.8,,,,-161.0,,False,,,,,,,False,False,,False,,,,False
02261,86,65.0,,,,,,,,,80.1,3.8,,9.7,,,,227.0,-21.0,,,,,,,,,-5.9,-82.2,,-76.3,,,,141.0,,,,,,,,,True,False,,False,,,,False
02275,1,0.0,,0.0,,,,,,,0.1,0.3,,,,,,0.0,-1.0,,-1.0,,,,,,,-0.9,-0.7,,,,,,-1.0,,False,,,,,,,True,True,,,,,,False
02282,13,5.0,,0.0,,,,,,,0.2,0.0,,,,,,3.0,-8.0,,-13.0,,,,,,,-12.8,-13.0,,,,,,-10.0,,False,,,,,,,False,False,,,,,,False
02290,50,45.0,,0.0,,,,,,,63.8,1.3,,8.3,1.0,,,73.0,-5.0,,-50.0,,,,,,,13.8,-48.7,,-41.7,-49.0,,,23.0,,False,,,,,,,False,False,,False,False,,,False
04001,1107,330.0,,381.0,,,,,857.0,,312.1,227.3,,88.5,0.9,,141.7,145.0,-777.0,,-726.0,,,,,-250.0,,-794.9,-879.7,,-1018.5,-1106.1,,-965.3,-962.0,,True,,,,,True,,False,False,,False,False,,False,False
04003,1056,355.0,,118.0,,,,,278.0,,217.3,226.0,,103.2,0.1,,185.5,515.0,-701.0,,-938.0,,,,,-778.0,,-838.7,-830.0,,-952.8,-1055.9,,-870.5,-541.0,,False,,,,,False,,False,False,,False,False,,False,True
04005,2181,1195.0,,1662.0,,,,,586.0,,700.8,588.9,,886.8,0.4,,614.0,857.0,-986.0,,-519.0,,,,,-1595.0,,-1480.2,-1592.1,,-1294.2,-2180.6,,-1567.0,-1324.0,,True,,,,,False,,False,False,,False,False,,False,False
04007,887,1010.0,,1047.0,,,,,116.0,,628.1,360.3,,1109.8,358.5,,440.4,2276.0,123.0,,160.0,,,,,-771.0,,-258.9,-526.7,,222.8,-528.5,,-446.6,1389.0,,False,,,,,False,,False,False,,False,False,,False,False
04009,851,420.0,,331.0,,,,,84.0,,283.2,115.3,,281.1,0.0,,,482.0,-431.0,,-520.0,,,,,-767.0,,-567.8,-735.7,,-569.9,-851.0,,,-369.0,,False,,,,,False,,False,False,,False,False,,,True
04011,102,50.0,,0.0,,,,,24.0,,30.3,13.5,,4.3,,,,109.0,-52.0,,-102.0,,,,,-78.0,,-71.7,-88.5,,-97.7,,,,7.0,,False,,,,,False,,False,False,,False,,,,True
04012,155,105.0,,37.0,,,,,26.0,,160.4,52.6,,19.9,0.0,,,194.0,-50.0,,-118.0,,,,,-129.0,,5.4,-102.4,,-135.1,-155.0,,,39.0,,False,,,,,False,,True,False,,False,False,,,True
04013,38434,16775.0,,19318.0,,,,,9271.0,,11539.8,4052.5,,14056.3,433.3,,11042.7,16041.0,-21659.0,,-19116.0,,,,,-29163.0,,-26894.2,-34381.5,,-24377.7,-38000.7,,-27391.3,-22393.0,,True,,,,,False,,False,False,,False,False,,False,False
04015,1416,440.0,,348.0,,,,,487.0,,253.9,612.2,,211.8,97.0,,306.8,348.0,-976.0,,-1068.0,,,,,-929.0,,-1162.1,-803.8,,-1204.2,-1319.0,,-1109.2,-1068.0,,False,,,,,True,,False,True,,False,False,,False,False
04017,1444,1245.0,,134.0,,,,,699.0,,366.8,207.5,,707.0,3.6,,536.9,3622.0,-199.0,,-1310.0,,,,,-745.0,,-1077.2,-1236.5,,-737.0,-1440.4,,-907.1,2178.0,,False,,,,,False,,False,False,,False,False,,False,False
04019,8394,2400.0,,697.0,,,,,1209.0,,1897.0,4497.3,,1766.1,58.4,,1292.1,2076.0,-5994.0,,-7697.0,,,,,-7185.0,,-6497.0,-3896.7,,-6627.9,-8335.6,,-7101.9,-6318.0,,False,,,,,False,,False,True,,False,False,,False,False
