,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Massachusetts,74105,22952.0,,18208.8,,11672.0,40989.3,19207.1,20196.3,50564.9,33469.0,-51153.0,,-55896.2,,-62433.0,-33115.7,-54897.9,-53908.7,-23540.1,-40636.0,,False,,False,True,False,False,True,True
Michigan,194648,50288.0,,34567.0,,51784.0,63005.9,2900.0,61637.1,29816.2,38676.0,-144360.0,,-160081.0,,-142864.0,-131642.1,-191748.0,-133010.9,-164831.8,-155972.0,,False,,True,True,False,True,False,False
Minnesota,167293,55504.0,,35647.4,,70121.0,34049.8,30550.8,42687.0,95970.1,46399.0,-111789.0,,-131645.6,,-97172.0,-133243.2,-136742.2,-124606.0,-71322.9,-120894.0,,False,,True,False,False,False,True,False
Mississippi,45724,28720.0,,21230.2,,24510.0,17908.9,9704.6,16956.0,18034.2,12844.0,-17004.0,,-24493.8,,-21214.0,-27815.1,-36019.4,-28768.0,-27689.8,-32880.0,,False,,False,False,False,False,False,False
Missouri,149315,85136.0,,85651.8,,57298.0,89780.0,34106.5,39614.6,70518.8,39658.0,-64179.0,,-63663.2,,-92017.0,-59535.0,-115208.5,-109700.4,-78796.2,-109657.0,,True,,False,True,False,False,False,False
Montana,42635,13952.0,,12668.2,,18263.0,16166.4,5051.7,5765.6,24343.4,11843.0,-28683.0,,-29966.8,,-24372.0,-26468.6,-37583.3,-36869.4,-18291.6,-30792.0,,False,,True,True,False,False,True,False
Nebraska,69433,22392.0,,23466.4,,16201.0,31513.0,10121.4,14705.5,22447.5,11499.0,-47041.0,,-45966.6,,-53232.0,-37920.0,-59311.6,-54727.5,-46985.5,-57934.0,,True,,False,True,False,False,True,False
Nevada,53378,23488.0,,16420.8,,8940.0,18222.7,9140.3,12776.5,32427.8,17728.0,-29890.0,,-36957.2,,-44438.0,-35155.3,-44237.7,-40601.5,-20950.2,-35650.0,,False,,False,False,False,False,True,False
New Hampshire,9194,1608.0,,1718.3,,1895.0,2772.8,756.6,1468.9,2710.6,1122.0,-7586.0,,-7475.7,,-7299.0,-6421.2,-8437.5,-7725.1,-6483.4,-8072.0,,True,,True,True,False,False,True,False
New Jersey,99189,28328.0,,13132.7,,16824.0,37265.7,18984.5,26295.5,50126.5,41174.0,-70861.0,,-86056.3,,-82365.0,-61923.3,-80204.4,-72893.5,-49062.5,-58015.0,,False,,False,True,False,False,True,True
New Mexico,50748,9440.0,,7295.2,,13701.0,14541.7,,5448.0,31288.6,12324.0,-41308.0,,-43452.8,,-37047.0,-36206.3,,-45300.0,-19459.4,-38424.0,,False,,True,True,,False,True,True
New York,136063,45776.0,,11397.6,,17677.0,59334.3,24060.0,23778.5,51002.8,46012.0,-90287.0,,-124665.4,,-118386.0,-76728.7,-112003.0,-112284.5,-85060.2,-90051.0,,False,,False,True,False,False,True,True
North Carolina,124487,110504.0,,87128.5,,74730.0,56000.1,37249.4,56445.1,238317.4,89016.0,-13983.0,,-37358.5,,-49757.0,-68486.9,-87237.6,-68041.9,113830.4,-35471.0,,False,,False,False,False,False,False,False
North Dakota,51160,22184.0,,19360.7,,29759.0,21793.9,9612.8,15589.4,12616.8,6373.0,-28976.0,,-31799.3,,-21401.0,-29366.1,-41547.2,-35570.6,-38543.2,-44787.0,,False,,True,False,False,False,False,False
Ohio,193277,51696.0,,39415.8,,37690.0,39919.8,19380.9,22810.9,42035.0,33633.0,-141581.0,,-153861.2,,-155587.0,-153357.2,-173896.1,-170466.1,-151242.0,-159644.0,,False,,False,False,False,False,False,False
Oklahoma,87414,61648.0,,54403.6,,51117.0,77315.0,22379.3,24661.7,34882.9,29405.0,-25766.0,,-33010.4,,-36297.0,-10099.0,-65034.7,-62752.3,-52531.1,-58009.0,,False,,False,True,False,False,False,False
Oregon,31087,15856.0,,13146.3,,12005.0,18957.0,7790.0,7857.9,35968.4,20575.0,-15231.0,,-17940.7,,-19082.0,-12130.0,-23297.0,-23229.1,4881.4,-10512.0,,False,,False,True,False,False,True,True
Pennsylvania,147055,45576.0,,34984.8,,30301.0,57780.6,18019.2,38314.3,45335.7,32938.0,-101479.0,,-112070.2,,-116754.0,-89274.4,-129035.8,-108740.7,-101719.3,-114117.0,,False,,False,True,False,False,False,False
Rhode Island,23820,4488.0,,4529.2,,6106.0,9792.1,370.9,3665.2,2791.1,1233.0,-19332.0,,-19290.8,,-17714.0,-14027.9,-23449.1,-20154.8,-21028.9,-22587.0,,True,,True,True,False,False,False,False
South Carolina,59745,64264.0,,39472.2,,45491.0,53900.7,,30512.1,32320.0,28613.0,4519.0,,-20272.8,,-14254.0,-5844.3,,-29232.9,-27425.0,-31132.0,,False,,False,False,,False,False,False
South Dakota,51081,21512.0,,16748.7,,19718.0,18716.9,12413.9,15935.0,21788.3,8313.0,-29569.0,,-34332.3,,-31363.0,-32364.1,-38667.1,-35146.0,-29292.7,-42768.0,,False,,False,False,False,False,True,False
Tennessee,144996,75616.0,,64914.0,,68730.0,46801.2,40132.0,25451.5,52838.2,37484.0,-69380.0,,-80082.0,,-76266.0,-98194.8,-104864.0,-119544.5,-92157.8,-107512.0,,False,,False,False,False,False,False,False
Texas,385555,370968.0,,252083.5,,391209.0,218333.0,51041.8,234730.2,156549.1,148898.0,-14587.0,,-133471.5,,5654.0,-167222.0,-334513.2,-150824.8,-229005.9,-236657.0,,False,,True,False,False,False,False,False
Utah,104432,53560.0,,53638.0,,50157.0,87235.0,25164.8,20517.7,55482.7,45092.0,-50872.0,,-50794.0,,-54275.0,-17197.0,-79267.2,-83914.3,-48949.3,-59340.0,,True,,False,True,False,False,True,False
Vermont,1807,232.0,,336.8,,67.0,108.7,81.2,371.5,183.9,147.0,-1575.0,,-1470.2,,-1740.0,-1698.3,-1725.8,-1435.5,-1623.1,-1660.0,,True,,False,False,False,True,False,False
Virginia,70271,45768.0,,33009.6,,39984.0,41806.3,20995.7,30304.8,28212.7,0.0,-24503.0,,-37261.4,,-30287.0,-28464.7,-49275.3,-39966.2,-42058.3,-70271.0,,False,,False,False,False,False,False,False
Washington,55430,29048.0,,20001.7,,11885.0,32661.5,9239.2,17598.3,86001.0,42939.0,-26382.0,,-35428.3,,-43545.0,-22768.5,-46190.8,-37831.7,30571.0,-12491.0,,False,,False,True,False,False,False,True
West Virginia,24431,10224.0,,9427.3,,5559.0,14764.4,3719.3,3573.4,9313.5,6452.0,-14207.0,,-15003.7,,-18872.0,-9666.6,-20711.7,-20857.6,-15117.5,-17979.0,,False,,False,True,False,False,False,False
Wisconsin,258574,112664.0,,118786.8,,95445.0,164802.8,50609.6,114023.4,119191.1,84674.0,-145910.0,,-139787.2,,-163129.0,-93771.2,-207964.4,-144550.6,-139382.9,-173900.0,,True,,False,True,False,True,True,False
Wyoming,21945,5472.0,,8291.5,,9582.0,7635.7,2584.2,2993.0,13420.7,8217.0,-16473.0,,-13653.5,,-12363.0,-14309.3,-19360.8,-18952.0,-8524.3,-13728.0,,True,,True,True,False,False,True,True
US,5039456,2479760.0,3600345.0,1240001.5,2267207.0,2126423.0,2346160.2,,1545821.6,2128235.6,1617071.0,-2559696.0,-1439111.0,-3799454.5,-2772249.0,-2913033.0,-2693295.8,,-3493634.4,-2911220.4,-3422385.0,True,False,False,False,False,,False,False,False
