,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,41767,22070.0,33741.3,22198.4,23048.0,21103.0,,23068.5,8993.0,27629.0,30462.7,,23100.0,23420.0,23632.1,22400.4,25618.0,26170.0,28616.9,22160.5,22558.8,28170.0,28215.0,,23836.5,10944.5,15505.7,26727.7,35028.1,24845.0,24026.0,30258.8,-19697.0,-8025.7,-19568.6,-18719.0,-20664.0,,-18698.5,-32774.0,-14138.0,-11304.3,,-18667.0,-18347.0,-18134.9,-19366.6,-16149.0,-15597.0,-13150.1,-19606.5,-19208.2,-13597.0,-13552.0,,-17930.5,-30822.5,-26261.3,-15039.3,-6738.9,-16922.0,-17741.0,-11508.2,True,True,True,False,,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,True,True
Hawaii,1310,1496.0,60.2,1462.2,1338.0,2096.0,,1239.9,548.0,1540.6,1270.3,,,,1292.3,1327.8,1602.0,1248.5,1034.7,1415.0,1948.4,2433.6,1844.0,,1849.6,982.8,1086.6,1003.7,1547.1,1619.5,1355.0,1614.9,186.0,-1249.8,152.2,28.0,786.0,,-70.1,-762.0,230.6,-39.7,,,,-17.7,17.8,292.0,-61.5,-275.3,105.0,638.4,1123.6,534.0,,539.6,-327.2,-223.4,-306.3,237.1,309.5,45.0,304.9,False,True,True,False,,True,False,False,True,,,,True,True,False,True,False,True,False,False,False,,False,False,False,False,False,False,True,False
Idaho,18522,15408.0,11239.1,15743.7,16319.0,15626.0,,13020.4,6509.0,34790.3,15647.5,,17539.0,17458.0,15730.8,17457.5,16920.0,15958.0,21447.1,14991.0,18575.8,18279.1,18678.0,,19934.1,15917.4,11115.4,16664.5,20677.4,16215.5,11159.0,17070.1,-3114.0,-7282.9,-2778.3,-2203.0,-2896.0,,-5501.6,-12013.0,16268.3,-2874.5,,-983.0,-1064.0,-2791.2,-1064.5,-1602.0,-2564.0,2925.1,-3531.0,53.8,-242.9,156.0,,1412.1,-2604.6,-7406.6,-1857.5,2155.4,-2306.5,-7363.0,-1451.9,False,True,True,True,,False,False,False,True,,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,True,True,True,False,True
Illinois,168308,122862.0,178496.6,122601.7,122472.0,196221.0,,116922.1,81802.0,172292.5,133261.5,,131034.0,106734.0,119448.3,108511.5,106841.0,132389.0,178399.3,187777.0,183725.3,111522.0,153292.0,,162266.0,50683.2,95353.4,100875.3,156010.1,224862.1,118633.0,89119.7,-45446.0,10188.6,-45706.3,-45836.0,27913.0,,-51385.9,-86506.0,3984.5,-35046.5,,-37274.0,-61574.0,-48859.7,-59796.5,-61467.0,-35919.0,10091.3,19469.0,15417.3,-56786.0,-15016.0,,-6042.0,-117624.8,-72954.6,-67432.7,-12297.9,56554.1,-49675.0,-79188.3,True,False,False,True,,False,False,True,True,,True,False,False,False,False,True,True,True,True,False,True,,True,False,False,False,True,False,False,False
Indiana,83461,52728.0,62619.1,52290.6,62913.0,68613.0,,46511.4,104187.0,76776.6,55894.8,,58399.0,45915.0,55996.4,64093.9,58624.0,56746.5,72488.6,77985.0,79920.2,63150.9,68898.0,,72299.9,19188.4,49398.4,45520.9,73292.0,84248.2,62514.0,65722.2,-30733.0,-20841.9,-31170.4,-20548.0,-14848.0,,-36949.6,20726.0,-6684.4,-27566.2,,-25062.0,-37546.0,-27464.6,-19367.1,-24837.0,-26714.5,-10972.4,-5476.0,-3540.8,-20310.1,-14563.0,,-11161.1,-64272.6,-34062.6,-37940.1,-10169.0,787.2,-20947.0,-17738.8,True,False,True,True,,False,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,,True,False,False,False,True,True,True,True
Iowa,58949,43488.0,59034.8,43733.9,47596.0,52057.0,,38943.7,26267.0,45705.5,39897.2,,46508.0,40642.0,41962.2,57930.4,46334.0,43110.0,68329.8,68868.0,69591.7,48747.2,56172.0,,73404.6,25831.3,32750.2,29721.4,55140.5,75471.4,62047.0,51253.0,-15461.0,85.8,-15215.1,-11353.0,-6892.0,,-20005.3,-32682.0,-13243.5,-19051.8,,-12441.0,-18307.0,-16986.8,-1018.6,-12615.0,-15839.0,9380.8,9919.0,10642.7,-10201.8,-2777.0,,14455.6,-33117.7,-26198.8,-29227.6,-3808.5,16522.4,3098.0,-7696.0,True,True,True,True,,False,False,True,False,,True,False,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,False,True,True
Kansas,37294,23864.0,27550.9,23414.7,24835.0,24226.0,,20201.9,16998.0,22786.6,12433.6,,24183.0,20156.0,20281.8,29676.2,26264.0,22547.5,34329.9,32056.5,29949.6,24864.3,29352.0,,33688.8,11196.9,18551.9,17106.9,34447.8,39370.2,20889.0,27554.7,-13430.0,-9743.1,-13879.3,-12459.0,-13068.0,,-17092.1,-20296.0,-14507.4,-24860.4,,-13111.0,-17138.0,-17012.2,-7617.8,-11030.0,-14746.5,-2964.1,-5237.5,-7344.4,-12429.7,-7942.0,,-3605.2,-26097.1,-18742.1,-20187.1,-2846.2,2076.2,-16405.0,-9739.3,True,False,True,True,,False,False,False,False,,True,False,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,False,True
Kentucky,36247,24884.0,24230.0,24564.7,27551.0,27551.0,,23325.0,14992.0,53605.2,29312.2,,27247.0,24985.0,29874.4,32415.3,27583.0,28087.0,29616.3,31896.5,28279.4,28558.9,33393.0,,30155.1,11279.1,25301.6,27739.1,35847.3,32208.6,26518.0,33294.3,-11363.0,-12017.0,-11682.3,-8696.0,-8696.0,,-12922.0,-21255.0,17358.2,-6934.8,,-9000.0,-11262.0,-6372.6,-3831.7,-8664.0,-8160.0,-6630.7,-4350.5,-7967.6,-7688.1,-2854.0,,-6091.9,-24967.9,-10945.4,-8507.9,-399.7,-4038.4,-9729.0,-2952.7,False,False,True,True,,False,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,True
Louisiana,24994,8850.0,8493.9,8779.6,8586.0,9690.0,,8132.1,2561.0,17499.6,8763.5,,6720.0,9105.0,8387.0,8308.9,9553.0,9276.5,8023.7,7987.5,9977.1,11481.5,8415.0,,6926.4,3149.9,8437.3,8485.5,14534.6,10293.5,7196.0,9468.3,-16144.0,-16500.1,-16214.4,-16408.0,-15304.0,,-16861.9,-22433.0,-7494.4,-16230.5,,-18274.0,-15889.0,-16607.0,-16685.1,-15441.0,-15717.5,-16970.3,-17006.5,-15016.9,-13512.5,-16579.0,,-18067.6,-21844.1,-16556.7,-16508.5,-10459.4,-14700.5,-17798.0,-15525.7,False,False,False,True,,False,False,True,False,,False,True,False,False,True,True,False,False,True,True,False,,False,False,False,False,True,True,False,True
Maine,2523,1876.0,11100.4,1921.1,1983.0,3562.0,,1316.8,1513.0,1399.6,1796.3,,1681.0,2174.0,1771.4,2450.6,2067.0,1692.5,5244.0,3133.0,2528.2,2946.2,2431.0,,3140.8,787.9,1571.5,1086.6,2553.1,3973.0,2959.0,1850.0,-647.0,8577.4,-601.9,-540.0,1039.0,,-1206.2,-1010.0,-1123.4,-726.7,,-842.0,-349.0,-751.6,-72.4,-456.0,-830.5,2721.0,610.0,5.2,423.2,-92.0,,617.8,-1735.1,-951.5,-1436.4,30.1,1450.0,436.0,-673.0,False,True,True,False,,False,False,False,False,,False,True,False,True,True,False,False,True,True,True,True,,True,False,False,False,True,False,True,False
Maryland,27056,15268.0,15165.1,15458.8,15122.0,20363.0,,14062.1,6596.0,19303.1,16211.9,,15192.0,13310.0,13841.7,12395.7,17415.0,13779.0,16234.5,18538.0,21594.5,19980.1,20729.0,,22857.1,5011.9,12950.8,13711.2,21160.9,14583.7,16495.0,16652.4,-11788.0,-11890.9,-11597.2,-11934.0,-6693.0,,-12993.9,-20460.0,-7752.9,-10844.1,,-11864.0,-13746.0,-13214.3,-14660.3,-9641.0,-13277.0,-10821.5,-8518.0,-5461.5,-7075.9,-6327.0,,-4198.9,-22044.1,-14105.2,-13344.8,-5895.1,-12472.3,-10561.0,-10403.6,False,True,False,True,,False,False,True,True,,False,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,False,True,True
Massachusetts,34579,22000.0,20110.3,21813.2,23511.0,24575.0,,19957.4,11705.0,37503.5,16006.5,,18502.0,23683.0,21644.8,16635.1,24512.0,21484.5,30317.5,35466.5,33643.1,30728.1,30460.0,,31484.8,24841.8,18535.1,22580.0,28917.4,14959.6,22693.0,26072.1,-12579.0,-14468.7,-12765.8,-11068.0,-10004.0,,-14621.6,-22874.0,2924.5,-18572.5,,-16077.0,-10896.0,-12934.2,-17943.9,-10067.0,-13094.5,-4261.5,887.5,-935.9,-3850.9,-4119.0,,-3094.2,-9737.2,-16043.9,-11999.0,-5661.6,-19619.4,-11886.0,-8506.9,False,False,True,True,,False,False,True,False,,False,True,False,False,True,False,True,True,True,True,True,,True,True,False,True,True,False,True,True
Michigan,99948,63334.0,79853.3,64460.9,69252.0,82107.0,,62413.8,92591.0,55009.2,72415.4,,66883.0,64561.0,66672.2,69423.6,66628.0,66628.0,99326.6,96719.0,72577.8,65406.7,83284.0,,106578.1,25118.8,55639.3,51976.8,83833.1,103959.3,75135.0,74808.6,-36614.0,-20094.7,-35487.1,-30696.0,-17841.0,,-37534.2,-7357.0,-44938.8,-27532.6,,-33065.0,-35387.0,-33275.8,-30524.4,-33320.0,-33320.0,-621.4,-3229.0,-27370.2,-34541.3,-16664.0,,6630.1,-74829.2,-44308.7,-47971.2,-16114.9,4011.3,-24813.0,-25139.4,True,True,True,True,,False,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,False,True,True,True,True
Minnesota,87998,52964.0,83389.9,51956.8,59129.0,76730.0,,46274.1,43994.0,64886.3,51652.3,,58197.0,57505.0,49689.5,67256.4,59724.0,54107.0,65671.2,95808.5,93929.7,64350.4,68384.0,,82724.8,21401.8,38733.1,38106.0,63262.4,107373.9,48703.0,63109.3,-35034.0,-4608.1,-36041.2,-28869.0,-11268.0,,-41723.9,-44004.0,-23111.7,-36345.7,,-29801.0,-30493.0,-38308.5,-20741.6,-28274.0,-33891.0,-22326.8,7810.5,5931.7,-23647.6,-19614.0,,-5273.2,-66596.2,-49264.9,-49892.0,-24735.6,19375.9,-39295.0,-24888.7,True,False,True,True,,False,False,True,False,,True,True,False,True,True,True,True,True,True,True,True,,True,False,False,False,True,True,False,True
Mississippi,16516,11450.0,12007.5,11388.8,11667.0,11463.0,,9496.2,4845.0,14873.9,11618.4,,12273.0,11470.0,11209.6,11214.6,12301.0,11014.5,13528.9,10334.0,14821.3,15535.0,14126.0,,16693.4,9043.3,10694.3,13689.4,15275.0,11180.7,10887.0,14446.6,-5066.0,-4508.5,-5127.2,-4849.0,-5053.0,,-7019.8,-11671.0,-1642.1,-4897.6,,-4243.0,-5046.0,-5306.4,-5301.4,-4215.0,-5501.5,-2987.1,-6182.0,-1694.7,-981.0,-2390.0,,177.4,-7472.7,-5821.7,-2826.6,-1241.0,-5335.3,-5629.0,-2069.4,True,False,True,True,,False,False,True,True,,True,True,False,False,True,False,True,False,True,True,True,,True,False,False,True,True,False,False,True
Missouri,63880,45898.0,33189.8,44847.4,46793.0,55090.0,,42454.2,22403.0,63892.2,51348.3,,51632.0,46627.0,42542.3,49392.0,48853.0,44669.5,49202.9,62183.5,70154.3,50749.4,60484.0,,54476.0,36755.4,36902.2,37303.0,59801.5,42851.4,32034.0,50896.8,-17982.0,-30690.2,-19032.6,-17087.0,-8790.0,,-21425.8,-41477.0,12.2,-12531.7,,-12248.0,-17253.0,-21337.7,-14488.0,-15027.0,-19210.5,-14677.1,-1696.5,6274.3,-13130.6,-3396.0,,-9404.0,-27124.6,-26977.8,-26577.0,-4078.5,-21028.6,-31846.0,-12983.2,False,False,True,True,,False,False,True,True,,True,True,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,False,False,True
Montana,15594,12294.0,9993.7,12460.5,13028.0,10614.0,,12272.8,9971.0,25785.2,12473.0,,13013.0,11550.0,16008.5,20997.9,13962.0,15379.5,16056.2,12746.0,13683.9,15535.4,14546.0,,13497.5,21564.6,7977.3,15329.0,16313.8,15400.2,10086.0,15627.7,-3300.0,-5600.3,-3133.5,-2566.0,-4980.0,,-3321.2,-5623.0,10191.2,-3121.0,,-2581.0,-4044.0,414.5,5403.9,-1632.0,-214.5,462.2,-2848.0,-1910.1,-58.6,-1048.0,,-2096.5,5970.6,-7616.7,-265.0,719.8,-193.8,-5508.0,33.7,False,True,True,False,,False,False,False,True,,True,False,True,False,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,True
Nebraska,30634,23326.0,17213.2,24200.1,25263.0,26877.0,,20436.3,21119.0,29233.0,21427.3,,25946.0,26940.0,22676.8,30451.5,26103.0,23845.0,32931.3,31563.5,34267.9,25095.2,29556.0,,31442.8,22748.7,23699.6,18960.0,32233.1,33453.4,16382.0,24136.9,-7308.0,-13420.8,-6433.9,-5371.0,-3757.0,,-10197.7,-9515.0,-1401.0,-9206.7,,-4688.0,-3694.0,-7957.2,-182.5,-4531.0,-6789.0,2297.3,929.5,3633.9,-5538.8,-1078.0,,808.8,-7885.3,-6934.4,-11674.0,1599.1,2819.4,-14252.0,-6497.1,False,True,True,True,,False,False,True,False,,True,True,False,True,True,True,True,True,True,True,True,,True,False,True,False,True,True,False,True
Nevada,22987,15970.0,33255.5,16140.1,16775.0,18587.0,,13533.9,4019.0,21106.7,17782.5,,17233.0,15447.0,15080.6,12414.5,20058.0,15764.0,18769.2,20277.5,23637.3,21090.1,19570.0,,20060.5,3662.5,11233.8,15679.3,19589.8,18127.0,16575.0,17241.2,-7017.0,10268.5,-6846.9,-6212.0,-4400.0,,-9453.1,-18968.0,-1880.3,-5204.5,,-5754.0,-7540.0,-7906.4,-10572.5,-2929.0,-7223.0,-4217.8,-2709.5,650.3,-1896.9,-3417.0,,-2926.5,-19324.5,-11753.2,-7307.7,-3397.2,-4860.0,-6412.0,-5745.8,False,True,True,True,,False,False,True,True,,True,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
New Hampshire,5074,2314.0,2243.5,2341.2,2443.0,3183.0,,2121.5,1795.0,3437.4,2833.8,,2261.0,2958.0,2349.5,4969.6,2467.0,2216.0,3162.2,2974.0,3815.2,3702.3,3083.0,,3576.2,3017.1,2393.3,2210.7,3520.1,2614.3,2866.0,2984.7,-2760.0,-2830.5,-2732.8,-2631.0,-1891.0,,-2952.5,-3279.0,-1636.6,-2240.2,,-2813.0,-2116.0,-2724.5,-104.4,-2607.0,-2858.0,-1911.8,-2100.0,-1258.8,-1371.7,-1991.0,,-1497.8,-2056.9,-2680.7,-2863.3,-1553.9,-2459.7,-2208.0,-2089.3,False,True,True,True,,False,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,,True,True,True,False,True,True,True,True
