,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,23899,17868.0,12820.0,20375.9,18465.0,19253.0,,7307.0,24263.7,28085.7,34902.2,,18879.0,17148.0,24361.6,11036.8,21702.0,11134.2,16777.5,17959.6,16915.0,19382.9,27791.1,25099.0,,20135.9,5215.8,,13968.9,50777.8,27119.4,20151.8,6282.2,16963.0,22710.2,-6031.0,-11079.0,-3523.1,-5434.0,-4646.0,,-16592.0,364.7,4186.7,11003.2,,-5020.0,-6751.0,462.6,-12862.2,-2197.0,-12764.8,-7121.5,-5939.4,-6984.0,-4516.1,3892.1,1200.0,,-3763.1,-18683.2,,-9930.1,26878.8,3220.4,-3747.2,-17616.8,-6936.0,-1188.8,False,True,True,True,,False,True,True,False,,True,False,True,False,True,False,False,True,False,True,True,True,,True,False,,False,False,True,True,False,False,True
Hawaii,602,708.0,169.2,672.3,671.0,592.0,,307.0,426.7,743.8,759.2,,,,839.7,607.6,859.0,782.5,687.5,546.9,563.0,621.8,877.5,593.0,,783.2,505.9,,583.7,767.3,755.9,1015.4,485.6,706.0,720.0,106.0,-432.8,70.3,69.0,-10.0,,-295.0,-175.3,141.8,157.2,,,,237.7,5.6,257.0,180.5,85.5,-55.1,-39.0,19.8,275.5,-9.0,,181.2,-96.1,,-18.3,165.3,153.9,413.4,-116.4,104.0,118.0,False,True,True,True,,False,False,False,False,,,,False,True,False,False,True,True,True,True,False,True,,False,True,,True,False,False,False,False,True,False
Idaho,9517,9005.0,10750.8,9122.4,9339.0,8729.0,,3825.0,16073.1,10166.2,11695.3,,9812.0,10562.0,10046.0,8891.4,11312.0,4268.5,9439.5,11118.9,9182.0,10193.7,10251.4,9959.0,,11529.3,8128.1,,7666.7,9495.9,11468.9,8923.5,8026.0,7894.0,12088.0,-512.0,1233.8,-394.6,-178.0,-788.0,,-5692.0,6556.1,649.2,2178.3,,295.0,1045.0,529.0,-625.6,1795.0,-5248.5,-77.5,1601.9,-335.0,676.7,734.4,442.0,,2012.3,-1388.9,,-1850.3,-21.1,1951.9,-593.5,-1491.0,-1623.0,2571.0,False,True,True,False,,False,False,False,False,,True,False,False,False,False,False,True,False,True,False,False,True,,False,False,,False,True,False,False,False,False,False
Illinois,83301,85007.0,121984.8,84591.4,90941.0,96926.0,,75001.0,99805.3,103856.5,108527.0,,87779.0,80632.0,87906.9,122074.7,88536.0,51419.3,87021.5,111731.0,111703.5,93034.5,79894.6,97295.0,,110487.0,25552.9,,73253.8,75206.1,89169.8,113405.4,81639.7,77218.0,106356.3,1706.0,38683.8,1290.4,7640.0,13625.0,,-8300.0,16504.3,20555.5,25226.0,,4478.0,-2669.0,4605.9,38773.7,5235.0,-31881.7,3720.5,28430.0,28402.5,9733.5,-3406.4,13994.0,,27186.0,-57748.1,,-10047.2,-8094.9,5868.8,30104.4,-1661.3,-6083.0,23055.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False
Indiana,44296,39165.0,46369.3,38551.4,45672.0,45555.0,,61514.0,50352.4,46086.3,50163.0,,42777.0,44697.0,39112.4,46560.4,44759.0,27399.2,37866.5,44081.5,53828.5,53255.8,47464.9,47018.0,,52480.9,12960.3,,37987.1,32108.2,48901.3,58706.6,53631.7,45788.0,60385.4,-5131.0,2073.3,-5744.6,1376.0,1259.0,,17218.0,6056.4,1790.3,5867.0,,-1519.0,401.0,-5183.6,2264.4,463.0,-16896.8,-6429.5,-214.5,9532.5,8959.8,3168.9,2722.0,,8184.9,-31335.7,,-6308.9,-12187.8,4605.3,14410.6,9335.7,1492.0,16089.4,True,False,True,True,,False,False,True,False,,True,True,False,True,True,False,False,True,False,False,True,True,,False,False,,False,False,True,False,False,True,False
Iowa,25648,33301.0,39606.3,33116.9,34106.0,34777.0,,33434.0,30233.5,46085.2,42691.1,,33746.0,32247.0,31298.6,50005.9,37094.0,17355.2,33405.0,48482.1,41651.0,31938.0,35724.0,34890.0,,43792.4,13250.4,,30201.7,24125.4,36987.9,39585.4,22628.8,36860.0,45559.5,7653.0,13958.3,7468.9,8458.0,9129.0,,7786.0,4585.5,20437.2,17043.1,,8098.0,6599.0,5650.6,24357.9,11446.0,-8292.8,7757.0,22834.1,16003.0,6290.0,10076.0,9242.0,,18144.4,-12397.6,,4553.7,-1522.6,11339.9,13937.4,-3019.2,11212.0,19911.5,False,True,False,False,,False,True,False,False,,False,True,True,False,False,False,False,False,False,True,False,False,,False,False,,True,True,False,False,True,False,False
Kansas,19547,17751.0,18442.0,18072.4,16643.0,17207.0,,9739.0,9422.8,14161.3,15203.9,,14450.0,21444.0,13862.0,12870.0,19409.0,10143.1,15698.5,23157.4,8391.0,10330.0,14765.1,14148.0,,18529.2,14874.1,,16480.9,14475.9,22121.2,22716.1,10675.3,13310.0,20952.1,-1796.0,-1105.0,-1474.6,-2904.0,-2340.0,,-9808.0,-10124.2,-5385.7,-4343.1,,-5097.0,1897.0,-5685.0,-6677.0,-138.0,-9403.9,-3848.5,3610.4,-11156.0,-9217.0,-4781.9,-5399.0,,-1017.8,-4672.9,,-3066.1,-5071.1,2574.2,3169.1,-8871.7,-6237.0,1405.1,True,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,True
Kentucky,19771,16476.0,20546.5,16663.6,17751.0,17782.0,,7842.0,35287.7,21172.4,22818.8,,16569.0,16488.0,16732.4,14937.3,19729.0,11541.6,16765.5,16435.7,17880.5,19329.9,18810.7,17021.0,,21475.1,14676.5,,16587.2,16086.9,22710.1,20036.6,17720.5,18353.0,20698.9,-3295.0,775.5,-3107.4,-2020.0,-1989.0,,-11929.0,15516.7,1401.4,3047.8,,-3202.0,-3283.0,-3038.6,-4833.7,-42.0,-8229.4,-3005.5,-3335.3,-1890.5,-441.1,-960.3,-2750.0,,1704.1,-5094.5,,-3183.8,-3684.1,2939.1,265.6,-2050.5,-1418.0,927.9,True,True,True,True,,False,False,True,True,,True,True,True,False,True,False,True,False,True,True,True,True,,True,False,,True,False,True,True,True,True,True
Louisiana,14728,10266.0,9987.4,9918.1,8954.0,7393.0,,1751.0,28774.5,7221.8,20950.5,,13410.0,8708.0,5539.6,13184.4,11710.0,5635.2,6951.5,6001.2,4306.5,7115.8,9942.3,8385.0,,13575.0,1481.8,,9201.4,5855.9,11464.5,14336.4,6901.8,10358.0,9972.4,-4462.0,-4740.6,-4809.9,-5774.0,-7335.0,,-12977.0,14046.5,-7506.2,6222.5,,-1318.0,-6020.0,-9188.4,-1543.6,-3018.0,-9092.8,-7776.5,-8726.8,-10421.5,-7612.2,-4785.7,-6343.0,,-1153.0,-13246.2,,-5526.6,-8872.1,-3263.5,-391.6,-7826.2,-4370.0,-4755.6,False,False,False,False,,False,False,False,False,,True,False,False,True,True,False,False,False,False,False,False,False,,True,False,,False,False,True,True,False,True,False
Maine,1332,1191.0,1701.4,1184.4,1314.0,1691.0,,2615.0,997.3,1584.8,1827.6,,1022.0,1200.0,1253.1,2250.6,1374.0,1791.7,1157.5,2588.0,1326.0,1415.9,1478.6,1449.0,,1547.3,442.1,,1072.1,1013.0,1723.5,1545.6,1283.6,1317.0,1695.7,-141.0,369.4,-147.6,-18.0,359.0,,1283.0,-334.7,252.8,495.6,,-310.0,-132.0,-78.9,918.6,42.0,459.7,-174.5,1256.0,-6.0,83.9,146.6,117.0,,215.3,-889.9,,-259.9,-319.0,391.5,213.6,-48.4,-15.0,363.7,False,False,True,False,,False,False,False,False,,False,True,True,False,True,False,False,False,True,True,False,True,,False,False,,False,False,False,False,True,True,False
Maryland,15881,11175.0,16356.7,11149.9,12702.0,13559.0,,7055.0,13384.5,14870.5,15162.0,,11568.0,12172.0,11283.3,12594.4,13423.0,9437.0,9591.5,15819.6,14541.5,15260.9,14674.3,13730.0,,16822.6,2423.0,,9951.0,8884.3,13567.7,15447.1,16150.3,12094.0,12810.3,-4706.0,475.7,-4731.1,-3179.0,-2322.0,,-8826.0,-2496.5,-1010.5,-719.0,,-4313.0,-3709.0,-4597.7,-3286.6,-2458.0,-6444.0,-6289.5,-61.4,-1339.5,-620.1,-1206.7,-2151.0,,941.6,-13458.0,,-5930.0,-6996.7,-2313.3,-433.9,269.3,-3787.0,-3070.7,True,False,True,True,,False,True,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Massachusetts,18013,16566.0,17309.0,16601.9,18347.0,18246.0,,11308.0,21755.4,21105.6,37483.3,,15062.0,17606.0,16264.2,20182.8,20162.0,14589.4,15320.5,23148.2,20035.5,20442.6,21221.2,19054.0,,22408.1,13515.2,,15661.9,13940.7,19966.1,23167.7,19918.4,17946.0,25041.5,-1447.0,-704.0,-1411.1,334.0,233.0,,-6705.0,3742.4,3092.6,19470.3,,-2951.0,-407.0,-1748.8,2169.8,2149.0,-3423.6,-2692.5,5135.2,2022.5,2429.6,3208.2,1041.0,,4395.1,-4497.8,,-2351.1,-4072.3,1953.1,5154.7,1905.4,-67.0,7028.5,True,True,True,True,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,True,False
Michigan,53229,46719.0,68557.5,47090.2,54285.0,53294.0,,81558.0,77230.2,54995.3,55190.1,,50190.0,52115.0,45656.8,56071.3,57210.0,44544.6,45760.0,61311.0,65302.5,50552.5,47766.1,42864.0,,66131.2,57915.8,,43227.4,38679.7,53669.4,68969.5,33050.9,55648.0,64203.9,-6510.0,15328.5,-6138.8,1056.0,65.0,,28329.0,24001.2,1766.3,1961.1,,-3039.0,-1114.0,-7572.2,2842.3,3981.0,-8684.4,-7469.0,8082.0,12073.5,-2676.5,-5462.9,-10365.0,,12902.2,4686.8,,-10001.6,-14549.3,440.4,15740.5,-20178.1,2419.0,10974.9,False,True,True,True,,False,False,True,True,,True,True,False,True,True,False,False,False,False,True,True,False,,False,True,,False,False,True,False,False,True,False
Minnesota,46924,41074.0,65642.7,42223.2,45865.0,48541.0,,47172.0,43330.3,46842.2,58277.9,,45068.0,55400.0,38563.3,59883.8,44044.0,26595.1,40255.0,45561.2,65469.0,55179.1,49333.3,49577.0,,54880.0,10929.2,,36320.7,30000.7,41196.8,58475.6,56761.2,39221.0,68606.7,-5850.0,18718.7,-4700.8,-1059.0,1617.0,,248.0,-3593.7,-81.8,11353.9,,-1856.0,8476.0,-8360.7,12959.8,-2880.0,-20328.9,-6669.0,-1362.8,18545.0,8255.1,2409.3,2653.0,,7956.0,-35994.8,,-10603.3,-16923.3,-5727.2,11551.6,9837.2,-7703.0,21682.7,False,True,True,True,,True,True,True,False,,True,False,False,False,True,False,False,True,False,False,True,True,,False,False,,False,False,True,False,False,False,False
Mississippi,9061,7455.0,8072.8,7528.2,7527.0,5933.0,,2713.0,10538.6,9487.0,8645.5,,7852.0,8366.0,7912.4,7107.2,8494.0,4623.7,6522.5,7050.0,7919.5,8961.3,9248.3,8575.0,,7322.7,4490.8,,7195.6,7114.7,8588.2,7115.1,8848.7,7526.0,8641.9,-1606.0,-988.2,-1532.8,-1534.0,-3128.0,,-6348.0,1477.6,426.0,-415.5,,-1209.0,-695.0,-1148.6,-1953.8,-567.0,-4437.3,-2538.5,-2011.0,-1141.5,-99.7,187.3,-486.0,,-1738.3,-4570.2,,-1865.4,-1946.3,-472.8,-1945.9,-212.3,-1535.0,-419.1,True,True,True,False,,False,True,True,True,,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,,False,False,True,False,True,True,True
Missouri,31451,34821.0,43918.3,35165.3,33239.0,34557.0,,13583.0,28675.6,41910.9,52378.3,,38460.0,35540.0,33119.0,36563.1,40540.0,15565.2,31451.5,37736.3,28178.5,33058.5,32297.1,31892.0,,31103.3,18853.8,,31824.3,25988.6,40600.7,37816.1,29659.7,23321.0,36658.3,3370.0,12467.3,3714.3,1788.0,3106.0,,-17868.0,-2775.4,10459.9,20927.3,,7009.0,4089.0,1668.0,5112.1,9089.0,-15885.8,0.5,6285.3,-3272.5,1607.5,846.1,441.0,,-347.7,-12597.2,,373.3,-5462.4,9149.7,6365.1,-1791.3,-8130.0,5207.3,False,False,True,True,,False,True,False,False,,False,False,True,False,False,False,True,False,True,True,True,True,,True,False,,True,False,False,False,True,False,False
Montana,8656,6938.0,6093.1,6949.7,7724.0,5900.0,,5602.0,10443.7,7897.5,9056.3,,7884.0,7918.0,7926.3,5607.8,8085.0,3592.6,7698.0,7791.8,7694.0,9459.5,8467.8,7900.0,,10648.0,11532.7,,5755.2,8142.7,9527.5,8189.2,10367.8,5641.0,9467.6,-1718.0,-2562.9,-1706.3,-932.0,-2756.0,,-3054.0,1787.7,-758.5,400.3,,-772.0,-738.0,-729.7,-3048.2,-571.0,-5063.4,-958.0,-864.2,-962.0,803.5,-188.2,-756.0,,1992.0,2876.7,,-2900.8,-513.3,871.5,-466.8,1711.8,-3015.0,811.6,False,True,True,False,,False,False,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,False,False,,False,True,True,True,True,False,True
Nebraska,16195,14439.0,22679.0,14304.9,16213.0,13512.0,,14475.0,19458.8,17661.0,16899.6,,15937.0,16460.0,15980.1,19375.1,16770.0,7615.9,15142.0,19216.6,17089.5,15152.8,16647.9,16344.0,,18408.5,12074.8,,14100.9,13362.4,17380.3,16782.0,11297.5,11640.0,18314.6,-1756.0,6484.0,-1890.1,18.0,-2683.0,,-1720.0,3263.8,1466.0,704.6,,-258.0,265.0,-214.9,3180.1,575.0,-8579.1,-1053.0,3021.6,894.5,-1042.2,452.9,149.0,,2213.5,-4120.2,,-2094.1,-2832.6,1185.3,587.0,-4897.5,-4555.0,2119.6,False,False,True,False,,True,False,True,True,,True,True,True,False,True,False,True,False,True,True,True,True,,False,False,,False,False,True,True,False,False,False
